"licensetype","licenseno","issueddate","expiredate","applicant","additionalapplicant","organization","businessname","addr1","addr2","city","state","zip","telephone","geolocation"
"BUILDING CONTRACTORS LICENSE","BC3868","2006-04-04T03:04:00.000","2012-04-04T12:04:00.000","ANDY WARREN","NPS HOMES ASSOCIATES LTD.PART.","NPS HOMES ASSOCIATES LTD.PART.",,"4800 HAMPDEN LANE,","SUITE 300","BETHESDA","MD","20814","(301)634-8600x","POINT (-77.095493 38.982718)"
"BUILDING CONTRACTORS LICENSE","BC3637","2001-11-08T03:11:29.000","2019-11-08T12:11:00.000","_ D. R. SHAFFER CONSTRUCTION, CO.","D. R. SHAFFER CONSTRUCTION, CO.","D. R. SHAFFER CONSTRUCTION, CO",,"7839 RIDGE ROAD",,"FREDERICK","MD","21702","(301)662-8403x","POINT (-77.501551 39.44945)"
"BUILDING CONTRACTORS LICENSE","BC3139","1998-10-08T12:10:00.000","2022-10-08T12:10:00.000","_ BROWN CONSTRUCTION CO., INC.","MONTGOMERY","BROWN CONSTRUCTION CO., INC.",,"15400 CALHOUN DRIVE,","SUITE 125","ROCKVILLE","MD","20855","(301)340-7850x","POINT (-77.149181 39.107296)"
"BUILDING CONTRACTORS LICENSE","BC3198","1997-10-12T12:10:00.000","2009-10-12T12:10:00.000","PAUL JEFFS","ACADIA CONTRACTORS, INC.","ACADIA CONTRACTORS, INC.",,"006106  MACARTHUR  BLVD.,","SUITE 100","BETHESDA","MD","20816","(301)320-6702x","POINT (-77.115074 38.943095)"
"BUILDING CONTRACTORS LICENSE","BC3396","1999-05-06T12:05:00.000","2005-05-06T12:05:00.000","JOHN KOLLAR, JR.","J.P. KOLLAR CONSTRUCTION, LLC","J.P. KOLLAR CONSTRUCTION, LLC",,"7914  GLENBROOK  ROAD",,"BETHESDA","MD","20814","(301)758-2304x","POINT (-77.102486 38.988972)"
"BUILDING CONTRACTORS LICENSE","BC2317","1998-10-17T12:10:00.000","2022-10-17T12:10:00.000","_ Tri Pointe Homes DC Metro, Inc.","SHAPIRO","Tri Pointe Homes DC Metro, Inc",,"12435 Park Potomac Avenue","Suite 600","Potomac","MD","20854","(301)803-4800x","POINT (-77.157576 39.059528)"
"BUILDING CONTRACTORS LICENSE","BC3300","1995-07-22T12:07:00.000","1997-07-22T12:07:00.000","_ BRUMSTED BUILDERS INC.","BRUMSTED BUILDERS INC.",,,"6196  LLANFAIR  DR",,"COLUMBIA","MD","21044",,"POINT (-76.873057 39.201899)"
"BUILDING CONTRACTORS LICENSE","BC229276","2022-06-10T11:06:49.000","2024-06-10T11:06:49.000","_ ASP 4521 CHESTNUT STREET, LLC","ASP 4521 CHESTNUT STREET, LLC",,,"5283 Corporate Drive","Suite 300","Frederick","MD","21703","(240)405-1333","POINT (-77.418583 39.378334)"
"BUILDING CONTRACTORS LICENSE","BC3332","1998-03-05T12:03:00.000","2010-03-05T12:03:00.000","DAVID BERNSTEIN","BERNSTEIN","BETHANY HOMES, INC.",,"3428 SHADY LANE",,"GLENWOOD","MD","21738","(301)370-1725x","POINT (-77.017946 39.275732)"
"BUILDING CONTRACTORS LICENSE","BC2733","1991-04-08T12:04:00.000","1993-04-08T12:04:00.000","_ L M C C INC","L M C C INC",,,"008001  EXODUS  RD",,"GAITHERSBURG","MD","20879",,"POINT (-77.164418 39.204151)"
"BUILDING CONTRACTORS LICENSE","BC3918","2007-04-18T07:04:00.000","2009-04-17T12:04:00.000","NEIL GARNER","PINE CREST BUILDERS, INC.","PINE CREST BUILDERS, INC.",,"8683 RESERVOIR ROAD",,"FULTON","MD","20759","(240)568-9026x","POINT (-76.95088 39.13476)"
"BUILDING CONTRACTORS LICENSE","BC3545","2000-03-15T02:03:00.000","2018-03-15T12:03:00.000","_ HEMINGWAY HOMES, LLC","CANTOR","HEMINGWAY HOMES, INC.",,"4938 HAMPDEN LANE, #326",,"BETHESDA","MD","20814","(301)508-3392","POINT (-77.097801 38.982676)"
"BUILDING CONTRACTORS LICENSE","BC228630","2021-08-11T10:08:32.000","2023-08-11T10:08:32.000","_ MATTHEW J. DOWLING & MOLLY J. BRADTKE","MATTHEW J. DOWLING & MOLLY J. BRADTKE",,,"20035 New Hampshire Avenue",,"Brinklow","MD","20862","(410)972-1130","POINT (-77.025573 39.186506)"
"BUILDING CONTRACTORS LICENSE","BC0600","1999-03-24T12:03:00.000","2005-03-24T12:03:00.000","CHARLES COOLEY","COOLEY CONSTRUCTION, INC.","COOLEY CONSTRUCTION INC.",,"014301  LEWISDALE  ROAD",,"CLARKSBURG","MD","20871","(301)253-3697x","POINT (-77.297448 39.29115)"
"BUILDING CONTRACTORS LICENSE","BC3392","1997-05-06T12:05:00.000","1999-05-06T12:05:00.000","RUSSELL ARKIN","ARKIN","ADC VENTURES, INC.",,"3435 N 14TH  STREET",,"ARLINGTON","VA","22201","(703)848-2735x","POINT (-77.102282 38.888489)"
"BUILDING CONTRACTORS LICENSE","BC3922","2007-06-07T12:06:26.000","2011-06-07T12:06:26.000","IRAJ RAHIMI","RAHIMI","RBC HOMES, LLC",,"5 GREY PEBBLE COURT",,"DARNESTOWN","MD","20874","(301)704-6465x","POINT (-77.314679 39.118699)"
"BUILDING CONTRACTORS LICENSE","BC3535","1999-11-02T03:11:00.000","2004-01-05T12:01:00.000","MICHAEL LERNER","MERIDIAN CUSTOM HOMES, LLC","MERIDIAN CUSTOM HOMES, LLC",,"5110 RIDGEFIELD ROAD,","SUITE 413","BETHESDA","MD","20816","(301)652-4440x","POINT (-77.106466 38.966125)"
"BUILDING CONTRACTORS LICENSE","BC3625","2001-07-10T04:07:48.000","2003-07-10T12:07:00.000","MARK KAUFMAN","KAUFMAN","HASTINGS DEVELOPMENT CORP.",,"1555 CONNECTICUT AVENUE, NW","SUITE 509","WASHINGTON","DC","20036","(202)265-4602x","POINT (-77.044032 38.910875)"
"BUILDING CONTRACTORS LICENSE","BC3406","1997-07-10T12:07:00.000","1999-07-10T12:07:00.000","JEFFERY TAYLOR","TAYLOR","PERFECT FIT CONSTRUCTION",,"3007  GAZEBO COURT",,"SILVER SPRING","MD","20904","(301)215-1085x","POINT (-76.947818 39.054531)"
"BUILDING CONTRACTORS LICENSE","BC3558","2000-06-07T11:06:00.000","2008-06-07T12:06:00.000","ERIC WILLIAMS","WILLIAMS","EMW PROPERTIES/GENERAL CONTR",,"109 PENNSYLVANIA AVENUE",,"FALLS CHURCH","VA","22046","(703)237-0050x","POINT (-77.177079 38.88726)"
"BUILDING CONTRACTORS LICENSE","BC3422","1997-10-08T12:10:00.000","2001-10-08T12:10:00.000","ANASTASIOS GRYPEOS","GRYPEOS","TASOS DESIGN, INC.",,"3134  CLAYBORNE  AVENUE",,"ALEXANDRIA","VA","22306","(703)360-1860x","POINT (-77.085688 38.7677)"
"BUILDING CONTRACTORS LICENSE","BC3094","1992-01-24T12:01:00.000","1994-01-24T12:01:00.000","_ HUNTT BUILDERS","HUNTT BUILDERS",,,"024241  HIPSLEY MILL  RD",,"LAYTONSVILLE","MD","20882",,"POINT (-77.135832 39.254875)"
"BUILDING CONTRACTORS LICENSE","BC3065","1991-08-29T12:08:00.000","1993-08-29T12:08:00.000","_ DAN RYAN BUILDERS INC","DAN RYAN BUILDERS INC",,,"000106 E RIDGEVILLE  BLVD",,"MOUNT AIRY","MD","21771",,"POINT (-77.163908 39.365002)"
"BUILDING CONTRACTORS LICENSE","BC3540","2000-01-06T07:01:00.000","2022-01-05T12:01:00.000","_ OMENITSCH BROTHERS, INC.","OMENITSCH BROTHERS, INC.","OMENITSCH BROTHERS, INC.",,"2844 Urbana Pike",,"Ijamsville","MD","21754","(301)748-3354","POINT (-77.32881 39.313224)"
"BUILDING CONTRACTORS LICENSE","BC3164","1993-03-12T12:03:00.000","1995-03-12T12:03:00.000","_ J & G CONSTRUCTION INC","J & G CONSTRUCTION INC",,,"000648  WILSON  PL",,"FREDERICK","MD","21702",,"POINT (-77.4236 39.432694)"
"BUILDING CONTRACTORS LICENSE","BC3480","1998-09-02T12:09:00.000","2008-09-02T12:09:00.000","STEPHEN GRIFFIN","THE GRIFFMORE GROUP, LLC","THE GRIFFMORE GROUP,LLC",,"13554 TRIADELPHIA ROAD",,"ELLICOTT CITY","MD","21042","(410)531-8105x","POINT (-76.983885 39.264211)"
"BUILDING CONTRACTORS LICENSE","BC3558","2000-06-07T11:06:00.000","2008-06-07T12:06:00.000","ERIC WILLIAMS","EMW PROPERTIES/GENERAL CONTRAC","EMW PROPERTIES/GENERAL CONTR",,"109 PENNSYLVANIA AVENUE",,"FALLS CHURCH","VA","22046","(703)237-0050x","POINT (-77.177079 38.88726)"
"BUILDING CONTRACTORS LICENSE","BC2526","1999-04-04T12:04:00.000","2007-04-04T12:04:00.000","VERNON BRAKE, JR.","VERNON BRAKE & SONS, INC.","VERNON BRAKE & SONS, INC.",,"004213  ROLLING ACRES  DRIVE",,"MT. AIRY","MD","21771","(301)831-7918x","POINT (-77.183324 39.352366)"
"BUILDING CONTRACTORS LICENSE","BC223285","2016-10-31T09:10:23.000","2020-10-31T09:10:23.000","_ BRP CONSTRUCTION LLC","BRP CONSTRUCTION LLC","BRP CONSTRUCTION, LLC",,"1131 PARRISH DR",,"BETHESDA","MD","20851","(202)352-4253","POINT (-77.126256 39.071939)"
