Licensee Name,Street,City,State,Zip,Licensee Number,Channel Type,Account Name,Location,MoCo_boundary,Zip Codes,Communities,Councils,Municipalities
KALDI'S SOCIAL,918 SILVER SPRING AVENUE,SILVER SPRING,MD,20910,BBWLHR22788,On Premise,"KALDI'S SOCIAL HOUSE, INC.","918 SILVER SPRING AVENUE
SILVER SPRING, MD 20910
(38.991648, -77.025724)",1,3065,7,5,1
KENTLANDS PHOTOGRAPHY CAFE,309 MAIN ST.,GAITHERSBURG,MD,20878,DBW767361,On/Off-Premise,"Z-DEMOS HOUSE OF PHOTOGRAPHY, LLC","309 MAIN ST.
GAITHERSBURG, MD 20878
(39.121827, -77.238431)",1,33,36,3,21
LEBANESE TAVERNA CAFE - ROCKVILLE,1629 ROCKVILLE PIKE,ROCKVILLE,MD,20852,HBWHR042,On Premise,LEBANESE TAVERNA CAFE CONGRESS,"1629 ROCKVILLE PIKE
ROCKVILLE, MD 20852
(39.063406, -77.125462)",1,60,25,3,12
WANG DYNASTY,"4929 BETHESDA AVE., SUITE #100",BETHESDA,MD,20814,BBWLHR43342,On Premise,"WANG DYNASTY, INC.","4929 BETHESDA AVE., SUITE #100
BETHESDA, MD 20814
(38.980798, -77.099581)",1,111,12,1,1
CASA OAXACA,4905 FAIRMOUNT AVENUE,BETHESDA,MD,20814,BBWLHR42419,On Premise,"TEQ. & MEZCAL COCINA MEXICANA,LLC","4905 FAIRMOUNT AVENUE
BETHESDA, MD 20814
(38.987839, -77.097231)",1,111,12,1,1
FINE CUISINE CATERING,26130 FREDERICK RD.,CLARKSBURG,MD,20871,CATBWL007,On Premise,"FINE CUISINE, INC.","26130 FREDERICK RD.
CLARKSBURG, MD 20871
(39.285366, -77.314465)",1,44,50,2,1
HOT POT CITY,199 EAST MONTGOMERY AVE.,ROCKVILLE,MD,20850,HBWHR41405,On Premise,"BT TRADING, LLC","199 EAST MONTGOMERY AVE.
ROCKVILLE, MD 20850
(39.084083, -77.150357)",1,71,25,3,12
WESTSIDE WINE CELLAR & BEER,8010 GRAMERCY BLVD,ROCKVILLE,MD,20855,DBW32215,On/Off-Premise,HIMA LLC,"8010 GRAMERCY BLVD
ROCKVILLE, MD 20855
(39.124098, -77.164646)",1,51,36,3,1
GRAPE & GRAIN,19233 WATKINS MILL RD,MONTGOMERY VILLAGE,MD,20886,DBW40359,On/Off-Premise,"AABHA, LLC","19233 WATKINS MILL RD
MONTGOMERY VILLAGE, MD 20886
(39.171384, -77.208688)",1,28,38,2,1
ON THE VINE,15230 SIESTA KEY WAY,ROCKVILLE,MD,20850,DBW37415,On/Off-Premise,"TANGRI, LLC","15230 SIESTA KEY WAY
ROCKVILLE, MD 20850
(39.105619, -77.194439)",1,71,25,3,1
LA PANETTERIA,4921 CORDELL AVE.,BETHESDA,MD,20814,BBWLHR42759,On Premise,"BAIRES KITCHEN, LLC","4921 CORDELL AVE.
BETHESDA, MD 20814
(38.988784, -77.098689)",1,111,12,1,1
BEERS & CHEERS TOO,678 QUINCE ORCHARD ROAD,GAITHERSBURG,MD,20878,DBW23668,On/Off-Premise,"BEERS AND CHEERS TOO, LLC","678 QUINCE ORCHARD ROAD
GAITHERSBURG, MD 20878
(39.139619, -77.22206)",1,33,31,3,21
COMMONWEALTH INDIAN,11610 OLD GEORGETOWN ROAD,NORTH BETHESDA,MD,20852,BBWLHR36044,On Premise,"COMMONWEALTH INDIAN, INC","11610 OLD GEORGETOWN ROAD
NORTH BETHESDA, MD 20852
(39.049174, -77.116479)",1,60,19,1,1
BREW BELLY,18065 GEORGIA AVE,OLNEY,MD,20832,BDBWL31001,On/Off-Premise,"BREW BELLY, LLC","18065 GEORGIA AVE
OLNEY, MD 20832
(39.152487, -77.066769)",1,100,58,4,1
HUMITOS GRILL RESTAURANT,8371 SNOUFFER SCHOOL RD.,GAITHERSBURG,MD,20879,BBWLHR688356,On/Off-Premise,"HUMITOS GBEI, LLC","8371 SNOUFFER SCHOOL RD.
GAITHERSBURG, MD 20879
(39.166783, -77.171666)",1,31,36,4,1
N-UNCORKED,"8525 CHEVY CHASE LAKE TERRACE, SUITE 301",CHEVY CHASE,MD,20815,DBW623355,,"THE CHASE, LLC","8525 CHEVY CHASE LAKE TERRACE, SUITE 301
CHEVY CHASE, MD 20815",,,,,
PIZZA STOP,2231 BEL PRE RD.,SILVER SPRING,MD,20906,BBWHR165270,On/Off-Premise,"IN'TL FOODS GROUP,LLC","2231 BEL PRE RD.
SILVER SPRING, MD 20906
(39.090504, -77.047571)",1,6,59,4,1
DOUBLETREE WASH. DC N. GAITHERSBURG,620 PERRY PKWY,GAITHERSBURG,MD,20877,BBWLHR36508,On Premise,"GAITHERSBURG OPERATOR, LLC","620 PERRY PKWY
GAITHERSBURG, MD 20877
(39.148631, -77.21303)",1,35,36,3,21
CLEAR SKIES MEADERY,325 MAIN STREET,GAITHERSBURG,MD,20878,DBW72259,On/Off-Premise,"R&H EIGNER, LLC","325 MAIN STREET
GAITHERSBURG, MD 20878
(39.121676, -77.238216)",1,33,36,3,21
TWINBROOK DELI BEER WINE,2208 VEIRS MILL ROAD,ROCKVILLE,MD,20851,ABW212259,Off Premise,"TWINBROOK DELI BEER WINE, LLC","2208 VEIRS MILL ROAD
ROCKVILLE, MD 20851
(39.074665, -77.114546)",1,68,25,3,12
POTOMAC GROCER,10107 RIVER RD.,POTOMAC,MD,20854,DBW95264,On/Off-Premise,"POTOMAC GROCER, LLC","10107 RIVER RD.
POTOMAC, MD 20854
(39.017799, -77.208537)",1,53,20,1,1
N-KUSSHI KO,8512 FENTON ST.,SILVER SPRING,MD,20910,HBWHR804375,On Premise,"KUSSHI KO, LLC","8512 FENTON ST.
SILVER SPRING, MD 20910
(38.995869, -77.024602)",1,3065,7,5,1
BASSETT'S RESTAURANT,19950 FISHER AVENUE,POOLESVILLE,MD,20837,BBWLHR799369,On Premise,"ALL FLAVORS, INC","19950 FISHER AVENUE
POOLESVILLE, MD 20837
(39.146173, -77.417193)",1,97,34,1,16
N-ALIBABA BEER &WINE,112 EAST DIAMOND AVE.,GAITHERSBURG,MD,20877,ABW402276,Off Premise,"ARIA ENTERPRISE, INC.","112 EAST DIAMOND AVE.
GAITHERSBURG, MD 20877
(39.141871, -77.196213)",1,35,36,3,21
BOYDS COUNTRY STORE,15110 BARNESVILLE RD.,BOYDS,MD,20841,ABW185263,Off Premise,"P&V GROUP, LLC","15110 BARNESVILLE RD.
BOYDS, MD 20841
(39.184783, -77.31421)",1,75,42,2,1
KNOWLES STATION WINE & COMPANY,10414 DETRICK AVE.,KENSINGTON,MD,20895,DBW30780,On/Off-Premise,DETRICK AND KNOWLES WINE & COMPANY LLC,"10414 DETRICK AVE.
KENSINGTON, MD 20895
(39.027961, -77.077937)",1,25,15,1,6
KPOT HOT POT & BBQ,5550 RANDOLPH RD,ROCKVILLE,MD,20852,BBWLHR32900,On Premise,"ROCK HOT POT & BBQ, INC.","5550 RANDOLPH RD
ROCKVILLE, MD 20852
(39.053283, -77.112551)",1,60,19,1,1
N-HULU SKEWER HOUSE,1488-B ROCKVILLE PIKE,ROCKVILLE,MD,20852,BBWLHR779374,,INVSIGHT GROUP LLC,"1488-B ROCKVILLE PIKE
ROCKVILLE, MD 20852
(39.065524, -77.126927)",1,60,25,3,12
NORBECK COUNTRY CLUB,17200 CASHELL ROAD,ROCKVILLE,MD,20853,CBWLCCO29874,On Premise,"NORBECK CC, LLC","17200 CASHELL ROAD
ROCKVILLE, MD 20853
(39.137517, -77.094454)",1,58,58,4,1
HOLA BEER & WINE,8035 SNOUFFER SCHOOL RD.,GAITHERSBURG,MD,20879,DBW275260,On/Off-Premise,"GNS TRADING COMPANY, LLC","8035 SNOUFFER SCHOOL RD.
GAITHERSBURG, MD 20879
(39.160802, -77.163068)",1,31,36,4,1
BAMBOO CAFE,4222 D HOWARD AVE.,KENSINGTON,MD,20895,ABW275259,Off Premise,"BAMBOO CAFE, LLC","4222 D HOWARD AVE.
KENSINGTON, MD 20895
(39.031009, -77.083186)",1,25,15,1,1
MELA MARKET,8711 1st AVE.,SILVER SPRING,MD,20910,DBW174262,On/Off-Premise,MELA LLC,"8711 1st AVE.
SILVER SPRING, MD 20910
(38.998065, -77.032549)",1,3065,7,5,1
LA PLAYITA,8638 FLOWER AVENUE,TAKOMA PARK,MD,20912,BBWLHR287259,On Premise,"LA PLAYITA REST., INC.","8638 FLOWER AVENUE
TAKOMA PARK, MD 20912
(38.997545, -77.003409)",1,3062,8,5,11
DON POLLO OF POTOMAC,10321 WESTLAKE DRIVE,BETHESDA,MD,20817,HBW29871,On Premise,"DON POLLO OF POTOMAC, INC.","10321 WESTLAKE DRIVE
BETHESDA, MD 20817
(39.026389, -77.147939)",1,103,19,1,1
BREWS AND BARRELS,625 CENTER POINT WAY,GAITHERSBURG,MD,20878,BBWLHR224259,On Premise,"MAHI RESTAURANT, INC.","625 CENTER POINT WAY
GAITHERSBURG, MD 20878
(39.121857, -77.23361)",1,33,36,3,21
LUCY KITCHEN,8301 GEORGIA AVE.,SILVER SPRING,MD,20910,BBWLHR268261,On Premise,"YUMMY, LLC","8301 GEORGIA AVE.
SILVER SPRING, MD 20910
(38.993059, -77.026571)",1,3065,7,5,1
WARREN STREET DELI,9226 WARREN STREET,SILVER SPRING,MD,20910,ABW115,Off Premise,WARREN STREET DELI,"9226 WARREN STREET
SILVER SPRING, MD 20910
(39.007107, -77.049146)",1,3065,6,5,1
AMC MONTGOMERY 16,7101 DEMOCRACY BLVD,BETHESDA,MD,20817,BBWLHR786363,On Premise,AMC OF MARYLAND LLC,"7101 DEMOCRACY BLVD
BETHESDA, MD 20817
(39.0242, -77.1459)",1,103,19,1,1
TACOMBI,4749 BETHESDA AVE.,BETHESDA,MD,20814,BDBWL490321,On/Off-Premise,TAQUERIA BUENA BETHESDADITA,"4749 BETHESDA AVE.
BETHESDA, MD 20814
(38.980984, -77.094751)",1,111,12,1,1
VILLAGE GRILLE,50  SOUTHLAWN COURT,ROCKVILLE,MD,20850,HBWHR800368,On Premise,"STLB, LLC","50 SOUTHLAWN COURT
ROCKVILLE, MD 20850
(39.102443, -77.129224)",1,71,27,3,12
JUANITA'S RESTAURANT,15883 REDLAND ROAD,DERWOOD,MD,20855,DBW6117,On/Off-Premise,JUANA GONZALEZ,"15883 REDLAND ROAD
DERWOOD, MD 20855
(39.116924, -77.164935)",1,51,27,3,1
KAREN'S SEAFOOD,13843 OUTLET DR.,SILVER SPRING,MD,20904,BBWLHR436279,On Premise,"KAREN'S KITCHEN, LLC","13843 OUTLET DR.
SILVER SPRING, MD 20904
(39.082668, -76.946524)",1,12,53,5,1
N-SHAKE SHACK KENTLANDS,150 KENTLANDS SQ. PL.,GAITHERSBURG,MD,20878,BBWHR738355,On/Off-Premise,"SHAKE SHACK MARYLAND, LLC","150 KENTLANDS SQ. PL.
GAITHERSBURG, MD 20878",,,,,
COOPER'S HAWK WINERY & RESTAURANT,1403 RESEARCH BLVD.,ROCKVILLE,MD,20850,BDBWL43341,On/Off-Premise,"COOPER'S HAWK ROCKVILLE, LLC","1403 RESEARCH BLVD.
ROCKVILLE, MD 20850
(39.091276, -77.178755)",1,71,25,3,12
LEBANESE TAVERNA CAFE - SS,8535 FENTON ST.,SILVER SPRING,MD,20910,HBWHR392,On Premise,LEBANESE TAVERNA CAFE CONGRESS,"8535 FENTON ST.
SILVER SPRING, MD 20910
(38.99718, -77.025952)",1,3065,7,5,1
RUSSIAN GOURMET,11431 ROCKVILLE PIKE,ROCKVILE,MD,20852,ABW779369,On Premise,MATRESHKA LLC,"11431 ROCKVILLE PIKE
ROCKVILE, MD 20852
(39.044169, -77.111378)",1,60,19,1,1
CHINA GARDEN HAN GONG,11333 WOODGLEN DR.,ROCKVILLE,MD,20852,BBWLHR42899,On Premise,"CHINA GARDEN OF VIRGINIA, INC.","11333 WOODGLEN DR.
ROCKVILLE, MD 20852
(39.04271, -77.113354)",1,60,19,1,1
BOULANGERIE CHRISTOPHE,11321 SEVEN LOCKS RD.,POTOMAC,MD,20854,DBW774363,On/Off-Premise,"GRADIER, LLC","11321 SEVEN LOCKS RD.
POTOMAC, MD 20854
(39.041353, -77.159218)",1,53,20,1,1
HAMMER & STAIN,107B GIBBS ST,ROCKVILLE,MD,20850,SAGBW779376,On Premise,IZQUIERDO ART LLC,"107B GIBBS ST
ROCKVILLE, MD 20850
(39.085293, -77.15195)",1,71,25,3,12
LOCAVINO,8519 FENTON STREET,SILVER SPRING,MD,20910,BBWHR41463,On/Off-Premise,"EAT DRINK LIVE, LLC","8519 FENTON STREET
SILVER SPRING, MD 20910
(38.997078, -77.025747)",1,3065,7,5,1
TRUE RESPITE BREWING COMPANY,7301 CALHOUN PL,ROCKVILLE,MD,20855,DBW31607,On/Off-Premise,TRUE RESPITE BREWING COMPANY,"7301 CALHOUN PL
ROCKVILLE, MD 20855
(39.107769, -77.148192)",1,51,27,3,1
CLYDE'S OF CHEVY CHASE,5441 WISCONSIN AVENUE,CHEVY CHASE,MD,20815,BBWLHR86259,On Premise,"CLYDE'S OF CHEVY CHASE, LLC","5441 WISCONSIN AVENUE
CHEVY CHASE, MD 20815
(38.962284, -77.086343)",1,110,5,1,1
N-TACOSWAY MEXICAN GRILL,8777 - B FIRST AVENUE,SILVER SPRING,MD,20910,DBWL718356,On Premise,"TWSS1,LLC","8777 - B FIRST AVENUE
SILVER SPRING, MD 20910
(38.99973, -77.034277)",1,3065,7,5,1
KINGS CRAFT BEER & WINE DELI,"402 KING FARM BLVD., STE.100",ROCKVILLE,MD,20850,DBW43143,On/Off-Premise,"DNB, INC.","402 KING FARM BLVD., STE.100
ROCKVILLE, MD 20850
(39.113878, -77.172402)",1,71,25,3,12
HAKUNA MATATA GRILL,2405 PRICE AVE.,SILVER SPRING,MD,20902,BBWLHR44186,On Premise,"HAKUNA MATATA GROUP, LLC","2405 PRICE AVE.
SILVER SPRING, MD 20902
(39.040273, -77.050542)",1,17,16,4,1
QUINCY'S POTOMAC BAR & GRILLE,1093 SEVEN LOCKS RD.,ROCKVILLE,MD,20854,BBWLHR292259,On Premise,"RAT PACK OF MD II, LLC","1093 SEVEN LOCKS RD.
ROCKVILLE, MD 20854
(39.062214, -77.160795)",1,53,25,3,12
SAFEWAY,3333 SPARTAN ROAD,OLNEY,MD,20832,ABWS18689,Off Premise,"NAI SATURN EASTERN, LLC","3333 SPARTAN ROAD
OLNEY, MD 20832
(39.150002, -77.06478)",1,100,58,4,1
TOPGOLF,20051 CENTURY BLVD.,GERMANTOWN,MD,20874,BBWLHR208259,On Premise,"TOPGOLF USA GERMANTOWN, LLC","20051 CENTURY BLVD.
GERMANTOWN, MD 20874
(39.184793, -77.25955)",1,39,39,2,1
CENTER FOR LEADER EXCELLENCE,6777 & 6801 ROCKLEDGE DR.,BETHESDA,MD,20817,BBWLHR223265,On Premise,"ARAMARK SPORTS & ENTMT. SVCS., LLC","6777 & 6801 ROCKLEDGE DR.
BETHESDA, MD 20817
(39.030317, -77.136313)",1,103,19,1,1
HAWKERS ASIAN STREET FARE,7117 BETHESDA LN.,BETHESDA,MD,20814,BBWLHR208260,On Premise,"HAWKERS BETHESDA, LLC","7117 BETHESDA LN.
BETHESDA, MD 20814
(38.981897, -77.097829)",1,111,12,1,1
EATHAI,"4011 E. NORBECK RD, UNIT E",ROCKVILLE,MD,20853,HBW25816,On Premise,"121 FOOD & SERVICE, INC.","4011 E. NORBECK RD, UNIT E
ROCKVILLE, MD 20853
(39.109481, -77.077694)",1,58,60,4,1
BRAZIL GOURMET PIZZERIA & GRILL,9870 MAIN STREET,DAMASCUS,MD,20872,HBWHR462303,On Premise,"BRAZIL GOURMET, LLC","9870 MAIN STREET
DAMASCUS, MD 20872
(39.288266, -77.203578)",1,42,51,2,1
