"sra_no","title","sra_file","ordinance_no","ordinance_file","analyst","sponsor_s_","co_sponsor_s_","introduction_date","public_hearing_date","public_hearing_time","committee","worksession_date","worksession_date_2","worksession_date_3","worksession_date_4","worksession_date_5","worksession_date_6","worksession_date_7","worksession_date_8","action","adopted_date","disapproved_date","effective_date","amended_sections","comments"
"10-02","Minor Subdivision - Applicability","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2010/sra_10-02.pdf","16-54","https://www.montgomerycountymd.gov/council/resources/files/zta/2010/20100629_16-54.pdf",,,,,,,,,,,,,,,,,,,,,
"10-03","Master Plan Conformance - Roadway Classifications","https://www.montgomerycountymd.gov/council/resources/files/zta/2010/sra_10-03.pdf",,,,,,,,,,,,,,,,,,,,,,,
"11-01","Adequate Public Facilities - Preliminary Subdivision Plans- validity Period","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2011/sra_11-01.pdf","17-04","https://www.montgomerycountymd.gov/council/resources/files/zta/2011/20110315_17-04.pdf",,,,,,,,,,,,,,,,,,,,,
"11-02","Minor Subdivision","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2011/sra_11-02.pdf","17-10","https://www.montgomerycountymd.gov/council/resources/files/zta/2011/20120207_17-10.pdf",,,,,,,,,,,,,,,,,,,,,
"12-01","Preliminary Plan - Approval Procedure","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2012/sra_12-01.pdf","17-20","https://www.montgomerycountymd.gov/council/resources/files/zta/2012/20120918_17-20.pdf",,,,,,,,,,,,,,,,,,,,,
"12-02","Platting Exemptions - Community Legacy Plan Areas","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2012/sra_12-02.pdf","17-29","https://www.montgomerycountymd.gov/council/resources/files/zta/2013/20130212_17-29.pdf",,,,,,,,,,,,,,,,,,,,,
"12-03","Minor Subdivisions - Part of a Lot","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2012/sra_12-03.pdf","17-32","https://www.montgomerycountymd.gov/council/resources/files/zta/2013/20130409_17-32.pdf",,,,,,,,,,,,,,,,,,,,,
"12-04","Minor Subdivision - Ownership Lots","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2012/sra_12-04.pdf","17-30","https://www.montgomerycountymd.gov/council/resources/files/zta/2013/20130212_17-30.pdf",,,,,,,,,,,,,,,,,,,,,
"13-01","Adequate Public Facilities - Preliminary Subdivision Plans - Validity Period","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2013/sra_13-01.pdf","17-31","https://www.montgomerycountymd.gov/council/resources/files/zta/2013/20130319_17-31.pdf",,,,,,,,,,,,,,,,,,,,,
"13-02","Platting Exemptions - Single Family Dwelling","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2013/sra_13-02.pdf","17-36","https://www.montgomerycountymd.gov/council/resources/files/zta/2013/20130618_17-36.pdf",,,,,,,,,,,,,,,,,,,,,
"13-03","Record Plats - Approval","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2013/sra_13-03.pdf",,,,,,,,,,,,,,,,,,,,,,,
"14-01","Platting requirements - exceptions - Rural Village Overlay Zones","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2014/sra_14-01.pdf","17-47","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2014/20140722_17-47.pdf",,,,,,,,,,,,,,,,,,,,,
"15-01","Adequate Public Facilities - Preliminary Subdivision Plans - Validity Period","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2015/SRA_15-01.pdf","18-04","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2015/20150609_18-04.pdf",,,,,,,,,,,,,,,,,,,,,
"15-02","Record Plats - Exemptions","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2015/SRA_15-02.pdf","18-06","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2015/20151020_18-06.pdf",,,,,,,,,,,,,,,,,,,,,
"16-01","Subdivision Regulations Rewrite","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2016/SRA_16-01.pdf","16-01","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2016/20161115_18-19.pdf",,,,,,,,,,,,,,,,,,,,,
"17-01","Approval Procedures - Burial sites","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2017/SRA_17-01.pdf","18-31","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2017/20171031_18-31.pdf",,,,,,,,,,,,,,,,,,,,,
"18-01","Minor Subdivisions - Ownership 
Units","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2018/SRA_18-01.pdf","18-42","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2018/20180206_18-42.pdf",,,,,,,,,,,,,,,,,,,,,
"18-02","Regulation Subdivision - Signature Business Headquarters","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2018/SRA_18-02.pdf","18-46","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2018/20180524_18-46.pdf",,,,,,,,,,,,,,,,,,,,,
