"fiscal_year","service","department","program","expense_category","fund","fund_type","cost_center_name","account_name","expense_type","recommended_amount","approved_amount"
"2015","Public Safety","Police","Patrol Services","Retirement","General Fund","Tax Supported Funds","2nd District EFO Program","ERS","Personnel Costs","55336.73","0"
"2015","Public Safety","Police","Management Services","Retirement","General Fund","Tax Supported Funds","Help Desk & Training","RSP","Personnel Costs","11555.9","0"
"2015","Transportation","Transportation","Roadway and Related Maintenance","Retirement","General Fund","Tax Supported Funds","Beauty Spots","RSP","Personnel Costs",,"3157"
"2015","General Government","Circuit Court","Administration","Retirement","General Fund","Tax Supported Funds","Circuit Court-Admin","ERS","Personnel Costs","140225.25","0"
"2014","General Government","County Attorney","Public Interest Litigation","Retirement","General Fund","Tax Supported Funds","County Attorney - Municipal Code","ERS","Personnel Costs",,"31113"
"2014","General Government","County Attorney","Zoning, Land Use and Economic Development","Salaries and Wages","General Fund","Tax Supported Funds","Zoning","Full Time Salaries","Personnel Costs",,"435889"
"2014","General Government","County Attorney","Zoning, Land Use and Economic Development","Salaries and Wages","General Fund","Tax Supported Funds","Zoning","Lapse (Planning)","Personnel Costs",,"-233780"
"2014","General Government","County Attorney","Zoning, Land Use and Economic Development","Social Security","General Fund","Tax Supported Funds","Zoning","Social Security- FICA","Personnel Costs",,"25613"
"2014","General Government","County Attorney","Support Services","Group Insurance","General Fund","Tax Supported Funds","Support Services","Group Insurance","Personnel Costs",,"39017"
"2015","General Government","Circuit Court","Administration","Retirement","General Fund","Tax Supported Funds","Circuit Court-Admin","GRIP","Personnel Costs","2213.55","0"
"2015","General Government","Finance","Payroll","Group Insurance","General Fund","Tax Supported Funds","Payroll","Group Insurance","Personnel Costs","85880","0"
"2015","General Government","Finance","Payroll","Retirement","General Fund","Tax Supported Funds","Payroll","RSP","Personnel Costs","18848.12","0"
"2015","General Government","Finance","Payroll","Retirement","General Fund","Tax Supported Funds","Payroll","ERS","Personnel Costs","23327.05","0"
"2015","General Government","Finance","Payroll","Retirement","General Fund","Tax Supported Funds","Payroll","GRIP","Personnel Costs","20360.23","0"
"2015","General Government","Finance","Tax Operations","Retirement","General Fund","Tax Supported Funds","Tax Operations","GRIP","Personnel Costs","19420.12","0"
"2015","Public Safety","Police","Patrol Services","Retirement","General Fund","Tax Supported Funds","FSB Crisis Intervention Team","ERS","Personnel Costs","22879.25","0"
"2015","Public Safety","Police","Patrol Services","Salaries and Wages","General Fund","Tax Supported Funds","Duty Commander","Full Time Salaries","Personnel Costs","273193.81","0"
"2015","Public Safety","Police","Patrol Services","Social Security","General Fund","Tax Supported Funds","Duty Commander","Social Security- FICA","Personnel Costs","14743.6","0"
"2015","Public Safety","Police","Patrol Services","Retirement","General Fund","Tax Supported Funds","1st District EFO Program","ERS","Personnel Costs","124325.18","0"
"2015","Public Safety","Police","Investigative Services","Retirement","General Fund","Tax Supported Funds","Family Crimes Div. Administration","RSP","Personnel Costs","6209.41","0"
"2015","Public Safety","Police","Investigative Services","Retirement","General Fund","Tax Supported Funds","Family Crimes Div. Administration","ERS","Personnel Costs","148468.57","0"
"2015","Public Safety","Police","Investigative Services","Retirement","General Fund","Tax Supported Funds","Family Crimes Div. Administration","GRIP","Personnel Costs","4511.66","0"
"2015","Public Safety","Police","Patrol Services","Social Security","General Fund","Tax Supported Funds","3rd District DCAT","Social Security- FICA","Personnel Costs","26791.46","0"
"2015","Public Safety","Police","Patrol Services","Retirement","General Fund","Tax Supported Funds","5th District Administration","ERS","Personnel Costs","242399.16","0"
"2015","Public Safety","Police","Management Services","Retirement","General Fund","Tax Supported Funds","Mgmt & Bud Abandoned Vehicle","GRIP","Personnel Costs","7173.62","0"
"2015","Public Safety","Police","Management Services","Retirement","General Fund","Tax Supported Funds","Policy & Planning Division Admin","RSP","Personnel Costs","8193.78","0"
"2015","Public Safety","Police","Management Services","Retirement","General Fund","Tax Supported Funds","Policy & Planning Division Admin","ERS","Personnel Costs","126795.8","0"
"2015","Public Safety","Police","Management Services","Retirement","General Fund","Tax Supported Funds","Personnel Recruit","ERS","Personnel Costs","65306.9","0"
"2015","Libraries, Culture, and Recreation","Recreation","Aquatics","Retirement","Recreation","Tax Supported Funds","Olney","RSP","Personnel Costs",,"6239"
"2015","Public Safety","Police","Management Services","Retirement","General Fund","Tax Supported Funds","Network/Server & Phone Support","ERS","Personnel Costs","29451.29","0"
"2015","Public Safety","Police","Investigative Services","Retirement","General Fund","Tax Supported Funds","C.I.D-Court Liaison","RSP","Personnel Costs","1315.7","0"
"2015","Public Safety","Police","Investigative Services","Retirement","General Fund","Tax Supported Funds","C.I.D-Court Liaison","ERS","Personnel Costs","72443.35","0"
"2015","Public Safety","Police","Investigative Services","Retirement","General Fund","Tax Supported Funds","C.I.D Crime Laboratory Adm","GRIP","Personnel Costs","11212.56","0"
"2015","Public Safety","Police","Investigative Services","Retirement","General Fund","Tax Supported Funds","C.I.D-F.S.S","ERS","Personnel Costs","22292.4","0"
"2015","Public Safety","Police","Investigative Services","Retirement","General Fund","Tax Supported Funds","C.I.D-F.S.S","GRIP","Personnel Costs","4424.29","0"
"2014","Transportation","Transportation","Roadway and Related Maintenance","Retirement","General Fund","Tax Supported Funds","Mowing","GRIP","Personnel Costs",,"3026"
"2014","Transportation","Transportation","Roadway and Related Maintenance","Retirement","General Fund","Tax Supported Funds","Storm Drains","GRIP","Personnel Costs",,"12644"
"2014","Transportation","Transportation","Roadway and Related Maintenance","Retirement","General Fund","Tax Supported Funds","Storm Drains","Other Non-Workforce Retirement","Personnel Costs",,"-13660"
"2014","Transportation","Transportation","Roadway and Related Maintenance","Contract and Services","General Fund","Tax Supported Funds","Storm Drains","Mowing","Operating Expenses",,"30740"
"2014","Transportation","Transportation","Roadway and Related Maintenance","Group Insurance","General Fund","Tax Supported Funds","Other Roadway Maint","Other Non-Workforce Group Insurance","Personnel Costs",,"-6350"
"2014","Transportation","Transportation","Roadway and Related Maintenance","Rental Leases","General Fund","Tax Supported Funds","Storm Drains","Other Equipment Rentals","Operating Expenses",,"35675"
"2014","Transportation","Transportation","Roadway and Related Maintenance","Social Security","General Fund","Tax Supported Funds","Storm Drains","Social Security- FICA","Personnel Costs",,"97328"
"2015","General Government","Merit System Protection Board","Merit System Oversight","Social Security","General Fund","Tax Supported Funds","Merit System Protection Board","Social Security- FICA Medicaid","Personnel Costs","1213.63","0"
"2015","General Government","Merit System Protection Board","Merit System Oversight","Group Insurance","General Fund","Tax Supported Funds","Merit System Protection Board","Group Insurance","Personnel Costs","21470","0"
"2015","General Government","Merit System Protection Board","Merit System Oversight","Retirement","General Fund","Tax Supported Funds","Merit System Protection Board","GRIP","Personnel Costs","4221.67","0"
"2015","General Government","Zoning and Administrative Hearings","Zoning and Administrative Hearings","Salaries and Wages","General Fund","Tax Supported Funds","Office Of Zoning And Admin Hearings","Full Time Salaries","Personnel Costs","288924.84","0"
"2015","General Government","Zoning and Administrative Hearings","Zoning and Administrative Hearings","Salaries and Wages","General Fund","Tax Supported Funds","Office Of Zoning And Admin Hearings","Part Time Salaries","Personnel Costs","108772.85","0"
"2015","General Government","Zoning and Administrative Hearings","Zoning and Administrative Hearings","Social Security","General Fund","Tax Supported Funds","Office Of Zoning And Admin Hearings","Social Security- FICA","Personnel Costs","22483.54","0"
"2015","General Government","Zoning and Administrative Hearings","Zoning and Administrative Hearings","Social Security","General Fund","Tax Supported Funds","Office Of Zoning And Admin Hearings","Social Security- FICA Medicaid","Personnel Costs","5766.62","0"
"2015","General Government","Zoning and Administrative Hearings","Zoning and Administrative Hearings","Group Insurance","General Fund","Tax Supported Funds","Office Of Zoning And Admin Hearings","Group Insurance","Personnel Costs","42940","0"
"2015","General Government","Zoning and Administrative Hearings","Zoning and Administrative Hearings","Retirement","General Fund","Tax Supported Funds","Office Of Zoning And Admin Hearings","RSP","Personnel Costs","10797.19","0"
"2015","General Government","Zoning and Administrative Hearings","Zoning and Administrative Hearings","Retirement","General Fund","Tax Supported Funds","Office Of Zoning And Admin Hearings","GRIP","Personnel Costs","17655.65","0"
"2015","General Government","Inspector General","Inspector General","Books/Videos/Subscriptions","General Fund","Tax Supported Funds","Inspector General's Office","Newspapers","Operating Expenses","100","0"
"2015","General Government","Inspector General","Inspector General","Printing - Cental Duplicating Services","General Fund","Tax Supported Funds","Inspector General's Office","Imaging","Operating Expenses","550","0"
"2015","General Government","Inspector General","Inspector General","Outside Printing","General Fund","Tax Supported Funds","Inspector General's Office","Outside Printing / Copying","Operating Expenses","550","0"
"2015","General Government","Inspector General","Inspector General","Mail - Central Duplicating Services","General Fund","Tax Supported Funds","Inspector General's Office","Central Dup - Postage - Bulk","Operating Expenses","260","0"
"2015","General Government","Inspector General","Inspector General","Mail - Central Duplicating Services","General Fund","Tax Supported Funds","Inspector General's Office","Other - Mail","Operating Expenses","300","0"
"2015","General Government","Inspector General","Inspector General","Outside Postage and Mailing Services","General Fund","Tax Supported Funds","Inspector General's Office","Outside Postage","Operating Expenses","100","0"
"2015","General Government","Inspector General","Inspector General","Phones/Telecommunication Services","General Fund","Tax Supported Funds","Inspector General's Office","Long Distance Charges","Operating Expenses","250","0"
"2015","General Government","County Council","Council Staff Operations","Group Insurance","General Fund","Tax Supported Funds","Council Staff Opertions","Group Insurance","Personnel Costs","376798.5","0"
"2015","General Government","Inspector General","Inspector General","Phones/Telecommunication Services","General Fund","Tax Supported Funds","Inspector General's Office","Cellular Phone Line Charges","Operating Expenses","800","0"
"2015","General Government","Inspector General","Inspector General","Phones/Telecommunication Services","General Fund","Tax Supported Funds","Inspector General's Office","Telephone Add/Moves/Changes","Operating Expenses","1000","0"
"2015","General Government","Inspector General","Inspector General","Travel","General Fund","Tax Supported Funds","Inspector General's Office","Metropolitan Area Travel","Operating Expenses","500","0"
"2015","General Government","Inspector General","Inspector General","Travel","General Fund","Tax Supported Funds","Inspector General's Office","Other Travel","Operating Expenses","1000","0"
"2015","General Government","Inspector General","Inspector General","Advertising","General Fund","Tax Supported Funds","Inspector General's Office","Advertising - Jobs","Operating Expenses","1500","0"
"2015","General Government","County Council","Councilmember Offices","Salaries and Wages","General Fund","Tax Supported Funds","Council Members","Full Time Salaries","Personnel Costs","946601","0"
"2015","General Government","County Council","Councilmember Offices","Social Security","General Fund","Tax Supported Funds","Council Members","Social Security- FICA","Personnel Costs","58689.26","0"
"2015","General Government","County Council","Councilmember Offices","Social Security","General Fund","Tax Supported Funds","Council Members","Social Security- FICA Medicaid","Personnel Costs","13725.71","0"
"2015","General Government","County Council","Councilmember Offices","Group Insurance","General Fund","Tax Supported Funds","Council Members","Group Insurance","Personnel Costs","96615","0"
"2015","General Government","County Council","Councilmember Offices","Retirement","General Fund","Tax Supported Funds","Council Members","ERS","Personnel Costs","16643.52","0"
"2015","General Government","County Council","Councilmember Offices","Retirement","General Fund","Tax Supported Funds","Council Members","GRIP","Personnel Costs","49631.03","0"
"2015","General Government","County Council","Councilmember Offices","Salaries and Wages","General Fund","Tax Supported Funds","Council Member #1-Office","Full Time Salaries","Personnel Costs","262113","0"
"2015","General Government","County Council","Councilmember Offices","Salaries and Wages","General Fund","Tax Supported Funds","Council Member #3-Office","Full Time Salaries","Personnel Costs","307219.89","0"
"2015","General Government","County Council","Councilmember Offices","Social Security","General Fund","Tax Supported Funds","Council Member #3-Office","Social Security- FICA","Personnel Costs","17623.31","0"
"2015","General Government","County Council","Councilmember Offices","Social Security","General Fund","Tax Supported Funds","Council Member #3-Office","Social Security- FICA Medicaid","Personnel Costs","4454.69","0"
"2015","General Government","County Council","Councilmember Offices","Group Insurance","General Fund","Tax Supported Funds","Council Member #6-Office","Group Insurance","Personnel Costs","32205","0"
"2015","General Government","County Council","Councilmember Offices","Retirement","General Fund","Tax Supported Funds","Council Member #6-Office","RSP","Personnel Costs","20888.54","0"
"2015","General Government","County Council","Councilmember Offices","Salaries and Wages","General Fund","Tax Supported Funds","Council Member #7-Office","Full Time Salaries","Personnel Costs","293656.82","0"
"2014","Public Safety","Fire and Rescue Service","Operations","Retirement","Fire","Tax Supported Funds","Relief Personnel","ERS","Personnel Costs",,"380107"
"2015","General Government","County Council","Councilmember Offices","Social Security","General Fund","Tax Supported Funds","Council Member #7-Office","Social Security- FICA","Personnel Costs","17625.06","0"
"2015","General Government","County Council","Councilmember Offices","Social Security","General Fund","Tax Supported Funds","Council Member #7-Office","Social Security- FICA Medicaid","Personnel Costs","4258.02","0"
"2015","General Government","County Council","Councilmember Offices","Group Insurance","General Fund","Tax Supported Funds","Council Member #7-Office","Group Insurance","Personnel Costs","42940","0"
"2015","General Government","County Council","Council Staff Operations","Salaries and Wages","General Fund","Tax Supported Funds","Council Staff Opertions","Full Time Salaries","Personnel Costs","3185992.97","0"
"2015","General Government","County Council","Council Staff Operations","Salaries and Wages","General Fund","Tax Supported Funds","Council Staff Opertions","Part Time Salaries","Personnel Costs","240070.33","0"
"2015","General Government","County Council","Council Staff Operations","Social Security","General Fund","Tax Supported Funds","Council Staff Opertions","Social Security- FICA","Personnel Costs","195267.08","0"
"2015","General Government","County Council","Council Staff Operations","Social Security","General Fund","Tax Supported Funds","Council Staff Opertions","Social Security- FICA Medicaid","Personnel Costs","49677.92","0"
"2015","General Government","County Council","Council Staff Operations","Retirement","General Fund","Tax Supported Funds","Council Staff Opertions","RSP","Personnel Costs","79510.86","0"
"2015","General Government","County Council","Council Staff Operations","Retirement","General Fund","Tax Supported Funds","Council Staff Opertions","ERS","Personnel Costs","635300.28","0"
"2015","General Government","County Council","Council Staff Operations","Retirement","General Fund","Tax Supported Funds","Council Staff Opertions","GRIP","Personnel Costs","41503.18","0"
"2015","General Government","Board of Appeals","Zoning Related Hearings and Administrative Appeals","Salaries and Wages","General Fund","Tax Supported Funds","Board Of Appeals","Full Time Salaries","Personnel Costs","223135.62","0"
"2015","General Government","Board of Appeals","Zoning Related Hearings and Administrative Appeals","Social Security","General Fund","Tax Supported Funds","Board Of Appeals","Social Security- FICA","Personnel Costs","13808.66","0"
"2015","General Government","Board of Appeals","Zoning Related Hearings and Administrative Appeals","Social Security","General Fund","Tax Supported Funds","Board Of Appeals","Social Security- FICA Medicaid","Personnel Costs","3235.47","0"
"2015","General Government","Board of Appeals","Zoning Related Hearings and Administrative Appeals","Group Insurance","General Fund","Tax Supported Funds","Board Of Appeals","Group Insurance","Personnel Costs","32205","0"
"2015","General Government","Board of Appeals","Zoning Related Hearings and Administrative Appeals","Retirement","General Fund","Tax Supported Funds","Board Of Appeals","RSP","Personnel Costs","3528.76","0"
"2015","General Government","Board of Appeals","Zoning Related Hearings and Administrative Appeals","Retirement","General Fund","Tax Supported Funds","Board Of Appeals","ERS","Personnel Costs","42559.75","0"
"2015","General Government","Board of Appeals","Zoning Related Hearings and Administrative Appeals","Retirement","General Fund","Tax Supported Funds","Board Of Appeals","GRIP","Personnel Costs","4012.57","0"
"2015","General Government","Board of Appeals","Zoning Related Hearings and Administrative Appeals","Salaries and Wages","General Fund","Tax Supported Funds","Board Of Appeals","Part Time Salaries","Personnel Costs","71254.5","0"
"2015","General Government","Board of Appeals","Zoning Related Hearings and Administrative Appeals","Social Security","General Fund","Tax Supported Funds","Board Of Appeals","Social Security- FICA","Personnel Costs","4417.78","0"
"2015","General Government","Board of Appeals","Zoning Related Hearings and Administrative Appeals","Social Security","General Fund","Tax Supported Funds","Board Of Appeals","Social Security- FICA Medicaid","Personnel Costs","1033.19","0"
"2015","General Government","Board of Appeals","Zoning Related Hearings and Administrative Appeals","Group Insurance","General Fund","Tax Supported Funds","Board Of Appeals","Group Insurance","Personnel Costs","10735","0"
"2015","General Government","Board of Appeals","Zoning Related Hearings and Administrative Appeals","Retirement","General Fund","Tax Supported Funds","Board Of Appeals","RSP","Personnel Costs","5700.36","0"
"2015","General Government","Legislative Oversight","Legislative Oversight","Salaries and Wages","General Fund","Tax Supported Funds","Legislative Oversight","Full Time Salaries","Personnel Costs","1053541.01","0"
"2015","General Government","Legislative Oversight","Legislative Oversight","Social Security","General Fund","Tax Supported Funds","Legislative Oversight","Social Security- FICA","Personnel Costs","59964.2","0"
"2015","General Government","Legislative Oversight","Legislative Oversight","Social Security","General Fund","Tax Supported Funds","Legislative Oversight","Social Security- FICA Medicaid","Personnel Costs","15276.34","0"
"2015","General Government","Legislative Oversight","Legislative Oversight","Group Insurance","General Fund","Tax Supported Funds","Legislative Oversight","Group Insurance","Personnel Costs","118085","0"
"2015","General Government","Legislative Oversight","Legislative Oversight","Retirement","General Fund","Tax Supported Funds","Legislative Oversight","RSP","Personnel Costs","24464.25","0"
"2015","General Government","Legislative Oversight","Legislative Oversight","Retirement","General Fund","Tax Supported Funds","Legislative Oversight","ERS","Personnel Costs","103470.98","0"
"2015","General Government","Legislative Oversight","Legislative Oversight","Retirement","General Fund","Tax Supported Funds","Legislative Oversight","GRIP","Personnel Costs","27954.36","0"
"2015","General Government","Circuit Court","Administration","Retirement","General Fund","Tax Supported Funds","Circuit Court-Admin","RSP","Personnel Costs","46360.96","0"
"2015","General Government","Merit System Protection Board","Merit System Oversight","Salaries and Wages","General Fund","Tax Supported Funds","Merit System Protection Board","Part Time Salaries","Personnel Costs","83698.33","0"
"2015","General Government","Merit System Protection Board","Merit System Oversight","Social Security","General Fund","Tax Supported Funds","Merit System Protection Board","Social Security- FICA","Personnel Costs","5189.3","0"
"2015","General Government","State's Attorney","District Court Prosecution","Salaries and Wages","General Fund","Tax Supported Funds","District Court Prosecution","Full Time Salaries","Personnel Costs","2370923.82","0"
"2015","General Government","State's Attorney","District Court Prosecution","Salaries and Wages","General Fund","Tax Supported Funds","District Court Prosecution","Part Time Salaries","Personnel Costs","93311.28","0"
"2015","General Government","State's Attorney","District Court Prosecution","Social Security","General Fund","Tax Supported Funds","District Court Prosecution","Social Security- FICA","Personnel Costs","150042.76","0"
"2015","General Government","State's Attorney","District Court Prosecution","Social Security","General Fund","Tax Supported Funds","District Court Prosecution","Social Security- FICA Medicaid","Personnel Costs","35731.41","0"
"2015","General Government","State's Attorney","District Court Prosecution","Group Insurance","General Fund","Tax Supported Funds","District Court Prosecution","Group Insurance","Personnel Costs","322050","0"
"2015","General Government","State's Attorney","District Court Prosecution","Retirement","General Fund","Tax Supported Funds","District Court Prosecution","RSP","Personnel Costs","117669.68","0"
"2015","General Government","State's Attorney","Juvenile Court Prosecution","Salaries and Wages","General Fund","Tax Supported Funds","Juvenile Court","Full Time Salaries","Personnel Costs","872266.29","0"
"2015","General Government","State's Attorney","Juvenile Court Prosecution","Salaries and Wages","General Fund","Tax Supported Funds","Juvenile Court","Part Time Salaries","Personnel Costs","115238.05","0"
"2015","General Government","State's Attorney","Juvenile Court Prosecution","Social Security","General Fund","Tax Supported Funds","Juvenile Court","Social Security- FICA","Personnel Costs","59449.3","0"
"2015","General Government","State's Attorney","Juvenile Court Prosecution","Social Security","General Fund","Tax Supported Funds","Juvenile Court","Social Security- FICA Medicaid","Personnel Costs","14318.81","0"
"2015","General Government","State's Attorney","Juvenile Court Prosecution","Group Insurance","General Fund","Tax Supported Funds","Juvenile Court","Group Insurance","Personnel Costs","155657.5","0"
"2015","General Government","State's Attorney","Juvenile Court Prosecution","Retirement","General Fund","Tax Supported Funds","Juvenile Court","RSP","Personnel Costs","59062.63","0"
"2015","General Government","State's Attorney","Juvenile Court Prosecution","Retirement","General Fund","Tax Supported Funds","Juvenile Court","ERS","Personnel Costs","67241.41","0"
"2015","General Government","State's Attorney","Juvenile Court Prosecution","Retirement","General Fund","Tax Supported Funds","Juvenile Court","GRIP","Personnel Costs","4079.83","0"
"2015","General Government","County Executive","County Executive - Policy Planning and Development","Salaries and Wages","General Fund","Tax Supported Funds","County Executive","Full Time Salaries","Personnel Costs","738075.33","0"
"2015","General Government","County Executive","County Executive - Policy Planning and Development","Salaries and Wages","General Fund","Tax Supported Funds","County Executive","Part Time Salaries","Personnel Costs","236072","0"
"2015","General Government","County Executive","County Executive - Policy Planning and Development","Salaries and Wages","General Fund","Tax Supported Funds","County Executive","Lapse (Workforce)","Personnel Costs","-153960","0"
"2015","General Government","County Executive","County Executive - Policy Planning and Development","Social Security","General Fund","Tax Supported Funds","County Executive","Social Security- FICA","Personnel Costs","43499.64","0"
"2015","General Government","County Executive","County Executive - Policy Planning and Development","Social Security","General Fund","Tax Supported Funds","County Executive","Social Security- FICA Medicaid","Personnel Costs","11892.72","0"
"2015","General Government","County Executive","County Executive - Policy Planning and Development","Group Insurance","General Fund","Tax Supported Funds","County Executive","Group Insurance","Personnel Costs","75145","0"
"2015","General Government","County Executive","County Executive - Policy Planning and Development","Retirement","General Fund","Tax Supported Funds","County Executive","RSP","Personnel Costs","37104.57","0"
"2015","General Government","County Executive","County Executive - Policy Planning and Development","Retirement","General Fund","Tax Supported Funds","County Executive","ERS","Personnel Costs","14420","0"
