"fiscal_year","service","department","program","expense_category","fund","fund_type","cost_center_name","account_name","expense_type","recommended_amount","approved_amount"
"2015","Health and Human Services","Health and Human Services","Treatment Services - Admin","Social Security","Grant Fund","Non-Tax Supported Funds","Care Coordination","Social Security- FICA Medicaid","Personnel Costs","5821.6","0"
"2015","Health and Human Services","Health and Human Services","Treatment Services - Admin","Group Insurance","Grant Fund","Non-Tax Supported Funds","Care Coordination","Group Insurance","Personnel Costs","63336.5","0"
"2015","Health and Human Services","Health and Human Services","Assessment & Continuing Case Mgmt Svcs","Salaries and Wages","Grant Fund","Non-Tax Supported Funds","Adult Protective & Case Management Services","Full Time Salaries","Personnel Costs","281490.35","0"
"2015","Health and Human Services","Health and Human Services","Assessment & Continuing Case Mgmt Svcs","Salaries and Wages","Grant Fund","Non-Tax Supported Funds","Adult Protective & Case Management Services","Part Time Salaries","Personnel Costs","44948.91","0"
"2015","Health and Human Services","Health and Human Services","Assessment & Continuing Case Mgmt Svcs","Social Security","Grant Fund","Non-Tax Supported Funds","Adult Protective & Case Management Services","Social Security- FICA","Personnel Costs","20239.23","0"
"2015","Health and Human Services","Health and Human Services","Assessment & Continuing Case Mgmt Svcs","Social Security","Grant Fund","Non-Tax Supported Funds","Adult Protective & Case Management Services","Social Security- FICA Medicaid","Personnel Costs","4733.37","0"
"2015","Health and Human Services","Health and Human Services","Treatment Services - Admin","Social Security","Grant Fund","Non-Tax Supported Funds","Women's Health Services","Social Security- FICA Medicaid","Personnel Costs","615.48","0"
"2015","Health and Human Services","Health and Human Services","Treatment Services - Admin","Group Insurance","Grant Fund","Non-Tax Supported Funds","Women's Health Services","Group Insurance","Personnel Costs","10735","0"
"2015","Health and Human Services","Health and Human Services","Treatment Services - Admin","Retirement","Grant Fund","Non-Tax Supported Funds","Women's Health Services","RSP","Personnel Costs","3395.76","0"
"2015","Health and Human Services","Health and Human Services","Treatment Services - Admin","Salaries and Wages","Grant Fund","Non-Tax Supported Funds","Women's Health Services","Full Time Salaries","Personnel Costs","123238.3","0"
"2015","Health and Human Services","Health and Human Services","Treatment Services - Admin","Salaries and Wages","Grant Fund","Non-Tax Supported Funds","Women's Health Services","Part Time Salaries","Personnel Costs","12145.52","0"
"2015","Health and Human Services","Health and Human Services","Treatment Services - Admin","Social Security","Grant Fund","Non-Tax Supported Funds","Women's Health Services","Social Security- FICA","Personnel Costs","8393.8","0"
"2015","Health and Human Services","Health and Human Services","Treatment Services - Admin","Social Security","Grant Fund","Non-Tax Supported Funds","Women's Health Services","Social Security- FICA Medicaid","Personnel Costs","1963.07","0"
"2015","Health and Human Services","Health and Human Services","Early Childhood Services","Retirement","Grant Fund","Non-Tax Supported Funds","Early Childhood Services","GRIP","Personnel Costs","2301.8","0"
"2015","Health and Human Services","Health and Human Services","Behavioral Health Planning & Management","Salaries and Wages","Grant Fund","Non-Tax Supported Funds","Behavioral Health Planning & Management","Full Time Salaries","Personnel Costs","175202.22","0"
"2015","Health and Human Services","Health and Human Services","Behavioral Health Planning & Management","Salaries and Wages","Grant Fund","Non-Tax Supported Funds","Behavioral Health Planning & Management","Part Time Salaries","Personnel Costs","42742.44","0"
"2015","Health and Human Services","Health and Human Services","Access To Behavioral Health Services","Salaries and Wages","Grant Fund","Non-Tax Supported Funds","Behavioral Health Community Support Services","Full Time Salaries","Personnel Costs","171315.72","0"
"2015","Health and Human Services","Health and Human Services","Access To Behavioral Health Services","Social Security","Grant Fund","Non-Tax Supported Funds","Behavioral Health Community Support Services","Social Security- FICA","Personnel Costs","10621.57","0"
"2015","Health and Human Services","Health and Human Services","Access To Behavioral Health Services","Social Security","Grant Fund","Non-Tax Supported Funds","Behavioral Health Community Support Services","Social Security- FICA Medicaid","Personnel Costs","2484.08","0"
"2015","Health and Human Services","Health and Human Services","Access To Behavioral Health Services","Group Insurance","Grant Fund","Non-Tax Supported Funds","Behavioral Health Community Support Services","Group Insurance","Personnel Costs","24690.5","0"
"2015","Health and Human Services","Health and Human Services","Access To Behavioral Health Services","Retirement","Grant Fund","Non-Tax Supported Funds","Behavioral Health Community Support Services","RSP","Personnel Costs","7416.15","0"
"2015","Health and Human Services","Health and Human Services","Access To Behavioral Health Services","Retirement","Grant Fund","Non-Tax Supported Funds","Behavioral Health Community Support Services","ERS","Personnel Costs","27318.33","0"
"2015","Health and Human Services","Health and Human Services","Outpatient Behavioral Health Services - Adult","Salaries and Wages","Grant Fund","Non-Tax Supported Funds","Adult Intensive Outpatient Services","Full Time Salaries","Personnel Costs","99557.91","0"
"2015","Health and Human Services","Health and Human Services","Outpatient Behavioral Health Services - Adult","Social Security","Grant Fund","Non-Tax Supported Funds","Adult Intensive Outpatient Services","Social Security- FICA","Personnel Costs","6172.59","0"
"2015","Health and Human Services","Health and Human Services","Outpatient Behavioral Health Services - Adult","Social Security","Grant Fund","Non-Tax Supported Funds","Adult Intensive Outpatient Services","Social Security- FICA Medicaid","Personnel Costs","1443.59","0"
"2015","Health and Human Services","Health and Human Services","Outpatient Behavioral Health Services - Adult","Group Insurance","Grant Fund","Non-Tax Supported Funds","Adult Intensive Outpatient Services","Group Insurance","Personnel Costs","10735","0"
"2015","Health and Human Services","Health and Human Services","Outpatient Behavioral Health Services - Adult","Retirement","Grant Fund","Non-Tax Supported Funds","Adult Intensive Outpatient Services","RSP","Personnel Costs","7964.63","0"
"2015","Health and Human Services","Health and Human Services","Outpatient Behavioral Health Services - Adult","Salaries and Wages","Grant Fund","Non-Tax Supported Funds","Outpatient Addiction & Mental Health Clinic","Full Time Salaries","Personnel Costs","86690.51","0"
"2015","Health and Human Services","Health and Human Services","Outpatient Behavioral Health Services - Adult","Social Security","Grant Fund","Non-Tax Supported Funds","Outpatient Addiction & Mental Health Clinic","Social Security- FICA","Personnel Costs","5374.81","0"
"2015","Health and Human Services","Health and Human Services","Outpatient Behavioral Health Services - Adult","Social Security","Grant Fund","Non-Tax Supported Funds","Outpatient Addiction & Mental Health Clinic","Social Security- FICA Medicaid","Personnel Costs","1257.01","0"
"2015","Health and Human Services","Health and Human Services","Outpatient Behavioral Health Services - Adult","Group Insurance","Grant Fund","Non-Tax Supported Funds","Outpatient Addiction & Mental Health Clinic","Group Insurance","Personnel Costs","10735","0"
"2015","Health and Human Services","Health and Human Services","Outpatient Behavioral Health Services - Adult","Retirement","Grant Fund","Non-Tax Supported Funds","Outpatient Addiction & Mental Health Clinic","RSP","Personnel Costs","6935.24","0"
"2015","Health and Human Services","Health and Human Services","Forensic Services - Adult","Salaries and Wages","Grant Fund","Non-Tax Supported Funds","Clinical Assessment & Triage Services","Full Time Salaries","Personnel Costs","84512.73","0"
"2015","Health and Human Services","Health and Human Services","Forensic Services - Adult","Social Security","Grant Fund","Non-Tax Supported Funds","Clinical Assessment & Triage Services","Social Security- FICA","Personnel Costs","5233.98","0"
"2015","Health and Human Services","Health and Human Services","Forensic Services - Adult","Social Security","Grant Fund","Non-Tax Supported Funds","Clinical Assessment & Triage Services","Social Security- FICA Medicaid","Personnel Costs","1225.43","0"
"2015","Health and Human Services","Health and Human Services","Forensic Services - Adult","Group Insurance","Grant Fund","Non-Tax Supported Funds","Clinical Assessment & Triage Services","Group Insurance","Personnel Costs","7621.85","0"
"2015","Health and Human Services","Health and Human Services","Forensic Services - Adult","Retirement","Grant Fund","Non-Tax Supported Funds","Clinical Assessment & Triage Services","ERS","Personnel Costs","31827.5","0"
"2015","Health and Human Services","Health and Human Services","Forensic Services - Adult","Salaries and Wages","Grant Fund","Non-Tax Supported Funds","Jail Addiction Services","Full Time Salaries","Personnel Costs","156956.47","0"
"2015","Health and Human Services","Health and Human Services","Forensic Services - Adult","Social Security","Grant Fund","Non-Tax Supported Funds","Jail Addiction Services","Social Security- FICA","Personnel Costs","9731.3","0"
"2015","Health and Human Services","Health and Human Services","Forensic Services - Adult","Social Security","Grant Fund","Non-Tax Supported Funds","Jail Addiction Services","Social Security- FICA Medicaid","Personnel Costs","2275.87","0"
"2015","Health and Human Services","Health and Human Services","Forensic Services - Adult","Group Insurance","Grant Fund","Non-Tax Supported Funds","Jail Addiction Services","Group Insurance","Personnel Costs","21470","0"
"2015","Health and Human Services","Health and Human Services","Forensic Services - Adult","Retirement","Grant Fund","Non-Tax Supported Funds","Jail Addiction Services","ERS","Personnel Costs","59109.81","0"
"2015","Health and Human Services","Health and Human Services","Specialty Behavioral Health Services","Group Insurance","Grant Fund","Non-Tax Supported Funds","Medication Assisted Treatment-Clinical/Vocational Svcs","Group Insurance","Personnel Costs","37572.5","0"
"2015","Health and Human Services","Health and Human Services","Specialty Behavioral Health Services","Retirement","Grant Fund","Non-Tax Supported Funds","Medication Assisted Treatment-Clinical/Vocational Svcs","RSP","Personnel Costs","13826.8","0"
"2015","Health and Human Services","Health and Human Services","Specialty Behavioral Health Services","Retirement","Grant Fund","Non-Tax Supported Funds","Medication Assisted Treatment-Clinical/Vocational Svcs","ERS","Personnel Costs","36222.55","0"
"2015","Health and Human Services","Health and Human Services","Cancer & Tobacco Prevention","Salaries and Wages","Grant Fund","Non-Tax Supported Funds","Cancer & Tobacco Prevention","Full Time Salaries","Personnel Costs","177469.04","0"
"2015","Health and Human Services","Health and Human Services","Cancer & Tobacco Prevention","Social Security","Grant Fund","Non-Tax Supported Funds","Cancer & Tobacco Prevention","Social Security- FICA","Personnel Costs","11003.08","0"
"2015","Health and Human Services","Health and Human Services","Cancer & Tobacco Prevention","Social Security","Grant Fund","Non-Tax Supported Funds","Cancer & Tobacco Prevention","Social Security- FICA Medicaid","Personnel Costs","2573.3","0"
"2015","Health and Human Services","Health and Human Services","Cancer & Tobacco Prevention","Group Insurance","Grant Fund","Non-Tax Supported Funds","Cancer & Tobacco Prevention","Group Insurance","Personnel Costs","21470","0"
"2015","Health and Human Services","Health and Human Services","Cancer & Tobacco Prevention","Retirement","Grant Fund","Non-Tax Supported Funds","Cancer & Tobacco Prevention","RSP","Personnel Costs","14197.52","0"
"2015","Health and Human Services","Health and Human Services","Cancer & Tobacco Prevention","Salaries and Wages","Grant Fund","Non-Tax Supported Funds","Cancer & Tobacco Prevention","Full Time Salaries","Personnel Costs","98360.31","0"
"2015","Health and Human Services","Health and Human Services","Cancer & Tobacco Prevention","Social Security","Grant Fund","Non-Tax Supported Funds","Cancer & Tobacco Prevention","Social Security- FICA","Personnel Costs","6098.34","0"
"2015","Health and Human Services","Health and Human Services","Cancer & Tobacco Prevention","Group Insurance","Grant Fund","Non-Tax Supported Funds","Cancer & Tobacco Prevention","Group Insurance","Personnel Costs","10735","0"
"2015","Health and Human Services","Health and Human Services","Assessment & Continuing Case Mgmt Svcs","Salaries and Wages","Grant Fund","Non-Tax Supported Funds","Adult Public Guardianship","Part Time Salaries","Personnel Costs","29205.76","0"
"2015","Health and Human Services","Health and Human Services","Assessment & Continuing Case Mgmt Svcs","Social Security","Grant Fund","Non-Tax Supported Funds","Adult Public Guardianship","Social Security- FICA","Personnel Costs","1810.76","0"
"2015","Health and Human Services","Health and Human Services","Assessment & Continuing Case Mgmt Svcs","Social Security","Grant Fund","Non-Tax Supported Funds","Adult Public Guardianship","Social Security- FICA Medicaid","Personnel Costs","423.48","0"
"2015","Health and Human Services","Health and Human Services","Assessment & Continuing Case Mgmt Svcs","Group Insurance","Grant Fund","Non-Tax Supported Funds","Adult Public Guardianship","Group Insurance","Personnel Costs","5689.55","0"
"2015","Health and Human Services","Health and Human Services","Assessment & Continuing Case Mgmt Svcs","Retirement","Grant Fund","Non-Tax Supported Funds","Adult Public Guardianship","RSP","Personnel Costs","2336.46","0"
"2015","Health and Human Services","Health and Human Services","Ombudsman Services","Salaries and Wages","Grant Fund","Non-Tax Supported Funds","Ombudsman Services","Full Time Salaries","Personnel Costs","62472.3","0"
"2015","Health and Human Services","Health and Human Services","Ombudsman Services","Salaries and Wages","Grant Fund","Non-Tax Supported Funds","Ombudsman Services","Part Time Salaries","Personnel Costs","38292.98","0"
"2015","Health and Human Services","Health and Human Services","Ombudsman Services","Social Security","Grant Fund","Non-Tax Supported Funds","Ombudsman Services","Social Security- FICA","Personnel Costs","6247.45","0"
"2015","Health and Human Services","Health and Human Services","Ombudsman Services","Social Security","Grant Fund","Non-Tax Supported Funds","Ombudsman Services","Social Security- FICA Medicaid","Personnel Costs","1461.1","0"
"2015","Health and Human Services","Health and Human Services","Ombudsman Services","Group Insurance","Grant Fund","Non-Tax Supported Funds","Ombudsman Services","Group Insurance","Personnel Costs","21040.6","0"
"2015","Health and Human Services","Health and Human Services","Ombudsman Services","Retirement","Grant Fund","Non-Tax Supported Funds","Ombudsman Services","RSP","Personnel Costs","4997.78","0"
"2015","Health and Human Services","Health and Human Services","Ombudsman Services","Retirement","Grant Fund","Non-Tax Supported Funds","Ombudsman Services","GRIP","Personnel Costs","2573.29","0"
"2015","Health and Human Services","Health and Human Services","Infants & Toddlers","Salaries and Wages","Grant Fund","Non-Tax Supported Funds","Infants & Toddlers","Full Time Salaries","Personnel Costs","160311.37","0"
"2015","Health and Human Services","Health and Human Services","Infants & Toddlers","Salaries and Wages","Grant Fund","Non-Tax Supported Funds","Infants & Toddlers","Part Time Salaries","Personnel Costs","67129.98","0"
"2015","Health and Human Services","Health and Human Services","Infants & Toddlers","Social Security","Grant Fund","Non-Tax Supported Funds","Infants & Toddlers","Social Security- FICA","Personnel Costs","14101.36","0"
"2015","Health and Human Services","Health and Human Services","Infants & Toddlers","Social Security","Grant Fund","Non-Tax Supported Funds","Infants & Toddlers","Social Security- FICA Medicaid","Personnel Costs","3297.9","0"
"2015","Health and Human Services","Health and Human Services","Infants & Toddlers","Group Insurance","Grant Fund","Non-Tax Supported Funds","Infants & Toddlers","Group Insurance","Personnel Costs","42940","0"
"2015","Health and Human Services","Health and Human Services","Infants & Toddlers","Retirement","Grant Fund","Non-Tax Supported Funds","Infants & Toddlers","RSP","Personnel Costs","12916.72","0"
"2015","Health and Human Services","Health and Human Services","Infants & Toddlers","Retirement","Grant Fund","Non-Tax Supported Funds","Infants & Toddlers","GRIP","Personnel Costs","4434.02","0"
"2015","Health and Human Services","Health and Human Services","School Health Services","Salaries and Wages","Grant Fund","Non-Tax Supported Funds","School Based Health Centers","Full Time Salaries","Personnel Costs","49778.95","0"
"2015","Health and Human Services","Health and Human Services","School Health Services","Social Security","Grant Fund","Non-Tax Supported Funds","School Based Health Centers","Social Security- FICA","Personnel Costs","3086.3","0"
"2015","Health and Human Services","Health and Human Services","School Health Services","Social Security","Grant Fund","Non-Tax Supported Funds","School Based Health Centers","Social Security- FICA Medicaid","Personnel Costs","721.79","0"
"2015","Health and Human Services","Health and Human Services","School Health Services","Group Insurance","Grant Fund","Non-Tax Supported Funds","School Based Health Centers","Group Insurance","Personnel Costs","5367.5","0"
"2015","Health and Human Services","Health and Human Services","School Health Services","Retirement","Grant Fund","Non-Tax Supported Funds","School Based Health Centers","RSP","Personnel Costs","3982.32","0"
"2015","Health and Human Services","Health and Human Services","Early Childhood Services","Salaries and Wages","Grant Fund","Non-Tax Supported Funds","Early Childhood Services","Part Time Salaries","Personnel Costs","66671.08","0"
"2015","Health and Human Services","Health and Human Services","Early Childhood Services","Social Security","Grant Fund","Non-Tax Supported Funds","Early Childhood Services","Social Security- FICA","Personnel Costs","4133.61","0"
"2015","Health and Human Services","Health and Human Services","Early Childhood Services","Social Security","Grant Fund","Non-Tax Supported Funds","Early Childhood Services","Social Security- FICA Medicaid","Personnel Costs","966.73","0"
"2015","Health and Human Services","Health and Human Services","Early Childhood Services","Group Insurance","Grant Fund","Non-Tax Supported Funds","Early Childhood Services","Group Insurance","Personnel Costs","21470","0"
"2015","Health and Human Services","Health and Human Services","Early Childhood Services","Retirement","Grant Fund","Non-Tax Supported Funds","Early Childhood Services","RSP","Personnel Costs","2489.63","0"
"2015","Health and Human Services","Health and Human Services","Specialty Behavioral Health Services","Salaries and Wages","Grant Fund","Non-Tax Supported Funds","Adult Drug Court","Full Time Salaries","Personnel Costs","65280.22","0"
"2015","Health and Human Services","Health and Human Services","Specialty Behavioral Health Services","Social Security","Grant Fund","Non-Tax Supported Funds","Adult Drug Court","Social Security- FICA","Personnel Costs","4047.37","0"
"2015","Health and Human Services","Health and Human Services","Specialty Behavioral Health Services","Social Security","Grant Fund","Non-Tax Supported Funds","Adult Drug Court","Social Security- FICA Medicaid","Personnel Costs","946.56","0"
"2015","Health and Human Services","Health and Human Services","Specialty Behavioral Health Services","Group Insurance","Grant Fund","Non-Tax Supported Funds","Adult Drug Court","Group Insurance","Personnel Costs","10735","0"
"2015","Health and Human Services","Health and Human Services","Specialty Behavioral Health Services","Retirement","Grant Fund","Non-Tax Supported Funds","Adult Drug Court","RSP","Personnel Costs","5222.42","0"
"2015","General Government","Circuit Court","Grants","Salaries and Wages","Grant Fund","Non-Tax Supported Funds","Circuit Court Grants","Full Time Salaries","Personnel Costs","1424181.8","0"
"2015","General Government","Circuit Court","Grants","Salaries and Wages","Grant Fund","Non-Tax Supported Funds","Circuit Court Grants","Part Time Salaries","Personnel Costs","42628.67","0"
"2015","General Government","Circuit Court","Grants","Social Security","Grant Fund","Non-Tax Supported Funds","Circuit Court Grants","Social Security- FICA","Personnel Costs","90942.25","0"
"2015","General Government","Circuit Court","Grants","Social Security","Grant Fund","Non-Tax Supported Funds","Circuit Court Grants","Social Security- FICA Medicaid","Personnel Costs","21268.75","0"
"2015","General Government","Circuit Court","Grants","Group Insurance","Grant Fund","Non-Tax Supported Funds","Circuit Court Grants","Group Insurance","Personnel Costs","225435","0"
"2015","General Government","Circuit Court","Grants","Retirement","Grant Fund","Non-Tax Supported Funds","Circuit Court Grants","RSP","Personnel Costs","92930.71","0"
"2015","General Government","Circuit Court","Grants","Retirement","Grant Fund","Non-Tax Supported Funds","Circuit Court Grants","ERS","Personnel Costs","62858.91","0"
"2015","General Government","Circuit Court","Grants","Retirement","Grant Fund","Non-Tax Supported Funds","Circuit Court Grants","GRIP","Personnel Costs","8665.65","0"
"2015","Health and Human Services","Health and Human Services","Director's Office","Salaries and Wages","Grant Fund","Non-Tax Supported Funds","Director's Office","Full Time Salaries","Personnel Costs","277166.49","0"
"2015","Health and Human Services","Health and Human Services","Director's Office","Social Security","Grant Fund","Non-Tax Supported Funds","Director's Office","Social Security- FICA","Personnel Costs","17184.32","0"
"2015","Health and Human Services","Health and Human Services","Director's Office","Social Security","Grant Fund","Non-Tax Supported Funds","Director's Office","Social Security- FICA Medicaid","Personnel Costs","4018.91","0"
"2015","Health and Human Services","Health and Human Services","Director's Office","Group Insurance","Grant Fund","Non-Tax Supported Funds","Director's Office","Group Insurance","Personnel Costs","53675","0"
