"objectid","source","suite","telephone_","fax_","areas_serv","beds","legal_serv","counseling","housing","bath","laundry","food","mar_addr","program_co","name","web_url","pop_serv","title","location_1"
"13","Answers Please",,"(202) 842-9090","(202) 842-9095","DC",,,"yes","yes",," "," ","128 M STREET NW","Betty Jo Gaine","Bright Beginnings - Child Development Program"," ","Ages 6 weeks - 5 years, Children from families that reside in transitional housing or shelters","Executive Director","128 M Street NW
,  20001
(38.90538734, -77.01335305)"
"14","Answers Please",,"(202) 328-0802","(202) 328-7644","DC",,,"yes","yes",," "," ","1307 1ST STREET NW","Rufus Felder","SOME - Joshua House - Transitional Housing","http://www.some.org","Single men, willing and able to work","Program Director","1307 1st Street NW
,  20001
(38.90767319, -77.01191126)"
"15","Answers Please",,"(202) 635-2101","(202) 635-2114","DC",,,"yes"," ",," "," ","1309 RHODE ISLAND AVENUE NE","Melinda OBrien","Unity Health Care - New Life Day Center","http://www.unityhealthcare.org","Homeless persons, able to function in a group setting, and willing to provide documentation of HIV stat","Manager","1309 Rhode Island Avenue NE
,  20018
(38.9236329, -76.98643612)"
"16","Answers Please",,"(202) 675-9375","(202) 675-8415","DC",,,"yes","yes",," "," ","1312 EAST CAPITOL STREET NE","Deborah Shore","Sasha Bruce Youthwork - Independent Living Program","http://www.sashabruce.org","Ages 16 - 18, homeless, must be willing and able to work","Executive Director","1312 East Capital Street NE
,  20003
(38.89012296, -76.98767366)"
"17","Answers Please",," "," ","DC",,,"yes","yes",,"yes","yes","1318 PARK ROAD NW","Oliver Fortune","Coalition for the Homeless - Park Road Transitional House"," ","Homeless men 18 years of age and over with no communicable diseases","Program Director","1318 Park Road NW
,  20011
(38.93081023, -77.03050107)"
"18","Answers Please",,"(202) 544-3150","(202) 544-5410","DC",,,"yes","yes",," ","yes","1338 G STREET SE","Wendy Watkins","Capitol HIll Group Ministry - Congregation-Based Shelter","http://www.capitolhillgroupminist","Must be homeless, on the waiting list for emergency shelter or in emergency shelter","Director","1338 G Street SE
,  20003
(38.88146592, -76.98697235)"
"19","Answers Please",,"(202) 328-6644","(202) 667-5475","DC",,," ","yes",," "," ","1338 R STREET NW","Seth Greenblat","SOME - Anna Cooper House","http://www.some.org","Adults only, no drugs or alcohol, no history of violence, stable source of income","Program Coordinator","1338 R Street NW
,  20009
(38.91237605, -77.03115284)"
"20","Answers Please",,"(202) 745-7719","(202) 745-0244","DC",,,"yes","yes",," "," ","1345 NEWTON STREET NW","Pablo M. Sanch","Salomon Zelaya Rehabilitation Center"," ","Adult homeless men","Executive Director","1345 Newton Street NW
,  20010
(38.93266213, -77.03129491)"
"21","Answers Please",," ","(202) 232-7072","DC",,,"yes","yes",," ","yes","1350 R STREET NW","David O. Tread","Central Union Mission - Transitional Program - Mens Ministry"," ","Men","Executive Director","1350 R Street NW
,  20009
(38.91244177, -77.03132225)"
"22","Answers Please",," ","(202) 232-7072","DC","174",,"yes","yes",," ","yes","1350 R STREET NW","Mr. Ross","Central Union Mission - Overnight Shelter - Mens Ministry"," ","Men only","Program Director","1350 R Street NW
,  20009
(38.91244177, -77.03132225)"
"23","Answers Please",,"(202) 232-7356","(202) 230-1014","DC","20",,"yes","yes",," "," ","1413 GIRARD STREET NW","Kelly Sweeney","Community of Hope - Girard Street","http://www.communityofhopedc.org","Referral from Virginia Williams Family Resource Center ONLY","Executive Director","1413 Girard Street NW
,  20009
(38.92572629, -77.0331548)"
"24","Answers Please",,"(202) 232-9091","(202) 230-1014","DC",,,"yes","yes",," "," ","1417 BELMONT STREET NW","Kelly Sweeney","Community of Hope - Belmont Street","http://www.communityofhopedc.org","Referral from Virginia Williams Family Resource Center ONLY","Executive Director","1417 Belmont Street NW
,  20009
(38.92085995, -77.03267951)"
"25","Answers Please","101","(202) 332-7880","(202) 332-5991","DC",,,"yes","yes",," "," ","1421 COLUMBIA ROAD NW","Lu Lawson","House of Ruth - Family Space","http://www.houseofruth.org","Homeless families with a head of household who has a history of addiction and has at least 6 months cle","Program Coordinator","1421 Columbia Road NW
,  20009
(38.92774951, -77.03363446)"
"26","Answers Please",,"(202) 588-7555","(202) 588-7555","DC",,,"yes","yes",,"yes"," ","1433 NEW JERSEY AVENUE NW","Rev. Alberta Johnson","New Hope Ministries - Haven of Hope for Women"," ","Women 18+, history of homelessness, chronic mental health issues, and demonstrated resistance to tradio","Director","1433 New Jersey Avenue NW
,  20001
(38.90950582, -77.01588979)"
"27","Answers Please",," ","(202) 726-3623","DC",,,"yes","yes",,"yes"," ","1433 SPRING ROAD NW","Kellie Griffin","Coalition for the Homeless - Spring Road Family Apartments"," ","Families only. Must be referred by the Virginia Williams Family Resource Center","Program Director","1433 Spring Road NW
,  20010
(38.93767381, -77.03415819)"
"28","Answers Please",,"(202) 756-2600","(202) 756-2664","DC",,,"yes"," ",," ","yes","1434 HARVARD STREET NW","Major Bruce Smith","Salvation Army - The Grate Patrol","http://www1.salvationarmy.org/uss","Clients must be homeless, and on the streets during meal runs"," ","1434 Harvard Street NW
,  20009
(38.92616161, -77.0336524)"
"29","Answers Please",," ","(202) 462-5669","DC",,,"yes","yes",,"yes"," ","1436 IRVING STREET NW","Rex Yancey","Coalition for the Homeless - La Casa Transitional Rehab Progr"," ","18 years of age male with no communicable diseases","Program Director","1436 Irving Street NW
,  20010
(38.9283528, -77.03424921)"
"30","Answers Please",,"(202) 332-1505","(202) 638-4713","DC",,," ","yes",," "," ","1448 PARK ROAD NW"," ","Community Partnership - Park Road Shelter","http://www.community-partnership.","Homeless DC families, who are determined as eligible and referred by the Virginia Williams Family Resou"," ","1448 Park Road NW
,  20009
(38.93055649, -77.03431082)"
"31","Answers Please",,"(202) 526-4195","(202) 526-1194","DC",,,"yes"," ",," "," ","150 RHODE ISLAND AVENUE NE","Barbara Moore","SOME - Harvest House","http://www.some.org","Adult women, recovering from addictions, willing and able to work","Program Coordinator","150 Rhode Island Avenue NE
,  20002
(38.91882712, -77.0042957)"
"32","Answers Please",,"(202) 722-2280","(202) 722-2288","DC",,," ","yes",," "," ","1516 HAMILTON STREET NW","David Downes","Samaritan Ministry of Greater Washington - NW Office","http://samaritanministry.com","DC Residents","Executive Director","1516 Hamilton Street NW
,  20011
(38.95274165, -77.03584863)"
"33","Answers Please",,"(202) 234-8350","(202) 234-8362","DC",,,"yes","yes",,"yes"," ","1610 7TH STREET NW","Rev. Alberta Johnson","New Hope Ministries - Door of Hope for Men"," ","Men 18+, history of homelessness, chronic mental health issues, and demonstrated resistance to traditio","Director","1610 7th Street NW
,  20001
(38.91155834, -77.02219858)"
"34","Answers Please",,"(202) 483-0831"," ","DC",,,"yes","yes",," "," ","1620 NORTH CAPITOL STREET NW","Rufus Felder","SOME - Mickey Leland Place - Transitional Housing"," ","Single men, willing and able to work","Program Director","1620 North Capitol Street NW
,  20002
(38.91173969, -77.00939435)"
"35","Answers Please",,"(202) 328-1084"," ","DC",,," "," ",," "," ","1631 14TH STREET NW","Vincent A Keane","Unity Health Care - Homeless Clinic - Central Union Mission"," ","Homeless","Executive Director","1631 14th Street NW
,  20009
(38.91239278, -77.03158488)"
"36","Answers Please",,"(202) 328-1100","(202) 232-4972","DC",,,"yes","yes",," ","yes","1717 COLUMBIA ROAD NW","Scott Gunn","Christ House","http://www.christhouse.org","Persons who are both sick and homeless","Administrative","1717 Columbia Road NW
,  20009
(38.92488161, -77.03997283)"
"37","Answers Please",,"(202) 328-1099"," ","DC",,," "," ",," "," ","1717 COLUMBIA ROAD NW","Vincent A Keane","Unity Health Care - Homeless Clinic - Christ House Shelter"," ","Homeless","Executive Director","1717 Columbia Road NW
,  20009
(38.92488161, -77.03997283)"
"38","Answers Please",," ","(202) 635-0302","DC",,,"yes"," ",," "," ","1725 LINCOLN ROAD NE","Carolyn Cummin","Coalition for the Homeless - Homeless Elderly Linkage Program"," ","Homeless men 55 years of age and over","Program Coordinator","1725 Lincoln Road NE
,  20002
(38.9136057, -77.00790613)"
"39","Answers Please",," ","(202) 635-0302","DC",,,"yes"," ",," "," ","1725 LINCOLN ROAD NE","Linda Fields","Coalition for the Homeless - Employment and Training Program"," ","Homeless men and heads of household ages 18 and over.","Director","1725 Lincoln Road NE
,  20002
(38.9136057, -77.00790613)"
"40","Answers Please",,"(202) 529-7243"," ","DC",,,"yes"," ",," "," ","1725 LINCOLN ROAD NE","Vincent A Keane","Unity Health Care - Homeless Clinic - Emery Shelter","http://www.unityhealthcare.org","Homeless men","Executive Director","1725 Lincoln Road NE
,  20017
(38.9136057, -77.00790613)"
"41","Answers Please",," ","(202) 588-7097","DC",,,"yes"," ",," "," ","1730 LANIER PLACE NW","Patricia Wudel","Josephs House","http://www.josephshouse.org","Homeless men with AIDS","Executive Director","1730 Lanier Place NW
,  20009
(38.92494157, -77.0411232)"
"42","Answers Please",,"(202) 232-3066","(202) 265-7817","DC",,,"yes"," ",," ","yes","1830 CONNECTICUT AVENUE NW","Mary N. Sebold","St. Margarets Episcopal Church - Homeless Breakfast Program","http://www.stmargaretsdc.org","Homeless men, women","Director","1830 Connecticut Avenue NW
,  20009
(38.91533263, -77.04653857)"
"43","Answers Please",,"(202) 832-3451","(202) 832-3454","DC",,," ","yes",," ","yes","1876 4TH STREET NE","Ruth Shenkel","SOME - Shalom House","http://www.some.org","Ages 21 and older, single","Building Manager","1876 4th Street NE
,  20002
(38.91519026, -77.00083894)"
"44","Answers Please",,"(202) 362-4432","(202) 362-4961","DC",,,"yes","yes",," "," ","2850 QUEBEC STREET NW","Sophie Silfen","Adas Israel Congregation - Anne Frank House","http://www.adasisrael.org/"," "," ","1st Street NW
,  20008
(38.93680012, -77.05752918)"
"45","Answers Please",,"(202) 543-4901","(202) 546-9560","DC",,," ","yes",," ","yes","2 18TH STREET SE","Carlene Rostan","SOME - Jeremiah House","http://www.some.org","Ages 18 and older, single"," ","2 18th Street SE
,  20003
(38.88952795, -76.97878867)"
"46","Answers Please",,"(202) 610-9632","(202) 610-9610","DC",,,"yes","yes",," "," ","2001 MISSISSIPPI AVENUE SE","Vincient C. Gray","Covenant House Washington - Community Service Center","http://www.covenanthousedc.org"," ","Executive Director","2001 Mississippi Ave SE
,  20020
(38.84360358, -76.97423442)"
"47","Answers Please",,"(202) 328-6607","(202) 387-0011","DC",,,"yes"," ",,"yes"," ","2114 14TH STREET NW","Angela Hicks","Marthas Table - Healthy Living Program"," "," ","Director","2114 14th Street NW
,  20009
(38.91859994, -77.032354)"
"48","Answers Please",,"(202) 328-6608","(202) 387-0011","DC",,," "," ",," ","yes","2114 14TH STREET NW","Olivia Ivy","Marthas Table - Food and Nutrition Program"," "," ","Director","2114 14th Street NW
,  20009
(38.91859994, -77.032354)"
"49","Answers Please",,"(202) 518-8488","(202) 518-1273","DC","10",," ","yes",," "," ","214 P STREET NW","Bishop Imagene B. Stewart","House of Imagene Shelter & Womens Center"," "," ","Founder & CEO","214 P Street NW
,  20001
(38.90944471, -77.01409137)"
"50","Answers Please",," ","(202) 835-8376","Foggy Bottom",,," "," ",," ","yes","2401 VIRGINIA AVENUE NW","Scott Schenkelberg","Miriams Kitchen - Miriams After Breakfast Groups","http://www.miriamskitchen.org","none","Executive Director","2401 Virginia Avenue NW
,  20037
(38.89853884, -77.05196329)"
"51","Answers Please",,"(202) 452-8925","(202) 835-8376","Foggy Bottom",,,"yes"," ",," ","yes","2401 VIRGINIA AVENUE NW","Scott Schenkelberg","Miriams Kitchen","http://www.miriamskitchen.org","None","Executive Director","2401 Virginia Avenue NW
,  20037
(38.89853884, -77.05196329)"
"52","Answers Please",,"(202) 544-1134","(202) 544-0340","DC",,," ","yes",," "," ","2425 NAYLOR ROAD SE","Wanda Smith Gerber","House of Ruth - Reunified Families","http://www.houseofruth.org/","Women 18 years and older","Program Coordinator","2425 Naylor Road SE
,  20020
(38.86867993, -76.97129918)"
"53","Answers Please",," ","(202) 667-6135","DC",,," "," ",," "," ","2437 15TH STREET NW","Rodrigo B. Leiva","Council of Latino Agencies -Policy Research and Advocacy Prog","http://www.consejo.org","Does not accept active substance abusers","Director","2437 15th Street NW
,  20009
(38.92248891, -77.03492274)"
"54","Answers Please",,"(202) 724-3932","(202) 347-7279","DC",,,"yes","yes",," "," ","25 M STREET SW","Omega Butler","Coalition for the Homeless - Virginia Williams Family Resourc"," ","Families with children, who are homeless","Program Director","25 M Street SW
,  20024
(38.87675816, -77.0100585)"
"55","Answers Please",,"(202) 328-4065","(202) 265-5638","DC",,," ","yes",," "," ","2711 CONNECTICUT AVENUE NW","Edith Maeda","Woodley House - Valenti House","http://woodleyhouse.org","Homeless, mentally ill persons who need supervised support","Executive Director","2711 Connecticut Avenue NW
,  20008
(38.92600644, -77.05259177)"
"56","Answers Please",,"(202) 328-4065","(202) 265-5638","DC",,," ","yes",," "," ","2711 CONNECTICUT AVENUE NW","Edith Maeda","Woodley House - Holly House","http://www.woodleyhouse.org","Persons who are mentally ill and in need of 24 hour supervision","Executive Director","2711 Connecticut Avenue NW
,  20008
(38.92600644, -77.05259177)"
"57","Answers Please",,"(202) 328-4065","(202) 265-5638","DC",,,"yes","yes",," "," ","2711 CONNECTICUT AVENUE NW","Edith Maeda","Woodley House - Independent Living Programs","http://woodleyhouse.org","Ages 18 and older, ambulatory and capable of living independently in the community","Executive Director","2711 Connecticut Avenue NW
,  20008
(38.92600644, -77.05259177)"
"58","Answers Please",,"(202) 328-4065","(202) 265-5638","DC",,,"yes","yes",," "," ","2731 CONNECTICUT AVENUE NW","Edith Maeda","Woodley House - Crossing Place","http://woodleyhouse.org","Ages 18 and older, and ambulatory","Executive Director","2731 Connecticut Avenue NW
,  20008
(38.92669125, -77.0529997)"
"59","Answers Please",,"(202) 483-1347","(202) 483-4760","DC","10",,"yes","yes",," "," ","2801 13TH STREET NW","Judith Condon","New Endeavors by Women - New Expectations"," ","Homeless, pregnant women 18 yrs or older who are in recovery; no provisions for women after childbirth","Program Director","2801 13th Street NW
,  20009
(38.92602761, -77.02948625)"
"60","Answers Please",," ","(202) 832-3127","DC",,,"yes"," ",," ","yes","2900 NEWTON STREET NE","Brenda L. Turner","Greater Wash Urban - Senior Center for Blind & Visually Impai","http://www.gwul.org","Participants must be 60 years of age and a District resident.","Director","2900 Newton Street NE
,  20018
(38.93429765, -76.9663474)"
"61","Answers Please",,"(202) 584-2290","(202) 583-4506","DC",,,"yes"," ",," "," ","2910 PENNSYLVANIA AVENUE SE","Wendy Dersey","House of Ruth - Kidspace","http://www.houseofruth.org","Children 0-5 years old with homeless family.","Program Coordinator","2910 Pennsylvania Avenue SE
,  20020
(38.87180724, -76.96578168)"
"62","Answers Please",,"(202) 675-9385","(202) 575-0657","DC",,,"yes","yes",," "," ","2922 O STREET SE","Deborah Shore","Sasha Bruce Youthwork - Transitional Living Program","http://www.sashabruce.org","Ages 18 - 21, homeless, must be willing and able to work","Executive Director","2922 O Street SE
,  20002
(38.87312711, -76.96533391)"
"63","Answers Please","3"," ","(202) 546-8682","DC",,," ","yes",," "," ","300 I STREET NE","Eleanor D. Hamilton, Ph.D.","Coates & Lane Enterprises - Supportive Housing & Shelter Plus"," ","Individuals must be at least 18 years of age.","Program Director","300 I Street NE
,  20002
(38.90150621, -77.00168658)"
"64","Answers Please",,"(202) 667-6545","(202) 667-9535","DC",,,"yes","yes",," "," ","3043 15TH STREET NW","Juan Carlos Silva, LPC","Latin American Youth Center - Transitional Living Program"," ","male 17 to 21, homeless or runaway; cannot be actively involved in drugs or alcohol","TLP Director","3043 15th Street NW
,  20009
(38.92823243, -77.03583422)"
"65","Answers Please",,"(202) 399-1385","(202) 399-1528","DC",,,"yes","yes",," "," ","4065 MINNESOTA AVENUE NE","Linda P. Donaldson","SOME - Thea Bowman House","http://www.some.org","Ages 18 and older, families with children, DC residents","Family Service","4065 Minnesota Avenue NE
,  20019
(38.89652976, -76.94733908)"
"66","Answers Please",,"(202) 234-8526","(202) 234-8145","DC",,," ","yes",," "," ","418 MISSOURI AVENUE NW","Joan McCarley","TERRIFIC - The Joseph and Susie Tate TERRIFIC INN #2"," ","US citizens, homeless families, with HIV status","Vice President","418 Missouri Avenue NW
,  20011
(38.95783992, -77.01921726)"
"67","Answers Please",,"(202) 722-4544","(202) 328-2840","DC",,,"yes","yes",,"yes","yes","4326 14TH STREET NW","VonFranklin Marshall","Coalition for the Homeless - Webster Transitional House"," ","Homeless veterans referred by Veterans Affairs ONLY","Program Director","4326 14th Street NW
,  20011
(38.94385465, -77.03300347)"
"68","Answers Please",,"(202) 563-0404","(202) 347-0520","DC",,,"yes","yes",," "," ","4526 LIVINGSTON ROAD SE","Thomas Knoll","CFLS - Transitional Housing Program at Livingston Manor","http://www.cflsdc.org","Homeless at time of referral, clean and sober for 6 months, willing to live in drug and alcohol free en","Executive Director","4526 Livingston Road SE
,  20032
(38.82421741, -77.00201008)"
"69","Answers Please","103"," ","(202) 583-1174","DC",,,"yes","yes",," "," ","4614 BENNING ROAD SE","Shella Alexand","The Alexander Social Services Corporation"," ","Homeless families, referred by Virginia Williams Family Resource Center","Program Director","4614 Benning Road SE
,  20019
(38.88656767, -76.93581776)"
"70","Answers Please",,"(202) 364-1419"," ","DC",,,"yes"," ",," "," ","4713 WISCONSIN AVENUE NW","Vincent A Keane","Unity Health Care - Homeless Clinic - Friendship Place","http://www.unityhealthcare.org","Homeless men and women","Executive Director","4713 Wisconsin Avenue NW
,  20016
(38.95137341, -77.08063887)"
"71","Answers Please",," ","(202) 364-8767","Ward 3",,,"yes","yes",," "," ","4713 WISCONSIN AVENUE NW","Andrea Morris","Community Council for the Homeless at Friendship Place"," "," ","Executive Director","4713 Wisconsin Avenue NW
,  20016
(38.95137341, -77.08063887)"
"72","Answers Please",,"(202) 635-1744","(202) 635-3047","DC",,," ","yes",," ","yes","4860 FORT TOTTEN DRIVE NE","Thomas Knoll","Community Family Life Services - Milestone Place SRO","http://www.cflsdc.org","Single, homeless, clean and sober for 6 months, willing to live in drug and alcohol free environment","Executive Director","4860 Fort Totten Drive NE
,  20011
(38.95004219, -77.00719331)"
"73","Answers Please",,"(202) 347-0510","(202) 347-0520","DC",,," ","yes",," "," ","500 3RD STREET NW","Thomas Knoll","CFLS - Transitional Housing Program at Trinity Arms","http://www.cflsdc.org","Homeless at time of referral, clean and sober for 6 months, sign a lease","Executive Director","500 3rd Street NW
,  20001
(38.89630918, -77.01544235)"
"74","Answers Please",,"(202) 797-8806"," ","DC",,," "," ",," "," ","60 O STREET NW","Richard Girlock","SOME - Health Services","http://www.some.org","Homeless adults only","Coordinator","60 O Street NW
,  20001
(38.90824953, -77.01110291)"
"75","Answers Please",,"(202) 682-5825","(202) 371-5653","DC","38",,"yes"," ",," "," ","611 N STREET NW","Mary Popit","New Endeavors by Women"," ","Homeless women; 21+; Residents of DC; No provision for children; Drug free environment, Requires 30 day","Executive Director","611 N Street NW
,  20001
(38.9074793, -77.02056163)"
"76","Answers Please",,"(202) 234-2399","(202) 234-3493","DC",,," ","yes",," "," ","621 RHODE ISLAND AVENUE NW","Hagos Weldegio","Catholic Charities - St. Matthias Mulumba House","http://www.catholiccharitiesdc.or","Must be male, recovering from addictions, and homeless","Program Administrator","621 Rhode Island Avenue NW
,  20001
(38.91318946, -77.02083401)"
"77","Answers Please",,"(202) 727-2832","(202) 547-1619","DC",,,"yes","yes",,"yes","yes","635 I STREET NE","Michael L. Ferrell","Coalition for the Homeless - Blair Transitional Rehabilitatio"," ","Men ages 18 and over","Executive Director","635 I Street NE
,  20001
(38.90106964, -76.99702162)"
"78","Answers Please",,"(202) 547-2600","(202) 547-9349","DC","64",," ","yes",," "," ","651 10TH STREET NE","Shirley Malone","House of Ruth - Madison Emergency Program","http://www.houseofruth.org","Women, Homeless, Ages 18 and over","Director","651 10th Street NE
,  20002
(38.89867681, -76.9923764)"
"79","Answers Please",,"(202) 675-9380","(202) 546-6235","DC",,,"yes","yes",," "," ","701 MARYLAND AVENUE NE","Steve Lutheran","Sasha Bruce Youthwork - Tabara House","http://www.sashabruce.org","Ages 16 - 21, referred from Child and Family Services Agency (CFSA), working toward independent living","Site Supervisor","701 Maryland Avenue NE
,  20002
(38.89493526, -76.99557922)"
"80","Answers Please",," ","(202) 265-3849","DC",,," "," ",," ","yes","71 O STREET NW","Mr. John Adams","SOME - Dining Room","http://www.some.org/","None","Executive Director","71 O Street NW
,  20001
(38.90892548, -77.01143403)"
"81","Answers Please",,"(202) 675-9340","(202) 675-9358","DC",,,"yes"," ",," "," ","741 8TH STREET SE","Deborah Shore","Sasha Bruce Youthwork - SAFAH","http://www.sashabruce.org","Homeless families, referred by case mngr or social worker, and willing to commit to case mangmnt servic","Executive Director","741 8th Street SE
,  20002
(38.87986927, -76.99528662)"
"82","Answers Please",,"(202) 523-4400","(202) 523-4399","DC",,,"yes","yes",," "," ","801 NORTH CAPITOL STREET NE","Lorraine Richardson","HUD - DC Storefront","http://www.hud.gov"," "," ","801 North Capitol Street NE
,  20002
(38.90051039, -77.00860802)"
"83","Answers Please",,"(202) 265-4424","(202) 265-3872","DC",,," ","yes",,"yes","yes","87 NEW YORK AVENUE NW","Larry Hemphill","Coalition for the Homeless - Davison Transitional House"," ","Homeless men, 18 years of age and older, with no communicable diseases","Program Director","87 New York Avenue NW
,  20001
(38.90660155, -77.01196873)"
"84","Answers Please",,"(202) 543-4558","(202) 543-4579","DC",,,"yes"," ",," "," ","901 PENNSYLVANIA AVENUE SE","Harold J. Gordon","Holy Comforter-St. Cyprian Community Action Group"," ","All clients must be 18 years old or older.","President","901 Pennsylvania Avenue SE
,  20003
(38.88316077, -76.99352519)"
"85","Answers Please",,"(202) 576-3277"," ","DC",,,"yes"," ",," "," ","920 RHODE ISLAND AVENUE NE","Penny Brooks","DCG - DHS - FSA - Strong Families Program","http://www.dhs.dc.gov","TANF dependent/eligible, reside in shelters w/, or families with children who attend a Transformation","Program Administrator","920-A Rhode Island Avenue NE
,  20018
(38.92256932, -76.99305446)"
"86","Answers Please",,"(202) 772-4342","(202) 772-4409","DC",,,"yes"," ",," "," ","924 G STREET NW","Marcia Sprinkle","Catholic Charities - Parenting Program","http://www.CatholicCharitiesDC.or","None","Program Director","924 G Street NW
,  20001
(38.89800738, -77.02509846)"
"87","Answers Please",,"(202) 783-6651","(202) 783-4219","DC","25",,"yes","yes",," "," ","928 5TH STREET NW","Kris Thompson","Calvary Womens Services - Calvary Womens Shelter","http://www.calvaryservices.org","Single women, ages 18 and older","Executive Director","928 5th Street NW
,  20001
(38.90219965, -77.01916355)"
"88","Answers Please",,"(202) 829-5614","(202) 291-0192","DC",,,"yes","yes",," "," ","935 KENNEDY STREET NW","Jan Woodward","Transitional Housing Corporation - Partner Arms"," ","Homeless families, with at least one child under 18, in an emergency shelter","Director","935 Kennedy Street NW
,  20011
(38.95647754, -77.02723246)"
"89","Answers Please",,"(202) 393-5400","(202) 661-7598","DC",,,"yes"," ",,"yes","yes","945 G STREET NW","Chet Grey","Downtown Services Center","http://www.dcconnects.org/partner","Homesless, low-income","Director","945 G Street NW
,  20001
(38.89884476, -77.02570951)"
"90","Answers Please",,"(202) 687-3703","(202) 687-8980","DC",,," "," ",," "," ","1421 37TH STREET NW","Sam Marullo","Georgetown University, Vol & Pub Srv - Habitat for Humanity","http://www.georgetown.edu/outreach"," ","Director","B-01 St. Marys Hall
,  20057
(38.90842528, -77.07106771)"
"91","Answers Please",," ","(202) 289-7480","DC",,," ","yes",," "," ","5 THOMAS CIRCLE NW","Fatu Singawwa","House of Ruth - Herspace I & II","http://www.houseofruth.org","Women, 18 years and older","Program Coordinator","CONFIDENTIAL Washington DC
,  0
(38.90647888, -77.03260283)"
