"fid","objectid","status","score","side","stan_addr","location","numtrips","shelter","servicepro","time_","busstop","busroute","direction","frequency","location_1"
"148","149","M","85",,"| | M | ST | | | | 4TH | ST | SW |","M st & 4th St SW",," ","MTA, PRTC AM/PM","Morning","Waterside Mall, Waterfront M","903","B",,"M st & 4th St SW
,  "
"149","150","M","85",," |  | M | ST |  |  |  | ISAAC HULL | AVE | SE","M St & Isaac Hall Ave (6th St.), SE",," ","MTA, PRTC AM/PM"," "," ","903","B",,"M ST & ISAAC HULL AVE SE
,  "
"151","152","M","71",,"N |  | NORTH CAPITOL | ST |  |  |  | E | ST | NE","N North Capitol & E St",," ","MTA, PRTC PM","Morning"," Union Station M","922","B",,"N NORTH CAPITOL ST & E ST NE
,  "
"179","180","T","69",,"| | M | ST | | | | HALF | ST | |","M Street & Half Street","4","Yes","PRTCAM","Morning","Navy Yard Metro"," "," ",,"M Street & Half Street
,  "
"182","183","M","69",,"| | M | ST | | | | ISAAC HULL | AVE | |","M Street & Isaac Hull Avenue","4","No","MTA, PRTC AM/PM","Morning"," "," "," ",,"M Street & Isaac Hull Avenue
,  "
"161","162","M","100",,"200 |  |  | MALCOLM X | AVE | SE","S South Capitol St & Malcolm X Ave",," ","MTA"," ","Bolling AFB Main Gate","907","B",,"200 MALCOLM X AVE SE
,  
(38.845313, -77.003104)"
"163","164","M","38",,"6900 |  |  | GEORGIA | AVE | NW","Walter Reed Hospital",," ","MTA"," ","16th st St NW","915/929","B/B",,"6900 GEORGIA AVE NW
,  
(45.07985, -93.365456)"
"183","184","M","100",,"200 |  |  | MALCOLM X | AVE | SE","S South Capitol Street & Malcom X Avenue","4","No","PRTCAM","Morning"," Bolling AFB Main Gate"," "," ",,"200 MALCOLM X AVENUE SE
,  
(38.845313, -77.003104)"
"15","16","M","100",,"200 |  |  | MALCOLM X | AVE | SE","Malcolm X Avenue & S South Capitol Street","7","Yes","PRTCPM","Afternoon","Bolling AFB Main Gate"," "," ",,"200 MALCOLM X AVENUE SE
,  
(38.845313, -77.003104)"
"140","141","M","38",,"2200 |  |  | K | ST | NW","K st & 22nd St NW",," ","MTA"," "," ","901","B",,"2200 K ST NW
,  
(38.902356, -77.049256)"
"139","140","M","85",,"| | K | ST | | | | 20TH | ST | NW |","K st & 20th St NW",," ","MTA"," "," ","901","B",,"K st & 20th St NW
,  
(38.902655, -77.044898)"
"102","103","T","85",,"| | 14TH | ST | | | | PENNSYLVANIA | AVE | NW |","14th St & Pennsylvania Ave NW",," ","MTA, PRTC AM/PM, Loudoun County AM"," ","Ronald Reagan Bldg.","922","B",,"14th St & Pennsylvania Ave NW
,  
(38.896126, -77.03197)"
"0","1","M","85",," |  | 4TH | ST | NW |  |  | MADISON | AVE | NW","4th Street & Madison Avenue","13","No","PRTCAM","Morning","National Gallery of Art"," "," ",,"4TH STREET NW & MADISON AVENUE NW
,  
(48.806633, -102.245074)"
"89","90","M","85",,"| | I | ST | | | | CONNECTICUT | AVE | NW |","I st & Connecticut Ave NW","21"," ","Loudoun County PM","3:47 PM - 6:05 PM","NE corner - front of Army/Navy Building"," "," ",,"I st & Connecticut Ave NW
,  
(38.901325, -77.038541)"
"174","175","M","69",,"| | VIRGINIA | AVE | | | | 21ST | ST | |","Virginia Avenue & 21st Street","42","No","PRTC AM/PM, Loudoun County AM","Morning"," "," "," ",,"Virginia Avenue & 21st Street
,  
(47.989712, -122.197042)"
"116","117","M","85",,"| | 19TH | ST | | | | M | ST | NW |","19th st & M St NW",," ","MTA"," "," ","907/929/995","N/S/N",,"19th st & M St NW
,  
(38.905637, -77.04345)"
"5","6","M","69",,"| | VIRGINIA | AVE | | | | 21ST | ST | |","Virginia Avenue & 21st Street","54","No","PRTC AM/PM, Loudoun County AM","Afternoon","State Dept"," "," ",,"Virginia Avenue & 21st Street
,  
(47.989712, -122.197042)"
"121","122","M","85",,"| | 23RD | ST | | | | I | ST | NW |","23rd st & I St NW",," ","MTA","Morning","Foggy Bottom-GWU M","901/909","B/B",,"23rd st & I St NW
,  
(38.900681, -77.050123)"
"10","11","M","69",,"| | H | ST | | | | MADISON | PL | |","H Street & Madison Place","53","No","PRTCPM","Afternoon","Hamilton Square"," "," ",,"H Street & Madison Place
,  
(38.900244, -77.035142)"
"57","58","M","85",,"| | 13TH | ST | | | | E | ST | NW |","13th st & E St NW",," ","MTA","Morning","Metro Center M","915/909","S/S",,"13th st & E St NW
,  
(38.896124, -77.029662)"
"144","145","M","85",,"| | L | ST | | | | 25TH | ST | NW |","L st & 25th St NW",," ","MTA"," ","Columbia Hospital","907","S",,"L st & 25th St NW
,  
(38.903676, -77.053316)"
"155","156","M","69",,"| | OVERLOOK | AVE | | | | LABORATORY | RD | |","Overlook Ave & Laboratory Rd.",," ","MTA"," ","Naval Research Lab","907","B",,"Overlook Ave & Laboratory Rd.
,  
(38.822536, -77.017422)"
"178","179","M","69",,"| | MAINE | AVE | | | | 6TH | ST | |","Maine Avenue & 6th Street","4","No","PRTCAM","Morning"," "," "," ",,"Maine Avenue & 6th Street
,  
(30.279704, -89.777185)"
"190","191","T","69",,"| | C | ST | | | | 14TH | ST | |","C Street & 14th Street","5","No","PRTCAM","Morning","Bureau of Engraving & Printing Annex"," "," ",,"C Street & 14th Street
,  
(41.434962, -82.685882)"
"25","26","T","69",,"| | CONSTITUTION | AVE | | | | 12TH | ST | |","Constitution Avenue & 12th Street","2","No","MTA, PRTC PM","Afternoon","Museum of Natural History"," "," ",,"Constitution Avenue & 12th Street
,  
(32.368812, -88.699324)"
"38","39","T","69",,"| | PENNSYLVANIA | AVE | | | | 7TH | ST | |","Pennsylvania ave & 7th Street","16","No","MTA, PRTC AM/PM","Afternoon","Archives-Navy Memorial"," "," ",,"Pennsylvania ave & 7th Street
,  
(28.251547, -81.282441)"
"26","27","T","69",,"| | CONSTITUTION | AVE | | | | 7TH | ST | |","Constitution Avenue & 7th Street","2","No","MTA, PRTC PM","Afternoon","National Gallery of Art"," "," ",,"Constitution Avenue & 7th Street
,  
(31.034592, -84.87385)"
"53","54","T","69",,"| | 7TH | ST | | | | MARYLAND | AVE | |","7th Street & Maryland Avenue","16","Yes","MTA, PRTC AM/PM","Afternoon","FAA/LEnfant"," "," ",,"7th Street & Maryland Avenue
,  
(39.011964, -74.866234)"
"14","15","M","71",,"S |  | SOUTH CAPITOL | ST |  |  |  | FIRTH STERLING | AVE | SE","S South Capitol Street & Firth Sterling Avenue","11","No","PRTCPM","Afternoon","Anacostia Naval Station Main Gate"," "," ",,"S SOUTH CAPITOL STREET & FIRTH STERLING AVENUE SE
,  
(38.860648, -77.003395)"
"189","190","T","69",,"| | PENNSYLVANIA | AVE | | | | 4TH | ST | |","Pennsylvania Avenue & 4th Street","13","No","PRTCAM","Morning"," "," "," ",,"Pennsylvania Avenue & 4th Street
,  
(28.25501, -81.282409)"
"111","112","M","85",,"| | 18TH | ST | | | | K | ST | NW |","18th st & K St NW",," ","MTA, Loudoun County AM","Morning","Farragut M","901/907/929/995","B/N/N/S",,"18th st & K St NW
,  
(38.90266, -77.041693)"
"126","127","M","85",,"| | 7TH | ST | | | | E | ST | SW |","7th St & E St SW",," ","MTA"," ","Dept. of Trans., HUD","901/902/904/905","B/B/B/B",,"7th St & E St SW
,  
(38.883227, -77.021848)"
"159","160","M","85",,"| | PENNSYLVANIA | AVE | | | | 7TH | ST | NW |","Pennsylvania Ave & 7th St NW",," ","MTA, PRTC AM/PM","Morning","Archives M","901/902/904/905","B/B/B/B",,"Pennsylvania Ave & 7th St NW
,  
(38.89339, -77.021923)"
"194","195","T","69",,"| | PENNSYLVANIA | AVE | | | | 6TH | ST | |","Pennsylvania Avenue & 6th Street","13","No","MTA, PRTC AM","Morning","Federal Trade Commission"," "," ",,"Pennsylvania Avenue & 6th Street
,  
(41.366597, -74.702637)"
"21","22","M","69",,"| | MAINE | AVE | | | | 6TH | ST | |","Maine Avenue & 6th Street","7","No","PRTCPM","Afternoon"," "," "," ",,"Maine Avenue & 6th Street
,  
(30.279704, -89.777185)"
"47","48","T","69",,"| | 14TH | ST | | | | F | ST | |","14th Street & F Street","69","No","PRTC AM/PM, Loudoun County AM/PM","Afternoon"," "," "," ",,"14th Street & F Street
,  
(32.713653, -117.151956)"
"94","95","M","85",,"| | 11TH | ST | | | | E | ST | NW |","11th st & E St NW",," ","MTA, PRTC AM/PM","Morning","Metro Center M","902/904/907","S/S/S",,"11th st & E St NW
,  
(38.896138, -77.027031)"
"154","155","T","85",,"| | NEW HAMPSHIRE | AVE | | | | DUPONT | CIR | NW |","New Hampshire Ave & Dupont Cir NW",," ","MTA","Morning","  M","929","S",,"New Hampshire Ave & Dupont Cir NW
,  
(38.909476, -77.044197)"
"58","59","M","85",,"| | 14TH | ST | | | | CONSTITUTION | AVE | NW |","14th St & Constitution Ave NW",," ","MTA, Loudoun County AM/PM"," "," Dept. of Commerce","907/909/922/929/995","S/S/B/B/B",,"14th St & Constitution Ave NW
,  
(38.892082, -77.031971)"
"168","169","T","69",,"| | I | ST | | | | 15TH | ST | |","I St & 15th Street","42","Yes","PRTCAM","Morning"," "," "," ",,"I St & 15th Street
,  
(39.541553, -119.761976)"
"184","185","T","69",,"| | H | ST | | | | 13TH | ST | |","H Street & 13th Street","13","Yes","MTA, PRTC AM","Morning"," "," "," ",,"H Street & 13th Street
,  
(44.788937, -117.845402)"
"107","108","M","85",,"| | 16TH | ST | | | | M | ST | NW |","16th st & M St NW",," ","MTA"," "," ","915","S",,"16th st & M St NW
,  
(38.905651, -77.036477)"
"122","123","M","85",,"| | 4TH | ST | | | | C | ST | SW |","4th st & C St SW",," ","MTA"," ","HHS","903","B",,"4th st & C St SW
,  
(38.886041, -77.017546)"
"85","86","M","85",,"| | H | ST | | | | 4TH | ST | NW |","H st & 4th St NW","20"," ","Loudoun County AM/PM","6:46 AM - 9:24 AM","Metro Sign - North side 1/2 way between 4th & 5th on H st"," "," ",,"H st & 4th St NW
,  
(39.041121, -87.170493)"
"62","63","M","85",,"| | 4TH | ST | | | | INDEPENDENCE | AVE | SW |","4th St & Independence Ave SW",," ","MTA, PRTC AM/PM"," ","HHS","902/904/907/909/915/929/995","N/N/N/N/N/N/N",,"4th St & Independence Ave SW
,  
(38.887574, -77.017546)"
"133","134","M","85",,"| | INDEPENDENCE | AVE | | | | 1ST | ST | SE |","Independence Ave & 1st St SE",," ","MTA"," ","Library of Congress","902/904/907/909/915/922/929/995","B/B/B/B/B/B/B/B",,"Independence Ave & 1st St SE
,  
(36.314648, -99.766494)"
"90","91","M","100",,"1825 | | | I | ST | NW |","1825 I St NW","21"," ","Loudoun County PM","3:49 PM - 6:07 PM","NW Corner - Faragut West Metro Marker"," "," ",,"1825 I St NW
,  
(38.901306, -77.042119)"
"134","135","M","85",,"| | INDEPENDENCE | AVE | | | | 3RD | ST | SW |","Independence Ave & 3rd St SW",," ","MTA"," ","HHS","922","W",,"Independence Ave & 3rd St SW
,  
(39.441494, -79.538854)"
"117","118","T","85",,"| | 19TH | ST | | | | H | ST | NW |","19th st & H St NW",," ","MTA, PRTC AM, Loudoun County PM"," "," World Bank","902/904/905/907/929/995","N/N/N/S/S/N",,"19th st & H St NW
,  
(38.899574, -77.043475)"
"1","2","M","85",,"| | 4TH | ST | | | | INDEPENDENCE | AVE | SW |","4th Street & Independence Avenue SW","13","No","MTA, PRTC AM/PM","Morning"," "," "," ",,"4th Street & Independence Avenue SW
,  
(38.887574, -77.017546)"
"75","76","M","85",,"| | 14TH | ST | | | | F | ST | NW |","14th ST & F St NW","20"," ","PRTC AM/PM, Loudoun County AM/PM","6:13 AM - 9:01 AM","Metro Sign - NE corner - front of Borders"," "," ",,"14th ST & F St NW
,  
(38.897356, -77.031945)"
"6","7","T","69",,"| | E | ST | | | | 20TH | ST | |","E Street & 20th Street","53","No","MTA, PRTC PM","Afternoon","OPM"," "," ",,"E Street & 20th Street
,  
(38.856662, -86.476777)"
"61","62","M","85",,"| | 21ST | ST | | | | M | ST | NW |","21st st & M St NW",," ","MTA"," "," ","902/904/907","N/N/N",,"21st st & M St NW
,  
(38.905646, -77.046614)"
"118","119","T","85",,"| | 20TH | ST | | | | E | ST | NW |","20th st & E St NW",," ","MTA, PRTC PM"," ","Office of Personnel Mgmt.","902/904/905","S/S/S",,"20th st & E St NW
,  
(38.895982, -77.044927)"
"86","87","M","85",,"| | 7TH | ST | | | | L | ST | NW |","7th st & L St. NW","4"," ","Loudoun County AM/PM","7:40, 8:01, 8:01, 9:07 AM","Metro Sign - SE corner"," "," ",,"7th st & L St. NW
,  
(38.904161, -77.021913)"
"103","104","M","85",,"| | 15TH | ST | | | | L | ST | NW |","15th st & L St NW",," ","MTA"," "," ","915","N",,"15th st & L St NW
,  
(38.903744, -77.034574)"
"29","30","T","69",,"| | E | ST | | | | 1ST | ST | |","E Street & 1st Street","2","No","PRTCPM","Afternoon"," "," "," ",,"E Street & 1st Street
,  
(41.606509, -86.724091)"
"39","40","T","69",,"| | 11TH | ST | | | | E | ST | |","11th st & E Street","16","Yes","MTA, PRTC AM/PM","Afternoon","Citibank"," "," ",,"11th st & E Street
,  
(39.152607, -122.154668)"
"164","165","T","69",,"| | 14TH | ST | | | | PENNSYLVANIA | AVE | |","14th st & Pennsylvania ave","55","No","MTA, PRTC AM/PM, Loudoun County AM","Morning"," "," "," ",,"14th st & Pennsylvania ave
,  
(35.317809, -84.532631)"
"71","72","M","69",,"| | 14TH | ST | | | | NEW YORK | AVE | |","14th Street & New York Avenue","55","No","PRTCAM","Morning"," "," "," ",,"14th Street & New York Avenue
,  
(28.245054, -81.28357)"
"22","23","M","69",,"| | MAINE | AVE | | | | 9TH | ST | |","Maine Avenue & 9th Street","7","Yes","PRTCPM","Afternoon"," "," "," ",,"Maine Avenue & 9th Street
,  
(30.279693, -89.773848)"
"138","139","M","85",," |  | K | ST |  |  |  | 19TH | ST | NW","K st & 19th st St NW",," ","MTA"," "," ","902/904/905/907/909/929/995","B/B/B/S/B/N/S",,"K ST & 19TH ST NW
,  
(38.90242, -77.043482)"
"169","170","T","69",,"| | I | ST | | | | 17TH | ST | |","I St & 17th Street","42","Yes","PRTCAM","Morning","Farragut Square"," "," ",,"I St & 17th Street
,  
(61.242089, -149.819327)"
"34","35","M","85",,"| | D | ST | | | | 7TH | ST | SW |","D Street & 7th Street SW","16","No","PRTCPM","Afternoon","GSA/HUD"," "," ",,"D Street & 7th Street SW
,  
(38.884844, -77.021853)"
"93","94","M","85",,"| | 10TH | ST | | | | CONSTITUTION | AVE | NW |","10th St & Constitution Ave NW",," ","MTA"," ","Dept. of Justice","915/929/995","B/B/B",,"10th St & Constitution Ave NW
,  
(38.892072, -77.025959)"
"66","67","M","85",,"| | K | ST | | | | 21ST | ST | NW |","K st & 21st St NW",," ","MTA"," "," ","909","N",,"K st & 21st St NW
,  
(38.902642, -77.046634)"
"98","99","M","85",,"| | 12TH | ST | | | | CONSTITUTION | AVE | NW |","12th St & Constitution Ave NW",," ","MTA, PRTC PM"," ","IRS","909","N",,"12th St & Constitution Ave NW
,  
(38.892086, -77.028073)"
"158","159","M","85",,"| | PENNSYLVANIA | AVE | | | | 6TH | ST | NW |","Pennsylvania Ave & 6th St NW",," ","MTA, PRTC AM","Morning"," Archives M","922","B",,"Pennsylvania Ave & 6th St NW
,  
(38.892827, -77.019908)"
"9","10","M","69",,"| | H | ST | | | | JACKSON | PL | |","H Street & Jackson Place","53","No","PRTCPM","Afternoon","Hamilton Square"," "," ",,"H Street & Jackson Place
,  
(38.90023, -77.037973)"
"193","194","T","69",,"| | 11TH | ST | | | | F | ST | |","11th Street & F Street","13","Yes","PRTCAM","Morning"," Metro Center"," "," ",,"11th Street & F Street
,  
(33.299553, -117.311293)"
"54","55","M","85",,"| | E | ST | | | | NEW JERSEY | AVE | NW |","E St & New Jersey Ave NW","20"," ","Loudoun County AM/PM","6:39 AM - 9:17 AM","SW corner - no sign"," "," ",,"E St & New Jersey Ave NW
,  
(38.89613, -77.011448)"
"173","174","T","69",,"| | 19TH | ST | | | | E | ST | |","19th st & E Street","42","No","MTA, PRTC AM, Loudoun County PM","Morning","OPM"," "," ",,"19th st & E Street
,  
(38.857496, -86.476786)"
"143","144","M","85",,"| | L | ST | | | | 23RD | ST | NW |","L st & 23rd St NW",," ","MTA"," "," ","907","S",,"L st & 23rd St NW
,  
(38.903734, -77.050117)"
"110","111","M","85",,"| | 18TH | ST | | | | F | ST | NW |","18th st & F St NW",," ","MTA, PRTC PM"," "," Gen. Svcs. Admin.","907","N",,"18th st & F St NW
,  
(38.897368, -77.041689)"
"125","126","M","85",,"| | 7TH | ST | | | | MARYLAND | AVE | SW |","7th St & Maryland Ave SW",," ","MTA, PRTC AM/PM","Morning","LEnfant Plaza M","901/905","B/B",,"7th St & Maryland Ave SW
,  
(40.795569, -81.410162)"
"78","79","M","85",,"| | INDEPENDENCE | AVE | | | | 12TH | ST | SW |","Independence ave & 12th St. SW","20"," ","MTA, PRTC PM, Loudoun County AM/PM","6:24 AM - 9:05 AM","Metro Shelter - SW corner"," "," ",,"Independence ave & 12th St. SW
,  
(38.715906, -105.127924)"
"97","98","M","85",,"| | 12TH | ST | | | | H | ST | NW |","12th st & H St NW",," ","MTA","Morning","Metro Center M","915","N",,"12th st & H St NW
,  
(38.899816, -77.028071)"
"177","178","M","69",,"| | MAINE | AVE | | | | 9TH | ST | |","Maine Avenue & 9th Street","4","No","PRTCAM","Morning"," "," "," ",,"Maine Avenue & 9th Street
,  
(30.279693, -89.773848)"
"130","131","M","85",,"| | INDEPENDENCE | AVE | | | | 6TH | ST | SW |","Independence Ave & 6th St SW",," ","MTA, PRTC AM/PM, Loudoun County AM/PM","Morning","LEnfant Plaza M","907/909/915/922/929/995","S/S/S/E/S/N",,"Independence Ave & 6th St SW
,  
(40.054405, -75.129222)"
"135","136","M","85",,"| | INDEPENDENCE | AVE | | | | 7TH | ST | SW |","Independence Ave & 7th St SW",," ","MTA, PRTC PM, Loudoun County AM"," ","Air and Space Museum","907/909/915/922/929/995","N/N/N/W/N/S",,"Independence Ave & 7th St SW
,  
(39.786461, -94.851618)"
"74","75","M","85",,"| | 14TH | ST | | | | H | ST | NW |","14th ST & H St NW","20"," ","Loudoun County AM","6:12 AM - 9:00 AM","SE corner - no sign"," "," ",,"14th ST & H St NW
,  
(38.900191, -77.031934)"
"129","130","M","85",,"| | INDEPENDENCE | AVE | | | | 3RD | ST | SW |","Independence Ave & 3rd St SW",," ","MTA"," ","Supreme Court","902/904/907/909/915/922/929/995","S/S/S/S/S/E/S/S",,"Independence Ave & 3rd St SW
,  
(39.441494, -79.538854)"
"106","107","M","85",,"| | 16TH | ST | | | | HARVARD | ST | NW |","16th st & Harvard St NW",," ","MTA"," "," ","929","B",,"16th st & Harvard St NW
,  
(38.925778, -77.036484)"
"2","3","T","69",,"| | INDEPENDENCE | AVE | | | | 6TH | ST | |","Independence Avenue & 6th Street","13","Yes","PRTCAM","Morning","National Air & Space Museum"," "," ",,"Independence Avenue & 6th Street
,  
(40.054405, -75.129222)"
"170","171","T","69",,"| | I | ST | | | | 18TH | ST | |","I St & 18th Street","42","Yes","PRTCAM","Morning","Metrobus Stop"," "," ",,"I St & 18th Street
,  
(61.243227, -149.817488)"
"33","34","T","69",,"| | INDEPENDENCE | AVE | | | | 7TH | ST | |","Independence Avenue & 7th Street","2","No","MTA, PRTC PM, Loudoun County AM","Afternoon","Hirshorn Museum"," "," ",,"Independence Avenue & 7th Street
,  
(39.786461, -94.851618)"
"35","36","T","69",,"| | INDEPENDENCE | AVE | | | | 6TH | ST | |","Independence Avenue & 6th Street","16","Yes","PRTCPM","Afternoon"," "," "," ",,"Independence Avenue & 6th Street
,  
(40.054405, -75.129222)"
"150","151","T","85",,"| | MASSACHUSETTS | AVE | | | | COLUMBUS | CIR | NE |","Massachusetts Ave & Columbus Cir NE",," ","MTA"," "," ","903","S",,"Massachusetts Ave & Columbus Cir NE
,  
(38.895882, -77.005901)"
"46","47","T","85",,"| | K | ST | | | | 15TH | ST | NW |","K ST & 15th St NW","20"," ","MTA, Loudoun County AM","6:10 AM - 8:58 AM","Metro Shelter - SE corner"," "," ",,"K ST & 15th St NW
,  
(38.902517, -77.034585)"
"165","166","T","69",,"| | 14TH | ST | | | | PENNSYLVANIA | AVE | |","14th Street & Pennsylvania Avenue","55","Yes","MTA, PRTC AM/PM, Loudoun County AM","Morning"," "," "," ",,"14th Street & Pennsylvania Avenue
,  
(35.317809, -84.532631)"
"65","66","M","85",,"| | K | ST | | | | 13TH | ST | NW |","K st & 13th St NW",," ","MTA"," "," ","902/904/905/909","B/B/B/B",,"K st & 13th St NW
,  
(38.902517, -77.029633)"
"185","186","T","69",,"| | H | ST | | | | 11TH | ST | |","H Street & 11th Street","13","Yes","MTA, PRTC AM","Morning","Washington Gas Building"," "," ",,"H Street & 11th Street
,  
(40.393864, -95.836109)"
"18","19","T","69",,"| | M | ST | | | | 4TH | ST | |","M Street & 4th Street","7","Yes","MTA, PRTC AM/PM","Afternoon"," "," "," ",,"M Street & 4th Street
,  
(38.400455, -78.624878)"
"180","181","T","69",,"| | M | ST | | | | 1ST | ST | |","M Street & 1st Street","4","No","PRTCAM","Morning","Navy Yard Metro"," "," ",,"M Street & 1st Street
,  
(38.878663, -86.488891)"
"23","24","T","69",,"| | 12TH | ST | | | | C | ST | |","12th Street & C Street","7","No","PRTCPM","Afternoon"," "," "," ",,"12th Street & C Street
,  
(44.784397, -117.844028)"
"45","46","T","85",,"| | K | ST | | | | 17TH | ST | NW |","K ST & 17th St NW","20"," ","MTA, Loudoun County AM","6:09 AM - 8:56 AM","Metro Sign - SE corner"," "," ",,"K ST & 17th St NW
,  
(38.90265, -77.038511)"
"60","61","M","85",,"| | 18TH | ST | | | | C | ST | NW |","18th st & C St NW",," ","MTA"," ","Dept. of Interior","907/995","N/S",,"18th st & C St NW
,  
(39.831336, -84.92694)"
"119","120","M","85",,"| | 20TH | ST | | | | PENNSYLVANIA | AVE | NW |","20th St & Pennsylvania Ave NW",," ","MTA"," "," ","902/904/905","S/S/S",,"20th St & Pennsylvania Ave NW
,  
(38.900675, -77.044929)"
"28","29","T","69",,"| | 3RD | ST | | | | E | ST | |","3rd Street & E Street","2","No","PRTCPM","Afternoon","US & DC Court Building"," "," ",,"3rd Street & E Street
,  
(41.366906, -89.275195)"
"72","73","M","69",,"| | 19TH | ST | | | | PENNSYLVANIA | AVE | |","19th Street & Pennsylvania Avenue","42","No","PRTCAM","Morning","World Bank"," "," ",,"19th Street & Pennsylvania Avenue
,  
(43.345273, -124.23381)"
"12","13","T","69",,"| | 14TH | ST | | | | PENNSYLVANIA | AVE | |","14th Street & Pennsylvania AVE","69","No","MTA, PRTC AM/PM, Loudoun County AM","Afternoon","Commerce Dept."," "," ",,"14th Street & Pennsylvania AVE
,  
(35.317809, -84.532631)"
"55","56","M","85",,"| | INDEPENDENCE | AVE | | | | 14TH | ST | SW |","Independence ave & 14th St SW","17"," ","MTA, PRTC AM/PM, Loudoun County PM","3:38 PM - 5:56 PM","Metro Sign - North side Independence Ave - just before Arch way"," "," ",,"Independence ave & 14th St SW
,  
(38.887525, -77.031892)"
"146","147","M","85",,"| | M | ST | | | | 25TH | ST | NW |","M st & 25th St NW",," ","MTA"," ","Columbia Hospital","907","N",,"M st & 25th St NW
,  
(38.905261, -77.053307)"
"186","187","T","69",,"| | 11TH | ST | | | | E | ST | |","11th Street & E Street","13","Yes","MTA, PRTC AM/PM","Morning"," "," "," ",,"11th Street & E Street
,  
(39.152607, -122.154668)"
"87","88","M","85",,"| | 3RD | ST | | | | PENNSYLVANIA | AVE | NW |","3rd st & Pennsylvania Ave NW","21"," ","PRTC PM, Loudoun County PM","3:31 PM - 5:49 PM","Metro Shelter - NE corner"," "," ",,"3rd st & Pennsylvania Ave NW
,  
(38.891495, -77.015128)"
"162","163","M","85",,"| | VIRGINIA | AVE | | | | E | ST | NW |","Virginia Ave & E St NW",," ","MTA"," ","State Department","901/909","B/B",,"Virginia Ave & E St NW
,  
(38.89602, -77.048146)"
"192","193","T","69",,"| | M | ST | | | | 9TH | ST | |","M Street & 9th Street","4","No","PRTCAM","Morning"," "," "," ",,"M Street & 9th Street
,  
(35.365539, -119.015329)"
"176","177","T","69",,"| | 12TH | ST | | | | D | ST | |","12th Street & D Street","4","No","PRTCAM","Morning","American Association of OBGYN"," "," ",,"12th Street & D Street
,  
(47.125471, -122.607855)"
