"the_geom","id","category","facility_name","full_address","city","state","zip","phone_number","website"
"POINT (-91.023165263288 30.3477336236)","41","URGENT CARE","Ochsner Urgent Care and Rehab Center Highland Park","18303 PERKINS RD E, STE 304","BATON ROUGE","LOUISIANA","70809","225-236-5980","https://www.ochsner.org/locations/ochsner-urgent-care-and-occupational-health-highland-park"
"POINT (-91.112080457165 30.398230959493)","31","PRIMARY CARE","The Baton Rouge Clinic, AMC","7373 PERKINS RD","BATON ROUGE","LOUISIANA","70808","225-769-4044","https://batonrougeclinic.com"
"POINT (-91.023838751617 30.407741612903)","52","PRIMARY CARE","BR General Physicians - Shenandoah","13828 COURSEY BLVD","BATON ROUGE","LOUISIANA","70817","225-752-4530","https://www.brgeneral.org/locations/baton-rouge-general-physicians-shenandoah/"
"POINT (-91.11381494004 30.401572618503)","56","PRIMARY CARE","BR General Imaging Center - Dijon","5422 DIJON DR","BATON ROUGE","LOUISIANA","70808","225-769-9337","https://www.brgeneral.org/locations/baton-rouge-general-imaging-center-dijon/"
"POINT (-91.120319853037 30.403500720539)","53","PRIMARY CARE","BR General Gastroenterology Center","6615 PERKINS RD","BATON ROUGE","LOUISIANA","70808","225-927-1190","https://www.brgeneral.org/locations/baton-rouge-general-gastroenterology-center/"
"POINT (-90.999930905575 30.44280738837)","11","FULL SERVICE HOSPITAL","Ochsner Medical Center Baton Rouge","17000 MEDICAL CENTER DR","BATON ROUGE","LOUISIANA","70816","225-752-2470","https://www.ochsner.org/locations/ochsner-medical-center-baton-rouge/"
"POINT (-91.008533193597 30.431509126933)","50","PRIMARY CARE","BR General Imaging Center - O'Neal","2550 O'NEAL LN","BATON ROUGE","LOUISIANA","70816","225-769-9337","https://www.brgeneral.org/locations/baton-rouge-general-imaging-center-o-neal/"
"POINT (-91.025066164861 30.407522453352)","27","URGENT CARE","Lake After Hours","13702 COURSEY BLVD","BATON ROUGE","LOUISIANA","70817",,"http://lakeafterhours.com/"
"POINT (-91.163093468977 30.390743971923)","44","URGENT CARE","Ochsner Urgent Care - Arlington Marketplace","650 ARLINGTON CREEK CENTRE BLVD","BATON ROUGE","LOUISIANA","70820",,"https://www.ochsner.org/locations/ochsner-urgent-care-arlington-marketplace"
"POINT (-91.153086616071 30.449630665664)","9","FULL SERVICE HOSPITAL","Baton Rouge General Hospital - Mid City Campus","3600 FLORIDA ST","BATON ROUGE","LOUISIANA","70806","225-387-7000","http://www.brgeneral.org/"
"POINT (-91.087812177083 30.419441058523)","25","URGENT CARE","Lake After Hours","3333 DRUSILLA LN","BATON ROUGE","LOUISIANA","70809",,"http://lakeafterhours.com/"
"POINT (-90.998795667796 30.442372532727)","62","SPECIALTY HOSPITAL","Ochsner Cancer Center","17050 MEDICAL CENTER DR","BATON ROUGE","LOUISIANA","70816","225-761-5200","https://www.ochsner.org/locations/ochsner-baton-rouge-cancer-center"
"POINT (-91.105146868439 30.403649939154)","17","SPECIALTY HOSPITAL","Mary Bird Perkins Cancer Center","4950 ESSEN LN","BATON ROUGE","LOUISIANA","70808","225-767-0847","http://marybird.org/"
"POINT (-91.156586134642 30.518464261604)","6","PRIMARY CARE","Ochsner Community Health - Brees Family Center","7855 LANGHAM DR","BATON ROUGE","LOUISIANA","70807","225-726-2522","https://www.ochsner.org/locations/ochsner-community-health-brees-family-center-howell-blvd"
"POINT (-91.140378353015 30.461674116825)","32","PRIMARY CARE","OLOL/LSU Health Mid City Clinic And Pharmacy","1401 N FOSTER DR","BATON ROUGE","LOUISIANA","70806","225-358-4853","https://ololrmc.com/services/lsu-health-baton-rouge/"
"POINT (-91.094691720703 30.393652435662)","13","FULL SERVICE HOSPITAL","Baton Rouge General Hospital - Bluebonnet Campus","8585 PICARDY AVE","BATON ROUGE","LOUISIANA","70809","225-763-4000","http://www.brgeneral.org/"
"POINT (-91.137524381152 30.64892361313)","10","FULL SERVICE HOSPITAL","Lane Regional Medical Center","6300 MAIN ST","ZACHARY","LOUISIANA","70791","225-658-4000","http://lanermc.org/"
"POINT (-91.098893079973 30.443017778235)","49","PRIMARY CARE","BR General Physicians - Bella Family Medical","8333 GOODWOOD BLVD","BATON ROUGE","LOUISIANA","70806","225-272-0106","https://www.brgeneral.org/locations/baton-rouge-general-physicians-bella-family-medi/"
"POINT (-91.152040006115 30.521982266931)","60","MENTAL HEALTH CENTER","Margaret Dumas Mental Health Center","3843 HARDING BLVD","BATON ROUGE","LOUISIANA","70807","225-359-9315",
"POINT (-91.008118448179 30.434952272369)","24","URGENT CARE","Lake After Hours","2380 O'NEAL LN, STE A","BATON ROUGE","LOUISIANA","70816",,"http://lakeafterhours.com/"
"POINT (-91.078664831042 30.370289166644)","23","URGENT CARE","Lake After Hours Kids","12525 PERKINS RD, STE A","BATON ROUGE","LOUISIANA","70810",,"http://lakeafterhours.com/"
"POINT (-91.094051775479 30.380300281575)","20","SPECIALTY HOSPITAL","The Neuromedical Center","10105 PARK ROWE CIR","BATON ROUGE","LOUISIANA","70810","225-769-2200","http://www.theneuromedicalcenter.com/"
"POINT (-91.171499093149 30.402406393068)","54","URGENT CARE","BR General Express Care - Highland Village","4410 HIGHLAND RD, STE A3","BATON ROUGE","LOUISIANA","70808","225-831-4025","https://www.brgeneral.org/locations/brg-express-care-highland-village/"
"POINT (-91.112156611582 30.404008632188)","4","PRIMARY CARE","OLOL/LSU Health Medicine Specialty Clinics","5131 O'DONOVAN DR, STE 201","BATON ROUGE","LOUISIANA","70808","225-358-4853","https://ololrmc.com/location/lsu-health-baton-rouge-medicine-and-medicine-specialty-clinics"
"POINT (-91.097323449275 30.392079726632)","57","PRIMARY CARE","Picardy Plaza","8490 PICARDY AVE","BATON ROUGE","LOUISIANA","70809","225-819-1175","https://www.brgeneral.org/locations/picardy-plaza/"
"POINT (-91.077526530964 30.41177207683)","7","PRIMARY CARE","Woman's Center For Wellness","9637 JEFFERSON HWY","BATON ROUGE","LOUISIANA","70809","225-924-8300","http://www.womans.org/locations/maps/womans-center-for-wellness/"
"POINT (-91.195448572454 30.635450351839)","8","URGENT CARE","Lake After Hours","18989 OLD SCENIC HWY","ZACHARY","LOUISIANA","70791",,"http://lakeafterhours.com/"
"POINT (-91.006580223441 30.35984459553)","61","URGENT CARE","Lake After Hours","20152 HIGHLAND RD","BATON ROUGE","LOUISIANA","70817",,"http://lakeafterhours.com/"
"POINT (-91.09189162677 30.392864471981)","2","PRIMARY CARE","Center for Health","9001 SUMMA AVE","BATON ROUGE","LOUISIANA","70809","225-333-3728","https://www.brgeneral.org/locations/center-for-health/"
"POINT (-91.10357408076 30.400316612056)","38","SPECIALTY HOSPITAL","Sage Rehabilitation Hospital","8000 SUMMA AVE","BATON ROUGE","LOUISIANA","70809","225-819-0703","http://www.sage-rehab.org/"
"POINT (-91.037217758729 30.385978762626)","16","SPECIALTY HOSPITAL","Woman's Hospital","100 WOMAN'S WAY","BATON ROUGE","LOUISIANA","70817","225-927-1300","http://www.womans.org/"
"POINT (-91.033700303736 30.552187870852)","21","PRIMARY CARE","Ochsner Health Center Central","11424 SULLIVAN RD","CENTRAL","LOUISIANA","70818","225-261-9790","https://www.ochsner.org/locations/ochsner-health-center-central/"
