"the_geom","business_name","full_address","city","state","country","zip","address_authority","abc","business_naics_code","phone_number","website","latitude","longitude","business_id","address_id","jurisdiction"
"POINT (-91.039470153235 30.520730313475)","STABS STEAK & SEAFOOD","13300-13400 MAGNOLIA SQUARE DR","CENTRAL","LOUISIANA","UNITED STATES","70818","CENTRAL","YES",,,,"31","-91","62986","208615","EBRP"
"POINT (-91.026098244106 30.350939316819)","RACETRAC #2526","18313 HIGHLAND RD","BATON ROUGE","LOUISIANA","UNITED STATES","70810","PARISH","YES","447000",,,"30","-91","65438","171829","EBRP"
"POINT (-91.152774503666 30.472180348091)","NORTH 38TH FOOD MART","2645 N 38TH ST","BATON ROUGE","LOUISIANA","UNITED STATES","70805","BATON ROUGE","YES","445000",,,"30","-91","41557","62555","EBRP"
"POINT (-91.179925992559 30.396356144235)","JD'S GENERATOR POWER SYSTEMS LLC","1176 BOB PETTIT BLVD","BATON ROUGE","LOUISIANA","UNITED STATES","70820","BATON ROUGE","YES","454000",,,"30","-91","38997","13091","EBRP"
"POINT (-91.110507071119 30.468114077941)","NAT. ASSOC OF LETTER CARRIERS","1953 BEAUMONT DR","BATON ROUGE","LOUISIANA","UNITED STATES","70806","BATON ROUGE","YES","815000",,,"30","-91","33160","50151","EBRP"
"POINT (-91.159122531727 30.392362216182)","LISA ANNE LLC","145 BEN HUR RD","BATON ROUGE","LOUISIANA","UNITED STATES","70808","BATON ROUGE","YES","445000",,,"30","-91","38804","28466","EBRP"
"POINT (-91.110855554816 30.467338997524)","DUGEES LOUNGE LLC","1916 DALLAS DR","BATON ROUGE","LOUISIANA","UNITED STATES","70806","BATON ROUGE","YES","722000",,,"30","-91","28036","48814","EBRP"
"POINT (-91.156632110656 30.468159594363)","ACADIAN FOOD MART","2223 N ACADIAN THWY W","BATON ROUGE","LOUISIANA","UNITED STATES","70802","BATON ROUGE","YES","445000",,,"30","-91","23765","55841","EBRP"
"POINT (-91.141022297549 30.509149329572)","CVS PHARMACY #5319","4919 AIRLINE HWY","BATON ROUGE","LOUISIANA","UNITED STATES","70811","BATON ROUGE","YES",,,,"31","-91","41952","87804","EBRP"
"POINT (-91.066094248328 30.364948169488)","CIRCLE K STORE 2704901","13796 PERKINS RD","BATON ROUGE","LOUISIANA","UNITED STATES","70810","PARISH","YES","447000","225-752-4885","http://circlek.com/","30","-91","26568","140097","EBRP"
"POINT (-91.071613296614 30.490592706263)","VINA CLEANERS","10148 GREENWELL SPRINGS RD","BATON ROUGE","LOUISIANA","UNITED STATES","70814","BATON ROUGE","YES","812000",,,"30","-91","46000","142995","EBRP"
"POINT (-91.171968582879 30.440846992165)","TONY'S GROCERY","739 S 16TH ST","BATON ROUGE","LOUISIANA","UNITED STATES","70802","BATON ROUGE","YES","445110","225-383-9032",,"30","-91","8303","110764","EBRP"
"POINT (-91.124061286971 30.360935614819)","S & P FOOD STORE","9385 BURBANK DR","BATON ROUGE","LOUISIANA","UNITED STATES","70820","PARISH","YES","445110","225-767-2662",,"30","-91","35295","139180","EBRP"
"POINT (-91.151082860889 30.450843832538)","JAMAICAN ME CRAZY","3829 FLORIDA BLVD","BATON ROUGE","LOUISIANA","UNITED STATES","70806","BATON ROUGE","YES","722000",,,"30","-91","65517","238855","EBRP"
"POINT (-91.134516338357 30.421799549243)","RUTH CHRIS STEAK HOUSE","4836 CONSTITUTION AVE","BATON ROUGE","LOUISIANA","UNITED STATES","70808","BATON ROUGE","YES","722000",,,"30","-91","35278","87200","EBRP"
"POINT (-91.109533166309 30.354575928519)","WALGREENS #07083","9983 BLUEBONNET BLVD","BATON ROUGE","LOUISIANA","UNITED STATES","70810","PARISH","YES","446110","225-769-4208","http://walgreens.com/","30","-91","38065","129761","EBRP"
"POINT (-91.160688553105 30.449810749122)","EASY STOP FOOD MART INC","2712 FLORIDA ST","BATON ROUGE","LOUISIANA","UNITED STATES","70806","BATON ROUGE","YES","445000",,,"30","-91","28171","55530","EBRP"
"POINT (-91.091176979093 30.474654215715)","HARLEY VEY SPORTS PARK","2615 OAK VILLA BLVD","BATON ROUGE","LOUISIANA","UNITED STATES","70814","BATON ROUGE","YES",,,,"30","-91","60408","137992","EBRP"
"POINT (-91.093833233811 30.37927762905)","TEXAS DE BRAZIL","10155 STE 100 PERKINS ROWE","BATON ROUGE","LOUISIANA","UNITED STATES","70810","PARISH","YES","722000",,,"30","-91","36853","220003","EBRP"
"POINT (-91.108290116618 30.477702060961)","VN FOOD MART LLC","7808 GREENWELL SPRINGS RD","BATON ROUGE","LOUISIANA","UNITED STATES","70814","BATON ROUGE","YES","445000",,,"30","-91","37998","113645","EBRP"
"POINT (-91.126646148537 30.422481262721)","MOVIE TAVERN AT CITIPLACE","2610 CITIPLACE CT","BATON ROUGE","LOUISIANA","UNITED STATES","70808","BATON ROUGE","YES","512000",,,"30","-91","64916","155875","EBRP"
"POINT (-91.044767747766 30.461931468117)","VINH PHAT ORIENTAL MARKET","12351 FLORIDA BLVD","BATON ROUGE","LOUISIANA","UNITED STATES","70815","BATON ROUGE","YES","445110","225-273-1175",,"30","-91","37959","136893","EBRP"
"POINT (-91.157779962886 30.424014488324)","PINETTA'S EUROPEAN RESTAURANT","3056 PERKINS RD","BATON ROUGE","LOUISIANA","UNITED STATES","70808","BATON ROUGE","YES","722110",,,"30","-91","6568","68015","EBRP"
"POINT (-91.112532630107 30.431093062071)","DISTRICT DONUTS SLIDERS BREW","7415 STE 900 CORPORATE BLVD","BATON ROUGE","LOUISIANA","UNITED STATES","70806","PARISH","YES","445000",,,"30","-91","50206","186941","EBRP"
"POINT (-91.104538927415 30.649366997433)","SIDELINES","20116 PLANK RD","ZACHARY","LOUISIANA","UNITED STATES","70791","ZACHARY","YES","722000",,,"31","-91","47020","198914","EBRP"
"POINT (-91.135629006538 30.493568442416)","ONE STOP MARKET & DELI","5433 EVANGELINE ST","BATON ROUGE","LOUISIANA","UNITED STATES","70805","BATON ROUGE","YES","445000",,,"30","-91","33502","93702","EBRP"
"POINT (-91.129174044094 30.422840473162)","THE PELICAN HOUSE","2572 CITIPLACE CT","BATON ROUGE","LOUISIANA","UNITED STATES","70808","BATON ROUGE","YES","722000",,,"30","-91","37102","61645","EBRP"
"POINT (-91.125649901234 30.582168307341)","ALDENS SCHOOL OF COSMETOLOGY","14860 PLANK RD","BAKER","LOUISIANA","UNITED STATES","70714","BAKER","YES","611511",,,"31","-91","13748","191566","EBRP"
"POINT (-91.150134633199 30.425609368361)","MESTIZO INC","2323 S ACADIAN THWY","BATON ROUGE","LOUISIANA","UNITED STATES","70808","BATON ROUGE","YES","722000",,,"30","-91","32720","57885","EBRP"
"POINT (-91.062626487286 30.389227318575)","CIRCLE K  STORE 2709716","6678 SIEGEN LN","BATON ROUGE","LOUISIANA","UNITED STATES","70809","PARISH","YES","447000",,"http://circlek.com/","30","-91","26577","105667","EBRP"
"POINT (-91.139166426775 30.422162751284)","CHILIS HAMBURGER GRILL & BAR","4550 CONSTITUTION AVE","BATON ROUGE","LOUISIANA","UNITED STATES","70808","BATON ROUGE","YES","722000",,,"30","-91","26463","84675","EBRP"
"POINT (-91.071707633489 30.418480021268)","AIRLINE SUPER EXPRESS","10174 AIRLINE HWY","BATON ROUGE","LOUISIANA","UNITED STATES","70809","BATON ROUGE","YES","453000",,,"30","-91","24036","1576","EBRP"
"POINT (-91.008791299432 30.456566496063)","TIGER SPORTS BAR","824 O'NEAL LN","BATON ROUGE","LOUISIANA","UNITED STATES","70816","PARISH","YES","722000",,,"30","-91","37309","136403","EBRP"
"POINT (-91.078813302991 30.453824544833)","HI NABOR SUPERMARKET","9620 STE 100 FLORIDA BLVD","BATON ROUGE","LOUISIANA","UNITED STATES","70815","BATON ROUGE","YES","445110",,"http://hinabor.com/","30","-91","29990","137187","EBRP"
"POINT (-91.162277559143 30.393275075691)","WINN DIXIE #1454","5555 BURBANK DR","BATON ROUGE","LOUISIANA","UNITED STATES","70808","BATON ROUGE","YES","445000","225-757-0501","https://winndixie.com","30","-91","38361","95061","EBRP"
"POINT (-91.156518745557 30.532729121221)","SSP AMERICA INC","9430 JACKIE COCHRAN DR","BATON ROUGE","LOUISIANA","UNITED STATES","70807","BATON ROUGE","YES","815000",,,"31","-91","36216","138274","EBRP"
"POINT (-91.016605576198 30.408247213088)","WALGREENS #3085","14444 COURSEY BLVD","BATON ROUGE","LOUISIANA","UNITED STATES","70817","PARISH","YES","446110","225-753-1499","http://walgreens.com/","30","-91","38073","28271","EBRP"
"POINT (-91.176153120456 30.418582859353)","CIRCLE K #1818","3289 HIGHLAND RD","BATON ROUGE","LOUISIANA","UNITED STATES","70802","BATON ROUGE","YES","447000","225-383-1325","http://circlek.com/","30","-91","26559","71110","EBRP"
"POINT (-91.048106952831 30.576579045763)","THE HAIR ZONE","13921 JOOR RD","ZACHARY","LOUISIANA","UNITED STATES","70791","CENTRAL","YES","812000",,,"31","-91","46198","201953","EBRP"
"POINT (-91.111029251525 30.445849253806)","INDEPENDENCE TENNIS CENTER","7505 INDEPENDENCE BLVD","BATON ROUGE","LOUISIANA","UNITED STATES","70806","BATON ROUGE","YES",,,,"30","-91","62309","111587","EBRP"
"POINT (-91.145004615271 30.417482335227)","RED ZEPPELIN PIZZA","4395 PERKINS RD","BATON ROUGE","LOUISIANA","UNITED STATES","70808","BATON ROUGE","YES","722110",,,"30","-91","20147","83153","EBRP"
"POINT (-91.093435848204 30.378974370989)","TEXAS DE BRAZIL","10155 PERKINS ROWE","BATON ROUGE","LOUISIANA","UNITED STATES","70810","PARISH","YES","722000",,,"30","-91","36853","143280","EBRP"
"POINT (-91.056206893405 30.436470636095)","IDEAL MARKET #8","1807 S SHERWOOD FOREST BLVD","BATON ROUGE","LOUISIANA","UNITED STATES","70816","BATON ROUGE","YES","445000",,,"30","-91","41546","136258","EBRP"
"POINT (-91.159262326495 30.42618073893)","KALURAH STREET GRILL","2857 PERKINS RD","BATON ROUGE","LOUISIANA","UNITED STATES","70808","BATON ROUGE","YES","722000",,,"30","-91","47591","65304","EBRP"
"POINT (-91.1245159651 30.505408117074)","THE VINEYARD ASSOCIATION","6644 VINEYARD DR","BATON ROUGE","LOUISIANA","UNITED STATES","70812","PARISH","YES","453000",,,"31","-91","39050","105398","EBRP"
"POINT (-91.157930047528 30.487140467998)","ROMEO'S OLD SCHOOL BAR & LOUNGE","4115 PLANK RD","BATON ROUGE","LOUISIANA","UNITED STATES","70805","BATON ROUGE","YES","722140",,,"30","-91","21208","80244","EBRP"
"POINT (-91.147884446891 30.512727144675)","CLUB INFINITI","6894 PLANK RD","BATON ROUGE","LOUISIANA","UNITED STATES","70811","BATON ROUGE","YES","722410",,,"31","-91","18133","142858","EBRP"
"POINT (-91.172474665488 30.458768838995)","MEMORIAL FOOTBALL STADIUM","1702 FOSS ST","BATON ROUGE","LOUISIANA","UNITED STATES","70802","BATON ROUGE","YES",,,,"30","-91","60492","40007","EBRP"
"POINT (-91.156441446802 30.463717408136)","ACADIAN HARDWARE & GROCERY","1733 N ACADIAN THWY W","BATON ROUGE","LOUISIANA","UNITED STATES","70802","BATON ROUGE","YES","444000",,,"30","-91","23767","41392","EBRP"
"POINT (-91.054201506102 30.410922813915)","WAL MART #7262 - GAS STATION","11510 COURSEY BLVD","BATON ROUGE","LOUISIANA","UNITED STATES","70816","PARISH","YES","447000",,,"30","-91","49549","217239","EBRP"
"POINT (-91.151395540115 30.460689763726)","NEW LOOK NEIGHBORHOOD GROCERY","1376 N 39TH ST","BATON ROUGE","LOUISIANA","UNITED STATES","70802","BATON ROUGE","YES","445120",,,"30","-91","13544","25053","EBRP"
"POINT (-91.090708834838 30.41911060094)","DIRTY DOG LOUNGE","3488 DRUSILLA LN","BATON ROUGE","LOUISIANA","UNITED STATES","70809","BATON ROUGE","YES","722410",,,"30","-91","21785","165678","EBRP"
"POINT (-91.147684042316 30.419181387927)","B-QUIK","4105 PERKINS RD","BATON ROUGE","LOUISIANA","UNITED STATES","70808","BATON ROUGE","YES","447000",,,"30","-91","25577","80117","EBRP"
"POINT (-91.051794842236 30.409997892309)","DUANG TAWAN THAI SUSHI BAR","4850 S SHERWOOD FOREST BLVD","BATON ROUGE","LOUISIANA","UNITED STATES","70816","PARISH","YES","722000",,,"30","-91","28026","87373","EBRP"
"POINT (-91.144926335596 30.417853921514)","THE BULLDOG","4385 PERKINS RD","BATON ROUGE","LOUISIANA","UNITED STATES","70808","BATON ROUGE","YES","722000",,,"30","-91","36904","135879","EBRP"
"POINT (-91.152575344974 30.498954001932)","WALGREENS #2982","5450 PLANK RD","BATON ROUGE","LOUISIANA","UNITED STATES","70805","BATON ROUGE","YES","446110","225-355-9782","http://walgreens.com/","30","-91","38069","93966","EBRP"
"POINT (-91.144027925972 30.508778434654)","IN A FLASH","4650 AIRLINE HWY","BATON ROUGE","LOUISIANA","UNITED STATES","70805","BATON ROUGE","YES","447000",,,"31","-91","30330","181513","EBRP"
"POINT (-91.162945530054 30.470406899389)","CVS PHARMACY #5615","2520 PLANK RD","BATON ROUGE","LOUISIANA","UNITED STATES","70805","BATON ROUGE","YES","446110","225-357-1484","http://cvs.com/","30","-91","27279","60659","EBRP"
"POINT (-91.099329960513 30.526126927714)","LAVISH BOUTIQUE LLC","8639 CODY DR","BATON ROUGE","LOUISIANA","UNITED STATES","70811","PARISH","YES","454100",,,"31","-91","65620","119277","EBRP"
"POINT (-91.154691550779 30.494305175286)","DELMONT LOUNGE","4888 PLANK RD","BATON ROUGE","LOUISIANA","UNITED STATES","70805","BATON ROUGE","YES","722410",,,"30","-91","2710","87629","EBRP"
"POINT (-91.127290761041 30.580956226056)","WALGREENS #13875","6485 GROOM RD","BATON ROUGE","LOUISIANA","UNITED STATES","70814","BAKER","YES","446110",,"http://walgreens.com/","31","-91","41483","216965","EBRP"
"POINT (-91.059675588135 30.45738872597)","LA PATRONA LLC","11250 FLORIDA BLVD","BATON ROUGE","LOUISIANA","UNITED STATES","70815","BATON ROUGE","YES","424410",,,"30","-91","19937","137240","EBRP"
"POINT (-91.160167859512 30.425854929375)","BET-R-STORE 0","2812 KALURAH ST","BATON ROUGE","LOUISIANA","UNITED STATES","70808","BATON ROUGE","YES","445110","225-343-2361",,"30","-91","1069","64528","EBRP"
"POINT (-91.127173218328 30.354244412044)","MAJOR DISCOUNT","1707 STE D GARDERE LN","BATON ROUGE","LOUISIANA","UNITED STATES","70810","PARISH","YES","445000",,,"30","-91","47686","229349","EBRP"
"POINT (-91.133992648606 30.349544436468)","GARDERE MEAT MARKET","2509 GARDERE LN","BATON ROUGE","LOUISIANA","UNITED STATES","70810","PARISH","YES","445210",,,"30","-91","16098","60617","EBRP"
"POINT (-91.13492879021 30.497698338884)","FRIEND S FOOD MART","5522 SAINT GERARD AVE","BATON ROUGE","LOUISIANA","UNITED STATES","70805","BATON ROUGE","YES","445000",,,"30","-91","64041","94537","EBRP"
"POINT (-91.189001813071 30.439404679033)","BRICKYARD SOUTH","174 SOUTH BLVD","BATON ROUGE","LOUISIANA","UNITED STATES","70802","BATON ROUGE","YES","722000",,,"30","-91","41277","138878","EBRP"
"POINT (-91.062915142179 30.53905729266)","CENTRAL SPORTS PARK","10501 LOVETT RD","CENTRAL","LOUISIANA","UNITED STATES","70818","CENTRAL","YES","713000",,,"31","-91","59911","9851","EBRP"
"POINT (-91.106015841311 30.453051552756)","LA MORENITA MEAT MARKET","7981 FLORIDA BLVD","BATON ROUGE","LOUISIANA","UNITED STATES","70806","BATON ROUGE","YES","445110","225-231-3234",,"30","-91","31505","162750","EBRP"
"POINT (-91.180883974017 30.426978206953)","HIGHLAND ROAD MEAT MARKET","2226 HIGHLAND RD","BATON ROUGE","LOUISIANA","UNITED STATES","70802","BATON ROUGE","YES","445110",,,"30","-91","23046","145085","EBRP"
"POINT (-91.179807994232 30.424702729797)","AM MART 2018","2400 HIGHLAND RD","BATON ROUGE","LOUISIANA","UNITED STATES","70802","BATON ROUGE","YES","445000",,,"30","-91","24218","59191","EBRP"
"POINT (-91.08016378307 30.453782501844)","HI NABOR SUPERMARKET","9584 FLORIDA BLVD","BATON ROUGE","LOUISIANA","UNITED STATES","70815","BATON ROUGE","YES","445110",,"http://hinabor.com/","30","-91","29990","216925","EBRP"
"POINT (-91.131500957271 30.444828821191)","FLEUR DE LIS COCKTAIL LOUNGE, INC.","5655 GOVERNMENT ST","BATON ROUGE","LOUISIANA","UNITED STATES","70806","BATON ROUGE","YES","722000",,,"30","-91","28871","96097","EBRP"
"POINT (-91.089865109022 30.392226780092)","PLUCKERS WING BAR","6353 BLUEBONNET BLVD","BATON ROUGE","LOUISIANA","UNITED STATES","70836","BATON ROUGE","YES","722000",,,"30","-91","34085","103157","EBRP"
"POINT (-91.189311336515 30.449412159782)","POOR BOY LLOYD'S","201 FLORIDA ST","BATON ROUGE","LOUISIANA","UNITED STATES","70801","BATON ROUGE","YES","722110",,,"30","-91","14733","52415","EBRP"
"POINT (-91.024587451055 30.408562311214)","LOUISIANA CAJUN SEAFOOD LLC","13785 COURSEY BLVD","BATON ROUGE","LOUISIANA","UNITED STATES","70817","PARISH","YES","445000",,,"30","-91","32046","25113","EBRP"
"POINT (-91.139944766552 30.467216520709)","BIG BROTHERS MEAT MARKET #2","2023 N FOSTER DR","BATON ROUGE","LOUISIANA","UNITED STATES","70802","BATON ROUGE","YES","445000",,,"30","-91","41275","139028","EBRP"
"POINT (-91.013442802963 30.44373752608)","ONE STOP DELI AND GROCERIES LLC","15518 RHONDA AVE","BATON ROUGE","LOUISIANA","UNITED STATES","70816","PARISH","YES","445000",,,"30","-91","63183","33260","EBRP"
"POINT (-91.122304557472 30.471485425529)","SUPER LINE URBAN WEAR INC","2382 LOBDELL BLVD","BATON ROUGE","LOUISIANA","UNITED STATES","70805","BATON ROUGE","YES","453000",,,"30","-91","36537","59050","EBRP"
"POINT (-91.04805861126 30.576420610161)","SHELL","13925 JOOR RD","ZACHARY","LOUISIANA","UNITED STATES","70791","CENTRAL","YES","447000",,,"31","-91","41432","201950","EBRP"
"POINT (-91.122287786667 30.488805490315)","BENS FOOD MARKET","6894 AIRLINE HWY","BATON ROUGE","LOUISIANA","UNITED STATES","70805","BATON ROUGE","YES","445000",,,"30","-91","23381","107119","EBRP"
"POINT (-91.169841836419 30.430129709282)","KNOCK KNOCK CHILDRENS MUSEUM","1900 DALRYMPLE DR","BATON ROUGE","LOUISIANA","UNITED STATES","70802","BATON ROUGE","YES",,,,"30","-91","63023","219243","EBRP"
"POINT (-91.177062882151 30.418950493411)","CVS PHARMACY # 4761","3200 HIGHLAND RD","BATON ROUGE","LOUISIANA","UNITED STATES","70802","BATON ROUGE","YES","446110","225-388-9939","http://cvs.com/","30","-91","27272","180914","EBRP"
"POINT (-91.077997489001 30.384322260544)","THE BLAKE AT THE GROVE","9511 CREEKVIEW DR","BATON ROUGE","LOUISIANA","UNITED STATES","70836","PARISH","YES",,,,"30","-91","63102","228782","EBRP"
"POINT (-91.179199914698 30.418053928354)","LOUIE'S CAFÉ","3322 LAKE ST","BATON ROUGE","LOUISIANA","UNITED STATES","70802","BATON ROUGE","YES","722110",,,"30","-91","5217","71433","EBRP"
"POINT (-91.027989535967 30.538537960691)","LIT PIZZA- CENTRAL","9850 STE A SULLIVAN RD","CENTRAL","LOUISIANA","UNITED STATES","70818","CENTRAL","YES","445000",,,"31","-91","67271","210937","EBRP"
"POINT (-91.007040020029 30.437024099981)","MURPHY USA #7535","2211 O'NEAL LN","BATON ROUGE","LOUISIANA","UNITED STATES","70816","PARISH","YES","447000",,,"30","-91","46019","220283","EBRP"
"POINT (-91.15906917305 30.425409126093)","ZEE ZEE GARDENS","2904 PERKINS RD","BATON ROUGE","LOUISIANA","UNITED STATES","70808","BATON ROUGE","YES","722000",,,"30","-91","38542","65657","EBRP"
"POINT (-91.051016332224 30.412210299267)","SPANKYS DAIQUIRIS & DELITES","4621 S SHERWOOD FOREST BLVD","BATON ROUGE","LOUISIANA","UNITED STATES","70816","BATON ROUGE","YES","722000",,,"30","-91","36134","135599","EBRP"
"POINT (-91.160170089092 30.395442056083)","9 DRAGON NOODLE HOUSE","5271 HIGHLAND RD","BATON ROUGE","LOUISIANA","UNITED STATES","70808","BATON ROUGE","YES","722000",,,"30","-91","26479","136050","EBRP"
"POINT (-91.084243905853 30.475124692216)","VILLA DELMAR RESTAURANT","2885 MONTERREY DR","BATON ROUGE","LOUISIANA","UNITED STATES","70814","BATON ROUGE","YES","722000",,,"30","-91","47609","65579","EBRP"
"POINT (-91.097767031065 30.381276909452)","NINOS ITALIAN RESTAURANT","7512 BLUEBONNET BLVD","BATON ROUGE","LOUISIANA","UNITED STATES","70810","PARISH","YES","722110",,,"30","-91","15778","140364","EBRP"
"POINT (-91.188094872891 30.44907953755)","COURTYARD BY MARRIOTT DOWNTOWN BATON ROUGE","260 3RD ST","BATON ROUGE","LOUISIANA","UNITED STATES","70801","BATON ROUGE","YES","721000",,,"30","-91","64483","159001","EBRP"
"POINT (-91.177342602985 30.421633421358)","HIGHLAND ROAD HOP IN","2915 HIGHLAND RD","BATON ROUGE","LOUISIANA","UNITED STATES","70802","BATON ROUGE","YES","447000",,,"30","-91","30022","65813","EBRP"
"POINT (-91.126043735107 30.356312865856)","RAINBOW EXPRESS FOOD MART","1443 GARDERE LN","BATON ROUGE","LOUISIANA","UNITED STATES","70820","PARISH","YES","445110","225-769-3494",,"30","-91","6908","28156","EBRP"
"POINT (-91.05878154061 30.459245475185)","WALGREENS #2996","11297 FLORIDA BLVD","BATON ROUGE","LOUISIANA","UNITED STATES","70815","BATON ROUGE","YES","446110","225-272-9769","http://walgreens.com/","30","-91","38071","10274","EBRP"
"POINT (-91.133447995762 30.500505042408)","SHOPPERS VALUE FOODS","5908 AIRLINE HWY","BATON ROUGE","LOUISIANA","UNITED STATES","70805","BATON ROUGE","YES","445110","225-355-0025","http://shoppersvaluefoodla.com/","31","-91","14236","142242","EBRP"
"POINT (-91.034338467445 30.389795939002)","MASONS GRILL","13556 JEFFERSON HWY","BATON ROUGE","LOUISIANA","UNITED STATES","70817","PARISH","YES","722110",,,"30","-91","12679","23988","EBRP"
"POINT (-91.092153126153 30.419274116289)","PATIO LOUNGE","8743 JEFFERSON HWY","BATON ROUGE","LOUISIANA","UNITED STATES","70809","BATON ROUGE","YES","722000",,,"30","-91","33728","167133","EBRP"
"POINT (-91.127058037075 30.457100079635)","TIMS FOOD MART","824 N ARDENWOOD DR","BATON ROUGE","LOUISIANA","UNITED STATES","70806","BATON ROUGE","YES","445110","225-356-3445",,"30","-91","37333","116510","EBRP"
"POINT (-91.160703622333 30.479238777927)","ICANDI COUTURE","3401 PLANK RD","BATON ROUGE","LOUISIANA","UNITED STATES","70805","BATON ROUGE","YES","448000",,,"30","-91","30268","72341","EBRP"
"POINT (-91.099729714212 30.482130676419)","BELLA NOCHE","8509 GREENWELL SPRINGS RD","BATON ROUGE","LOUISIANA","UNITED STATES","70814","PARISH","YES","722410",,,"30","-91","17728","141287","EBRP"
