"name","type","gradelevels","public_private","schoolsystem","open_closed","name_former","full_address","city","state","zip","phone_number","website","geolocation","recno"
"Scott Street School (historical)","Elementary",,"Public",,"C",,,,,,,,,"380"
"Junior Academy","All Grades",,"Private",,"C",,,,,,,,,"443"
"Highland School (historical)","Elementary",,"Public",,"C",,,,,,,,,"527"
"Baton Rouge Foreign Language Academic Immersion Magnet Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish","O","Valley Park Alternative School","4510 BAWELL ST","BATON ROUGE","LOUISIANA","70808","225-343-6630","http://www.brflaim.org","4510 BAWELL ST
BATON ROUGE, LOUISIANA 70808
(30.42751, -91.143477)","549"
"Audubon Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish","O",,"10730 GOODWOOD BLVD","BATON ROUGE","LOUISIANA","70815","225-272-2620","https://www.ebrschools.org/schools/","10730 GOODWOOD BLVD
BATON ROUGE, LOUISIANA 70815
(30.446615, -91.065865)","421"
"Thrive Academy","High","6 to 12","Public","Charter","O",,"2585 BRIGHTSIDE DR","BATON ROUGE","LOUISIANA","70820","225-239-7820","http://thrivebr.org/","2585 BRIGHTSIDE DR
BATON ROUGE, LOUISIANA 70820
(30.388985, -91.188421)","630"
"Calvary Christian School","Elementary","Pre-K to 8","Private","Private","C",,"9611 SIEGEN LN","BATON ROUGE","LOUISIANA","70810",,,"9611 SIEGEN LN
BATON ROUGE, LOUISIANA 70810
(30.362153, -91.078054)","436"
"Baton Rouge Magnet High School","High","9 to 12","Public","East Baton Rouge Parish","O",,"2825 GOVERNMENT ST","BATON ROUGE","LOUISIANA","70806","225-383-0520","https://www.ebrschools.org/schools/","2825 GOVERNMENT ST
BATON ROUGE, LOUISIANA 70806
(30.444054, -91.159443)","453"
"Impact Charter Elementary School","Elementary","K to 8","Public","Charter","O",,"4815 LAVEY LN","BAKER","LOUISIANA","70714","225-308-9565","http://www.impactcharter.org/","4815 LAVEY LN
BAKER, LOUISIANA 70714
(30.575442, -91.150043)","829"
"Louisiana Training Institute","College",,"Public",,"C",,,,,,,,,"529"
"Episcopal High School","High","Pre-K to 12","Private","Private","O",,"3200 WOODLAND RIDGE BLVD","BATON ROUGE","LOUISIANA","70816","225-753-3180","http://www.ehsbr.org/","3200 WOODLAND RIDGE BLVD
BATON ROUGE, LOUISIANA 70816
(30.423376, -91.033125)","423"
"Choctaw School (historical)","Elementary",,"Public",,"C",,,,,,,,,"468"
"Broadmoor Middle School","Middle","6 to 8","Public","East Baton Rouge Parish","C",,"1225 SHARP RD","BATON ROUGE","LOUISIANA","70815","225-272-0540","http://ebr.oncoursesystems.com/websites/12916971","1225 SHARP RD
BATON ROUGE, LOUISIANA 70815
(30.443692, -91.067207)","420"
"Rosenwald School (historical)","Elementary",,"Public",,"C",,,,,,,,,"536"
"Saint Joseph School (historical)","Elementary",,"Public",,"C",,,,,,,,,"378"
"Southside Christian Academy","All Grades",,"Private",,"C",,,,,,,,,"417"
"Sharon Hills Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish","O",,"6450 GUYNELL DR","BATON ROUGE","LOUISIANA","70811","225-355-6522","https://www.ebrschools.org/schools/","6450 GUYNELL DR
BATON ROUGE, LOUISIANA 70811
(30.534289, -91.126245)","542"
"Gardere Community Christian School","Elementary","PK to 8","Private","Private","O",,"8538 GSRI AVE","BATON ROUGE","LOUISIANA","70810","225-387-5082","http://gardereschool.com/","8538 GSRI AVE
BATON ROUGE, LOUISIANA 70810
(30.354988, -91.126567)","649"
"Liberty School (historical)","Elementary",,"Public",,"C",,,,,,,,,"528"
"Saint Luke's Episcopal Day School","Elementary","Pre-K to 8","Private","Private","O",,"8833 GOODWOOD BLVD","BATON ROUGE","LOUISIANA","70806","225-927-8601","https://www.slesbr.org/","8833 GOODWOOD BLVD
BATON ROUGE, LOUISIANA 70806
(30.442814, -91.094561)","570"
"Comite Christian Academy","Elementary","K to 8","Private","Private","C",,"12250 GREENWELL SPRINGS RD","BATON ROUGE","LOUISIANA","70814",,,"12250 GREENWELL SPRINGS RD
BATON ROUGE, LOUISIANA 70814
(30.499775, -91.047502)","407"
"Merrydale Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish","O",,"6700 RIO DR","BATON ROUGE","LOUISIANA","70812","225-355-0346","https://www.ebrschools.org/schools/","6700 RIO DR
BATON ROUGE, LOUISIANA 70812
(30.503708, -91.122792)","531"
"Fairfield School (historical)","Elementary",,"Public",,"C",,,,,,,,,"474"
"Louisiana State University Laboratory School","All Grades","K to 12","Public","Louisiana State University System","O",,"45 LAB SCHOOL SERVICE LOT","BATON ROUGE","LOUISIANA","70803","225-578-3221","http://www.uhigh.lsu.edu/","45 LAB SCHOOL SERVICE LOT
BATON ROUGE, LOUISIANA 70803","627"
"The Dufrocq School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish","O",,"330 S 19TH ST","BATON ROUGE","LOUISIANA","70806","225-334-7653","https://www.ebrschools.org/schools/","330 S 19TH ST
BATON ROUGE, LOUISIANA 70806
(30.445299, -91.169113)","472"
"J.K. Haynes Middle School","Middle","6 to 8","Public","Charter - EBRPSS","C","Banks Elementary School","2401 72ND AVE","BATON ROUGE","LOUISIANA","70807","225-302-7077","http://www.jkhaynesschools.org/ms/","2401 72ND AVE
BATON ROUGE, LOUISIANA 70807
(30.514457, -91.167549)","452"
"LaSalle Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish","O",,"8000 LASALLE AVE","BATON ROUGE","LOUISIANA","70806","225-927-6130","https://www.ebrschools.org/schools/","8000 LASALLE AVE
BATON ROUGE, LOUISIANA 70806
(30.434757, -91.103634)","488"
"Career Academy","High","9 to 12","Public","Charter","C",,"9700 SCENIC HWY","BATON ROUGE","LOUISIANA","70807","225-388-5252","http://www.careeracademybr.org/","9700 SCENIC HWY
BATON ROUGE, LOUISIANA 70807
(30.532721, -91.186345)","631"
"Baton Rouge International School","All Grades","K to 12","Private","Private","O",,"5015 AUTOPLEX DR","BATON ROUGE","LOUISIANA","70809","225-293-4338","http://www.brintl.com/","5015 AUTOPLEX DR
BATON ROUGE, LOUISIANA 70809
(30.401324, -91.061503)","751"
"Saint James Episcopal Day School","Elementary","Pre-K to 5","Private","Private","O",,"445 CONVENTION ST","BATON ROUGE","LOUISIANA","70801","225-344-0805","http://www.stjameseds.org/","445 CONVENTION ST
BATON ROUGE, LOUISIANA 70801
(30.448305, -91.186008)","449"
"Baton Rouge Montessori KIds","All Grades","PK to K","Private","Private","C",,"12663 PERKINS RD","BATON ROUGE","LOUISIANA","70810","225-767-2500",,"12663 PERKINS RD
BATON ROUGE, LOUISIANA 70810
(30.368593, -91.075528)","752"
"Elan Vital Montessori School","Elementary","K to 6","Private","Private","O",,"7518 HIGHLAND RD","BATON ROUGE","LOUISIANA","70808","225-767-6620","http://www.elanvitalmontessori.org/","7518 HIGHLAND RD
BATON ROUGE, LOUISIANA 70808
(30.376933, -91.137001)","755"
"Charity Christian Academy","Elementary","Pre-K to 9","Private","Private","C",,"871 O'NEAL LN","BATON ROUGE","LOUISIANA","70816",,,"871 O'NEAL LN
BATON ROUGE, LOUISIANA 70816
(30.456253, -91.008386)","577"
"The Dunham School","All Grades","Pre-K to 12","Private","Private","O","Chapel Trafton School","11111 ROY EMERSON DR","BATON ROUGE","LOUISIANA","70810","225-767-7097","http://www.dunhamschool.org/","11111 ROY EMERSON DR
BATON ROUGE, LOUISIANA 70810
(30.381849, -91.084995)","428"
"Temple Christian School","All Grades",,"Private",,"C",,,,,,,,,"410"
"South School","Elementary",,"Public",,"C",,,,,,,,,"382"
"Montessori School of Baton Rouge","Elementary","PK to K","Private","Private","O",,"8227 WIMBLEDON AVE","BATON ROUGE","LOUISIANA","70810","225-766-9942","http://montessorischoolofbatonrouge.org/","8227 WIMBLEDON AVE
BATON ROUGE, LOUISIANA 70810
(30.374932, -91.089399)","759"
"Our Lady of Mercy Catholic School","Elementary","Pre-K to 8","Private","Catholic","O",,"400 MARQUETTE AVE","BATON ROUGE","LOUISIANA","70806","225-924-1054","http://www.olomschool.org/","400 MARQUETTE AVE
BATON ROUGE, LOUISIANA 70806
(30.44709, -91.124876)","504"
"Parkview Baptist School","All Grades","K to 12","Private","Private","O",,"5750 PARKVIEW CHURCH RD","BATON ROUGE","LOUISIANA","70816","225-291-2500","http://www.parkviewbaptist.com/","5750 PARKVIEW CHURCH RD
BATON ROUGE, LOUISIANA 70816
(30.397448, -91.049557)","584"
"Baton Rouge Community College - Acadian Campus","College",,"Public","Louisiana Community and Technical College System","O","Baton Rouge Vocational Technical Institute","3250 N ACADIAN THWY","BATON ROUGE","LOUISIANA","70805","1-866-217-9823","http://www.mybrcc.edu/","3250 N ACADIAN THWY
BATON ROUGE, LOUISIANA 70805
(30.476005, -91.156062)","447"
"Alsen Elementary School","Elementary",,"Public",,"C",,,,,,,,,"511"
"Virginia College","College",,"Private","Private","C",,"9501 CORTANA PL","BATON ROUGE","LOUISIANA","70815",,"https://www.vc.edu","9501 CORTANA PL
BATON ROUGE, LOUISIANA 70815
(30.459729, -91.096117)","849"
"Central Private School","All Grades","Pre-K to 12","Private","Private","O",,"12801 CENTERRA CT","BAKER","LOUISIANA","70714","225-261-3341","http://www.centralprivate.org/","12801 CENTERRA CT
BAKER, LOUISIANA 70714
(30.566305, -91.060388)","573"
"Silverside Academy","Elementary","Pre-K to 8","Private","Private","C",,"2070 SILVERSIDE DR","BATON ROUGE","LOUISIANA","70808",,,"2070 SILVERSIDE DR
BATON ROUGE, LOUISIANA 70808
(30.395183, -91.112484)","576"
"Christa McAuliffe Center","Middle","6 to 8","Public","East Baton Rouge Parish","C","Sherwood Forest Elementary School","12000 GOODWOOD BLVD","BATON ROUGE","LOUISIANA","70815","225-226-7940","http://ebr.oncoursesystems.com/websites/12697998","12000 GOODWOOD BLVD
BATON ROUGE, LOUISIANA 70815
(30.448801, -91.050058)","571"
"Trinity Episcopal School","Elementary","Pre-K to 5","Private","Private","O",,"3550 MORNING GLORY AVE","BATON ROUGE","LOUISIANA","70808","225-387-0398","http://www.trinityschoolbr.org/","3550 MORNING GLORY AVE
BATON ROUGE, LOUISIANA 70808
(30.417192, -91.156104)","451"
"Central Christian Academy","All Grades","Pre-K to 12","Private","Private","C",,"9739 JOOR RD","CENTRAL","LOUISIANA","70818",,,"9739 JOOR RD
CENTRAL, LOUISIANA 70818
(30.53709, -91.059189)","854"
"Rose Hill School (historical)","Elementary",,"Public",,"C",,,,,,,,,"535"
"Perkins Road School (historical)","Elementary",,"Public",,"C",,,,,,,,,"506"
"Scotlandville Magnet High School","High","9 to 12","Public","East Baton Rouge Parish","O",,"9870 SCOTLAND AVE","BATON ROUGE","LOUISIANA","70807","225-775-3715","https://www.ebrschools.org/schools/","9870 SCOTLAND AVE
BATON ROUGE, LOUISIANA 70807
(30.534144, -91.178505)","540"
"Brownfields Baptist Academy","All Grades","K to 12","Private","Private","C",,"11998 PLANK RD","BATON ROUGE","LOUISIANA","70811",,,"11998 PLANK RD
BATON ROUGE, LOUISIANA 70811
(30.554026, -91.134686)","580"
"Cornerstone Academy","All Grades",,"Private",,"C",,,,,,,,,"408"
"Cedarcrest-Southmoor Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish","O",,"10187 TWIN CEDARS ST","BATON ROUGE","LOUISIANA","70816","225-293-9950","https://www.ebrschools.org/schools/","10187 TWIN CEDARS ST
BATON ROUGE, LOUISIANA 70816
(30.4246, -91.069189)","419"
"Saint Pius X School","Elementary",,"Private","Catholic","C",,,,,,,,,"539"
"Leland College","College",,"Private",,"C",,,,,,,,,"490"
"Belaire Magnet High School","High","9 to 12","Public","East Baton Rouge Parish","O",,"12121 TAMS DR","BATON ROUGE","LOUISIANA","70815","225-272-1860","https://www.ebrschools.org/schools/","12121 TAMS DR
BATON ROUGE, LOUISIANA 70815
(30.466651, -91.048351)","413"
"Shiloh Baptist Early Learning Academy","Elementary","K to 1","Private","Private","O",,"185 EDDIE ROBINSON SR DR","BATON ROUGE","LOUISIANA","70802","225-343-4734",,"185 EDDIE ROBINSON SR DR
BATON ROUGE, LOUISIANA 70802
(30.445932, -91.175877)","761"
"Bellingrath Hills Elementary School","Elementary","Pre-K to K","Public","Central Community","O",,"6612 AUDUSSON DR","GREENWELL SPRINGS","LOUISIANA","70739","225-261-4093","http://bellingrathhills.centralcss.org/","6612 AUDUSSON DR
GREENWELL SPRINGS, LOUISIANA 70739
(30.515526, -90.993273)","398"
"Brighter Horizon School of Baton Rouge","All Grades","PK to 12","Private","Private","O",,"1896 WOODDALE BLVD","BATON ROUGE","LOUISIANA","70806","225-927-2521","http://www.brighterhorizonschool.org/","1896 WOODDALE BLVD
BATON ROUGE, LOUISIANA 70806
(30.4651, -91.112943)","753"
"Central High School","High","9 to 12","Public","Central Community","O",,"10200 E BROOKSIDE DR","CENTRAL","LOUISIANA","70818","225-261-3438","http://centralhigh.centralcss.org/","10200 E BROOKSIDE DR
CENTRAL, LOUISIANA 70818
(30.540803, -91.019599)","517"
"Catholic High School","High","8 to 12","Private","Catholic","O",,"855 HEARTHSTONE DR","BATON ROUGE","LOUISIANA","70806","225-383-0397","http://www.catholichigh.org/","855 HEARTHSTONE DR
BATON ROUGE, LOUISIANA 70806
(30.440635, -91.157017)","551"
"Forest Heights Academy of Excellence","Elementary","Pre-K to 5","Public","East Baton Rouge Parish","O","Forest Heights Elementary School","7447 SUMRALL DR","BATON ROUGE","LOUISIANA","70812","225-355-5681","https://www.ebrschools.org/schools/","7447 SUMRALL DR
BATON ROUGE, LOUISIANA 70812
(30.514647, -91.114031)","523"
"Bethany College","College",,"Private","Private","O",,"10877 RIEGER RD","BATON ROUGE","LOUISIANA","70809","225-412-5308","http://www.bethanycollege.net","10877 RIEGER RD
BATON ROUGE, LOUISIANA 70809
(30.380123, -91.061674)","853"
"Saint Jude the Apostle School","Elementary","Pre-K to 8","Private","Catholic","O",,"9150 HIGHLAND RD","BATON ROUGE","LOUISIANA","70808","225-769-2344","http://www.stjudebr.org/","9150 HIGHLAND RD
BATON ROUGE, LOUISIANA 70808
(30.367251, -91.120758)","437"
"Melrose Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish","O",,"1348 VALCOUR DR","BATON ROUGE","LOUISIANA","70806","225-926-2353","https://www.ebrschools.org/schools/","1348 VALCOUR DR
BATON ROUGE, LOUISIANA 70806
(30.461586, -91.135439)","497"
"Most Blessed Sacrament School","Elementary","Pre-K to 8","Private","Catholic","O",,"8033 BARINGER RD","BATON ROUGE","LOUISIANA","70817","225-751-0273","http://www.mbsbr.org/","8033 BARINGER RD
BATON ROUGE, LOUISIANA 70817
(30.378093, -91.015507)","434"
"Tara High School","High","9 to 12","Public","East Baton Rouge Parish","O",,"9002 WHITEHALL AVE","BATON ROUGE","LOUISIANA","70806","225-927-6100","https://www.ebrschools.org/schools/","9002 WHITEHALL AVE
BATON ROUGE, LOUISIANA 70806
(30.434927, -91.088709)","416"
"North School","Elementary",,"Public",,"C",,,,,,,,,"501"
"McKinley School","Elementary",,"Public",,"C",,,,,,,,,"496"
"North Highlands Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish","C",,"3875 BYRON ST","BATON ROUGE","LOUISIANA","70805",,,"3875 BYRON ST
BATON ROUGE, LOUISIANA 70805
(30.49378, -91.150806)","500"
"Frenchtown School (historical)","Elementary",,"Public",,"C",,,,,,,,,"524"
"Jimmy Swaggart Bible College and Seminary","College",,"Private","Private","O","World Evangelism Bible College","7320 BLUEBONNET BLVD","BATON ROUGE","LOUISIANA","70810","225-768-3890","http://www.jsbc.edu","7320 BLUEBONNET BLVD
BATON ROUGE, LOUISIANA 70810
(30.384894, -91.094908)","402"
"Greater Baton Rouge Hope Academy","All Grades","1 to 12","Private","Private","O","Gables Academy","15333 JEFFERSON HWY","BATON ROUGE","LOUISIANA","70817","225-293-0141","http://hopeacademybr.org","15333 JEFFERSON HWY
BATON ROUGE, LOUISIANA 70817
(30.376176, -91.017794)","401"
"Saint Joseph's Academy","High","9 to 12","Private","Catholic","O",,"3015 BROUSSARD ST","BATON ROUGE","LOUISIANA","70806","225-383-7207","https://sjabr.org/","3015 BROUSSARD ST
BATON ROUGE, LOUISIANA 70806
(30.435988, -91.157221)","377"
"Louisiana School for the Visually Impaired","All Grades","Pre-K to 12","Public","Louisiana Board of Elementary and Secondary Education","O","Louisiana State School for the Blind","2888 BRIGHTSIDE DR","BATON ROUGE","LOUISIANA","70820","225-757-3481","http://lsvi.org/","2888 BRIGHTSIDE DR
BATON ROUGE, LOUISIANA 70820
(30.389786, -91.191459)","448"
"Saint Aloysius Catholic School","Elementary","Pre-K to 8","Private","Catholic","O",,"4001 MIMOSA ST","BATON ROUGE","LOUISIANA","70808","225-383-3871","http://school.aloysius.org/","4001 MIMOSA ST
BATON ROUGE, LOUISIANA 70808
(30.415119, -91.1511)","372"
"Millerville Academy","All Grades",,"Private",,"C",,,,,,,,,"404"
"Broadmoor Senior High School","High","9 to 12","Public","East Baton Rouge Parish","O",,"10100 GOODWOOD BLVD","BATON ROUGE","LOUISIANA","70815","225-926-1420","https://www.ebrschools.org/schools/","10100 GOODWOOD BLVD
BATON ROUGE, LOUISIANA 70815
(30.443623, -91.075098)","459"
"Capitol Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish","O",,"4141 GUS YOUNG AVE","BATON ROUGE","LOUISIANA","70802","225-343-9364","https://www.ebrschools.org/schools/","4141 GUS YOUNG AVE
BATON ROUGE, LOUISIANA 70802
(30.461964, -91.148848)","587"
"Sacred Heart of Jesus School","Elementary","Pre-K to 8","Private","Catholic","O",,"2251 MAIN ST","BATON ROUGE","LOUISIANA","70802","225-383-7481","http://sacredheartbr.com/","2251 MAIN ST
BATON ROUGE, LOUISIANA 70802
(30.452112, -91.164767)","371"
"Louisiana Key Academy","Elementary","K to 4","Public","Charter","O",,"3172 GOVERNMENT ST","BATON ROUGE","LOUISIANA","70806","225-298-1223","http://www.lakeyacademy.com/","3172 GOVERNMENT ST
BATON ROUGE, LOUISIANA 70806
(30.444122, -91.156505)","732"
"Baton Rouge Junior High School (historical)","Middle","7 to 9","Public",,"C",,,,,,,,,"454"
"Buchanan Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish","O",,"1222 E BUCHANAN ST","BATON ROUGE","LOUISIANA","70802","225-343-4585","https://www.ebrschools.org/schools/","1222 E BUCHANAN ST
BATON ROUGE, LOUISIANA 70802
(30.425167, -91.172181)","463"
"Zachary Early Learning Center","Elementary","Pre-K","Public","Zachary Community","O",,"4400 ROLLINS PL","ZACHARY","LOUISIANA","70791","225-654-6011","http://www.zacharyelc.org/","4400 ROLLINS PL
ZACHARY, LOUISIANA 70791
(30.668956, -91.162435)","607"
"Scotlandville Pre-Engineering Magnet Academy","Middle","6 to 8","Public","East Baton Rouge Parish","O","Scotlandville Elementary School","9147 ELM GROVE GARDEN DR","BATON ROUGE","LOUISIANA","70807","225-775-0776","https://www.ebrschools.org/schools/","9147 ELM GROVE GARDEN DR
BATON ROUGE, LOUISIANA 70807
(30.529584, -91.169307)","541"
"Shenandoah Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish","O",,"16555 APPOMATTOX AVE","BATON ROUGE","LOUISIANA","70817","225-753-3560","https://www.ebrschools.org/schools/","16555 APPOMATTOX AVE
BATON ROUGE, LOUISIANA 70817
(30.395228, -91.000893)","433"
"Saint Anthony School (historical)","Elementary",,"Public",,"C",,,,,,,,,"373"
"Blundon School (historical)","Elementary",,"Public",,"C",,,,,,,,,"458"
"Riverdale Christian Academy","Elementary","K to 12","Private","Private","C",,"2791 O'NEAL LN","BATON ROUGE","LOUISIANA","70816","225-753-6722","http://www.riverdalechristianacademy.org/","2791 O'NEAL LN
BATON ROUGE, LOUISIANA 70816
(30.428712, -91.007538)","760"
"LSU Carrol L. Herring Fire and Emergency Training Institute","University",,"Public","Louisiana State University System","O","Louisiana State University Fireman Training Center","6868 NICHOLSON DR","BATON ROUGE","LOUISIANA","70820","225-334-6300","http://feti.lsu.edu/","6868 NICHOLSON DR
BATON ROUGE, LOUISIANA 70820
(30.379217, -91.165037)","435"
"Northwestern Middle School","Middle","6 to 8","Public","Zachary Community","O",,"5200 E CENTRAL AVE","ZACHARY","LOUISIANA","70791","225-654-9201","http://northwesternmiddle.org/","5200 E CENTRAL AVE
ZACHARY, LOUISIANA 70791
(30.655132, -91.155189)","503"
"Chaneyville School","Elementary",,"Public",,"C",,,,,,,,,"467"
"Northwestern Elementary School","Elementary","K to 1","Public","Zachary Community","O",,"4200 ROLLINS RD","ZACHARY","LOUISIANA","70791","225-654-2786","http://www.northwesternelementary.org/","4200 ROLLINS RD
ZACHARY, LOUISIANA 70791
(30.668987, -91.162665)","533"
"Arlington Preparatory Academy","High","8 to 12","Public","East Baton Rouge Parish","C",,"931 DEAN LEE DR","BATON ROUGE","LOUISIANA","70820","225-766-8188","http://ebr.oncoursesystems.com/websites/12783282","931 DEAN LEE DR
BATON ROUGE, LOUISIANA 70820
(30.385159, -91.1712)","439"
"Baton Rouge Community College","College",,"Public","Louisiana Community and Technical College System","O",,"201 COMMUNITY COLLEGE DR","BATON ROUGE","LOUISIANA","70806","1-866-217-9823","http://www.mybrcc.edu/","201 COMMUNITY COLLEGE DR
BATON ROUGE, LOUISIANA 70806
(30.449549, -91.135986)","633"
"Louisiana Virtual Charter Academy","All Grades","Pre-K to 12","Public","Charter - Virtual","O",,"4962 FLORIDA BLVD","BATON ROUGE","LOUISIANA","70806","877-490-3596","https://lavca.k12.com","4962 FLORIDA BLVD
BATON ROUGE, LOUISIANA 70806
(30.450719, -91.139613)","893"
"Goodwood Special Education Center","Elementary",,"Public","East Baton Rouge Parish","C",,"6550 SEVENOAKS AVE","BATON ROUGE","LOUISIANA","70806",,,"6550 SEVENOAKS AVE
BATON ROUGE, LOUISIANA 70806
(30.438849, -91.122805)","478"
"Brighton School, The","Elementary","K to 6","Private","Private","O","Brighton Academy","9150 BEREFORD DR","BATON ROUGE","LOUISIANA","70809","225-291-2524","http://www.thebrightonschool.org/","9150 BEREFORD DR
BATON ROUGE, LOUISIANA 70809
(30.418288, -91.082513)","586"
"Divine Guidance Christian School","All Grades",,"Private",,"C",,,,,,,,,"411"
"Brighton School, The","High","7 to 12","Private","Private","O","Depaul School","12108 PARKMEADOW AVE","BATON ROUGE","LOUISIANA","70816","225-923-2068","http://www.thebrightonschool.org/","12108 PARKMEADOW AVE
BATON ROUGE, LOUISIANA 70816
(30.406052, -91.045458)","418"
"Baton Rouge College (historical)","College",,"Public",,"C",,,,,,,,,"446"
"Baton Rouge Center for the Visual and Performing Arts","Elementary","Pre-K to 5","Public","East Baton Rouge Parish","O","Walnut Hills Elementary School","2040 S ACADIAN THWY","BATON ROUGE","LOUISIANA","70808","225-344-0084","http://www.brcvpa.com/","2040 S ACADIAN THWY
BATON ROUGE, LOUISIANA 70808
(30.42915, -91.15269)","389"
"AMIKids Baton Rouge","All Grades","4 to 12","Private","Private","O",,"5555 BEECHWOOD DR","BATON ROUGE","LOUISIANA","70805","225-356-3461","http://www.amikidsbatonrouge.org","5555 BEECHWOOD DR
BATON ROUGE, LOUISIANA 70805
(30.500741, -91.144171)","729"
"Lake Sherwood School","All Grades",,"Private",,"C",,,,,,,,,"431"
"Saint Louis King of France School","Elementary","Pre-K to 8","Private","Catholic","C",,"2311 N SHERWOOD FOREST DR","BATON ROUGE","LOUISIANA","70815","225-273-3932","http://www.edline.net/pages/slkf","2311 N SHERWOOD FOREST DR
BATON ROUGE, LOUISIANA 70815
(30.469773, -91.058082)","579"
"Cornucopia School (historical)","Elementary",,"Public",,"C",,,,,,,,,"520"
"Northeast High School","High","7 to 12","Public","East Baton Rouge Parish","O",,"13700 PORT HUDSON-PRIDE RD","PRIDE","LOUISIANA","70770","225-654-5808","https://www.ebrschools.org/schools/","13700 PORT HUDSON-PRIDE RD
PRIDE, LOUISIANA 70770
(30.704602, -91.014926)","550"
"Central Intermediate School","Elementary","3 to 5","Public","Central Community","O",,"12636 SULLIVAN RD","CENTRAL","LOUISIANA","70818","225-261-1390","http://centralintermediate.centralcss.org/","12636 SULLIVAN RD
CENTRAL, LOUISIANA 70818
(30.562913, -91.042229)","610"
"Valley Park School (historical)","Elementary",,"Public",,"C",,,,,,,,,"387"
"Glasgow Middle School","Middle","6 to 8","Public","East Baton Rouge Parish","O",,"1676 GLASGOW AVE","BATON ROUGE","LOUISIANA","70808","225-925-2942","https://www.ebrschools.org/schools/","1676 GLASGOW AVE
BATON ROUGE, LOUISIANA 70808
(30.408841, -91.143762)","475"
"Westdale Middle School","Middle","6 to 8","Public","East Baton Rouge Parish","O",,"5650 CLAYCUT RD","BATON ROUGE","LOUISIANA","70806","225-924-1308","https://www.ebrschools.org/schools/","5650 CLAYCUT RD
BATON ROUGE, LOUISIANA 70806
(30.441628, -91.13228)","390"
"Greenville Alternative at Wyandotte","Middle","6 to 8","Public","East Baton Rouge Parish","C","Wyandotte School","2525 WYANDOTTE ST","BATON ROUGE","LOUISIANA","70805","225-358-6928","http://ebr.oncoursesystems.com/websites/12886525","2525 WYANDOTTE ST
BATON ROUGE, LOUISIANA 70805
(30.481794, -91.16453)","396"
