"parkid","park_name","full_address","city","state","zip","classification","website","acreage","airgun_range","airnasium","archery_range","indoor_basketball","outdoor_basketball","bike_repair_station","bird_watching_wildlife_viewing","blueway_trailhead","bmx_track","canoe_kayak_launch","cricket_pitch","croquet_court","disc_golf","dog_park","equestrian","fishing_access","fitness_center","fitness_station_outdoor","garden_aboretum","golf_course_9_hole","golf_course_18_hole","greenway_trailhead","mountain_bike_trail","multi_purpose_ball_field","nature_trail","pavilion","playgound","primitive_trail","rec_center","rugby_field","rv_park","sand_volleyball","shuffleboard","skate_park","soccer_field","spray_pad","stadium","swimming_pool","tennis_center","tennis_court","velodrome","walking_loop_outdoor","walking_track_indoor","geolocation"
"BAYWD","BAYWOOD PARK","20001 PRIDE-BAYWOOD RD","GREENWELL SPRINGS","LOUISIANA","70739.000000000000000","Neighborhood","http://www.brec.org/index.cfm/park/Baywood","30.870999999999999","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","POINT (-90.914756 30.711177)"
"BBSWP","BLUEBONNET SWAMP CONSERVATION AREA","10503 N OAK HILLS PKWY","BATON ROUGE","LOUISIANA","70810","Conservation","http://www.brec.org/index.cfm/park/BluebonnetSwamp","102.751","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","POINT (-91.104375 30.370023)"
"BCHNN","BUCHANAN PARK","2300 MISSOURI ST","BATON ROUGE","LOUISIANA","70802","Neighborhood","http://www.brec.org/index.cfm/park/Buchanan","0.23000000000000001","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","POINT (-91.172149 30.425408)"
"BDPRV","BOULEVARD DE PROVINCE PARK","1717 BOULEVARD DE PROVINCE","BATON ROUGE","LOUISIANA","70816.000000000000000","Neighborhood","http://www.brec.org/index.cfm/park/BoulevarddeProvince","2.500000000000000","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","POINT (-91.045201 30.439366)"
"BELFR","BELFAIR PARK","4390 FAIRFIELDS AVE","BATON ROUGE","LOUISIANA","70802","Neighborhood","http://www.brec.org/index.cfm/park/Belfair","0.93000000000000005","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","POINT (-91.146633 30.467461)"
"BKRPG","BAKER PLAYGROUND","3439 GROOM RD","BAKER","LOUISIANA","70714.000000000000000","Neighborhood","http://www.brec.org/index.cfm/park/BakerRecreationCenter","0.500000000000000","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","POINT (-91.164128 30.587918)"
"BLBRY","BLUEBERRY STREET PARK","6050 BLUEBERRY ST","BATON ROUGE","LOUISIANA","70806.000000000000000","Neighborhood","http://www.brec.org/index.cfm/park/BlueberryStreet","2.181000000000000","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","YES","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","POINT (-91.128354 30.466471)"
"BLWTR","BLACKWATER CONSERVATION AREA","9385 BLACKWATER RD","BAKER","LOUISIANA","70714.000000000000000","Conservation","http://www.brec.org/index.cfm/park/BlackwaterConservationArea","57.479999999999997","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","POINT (-91.086841 30.534655)"
"BNBRG","BEN BURGE PARK","9350 ANTIGUA DR","BATON ROUGE","LOUISIANA","70810.000000000000000","Neighborhood","http://www.brec.org/index.cfm/park/BenBurge","18.503999999999998","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","POINT (-91.125847 30.346769)"
"BRBCA","BURBANK NATURE RESERVE","8858 BURBANK DR","BATON ROUGE","LOUISIANA","70820.000000000000000","Conservation","http://www.brec.org/index.cfm/park/BurbankConservation","58.177000000000000","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","POINT (-91.128799 30.362503)"
"BRBSC","BURBANK PARK","12400 BURBANK DR","BATON ROUGE","LOUISIANA","70810","Special Facility","http://www.brec.org/index.cfm/park/BurbankSoccerComplex","247.839","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","POINT (-91.094308 30.348275)"
"BRDSN","BIRD STATION PARK","2623 MICHELLI DR","BATON ROUGE","LOUISIANA","70805.000000000000000","Neighborhood","http://www.brec.org/index.cfm/park/BirdStation","4.000000000000000","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","POINT (-91.12723 30.472412)"
"BRKFD","BROOKFIELD AVENUE PARK","17650 BROOKFIELD AVE","BATON ROUGE","LOUISIANA","70817","Neighborhood","http://www.brec.org/index.cfm/park/BrookfieldAvenue","6.4799999999999995","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","POINT (-91.000308 30.358224)"
"BRNGR","BARINGER ROAD PARK","7401 BARINGER RD","BATON ROUGE","LOUISIANA","70817","Neighborhood","http://www.brec.org/index.cfm/park/baringer","4.7000000000000002","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","POINT (-91.01908 30.384181)"
"BRNHT","BROWN HEIGHTS PARK","15206 PLANK RD","BAKER","LOUISIANA","70714","Neighborhood","http://www.brec.org/index.cfm/park/BrownHeights","6.6999999999999993","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","POINT (-91.125013 30.586059)"
"BVRCK","BEAVER CREEK PARK","22600 BEAVER CREEK BLVD","ZACHARY","LOUISIANA","70791","Golf Course","http://www.brec.org/index.cfm/park/BeaverCreek","199.99600000000001","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO",
"CAMLT","CAMELOT PARK","3166 LANCELOT DR","BATON ROUGE","LOUISIANA","70816.000000000000000","Neighborhood","http://www.brec.org/index.cfm/park/Camelot","0.750000000000000","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","POINT (-91.043807 30.424185)"
"CDLST","CADILLAC STREET PARK","6117 CADILLAC ST","BATON ROUGE","LOUISIANA","70811","Neighborhood","http://www.brec.org/index.cfm/park/CadillacStreet","5.5299999999999994","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","POINT (-91.129186 30.518068)"
"CDRCR","CEDARCREST PARK","2490 SILVEREST AVE","BATON ROUGE","LOUISIANA","70816.000000000000000","Neighborhood","http://www.brec.org/index.cfm/park/Cedarcrest","5.000000000000000","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","POINT (-91.072308 30.428373)"
"CDRRG","CEDAR RIDGE DRIVE PARK","13300 CEDAR RIDGE AVE","BATON ROUGE","LOUISIANA","70817.000000000000000","Neighborhood","http://www.brec.org/index.cfm/park/CedarRidge","19.590000000000000","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","POINT (-91.031982 30.400862)"
"CHMBR","CHAMBERLAIN STREET PARK","16900 CHAMBERLAIN AVE","BAKER","LOUISIANA","70714","Neighborhood","http://www.brec.org/index.cfm/park/ChamberlainStreet","4.7059999999999995","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","POINT (-91.182748 30.60553)"
"CHNAR","COHN ARBORETUM","12206 FOSTER RD","BATON ROUGE","LOUISIANA","70811.000000000000000","Special Facility","http://www.brec.org/index.cfm/park/CohnArboretum","15.590000000000000","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","POINT (-91.120515 30.557891)"
"CHNNP","COHN NATURE RESERVE","11332 FOSTER RD","BATON ROUGE","LOUISIANA","70811.000000000000000","Conservation","http://www.brec.org/index.cfm/park/CohnNaturePreserve","28.500000000000000","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","POINT (-91.114933 30.550876)"
"CHRCH","CHURCH STREET PARK","3210 CHURCH ST","ZACHARY","LOUISIANA","70791.000000000000000","Neighborhood","http://www.brec.org/index.cfm/park/ChurchStreet","7.085000000000000","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","POINT (-91.169715 30.651721)"
"CITBP","CITY-BROOKS COMMUNITY PARK","1515 DALRYMPLE DR","BATON ROUGE","LOUISIANA","70808","Community","http://www.brec.org/index.cfm/park/CityBrooksCommunityPark","158.126","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO","NO","YES","NO","YES","NO","YES","NO","NO","NO","YES","NO","YES","NO","YES","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","YES","YES","NO","YES","NO","POINT (-91.16845 30.434252)"
"CLFTS","CLIFFORD T. SEYMOUR, SR. PARK","12000 SCOTLAND-ZACHARY HWY","BATON ROUGE","LOUISIANA","70807.000000000000000","Neighborhood","http://www.brec.org/index.cfm/park/CliffordTSeymour","18.314000000000000","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",
"CLGTN","COLLEGE TOWN PARK","251 AMHERST AVE","BATON ROUGE","LOUISIANA","70808.000000000000000","Neighborhood","http://www.brec.org/index.cfm/park/CollegeTown","1.200000000000000","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","POINT (-91.171364 30.404782)"
"CMTRV","COMITE RIVER CONSERVATION AREA","8900 HOOPER RD","BATON ROUGE","LOUISIANA","70811","Conservation","http://www.brec.org/index.cfm/park/Comite","100.40000000000001","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","YES","NO","NO","YES","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","POINT (-91.095856 30.530708)"
"CNGRS","CONGRESS PARK","5100 CONGRESS BLVD","BATON ROUGE","LOUISIANA","70808","Neighborhood","http://www.brec.org/index.cfm/park/Congress","2.9199999999999999","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","POINT (-91.133326 30.418656)"
"CNTSP","CENTRAL SPORTS PARK","10501 LOVETT RD","CENTRAL","LOUISIANA","70818.000000000000000","Special Facility","http://www.brec.org/index.cfm/park/CentralSportsPark","50.519999999999996","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","POINT (-91.065432 30.537635)"
"CNVNT","CONVENTION STREET PARK","717 CONVENTION ST","BATON ROUGE","LOUISIANA","70801","Neighborhood","http://www.brec.org/index.cfm/park/ConventionStreet","0.7340000000000001","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","POINT (-91.183613 30.448377)"
"CRPPW","CORPORATE PARKWAY","333 E GRANT ST","BATON ROUGE","LOUISIANA","70802","Neighborhood","http://www.brec.org/index.cfm/park/CorporateParkway","0.053999999999999992","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","POINT (-91.177956 30.423117)"
"CRTPL","CORTANA PLACE PARK","1901 OAK VILLA BLVD","BATON ROUGE","LOUISIANA","70815.000000000000000","Neighborhood",,"12.000000000000000","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","POINT (-91.089022 30.465927)"
"CUNRD","CUNARD-GORE ROAD PARK","2290 CUNARD AVE","BATON ROUGE","LOUISIANA","70807","Neighborhood","http://www.brec.org/index.cfm/park/CunardAvenue","3.7999999999999998","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","POINT (-91.170598 30.552928)"
"DAYTN","DAYTON STREET PARK","2404 DAYTON ST","BATON ROUGE","LOUISIANA","70805.000000000000000","Neighborhood","http://www.brec.org/index.cfm/park/DaytonStreet","0.500000000000000","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","POINT (-91.166206 30.488063)"
"DCHSS","DUCHESS DRIVE PARK","1701 DUCHESS DR","BATON ROUGE","LOUISIANA","70815.000000000000000","Neighborhood","http://www.brec.org/index.cfm/park/DuchessDrive","20.783999999999999","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","POINT (-91.040649 30.468875)"
"DOVER","DOVER STREET PARK","7300 DOVER ST","BATON ROUGE","LOUISIANA","70812.000000000000000","Neighborhood","http://www.brec.org/index.cfm/park/DoverStreet","4.000000000000000","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","POINT (-91.116978 30.49948)"
"DROZE","DROZE ROAD PARK","7700 DROZE RD","GREENWELL SPRINGS","LOUISIANA","70739.000000000000000","Neighborhood","http://www.brec.org/index.cfm/park/DrozeRoad","2.750000000000000","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","POINT (-91.005946 30.521196)"
"DRSLA","DRUSILLA LANE PARK","2546 DRUSILLA LN","BATON ROUGE","LOUISIANA","70809","Neighborhood","http://www.brec.org/index.cfm/park/DrusillaLane","5.0299999999999994","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","POINT (-91.084201 30.427214)"
"DYLBY","DOYLE BAYOU PARK","7801 PORT HUDSON-PRIDE RD","SLAUGHTER","LOUISIANA","70777.000000000000000","Neighborhood","http://www.brec.org/index.cfm/park/DoylesBayou","97.039999999999992","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","POINT (-91.111948 30.681243)"
"EBRKT","EAST BROOKSTOWN PARK","4300 E BROOKSTOWN DR","BATON ROUGE","LOUISIANA","70805.000000000000000","Neighborhood","http://www.brec.org/index.cfm/park/EastBrookstown","1.000000000000000","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","POINT (-91.128239 30.489563)"
"EDWRD","EDWARD AVENUE PARK","3000 EDWARD AVE","BATON ROUGE","LOUISIANA","70808","Neighborhood","http://www.brec.org/index.cfm/park/EdwardsAvenue","0.29999999999999999","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","POINT (-91.157503 30.429511)"
"EPOLK","EAST POLK STREET PARK","1700 E POLK ST","BATON ROUGE","LOUISIANA","70802.000000000000000","Neighborhood","http://www.brec.org/index.cfm/park/EastPolkStreet","3.000000000000000","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","POINT (-91.170884 30.427214)"
"ESTRN","ERICH AND LEA STERNBERG PARK","8715 ROUND OAK DR","BATON ROUGE","LOUISIANA","70817.000000000000000","Neighborhood","http://www.brec.org/index.cfm/park/ErichSternberg","26.090000000000000","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","POINT (-90.999459 30.370427)"
"EVNGL","EVANGELINE STREET PARK","4201 EVANGELINE ST","BATON ROUGE","LOUISIANA","70805.000000000000000","Neighborhood","http://www.brec.org/index.cfm/park/EvangelineStreet","7.944000000000000","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","POINT (-91.148269 30.492947)"
