"the_geom","id","name","type","gradelevels","public_private","schoolsystem","name_former","full_address","city","state","zip","phone_number","website"
"POINT (-91.136149516727 30.412704051826)","130","La Printaniere Montessori School","Elementary","K to 5","Private","Private",,"5064 PERKINS RD","BATON ROUGE","LOUISIANA","70808","225-769-2255","http://www.laprintaniere.com/"
"POINT (-91.091642984341 30.442243935003)","114","Hosanna Christian Academy","All Grades","K to 8","Private","Private",,"8850 GOODWOOD BLVD","BATON ROUGE","LOUISIANA","70806","225-926-4885","http://hcablazers.org/"
"POINT (-91.158412194396 30.663050152722)","36","Zachary Early Learning Center","Elementary","Pre-K","Public","Zachary Community",,"4400 ROLLINS PL","ZACHARY","LOUISIANA","70791","225-654-6011","http://www.zacharyelc.org/"
"POINT (-91.038536355189 30.562476661683)","39","Central Intermediate School","Elementary","3 to 5","Public","Central Community",,"12636 SULLIVAN RD","CENTRAL","LOUISIANA","70818","225-261-1390","http://centralintermediate.centralcss.org/"
"POINT (-91.173115402921 30.414524235847)","40","Louisiana State University Laboratory School","All Grades","K to 12","Public","Louisiana State University System",,"45 LAB SCHOOL SERVICE LOT","BATON ROUGE","LOUISIANA","70803","225-578-3221","http://www.uhigh.lsu.edu/"
"POINT (-91.09106611624 30.383811747938)","112","Family Christian Academy","All Grades","K to 12","Private","Private",,"8919 WORLD MINISTRY AVE","BATON ROUGE","LOUISIANA","70810","225-768-3026","http://fcacademy.net/"
"POINT (-91.069172901186 30.378616472462)","25","Saint George Catholic School","Elementary","K to 8","Private","Catholic",,"7880 SAINT GEORGE DR","BATON ROUGE","LOUISIANA","70809","225-293-1298","http://st-georgeschool.com/"
"POINT (-91.187403484395 30.524444092143)","41","Southern University Laboratory School","All Grades","K to 12","Public","Southern University System",,"807 SWAN AVE","BATON ROUGE","LOUISIANA","70813","225-771-3490","http://www.sulabschool.com/"
"POINT (-91.089083957064 30.374995604121)","133","Montessori School of Baton Rouge","Elementary","PK to K","Private","Private",,"8227 WIMBLEDON AVE","BATON ROUGE","LOUISIANA","70810","225-766-9942","http://montessorischoolofbatonrouge.org/"
"POINT (-91.019773720961 30.429278225407)","15","Southeast Middle Magnet School","Middle","6 to 8","Public","East Baton Rouge Parish",,"15000 S HARRELL'S FERRY RD","BATON ROUGE","LOUISIANA","70816","225-753-5930","https://www.ebrschools.org/schools/"
"POINT (-91.148511011039 30.488310600858)","44","Democracy Prep Louisiana Charter School","All Grades","K to 8","Public","Charter",,"4055 PRESCOTT RD","BATON ROUGE","LOUISIANA","70805","225-372-2037","http://dpbrms.democracyprep.org/"
"POINT (-91.005005886097 30.423894484478)","14","Saint Jean Vianney Catholic School","Elementary","K to 8","Private","Catholic",,"16266 S HARRELL'S FERRY RD","BATON ROUGE","LOUISIANA","70816","225-751-1831","http://www.stjeanvianneyschool.org/"
"POINT (-91.063116935003 30.447054783778)","12","Sherwood Middle Academic Magnet School","Middle","6 to 8","Public","East Baton Rouge Parish",,"1020 MARLBROOK DR","BATON ROUGE","LOUISIANA","70815","225-272-3090","https://www.ebrschools.org/schools/"
"POINT (-91.137259800455 30.3768129609)","129","Elan Vital Montessori School","Elementary","K to 6","Private","Private",,"7518 HIGHLAND RD","BATON ROUGE","LOUISIANA","70808","225-767-6620","http://www.elanvitalmontessori.org/"
"POINT (-91.150378146894 30.415822081197)","23","Saint Aloysius Catholic School","Elementary","Pre-K to 8","Private","Catholic",,"4001 MIMOSA ST","BATON ROUGE","LOUISIANA","70808","225-383-3871","http://school.aloysius.org/"
"POINT (-91.168568272402 30.445289658937)","115","The Dufrocq School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish",,"330 S 19TH ST","BATON ROUGE","LOUISIANA","70806","225-334-7653","https://www.ebrschools.org/schools/"
"POINT (-91.155379734189 30.663288064229)","37","Rollins Place Elementary School","Elementary","K to 2","Public","Zachary Community",,"4400 ROLLINS PL","ZACHARY","LOUISIANA","70791","225-658-1940","http://www.rollinsplaceelementary.org/"
"POINT (-91.160005937974 30.658616528807)","118","Northwestern Elementary School","Elementary","K to 1","Public","Zachary Community",,"4200 ROLLINS RD","ZACHARY","LOUISIANA","70791","225-654-2786","http://www.northwesternelementary.org/"
"POINT (-90.989449881258 30.410005481682)","120","Saint Michael the Archangel Diocesan Regional High School","High","9 to 12","Private","Catholic","Bishop Sullivan High School","17521 MONITOR AVE","BATON ROUGE","LOUISIANA","70817","225-753-9782","http://www.smhsbr.org/"
"POINT (-91.018042348752 30.427072168885)","34","Trinity Lutheran School","Elementary","Pre-K to 8","Private","Private",,"15160 S HARRELL'S FERRY RD","BATON ROUGE","LOUISIANA","70816","225-272-3110","http://tlcbr.org/"
"POINT (-91.065667743692 30.483427086608)","5","Park Forest Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish",,"10717 ELAIN DR","BATON ROUGE","LOUISIANA","70814","225-272-0814","https://www.ebrschools.org/schools/"
"POINT (-91.168742653041 30.447571568975)","131","Louisiana New School Academy","All Grades","4 to 12","Private","Private",,"1900 NORTH BLVD","BATON ROUGE","LOUISIANA","70806","225-344-8900","http://www.lanewschoolacademy.com"
"POINT (-91.165311093552 30.452620877819)","22","Sacred Heart of Jesus School","Elementary","Pre-K to 8","Private","Catholic",,"2251 MAIN ST","BATON ROUGE","LOUISIANA","70802","225-383-7481","http://sacredheartbr.com/"
"POINT (-91.068069547186 30.425247119769)","11","Cedarcrest-Southmoor Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish",,"10187 TWIN CEDARS ST","BATON ROUGE","LOUISIANA","70816","225-293-9950","https://www.ebrschools.org/schools/"
"POINT (-91.107043820072 30.503207661679)","59","Glen Oaks Park Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish",,"5656 LANIER DR","BATON ROUGE","LOUISIANA","70812","225-356-4521","https://www.ebrschools.org/schools/"
"POINT (-91.148314059752 30.46282435607)","155","Capitol Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish",,"4141 GUS YOUNG AVE","BATON ROUGE","LOUISIANA","70802","225-343-9364","https://www.ebrschools.org/schools/"
"POINT (-91.155895015708 30.440736286535)","48","Catholic High School","High","8 to 12","Private","Catholic",,"855 HEARTHSTONE DR","BATON ROUGE","LOUISIANA","70806","225-383-0397","http://www.catholichigh.org/"
"POINT (-91.134449922559 30.46167248848)","86","Melrose Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish",,"1348 VALCOUR DR","BATON ROUGE","LOUISIANA","70806","225-926-2353","https://www.ebrschools.org/schools/"
"POINT (-91.118218589883 30.464121794936)","95","Jehovah-Jireh Christian Academy","All Grades","K to 12","Private","Private",,"1771 LOBDELL BLVD","BATON ROUGE","LOUISIANA","70806","225-932-2357","http://jjcacademy.org/"
"POINT (-91.085534197004 30.383009303319)","109","The Dunham School","All Grades","Pre-K to 12","Private","Private","Chapel Trafton School","11111 ROY EMERSON DR","BATON ROUGE","LOUISIANA","70810","225-767-7097","http://www.dunhamschool.org/"
"POINT (-91.138894924601 30.48944949394)","63","Martin Luther King Junior Christian Academy","Elementary","Pre-K to 8","Private","Private",,"4295 PRESCOTT CT","BATON ROUGE","LOUISIANA","70805","225-356-7407",
"POINT (-91.124428436404 30.44710063284)","136","Our Lady of Mercy Catholic School","Elementary","Pre-K to 8","Private","Catholic",,"400 MARQUETTE AVE","BATON ROUGE","LOUISIANA","70806","225-924-1054","http://www.olomschool.org/"
"POINT (-91.031146430759 30.508245559539)","91","Saint Alphonsus Catholic School","Elementary","Pre-K to 8","Private","Catholic",,"13940 GREENWELL SPRINGS RD","GREENWELL SPRINGS","LOUISIANA","70739","225-261-5299","http://www.stalphonsusbr.org/"
"POINT (-91.060088222668 30.470370954405)","170","Geo Prep Academy of Baton Rouge","Elementary","K to 7","Public","Charter",,"2311 N SHERWOOD FOREST DR","BATON ROUGE","LOUISIANA","70815","225-927-1500","http://geoprep.org/"
"POINT (-91.131459659301 30.518551575074)","88","Glen Oaks Middle A Redesign School","Middle","6 to 8","Public","Charter","Zion City School","5959 CADILLAC ST","BATON ROUGE","LOUISIANA","70811","225-771-8128","https://www.redesignschoolslouisiana.org"
"POINT (-91.177192437756 30.437853067935)","66","Saint Francis Xavier Catholic School","Elementary","Pre-K to 8","Private","Catholic",,"1150 S 12TH ST","BATON ROUGE","LOUISIANA","70802","225-387-6639","https://www.sfxbr.org"
"POINT (-91.155283928699 30.477227490381)","150","Baton Rouge Community College - Acadian Campus","College",,"Public","Louisiana Community and Technical College System","Baton Rouge Vocational Technical Institute","3250 N ACADIAN THWY","BATON ROUGE","LOUISIANA","70805","1-866-217-9823","http://www.mybrcc.edu/"
"POINT (-91.014473512861 30.706061204962)","161","Northeast Elementary School","Elementary","Pre-K to 6","Public","East Baton Rouge Parish",,"13801 PORT HUDSON-PRIDE RD","PRIDE","LOUISIANA","70770","225-654-5113","https://www.ebrschools.org/schools/"
"POINT (-91.161116938284 30.65222752781)","72","Zachary High School","High",,"Public","Zachary Community",,"4100 BRONCO LN","ZACHARY","LOUISIANA","70791","225-654-2776","http://www.zacharyhigh.org/"
"POINT (-91.167505939648 30.641116524744)","71","Zachary Elementary School","Elementary",,"Public","Zachary Community",,"3775 HEMLOCK ST","ZACHARY","LOUISIANA","70791","225-654-4036","http://zacharyelementary.org/"
"POINT (-91.126433917931 30.354534060126)","158","Gardere Community Christian School","Elementary","PK to 8","Private","Private",,"8538 GSRI AVE","BATON ROUGE","LOUISIANA","70810","225-387-5082","http://gardereschool.com/"
"POINT (-91.012873717521 30.702861613825)","75","Northeast High School","High","7 to 12","Public","East Baton Rouge Parish",,"13700 PORT HUDSON-PRIDE RD","PRIDE","LOUISIANA","70770","225-654-5808","https://www.ebrschools.org/schools/"
"POINT (-91.194980948507 30.541228513686)","67","Crestworth Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish","Crestworth Learning Academy","10650 AVENUE F","BATON ROUGE","LOUISIANA","70807","225-778-1317","https://www.ebrschools.org/schools/"
"POINT (-91.176949937177 30.53333850227)","68","Scotlandville Magnet High School","High","9 to 12","Public","East Baton Rouge Parish",,"9870 SCOTLAND AVE","BATON ROUGE","LOUISIANA","70807","225-775-3715","https://www.ebrschools.org/schools/"
"POINT (-91.092663956959 30.443360577571)","163","Saint Luke's Episcopal Day School","Elementary","Pre-K to 8","Private","Private",,"8833 GOODWOOD BLVD","BATON ROUGE","LOUISIANA","70806","225-927-8601","https://www.slesbr.org/"
"POINT (-91.142068444075 30.426644272391)","147","Baton Rouge Foreign Language Academic Immersion Magnet Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish","Valley Park Alternative School","4510 BAWELL ST","BATON ROUGE","LOUISIANA","70808","225-343-6630","http://www.brflaim.org"
"POINT (-91.108338916913 30.4936164955)","81","Lanier Elementary A Redesign School","Elementary","Pre-K to 5","Public","Charter","Lanier Elementary School","4705 LANIER DR","BATON ROUGE","LOUISIANA","70812","225-308-3273","https://www.redesignschoolslouisiana.org"
"POINT (-91.121394914169 30.365838467848)","51","Saint Jude the Apostle School","Elementary","Pre-K to 8","Private","Catholic",,"9150 HIGHLAND RD","BATON ROUGE","LOUISIANA","70808","225-769-2344","http://www.stjudebr.org/"
"POINT (-91.122631024579 30.38298397491)","83","Magnolia Woods Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish",,"760 MAXINE DR","BATON ROUGE","LOUISIANA","70808","225-769-6845","https://www.ebrschools.org/schools/"
"POINT (-91.178894342175 30.414437348828)","152","Louisiana State University And A&M College","University",,"Public","Louisiana State University System",,"3810 W LAKESHORE DR","BATON ROUGE","LOUISIANA","70808",,"http://www.lsu.edu/"
"POINT (-91.126672922944 30.533616503293)","70","Sharon Hills Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish",,"6450 GUYNELL DR","BATON ROUGE","LOUISIANA","70811","225-355-6522","https://www.ebrschools.org/schools/"
"POINT (-91.170283934943 30.529727501065)","69","Scotlandville Pre-Engineering Magnet Academy","Middle","6 to 8","Public","East Baton Rouge Parish","Scotlandville Elementary School","9147 ELM GROVE GARDEN DR","BATON ROUGE","LOUISIANA","70807","225-775-0776","https://www.ebrschools.org/schools/"
"POINT (-91.103380505087 30.434157359332)","58","LaSalle Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish",,"8000 LASALLE AVE","BATON ROUGE","LOUISIANA","70806","225-927-6130","https://www.ebrschools.org/schools/"
"POINT (-91.163640138801 30.459216035828)","56","Capitol High School","High",,"Public","Charter",,"1000 N 23RD ST","BATON ROUGE","LOUISIANA","70802","225-239-7506","https://capitolhighbr.org"
"POINT (-91.174090420391 30.422871051648)","134","McKinley Senior High School","High","9 to 12","Public","East Baton Rouge Parish",,"800 E MC KINLEY ST","BATON ROUGE","LOUISIANA","70802","225-344-7696","https://www.ebrschools.org/schools/"
"POINT (-91.15333892605 30.429449480564)","167","Baton Rouge Center for the Visual and Performing Arts","Elementary","Pre-K to 5","Public","East Baton Rouge Parish","Walnut Hills Elementary School","2040 S ACADIAN THWY","BATON ROUGE","LOUISIANA","70808","225-344-0084","http://www.brcvpa.com/"
"POINT (-91.156603305863 30.43691152024)","140","Saint Joseph's Academy","High","9 to 12","Private","Catholic",,"3015 BROUSSARD ST","BATON ROUGE","LOUISIANA","70806","225-383-7207","https://sjabr.org/"
"POINT (-91.185107370154 30.437654537961)","159","Baton Rouge Community College - Frazier Campus","College",,"Public","Louisiana Community and Technical College System",,"555 JULIA ST","BATON ROUGE","LOUISIANA","70802","1-866-217-9823","http://www.mybrcc.edu/"
"POINT (-91.13167292097 30.440838484049)","103","Westdale Middle School","Middle","6 to 8","Public","East Baton Rouge Parish",,"5650 CLAYCUT RD","BATON ROUGE","LOUISIANA","70806","225-924-1308","https://www.ebrschools.org/schools/"
"POINT (-91.074449909195 30.53361650506)","145","Tanglewood Elementary School","Elementary","1 to 2","Public","Central Community",,"9352 RUSTLING OAKS DR","CENTRAL","LOUISIANA","70818","225-261-3454","http://tanglewood.centralcss.org/"
"POINT (-91.045526224234 30.405295051898)","102","Brighton School, The","Elementary","K to 6","Private","Private","Brighton Academy","9150 BEREFORD DR","BATON ROUGE","LOUISIANA","70809","225-291-2524","http://www.thebrightonschool.org/"
"POINT (-91.152089823538 30.405688588337)","162","Liberty Magnet High School","High","9 to 12","Public","East Baton Rouge Parish","Robert E. Lee High School","1105 LEE DR","BATON ROUGE","LOUISIANA","70808","225-924-9406","https://www.ebrschools.org/schools/"
"POINT (-91.088882111234 30.434003356005)","53","Tara High School","High","9 to 12","Public","East Baton Rouge Parish",,"9002 WHITEHALL AVE","BATON ROUGE","LOUISIANA","70806","225-927-6100","https://www.ebrschools.org/schools/"
"POINT (-91.017340878117 30.376526479094)","99","Greater Baton Rouge Hope Academy","All Grades","1 to 12","Private","Private","Gables Academy","15333 JEFFERSON HWY","BATON ROUGE","LOUISIANA","70817","225-293-0141","http://hopeacademybr.org"
"POINT (-91.095700284932 30.384978687233)","100","Jimmy Swaggart Bible College and Seminary","College",,"Private","Private","World Evangelism Bible College","7320 BLUEBONNET BLVD","BATON ROUGE","LOUISIANA","70810","225-768-3890","http://www.jsbc.edu"
"POINT (-91.050235493425 30.397682797269)","96","Parkview Baptist School","All Grades","K to 12","Private","Private",,"5750 PARKVIEW CHURCH RD","BATON ROUGE","LOUISIANA","70816","225-291-2500","http://www.parkviewbaptist.com/"
"POINT (-91.056419033269 30.386547087836)","94","Bethany Christian School","Elementary","K to 6","Private","Private",,"11107 HONORE LN","BATON ROUGE","LOUISIANA","70809","225-774-0133","http://www.bethanychristianschool.com/"
"POINT (-91.128894922244 30.490561494767)","235","EBR Readiness High School","High","9 to 12","Public","East Baton Rouge Parish","Brookstown Middle Magnet Academy","4375 E BROOKSTOWN DR","BATON ROUGE","LOUISIANA","70805","225-355-6556","https://www.ebrschools.org/schools/"
"POINT (-91.065115675272 30.445871505335)","250","Eva Legard Center for Coastal and Environmental Studies","High","6 to 12","Public","East Baton Rouge Parish",,"10730 GOODWOOD BLVD","BATON ROUGE","LOUISIANA","70815","225-922-5472","https://ebrschools.org/eva-legard-center-for-coastal-and-environmental-studies/"
"POINT (-91.120217713785 30.512101429081)","244","Glen Oaks Magnet High School","High","6 to 12","Public","East Baton Rouge Parish",,"6650 CEDAR GROVE DR","BATON ROUGE","LOUISIANA","70812","225-356-4306","https://www.ebrschools.org/schools/"
"POINT (-91.079993871257 30.442550587845)","234","Broadmoor Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish",,"9650 GOODWOOD BLVD","BATON ROUGE","LOUISIANA","70815","225-925-0343","https://www.ebrschools.org/schools/"
"POINT (-91.039288862687 30.664673575547)","198","Zachary Christian Academy","All Grades","K to 12","Private","Private",,"11950 MILLDALE RD","ZACHARY","LOUISIANA","70791","225-570-2539","https://www.milldale.org/zachary-christian-academy"
"POINT (-91.156778386746 30.443119672186)","212","Louisiana Key Academy","Elementary","K to 4","Public","Charter",,"3172 GOVERNMENT ST","BATON ROUGE","LOUISIANA","70806","225-298-1223","http://www.lakeyacademy.com/"
"POINT (-91.014372033463 30.378327698392)","218","Most Blessed Sacrament School","Elementary","Pre-K to 8","Private","Catholic",,"8033 BARINGER RD","BATON ROUGE","LOUISIANA","70817","225-751-0273","http://www.mbsbr.org/"
"POINT (-91.151429661389 30.476988393064)","80","Istrouma Middle Magnet School","Middle","6 to 8","Public","East Baton Rouge Parish",,"3730 WINBOURNE AVE","BATON ROUGE","LOUISIANA","70805","225-636-2686","https://www.ebrschools.org/schools/"
"POINT (-91.134172920486 30.431394481565)","104","Westdale Heights Academic Magnet School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish",,"2000 COLLEGE DR","BATON ROUGE","LOUISIANA","70808","225-926-5421","https://www.ebrschools.org/schools/"
"POINT (-91.140005923603 30.464172488279)","165","EBR Readiness Elementary Campus","Elementary","K to 5","Public","East Baton Rouge Parish","Greenville Elementary School","1645 N FOSTER DR","BATON ROUGE","LOUISIANA","70802","225-930-5637","https://www.ebrschools.org/schools/"
"POINT (-91.141540525375 30.360725966873)","187","Idea Innovation Charter School","Elementary","K to 9","Public","Charter - EBRPSS",,"7800 INNOVATION PARK DR","BATON ROUGE","LOUISIANA","70820","225-953-7963","https://www.ideapublicschools.org/our-schools/idea-innovation"
"POINT (-91.181878633064 30.440251522283)","229","EBR Virtual Academy","All Grades","Pre-K to 12","Public","East Baton Rouge Parish","South Boulevard Elementary","802 MAYFLOWER ST","BATON ROUGE","LOUISIANA","70802","225-922-5595","http://schools.ebrschools.org/virtualacademy/"
"POINT (-91.065626513185 30.446052556071)","260","Audubon Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish",,"10730 GOODWOOD BLVD","BATON ROUGE","LOUISIANA","70815","225-272-2620","https://www.ebrschools.org/schools/"
"POINT (-91.142937575446 30.408372661371)","243","Glasgow Middle School","Middle","6 to 8","Public","East Baton Rouge Parish",,"1676 GLASGOW AVE","BATON ROUGE","LOUISIANA","70808","225-925-2942","https://www.ebrschools.org/schools/"
"POINT (-91.106918347925 30.45264106553)","171","Basis Baton Rouge Primary Mid City","Elementary","K to 5","Public","Charter - EBRPSS",,"7921 FLORIDA BLVD","BATON ROUGE","LOUISIANA","70806","225-347-0209","https://enrollbasis.com/baton-rouge-mid-city/"
"POINT (-91.140403316998 30.498966698697)","156","Inspire Charter Academy","Elementary","K to 8","Public","Charter - EBRPSS",,"5454 N FOSTER DR","BATON ROUGE","LOUISIANA","70805","225-356-3936","https://www.nhaschools.com/schools/Inspire-Charter-Academy/en"
"POINT (-91.175713808926 30.446477160602)","175","Shiloh Baptist Early Learning Academy","Elementary","K to 1","Private","Private",,"185 EDDIE ROBINSON SR DR","BATON ROUGE","LOUISIANA","70802","225-343-4734",
"POINT (-91.186418896362 30.448683302158)","226","Saint James Episcopal Day School","Elementary","Pre-K to 5","Private","Private",,"445 CONVENTION ST","BATON ROUGE","LOUISIANA","70801","225-344-0805","http://www.stjameseds.org/"
"POINT (-91.156434111066 30.416551260198)","261","Trinity Episcopal School","Elementary","Pre-K to 5","Private","Private",,"3550 MORNING GLORY AVE","BATON ROUGE","LOUISIANA","70808","225-387-0398","http://www.trinityschoolbr.org/"
"POINT (-91.137819828888 30.447980286827)","180","Baton Rouge Community College","College",,"Public","Louisiana Community and Technical College System",,"201 COMMUNITY COLLEGE DR","BATON ROUGE","LOUISIANA","70806","1-866-217-9823","http://www.mybrcc.edu/"
"POINT (-91.037672430224 30.451679401118)","116","Twin Oaks Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish",,"819 TRAMMELL DR","BATON ROUGE","LOUISIANA","70815","225-275-6620","https://www.ebrschools.org/schools/"
"POINT (-91.139906953094 30.5928911787)","105","White Hills Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish",,"5300 BENTLEY DR","BAKER","LOUISIANA","70714","225-775-5891","https://www.ebrschools.org/schools/"
"POINT (-91.151397379257 30.416518611047)","29","Southdowns Pre-K Center","Elementary","Pre-K to K","Public","East Baton Rouge Parish",,"2050 HOOD AVE","BATON ROUGE","LOUISIANA","70808","225-346-1127","https://www.ebrschools.org/schools/"
"POINT (-91.144680742792 30.54126139503)","210","Helix Aviation Academy","All Grades","K to 12","Charter","East Baton Rouge Parish",,"4400 AIRPARK BLVD","BATON ROUGE","LOUISIANA","70807","225-427-8004","https://helixaviationacademy.org"
"POINT (-91.111358677215 30.453495338174)","196","Collegiate Baton Rouge","High","9 to 12","Public","Charter",,"282 LOBDELL BLVD","BATON ROUGE","LOUISIANA","70806","225-892-6962","https://cbr.collegiateacademies.org"
"POINT (-91.14444992537 30.479449491097)","164","Winbourne Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish",,"4503 WINBOURNE AVE","BATON ROUGE","LOUISIANA","70805","225-355-4446","https://www.ebrschools.org/schools/"
"POINT (-91.058839277957 30.470358210489)","195","Geo Next Generation High School","High","9 to 12","Public","Charter",,"2355 N SHERWOOD FOREST DR","BATON ROUGE","LOUISIANA","70815","225-314-2044","http://geonextgenerationhighschool.org/"
"POINT (-91.133338927307 30.584172514501)","64","Park Ridge Academic Magnet School","Elementary","Pre-K to 5","Public","City of Baker",,"5905 GROOM RD","BAKER","LOUISIANA","70714","225-775-5924","https://www.bakerschools.org/apps/pages/PRAMSchool"
"POINT (-91.137156925582 30.514579118119)","202","Baton Rouge College Preparatory","Middle","5 to 7","Public","Charter",,"5300 MONARCH AVE","BATON ROUGE","LOUISIANA","70811","225-771-8128","http://brcollegeprep.org/"
"POINT (-91.144471806169 30.500494742236)","209","AMIKids Baton Rouge","All Grades","4 to 12","Private","Private",,"5555 BEECHWOOD DR","BATON ROUGE","LOUISIANA","70805","225-356-3461","http://www.amikidsbatonrouge.org"
"POINT (-91.076062928138 30.465367247985)","148","Villa Del Rey Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish",,"9765 CUYHANGA PKWY","BATON ROUGE","LOUISIANA","70815","225-924-1606","https://www.ebrschools.org/schools/"
"POINT (-91.148459724668 30.392334226568)","54","Highland Elementary School","Elementary","Pre-K to 5","Public","East Baton Rouge Parish",,"280 SUNSET BLVD","BATON ROUGE","LOUISIANA","70808","225-766-1272","https://www.ebrschools.org/schools/"
"POINT (-91.142102015205 30.361646394208)","181","Emerge School for Autism","Elementary","K to 5","Public","Charter - EBRPSS",,"7784 INNOVATION PARK DR","BATON ROUGE","LOUISIANA","70820","225-343-4232","https://www.emergeschool.org"
"POINT (-91.15090121022 30.476693117342)","79","Istrouma Magnet High School","High","9 to 12","Public","East Baton Rouge Parish",,"3730 WINBOURNE AVE","BATON ROUGE","LOUISIANA","70805","225-636-2686","https://www.ebrschools.org/schools/"
"POINT (-91.189727933902 30.393894471815)","222","Louisiana School for the Deaf","All Grades","Pre-K to 12","Public","Louisiana Board of Elementary and Secondary Education",,"2888 BRIGHTSIDE DR","BATON ROUGE","LOUISIANA","70820","225-769-8160","http://lalsd.org/"
