"the_geom","id","description","facility_type","agency","owner","full_address","city","state","zip","phone_number","website","address_id"
"POINT (-91.076074869286 30.373804688959)","10","EMS Station 11","EMS","EMERGENCY MEDICAL SERVICES","CITY/PARISH","8140 YMCA PLAZA DR","BATON ROUGE","LOUISIANA","70810","225-389-5155",,"115743"
"POINT (-91.072842710051 30.35041982292)","202","Highland Road Community Park","BREC PARK","BREC","BREC","14024 HIGHLAND RD","BATON ROUGE","LOUISIANA","70810","225-767-4003","http://brec.org/index.cfm/park/HighlandRoadCommunityPark","25999"
"POINT (-91.17687433347 30.577746724363)","358","South Magnolia Park","BREC PARK","BREC","BREC","2409 S MAGNOLIA DR","BAKER","LOUISIANA","70714","225-272-9200","http://www.brec.org/index.cfm/park/SouthMagnolia","161238"
"POINT (-91.130410874114 30.441331311824)","167","EMS Station 14-9","EMS","EMERGENCY MEDICAL SERVICES","CITY/PARISH","5758 CLAYCUT RD","BATON ROUGE","LOUISIANA","70806","225-389-5155",,"159183"
"POINT (-91.160294661324 30.490969383086)","364","Department of Maintenance","PUBLIC WORKS","DEPARTMENT OF MAINTENANCE","CITY/PARISH","4445 PLANK RD","BATON ROUGE","LOUISIANA","70805",,,"217345"
"POINT (-91.103914678235 30.482879230197)","349","Thomas Maher Park","BREC PARK","BREC","BREC","8200 OAK VIEW DR","BATON ROUGE","LOUISIANA","70814","225-272-9200","http://www.brec.org/index.cfm/park/ThomasMaher","116181"
"POINT (-91.162601827054 30.568557045174)","360","Greenwood Community Park","BREC PARK","BREC","BREC","13350 SCOTLAND-ZACHARY HWY","BAKER","LOUISIANA","70714","225-620-0500","http://brec.org/index.cfm/park/GreenwoodCommunityPark","179550"
"POINT (-91.170053638216 30.467057817106)","34","Madison Avenue Park","BREC PARK","BREC","BREC","1820 MADISON AVE","BATON ROUGE","LOUISIANA","70802","225-272-9200","http://www.brec.org/index.cfm/park/MadisonAvenue","45566"
"POINT (-91.186160781159 30.471755264252)","80","Department of Environmental Services","PUBLIC WORKS","DEPARTMENT OF ENVIRONMENTAL SERVICES","CITY/PARISH","345 CHIPPEWA ST","BATON ROUGE","LOUISIANA","70805",,,"144066"
"POINT (-91.082342174709 30.412655507432)","451","LA State Police Retirement System","STATE OFFICES","STATE OF LOUISIANA","STATE","9224 JEFFERSON HWY","BATON ROUGE","LOUISIANA","70809",,,"123425"
"POINT (-91.190412688955 30.446268961735)","219","Louisiana Arts and Sciences Museum","SPECIAL FACILITY","STATE OF LOUISIANA","STATE","100 S RIVER RD, STE A","BATON ROUGE","LOUISIANA","70802",,,"14"
"POINT (-91.156412444208 30.451344826324)","36","Kernan Avenue Park","BREC PARK","BREC","BREC","333 KERNAN AVE","BATON ROUGE","LOUISIANA","70802","225-381-0067","http://brec.org/index.cfm/park/KernanAvenue","71555"
"POINT (-91.198390517042 30.650154772184)","381","Zachary Community Park","BREC PARK","BREC","BREC","20055 OLD SCENIC HWY","ZACHARY","LOUISIANA","70791","225-654-4261","http://www.brec.org/index.cfm/park/ZacharyCommunityPark","161229"
"POINT (-91.164699322967 30.449632943447)","138","Capital Area Transit System","MUNICIPAL OFFICES","CAPITAL AREA TRANSIT SYSTEM","CITY/PARISH","2250 FLORIDA ST","BATON ROUGE","LOUISIANA","70802",,,"55816"
"POINT (-91.165406882898 30.487799207184)","38","Tuscarora Street Park","BREC PARK","BREC","BREC","4200 TUSCARORA ST","BATON ROUGE","LOUISIANA","70805","225-272-9200","http://www.brec.org/index.cfm/park/TuscaroraStreet","81107"
"POINT (-91.156951252615 30.47287334162)","41","Acadian Thruway Park","BREC PARK","BREC","BREC","2751 N ACADIAN THWY W","BATON ROUGE","LOUISIANA","70805","225-272-9200","http://www.brec.org/index.cfm/park/AcadianThruway","130065"
"POINT (-91.104755020796 30.394350952517)","238","Homewood Aquatic Center Senior Center","SENIOR CENTER","COUNCIL ON AGING","CITY/PARISH","3653 GRANADA DR","BATON ROUGE","LOUISIANA","70810",,"http://www.ebrcoa.org/","75406"
"POINT (-91.140991695547 30.448952328531)","218","EBRP Housing Authority","MUNICIPAL OFFICES","EBRP HOUSING AUTHORITY","CITY/PARISH","4731 NORTH BLVD","BATON ROUGE","LOUISIANA","70806",,,"86262"
"POINT (-91.235109145629 30.679026230552)","272","Beaver Creek Park And Golf Course","BREC PARK","BREC","BREC","1100 PORT HUDSON-PLAINS RD","ZACHARY","LOUISIANA","70791","225-658-6338","http://golf.brec.org/courses/beaver-creek/","8230"
"POINT (-91.158409899709 30.455800102127)","37","Mary J. Lands Park","BREC PARK","BREC","BREC","802 N 30TH ST","BATON ROUGE","LOUISIANA","70802","225-272-9200","http://www.brec.org/index.cfm/park/MaryJLands","114855"
"POINT (-91.13141444158 30.515520405511)","64","Fortune Addition Park","BREC PARK","BREC","BREC","5900 PEERLESS ST","BATON ROUGE","LOUISIANA","70811","225-272-9200","http://www.brec.org/index.cfm/park/FortuneAddition","98343"
"POINT (-91.204900963559 30.387127723017)","411","BRPD Mounted Patrol","POLICE PROTECTION","BATON ROUGE POLICE DEPARTMENT","CITY/PARISH","6402 RIVER RD","BATON ROUGE","LOUISIANA","70820","225-389-7626","https://www.brla.gov/291/Special-Operations","220101"
"POINT (-91.140375372933 30.461409934135)","418","LSU Health System Mid City Clinic","HEALTH CARE","STATE OF LOUISIANA","STATE","1401 N FOSTER DR","BATON ROUGE","LOUISIANA","70806",,,"25904"
"POINT (-91.123287422725 30.588538073147)","340","Brownsfield VFD Station 72","FIRE PROTECTION","BROWNSFIELD VOLUNTEER FIRE DEPARTMENT","CITY/PARISH","6850 KENT DR","BAKER","LOUISIANA","70714",,,"139463"
"POINT (-91.161032979941 30.506554768462)","367","Monte Sano Village","PUBLIC HOUSING","EBRP HOUSING AUTHORITY","CITY/PARISH","3002 MASON AVE","BATON ROUGE","LOUISIANA","70805",,,"66865"
"POINT (-91.135848789866 30.549042733082)","114","Brownsfield VFD Station 71","FIRE PROTECTION","BROWNSFIELD VOLUNTEER FIRE DEPARTMENT","CITY/PARISH","11420 PLANK RD","BATON ROUGE","LOUISIANA","70811",,,"10950"
"POINT (-91.143292356561 30.452724927927)","234","Turner Plaza Senior Center","SENIOR CENTER","COUNCIL ON AGING","CITY/PARISH","4546 NORTH ST","BATON ROUGE","LOUISIANA","70806",,"http://www.ebrcoa.org/","142189"
"POINT (-91.031136246297 30.346284989884)","327","Louisiana State Police Troop A","POLICE PROTECTION","LOUISIANA STATE POLICE","STATE","17801 HIGHLAND RD","BATON ROUGE","LOUISIANA","70810","225-754-8500","http://www.lsp.org/troopa.html","155931"
"POINT (-91.012265609006 30.468761148844)","77","East Maintenance Lot","PUBLIC WORKS","DEPARTMENT OF MAINTENANCE","CITY/PARISH","1505 CENTRAL THWY","BATON ROUGE","LOUISIANA","70819",,,"142117"
"POINT (-91.130339722168 30.575358614099)","169","EMS Station 13","EMS","EMERGENCY MEDICAL SERVICES","CITY/PARISH","6252 LAVEY LN","BAKER","LOUISIANA","70714","225-389-5155",,"175509"
"POINT (-91.170117337462 30.450120131776)","133","Human Resources","MUNICIPAL OFFICES","HUMAN RESOURCES","CITY/PARISH","1755 FLORIDA ST","BATON ROUGE","LOUISIANA","70802",,,"42728"
"POINT (-91.160183499175 30.583601666237)","432","Baker Heights Head Start","HEAD START","HEAD START","CITY/PARISH","3750 HARDING ST","BAKER","LOUISIANA","70714",,,"187704"
"POINT (-91.187368649133 30.457082951919)","293","Louisiana State Capitol","SPECIAL FACILITY","STATE OF LOUISIANA","STATE","900 N 3RD ST","BATON ROUGE","LOUISIANA","70802",,,"121405"
"POINT (-91.11073111769 30.508168684651)","350","Maplewood Park","BREC PARK","BREC","BREC","7950 MAPLEWOOD DR","BATON ROUGE","LOUISIANA","70812","225-357-7357","http://www.brec.org/index.cfm/park/Maplewood","116180"
"POINT (-91.175792731325 30.43094281394)","142","Dr. Leo S. Butler Community Center","COMMUNITY CENTER","COMMUNITY DEVELOPMENT","CITY/PARISH","950 E WASHINGTON ST","BATON ROUGE","LOUISIANA","70802",,,"126114"
"POINT (-91.177153154199 30.515103584298)","84","EBRP Library Scotlandville Branch","LIBRARY","EBR PARISH LIBRARY","CITY/PARISH","7373 SCENIC HWY","BATON ROUGE","LOUISIANA","70807","225-354-7580",,"138927"
"POINT (-91.125687240236 30.355873140058)","325","St George FD Station 65","FIRE PROTECTION","ST GEORGE VOLUNTEER FIRE DEPARTMENT","CITY/PARISH","1506 SEABORD DR","BATON ROUGE","LOUISIANA","70820",,,"30795"
"POINT (-91.152702805213 30.393241930155)","48","Leeward Drive Park","BREC PARK","BREC","BREC","5800 MENLO DR","BATON ROUGE","LOUISIANA","70808","225-272-9200","http://www.brec.org/index.cfm/park/LeewardDrive","143477"
"POINT (-91.188659563362 30.44943629979)","135","Downtown Development District","MUNICIPAL OFFICES","DOWNTOWN DEVELOPMENT DISTRICT","CITY/PARISH","247 FLORIDA ST","BATON ROUGE","LOUISIANA","70801",,,"142357"
"POINT (-91.206334246508 30.584095902347)","392","Louisiana Correctional Institute for Women","PUBLIC SAFETY","STATE OF LOUISIANA","STATE","15200 OLD SCENIC HWY","BAKER","LOUISIANA","70714","225-319-2701","https://doc.louisiana.gov/location/louisiana-correctional-institute-for-women/","31398"
"POINT (-91.128614438503 30.465953130523)","58","Blueberry Street Park","BREC PARK","BREC","BREC","6050 BLUEBERRY ST","BATON ROUGE","LOUISIANA","70806","225-925-5998","http://www.brec.org/index.cfm/park/BlueberryStreet","168668"
"POINT (-91.172845978351 30.554864170606)","281","Clifford T. Seymour, Sr. Park","BREC PARK","BREC","BREC","12000 SCOTLAND-ZACHARY HWY","BATON ROUGE","LOUISIANA","70807","225-272-9200","http://www.brec.org/index.cfm/park/CliffordTSeymour","130403"
"POINT (-90.992407720709 30.423119914681)","341","Eastside FD Station 92","FIRE PROTECTION","EASTSIDE VOLUNTEER FIRE DEPARTMENT","CITY/PARISH","17505 S HARRELL'S FERRY RD","BATON ROUGE","LOUISIANA","70816",,,"140854"
"POINT (-91.197962344165 30.653371550955)","223","Zachary Youth Park","SPECIAL FACILITY","CITY OF ZACHARY","ZACHARY","1650 MOUNT PLEASANT-ZACHARY RD","ZACHARY","LOUISIANA","70791",,,"192110"
"POINT (-91.023780875093 30.6862679977)","231","Chaneyville Senior Center","SENIOR CENTER","COUNCIL ON AGING","CITY/PARISH","13211 JACKSON RD","ZACHARY","LOUISIANA","70791",,"http://www.ebrcoa.org/","21863"
"POINT (-91.181138983365 30.66400660394)","184","Rita Street Park","BREC PARK","BREC","BREC","2315 RITA ST","ZACHARY","LOUISIANA","70791","225-272-9200","http://www.brec.org/index.cfm/park/RitaStreet","161230"
"POINT (-91.091465604603 30.445428770424)","100","BRPD Headquarters","POLICE PROTECTION","BATON ROUGE POLICE DEPARTMENT","CITY/PARISH","9000 AIRLINE HWY","BATON ROUGE","LOUISIANA","70815","225-389-2000","https://www.brla.gov/203/Police-Department","139586"
"POINT (-91.190280489518 30.443234858528)","220","USS Kidd","SPECIAL FACILITY","STATE OF LOUISIANA","STATE","305 S RIVER RD","BATON ROUGE","LOUISIANA","70802",,,"67898"
"POINT (-91.112118445678 30.682984000088)","201","Doyle's Bayou Park","BREC PARK","BREC","BREC","7801 PORT HUDSON-PRIDE RD","SLAUGHTER","LOUISIANA","70777","225-272-9200","http://www.brec.org/index.cfm/park/DoylesBayou","113622"
"POINT (-91.154672485878 30.640284500718)","239","Zachary Senior Center","SENIOR CENTER","COUNCIL ON AGING","CITY/PARISH","3541 HIGHWAY 19","ZACHARY","LOUISIANA","70791",,"http://www.ebrcoa.org/","198755"
"POINT (-91.035082036607 30.444343895356)","9","EBRP Library Fairwood Branch","LIBRARY","EBR PARISH LIBRARY","CITY/PARISH","12910 OLD HAMMOND HWY","BATON ROUGE","LOUISIANA","70816","225-924-9380",,"142476"
"POINT (-91.111252590334 30.458517558454)","240","Bishop Ott Senior Center","SENIOR CENTER","COUNCIL ON AGING","CITY/PARISH","7545 BISHOP OTT DR","BATON ROUGE","LOUISIANA","70806",,"http://www.ebrcoa.org/","112047"
"POINT (-91.190058637536 30.421005418745)","12","Roosevelt Street Park","BREC PARK","BREC","BREC","1011 W ROOSEVELT ST","BATON ROUGE","LOUISIANA","70802","225-272-9200","http://www.brec.org/index.cfm/park/RooseveltStreet","873"
"POINT (-91.187161990672 30.446650385682)","94","19th Judicial District Court","COURTHOUSE","STATE OF LOUISIANA","STATE","300 NORTH BLVD","BATON ROUGE","LOUISIANA","70802",,,"155393"
"POINT (-91.166188810912 30.487753759696)","39","Dayton Street Park","BREC PARK","BREC","BREC","2404 DAYTON ST","BATON ROUGE","LOUISIANA","70805","225-272-9200","http://www.brec.org/index.cfm/park/DaytonStreet","214239"
"POINT (-91.146292316628 30.452779596274)","54","North Street Park","BREC PARK","BREC","BREC","4100 NORTH ST","BATON ROUGE","LOUISIANA","70806","225-383-0563","http://www.brec.org/index.cfm/park/NorthStreet","80096"
"POINT (-91.177020647041 30.461870432719)","395","DEQ Lab","STATE OFFICES","STATE OF LOUISIANA","STATE","1209 E HIGHWAY DR","BATON ROUGE","LOUISIANA","70802",,,"138345"
"POINT (-91.039152872086 30.559226444026)","261","Jackson Community Park","BREC PARK","BREC","BREC","12250 SULLIVAN RD","CENTRAL","LOUISIANA","70818","225-261-2161","http://www.brec.org/index.cfm/park/JacksonCommunityPark","16445"
"POINT (-91.127385783275 30.566211958156)","189","Le Brent Avenue Park","BREC PARK","BREC","BREC","6401 LEBRENT AVE","BAKER","LOUISIANA","70714","225-272-9200","http://www.brec.org/index.cfm/park/LebrentAvenue","142281"
"POINT (-90.981966958689 30.691183083934)","271","Pride Park","BREC PARK","BREC","BREC","16440 PORT HUDSON-PRIDE RD","PRIDE","LOUISIANA","70770","225-272-9200","http://www.brec.org/index.cfm/park/Pride","35215"
"POINT (-91.14593024798 30.467202847235)","55","Belfair Park","BREC PARK","BREC","BREC","4390 FAIRFIELDS AVE","BATON ROUGE","LOUISIANA","70802","225-355-7091","http://brec.org/index.cfm/park/Belfair","83137"
"POINT (-91.187598593933 30.463844689127)","397","LA Office of State Buildings","STATE OFFICES","STATE OF LOUISIANA","STATE","1928 N 3RD ST","BATON ROUGE","LOUISIANA","70802",,,"142300"
"POINT (-91.155203029478 30.498891337417)","144","Charles R. Kelly Community Center","COMMUNITY CENTER","COMMUNITY DEVELOPMENT","CITY/PARISH","3535 RILEY ST","BATON ROUGE","LOUISIANA","70805",,,"142081"
"POINT (-91.173481326495 30.538152703562)","442","Progress Road Head Start","HEAD START","HEAD START","CITY/PARISH","1881 PROGRESS RD","BATON ROUGE","LOUISIANA","70807",,,"47925"
"POINT (-91.062840805771 30.468115174038)","247","Red Oaks Park","BREC PARK","BREC","BREC","2100 GREEN OAK DR","BATON ROUGE","LOUISIANA","70815","225-275-7320","http://www.brec.org/index.cfm/park/RedOaks","53014"
"POINT (-90.915385187773 30.712964848345)","273","Baywood Park","BREC PARK","BREC","BREC","20001 PRIDE-BAYWOOD RD","GREENWELL SPRINGS","LOUISIANA","70739","225-272-9200","http://www.brec.org/index.cfm/park/Baywood","51061"
"POINT (-91.157054319259 30.658404139192)","390","Zachary Rural Program","COMMUNITY CENTER","COMMUNITY DEVELOPMENT","CITY/PARISH","5746 ROLLINS RD","ZACHARY","LOUISIANA","70791",,,"196359"
"POINT (-91.180506890387 30.521855079906)","149","BRPD District 4 Station","POLICE PROTECTION","BATON ROUGE POLICE DEPARTMENT","CITY/PARISH","8227 SCENIC HWY","BATON ROUGE","LOUISIANA","70807","225-389-2000","https://www.brla.gov/203/Police-Department","116025"
"POINT (-91.140201442179 30.360088937157)","413","LSU South Campus","UNIVERSITY","STATE OF LOUISIANA","STATE","8000 INNOVATION PARK DR","BATON ROUGE","LOUISIANA","70820",,,"114737"
"POINT (-91.069318734337 30.449611398468)","376","Sharp Road Park","BREC PARK","BREC","BREC","501 SHARP RD","BATON ROUGE","LOUISIANA","70815","225-273-3924","http://www.brec.org/index.cfm/park/SharpRoad","88455"
"POINT (-91.164424954918 30.5359241278)","425","EBRSO Training Facility","POLICE PROTECTION","EBR SHERIFFS OFFICE","CITY/PARISH","2829 LIEUTENANT GENERAL BENJAMIN DAVIS, JR. AVE","BATON ROUGE","LOUISIANA","70807","225-389-5000","https://www.ebrso.org/SHERIFF","139851"
"POINT (-91.183939097215 30.453282023267)","23","Seventh Street Park","BREC PARK","BREC","BREC","639 N 7TH ST","BATON ROUGE","LOUISIANA","70802","225-272-9200","http://www.brec.org/index.cfm/park/SeventhStreet","147551"
"POINT (-91.188698830389 30.459845032326)","302","Claiborne Building","STATE OFFICES","STATE OF LOUISIANA","STATE","1201 N 3RD ST","BATON ROUGE","LOUISIANA","70802",,,"138344"
"POINT (-91.16402631138 30.589523486965)","361","Baker Playground","BREC PARK","BREC","BREC","3439 GROOM RD","BAKER","LOUISIANA","70714","225-272-9200",,"189686"
"POINT (-91.157224480655 30.58516252725)","362","Harding Street Park","BREC PARK","BREC","BREC","4037 HARDING ST","BAKER","LOUISIANA","70714","225-272-9200","http://www.brec.org/index.cfm/park/HardingStreet","161241"
"POINT (-91.130093982592 30.450428466006)","232","Florida Blvd Senior Center","SENIOR CENTER","COUNCIL ON AGING","CITY/PARISH","5790 FLORIDA BLVD","BATON ROUGE","LOUISIANA","70806",,"http://www.ebrcoa.org/","97359"
"POINT (-91.156052112011 30.477280511992)","433","Capital Area Head Start","HEAD START","HEAD START","CITY/PARISH","3250 N ACADIAN THWY","BATON ROUGE","LOUISIANA","70805",,,"70772"
"POINT (-91.164560212263 30.53427438688)","69","EBR Parish Prison","POLICE PROTECTION","EBR SHERIFFS OFFICE","CITY/PARISH","2867 BRIGADIER GENERAL ISAAC SMITH AVE","BATON ROUGE","LOUISIANA","70807","225-355-3311",,"65432"
"POINT (-91.09264695186 30.642661710915)","151","Chaneyville VFD Station 42","FIRE PROTECTION","CHANEYVILLE VOLUNTEER FIRE DEPARTMENT","CITY/PARISH","8801 ZACHARY-DEERFORD RD","ZACHARY","LOUISIANA","70791",,,"159827"
"POINT (-91.189696711568 30.454092223543)","295","Capitol Park Welcome Center","SPECIAL FACILITY","STATE OF LOUISIANA","STATE","702 N RIVER RD","BATON ROUGE","LOUISIANA","70802",,,"142437"
"POINT (-91.111166384421 30.640719543018)","200","Little Farms Park","BREC PARK","BREC","BREC","3754 LITTLE FARMS DR","ZACHARY","LOUISIANA","70791","225-272-9200","http://www.brec.org/index.cfm/park/LittleFarms","161236"
"POINT (-91.164185821515 30.408341189299)","17","Milford Wampold Memorial Park","BREC PARK","BREC","BREC","901 STANFORD AVE","BATON ROUGE","LOUISIANA","70808","225-272-9200","http://www.brec.org/index.cfm/park/MilfordWampoldMemorialPark","121518"
"POINT (-91.127930130343 30.488760190719)","7","BRFD Station 4","FIRE PROTECTION","BATON ROUGE FIRE DEPARTMENT","CITY/PARISH","6241 PRESCOTT RD","BATON ROUGE","LOUISIANA","70805",,,"101937"
"POINT (-91.186137324579 30.439786998101)","444","Women's Community Rehabilitation Center","PUBLIC SAFETY","STATE OF LOUISIANA","STATE","855 SAINT FERDINAND ST","BATON ROUGE","LOUISIANA","70802",,,"144074"
"POINT (-91.028356828572 30.42750706486)","289","Forest Community Park","BREC PARK","BREC","BREC","13900 S HARRELL'S FERRY RD","BATON ROUGE","LOUISIANA","70816","225-752-1853","http://brec.org/index.cfm/park/forestcommunitypark","25514"
"POINT (-91.164734405575 30.590107184314)","177","Baker Recreation Center","BREC PARK","BREC","BREC","1420 ALABAMA AVE","BAKER","LOUISIANA","70714","225-778-0779","http://brec.org/index.cfm/park/BakerRecreationCenter","161239"
"POINT (-91.138271520088 30.450027633557)","396","LADOTD Environmental Section","STATE OFFICES","STATE OF LOUISIANA","STATE","5040 FLORIDA BLVD","BATON ROUGE","LOUISIANA","70806",,,"88879"
"POINT (-91.114506574173 30.464300683177)","435","Child Development And Learning Center","HEAD START","HEAD START","CITY/PARISH","7315 EXCHANGE PL","BATON ROUGE","LOUISIANA","70806",,,"110138"
"POINT (-91.045779451788 30.404507056356)","175","Parklawn Park","BREC PARK","BREC","BREC","12228 PARKLAWN AVE","BATON ROUGE","LOUISIANA","70816","225-751-0823","http://www.brec.org/index.cfm/park/Parklawn","16385"
"POINT (-91.023766389661 30.686199616668)","146","Chaneyville Community Center","COMMUNITY CENTER","COMMUNITY DEVELOPMENT","CITY/PARISH","13211 JACKSON RD","ZACHARY","LOUISIANA","70791",,,"21863"
"POINT (-91.111723272214 30.385943009622)","371","Mary Ruth Park","BREC PARK","BREC","BREC","8808 MARY RUTH AVE","BATON ROUGE","LOUISIANA","70810","225-272-9200","http://www.brec.org/index.cfm/park/MaryRuth","120203"
"POINT (-91.172485103218 30.460158925655)","422","LA Federal Property Assistance Agency","STATE OFFICES","STATE OF LOUISIANA","STATE","1635 FOSS ST","BATON ROUGE","LOUISIANA","70802",,,"142545"
"POINT (-91.181300934135 30.3681253026)","399","LSU Aquaculture Research Station","UNIVERSITY","STATE OF LOUISIANA","STATE","709 TECHNOLOGY WAY","BATON ROUGE","LOUISIANA","70820",,,"232901"
"POINT (-91.15628844436 30.648296174657)","217","Zachary City Hall","MUNICIPAL OFFICES","CITY OF ZACHARY","ZACHARY","4510 MAIN ST","ZACHARY","LOUISIANA","70791",,,"175529"
"POINT (-91.160605258635 30.563218956264)","357","Baton Rouge Zoo","BREC PARK","BREC","BREC","3601 THOMAS RD","BATON ROUGE","LOUISIANA","70807","225-775-3877","http://www.brzoo.org/","139916"
"POINT (-91.177499121758 30.419631285184)","105","BRFD Station 11","FIRE PROTECTION","BATON ROUGE FIRE DEPARTMENT","CITY/PARISH","3186 HIGHLAND RD","BATON ROUGE","LOUISIANA","70802",,,"142215"
"POINT (-91.211468165831 30.383464295624)","13","Farr Park Equestrian Center","BREC PARK","BREC","BREC","6400 RIVER RD","BATON ROUGE","LOUISIANA","70820","225-769-7805","http://brec.org/index.cfm/park/FarrPark","103452"
"POINT (-91.097961771657 30.414676319886)","310","Louisiana State Archives","SPECIAL FACILITY","STATE OF LOUISIANA","STATE","3851 ESSEN LN","BATON ROUGE","LOUISIANA","70809",,,"77493"
"POINT (-91.011166121753 30.422749639826)","333","South Harrell's Ferry Road Park","BREC PARK","BREC","BREC","15750 S HARRELL'S FERRY RD","BATON ROUGE","LOUISIANA","70816","225-272-9200","http://www.brec.org/index.cfm/park/SouthHarrellsFerry","130206"
"POINT (-91.154148250585 30.523737622865)","74","EBRP Coroner","MUNICIPAL OFFICES",,"CITY/PARISH","4030 T.B. HERNDON AVE","BATON ROUGE","LOUISIANA","70807",,,"154919"
"POINT (-91.227038842474 30.6624243349)","182","Flonacher Road Park","BREC PARK","BREC","BREC","864 FLONACHER RD","ZACHARY","LOUISIANA","70791","225-654-2617","http://brec.org/index.cfm/park/Flanacher","153295"
"POINT (-91.172207499728 30.44741902262)","31","North Boulevard Park","BREC PARK","BREC","BREC","1640 NORTH BLVD","BATON ROUGE","LOUISIANA","70802","225-272-9200","http://www.brec.org/index.cfm/park/NorthBoulevard","37283"
"POINT (-91.054968039225 30.466749488781)","248","Tams Drive Park","BREC PARK","BREC","BREC","11600 TAMS DR","BATON ROUGE","LOUISIANA","70815","225-272-9200","http://www.brec.org/index.cfm/park/TamsDrive","12098"
"POINT (-91.16635633422 30.445157567061)","377","Spain Street Park","BREC PARK","BREC","BREC","2101 SPAIN ST","BATON ROUGE","LOUISIANA","70806","225-272-9200","http://www.brec.org/index.cfm/park/SpainStreet","53021"
"POINT (-91.166462528981 30.535640854319)","408","BRPD K9/SRT","POLICE PROTECTION","BATON ROUGE POLICE DEPARTMENT","CITY/PARISH","2727 LIEUTENANT GENERAL BENJAMIN DAVIS, JR. AVE","BATON ROUGE","LOUISIANA","70807","225-389-5208",,"154921"
