"the_geom","id","church_name","full_address","city","state","zip","phone_number","website"
"POINT (-91.036310543812 30.444730535797)","587","PRESYBYTERY OF BATON ROUGE","12909 OLD HAMMOND HWY","BATON ROUGE","LOUISIANA","70816",,
"POINT (-91.04682831337 30.433366799141)","326","HOUSE OF TESTIMONIES MINISTRIES","12061 N HARRELL'S FERRY RD","BATON ROUGE","LOUISIANA","70816",,
"POINT (-90.990970113798 30.408413887025)","422","ST. ANDREWS UNITED METHODIST CHURCH","17510 MONITOR AVE","BATON ROUGE","LOUISIANA","70817",,
"POINT (-91.17964695407 30.427603153466)","433","GREATER ANTIOCH BAPTIST CHURCH","2139 NEBRASKA ST","BATON ROUGE","LOUISIANA","70802",,
"POINT (-91.189615544497 30.519759570097)","322","BAPTIST STUDENT UNION","724 HARDING BLVD","BATON ROUGE","LOUISIANA","70807",,
"POINT (-91.110101693909 30.466117336442)","39","KEEP  LOVE ALIVE CHRISTIAN CENTER","1804 DALLAS DR","BATON ROUGE","LOUISIANA","70806",,
"POINT (-91.159236885138 30.39509939003)","463","TRANSFORMING CULTURE MINISTRIES","143 LEE DR, STE 1-7","BATON ROUGE","LOUISIANA","70808",,
"POINT (-91.111748978466 30.469595697729)","182","SHEKINAH GLORY","2127 BEAUMONT DR","BATON ROUGE","LOUISIANA","70806",,
"POINT (-91.061047195532 30.380960673088)","528","SET FREE INDEED MINISTRIES","10877 RIEGER RD","BATON ROUGE","LOUISIANA","70809",,
"POINT (-91.177288582512 30.521618303065)","31","IMMACULATE CONCEPTION OF THE BLESSED VIRGIN MARY CATHOLIC CHURCH","1565 CURTIS ST","BATON ROUGE","LOUISIANA","70807","225-774-3661","http://immaculateconceptionbr.org/"
"POINT (-91.065573190663 30.409575283453)","151","BAPTIST ASSOCIATION OF GREATER BATON ROUGE","10560 AIRLINE HWY","BATON ROUGE","LOUISIANA","70809",,
"POINT (-91.144085917447 30.447691733332)","336","NORTH BATON ROUGE CHURCH OF CHRIST","4405 HATCHER AVE","BATON ROUGE","LOUISIANA","70806",,
"POINT (-91.064743370713 30.44078346618)","560","CHRISTIAN CHURCH OF BATON ROUGE","1357 SHARP RD","BATON ROUGE","LOUISIANA","70815",,
"POINT (-91.165648816921 30.530164448957)","475","GREATER NEW GALILEE BAPTIST CHURCH","9185 WILBUR RD","BATON ROUGE","LOUISIANA","70807",,
"POINT (-91.013201065097 30.419971051064)","472","LUTHERAN CHURCH OF OUR SAVIOUR","3555 JONES CREEK RD","BATON ROUGE","LOUISIANA","70816",,
"POINT (-91.050364030861 30.420989332955)","562","CALVARY ON THE BAYOU","3535 S SHERWOOD FOREST BLVD","BATON ROUGE","LOUISIANA","70816",,
"POINT (-91.071613296614 30.490592706263)","251","CHANGING A GENERATION FULL GOSPEL CHURCH","10148 GREENWELL SPRINGS RD","BATON ROUGE","LOUISIANA","70814",,
"POINT (-90.974118278024 30.664252154528)","458","CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS, THE","16135 MILLDALE RD","ZACHARY","LOUISIANA","70791",,
"POINT (-91.008064501687 30.419944454439)","665","TEMPLE BAPTIST CHURCH","3650 O'NEAL LN","BATON ROUGE","LOUISIANA","70816",,
"POINT (-91.171668599018 30.465094674118)","90","NEW BEGINNINGS MINISTRIES OF BATON ROUGE","1901 N 18TH ST","BATON ROUGE","LOUISIANA","70802",,
"POINT (-91.061636037961 30.410308623792)","157","CLEAR VIEW BAPTIST CHURCH","10657 ALCO AVE","BATON ROUGE","LOUISIANA","70816",,
"POINT (-91.12433497892 30.461197529961)","532","NEW BIRTH MISSIONARY BAPTIST CHURCH","6465 RENOIR AVE","BATON ROUGE","LOUISIANA","70806",,
"POINT (-91.08006405291 30.471600158966)","71","MARIANITA SUPERMARKET","9516 S CHOCTAW DR","BATON ROUGE","LOUISIANA","70815",,
"POINT (-91.133090716762 30.486730766934)","16","SALVATION ARMY WORSHIP & COMMUNITY CENTER","4025 W BROOKSTOWN DR","BATON ROUGE","LOUISIANA","70805",,
"POINT (-91.18257532265 30.525746089597)","544","SPECIAL DELIVERANCE TEMPLE","8607 SCENIC HWY","BATON ROUGE","LOUISIANA","70807",,
"POINT (-91.135347433264 30.493934703646)","448","CHRIST GOSPEL OUTREACH","4755 MC CLELLAND DR","BATON ROUGE","LOUISIANA","70805",,
"POINT (-91.161663155199 30.496622448337)","400","CHURCH","2868 LORRAINE ST","BATON ROUGE","LOUISIANA","70805",,
"POINT (-91.143106966182 30.501858851306)","580","NEW CHRISTIAN BAPTISTCHURCH","5675 ROBERTSON AVE","BATON ROUGE","LOUISIANA","70805",,
"POINT (-91.120833001061 30.528303458932)","220","HOOPER ROAD BAPTIST CHURCH","8767 GOVERNOR CLAIBORNE DR","BATON ROUGE","LOUISIANA","70811",,
"POINT (-91.04754253451 30.499402704968)","257","SAINT ALPHONSUS LIGURI CHURCH AND SCHOOL","12250 GREENWELL SPRINGS RD","BATON ROUGE","LOUISIANA","70814",,
"POINT (-91.14194311778 30.456154236334)","118","WORLD SHAKERS CHURCH INTERNATIONAL","851 N 48TH ST","BATON ROUGE","LOUISIANA","70802",,
"POINT (-91.04722063314 30.462495316707)","376","THE EVENT CENTER","12171 FLORIDA BLVD","BATON ROUGE","LOUISIANA","70815",,
"POINT (-91.167755153133 30.465313837496)","547","NEW CREATION WORD OF FAITH","1934 SCENIC HWY","BATON ROUGE","LOUISIANA","70802",,
"POINT (-91.172452919886 30.515987054238)","125","LITTLE ZION BAPTIST CHURCH","1955 74TH AVE","BATON ROUGE","LOUISIANA","70807",,
"POINT (-91.169610098218 30.447358382893)","93","GREATER NEW BETHEL BAPTIST CHURCH","110 S 19TH ST","BATON ROUGE","LOUISIANA","70802",,
"POINT (-91.083023308663 30.429879971117)","83","CHURCH OF SCIENTOLOGY MISSION","9432 COMMON ST","BATON ROUGE","LOUISIANA","70809",,
"POINT (-91.170394945507 30.521847875466)","29","TRUE LOVE BAPTIST CHURCH","2143 CURTIS ST","BATON ROUGE","LOUISIANA","70807",,
"POINT (-90.996202547321 30.416906784032)","669","CYPRESS SPRINGS MERCEDARIAN PRAYER CENTER","17560 GEORGE O'NEAL RD","BATON ROUGE","LOUISIANA","70817",,
"POINT (-91.126372205683 30.460637300841)","531","ST. LUKE CHURCH OF GOD IN CHRIST","6222 RENOIR AVE","BATON ROUGE","LOUISIANA","70806",,
"POINT (-91.184334625453 30.429631279677)","630","ST. LUKE BAPTIST CHURCH","240 VAN BUREN ST","BATON ROUGE","LOUISIANA","70802",,
"POINT (-91.1299705138 30.442679277415)","306","GREATER HOLLYWOOD BAPTIST CHURCH","711 JEFFERSON HWY, STE 7","BATON ROUGE","LOUISIANA","70806",,
"POINT (-91.00003936649 30.466881901154)","358","LIGHTHOUSE CHRISTIAN CENTER","16950 FLORIDA BLVD","BATON ROUGE","LOUISIANA","70816",,
"POINT (-91.189735794273 30.539911518174)","476","TOWER OF STRENGTH OUTREACH CENTER","690 KELLY ST","BATON ROUGE","LOUISIANA","70807",,
"POINT (-91.007673132525 30.467551488834)","361","HOUSE OF HOPE FULL GOSPEL CHURCH","16273 FLORIDA BLVD","BATON ROUGE","LOUISIANA","70819",,
"POINT (-91.137736284938 30.473722127746)","628","NEW CITY OF ZION CHURCH OF GOD IN CHRIST","5272 UNDERWOOD AVE","BATON ROUGE","LOUISIANA","70805",,
"POINT (-91.049130607566 30.655940433099)","457","HOLLY GROVE BAPTIST CHURCH","10754 MILLDALE RD","ZACHARY","LOUISIANA","70791",,
"POINT (-91.120121951291 30.50581898286)","407","GLEN OAKS BAPTIST CHURCH","7200 MAPLEWOOD DR","BATON ROUGE","LOUISIANA","70812",,
"POINT (-91.041792450772 30.49720808052)","352","DOVE OUTREACH CENTER II","5224 N FLANNERY RD","BATON ROUGE","LOUISIANA","70814",,
"POINT (-91.125404943721 30.468237820924)","197","NEW ZION BAPTIST CHURCH","6413 BLUEBERRY ST","BATON ROUGE","LOUISIANA","70806",,
"POINT (-91.039289752719 30.664833173386)","459","MILLDALE BAPTIST CHURCH","11950 MILLDALE RD","ZACHARY","LOUISIANA","70791",,
"POINT (-91.115876215962 30.460156216325)","202","ABUNDANT CARE SERVICES, LLC","1011 N BON MARCHE DR","BATON ROUGE","LOUISIANA","70806",,
"POINT (-91.186539714238 30.530840403591)","708","RICHARDSON CHAPEL-CHURCH OF GOD IN CHRIST","731 W.K. GORDON ST","BATON ROUGE","LOUISIANA","70807",,
"POINT (-91.111748978466 30.469595697729)","180","GRACE & GLORY INC","2127 BEAUMONT DR","BATON ROUGE","LOUISIANA","70806",,
"POINT (-91.178892879721 30.428711683193)","81","HEARD CHAPEL AFRICAN METHODIST EPISCOPAL CHURCH","2019 COLORADO ST","BATON ROUGE","LOUISIANA","70802",,
"POINT (-91.038455905525 30.404511295298)","8","THE LIFE CHURCH OF BATON ROUGE","12773 BROGDON LN","BATON ROUGE","LOUISIANA","70816",,
"POINT (-91.154395227856 30.485102650325)","417","COMMUNITY BIBLE BAPTIST CHURCH","3535 MOHICAN ST","BATON ROUGE","LOUISIANA","70805",,
"POINT (-91.12640851801 30.502779628561)","235","UNITY OF FAITH & TRUTH APOSTOLIC MINISTRY","6533 GREENWELL ST","BATON ROUGE","LOUISIANA","70812",,
"POINT (-91.076998280106 30.432576442088)","583","CHINESE CHRISTIAN CHURCH","10011 OLD HAMMOND HWY","BATON ROUGE","LOUISIANA","70815",,
"POINT (-91.088482846677 30.483681804591)","238","MOUNT OLIVE BAPTIST CHURCH","9108 GREENWELL SPRINGS RD","BATON ROUGE","LOUISIANA","70814",,
"POINT (-91.168805839599 30.589046466282)","718","FIRST UNITED METHODIST CHURCH","1255 CAMELIA AVE","BAKER","LOUISIANA","70714",,
"POINT (-91.085973659433 30.453681795134)","366","TOTAL WOMAN BOUTIQUE, THE","9244 FLORIDA BLVD, STE A","BATON ROUGE","LOUISIANA","70815",,
"POINT (-91.176875443992 30.537793906237)","519","NEW DAY WORD OF FAITH FELLOWSHIP","1615 PROGRESS RD","BATON ROUGE","LOUISIANA","70807",,
"POINT (-91.121445547816 30.45929066019)","225","MINISTRY OF RECONCILIATION FELLOWSHIP, THE","6785 GOYA AVE","BATON ROUGE","LOUISIANA","70806",,
"POINT (-91.097021947647 30.442217657461)","216","UNITARIAN CHURCH OF BATON ROUGE","8470 GOODWOOD BLVD","BATON ROUGE","LOUISIANA","70806",,
"POINT (-91.19272967596 30.422892944978)","228","ROSE HILL MISSIONARY BAPTIST CHURCH","1384 W GRANT ST","BATON ROUGE","LOUISIANA","70802",,
"POINT (-91.046820506728 30.411739814928)","27","LOUISIANA CHURCH OF GOD","12005 COURSEY BLVD","BATON ROUGE","LOUISIANA","70816",,
"POINT (-91.188238552852 30.519966512008)","321","WESLEY FOUNDATION, THE","748 HARDING BLVD","BATON ROUGE","LOUISIANA","70807",,
"POINT (-91.012632639786 30.458757656037)","584","FRANCIS ASBURY UNITED METHODIST CHURCH","15447 OLD HAMMOND HWY","BATON ROUGE","LOUISIANA","70819",,
"POINT (-91.046629674489 30.389613151653)","153","BETHEL TEMPLE ASSEMBLY OF GOD CHURCH","12124 AIRLINE HWY","BATON ROUGE","LOUISIANA","70809",,
"POINT (-91.188050452628 30.424122087748)","436","NEW COVENANT CHRISTIAN CENTER","2540 NICHOLSON DR","BATON ROUGE","LOUISIANA","70802",,
"POINT (-91.124612277596 30.445619913226)","411","OUR LADY OF MERCY CATHOLIC CHURCH","445 MARQUETTE AVE","BATON ROUGE","LOUISIANA","70806",,
"POINT (-91.151138997897 30.453454993406)","442","TRUE LIGHT BAPTIST CHURCH","3836 NORTH ST","BATON ROUGE","LOUISIANA","70806",,
"POINT (-91.111274155684 30.513917132124)","453","TREASURES FROM HEAVEN REMNANT HOUSE MINISTRY","7760 MICKENS RD","BATON ROUGE","LOUISIANA","70812",,
"POINT (-91.144985751342 30.467501328243)","349","BELFAIR BAPTIST CHURCH","4444 FAIRFIELDS AVE","BATON ROUGE","LOUISIANA","70802",,
"POINT (-91.152648754222 30.490679367727)","78","BATON ROUGE GREATER APOSTOLIC CHURCH","3674 CLAYTON ST","BATON ROUGE","LOUISIANA","70805",,
"POINT (-91.125250154932 30.480333546444)","674","LIVING FAITH CHRISTIAN CENTER","6375 WINBOURNE AVE","BATON ROUGE","LOUISIANA","70805",,
"POINT (-91.182484463685 30.437002634249)","706","STAR OF BETHLEHEM BAPTIST CHURCH","1204 SAINT JOSEPH ST","BATON ROUGE","LOUISIANA","70802",,
"POINT (-91.170654375485 30.465623672815)","62","FIRST ALPINE BAPTIST CHURCH","1855 CHESTNUT ST","BATON ROUGE","LOUISIANA","70802",,
"POINT (-91.051630226201 30.458885454632)","395","JUBILEE INTERNATIONAL CHRISTIAN CENTER","230 LITTLE JOHN DR","BATON ROUGE","LOUISIANA","70815",,
"POINT (-91.132608058906 30.488283706089)","14","BETHLEHEM BAPTIST CHURCH","4156 W BROOKSTOWN DR","BATON ROUGE","LOUISIANA","70805",,
"POINT (-91.098778082761 30.430595512783)","591","FIRST CHRISTIAN CHURCH","8484 OLD HAMMOND HWY","BATON ROUGE","LOUISIANA","70809",,
"POINT (-91.069634988144 30.639617473899)","259","DEERFORD UNITED METHODIST CHURCH","10393 GREENWELL SPRINGS-PORT HUDSON RD","ZACHARY","LOUISIANA","70791",,
"POINT (-91.140738292468 30.488837571935)","386","REVELATION AND WISDOM MINISTRIES","4203 N FOSTER DR","BATON ROUGE","LOUISIANA","70805",,
"POINT (-91.177320014186 30.449454307605)","379","CENTER POINT MINISTRIES","1206 FLORIDA ST","BATON ROUGE","LOUISIANA","70802",,
"POINT (-91.170853613468 30.505439859109)","540","ALLEN CHAPEL AFRICAN METHODIST EPISCOPAL CHURCH","6175 SCENIC HWY","BATON ROUGE","LOUISIANA","70805","225-356-0719",
"POINT (-91.179848716084 30.441382089054)","49","ST. AGNES CATHOLIC CHURCH","749 EAST BLVD","BATON ROUGE","LOUISIANA","70802",,
"POINT (-91.009442755048 30.387935207326)","165","ANTIOCH FAMILY CHURCH","7140 ANTIOCH RD","BATON ROUGE","LOUISIANA","70817",,
"POINT (-91.06399182067 30.425091116375)","169","JOY OF DELIVERANCE MINISTRIES","2835 AUBIN LN","BATON ROUGE","LOUISIANA","70816",,
"POINT (-91.048835929775 30.383952580983)","298","ANTIOCH FAMILY CHURCH","11940 INDUSTRIPLEX BLVD, STE 1","BATON ROUGE","LOUISIANA","70809",,
"POINT (-91.049468941025 30.396201299864)","302","PARKVIEW BAPTIST CHURCH","11795 JEFFERSON HWY","BATON ROUGE","LOUISIANA","70816",,
"POINT (-91.120833001061 30.528303458932)","221","IN HIS HANDS BAPTIST CHURCH","8767 GOVERNOR CLAIBORNE DR","BATON ROUGE","LOUISIANA","70811",,
"POINT (-91.165774477514 30.470126431961)","66","STS. ANTHONY OF PADUA & EMMANUEL LE VAN PHUNG CATHOLIC CHURCH","2305 CHOCTAW DR","BATON ROUGE","LOUISIANA","70805",,
"POINT (-91.176014917874 30.416211434186)","278","CHRIST THE KING CHURCH & CATHOLIC STUDENT CENTER","3537 HIGHLAND RD","BATON ROUGE","LOUISIANA","70808",,"http://www.ctklsu.org"
"POINT (-91.117668452141 30.475256725615)","637","BATON ROUGE LEARNING CENTER","2843 VICTORIA DR","BATON ROUGE","LOUISIANA","70805",,
"POINT (-91.141969292733 30.455762178161)","116","BANKS CHAPEL BAPTIST","835 N 48TH ST","BATON ROUGE","LOUISIANA","70802",,
"POINT (-91.034616088754 30.34880344588)","602","CHURCH OF THE HIGHLANDS","17240 PERKINS RD","BATON ROUGE","LOUISIANA","70810",,
"POINT (-91.063249183085 30.459139071799)","360","FLORIDA BOULEVARD BAPTIST CHURCH","10915 FLORIDA BLVD","BATON ROUGE","LOUISIANA","70815",,
"POINT (-91.181071555469 30.531256836436)","667","FIRST PRESBYTERIAN CHURCH OF SCOTLANDVILLE","1246 ROSENWALD RD","BATON ROUGE","LOUISIANA","70807",,
"POINT (-91.183995202259 30.529246010152)","546","THE HOUR OF POWER FAMILY WORSHIP CENTER","9130 SCENIC HWY","BATON ROUGE","LOUISIANA","70807",,
"POINT (-91.071851893637 30.455615001372)","362","CRISTO PARA TODOS LAS NACIONES","10188 FLORIDA BLVD","BATON ROUGE","LOUISIANA","70815",,
"POINT (-91.185237954919 30.448628797598)","86","FIRST BAPTIST CHURCH","529 CONVENTION ST","BATON ROUGE","LOUISIANA","70801",,
"POINT (-91.158897450753 30.480878773818)","595","CATHEDRAL OF FAITH","3053 OSWEGO ST","BATON ROUGE","LOUISIANA","70805",,
"POINT (-91.123299632949 30.456256689783)","57","RLFM GLORY HOUSE","722 N CARROLLTON AVE","BATON ROUGE","LOUISIANA","70806","225-925-8081",
"POINT (-91.151339081186 30.461430610605)","315","ST. PAUL THE APOSTLE CATHOLIC CHURCH","3912 GUS YOUNG AVE","BATON ROUGE","LOUISIANA","70802",,
"POINT (-91.122256225148 30.449583105143)","189","ARISE GOSPEL MINISTRIES","180 BELLEWOOD DR","BATON ROUGE","LOUISIANA","70806",,
"POINT (-91.172993039509 30.43996725595)","720","NEW ST JOHN MISSIONARY BAPTIST CHURCH","1455 SOUTH ST","BATON ROUGE","LOUISIANA","70802",,
"POINT (-91.125258622021 30.445718781255)","412","OUR LADY OF MERCY PASTOR'S RESIDENCE","450 MARQUETTE AVE","BATON ROUGE","LOUISIANA","70806",,
"POINT (-91.16945537125 30.455303023469)","91","NORTH 19TH STREET BAPTIST CHURCH","800 N 19TH ST","BATON ROUGE","LOUISIANA","70802",,
"POINT (-91.148565098856 30.49067037251)","80","NEW LIFE COMMUNITY BAPTIST CHURCH","4100 CLAYTON ST","BATON ROUGE","LOUISIANA","70805",,
"POINT (-91.128165930699 30.511818732783)","210","ST. MARK UNITED METHODIST CHURCH","6217 GLEN OAKS DR","BATON ROUGE","LOUISIANA","70811",,
"POINT (-91.183177208832 30.439374057691)","700","CHRISTIAN BIBLE COLLEGE OF BR","720 SOUTH BLVD","BATON ROUGE","LOUISIANA","70802",,
"POINT (-91.071057008218 30.450655774314)","559","BROADMOOR UNITED METHODIST CHURCH","476 SHARP RD","BATON ROUGE","LOUISIANA","70815",,
"POINT (-91.0472243686 30.462447910707)","369","IGLESIA EBENEZER","12173 FLORIDA BLVD","BATON ROUGE","LOUISIANA","70815",,
"POINT (-91.130209424585 30.443714097685)","312","INDIGO SPIRITUAL CENTER LLC","609 JEFFERSON HWY","BATON ROUGE","LOUISIANA","70806",,
"POINT (-91.13257190207 30.486907946352)","15","TAM BAO TEMPLE","4040 W BROOKSTOWN DR","BATON ROUGE","LOUISIANA","70805",,
"POINT (-91.143841469192 30.461247020817)","114","GREATER ST. JOHN CHRISTIAN CENTER","1385 N 46TH ST","BATON ROUGE","LOUISIANA","70802",,
"POINT (-91.115876215962 30.460156216325)","201","LIFE CHANGERS WORSHIP CENTER","1011 N BON MARCHE DR","BATON ROUGE","LOUISIANA","70806",,
"POINT (-91.156881946182 30.600635888502)","43","REDEMPTION LIFE FELLOWSHIP","2400 DEBRA DR","BAKER","LOUISIANA","70714",,
"POINT (-91.133902816936 30.520108504947)","671","NEW BEGINNING BAPTIST CHURCH OF BATON ROUGE","7815 WHITE ST","BATON ROUGE","LOUISIANA","70811",,
"POINT (-91.189194606697 30.562777265857)","705","HARVEST TIME HIGHWAY MINISTRIES","770 SAINT JOHN LN","BATON ROUGE","LOUISIANA","70807",,
"POINT (-91.093175007032 30.482208435972)","254","RIVER OF LIFE FELLOWSHIP","8852 GREENWELL SPRINGS RD","BATON ROUGE","LOUISIANA","70814",,
"POINT (-91.162362688477 30.50554729859)","557","BIBLEWAY UNITED PENTECOSTAL CHURCH","2823 SHADA AVE","BATON ROUGE","LOUISIANA","70805",,
"POINT (-91.186011049659 30.417992299279)","64","ISLAMIC CENTER OF BATON ROUGE","820 W CHIMES ST","BATON ROUGE","LOUISIANA","70802",,
"POINT (-91.058945043427 30.469404349381)","567","ST. LOUIS KING OF FRANCE CATHOLIC CHURCH","2121 N SHERWOOD FOREST DR","BATON ROUGE","LOUISIANA","70815",,
"POINT (-91.174999453062 30.520909567084)","320","GRACE OF GOD CHURCH FELLOWSHIP","1725 HARDING BLVD","BATON ROUGE","LOUISIANA","70807",,
"POINT (-91.172021616365 30.418660133655)","42","UNIVERSITY PRESBYTERIAN CHURCH","3240 DALRYMPLE DR","BATON ROUGE","LOUISIANA","70802",,
"POINT (-91.099386460615 30.461428945146)","333","GOD'S VINEYARD BAPTIST CHURCH","8486 HARRY DR","BATON ROUGE","LOUISIANA","70815",,
"POINT (-91.156721757143 30.46313498167)","99","WORD OF HIS POWER MINISTRIES","1608 N 32ND ST","BATON ROUGE","LOUISIANA","70802",,
"POINT (-91.154961417097 30.459766001648)","129","ST. MARY BAPTIST CHURCH","1252 N ACADIAN THWY E","BATON ROUGE","LOUISIANA","70802",,
"POINT (-91.174625536938 30.439495596478)","719","BETHEL A. M. E. CHURCH","1358 SOUTH ST","BATON ROUGE","LOUISIANA","70802",,
"POINT (-91.028292335439 30.686686700771)","525","MT. PLEASANT BAPTIST CHURCH","22911 REAMES RD","ZACHARY","LOUISIANA","70791",,
"POINT (-91.187295828409 30.390230977188)","335","LIBERTY DEAF BAPTIST CHURCH","1438 HARWICH DR","BATON ROUGE","LOUISIANA","70820",,
"POINT (-91.163969413953 30.47865746471)","670","JEHOVAH MINISTRY","3352 WENONAH ST","BATON ROUGE","LOUISIANA","70805",,
"POINT (-91.11487422176 30.465950538934)","645","FIRST EMMANUEL MISSIONARY BAPTIST CHURCH","1933 WOODDALE BLVD","BATON ROUGE","LOUISIANA","70806",,
"POINT (-91.073994216113 30.485819687247)","622","CHURCH OF CHRIST","9923 SUNNY CLINE DR","BATON ROUGE","LOUISIANA","70814",,
"POINT (-91.072189660124 30.433383604579)","590","SEVENTH-DAY ADVENTIST CHURCH","10319 OLD HAMMOND HWY, STE C2","BATON ROUGE","LOUISIANA","70815",,
"POINT (-91.269528351538 30.678757594853)","511","MT. ZION ON THE HILL BAPTIST CHURCH","220 W PORT HUDSON-PLAINS RD","ZACHARY","LOUISIANA","70791",,
"POINT (-91.058810083529 30.482131822966)","565","OUR LADY OF SORROW ROMAN CATHOLIC CHURCH","3475 N SHERWOOD FOREST DR","BATON ROUGE","LOUISIANA","70814",,
"POINT (-91.141780187892 30.504096442877)","388","MINISTRY OF NEW BEGINNINGS","5925 N FOSTER DR","BATON ROUGE","LOUISIANA","70805",,
"POINT (-91.067118699153 30.433798638223)","58","CEDARCREST BAPTIST CHURCH","2020 CEDARCREST AVE, BLDG A","BATON ROUGE","LOUISIANA","70816",,
"POINT (-91.113066923779 30.362061632236)","274","HIGHLAND PRESBYTERIAN CHURCH","10024 HIGHLAND RD","BATON ROUGE","LOUISIANA","70810",,
"POINT (-91.05558850381 30.44991852121)","219","ST. THOMAS MORE CATHOLIC CHURCH AND SCHOOL","11441 GOODWOOD BLVD","BATON ROUGE","LOUISIANA","70815",,
"POINT (-91.176473659827 30.432910927062)","1","FAIRVIEW BAPTIST CHURCH","1636 BRADDOCK ST","BATON ROUGE","LOUISIANA","70802",,
"POINT (-91.172487577941 30.449903217966)","377","ROSE OF SHARON BAPTIST CHURCH","1553 FLORIDA ST","BATON ROUGE","LOUISIANA","70802",,
"POINT (-91.116602470299 30.550633488345)","391","FOSTER RD BAPTIST CHURCH","11333 FOSTER RD","BATON ROUGE","LOUISIANA","70811",,
"POINT (-91.138507838274 30.472717327868)","593","SAGACIOUS OASIS LLC","5100 OSBORNE AVE","BATON ROUGE","LOUISIANA","70805",,
"POINT (-91.093982296763 30.384546323002)","658","JIMMY SWAGGART MINISTRIES","8919 WORLD MINISTRY AVE","BATON ROUGE","LOUISIANA","70810",,
"POINT (-91.061199863553 30.487849248489)","570","COMUNIDAD MISIONERA NATANAEL ASSEMBLY OF GOD","4019 N SHERWOOD FOREST DR","BATON ROUGE","LOUISIANA","70814",,
"POINT (-91.062620549027 30.420069920715)","170","FIRST NEW TESTAMENT CHURCH","3235 AUBIN LN","BATON ROUGE","LOUISIANA","70816",,
"POINT (-90.984847138658 30.420121377619)","327","CAPITAL CITY CHURCH OF CHRIST","18282 S HARRELL'S FERRY RD","BATON ROUGE","LOUISIANA","70816",,
"POINT (-91.048638579918 30.404546453317)","682","CHURCH FUNERAL SERVICES AND CREMATORY LLC","5535 SUPERIOR DR","BATON ROUGE","LOUISIANA","70816",,
"POINT (-91.038455905525 30.404511295298)","10","RHEMI EYECARE MISSIONS","12773 BROGDON LN","BATON ROUGE","LOUISIANA","70816",,
"POINT (-91.111761709442 30.468415937525)","34","POTTERS HOUSE, THE","1986 DALLAS DR","BATON ROUGE","LOUISIANA","70806",,
"POINT (-91.184231282543 30.595339940158)","60","FREEDOM LAND MISSIONARY","2322 CHAMBERLAIN AVE","BAKER","LOUISIANA","70714",,
"POINT (-91.177425923947 30.438062448639)","428","ST. FRANCIS XAVIER CATHOLIC CHURCH","1120 MYRTLE ST","BATON ROUGE","LOUISIANA","70802",,"http://stfrancisxavierbr.org"
"POINT (-91.149894067568 30.504655977306)","44","ABUNDANT LIFE TABERNACLE","4025 DENHAM ST","BATON ROUGE","LOUISIANA","70805",,
"POINT (-91.111409434863 30.46714922748)","33","UNITED SURPLUS","1921 DALLAS DR","BATON ROUGE","LOUISIANA","70806",,
