"the_geom","id","address_id","business_name","full_address","city","address_jurisdiction","state","zip","country","phone_number","website","resource_type","sub_resource_type","shelter_location","address_authority","subdivision","business_naics_code","service_type","service_name","st_prefix_dir","st_name","st_suffix_type","st_suffix_dir","st_ext","private_street","ward_number","tax_section","longitude","condominium","frontage_road","street_jurisdiction","abc","street_name_complete","latitude","st_prefix_type","created_date","address_no_complete","modified_date"
"POINT (-91.128901389632 30.382440937689)","55160","110305",,"733 LOURAY DR","BATON ROUGE","EBRP","LOUISIANA","70808","UNITED STATES",,,,,"NO","BATON ROUGE","KENILWORTH EAST",,,,,"LOURAY","DR",,,"NO","1","3","-91","NO","NO","BATON ROUGE",,"LOURAY DR","30",,,"733",
"POINT (-91.188546263361 30.636713853845)","188623","192799",,"1628 ROYAL TROON CT","ZACHARY","EBRP","LOUISIANA","70791","UNITED STATES",,,,,"NO","ZACHARY","COPPER MILL GOLF COMMUNITY",,,,,"ROYAL TROON","CT",,,"NO","2","3","-91","NO","NO","ZACHARY",,"ROYAL TROON CT","31",,,"1628",
"POINT (-91.160610482963 30.516108020011)","92728","110728",,"7378 SUSSEX ST","BATON ROUGE","EBRP","LOUISIANA","70807","UNITED STATES",,,,,"NO","BATON ROUGE","WOODAIRE",,,,,"SUSSEX","ST",,,"NO","1","2","-91","NO","NO","BATON ROUGE",,"SUSSEX ST","31",,,"7378",
"POINT (-91.121267634367 30.362418456037)","70841","90225","TEAKWOOD VILLAGE APARTMENTS","515 GARDERE LN","BATON ROUGE","EBRP","LOUISIANA","70810","UNITED STATES",,,"MULTI FAMILY RESIDENCE","APARTMENT","NO","PARISH","NONE","531110",,,,"GARDERE","LN",,,"NO","3","0","-91","NO","NO",,"NO","GARDERE LN","30",,,"515",
"POINT (-91.145063015939 30.476198735491)","125413","67744",,"3043 MISSION DR","BATON ROUGE","EBRP","LOUISIANA","70805","UNITED STATES",,,,,"NO","BATON ROUGE","EATON PLACE",,,,,"MISSION","DR",,,"NO","1","2","-91","NO","NO","BATON ROUGE",,"MISSION DR","30",,,"3043",
"POINT (-91.141192415631 30.429048820619)","125166","85200",,"4621 WELLS ST","BATON ROUGE","EBRP","LOUISIANA","70808","UNITED STATES",,,,,"NO","BATON ROUGE","WELLS PLACE",,,,,"WELLS","ST",,,"NO","1","3","-91","NO","NO","BATON ROUGE",,"WELLS ST","30",,,"4621",
"POINT (-91.123349792079 30.508013466503)","102567","106622",,"6825 ASPEN DR","BATON ROUGE","EBRP","LOUISIANA","70812","UNITED STATES",,,,,"NO","PARISH","NORTH MERRYDALE",,,,,"ASPEN","DR",,,"NO","2","1","-91","NO","NO","EBRP",,"ASPEN DR","31",,,"6825",
"POINT (-91.107498654702 30.347623198511)","71750","7317",,"10835 HILLTREE DR","BATON ROUGE","EBRP","LOUISIANA","70810","UNITED STATES",,,,,"NO","PARISH","FAIRHILL AT BLUEBONNET HIGHLANDS",,,,,"HILLTREE","DR",,,"NO","3","0","-91","NO","NO","EBRP",,"HILLTREE DR","30",,,"10835",
"POINT (-91.180782819512 30.471617978038)","102727","63714",,"2738 SORREL AVE","BATON ROUGE","EBRP","LOUISIANA","70805","UNITED STATES",,,,,"NO","BATON ROUGE","STANDARD HEIGHTS",,,,,"SORREL","AVE",,,"NO","1","2","-91","NO","NO",,,"SORREL AVE","30",,,"2738",
"POINT (-90.995682833884 30.369599367511)","166895","224595",,"8934 FALLING OAK DR","BATON ROUGE","EBRP","LOUISIANA","70817","UNITED STATES",,,,,"NO","PARISH","OAK RIDGE ESTATES",,,,,"FALLING OAK","DR",,,"NO","3","0","-91","NO","NO","EBRP",,"FALLING OAK DR","30",,,"8934",
"POINT (-91.11177165516 30.498345805974)","135759","112478",,"7619 BOZEMAN AVE","BATON ROUGE","EBRP","LOUISIANA","70812","UNITED STATES",,,,,"NO","PARISH","MERRYDALE PLACE",,,,,"BOZEMAN","AVE",,,"NO","2","1","-91","NO","NO","EBRP",,"BOZEMAN AVE","30",,,"7619",
"POINT (-91.106154052286 30.529322025421)","13727","115331",,"8084 HOOPER RD","BATON ROUGE","EBRP","LOUISIANA","70811","UNITED STATES",,,,,"NO","PARISH","NONE",,,,,"HOOPER","RD",,,"NO","3","2","-91","NO","NO",,,"HOOPER RD","31",,,"8084",
"POINT (-91.121740424612 30.404558216506)","42725","103675","E A FINANCIAL GROUP","6421 PERKINS RD","BATON ROUGE","EBRP","LOUISIANA","70808","UNITED STATES",,,"FINANCIAL INSTITUTION",,"NO","BATON ROUGE","MOSS SIDE PLACE","815000",,,,"PERKINS","RD",,,"NO","1","3","-91","NO","NO",,"NO","PERKINS RD","30",,,"6421",
"POINT (-91.089565648522 30.445225896937)","119496","121544",,"9012 S PARKVIEW DR","BATON ROUGE","EBRP","LOUISIANA","70815","UNITED STATES",,,,,"NO","BATON ROUGE","BROADMOOR",,,,"S","PARKVIEW","DR",,,"NO","1","4","-91","NO","NO","BATON ROUGE",,"S PARKVIEW DR","30",,,"9012",
"POINT (-91.076404047201 30.356960929285)","59083","9591",,"1118 BRIARHURST DR","BATON ROUGE","EBRP","LOUISIANA","70810","UNITED STATES",,,,,"NO","PARISH","QUAIL RIDGE",,,,,"BRIARHURST","DR",,,"NO","3","0","-91","NO","NO","EBRP",,"BRIARHURST DR","30",,,"1118",
"POINT (-91.180509830629 30.39141940463)","50034","10861",,"1141 JIM TAYLOR DR","BATON ROUGE","EBRP","LOUISIANA","70820","UNITED STATES",,,,,"NO","BATON ROUGE","TIGERLAND ACRES",,,,,"JIM TAYLOR","DR",,,"NO","1","3","-91","NO","NO","BATON ROUGE",,"JIM TAYLOR DR","30",,,"1141",
"POINT (-91.052296911012 30.525773794547)","194356","207822",,"12673 MUSTANG AVE","CENTRAL","EBRP","LOUISIANA","70818","UNITED STATES",,,,,"NO","CENTRAL","COMITE HILLS",,,,,"MUSTANG","AVE",,,"NO","3","1","-91","NO","NO","CENTRAL",,"MUSTANG AVE","31",,,"12673",
"POINT (-91.156165082628 30.568416944368)","158401","188273",,"4206 AZIE AVE","BAKER","EBRP","LOUISIANA","70714","UNITED STATES",,,,,"NO","BAKER","PARKWOOD TERRACE",,,,,"AZIE","AVE",,,"NO","2","2","-91","NO","NO","BAKER",,"AZIE AVE","31",,,"4206",
"POINT (-91.164033612858 30.405204192242)","88512","85914",,"4687 LOYOLA DR","BATON ROUGE","EBRP","LOUISIANA","70808","UNITED STATES",,,,,"NO","BATON ROUGE","UNIVERSITY HILLS",,,,,"LOYOLA","DR",,,"NO","1","3","-91","NO","NO","BATON ROUGE",,"LOYOLA DR","30",,,"4687",
"POINT (-91.08651152423 30.376725098076)","35581","140703",,"7921 LANE'S END","BATON ROUGE","EBRP","LOUISIANA","70810","UNITED STATES",,,,,"NO","PARISH","SETTLEMENT AT WILLOW GROVE, THE",,,,,"LANE'S END",,,,"NO","3","0","-91","NO","NO","EBRP",,"LANE'S END","30",,,"7921",
"POINT (-91.167075329162 30.499927661286)","24012","147917",,"2300-2500 AMARILLO ST","BATON ROUGE","EBRP","LOUISIANA","70805","UNITED STATES",,,,,"NO","BATON ROUGE","HOLLYWOOD",,,,,"AMARILLO","ST",,,"NO","1","2","-91","NO","NO","BATON ROUGE",,"AMARILLO ST","30",,,"2300-2500",
"POINT (-91.04064922443 30.574912856707)","158652","204344",,"13732 WILD OAK DR","CENTRAL","EBRP","LOUISIANA","70818","UNITED STATES",,,,,"NO","CENTRAL","RAMBLING OAKS",,,,,"WILD OAK","DR",,,"NO","3","1","-91","NO","NO","CENTRAL",,"WILD OAK DR","31",,,"13732",
"POINT (-91.018181625808 30.406613633955)","98753","30568","EFCU FINANCIAL","15026 MARKET ST","BATON ROUGE","EBRP","LOUISIANA","70817","UNITED STATES",,,"FINANCIAL INSTITUTION",,"NO","PARISH","MARKET STREET BUSINESS PARK","522130",,,,"MARKET","ST",,,"NO","3","0","-91","NO","NO","EBRP","NO","MARKET ST","30",,,"15026",
"POINT (-91.153181040797 30.484443041238)","3092","77795",,"3887 N 38TH ST","BATON ROUGE","EBRP","LOUISIANA","70805","UNITED STATES",,,,,"NO","BATON ROUGE","NEW DAYTON",,,,"N","38TH","ST",,,"NO","1","2","-91","NO","NO","BATON ROUGE",,"N 38TH ST","30",,,"3887",
"POINT (-91.170254456098 30.454895764339)","156356","141945",,"1824 SPANISH TOWN RD","BATON ROUGE","EBRP","LOUISIANA","70802","UNITED STATES",,,,,"NO","BATON ROUGE","SUBURB GRACIE",,,,,"SPANISH TOWN","RD",,,"NO","1","1","-91","NO","NO","BATON ROUGE",,"SPANISH TOWN RD","30",,,"1824","2022-03-30T14:58:10.000Z"
"POINT (-91.079141027604 30.362058268145)","57114","20605",,"12832 MAGNOLIA CHASE RD","BATON ROUGE","EBRP","LOUISIANA","70810","UNITED STATES",,,,,"NO","PARISH","MAGNOLIA CHASE",,,,,"MAGNOLIA CHASE","RD",,,"NO","3","0","-91","NO","NO","EBRP",,"MAGNOLIA CHASE RD","30",,,"12832",
"POINT (-90.961561469749 30.359530850529)","37238","148680",,"20333 CHEVALIER AVE","BATON ROUGE","EBRP","LOUISIANA","70817","UNITED STATES",,,,,"NO","PARISH","MALLARD CROSSING",,,,,"CHEVALIER","AVE",,,"NO","3","0","-91","NO","NO","EBRP",,"CHEVALIER AVE","30",,,"20333",
"POINT (-91.032437563116 30.446402460488)","143722","24151",,"13605 KING HENRY AVE","BATON ROUGE","EBRP","LOUISIANA","70816","UNITED STATES",,,,,"NO","PARISH","SHERWOOD MANOR",,,,,"KING HENRY","AVE",,,"NO","3","0","-91","NO","NO","EBRP",,"KING HENRY AVE","30",,,"13605",
"POINT (-91.157179473351 30.462369053453)","32957","146361",,"1555 N 32ND ST","BATON ROUGE","EBRP","LOUISIANA","70802","UNITED STATES",,,,,"NO","BATON ROUGE","SUBURB BOGAN",,,,"N","32ND","ST",,,"NO","1","1","-91","NO","NO","BATON ROUGE",,"N 32ND ST","30",,,"1555",
"POINT (-91.068301703345 30.487810535538)","130789","80184",,"4110 ROCKY MOUNTAIN DR","BATON ROUGE","EBRP","LOUISIANA","70814","UNITED STATES",,,,,"NO","BATON ROUGE","PARK FOREST",,,,,"ROCKY MOUNTAIN","DR",,,"NO","1","4","-91","NO","NO","BATON ROUGE",,"ROCKY MOUNTAIN DR","30",,,"4110",
"POINT (-91.145456809076 30.461531669377)","126428","27999",,"1441 N 44TH ST","BATON ROUGE","EBRP","LOUISIANA","70802","UNITED STATES",,,,,"NO","BATON ROUGE","GREENVILLE EXTENSION",,,,"N","44TH","ST",,,"NO","1","2","-91","NO","NO","BATON ROUGE",,"N 44TH ST","30",,,"1441",
"POINT (-91.180011896039 30.391972220697)","50668","86419",,"4744 EARL GROS AVE","BATON ROUGE","EBRP","LOUISIANA","70820","UNITED STATES",,,,,"NO","BATON ROUGE","TIGERLAND ACRES",,,,,"EARL GROS","AVE",,,"NO","1","3","-91","NO","NO","BATON ROUGE",,"EARL GROS AVE","30",,,"4744",
"POINT (-91.034929260395 30.46026514129)","139008","23191",,"13430 NORTHSTAR CT","BATON ROUGE","EBRP","LOUISIANA","70815","UNITED STATES",,,,,"NO","BATON ROUGE","SHERWOOD FOREST PLACE",,,,,"NORTHSTAR","CT",,,"NO","1","4","-91","NO","NO","BATON ROUGE",,"NORTHSTAR CT","30",,,"13430",
"POINT (-91.142454859387 30.464271893874)","33812","146879",,"1500-1800 N 48TH ST","BATON ROUGE","EBRP","LOUISIANA","70802","UNITED STATES",,,,,"NO","BATON ROUGE","GREENVILLE EXTENSION",,,,"N","48TH","ST",,,"NO","1","2","-91","NO","NO","BATON ROUGE",,"N 48TH ST","30",,,"1500-1800",
"POINT (-91.135253159238 30.459856466693)","125025","16651",,"1228 VALCOUR DR","BATON ROUGE","EBRP","LOUISIANA","70806","UNITED STATES",,,,,"NO","BATON ROUGE","MELROSE PLACE",,,,,"VALCOUR","DR",,,"NO","1","3","-91","NO","NO","BATON ROUGE",,"VALCOUR DR","30",,,"1228",
"POINT (-91.15275253667 30.506044692339)","92711","76335",,"3747 CANNON ST","BATON ROUGE","EBRP","LOUISIANA","70805","UNITED STATES",,,,,"NO","BATON ROUGE","NONE",,,,,"CANNON","ST",,,"NO","1","2","-91","NO","NO","BATON ROUGE",,"CANNON ST","31",,,"3747",
"POINT (-91.12794534563 30.521045130169)","91472","102379",,"6290 D'JUANNA DR","BATON ROUGE","EBRP","LOUISIANA","70811","UNITED STATES",,,,,"NO","PARISH","TIMBERLANE",,,,,"D'JUANNA","DR",,,"NO","2","1","-91","NO","NO","EBRP",,"D'JUANNA DR","31",,,"6290",
"POINT (-91.0363072705 30.338112664977)","78416","44546",,"17914 PRESTWICK AVE","BATON ROUGE","EBRP","LOUISIANA","70810","UNITED STATES",,,,,"NO","PARISH","COUNTRY CLUB OF LOUISIANA",,,,,"PRESTWICK","AVE",,,"YES","3","0","-91","NO","NO","EBRP",,"PRESTWICK AVE","30",,,"17914",
"POINT (-91.057754446011 30.3593036132)","79786","27121",,"1424 SAINT ALBAN'S DR","BATON ROUGE","EBRP","LOUISIANA","70810","UNITED STATES",,,,,"NO","PARISH","KENSINGTON ESTATES",,,,,"SAINT ALBAN'S","DR",,,"NO","3","0","-91","NO","NO","EBRP",,"SAINT ALBAN'S DR","30",,,"1424",
"POINT (-91.175273244872 30.58663570446)","182982","190211",,"2555 N MAGNOLIA DR","BAKER","EBRP","LOUISIANA","70714","UNITED STATES",,,,,"NO","BAKER","BAKERFIELD",,,,"N","MAGNOLIA","DR",,,"NO","2","2","-91","NO","NO","BAKER",,"N MAGNOLIA DR","31",,,"2555",
"POINT (-91.011808027433 30.398987554593)","63933","98018",,"5849 VICKSBURG DR","BATON ROUGE","EBRP","LOUISIANA","70817","UNITED STATES",,,,,"NO","PARISH","SHENANDOAH ESTATES",,,,,"VICKSBURG","DR",,,"NO","3","0","-91","NO","NO","EBRP",,"VICKSBURG DR","30",,,"5849",
"POINT (-91.002884596381 30.40220626832)","78923","35743",,"16111 HAYNES BLUFF AVE","BATON ROUGE","EBRP","LOUISIANA","70817","UNITED STATES",,,,,"NO","PARISH","SHENANDOAH ESTATES",,,,,"HAYNES BLUFF","AVE",,,"NO","3","0","-91","NO","NO","EBRP",,"HAYNES BLUFF AVE","30",,,"16111",
"POINT (-91.013599193435 30.406755158002)","37016","142617","PORTOBELLO'S ITALIAN GRILL AND CAFÉ","15440 GEORGE O'NEAL RD","BATON ROUGE","EBRP","LOUISIANA","70817","UNITED STATES",,,"RESTAURANT",,"NO","PARISH","NONE","722110",,,,"GEORGE O'NEAL","RD",,,"NO","3","0","-91","YES","NO","EBRP","YES","GEORGE O'NEAL RD","30",,,"15440",
"POINT (-91.131643206539 30.353025330488)","36178","160075",,"2230 ANNE MARIE DR","BATON ROUGE","EBRP","LOUISIANA","70820","UNITED STATES",,,,,"NO","PARISH","SABLE CHASE",,,,,"ANNE MARIE","DR",,,"NO","3","0","-91","NO","NO","EBRP",,"ANNE MARIE DR","30",,,"2230",
"POINT (-91.191148509162 30.535355663131)","9857","148222",,"9900-10000 AVENUE B","BATON ROUGE","EBRP","LOUISIANA","70807","UNITED STATES",,,,,"NO","BATON ROUGE","HIGHLAND FARMS",,,,,"B",,,,"NO","1","5","-91","NO","NO","BATON ROUGE",,"AVENUE B","31","AVENUE",,"9900-10000",
"POINT (-91.049907170347 30.549387391224)","181948","206834",,"12335 HOOPER RD","CENTRAL","EBRP","LOUISIANA","70818","UNITED STATES",,,,,"NO","CENTRAL","NONE",,,,,"HOOPER","RD",,,"NO","3","1","-91","NO","NO",,,"HOOPER RD","31",,,"12335",
"POINT (-90.997886934697 30.516516914384)","34363","234574",,"6932 MORGAN RD","GREENWELL SPRINGS","EBRP","LOUISIANA","70739","UNITED STATES",,,,,"NO","CENTRAL","NONE",,"TELECOMMUNICATION","WIRELESS TOWER",,"MORGAN","RD",,,"NO","3","1","-91","NO","NO","CENTRAL",,"MORGAN RD","31",,,"6932",
"POINT (-91.086405501383 30.453883990242)","171701","230841","CHECK INTO CASH","9230 FLORIDA BLVD, STE B","BATON ROUGE","EBRP","LOUISIANA","70815","UNITED STATES",,,"FINANCIAL INSTITUTION","CHECK CASHING","NO","BATON ROUGE","FOREST RIDGE","522390",,,,"FLORIDA","BLVD",,,"NO","1","4","-91","NO","NO","BATON ROUGE","NO","FLORIDA BLVD","30",,,"9230 STE B",
"POINT (-91.06003996949 30.42101374627)","176391","167906",,"3312 TOULON DR","BATON ROUGE","EBRP","LOUISIANA","70816","UNITED STATES",,,,,"NO","PARISH","PLAZA 12 GARDEN HOMES",,,,,"TOULON","DR",,,"NO","3","0","-91","NO","NO",,,"TOULON DR","30",,,"3312",
"POINT (-91.076419217165 30.398513881686)","58874","128578","VIEUXTIQUE","9820 HILLYARD AVE","BATON ROUGE","EBRP","LOUISIANA","70809","UNITED STATES",,,"RETAIL",,"NO","PARISH","JEFFERSON TERRACE","454000",,,,"HILLYARD","AVE",,,"NO","3","0","-91","NO","NO","EBRP","NO","HILLYARD AVE","30",,,"9820",
"POINT (-91.152507449708 30.648879367276)","184044","198939","OCHSNER ORTHOPEDIC HEALTH CENTER ZACHARY","4845 MAIN ST","ZACHARY","EBRP","LOUISIANA","70791","UNITED STATES",,,"HEALTH CARE",,"NO","ZACHARY","NONE","621000",,,,"MAIN","ST",,,"NO","2","3","-91","NO","NO","ZACHARY","NO","MAIN ST","31",,,"4845",
"POINT (-91.07656218457 30.404372843938)","81927","87158",,"4831 INNISWOLD RD","BATON ROUGE","EBRP","LOUISIANA","70809","UNITED STATES",,,,,"NO","PARISH","SOMERSETT",,,,,"INNISWOLD","RD",,,"NO","3","0","-91","NO","NO","EBRP",,"INNISWOLD RD","30",,,"4831",
"POINT (-91.158777754114 30.584312957599)","158037","188741",,"919 DANIELS ST","BAKER","EBRP","LOUISIANA","70714","UNITED STATES",,,,,"NO","BAKER","NONE",,,,,"DANIELS","ST",,,"NO","2","2","-91","NO","NO","BAKER",,"DANIELS ST","31",,,"919",
"POINT (-91.02707221864 30.543675928579)","194429","211288","SMOOTHIE KING #552","14455 WAX RD","CENTRAL","EBRP","LOUISIANA","70818","UNITED STATES",,,,,"NO","CENTRAL","CENTRAL WOODS",,,,,"WAX","RD",,,"NO","3","1","-91","NO","NO","CENTRAL","NO","WAX RD","31",,,"14455",
"POINT (-91.162591954198 30.469026858359)","30571","171496",,"2600-2700 MONROE AVE","BATON ROUGE","EBRP","LOUISIANA","70802","UNITED STATES",,,,,"NO","BATON ROUGE","NORTH FAIRFIELDS",,,,,"MONROE","AVE",,,"NO","1","1","-91","NO","NO","BATON ROUGE",,"MONROE AVE","30",,,"2600-2700",
"POINT (-90.959966428578 30.626350099101)","6585","169456",,"29700-29800 GREENWELL SPRINGS RD","GREENWELL SPRINGS","EBRP","LOUISIANA","70739","UNITED STATES",,,,,"NO","PARISH","NONE",,,,,"GREENWELL SPRINGS","RD",,,"NO","2","1","-91","NO","NO",,,"GREENWELL SPRINGS RD","31",,,"29700-29800",
"POINT (-91.025820721542 30.397757697333)","79935","99722",,"6035 TENNYSON DR","BATON ROUGE","EBRP","LOUISIANA","70817","UNITED STATES",,,,,"NO","PARISH","WOODLAWN ESTATES",,,,,"TENNYSON","DR",,,"NO","3","0","-91","NO","NO","EBRP",,"TENNYSON DR","30",,,"6035",
"POINT (-91.080873198511 30.462058177089)","133366","126276",,"9520 W JAMAICA DR","BATON ROUGE","EBRP","LOUISIANA","70815","UNITED STATES",,,,,"NO","BATON ROUGE","VILLA DEL REY",,,,"W","JAMAICA","DR",,,"NO","1","4","-91","NO","NO","BATON ROUGE",,"W JAMAICA DR","30",,,"9520",
"POINT (-90.984083180493 30.418451417734)","84381","46048",,"18301 FERRY LANE AVE","BATON ROUGE","EBRP","LOUISIANA","70816","UNITED STATES",,,,,"NO","PARISH","SHADOWS AT WHITE OAK, THE",,,,,"FERRY LANE","AVE",,,"NO","3","0","-91","NO","NO","EBRP",,"FERRY LANE AVE","30",,,"18301",
"POINT (-91.183977895765 30.593350802054)","166943","221917",,"2100-2199 COLLEGE AVE","BAKER","EBRP","LOUISIANA","70714","UNITED STATES",,,,,"NO","BAKER","LELAND COLLEGE ANNEX",,,,,"COLLEGE","AVE",,,"NO","2","2","-91","NO","NO","BAKER",,"COLLEGE AVE","31",,,"2100-2199",
"POINT (-91.159403638942 30.448917558194)","184729","64841",,"2830 CONVENTION ST","BATON ROUGE","EBRP","LOUISIANA","70806","UNITED STATES",,,,,"NO","BATON ROUGE","WILSON PLACE",,,,,"CONVENTION","ST",,,"NO","1","3","-91","NO","NO","BATON ROUGE",,"CONVENTION ST","30",,,"2830",
"POINT (-91.009230662033 30.410041736555)","96653","84868",,"4573 CHARLESTON VILLA DR","BATON ROUGE","EBRP","LOUISIANA","70817","UNITED STATES",,,,,"NO","PARISH","CHARLESTON VILLAS",,,,,"CHARLESTON VILLA","DR",,,"NO","3","0","-91","NO","NO","EBRP",,"CHARLESTON VILLA DR","30",,,"4573",
"POINT (-91.002515880234 30.475749185653)","138707","63474",,"2726 MINDEN ST","BATON ROUGE","EBRP","LOUISIANA","70819","UNITED STATES",,,,,"NO","BATON ROUGE","STEVENDALE HEIGHTS",,,,,"MINDEN","ST",,,"NO","1","4","-91","NO","NO","BATON ROUGE",,"MINDEN ST","30",,,"2726",
"POINT (-91.139265310332 30.68518043901)","91307","89102",,"5059 EDGEN AVE","SLAUGHTER","EBRP","LOUISIANA","70777","UNITED STATES",,,,,"NO","PARISH","HILLSIDE FARMS",,,,,"EDGEN","AVE",,,"NO","2","5","-91","NO","NO","EBRP",,"EDGEN AVE","31",,,"5059",
"POINT (-90.969395402409 30.416151581563)","94675","50495",,"19636 RIVER BREEZE DR","BATON ROUGE","EBRP","LOUISIANA","70816","UNITED STATES",,,,,"NO","PARISH","WILDERNESS AT WHITE OAK, THE",,,,,"RIVER BREEZE","DR",,,"YES","3","0","-91","NO","NO","EBRP",,"RIVER BREEZE DR","30",,,"19636",
"POINT (-91.006425447135 30.507803501583)","195487","208234",,"16710 BATTLECREEK DR","GREENWELL SPRINGS","EBRP","LOUISIANA","70739","UNITED STATES",,,,,"NO","CENTRAL","FOREST GLEN ESTATES",,,,,"BATTLECREEK","DR",,,"NO","3","1","-91","NO","NO","CENTRAL",,"BATTLECREEK DR","31",,,"16710",
"POINT (-91.166508986261 30.646726427479)","198523","195773",,"3701 ROBERT ST","ZACHARY","EBRP","LOUISIANA","70791","UNITED STATES",,,,,"NO","ZACHARY","SINGING HILLS",,,,,"ROBERT","ST",,,"NO","2","3","-91","NO","NO","ZACHARY",,"ROBERT ST","31",,,"3701",
"POINT (-91.134811926891 30.352766609873)","7350","180500",,"8266 KEEL AVE","BATON ROUGE","EBRP","LOUISIANA","70820","UNITED STATES",,,,,"NO","PARISH","RIVERLAND",,,,,"KEEL","AVE",,,"NO","3","0","-91","NO","NO","EBRP",,"KEEL AVE","30",,,"8266",
"POINT (-91.106664186983 30.535384200445)","103539","127608",,"9666 MEADOWDALE DR","BATON ROUGE","EBRP","LOUISIANA","70811","UNITED STATES",,,,,"NO","PARISH","GREEN ACRES",,,,,"MEADOWDALE","DR",,,"NO","3","2","-91","NO","NO","EBRP",,"MEADOWDALE DR","31",,,"9666",
"POINT (-90.989831927751 30.416208160508)","84336","71750",,"3341 SHADOW HILL DR","BATON ROUGE","EBRP","LOUISIANA","70816","UNITED STATES",,,,,"NO","PARISH","SHADOWS LAKE",,,,,"SHADOW HILL","DR",,,"NO","3","0","-91","NO","NO","EBRP",,"SHADOW HILL DR","30",,,"3341",
"POINT (-91.166372375676 30.496320693622)","12465","170954",,"5149 BATON ROUGE AVE","BATON ROUGE","EBRP","LOUISIANA","70805","UNITED STATES",,,,,"NO","BATON ROUGE","GARDEN CITY",,,,,"BATON ROUGE","AVE",,,"NO","1","2","-91","NO","NO","BATON ROUGE",,"BATON ROUGE AVE","30",,,"5149",
