"the_geom","id","business_name","full_address","city","state","zip","phone_number","website","resource_type","sub_resource_type"
"POINT (-91.054338825939 30.409747321728)","21125","WALMART NEIGHBORHOOD MARKET","11550 COURSEY BLVD","BATON ROUGE","LOUISIANA","70816",,,"FOOD ACCESS","GROCERY"
"POINT (-91.083426342209 30.454348254255)","138339","OUR DAILY BREAD MARKET & BAKERY","9414 FLORIDA BLVD","BATON ROUGE","LOUISIANA","70815","225-924-9910","http://ourdailybreadbr.com/","RETAIL","GROCERY"
"POINT (-91.077056309618 30.486812374383)","181792","SHOPPERS VALUE FOODS","9702 GREENWELL SPRINGS RD","BATON ROUGE","LOUISIANA","70814",,,"RETAIL","GROCERY"
"POINT (-91.126407353546 30.502682619575)","21840","KING'S MEAT MARKET","6525 GREENWELL ST","BATON ROUGE","LOUISIANA","70812",,,"FOOD ACCESS","GROCERY"
"POINT (-91.058692718257 30.460466109485)","23984","SAIGON HONG KONG SEAFOOD MARKET","1295 N SHERWOOD FOREST DR","BATON ROUGE","LOUISIANA","70815","225-272-8822",,"RETAIL","GROCERY"
"POINT (-91.007289384835 30.419715519251)","36947","A & M TIME SAVER FOOD MART","3655 O'NEAL LN","BATON ROUGE","LOUISIANA","70816",,,"FOOD ACCESS","GROCERY"
"POINT (-91.060135264198 30.415220573457)","173300","OLIVE TREES INTERNATIONAL FOOD STORE","10979 COURSEY BLVD, STE F","BATON ROUGE","LOUISIANA","70816","225-291-2935",,"RETAIL","GROCERY"
"POINT (-91.110519931325 30.430282368277)","41717","MAXWELLS MARKET","7620 CORPORATE BLVD, STE A","BATON ROUGE","LOUISIANA","70809","225-216-0030","http://maxwells-market.com/","RETAIL","GROCERY"
"POINT (-91.107558393139 30.429775865217)","151071","CALVINS BOCAGE MARKET","7675 JEFFERSON HWY","BATON ROUGE","LOUISIANA","70809","225-927-2051","http://calvinsbocage.com/","RETAIL","GROCERY"
"POINT (-91.188391244128 30.449131918027)","14764","DOWNTOWN GROCER","263 3RD ST","BATON ROUGE","LOUISIANA","70801",,,"RETAIL","GROCERY"
"POINT (-91.07615166632 30.367235023867)","38684","CALANDROS SUPER MARKET #2","12732 PERKINS RD","BATON ROUGE","LOUISIANA","70810","225-767-6659","http://calandros.com/","RETAIL","GROCERY"
"POINT (-91.104850002999 30.479115261595)","123582","BROWIE'S KITCHEN & GROCERY, LLC","8154 GREENWELL SPRINGS RD","BATON ROUGE","LOUISIANA","70814",,,"FOOD ACCESS","GROCERY"
"POINT (-91.015097614789 30.405279569367)","4246","HI NABOR SUPERMARKET INC","5383 JONES CREEK RD","BATON ROUGE","LOUISIANA","70817","225-927-5450","http://hinabor.com/","RETAIL","GROCERY"
"POINT (-91.133992648606 30.349544436468)","39692","GARDERE MEAT MARKET","2509 GARDERE LN","BATON ROUGE","LOUISIANA","70810",,,"FOOD ACCESS","GROCERY"
"POINT (-91.016132332237 30.403899937363)","145263","JIMBOS SEAFOOD MARKET","5511 JONES CREEK RD","BATON ROUGE","LOUISIANA","70817",,,"FOOD ACCESS","GROCERY"
"POINT (-91.138016633507 30.379332739309)","3785","ROBERT FRESH MARKET","7355 HIGHLAND RD","BATON ROUGE","LOUISIANA","70808",,"http://robertfreshmarket.com/","RETAIL","GROCERY"
"POINT (-91.106015841311 30.453051552756)","26895","LA MORENITA MEAT MARKET","7981 FLORIDA BLVD","BATON ROUGE","LOUISIANA","70806","225-231-3234",,"RETAIL","GROCERY"
"POINT (-91.020194037697 30.35235296243)","97194","MAXWELLS MARKET","18135 E PETROLEUM DR, STE A","BATON ROUGE","LOUISIANA","70809",,"http://maxwells-market.com/","RETAIL","GROCERY"
"POINT (-91.163282195868 30.485767507914)","17515","WELLER FOOD MART","2605 WELLER AVE","BATON ROUGE","LOUISIANA","70805","225-358-0681",,"RETAIL","GROCERY"
"POINT (-91.024841677271 30.348621922903)","42273","ALEXANDER'S HIGHLAND MARKET","18111 HIGHLAND MARKET DR","BATON ROUGE","LOUISIANA","70810","225-615-7800","http://alexandersmkt.com/","RETAIL","GROCERY"
