"uniqueid","accountid","charactercode","charactercodedescription","objectcode","object","projectcode","project","fullaccount","fundcode","fund","segment2code","segment2","segment3code","segment3","segment4code","segment4","segment5code","segment5","segment6code","segment6","accountdescription","accountstatus","fiscalyear","fiscalmonth","originalbudget","revisedbudget","actual"
"2022-9-4769","4769","44","CHARGES FOR SERVICES","442201","RENTALS-HANGARS",,"UNKNOWN","5810-0000-31-0000-0000-0000-000000-442201-","5810","AIRPORT OPERATIONS FUND","0000","UNDEFINED","31","TRANS REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","RENTALS-HANGARS","Active","2022","2022-09-01T00:00:00.000","0","0","38799.4"
"2022-9-4770","4770","44","CHARGES FOR SERVICES","442202","RENTALS-CARGO BUILDING",,"UNKNOWN","5810-0000-31-0000-0000-0000-000000-442202-","5810","AIRPORT OPERATIONS FUND","0000","UNDEFINED","31","TRANS REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","RENTALS-CARGO BUILDING","Active","2022","2022-09-01T00:00:00.000","0","0","28531.25"
"2022-9-4900","4900","45","FINES AND FORFEITS","451700","LIBRARY FINES",,"UNKNOWN","2002-0000-61-0000-0000-0000-000000-451700-","2002","LIBRARY BOARD OF CONTROL","0000","UNDEFINED","61","C&R REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","LIBRARY FINES","Active","2022","2022-09-01T00:00:00.000","0","0","513.94"
"2022-9-4779","4779","44","CHARGES FOR SERVICES","442311","COMMISSIONS-CAR RENTAL AG",,"UNKNOWN","5810-0000-31-0000-0000-0000-000000-442311-","5810","AIRPORT OPERATIONS FUND","0000","UNDEFINED","31","TRANS REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","COMMISSIONS-CAR RENTAL AG","Active","2022","2022-09-01T00:00:00.000","0","0","127731.31"
"2022-9-4213","4213","42","LICENSES AND PERMITS","422340","ENTERTAINERS LICENSES-DANCERS",,"UNKNOWN","1000-0500-21-0000-0000-0000-000000-422340-","1000","GENERAL FUND","0500","PARISH ATTORNEY","21","PUBL SAF REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","ENTERTAINERS LICENSES-DANCERS","Active","2022","2022-09-01T00:00:00.000","0","0","30"
"2022-9-5202","5202","47","MISCELLANEOUS REV","474501","OTHER INCOME",,"UNKNOWN","5810-0000-31-0000-0000-0000-000000-474501-","5810","AIRPORT OPERATIONS FUND","0000","UNDEFINED","31","TRANS REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","OTHER INCOME","Active","2022","2022-09-01T00:00:00.000","0","0","66"
"2022-9-4789","4789","44","CHARGES FOR SERVICES","442331","AUTO PARKING FEES",,"UNKNOWN","5810-0000-31-0000-0000-0000-000000-442331-","5810","AIRPORT OPERATIONS FUND","0000","UNDEFINED","31","TRANS REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","AUTO PARKING FEES","Active","2022","2022-09-01T00:00:00.000","0","0","273.76"
"2022-9-4797","4797","44","CHARGES FOR SERVICES","442502","LEASES-LAND",,"UNKNOWN","5810-0000-31-0000-0000-0000-000000-442502-","5810","AIRPORT OPERATIONS FUND","0000","UNDEFINED","31","TRANS REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","LEASES-LAND","Active","2022","2022-09-01T00:00:00.000","0","0","115748.83"
"2022-9-4788","4788","44","CHARGES FOR SERVICES","442323","COMMISSIONS-OTHER",,"UNKNOWN","5810-0000-31-0000-0000-0000-000000-442323-","5810","AIRPORT OPERATIONS FUND","0000","UNDEFINED","31","TRANS REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","COMMISSIONS-OTHER","Active","2022","2022-09-01T00:00:00.000","0","0","13671.66"
"2022-9-4674","4674","44","CHARGES FOR SERVICES","440300","TECHNOLOGY SERVICES",,"UNKNOWN","1000-4400-11-0000-0000-0000-000000-440300-","1000","GENERAL FUND","4400","INFORMATION SERVICES","11","GEN GOVT REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","TECHNOLOGY SERVICES","Active","2022","2022-09-01T00:00:00.000","0","0","500"
"2022-9-4212","4212","42","LICENSES AND PERMITS","422330","RETAIL CLERKS LICENSES",,"UNKNOWN","1000-0500-21-0000-0000-0000-000000-422330-","1000","GENERAL FUND","0500","PARISH ATTORNEY","21","PUBL SAF REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","RETAIL CLERKS LICENSES","Active","2022","2022-09-01T00:00:00.000","0","0","810"
"2022-9-4784","4784","44","CHARGES FOR SERVICES","442316","COMMISSIONS-GIFT SHOP",,"UNKNOWN","5810-0000-31-0000-0000-0000-000000-442316-","5810","AIRPORT OPERATIONS FUND","0000","UNDEFINED","31","TRANS REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","COMMISSIONS-GIFT SHOP","Active","2022","2022-09-01T00:00:00.000","0","0","10166.67"
"2022-9-4792","4792","44","CHARGES FOR SERVICES","442334","PERMITS-HOTEL MONTHLY FACILITY",,"UNKNOWN","5810-0000-31-0000-0000-0000-000000-442334-","5810","AIRPORT OPERATIONS FUND","0000","UNDEFINED","31","TRANS REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","PERMITS-HOTEL MONTHLY FACILITY","Active","2022","2022-09-01T00:00:00.000","0","0","275"
"2022-9-4773","4773","44","CHARGES FOR SERVICES","442302","RENTALS-RESTAURANT",,"UNKNOWN","5810-0000-31-0000-0000-0000-000000-442302-","5810","AIRPORT OPERATIONS FUND","0000","UNDEFINED","31","TRANS REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","RENTALS-RESTAURANT","Active","2022","2022-09-01T00:00:00.000","0","0","550"
"2022-9-4782","4782","44","CHARGES FOR SERVICES","442313","COMMISSIONS-BAIL BONDING",,"UNKNOWN","5810-0000-31-0000-0000-0000-000000-442313-","5810","AIRPORT OPERATIONS FUND","0000","UNDEFINED","31","TRANS REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","COMMISSIONS-BAIL BONDING","Active","2022","2022-09-01T00:00:00.000","0","0","7267"
"2022-9-4866","4866","44","CHARGES FOR SERVICES","443400","LANDFILL TIPPING FEES",,"UNKNOWN","5510-0000-41-0000-0000-0000-000000-443400-","5510","SOLID WASTE DISPOSAL FACILITY","0000","UNDEFINED","41","SAN REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","LANDFILL TIPPING FEES","Active","2022","2022-09-01T00:00:00.000","0","0","5522"
"2022-9-4795","4795","44","CHARGES FOR SERVICES","442501","RENTALS-BUILDINGS",,"UNKNOWN","5810-0000-31-0000-0000-0000-000000-442501-","5810","AIRPORT OPERATIONS FUND","0000","UNDEFINED","31","TRANS REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","RENTALS-BUILDINGS","Active","2022","2022-09-01T00:00:00.000","0","0","65278.64"
"2022-9-4683","4683","44","CHARGES FOR SERVICES","440401","CENTRAL SUPPORT SRV-INVENTORY",,"UNKNOWN","1000-7000-11-0000-0000-0000-000000-440401-","1000","GENERAL FUND","7000","BUSINESS OPER/CAP PROG OFFICE","11","GEN GOVT REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","CENTRAL SUPPORT SRV-INVENTORY","Active","2022","2022-09-01T00:00:00.000","0","0","350.2"
"2022-9-4677","4677","44","CHARGES FOR SERVICES","440331","NOTICE OF INTENT",,"UNKNOWN","1000-0500-11-0000-0000-0000-000000-440331-","1000","GENERAL FUND","0500","PARISH ATTORNEY","11","GEN GOVT REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","NOTICE OF INTENT","Active","2022","2022-09-01T00:00:00.000","0","0","1278"
"2022-9-5138","5138","47","MISCELLANEOUS REV","474200","CONTINGENT RECEIPTS",,"UNKNOWN","2002-0000-61-0000-0000-0000-000000-474200-","2002","LIBRARY BOARD OF CONTROL","0000","UNDEFINED","61","C&R REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","CONTINGENT RECEIPTS","Active","2022","2022-09-01T00:00:00.000","0","0","165.99"
"2022-9-4233","4233","42","LICENSES AND PERMITS","424550","ALARM USER PERMITS",,"UNKNOWN","1000-5000-21-0000-0000-0000-000000-424550-","1000","GENERAL FUND","5000","POLICE DEPARTMENT","21","PUBL SAF REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","ALARM USER PERMITS","Active","2022","2022-09-01T00:00:00.000","0","0","375"
"2022-9-4771","4771","44","CHARGES FOR SERVICES","442203","RENTALS-DOW HANGAR",,"UNKNOWN","5810-0000-31-0000-0000-0000-000000-442203-","5810","AIRPORT OPERATIONS FUND","0000","UNDEFINED","31","TRANS REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","RENTALS-DOW HANGAR","Active","2022","2022-09-01T00:00:00.000","0","0","34900"
"2022-9-4209","4209","42","LICENSES AND PERMITS","422310","CLASSIFIED EMPLOYEES LICENSES",,"UNKNOWN","1000-0500-21-0000-0000-0000-000000-422310-","1000","GENERAL FUND","0500","PARISH ATTORNEY","21","PUBL SAF REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","CLASSIFIED EMPLOYEES LICENSES","Active","2022","2022-09-01T00:00:00.000","0","0","2670"
"2022-9-4707","4707","44","CHARGES FOR SERVICES","440702","ZONING FEES",,"UNKNOWN","1000-1600-11-0000-0000-0000-000000-440702-","1000","GENERAL FUND","1600","PLANNING COMMISSION","11","GEN GOVT REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","ZONING FEES","Active","2022","2022-09-01T00:00:00.000","0","0","2625"
"2022-9-4725","4725","44","CHARGES FOR SERVICES","441506","SEX OFFENDER REGISTRATION FEES",,"UNKNOWN","1000-5000-21-0000-0000-0000-000000-441506-","1000","GENERAL FUND","5000","POLICE DEPARTMENT","21","PUBL SAF REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","SEX OFFENDER REGISTRATION FEES","Active","2022","2022-09-01T00:00:00.000","0","0","120"
"2022-9-4739","4739","44","CHARGES FOR SERVICES","441611","EMS CPR CARD FEES",,"UNKNOWN","2053-0000-21-0000-0000-0000-000000-441611-","2053","EMERGENCY MEDICAL SERVICES","0000","UNDEFINED","21","PUBL SAF REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","EMS CPR CARD FEES","Active","2022","2022-09-01T00:00:00.000","0","0","655"
"2022-9-4724","4724","44","CHARGES FOR SERVICES","441505","FALSE ALARM FEES",,"UNKNOWN","1000-5000-21-0000-0000-0000-000000-441505-","1000","GENERAL FUND","5000","POLICE DEPARTMENT","21","PUBL SAF REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","FALSE ALARM FEES","Active","2022","2022-09-01T00:00:00.000","0","0","2600"
"2022-9-4783","4783","44","CHARGES FOR SERVICES","442315","COMMISSIONS-GROUND TRANSP SRV",,"UNKNOWN","5810-0000-31-0000-0000-0000-000000-442315-","5810","AIRPORT OPERATIONS FUND","0000","UNDEFINED","31","TRANS REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","COMMISSIONS-GROUND TRANSP SRV","Active","2022","2022-09-01T00:00:00.000","0","0","875"
"2022-9-5250","5250","47","MISCELLANEOUS REV","477520","POLICE MISCELLANEOUS REVENUES",,"UNKNOWN","1000-5000-21-0000-0000-0000-000000-477520-","1000","GENERAL FUND","5000","POLICE DEPARTMENT","21","PUBL SAF REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","POLICE MISCELLANEOUS REVENUES","Active","2022","2022-09-01T00:00:00.000","0","0","489.6"
"2022-9-4775","4775","44","CHARGES FOR SERVICES","442304","RENTALS-OTHERS",,"UNKNOWN","5810-0000-31-0000-0000-0000-000000-442304-","5810","AIRPORT OPERATIONS FUND","0000","UNDEFINED","31","TRANS REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","RENTALS-OTHERS","Active","2022","2022-09-01T00:00:00.000","0","0","27708.23"
"2022-9-4220","4220","42","LICENSES AND PERMITS","422510","CHAUFFEURS LICENSES",,"UNKNOWN","1000-0000-21-0000-0000-0000-000000-422510-","1000","GENERAL FUND","0000","UNDEFINED","21","PUBL SAF REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","CHAUFFEURS LICENSES","Active","2022","2022-09-01T00:00:00.000","0","0","15"
"2022-9-4223","4223","42","LICENSES AND PERMITS","423210","A/C & HEATING PERMITS",,"UNKNOWN","1000-7300-21-0000-0000-0000-000000-423210-","1000","GENERAL FUND","7300","DEVELOPMENT","21","PUBL SAF REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","A/C & HEATING PERMITS","Active","2022","2022-09-01T00:00:00.000","0","0","125"
"2022-9-4146","4146","41","TAXES","418100","PEG PROGRAMMING ACCESS FEE",,"UNKNOWN","1000-0000-00-0000-0000-9001-000000-418100-","1000","GENERAL FUND","0000","UNDEFINED","00","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","9001","CITY REVENUES","PEG PROGRAMMING ACCESS FEE","Active","2022","2022-09-01T00:00:00.000","0","0","30812.95"
"2022-9-5134","5134","47","MISCELLANEOUS REV","474150","MISCELLANEOUS REIMBURSEMENTS",,"UNKNOWN","5810-0000-31-0000-0000-0000-000000-474150-","5810","AIRPORT OPERATIONS FUND","0000","UNDEFINED","31","TRANS REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","MISCELLANEOUS REIMBURSEMENTS","Active","2022","2022-09-01T00:00:00.000","0","0","3351.44"
"2022-9-4708","4708","44","CHARGES FOR SERVICES","440703","PLANNING FEES",,"UNKNOWN","1000-1600-11-0000-0000-0000-000000-440703-","1000","GENERAL FUND","1600","PLANNING COMMISSION","11","GEN GOVT REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","PLANNING FEES","Active","2022","2022-09-01T00:00:00.000","0","0","4050"
"2022-8-4181","4181","41","TAXES","419300","INT/PEN-GENERAL SALES/USE TAX",,"UNKNOWN","5100-0000-00-0000-0000-0000-000000-419300-","5100","SEWERAGE-OPERATIONS & MAINT","0000","UNDEFINED","00","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","INT/PEN-GENERAL SALES/USE TAX","Active","2022","2022-08-01T00:00:00.000","0","0","13438.51"
"2022-8-4111","4111","41","TAXES","413210","GENERAL SALES & USE TAX AUDITS",,"UNKNOWN","2340-0000-00-0000-0000-0000-000000-413210-","2340","PARISH STREET MAINTENANCE FUND","0000","UNDEFINED","00","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","GENERAL SALES & USE TAX AUDITS","Active","2022","2022-08-01T00:00:00.000","0","0","107.78"
"2022-8-4680","4680","44","CHARGES FOR SERVICES","440340","SALE OF ADJUDICATED PROP FEES",,"UNKNOWN","1000-0500-11-0000-0000-0000-000000-440340-","1000","GENERAL FUND","0500","PARISH ATTORNEY","11","GEN GOVT REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","SALE OF ADJUDICATED PROP FEES","Active","2022","2022-08-01T00:00:00.000","0","0","-6050"
"2022-8-4201","4201","42","LICENSES AND PERMITS","421000","PUBLIC CONVEYANCES",,"UNKNOWN","1000-0000-21-0000-0000-0000-000000-421000-","1000","GENERAL FUND","0000","UNDEFINED","21","PUBL SAF REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","PUBLIC CONVEYANCES","Active","2022","2022-08-01T00:00:00.000","0","0","52258.94"
"2022-8-4190","4190","41","TAXES","419400","INT/PEN-OCCUPANCY TAX",,"UNKNOWN","1000-0000-00-0000-0000-9001-000000-419400-","1000","GENERAL FUND","0000","UNDEFINED","00","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","9001","CITY REVENUES","INT/PEN-OCCUPANCY TAX","Active","2022","2022-08-01T00:00:00.000","0","0","2.82"
"2022-8-4173","4173","41","TAXES","419300","INT/PEN-GENERAL SALES/USE TAX",,"UNKNOWN","1000-0000-00-0000-0000-9001-000000-419300-","1000","GENERAL FUND","0000","UNDEFINED","00","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","9001","CITY REVENUES","INT/PEN-GENERAL SALES/USE TAX","Active","2022","2022-08-01T00:00:00.000","0","0","30827.93"
"2022-8-4771","4771","44","CHARGES FOR SERVICES","442203","RENTALS-DOW HANGAR",,"UNKNOWN","5810-0000-31-0000-0000-0000-000000-442203-","5810","AIRPORT OPERATIONS FUND","0000","UNDEFINED","31","TRANS REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","RENTALS-DOW HANGAR","Active","2022","2022-08-01T00:00:00.000","0","0","34900"
"2022-8-4794","4794","44","CHARGES FOR SERVICES","442411","FINGERPRINTING FEE",,"UNKNOWN","5810-0000-31-0000-0000-0000-000000-442411-","5810","AIRPORT OPERATIONS FUND","0000","UNDEFINED","31","TRANS REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","FINGERPRINTING FEE","Active","2022","2022-08-01T00:00:00.000","0","0","1050"
"2022-8-4150","4150","41","TAXES","419110","INT/PEN-GENERAL PROPERTY TAX",,"UNKNOWN","1000-0000-00-0000-0000-9002-000000-419110-","1000","GENERAL FUND","0000","UNDEFINED","00","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","9002","PARISH REVENUES","INT/PEN-GENERAL PROPERTY TAX","Active","2022","2022-08-01T00:00:00.000","0","0","2491.98"
"2022-8-4142","4142","41","TAXES","415200","INSURANCE PREMIUMS TAX",,"UNKNOWN","1000-0000-00-0000-0000-9002-000000-415200-","1000","GENERAL FUND","0000","UNDEFINED","00","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","9002","PARISH REVENUES","INSURANCE PREMIUMS TAX","Active","2022","2022-08-01T00:00:00.000","0","0","13521.67"
"2022-8-5174","5174","47","MISCELLANEOUS REV","474400","VENDOR'S COMPENSATION",,"UNKNOWN","5700-0000-11-0000-0000-0000-000000-474400-","5700","PARKING FUND","0000","UNDEFINED","11","GEN GOVT REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","VENDOR'S COMPENSATION","Active","2022","2022-08-01T00:00:00.000","0","0","19"
"2022-8-4774","4774","44","CHARGES FOR SERVICES","442303","RENTALS-OFFICE TENANTS",,"UNKNOWN","5810-0000-31-0000-0000-0000-000000-442303-","5810","AIRPORT OPERATIONS FUND","0000","UNDEFINED","31","TRANS REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","RENTALS-OFFICE TENANTS","Active","2022","2022-08-01T00:00:00.000","0","0","27982.35"
"2022-8-4666","4666","44","CHARGES FOR SERVICES","440105","EVIDENCE TESTING",,"UNKNOWN","2210-0000-11-0000-0000-0000-000000-440105-","2210","CITY CONSTABLE COURT COSTS FD","0000","UNDEFINED","11","GEN GOVT REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","EVIDENCE TESTING","Active","2022","2022-08-01T00:00:00.000","0","0","345"
"2022-8-46526","46526","41","TAXES","413500","TIF DISTRICT TAX",,"UNKNOWN","2104-0000-00-0000-0000-0000-000000-413500-","2104","THIRD-FLORIDA ECO DEV DISTRICT","0000","UNDEFINED","00","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","TIF DISTRICT TAX","Active","2022","2022-08-01T00:00:00.000","0","0","9857"
"2022-8-4690","4690","44","CHARGES FOR SERVICES","440500","NSF CHECK CHARGES",,"UNKNOWN","1000-0000-11-0000-0000-0000-000000-440500-","1000","GENERAL FUND","0000","UNDEFINED","11","GEN GOVT REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","NSF CHECK CHARGES","Active","2022","2022-08-01T00:00:00.000","0","0","25"
"2022-8-4722","4722","44","CHARGES FOR SERVICES","441503","SOBRIETY TEST",,"UNKNOWN","1000-5000-21-0000-0000-0000-000000-441503-","1000","GENERAL FUND","5000","POLICE DEPARTMENT","21","PUBL SAF REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","SOBRIETY TEST","Active","2022","2022-08-01T00:00:00.000","0","0","150"
"2022-8-4034","4034","41","TAXES","411000","GENERAL PROPERTY TAX",,"UNKNOWN","2408-0000-00-0000-0000-0000-000000-411000-","2408","PRIDE FIRE PROTECTION DISTRICT","0000","UNDEFINED","00","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","GENERAL PROPERTY TAX","Active","2022","2022-08-01T00:00:00.000","0","0","514.04"
"2022-8-4650","4650","44","CHARGES FOR SERVICES","440015","CTY CT-ELECTRON DISP EXTRT FEE",,"UNKNOWN","1000-2000-11-0000-0000-0000-000000-440015-","1000","GENERAL FUND","2000","CITY COURT","11","GEN GOVT REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","CTY CT-ELECTRON DISP EXTRT FEE","Active","2022","2022-08-01T00:00:00.000","0","0","10000"
"2022-8-47007","47007","41","TAXES","419110","INT/PEN-GENERAL PROPERTY TAX",,"UNKNOWN","2006-0000-00-0000-0000-0000-000000-419110-","2006","MENTAL HLTH & SUBST TRMNT CTR","0000","UNDEFINED","00","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","INT/PEN-GENERAL PROPERTY TAX","Active","2022","2022-08-01T00:00:00.000","0","0","461.98"
"2022-8-4797","4797","44","CHARGES FOR SERVICES","442502","LEASES-LAND",,"UNKNOWN","5810-0000-31-0000-0000-0000-000000-442502-","5810","AIRPORT OPERATIONS FUND","0000","UNDEFINED","31","TRANS REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","LEASES-LAND","Active","2022","2022-08-01T00:00:00.000","0","0","115748.83"
"2022-8-53240","53240","47","MISCELLANEOUS REV","477200","PW MISCELLANEOUS REVENUES",,"UNKNOWN","5100-0000-41-0000-0000-0000-000000-477200-","5100","SEWERAGE-OPERATIONS & MAINT","0000","UNDEFINED","41","SAN REV-CHARGES FOR SERV","0000","UNDEFINED","0000","UNDEFINED","0000","UNDEFINED","PW MISCELLANEOUS REVENUES","Active","2022","2022-08-01T00:00:00.000","0","0","916.91"
