"the_geom","id","business_name","full_address","city","state","zip","phone_number","website","resource_type","sub_resource_type"
"POINT (-91.097154661348 30.379299455245)","162151","CVS PHARMACY #1116","7777 BLUEBONNET BLVD, STE 100","BATON ROUGE","LOUISIANA","70810","225-766-9091","http://cvs.com/","RETAIL","PHARMACY"
"POINT (-91.079603557802 30.431412056619)","25973","WALGREENS # 06028","9820 OLD HAMMOND HWY","BATON ROUGE","LOUISIANA","70816","225-248-1104","http://walgreens.com/","RETAIL","PHARMACY"
"POINT (-91.143404416186 30.417215651618)","42150","WALGREENS # 06448","4485 PERKINS RD","BATON ROUGE","LOUISIANA","70808","225-926-0734","http://walgreens.com/","RETAIL","PHARMACY"
"POINT (-91.112726428761 30.452341938517)","45761","CVS PHARMACY 6124","7411 FLORIDA BLVD","BATON ROUGE","LOUISIANA","70806","225-928-8982","http://cvs.com/","RETAIL","PHARMACY"
"POINT (-91.050989558563 30.410636816212)","50533","WALGREENS #2980","4747 S SHERWOOD FOREST BLVD","BATON ROUGE","LOUISIANA","70816","225-292-8975","http://walgreens.com/","RETAIL","PHARMACY"
"POINT (-91.130062124391 30.501761321109)","24383","WALGREENS #09860","5955 AIRLINE HWY","BATON ROUGE","LOUISIANA","70805",,,"RETAIL","PHARMACY"
"POINT (-91.074852133145 30.368712350789)","147452","WALGREENS #3610","12881 PERKINS RD","BATON ROUGE","LOUISIANA","70810","225-763-6281","http://walgreens.com/","RETAIL","PHARMACY"
"POINT (-91.096912603667 30.379344669487)","96319","CVS PHARMACY #1116","7777 BLUEBONNET BLVD","BATON ROUGE","LOUISIANA","70810","225-766-9091","http://cvs.com/","RETAIL","PHARMACY"
"POINT (-91.106096428937 30.401424244941)","29057","WALGREENS #3047","5112 ESSEN LN","BATON ROUGE","LOUISIANA","70809","225-769-7224","http://walgreens.com/","RETAIL","PHARMACY"
"POINT (-91.140308552427 30.4793342151)","14674","EXPRESS PHARMACY","3328 N FOSTER DR","BATON ROUGE","LOUISIANA","70805","(225) 302-5762",,"RETAIL","PHARMACY"
"POINT (-91.153407040096 30.443843689204)","180991","WALGREENS #2995","3550 GOVERNMENT ST","BATON ROUGE","LOUISIANA","70806","225-343-8878","http://walgreens.com/","RETAIL","PHARMACY"
"POINT (-91.100507288548 30.376485425942)","36946","MCGEE'S PHARMACY","8080 BLUEBONNET BLVD","BATON ROUGE","LOUISIANA","70810","(225) 766-2121",,"RETAIL","PHARMACY"
"POINT (-91.059931311574 30.493158288643)","23440","WALGREENS #2996","11080 GREENWELL SPRINGS RD","BATON ROUGE","LOUISIANA","70814","225-272-9769","http://walgreens.com/","RETAIL","PHARMACY"
"POINT (-91.089170583559 30.483072222059)","141248","CVS PHARMACY #05318","9006 GREENWELL SPRINGS RD","BATON ROUGE","LOUISIANA","70814","225-927-5088","http://cvs.com/","RETAIL","PHARMACY"
"POINT (-91.110296552021 30.394666543614)","29818","WALGREENS #17647","2159 STARING LN","BATON ROUGE","LOUISIANA","70808",,"https://walgreens.com/","RETAIL","PHARMACY"
"POINT (-91.127290761041 30.580956226056)","187836","WALGREENS #13875","6485 GROOM RD","BATON ROUGE","LOUISIANA","70814",,"http://walgreens.com/","RETAIL","PHARMACY"
"POINT (-91.039464124776 30.380934622446)","39653","CVS/PHARMACY #8961","12880 AIRLINE HWY","BATON ROUGE","LOUISIANA","70809","225-751-3611","http://cvs.com/","RETAIL","PHARMACY"
"POINT (-91.09414841752 30.380177703633)","82270","THE SPINE HOSPITAL OF LOUISIANA AT THE NEUROMEDICAL CENTER","10105 PARK ROWE CIR","BATON ROUGE","LOUISIANA","70810",,,"RETAIL","PHARMACY"
"POINT (-91.111097357247 30.45230660744)","194403","FRANKLIN AVENUE PHARMACY","7521 FLORIDA BLVD","BATON ROUGE","LOUISIANA","70806",,,"RETAIL","PHARMACY"
"POINT (-91.130971739816 30.502813980012)","20478","CVS PHARMACY #5319","5889 AIRLINE HWY","BATON ROUGE","LOUISIANA","70812",,,"RETAIL","PHARMACY"
"POINT (-91.022223987603 30.441195198757)","33293","CVS PHARMACY #17177","2001 MILLERVILLE RD","BATON ROUGE","LOUISIANA","70816",,,"RETAIL","PHARMACY"
"POINT (-91.123912697859 30.359642577724)","35830","CVS PHARMACY #10318","9326 BURBANK DR","BATON ROUGE","LOUISIANA","70820",,"http://cvs.com/","RETAIL","PHARMACY"
"POINT (-91.061084912375 30.384713213326)","146650","CVS PHARMACY #16708","6885 SIEGEN LN","BATON ROUGE","LOUISIANA","70809",,,"RETAIL","PHARMACY"
"POINT (-91.090064424227 30.484107103147)","21614","WALGREENS #07836","3671 JOOR RD","BATON ROUGE","LOUISIANA","70814","225-924-3880","http://walgreens.com/","RETAIL","PHARMACY"
"POINT (-91.015329291165 30.409939191978)","173215","CVS PHARMACY #5343","15255 GEORGE O'NEAL RD, STE D","BATON ROUGE","LOUISIANA","70817","225-752-3710","http://cvs.com/","RETAIL","PHARMACY"
"POINT (-91.007213574991 30.359408225783)","49217","WALGREENS #09518","15929 AIRLINE HWY","BATON ROUGE","LOUISIANA","70817","225-752-2159","http://walgreens.com/","RETAIL","PHARMACY"
"POINT (-91.177062882151 30.418950493411)","10733","CVS PHARMACY # 4761","3200 HIGHLAND RD","BATON ROUGE","LOUISIANA","70802","225-388-9939","http://cvs.com/","RETAIL","PHARMACY"
"POINT (-91.110447645812 30.3994898991)","187322","SOILEAUS VITAL CARE INC","7612 PICARDY AVE, STE A","BATON ROUGE","LOUISIANA","70808","(225) 766-7453",,"RETAIL","PHARMACY"
"POINT (-91.152575344974 30.498954001932)","112493","WALGREENS #2982","5450 PLANK RD","BATON ROUGE","LOUISIANA","70805","225-355-9782","http://walgreens.com/","RETAIL","PHARMACY"
"POINT (-91.154526643416 30.443676204725)","24970","CVS PHARMACY INC #5324","3384 GOVERNMENT ST","BATON ROUGE","LOUISIANA","70806","225-387-5600","http://cvs.com/","RETAIL","PHARMACY"
"POINT (-91.16039144099 30.393819090411)","156137","WALGREENS #13925","5298 HIGHLAND RD","BATON ROUGE","LOUISIANA","70808","225-767-7003","http://walgreens.com/","RETAIL","PHARMACY"
"POINT (-91.158344965008 30.424630721082)","175532","BOLTONS HEALTH MART","2958 PERKINS RD","BATON ROUGE","LOUISIANA","70808","(225) 343-4869","http://healthmart.com","RETAIL","PHARMACY"
