"casenumber","occurredfromdate","occurredthroughdate","reporteddate","disposition","dispositiondate","index_crime_category","statute","statutedescription","crimecode","crimecodedescription","nciccode","nciccodedescription","domestic","streetaddress","city","zip","location_point","patrol_division"
"2019-00034856","2019-09-18T22:30:00.000","2019-09-18T23:00:00.000","2019-09-19T00:42:02.000","Person Returned","2019-09-20T00:00:00.000","Not A Crime","Runaway","Runaway Reports","90I","Runaway","3850","Runaway","No","15400 TERRAZZO DR","MONUMENT","80921",,
"2019-00028764","2019-08-07T00:04:00.000","2019-08-07T22:30:00.000","2019-08-08T00:04:50.000","Person Returned","2019-08-08T00:04:50.000","Not A Crime","Runaway","Runaway Reports","90I","Runaway","3850","Runaway","No","100 S 12TH ST","COLORADO SPRINGS","80904","POINT (-104.844297 38.836488)","Gold Hill"
"2020-00017934","2020-03-13T00:01:00.000","2020-03-13T23:59:00.000","2020-05-19T13:26:14.000","Open","2020-05-19T13:26:14.000","Crimes Against Society","18-3-405.6(1) M1","Invasion of Privacy Sex Gratification - Observes/Photos Intimate Parts w/out Consent","90H","Peeping Tom","3611","Peeping Tom","No",,,,,
"2020-00037661","2020-10-30T00:00:00.000","2020-10-30T00:51:00.000","2020-10-30T00:52:00.000","Open","2020-10-30T00:52:00.000","Crimes Against Persons","18-3-402(4)(a) F3 (03)","Sexual Assault Physical Force - Strong Arm","11A","Forcible Rape","1103","Rape-Strong Arm","No",,,,,
"2022-00014530","2022-04-15T19:41:00.000","2022-04-15T19:41:00.000","2022-04-15T19:42:26.000","Cleared by Arrest","2022-04-15T00:00:00.000","Crimes Against Society","42-3-114 TIB","Expiration - displayed expired license plates","99","Not Reportable",,,"No",,,,,"Gold Hill"
"2019-00015517","2019-05-01T02:00:00.000","2019-05-01T08:00:00.000","2019-05-01T07:55:30.000","Open","2019-05-01T07:55:30.000","Crimes Against Property","18-4-502 F5 (1)","1st Degree Criminal Trespass - Automobile","23F","Theft From Motor Vehicle","2305","Larceny From Auto","No",,"COLORADO SPRINGS",,,
"2022-00007255","2022-02-17T16:50:00.000","2022-02-17T17:21:00.000","2022-02-17T17:21:08.000","Cleared by Arrest","2022-03-30T00:00:00.000","Crimes Against Property","9.6.401","SHOPLIFTING","23C","Shoplifting","2303","Shoplifting","No","7700 DUBLIN BLVD","COLORADO SPRINGS","80923",,
"2018-00048189","2018-12-29T16:50:00.000","2018-12-29T21:35:00.000","2018-12-29T21:36:59.000","Person Returned","2018-12-30T00:00:00.000","Not A Crime","Runaway","Runaway Reports","90I","Runaway","3850","Runaway","No","400 COOPER AVE","COLORADO SPRINGS",,,
"2018-00047024","2018-12-19T21:29:00.000","2018-12-19T21:29:00.000","2018-12-19T21:29:00.000","Person Returned","2019-03-06T00:00:00.000","Not A Crime","Runaway","Runaway Reports","90I","Runaway","3850","Runaway","No",,"COLORADO SPRINGS",,,
"2018-00044423","2018-11-30T00:00:00.000","2018-11-30T06:00:00.000","2018-11-30T06:16:30.000","Open","2018-11-30T06:16:30.000","Crimes Against Property","18-4-502 F5 (1)","1st Degree Criminal Trespass - Automobile","23F","Theft From Motor Vehicle","2305","Larceny From Auto","No",,"COLORADO SPRINGS",,,
"2018-00042030","2018-11-11T18:00:00.000","2018-11-11T19:40:00.000","2018-11-11T19:41:49.000","Cleared by Arrest","2018-11-11T19:41:49.000","Crimes Against Society","18-6-803.5(1)(a) M2","Violation of a Protection Order","90Z","All Other Offenses","5005","Contempt of Court","Yes",,,,,"Stetson Hills"
"2018-00037580","2018-10-10T02:15:00.000","2018-10-10T02:15:00.000","2018-10-10T02:18:09.000","Cleared by Arrest","2018-10-22T00:00:00.000","Crimes Against Society","18-2-201 (1) F","Conspiracy to Commit Crime - Felony","90Z","All Other Offenses","7399","Public Order Crimes","No",,"COLORADO SPRINGS",,,
"2018-00035284","2018-09-22T13:00:00.000","2018-09-22T14:00:00.000","2018-09-22T14:19:12.000","Open","2018-09-22T14:19:12.000","Crimes Against Property","18-4-502 F5 (1)","1st Degree Criminal Trespass - Automobile","23F","Theft From Motor Vehicle","2305","Larceny From Auto","No",,"COLORADO SPRINGS",,,
"2018-00030844","2018-08-20T10:30:00.000","2018-08-20T17:16:00.000","2018-08-20T16:46:08.000","Person Returned","2018-08-20T16:46:08.000","Not A Crime","Runaway","Runaway Reports","90I","Runaway","3850","Runaway","No",,"COLORADO SPRINGS",,,
"2018-00037996","2018-10-12T19:00:00.000","2018-10-12T19:00:00.000","2018-10-12T22:29:00.000","Person Returned","2018-10-13T00:00:00.000","Not A Crime","Runaway","Runaway Reports","90I","Runaway","3850","Runaway",,"100 ELLERS GRV","COLORADO SPRINGS","80916","POINT (-104.73644 38.827671)","Sand Creek"
"2018-00022460","2018-06-18T02:45:00.000","2018-06-18T03:00:00.000","2018-06-18T03:11:13.000","Open","2018-06-18T03:11:13.000","Crimes Against Persons","18-3-102","Attempted Murder","13A","Aggravated Assault","1304","Aggravated Assault-Nonfamily-Gun","No",,"COLORADO SPRINGS",,,
"2022-00027420","2022-06-26T01:00:00.000","2022-06-26T01:00:00.000","2022-07-22T14:51:50.000","Open","2022-07-25T00:00:00.000","Crimes Against Persons","18-3-402(1)(a) F4 (03)","Sexual Assault Victim Did Not Consent- Strong-Arm","11A","Forcible Rape","1103","Rape-Strong Arm","No",,,,,
"2018-00014232","2018-04-15T15:45:00.000","2018-04-16T15:10:00.000","2018-04-16T15:10:55.000","Person Returned","2018-04-18T00:00:00.000","Not A Crime","Runaway","Runaway Reports","90I","Runaway","3850","Runaway","No","500 LIONSTONE DR","COLORADO SPRINGS","80916","POINT (-104.745872 38.836654)","Sand Creek"
"2018-00013836","2018-04-13T14:00:00.000","2018-04-13T14:10:00.000","2018-04-13T14:13:02.000","Open","2018-04-13T14:13:02.000","Crimes Against Persons","18-3-206(1)(a) F5 (01)","Menacing Real or Simulated Weapon","13A","Aggravated Assault","1315","Aggravated Assault-Weapon (Identify Weapon)","No",,"COLORADO SPRINGS",,,
"2016-00014923","2016-04-13T05:30:00.000","2016-04-13T06:30:00.000","2016-04-13T10:22:24.000","Open","2016-04-13T10:22:24.000","Crimes Against Property","18-5-113(1)(b) F6 REP","Criminal Impersonation - Become Bail or Surety","26C","Impersonation","2604","Fraud-Imperson","No",,"COLORADO SPRINGS",,,
"2017-00044527","2017-12-10T14:00:00.000","2017-12-10T14:00:00.000","2017-12-11T20:55:44.000","Person Returned","2017-12-11T20:55:44.000","Not A Crime","Runaway","Runaway Reports","90I","Runaway","3850","Runaway","No",,"COLORADO SPRINGS",,,
"2018-00044040","2018-11-15T12:00:00.000","2018-11-15T12:00:00.000","2018-11-25T12:24:27.000","Open","2018-11-27T00:00:00.000","Crimes Against Property","9.6.401","SHOPLIFTING","23C","Shoplifting","2303","Shoplifting","No",,"COLORADO SPRINGS",,,
"2018-00040321","2018-10-30T15:00:00.000","2018-10-30T15:00:00.000","2018-10-30T19:12:17.000","Person Returned","2018-11-11T00:00:00.000","Not A Crime","Runaway","Runaway Reports","90I","Runaway","3850","Runaway","No",,"COLORADO SPRINGS",,,
"2022-00033970","2022-09-08T07:25:00.000","2022-09-08T07:59:00.000","2022-09-08T07:57:00.000","Open","2022-09-08T00:00:00.000","Not A Crime","Runaway","Runaway Reports","90I","Runaway","3850","Runaway","No","600 QUEBEC ST","COLORADO SPRINGS","80911","POINT (-104.71267 38.727334)",
"2017-00041874","2017-09-11T02:00:00.000","2017-10-12T20:00:00.000","2017-11-19T16:05:02.000","Open","2017-11-19T16:05:02.000","Crimes Against Persons","18-6-301 F4","Incest","36A","Incest","3607","Incest with Adult","No",,,,,"Stetson Hills"
"2017-00040371","2017-11-07T16:30:00.000","2017-11-07T17:00:00.000","2017-11-07T17:02:48.000","Cleared by Arrest","2017-11-07T17:02:48.000","Crimes Against Persons","18-3-204(1)(a) M1","3rd Degree Assault - BI to Another - Simple Assault","13B","Simple Assault","1313","Simple Assault","Yes",,,,,
"2017-00037684","2017-10-17T01:45:00.000","2017-10-17T11:55:00.000","2017-10-17T11:55:32.000","Person Returned","2018-01-15T00:00:00.000","Not A Crime","Runaway","Runaway Reports","90I","Runaway","3850","Runaway","No",,"COLORADO SPRINGS",,,
"2018-00032440","2018-09-01T01:46:00.000","2018-09-01T01:46:00.000","2018-09-01T01:46:00.000","Cleared by Arrest","2018-09-01T00:00:00.000","Crimes Against Society","42-4-1305.5","Open marijuana container","99","Not Reportable",,,,,"COLORADO SPRINGS",,,
"2017-00028132","2017-08-04T12:11:00.000","2017-08-04T12:14:00.000","2017-08-04T12:11:45.000","Unfounded","2017-08-04T12:11:45.000","Crimes Against Society","18-6-401(1)(7)(b)(I) M2","Child Abuse - Knowingly/Recklessly  - NO Injury","90F","Family Offenses/Nonviolent","3802","Cruelty Toward Child","Yes",,,,,
"2017-00022377","2017-05-28T09:00:00.000","2017-05-28T09:00:00.000","2017-06-19T10:18:27.000","Cleared by Arrest","2017-06-19T00:00:00.000","Crimes Against Society","18-2-201 (1) F","Conspiracy to Commit Crime - Felony","90Z","All Other Offenses","7399","Public Order Crimes","No",,"FOUNTAIN",,,
"2018-00081923","2018-04-15T12:30:00.000","2018-04-15T12:30:00.000","2018-04-17T12:47:03.000","Open","2018-04-18T00:00:00.000","Crimes Against Property","18-4-401(2)(c) M3(02)","Theft -$50 to $299, From Building","23D","Theft From Building","2308","Larceny-From Building",,,,,,
"2020-00006621","2019-08-01T15:37:00.000","2019-11-01T15:37:00.000","2020-02-12T18:57:05.000","Open","2020-03-04T00:00:00.000","Crimes Against Society","18-7-202(1)(a) M3","Soliciting for Prostitution","40A","Prostitution","4004","Prostitution","No",,,,,
"2017-00016862","2017-05-05T21:00:00.000","2017-05-05T21:30:00.000","2017-05-06T17:36:09.000","Open","2017-05-06T17:36:09.000","Crimes Against Society","18-6-803.5(1)(a) M2","Violation of a Protection Order","90Z","All Other Offenses","5005","Contempt of Court","Yes",,"COLORADO SPRINGS",,,
"2017-00011821","2017-03-27T22:20:00.000","2017-03-27T22:30:00.000","2017-03-28T22:35:00.000","Person Returned","2017-03-28T22:35:00.000","Not A Crime","Runaway","Runaway Reports","90I","Runaway","3850","Runaway","No","7100 BATTLE MOUNTAIN RD","COLORADO SPRINGS","80922","POINT (-104.695792 38.873488)",
"2018-00044773","2018-12-02T09:08:00.000","2018-12-02T09:45:00.000","2018-12-02T21:36:04.000","Cleared by Arrest","2018-12-02T00:00:00.000","Crimes Against Society","42-4-1402(1)(2)(a) MT2 (2)","Careless Driving-Accident","99","Not Reportable",,,"No",,,,,
"2017-00034839","2017-09-24T23:10:00.000","2017-09-24T23:30:00.000","2017-09-24T23:11:29.000","Cleared by Arrest","2017-09-25T00:00:00.000","Crimes Against Society","42-4-1401(1) MT2","Reckless driving","99","Not Reportable",,,"No","1300 W 24","COLORADO SPRINGS","80904",,
"2017-00006329","2017-02-12T14:30:00.000","2017-02-12T15:15:00.000","2017-02-12T16:17:50.000","Open","2017-02-12T16:17:50.000","Crimes Against Property","18-4-502 F5 (1)","1st Degree Criminal Trespass - Automobile","23F","Theft From Motor Vehicle","2305","Larceny From Auto","No",,"COLORADO SPRINGS",,,
"2017-00015023","2017-04-22T02:00:00.000","2017-04-22T02:30:00.000","2017-04-22T02:30:49.000","Cleared by Arrest","2017-04-22T00:00:00.000","Crimes Against Society","4.2.102","PARK HOURS","90J","Trespass of Real Property","5707","Trespassing (describe offense)","No",,"COLORADO SPRINGS",,,
"2017-00005605","2017-02-07T01:55:00.000","2017-02-07T01:55:00.000","2017-02-07T01:55:00.000","Cleared by Arrest","2017-02-07T00:00:00.000","Crimes Against Property","18-4-401(2)(b) PO1(05)","Theft - Less than $50, Shoplifting","23C","Shoplifting","2303","Shoplifting",,,"Colorado Springs",,,
"2021-00007547","2018-01-01T00:00:00.000","2021-02-16T11:58:00.000","2021-02-18T15:34:17.000","Open","2021-07-13T00:00:00.000","Crimes Against Society","18-6-803.5(1)(a) M2","Violation of a Protection Order","90Z","All Other Offenses","5005","Contempt of Court","Yes",,,,,"Sand Creek"
"2017-00001244","2017-01-03T09:15:00.000","2017-01-03T09:15:00.000","2017-01-03T09:21:00.000","Cleared by Arrest","2017-01-04T00:00:00.000","Crimes Against Persons","9.2.109","Assault","13B","Simple Assault","1313","Simple Assault","No",,"COLORADO SPRINGS",,,
"2016-00050598","2016-12-25T00:15:00.000","2016-12-25T00:37:00.000","2016-12-25T00:38:35.000","Cleared by Arrest","2016-12-27T00:00:00.000","Crimes Against Society","18-9-111(1)(a) M3","Harassment - Strike, Shove, or Kick","90Z","All Other Offenses","5309","Harassing Communication","Yes",,,,,
"2021-00008232","2021-02-24T08:00:00.000","2021-02-24T08:53:00.000","2021-02-24T08:53:44.000","Cleared by Arrest","2021-03-21T00:00:00.000","Crimes Against Persons","18-3-303(1) M2","False Imprisonment","100","Kidnapping/Abduction","1008","Abduct-No Ransom or Assault","Yes",,,,,"Falcon"
"2016-20498290","2016-11-10T22:53:00.000","2016-11-10T22:53:00.000","2016-11-10T22:53:00.000","Cleared by Arrest","2016-11-11T00:00:00.000","Crimes Against Society","9.2.107","HARASSMENT","90Z","All Other Offenses","5309","Harassing Communication",,,"COLORADO SPRINGS",,,
"2016-00040212","2016-10-08T20:30:00.000","2016-10-09T22:33:00.000","2016-10-08T22:33:10.000","Open","2016-10-09T00:00:00.000","Crimes Against Property","18-4-501(1) M3(1)","Criminal Mischief under $300-Business","290","Destruction/Damage/Vandalism of Property","2901","Damage Property-Business","No",,"COLORADO SPRINGS",,,
"2020-00012127","2020-03-29T02:13:00.000","2020-03-29T02:15:00.000","2020-03-29T02:16:49.000","Open","2020-03-29T02:16:49.000","Crimes Against Property","9.6.401","SHOPLIFTING","23C","Shoplifting","2303","Shoplifting","No","500 WOOTEN RD","COLORADO SPRINGS","80915","POINT (-104.738745 38.83994)","Sand Creek"
"2020-00084532","2020-11-12T05:03:00.000","2020-11-12T17:35:00.000","2020-11-12T17:47:59.000","Open","2020-11-12T00:00:00.000","Crimes Against Society","9.2.107","HARASSMENT","90Z","All Other Offenses",,,,"1600 LENMAR DR","COLORADO SPRINGS","80905","POINT (-104.811136 38.809072)","Gold Hill"
"2016-00027871","2016-07-15T15:18:00.000","2016-07-15T15:18:00.000","2016-07-15T17:27:53.000","Cleared by Arrest","2016-07-21T00:00:00.000","Crimes Against Society","18-7-201(1) M3","Prostitution","40A","Prostitution","4004","Prostitution","No",,"Cascade","80908","POINT (-104.698606 39.035907)",
"2020-00002294","2020-01-09T06:45:00.000","2020-01-09T06:45:00.000","2020-01-10T16:45:42.000","Person Returned","2020-01-21T00:00:00.000","Not A Crime","Runaway","Runaway Reports","90I","Runaway","3850","Runaway","No",,,,,"Gold Hill"
"2017-00025225","2017-07-11T20:10:00.000","2017-07-11T20:11:00.000","2017-07-11T20:11:00.000","Cleared by Arrest","2017-07-12T00:00:00.000","Crimes Against Society","42-3-114 TIB","Expiration - displayed expired license plates","99","Not Reportable",,,"No",,"COLORADO SPRINGS",,,
"2016-00024871","2016-06-23T20:00:00.000","2016-06-23T20:00:00.000","2016-06-24T17:55:31.000","Person Returned","2016-07-11T00:00:00.000","Not A Crime","Runaway","Runaway Reports","90I","Runaway","3850","Runaway","No","1900 W YAMPA ST","COLORADO SPRINGS","80904",,
"2016-00023500","2016-06-14T07:00:00.000","2016-06-14T12:00:00.000","2016-06-14T15:15:57.000","Open","2016-06-14T15:15:57.000","Crimes Against Society","18-6-401(1)(a)(7)(a) M2","Child Abuse - Criminal Negligence - Any Injury Other than SBI","90F","Family Offenses/Nonviolent","3802","Cruelty Toward Child","No",,,,,
"2016-00011406","2016-03-17T15:08:00.000","2016-03-17T15:08:00.000","2016-03-17T15:08:23.000","Cleared by Arrest","2016-03-20T00:00:00.000","Crimes Against Society","9.2.107","HARASSMENT","90Z","All Other Offenses","5309","Harassing Communication",,,"COLORADO SPRINGS",,,
"2019-00004074","2019-02-01T11:10:00.000","2019-02-01T11:20:00.000","2019-02-01T11:22:01.000","Open","2019-02-01T11:22:01.000","Crimes Against Persons","18-3-204(1)(a) M1","3rd Degree Assault - BI to Another - Simple Assault","13B","Simple Assault","1313","Simple Assault","No",,,,,"Gold Hill"
"2016-00008797","2016-02-26T18:00:00.000","2016-02-26T19:00:00.000","2016-02-27T14:23:16.000","Open","2016-02-27T14:23:16.000","Crimes Against Property","18-4-401(2)(b) PO1(01)","Theft - Less than $50, Not Otherwise Classified","23H","All Other Larceny","2399","Larceny (Describe Offense)",,,"COLORADO SPRINGS",,,
"2016-00005835","2016-01-18T00:00:00.000","2016-01-29T12:40:00.000","2016-02-06T12:03:08.000","Open","2016-02-06T12:03:08.000","Crimes Against Society","9.2.107","HARASSMENT","90Z","All Other Offenses","5309","Harassing Communication","No",,,,,"Falcon"
"2016-00005671","2016-02-04T16:42:00.000","2016-02-04T20:20:00.000","2016-02-04T20:31:24.000","Open","2016-02-05T00:00:00.000","Crimes Against Society","18-9-111(1)(f) M3","Harassment - Phone Calls","90Z","All Other Offenses","5309","Harassing Communication","Yes",,"COLORADO SPRINGS",,,
"2016-00001718","2015-01-01T12:00:00.000","2015-01-01T12:00:00.000","2016-01-06T16:52:02.000","Open","2016-01-22T00:00:00.000","Crimes Against Persons","18-3-405.3(2)(b) F3","Sexual Assault on a Child - Position of Trust, Victim under 15 - Pattern of Abuse","11A","Forcible Rape","1103","Rape-Strong Arm",,,,,,
"2021-00007811","2021-02-20T06:00:00.000","2021-02-20T06:20:00.000","2021-02-20T17:49:31.000","Open","2021-02-20T17:49:31.000","Crimes Against Property","18-4-502 F5 (1)","1st Degree Criminal Trespass - Automobile","23F","Theft From Motor Vehicle","2305","Larceny From Auto","No",,,,,"Sand Creek"
"2021-00041857","2021-11-06T16:41:00.000","2021-11-06T16:41:00.000","2021-11-06T16:44:00.000","Person Returned","2021-11-07T00:00:00.000","Not A Crime","Runaway","Runaway Reports","90I","Runaway","3850","Runaway","No","5100 AIRPORT RD","COLORADO SPRINGS","80916","POINT (-104.734287 38.825215)","Sand Creek"
"2017-00036369","2017-10-05T19:00:00.000","2017-10-05T20:00:00.000","2017-10-06T13:11:42.000","Cleared by Arrest","2017-10-09T00:00:00.000","Crimes Against Persons","18-3-204(1)(a) M1","3rd Degree Assault - BI to Another - Simple Assault","13B","Simple Assault","1313","Simple Assault","No",,,,,"Sand Creek"
"2019-00001089","2019-01-09T06:00:00.000","2019-01-09T13:00:00.000","2019-01-09T13:04:03.000","Open","2019-01-09T13:04:03.000","Crimes Against Property","18-4-401(2)(f) F6 (04)","Theft - $2000 to $4999, From Automobile","23F","Theft From Motor Vehicle","2305","Larceny From Auto","No",,,,,"Sand Creek"
"2019-00044403","2019-11-27T10:00:00.000","2019-11-27T15:30:00.000","2019-11-27T15:30:57.000","Cleared by Arrest","2019-11-27T15:30:57.000","Crimes Against Society","18-6-803.5(2)(a) M1","Violation of a Protection Order - MPO","90Z","All Other Offenses","5005","Contempt of Court","Yes",,,,,"Sand Creek"
"2016-00030455","2016-07-25T15:20:00.000","2016-07-25T15:20:00.000","2016-08-02T10:18:57.000","Open","2016-08-04T00:00:00.000","Crimes Against Property","9.6.401","SHOPLIFTING","23C","Shoplifting","2303","Shoplifting","No","6500 ACADEMY BLVD","COLORADO SPRINGS","80906",,
"2021-00081800","2021-02-21T18:25:00.000","2021-02-21T18:25:00.000","2021-02-21T18:29:43.000","Open","2021-02-21T00:00:00.000","Crimes Against Society","9.2.107","HARASSMENT","90Z","All Other Offenses",,,,"2000 E BIJOU ST","COLORADO SPRINGS","80909",,
"2016-00001973","2016-01-08T12:30:00.000","2016-01-08T12:36:00.000","2016-01-08T12:36:31.000","Cleared by Arrest","2016-01-08T12:36:31.000","Crimes Against Society","18-9-111(1)(b) M3","Harassment - Obscene Words or Gesture","90Z","All Other Offenses","5309","Harassing Communication","No",,,,,"Sand Creek"
"2016-00014477","2016-04-10T13:30:00.000","2016-04-10T13:54:00.000","2016-04-10T13:55:59.000","Cleared by Arrest","2016-04-10T13:55:59.000","Crimes Against Society","18-9-111(1)(a) M3","Harassment - Strike, Shove, or Kick","90Z","All Other Offenses","5309","Harassing Communication","Yes",,,,,"Falcon"
"2019-00018503","2019-05-23T01:18:00.000","2019-05-23T01:19:00.000","2019-05-23T01:19:35.000","Open","2019-05-23T01:19:35.000","Crimes Against Society","42-4-1101 TIA","Speed Limits Exceeded","99","Not Reportable",,,"No",,"COLORADO SPRINGS",,,
"2017-00001131","2016-12-30T09:30:00.000","2017-01-02T08:45:00.000","2017-01-02T08:07:39.000","Person Returned","2017-01-03T00:00:00.000","Not A Crime","Runaway","Runaway Reports","90I","Runaway","3850","Runaway","No","1900 W YAMPA ST","COLORADO SPRINGS","80904",,
"2017-00001023","2017-01-01T02:00:00.000","2017-01-01T02:40:00.000","2017-01-01T02:40:48.000","Open","2017-01-01T02:40:48.000","Crimes Against Persons","18-3-204(1)(a) M1","3rd Degree Assault - BI to Another - Simple Assault","13B","Simple Assault","1313","Simple Assault",,,,,,"Falcon"
"2016-00033872","2016-08-25T18:30:00.000","2016-08-25T18:30:00.000","2016-08-25T18:32:16.000","Cleared by Arrest","2016-08-25T18:32:16.000","Crimes Against Society","18-9-111(1)(a) M3","Harassment - Strike, Shove, or Kick","90Z","All Other Offenses","5309","Harassing Communication","Yes",,,,,"Sand Creek"
"2016-00033838","2016-07-01T00:00:00.000","2016-07-31T00:00:00.000","2016-08-25T11:58:37.000","Open","2016-11-23T00:00:00.000","Crimes Against Persons","18-6-302(1)(b) F3","Aggravated Incest - Relative under Age of 10","36A","Incest","3604","Incest with Minor","No",,,,,"Gold Hill"
"2020-00013989","2020-04-15T17:42:00.000","2020-04-15T17:49:00.000","2020-04-15T18:00:13.000","Open","2020-04-15T18:00:13.000","Crimes Against Property","9.6.401","SHOPLIFTING","23C","Shoplifting","2303","Shoplifting","No",,,,,"Falcon"
"2020-00002024","2019-01-07T00:46:00.000","2019-01-07T00:48:00.000","2020-01-08T17:47:08.000","Warrant","2020-01-08T17:47:08.000","Crimes Against Property","18-4-409 (2)(a) F5","Agg MVT 1st Degree-Possession over 24 hours Less than $20,000","240","Motor Vehicle Theft","2404","Vehicle Theft","No",,,,,"Falcon"
"2019-00035014","2019-09-19T13:00:00.000","2019-09-19T20:00:00.000","2019-09-19T22:38:04.000","Open","2019-09-20T00:00:00.000","Crimes Against Persons","18-3-402(4)(a) F3 (03)","Sexual Assault Physical Force - Strong Arm","11A","Forcible Rape","1103","Rape-Strong Arm","Yes",,,,,"Sand Creek"
"2016-00009831","2016-03-06T02:00:00.000","2016-03-06T02:00:00.000","2016-03-06T14:19:52.000","Open","2016-03-06T14:19:52.000","Crimes Against Society","18-9-111(1)(a) M3","Harassment - Strike, Shove, or Kick","90Z","All Other Offenses","5309","Harassing Communication","Yes",,,,,"Gold Hill"
"2017-00022417","2017-06-19T15:50:00.000","2017-06-19T15:50:00.000","2017-06-19T15:55:59.000","Cleared by Arrest","2017-06-19T15:55:59.000","Crimes Against Society","18-9-111(1)(a) M3","Harassment - Strike, Shove, or Kick","90Z","All Other Offenses","5309","Harassing Communication","Yes",,,,,"Gold Hill"
