"budget_line_code","fiscal_year","function","dept_name","fund","appropriation","budget_unit_code","budget_unit","object_class","gov_recommendation","dept_request","adopted_budget"
"2010-0295-048H-54348HA-05A","2010","Capital","Natural Resources Capital","0295 - Environment First Fund","048H - Water Quantity","54348HA","Water Quantity","05A - Appropriation","495000","495000","495000"
"2010-0295-049G-54349GA-05A","2010","Capital","Natural Resources Capital","0295 - Environment First Fund","049G - Global Climate Change","54349GA","Global Climate Change Council","05A - Appropriation","0","150000","0"
"2010-0295-050H-54350HA-05A","2010","Capital","Natural Resources Capital","0295 - Environment First Fund","050H - Resource Conservation and Development","54350HA","Resource Conservation & Development","05A - Appropriation","0","150000","250000"
"2010-0295-052H-54352HA-05A","2010","Capital","Natural Resources Capital","0295 - Environment First Fund","052H - Park Operations & Maintenance","54352HA","Park Operations & Maintain.","05A - Appropriation","2470000","2470000","2470000"
"2011-0017-0HA6-5430HA6-05A","2011","Capital","Natural Resources Capital","0017 - Rebuild Iowa Infrastructure Fund","0HA6 - Parks Capital Projects","5430HA6","Parks Captial Projects","05A - Appropriation","0","8000000","0"
"2011-0017-0HA9-5430HA9-05A","2011","Capital","Natural Resources Capital","0017 - Rebuild Iowa Infrastructure Fund","0HA9 - Rock Creek Permanent Shelter","5430HA9","Rock Creek Permanent Shelter","05A - Appropriation","0","0","40000"
"2011-006D-0HA7-5430HA7-05A","2011","Capital","Natural Resources Capital","006D - Revenue Bonds Capitals II Fund","0HA7 - Lake Restoration & Dredging","5430HA7","Lake Restoration & Dredging","05A - Appropriation","2000000","0","3000000"
"2011-006D-0HB1-5430HB1-05A","2011","Capital","Natural Resources Capital","006D - Revenue Bonds Capitals II Fund","0HB1 - State Parks Infrastructure Improvements","5430HB1","State Parks Infrastructure Improvements","05A - Appropriation","0","0","5000000"
"2011-0295-003H-54303HA-05A","2011","Capital","Natural Resources Capital","0295 - Environment First Fund","003H - GIS Information for Watershed","54303HA","Gis Information For Watershed","05A - Appropriation","195000","195000","195000"
"2011-0295-004H-54304HA-05A","2011","Capital","Natural Resources Capital","0295 - Environment First Fund","004H - Water Quality Monitoring","54304HA","Water Quality Monitoring","05A - Appropriation","2955000","3205000","2955000"
"2011-0295-005H-54305HA-05A","2011","Capital","Natural Resources Capital","0295 - Environment First Fund","005H - Volunteers and Keepers of Land","54305HA","Volunteers  & Keepeers Of Land","05A - Appropriation","100000","100000","100000"
"2011-0295-016H-54316HA-05A","2011","Capital","Natural Resources Capital","0295 - Environment First Fund","016H - Animal Feeding Operations","54316HA","Animal Feeding Operations","05A - Appropriation","608400","360000","608400"
"2011-0295-017H-54317HA-05A","2011","Capital","Natural Resources Capital","0295 - Environment First Fund","017H - Air Quality Monitoring - ambient","54317HA","Air Quality Monitoring -Livestock","05A - Appropriation","425000","425000","425000"
"2011-0295-032H-54332HA-05A","2011","Capital","Natural Resources Capital","0295 - Environment First Fund","032H - Water Quality Protection","54332HA","Water Quality Protection","05A - Appropriation","500000","500000","500000"
"2011-0295-041H-54341HA-05A","2011","Capital","Natural Resources Capital","0295 - Environment First Fund","041H - REAP","54341HA","Reap","05A - Appropriation","12000000","18000000","15000000"
"2011-0295-048H-54348HA-05A","2011","Capital","Natural Resources Capital","0295 - Environment First Fund","048H - Water Quantity","54348HA","Water Quantity","05A - Appropriation","495000","495000","495000"
"2011-0295-050H-54350HA-05A","2011","Capital","Natural Resources Capital","0295 - Environment First Fund","050H - Resource Conservation and Development","54350HA","Resource Conservation & Development","05A - Appropriation","0","0","150000"
"2011-0295-052H-54352HA-05A","2011","Capital","Natural Resources Capital","0295 - Environment First Fund","052H - Park Operations & Maintenance","54352HA","Park Operations & Maintain.","05A - Appropriation","4000000","2470000","2470000"
"2011-0433-0HA5-5430HA5-05A","2011","Capital","Natural Resources Capital","0433 - Revenue Bonds Capitals Fund","0HA5 - Lake Restoration & Dredging","5430HA5","Lake Restoration & Dredging","05A - Appropriation","0","0","7000000"
"2012-0017-030H-54330HA-05A","2012","Capital","Natural Resources Capital","0017 - Rebuild Iowa Infrastructure Fund","030H - State Parks Infrastructure Renovations","54330HA","State Parks Infrastructure Renovations","05A - Appropriation","5000000","5000000","5000000"
"2012-0017-039H-54339HA-05A","2012","Capital","Natural Resources Capital","0017 - Rebuild Iowa Infrastructure Fund","039H - DNR Lakes Restoration & Water Quality","54339HA","DNR Lakes Restoration & Water Quality","05A - Appropriation","8600000","8600000","5459000"
"2012-0295-003H-54303HA-05A","2012","Capital","Natural Resources Capital","0295 - Environment First Fund","003H - GIS Information for Watershed","54303HA","Gis Information For Watershed","05A - Appropriation","195000","195000","195000"
"2012-0295-004H-54304HA-05A","2012","Capital","Natural Resources Capital","0295 - Environment First Fund","004H - Water Quality Monitoring","54304HA","Water Quality Monitoring","05A - Appropriation","2955000","2955000","2955000"
"2012-0295-005H-54305HA-05A","2012","Capital","Natural Resources Capital","0295 - Environment First Fund","005H - Volunteers and Keepers of Land","54305HA","Volunteers  & Keepeers Of Land","05A - Appropriation","100000","100000","100000"
"2012-0295-016H-54316HA-05A","2012","Capital","Natural Resources Capital","0295 - Environment First Fund","016H - Animal Feeding Operations","54316HA","Animal Feeding Operations","05A - Appropriation","420000","608400","420000"
"2012-0295-017H-54317HA-05A","2012","Capital","Natural Resources Capital","0295 - Environment First Fund","017H - Air Quality Monitoring - ambient","54317HA","Air Quality Monitoring -Livestock","05A - Appropriation","425000","425000","425000"
"2012-0295-032H-54332HA-05A","2012","Capital","Natural Resources Capital","0295 - Environment First Fund","032H - Water Quality Protection","54332HA","Water Quality Protection","05A - Appropriation","500000","500000","500000"
"2012-0295-041H-54341HA-05A","2012","Capital","Natural Resources Capital","0295 - Environment First Fund","041H - REAP","54341HA","Reap","05A - Appropriation","11500000","15000000","12000000"
"2012-0295-048H-54348HA-05A","2012","Capital","Natural Resources Capital","0295 - Environment First Fund","048H - Water Quantity","54348HA","Water Quantity","05A - Appropriation","495000","495000","495000"
"2012-0295-052H-54352HA-05A","2012","Capital","Natural Resources Capital","0295 - Environment First Fund","052H - Park Operations & Maintenance","54352HA","Park Operations & Maintain.","05A - Appropriation","2910000","2620000","3210000"
"2012-0295-0HB2-543HB2A-05A","2012","Capital","Natural Resources Capital","0295 - Environment First Fund","0HB2 - Geological And Water Survey","543HB2A","Geological And Water Survey","05A - Appropriation","0","0","200000"
"2012-0295-0HB3-543HB3A-05A","2012","Capital","Natural Resources Capital","0295 - Environment First Fund","0HB3 - Forestry Health Management","543HB3A","Forestry Health Management Programs","05A - Appropriation","0","0","100000"
"2013-0017-30H-54330HA-05A","2013","Capital","Natural Resources Capital","0017 - Rebuild Iowa Infrastructure Fund","30H - State Parks Infrastructure Renovations","54330HA","State Parks Infrastructure Renovations","05A - Appropriation","0","0","5000000"
"2013-0017-30H-54330HA-05P","2013","Capital","Natural Resources Capital","0017 - Rebuild Iowa Infrastructure Fund","30H - State Parks Infrastructure Renovations","54330HA","State Parks Infrastructure Renovations","05P - Previously Enacted Appropriation","5000000","5000000","0"
"2013-0017-39H-54339HA-05A","2013","Capital","Natural Resources Capital","0017 - Rebuild Iowa Infrastructure Fund","39H - DNR Lakes Restoration & Water Quality","54339HA","DNR Lakes Restoration & Water Quality","05A - Appropriation","5459000","5459000","6000000"
"2013-0017-8H2-54308H2-05A","2013","Capital","Natural Resources Capital","0017 - Rebuild Iowa Infrastructure Fund","8H2 - Lake Delhi Improvements","54308H2","Lake Delhi Improvements","05A - Appropriation","2500000","0","2500000"
"2013-0017-HA1-5430HA1-05A","2013","Capital","Natural Resources Capital","0017 - Rebuild Iowa Infrastructure Fund","HA1 - Water Trails & Low Head Dam","5430HA1","Floodplain Management/Dam Sfety","05A - Appropriation","0","0","1000000"
"2013-0295-03H-54303HA-05A","2013","Capital","Natural Resources Capital","0295 - Environment First Fund","03H - GIS Information for Watershed","54303HA","Gis Information For Watershed","05A - Appropriation","97500","97500","195000"
"2013-0295-03H-54303HA-05P","2013","Capital","Natural Resources Capital","0295 - Environment First Fund","03H - GIS Information for Watershed","54303HA","Gis Information For Watershed","05P - Previously Enacted Appropriation","97500","97500","0"
"2013-0295-04H-54304HA-05A","2013","Capital","Natural Resources Capital","0295 - Environment First Fund","04H - Water Quality Monitoring","54304HA","Water Quality Monitoring","05A - Appropriation","1477500","1477500","2955000"
"2013-0295-04H-54304HA-05P","2013","Capital","Natural Resources Capital","0295 - Environment First Fund","04H - Water Quality Monitoring","54304HA","Water Quality Monitoring","05P - Previously Enacted Appropriation","1477500","1477500","0"
"2013-0295-05H-54305HA-05A","2013","Capital","Natural Resources Capital","0295 - Environment First Fund","05H - Volunteers and Keepers of Land","54305HA","Volunteers  & Keepeers Of Land","05A - Appropriation","50000","50000","100000"
"2013-0295-05H-54305HA-05P","2013","Capital","Natural Resources Capital","0295 - Environment First Fund","05H - Volunteers and Keepers of Land","54305HA","Volunteers  & Keepeers Of Land","05P - Previously Enacted Appropriation","50000","50000","0"
"2013-0295-16H-54316HA-05A","2013","Capital","Natural Resources Capital","0295 - Environment First Fund","16H - Animal Feeding Operations","54316HA","Animal Feeding Operations","05A - Appropriation","210000","210000","620000"
"2013-0295-16H-54316HA-05P","2013","Capital","Natural Resources Capital","0295 - Environment First Fund","16H - Animal Feeding Operations","54316HA","Animal Feeding Operations","05P - Previously Enacted Appropriation","210000","210000","0"
"2013-0295-17H-54317HA-05A","2013","Capital","Natural Resources Capital","0295 - Environment First Fund","17H - Air Quality Monitoring - ambient","54317HA","Air Quality Monitoring -Livestock","05A - Appropriation","212500","212500","425000"
"2013-0295-17H-54317HA-05P","2013","Capital","Natural Resources Capital","0295 - Environment First Fund","17H - Air Quality Monitoring - ambient","54317HA","Air Quality Monitoring -Livestock","05P - Previously Enacted Appropriation","212500","212500","0"
"2013-0295-32H-54332HA-05A","2013","Capital","Natural Resources Capital","0295 - Environment First Fund","32H - Water Quality Protection","54332HA","Water Quality Protection","05A - Appropriation","250000","250000","500000"
"2013-0295-32H-54332HA-05P","2013","Capital","Natural Resources Capital","0295 - Environment First Fund","32H - Water Quality Protection","54332HA","Water Quality Protection","05P - Previously Enacted Appropriation","250000","250000","0"
"2013-0295-41H-54341HA-05A","2013","Capital","Natural Resources Capital","0295 - Environment First Fund","41H - REAP","54341HA","Reap","05A - Appropriation","12000000","12000000","12000000"
"2013-0295-48H-54348HA-05A","2013","Capital","Natural Resources Capital","0295 - Environment First Fund","48H - Water Quantity","54348HA","Water Quantity","05A - Appropriation","247500","247500","495000"
"2013-0295-48H-54348HA-05P","2013","Capital","Natural Resources Capital","0295 - Environment First Fund","48H - Water Quantity","54348HA","Water Quantity","05P - Previously Enacted Appropriation","247500","247500","0"
"2013-0295-52H-54352HA-05A","2013","Capital","Natural Resources Capital","0295 - Environment First Fund","52H - Park Operations & Maintenance","54352HA","Park Operations & Maintain.","05A - Appropriation","1605000","1605000","3710000"
"2013-0295-52H-54352HA-05P","2013","Capital","Natural Resources Capital","0295 - Environment First Fund","52H - Park Operations & Maintenance","54352HA","Park Operations & Maintain.","05P - Previously Enacted Appropriation","1605000","1605000","0"
"2013-0295-HB2-543HB2A-05A","2013","Capital","Natural Resources Capital","0295 - Environment First Fund","HB2 - Geological And Water Survey","543HB2A","Geological And Water Survey","05A - Appropriation","100000","100000","200000"
"2013-0295-HB2-543HB2A-05P","2013","Capital","Natural Resources Capital","0295 - Environment First Fund","HB2 - Geological And Water Survey","543HB2A","Geological And Water Survey","05P - Previously Enacted Appropriation","100000","100000","0"
"2013-0295-HB3-543HB3A-05A","2013","Capital","Natural Resources Capital","0295 - Environment First Fund","HB3 - Forestry Health Management","543HB3A","Forestry Health Management Programs","05A - Appropriation","50000","50000","0"
"2013-0295-HB3-543HB3A-05P","2013","Capital","Natural Resources Capital","0295 - Environment First Fund","HB3 - Forestry Health Management","543HB3A","Forestry Health Management Programs","05P - Previously Enacted Appropriation","50000","50000","0"
"2014-0017-30H-54330HA-05A","2014","Capital","Natural Resources Capital","0017 - Rebuild Iowa Infrastructure Fund","30H - State Parks Infrastructure Renovations","54330HA","State Parks Infrastructure Renovations","05A - Appropriation","5000000","5000000","5000000"
"2014-0017-39H-54339HA-05A","2014","Capital","Natural Resources Capital","0017 - Rebuild Iowa Infrastructure Fund","39H - DNR Lakes Restoration & Water Quality","54339HA","DNR Lakes Restoration & Water Quality","05A - Appropriation","1000000","6000000","8600000"
"2014-0017-8H2-54308H2-05A","2014","Capital","Natural Resources Capital","0017 - Rebuild Iowa Infrastructure Fund","8H2 - Lake Delhi Improvements","54308H2","Lake Delhi Improvements","05A - Appropriation","2500000","2500000","2500000"
"2014-0017-HA1-5430HA1-05A","2014","Capital","Natural Resources Capital","0017 - Rebuild Iowa Infrastructure Fund","HA1 - Water Trails & Low Head Dam","5430HA1","Floodplain Management/Dam Sfety","05A - Appropriation","0","1000000","0"
"2014-0017-HC7-543HC7A-05A","2014","Capital","Natural Resources Capital","0017 - Rebuild Iowa Infrastructure Fund","HC7 - Osceola Reservoir","543HC7A","Osceola Reservoir","05A - Appropriation","1000000","0","0"
"2015-0017-30H-54330HA-05A","2015","Capital","Natural Resources Capital","0017 - Rebuild Iowa Infrastructure Fund","30H - State Parks Infrastructure Renovations","54330HA","State Parks Infrastructure Renovations","05A - Appropriation","0","0","5000000"
"2015-0017-30H-54330HA-05P","2015","Capital","Natural Resources Capital","0017 - Rebuild Iowa Infrastructure Fund","30H - State Parks Infrastructure Renovations","54330HA","State Parks Infrastructure Renovations","05P - Previously Enacted Appropriation","5000000","5000000","0"
"2015-0017-39H-54339HA-05A","2015","Capital","Natural Resources Capital","0017 - Rebuild Iowa Infrastructure Fund","39H - DNR Lakes Restoration & Water Quality","54339HA","DNR Lakes Restoration & Water Quality","05A - Appropriation","8600000","8600000","9600000"
"2016-0017-30H-54330HA-05A","2016","Capital","Natural Resources Capital","0017 - Rebuild Iowa Infrastructure Fund","30H - State Parks Infrastructure Renovations","54330HA","State Parks Infrastructure Renovations","05A - Appropriation","0","5000000","5000000"
"2016-0017-39H-54339HA-05A","2016","Capital","Natural Resources Capital","0017 - Rebuild Iowa Infrastructure Fund","39H - DNR Lakes Restoration & Water Quality","54339HA","DNR Lakes Restoration & Water Quality","05A - Appropriation","9600000","9600000","9600000"
"2017-0017-30H-54330HA-05A","2017","Capital","Natural Resources Capital","0017 - Rebuild Iowa Infrastructure Fund","30H - State Parks Infrastructure Renovations","54330HA","State Parks Infrastructure Renovations","05A - Appropriation","3000000","5000000","3000000"
"2017-0017-39H-54339HA-05A","2017","Capital","Natural Resources Capital","0017 - Rebuild Iowa Infrastructure Fund","39H - DNR Lakes Restoration & Water Quality","54339HA","DNR Lakes Restoration & Water Quality","05A - Appropriation","9600000","9600000","9600000"
"2018-0017-30H-54330HA-05A","2018","Capital","Natural Resources Capital","0017 - Rebuild Iowa Infrastructure Fund","30H - State Parks Infrastructure Renovations","54330HA","State Parks Infrastructure Renovations","05A - Appropriation","3000000","3000000","2000000"
"2018-0017-39H-54339HA-05A","2018","Capital","Natural Resources Capital","0017 - Rebuild Iowa Infrastructure Fund","39H - DNR Lakes Restoration & Water Quality","54339HA","DNR Lakes Restoration & Water Quality","05A - Appropriation","9600000","9600000","9600000"
"2019-0017-30H-54330HA-05A","2019","Capital","Natural Resources Capital","0017 - Rebuild Iowa Infrastructure Fund","30H - State Parks Infrastructure Renovations","54330HA","State Parks Infrastructure Renovations","05A - Appropriation","2000000","3000000","2000000"
"2019-0017-39H-54339HA-05A","2019","Capital","Natural Resources Capital","0017 - Rebuild Iowa Infrastructure Fund","39H - DNR Lakes Restoration & Water Quality","54339HA","DNR Lakes Restoration & Water Quality","05A - Appropriation","9600000","9600000","9600000"
"2020-0017-30H-54330HA-05A","2020","Capital","Natural Resources Capital","0017 - Rebuild Iowa Infrastructure Fund","30H - State Parks Infrastructure Renovations","54330HA","State Parks Infrastructure Renovations","05A - Appropriation","2000000","3000000","2000000"
"2020-0017-39H-54339HA-05A","2020","Capital","Natural Resources Capital","0017 - Rebuild Iowa Infrastructure Fund","39H - DNR Lakes Restoration & Water Quality","54339HA","DNR Lakes Restoration & Water Quality","05A - Appropriation","9600000","9600000","9600000"
"2021-0017-30H-54330HA-05A","2021","Capital","Natural Resources Capital","0017 - Rebuild Iowa Infrastructure Fund","30H - State Parks Infrastructure Renovations","54330HA","State Parks Infrastructure Renovations","05A - Appropriation","1000000","2000000","1000000"
"2021-0017-39H-54339HA-05A","2021","Capital","Natural Resources Capital","0017 - Rebuild Iowa Infrastructure Fund","39H - DNR Lakes Restoration & Water Quality","54339HA","DNR Lakes Restoration & Water Quality","05A - Appropriation","4800000","9600000","8600000"
"2022-0017-30H-54330HA-05A","2022","Capital","Natural Resources Capital","0017 - Rebuild Iowa Infrastructure Fund","30H - State Parks Infrastructure Renovations","54330HA","State Parks Infrastructure Renovations","05A - Appropriation","2000000","2000000","2000000"
"2022-0017-33H-54333HA-05A","2022","Capital","Natural Resources Capital","0017 - Rebuild Iowa Infrastructure Fund","33H - Fort Atkinson State Park Preserve Renovations","54333HA","Fort Atkinson State Preserve Renovations","05A - Appropriation",,,"100000"
"2022-0017-39H-54339HA-05A","2022","Capital","Natural Resources Capital","0017 - Rebuild Iowa Infrastructure Fund","39H - DNR Lakes Restoration & Water Quality","54339HA","DNR Lakes Restoration & Water Quality","05A - Appropriation","9600000","9600000","9600000"
"2023-0017-30H-54330HA-05A","2023","Capital","Natural Resources Capital","0017 - Rebuild Iowa Infrastructure Fund","30H - State Parks Infrastructure Renovations","54330HA","State Parks Infrastructure Renovations","05A - Appropriation","4000000","2750000","5000000"
"2023-0017-33H-54333HA-05A","2023","Capital","Natural Resources Capital","0017 - Rebuild Iowa Infrastructure Fund","33H - Fort Atkinson State Park Preserve Renovations","54333HA","Fort Atkinson State Preserve Renovations","05A - Appropriation","0","0","350000"
"2023-0017-39H-54339HA-05A","2023","Capital","Natural Resources Capital","0017 - Rebuild Iowa Infrastructure Fund","39H - DNR Lakes Restoration & Water Quality","54339HA","DNR Lakes Restoration & Water Quality","05A - Appropriation","9600000","9600000","9600000"
