"monthenddate","majorgroup","majoroccupationalgrouptitle","claimants"
"2022-01-31T00:00:00.000","45-0000","Farming, Fishing, and Forestry","271"
"2022-01-31T00:00:00.000","47-0000","Construction and Extraction","8203"
"2022-01-31T00:00:00.000","49-0000","Installation, Maintenance, and Repair","732"
"2022-01-31T00:00:00.000","51-0000","Production","1828"
"2022-01-31T00:00:00.000","53-0000","Transportation and Material Moving","3556"
"2022-01-31T00:00:00.000","55-0000","Military Specific","3"
"2022-01-31T00:00:00.000","INA","Information Not Available","260"
"2021-12-31T00:00:00.000","11-0000","Management","1173"
"2021-12-31T00:00:00.000","13-0000","Business and Financial Operations","332"
"2021-12-31T00:00:00.000","15-0000","Computer and Mathematical","156"
"2021-12-31T00:00:00.000","17-0000","Architecture and Engineering","159"
"2021-12-31T00:00:00.000","19-0000","Life, Physical, and Social Science","119"
"2021-12-31T00:00:00.000","21-0000","Community and Social Service","74"
"2021-12-31T00:00:00.000","23-0000","Legal","21"
"2021-12-31T00:00:00.000","25-0000","Educational Instruction and Library","74"
"2021-12-31T00:00:00.000","27-0000","Arts, Design, Entertainment, Sports, and Media","131"
"2021-12-31T00:00:00.000","29-0000","Healthcare Practitioners and Technical","182"
"2021-12-31T00:00:00.000","31-0000","Healthcare Support","194"
"2021-12-31T00:00:00.000","33-0000","Protective Service","97"
"2021-12-31T00:00:00.000","35-0000","Food Preparation and Serving Related","574"
"2021-12-31T00:00:00.000","37-0000","Building and Grounds Cleaning and Maintenance","1455"
"2021-12-31T00:00:00.000","39-0000","Personal Care and Service","134"
"2021-12-31T00:00:00.000","41-0000","Sales and Related","480"
"2021-12-31T00:00:00.000","43-0000","Office and Administrative Support","1034"
"2021-12-31T00:00:00.000","45-0000","Farming, Fishing, and Forestry","155"
"2021-12-31T00:00:00.000","47-0000","Construction and Extraction","4536"
"2021-12-31T00:00:00.000","49-0000","Installation, Maintenance, and Repair","598"
"2021-12-31T00:00:00.000","51-0000","Production","1961"
"2021-12-31T00:00:00.000","53-0000","Transportation and Material Moving","1939"
"2021-12-31T00:00:00.000","55-0000","Military Specific","1"
"2021-12-31T00:00:00.000","INA","Information Not Available","247"
"2021-11-30T00:00:00.000","11-0000","Management","889"
"2021-11-30T00:00:00.000","13-0000","Business and Financial Operations","325"
"2021-11-30T00:00:00.000","15-0000","Computer and Mathematical","152"
"2021-11-30T00:00:00.000","17-0000","Architecture and Engineering","137"
"2021-11-30T00:00:00.000","19-0000","Life, Physical, and Social Science","66"
"2021-11-30T00:00:00.000","21-0000","Community and Social Service","67"
"2021-11-30T00:00:00.000","23-0000","Legal","24"
"2021-11-30T00:00:00.000","25-0000","Educational Instruction and Library","88"
"2021-11-30T00:00:00.000","27-0000","Arts, Design, Entertainment, Sports, and Media","106"
"2021-11-30T00:00:00.000","29-0000","Healthcare Practitioners and Technical","177"
"2021-11-30T00:00:00.000","31-0000","Healthcare Support","238"
"2021-11-30T00:00:00.000","33-0000","Protective Service","86"
"2021-11-30T00:00:00.000","35-0000","Food Preparation and Serving Related","387"
"2021-11-30T00:00:00.000","37-0000","Building and Grounds Cleaning and Maintenance","388"
"2021-11-30T00:00:00.000","39-0000","Personal Care and Service","124"
"2021-11-30T00:00:00.000","41-0000","Sales and Related","442"
"2021-11-30T00:00:00.000","43-0000","Office and Administrative Support","1000"
"2021-11-30T00:00:00.000","45-0000","Farming, Fishing, and Forestry","71"
"2021-11-30T00:00:00.000","47-0000","Construction and Extraction","1481"
"2021-11-30T00:00:00.000","49-0000","Installation, Maintenance, and Repair","414"
"2021-11-30T00:00:00.000","51-0000","Production","1628"
"2021-11-30T00:00:00.000","53-0000","Transportation and Material Moving","850"
"2021-11-30T00:00:00.000","55-0000","Military Specific","2"
"2021-11-30T00:00:00.000","INA","Information Not Available","224"
"2021-10-31T00:00:00.000","11-0000","Management","829"
"2021-10-31T00:00:00.000","13-0000","Business and Financial Operations","342"
"2021-10-31T00:00:00.000","15-0000","Computer and Mathematical","142"
"2021-10-31T00:00:00.000","17-0000","Architecture and Engineering","158"
"2021-10-31T00:00:00.000","19-0000","Life, Physical, and Social Science","54"
"2021-10-31T00:00:00.000","21-0000","Community and Social Service","68"
"2021-10-31T00:00:00.000","23-0000","Legal","22"
"2021-10-31T00:00:00.000","25-0000","Educational Instruction and Library","104"
"2021-10-31T00:00:00.000","27-0000","Arts, Design, Entertainment, Sports, and Media","105"
"2021-10-31T00:00:00.000","29-0000","Healthcare Practitioners and Technical","204"
"2021-10-31T00:00:00.000","31-0000","Healthcare Support","225"
"2021-10-31T00:00:00.000","33-0000","Protective Service","79"
"2021-10-31T00:00:00.000","35-0000","Food Preparation and Serving Related","397"
"2021-10-31T00:00:00.000","37-0000","Building and Grounds Cleaning and Maintenance","180"
"2021-10-31T00:00:00.000","39-0000","Personal Care and Service","120"
"2021-10-31T00:00:00.000","41-0000","Sales and Related","446"
"2021-10-31T00:00:00.000","43-0000","Office and Administrative Support","1024"
"2021-10-31T00:00:00.000","45-0000","Farming, Fishing, and Forestry","53"
"2021-10-31T00:00:00.000","47-0000","Construction and Extraction","951"
"2021-10-31T00:00:00.000","49-0000","Installation, Maintenance, and Repair","360"
"2021-10-31T00:00:00.000","51-0000","Production","1689"
"2021-10-31T00:00:00.000","53-0000","Transportation and Material Moving","702"
"2021-10-31T00:00:00.000","55-0000","Military Specific","3"
"2021-10-31T00:00:00.000","INA","Information Not Available","254"
"2021-09-30T00:00:00.000","11-0000","Management","920"
"2021-09-30T00:00:00.000","13-0000","Business and Financial Operations","383"
"2021-09-30T00:00:00.000","15-0000","Computer and Mathematical","162"
"2021-09-30T00:00:00.000","17-0000","Architecture and Engineering","154"
"2021-09-30T00:00:00.000","19-0000","Life, Physical, and Social Science","72"
"2021-09-30T00:00:00.000","21-0000","Community and Social Service","93"
"2021-09-30T00:00:00.000","23-0000","Legal","22"
"2021-09-30T00:00:00.000","25-0000","Educational Instruction and Library","129"
"2021-09-30T00:00:00.000","27-0000","Arts, Design, Entertainment, Sports, and Media","138"
"2021-09-30T00:00:00.000","29-0000","Healthcare Practitioners and Technical","238"
"2021-09-30T00:00:00.000","31-0000","Healthcare Support","263"
"2021-09-30T00:00:00.000","33-0000","Protective Service","89"
"2021-09-30T00:00:00.000","35-0000","Food Preparation and Serving Related","471"
"2021-09-30T00:00:00.000","37-0000","Building and Grounds Cleaning and Maintenance","213"
"2021-09-30T00:00:00.000","39-0000","Personal Care and Service","152"
"2021-09-30T00:00:00.000","41-0000","Sales and Related","541"
"2021-09-30T00:00:00.000","43-0000","Office and Administrative Support","1218"
"2021-09-30T00:00:00.000","45-0000","Farming, Fishing, and Forestry","63"
"2021-09-30T00:00:00.000","47-0000","Construction and Extraction","856"
"2021-09-30T00:00:00.000","49-0000","Installation, Maintenance, and Repair","393"
"2021-09-30T00:00:00.000","51-0000","Production","1701"
"2021-09-30T00:00:00.000","53-0000","Transportation and Material Moving","757"
"2021-09-30T00:00:00.000","55-0000","Military Specific","7"
"2021-09-30T00:00:00.000","INA","Information Not Available","289"
"2021-08-31T00:00:00.000","11-0000","Management","1303"
"2021-08-31T00:00:00.000","13-0000","Business and Financial Operations","526"
"2021-08-31T00:00:00.000","15-0000","Computer and Mathematical","221"
"2021-08-31T00:00:00.000","17-0000","Architecture and Engineering","204"
"2021-08-31T00:00:00.000","19-0000","Life, Physical, and Social Science","92"
"2021-08-31T00:00:00.000","21-0000","Community and Social Service","170"
"2021-08-31T00:00:00.000","23-0000","Legal","27"
"2021-08-31T00:00:00.000","25-0000","Educational Instruction and Library","553"
"2021-08-31T00:00:00.000","27-0000","Arts, Design, Entertainment, Sports, and Media","193"
"2021-08-31T00:00:00.000","29-0000","Healthcare Practitioners and Technical","326"
"2021-08-31T00:00:00.000","31-0000","Healthcare Support","381"
"2021-08-31T00:00:00.000","33-0000","Protective Service","153"
"2021-08-31T00:00:00.000","35-0000","Food Preparation and Serving Related","1111"
"2021-08-31T00:00:00.000","37-0000","Building and Grounds Cleaning and Maintenance","338"
"2021-08-31T00:00:00.000","39-0000","Personal Care and Service","237"
"2021-08-31T00:00:00.000","41-0000","Sales and Related","775"
"2021-08-31T00:00:00.000","43-0000","Office and Administrative Support","1730"
"2021-08-31T00:00:00.000","45-0000","Farming, Fishing, and Forestry","79"
"2021-08-31T00:00:00.000","47-0000","Construction and Extraction","962"
"2021-08-31T00:00:00.000","49-0000","Installation, Maintenance, and Repair","467"
"2021-08-31T00:00:00.000","51-0000","Production","1981"
"2021-08-31T00:00:00.000","53-0000","Transportation and Material Moving","1519"
"2021-08-31T00:00:00.000","55-0000","Military Specific","6"
"2021-08-31T00:00:00.000","INA","Information Not Available","384"
"2021-07-31T00:00:00.000","11-0000","Management","1554"
"2021-07-31T00:00:00.000","13-0000","Business and Financial Operations","565"
"2021-07-31T00:00:00.000","15-0000","Computer and Mathematical","238"
"2021-07-31T00:00:00.000","17-0000","Architecture and Engineering","240"
"2021-07-31T00:00:00.000","19-0000","Life, Physical, and Social Science","111"
"2021-07-31T00:00:00.000","21-0000","Community and Social Service","202"
"2021-07-31T00:00:00.000","23-0000","Legal","32"
"2021-07-31T00:00:00.000","25-0000","Educational Instruction and Library","722"
"2021-07-31T00:00:00.000","27-0000","Arts, Design, Entertainment, Sports, and Media","224"
"2021-07-31T00:00:00.000","29-0000","Healthcare Practitioners and Technical","366"
"2021-07-31T00:00:00.000","31-0000","Healthcare Support","406"
"2021-07-31T00:00:00.000","33-0000","Protective Service","160"
"2021-07-31T00:00:00.000","35-0000","Food Preparation and Serving Related","1556"
"2021-07-31T00:00:00.000","37-0000","Building and Grounds Cleaning and Maintenance","422"
"2021-07-31T00:00:00.000","39-0000","Personal Care and Service","249"
"2021-07-31T00:00:00.000","41-0000","Sales and Related","997"
"2021-07-31T00:00:00.000","43-0000","Office and Administrative Support","1928"
"2021-07-31T00:00:00.000","45-0000","Farming, Fishing, and Forestry","89"
"2021-07-31T00:00:00.000","47-0000","Construction and Extraction","1103"
"2021-07-31T00:00:00.000","49-0000","Installation, Maintenance, and Repair","551"
"2021-07-31T00:00:00.000","51-0000","Production","2238"
"2021-07-31T00:00:00.000","53-0000","Transportation and Material Moving","1738"
"2021-07-31T00:00:00.000","55-0000","Military Specific","12"
"2021-07-31T00:00:00.000","INA","Information Not Available","446"
"2021-06-30T00:00:00.000","11-0000","Management","2248"
"2021-06-30T00:00:00.000","13-0000","Business and Financial Operations","665"
"2021-06-30T00:00:00.000","15-0000","Computer and Mathematical","300"
"2021-06-30T00:00:00.000","17-0000","Architecture and Engineering","301"
"2021-06-30T00:00:00.000","19-0000","Life, Physical, and Social Science","131"
"2021-06-30T00:00:00.000","21-0000","Community and Social Service","218"
"2021-06-30T00:00:00.000","23-0000","Legal","41"
"2021-06-30T00:00:00.000","25-0000","Educational Instruction and Library","701"
"2021-06-30T00:00:00.000","27-0000","Arts, Design, Entertainment, Sports, and Media","293"
"2021-06-30T00:00:00.000","29-0000","Healthcare Practitioners and Technical","547"
"2021-06-30T00:00:00.000","31-0000","Healthcare Support","544"
"2021-06-30T00:00:00.000","33-0000","Protective Service","189"
"2021-06-30T00:00:00.000","35-0000","Food Preparation and Serving Related","2156"
"2021-06-30T00:00:00.000","37-0000","Building and Grounds Cleaning and Maintenance","593"
"2021-06-30T00:00:00.000","39-0000","Personal Care and Service","352"
"2021-06-30T00:00:00.000","41-0000","Sales and Related","1384"
"2021-06-30T00:00:00.000","43-0000","Office and Administrative Support","2384"
"2021-06-30T00:00:00.000","45-0000","Farming, Fishing, and Forestry","105"
"2021-06-30T00:00:00.000","47-0000","Construction and Extraction","1743"
"2021-06-30T00:00:00.000","49-0000","Installation, Maintenance, and Repair","716"
"2021-06-30T00:00:00.000","51-0000","Production","2901"
"2021-06-30T00:00:00.000","53-0000","Transportation and Material Moving","1956"
"2021-06-30T00:00:00.000","55-0000","Military Specific","11"
"2021-06-30T00:00:00.000","INA","Information Not Available","500"
"2021-05-31T00:00:00.000","11-0000","Management","2517"
"2021-05-31T00:00:00.000","13-0000","Business and Financial Operations","641"
"2021-05-31T00:00:00.000","15-0000","Computer and Mathematical","330"
"2021-05-31T00:00:00.000","17-0000","Architecture and Engineering","356"
"2021-05-31T00:00:00.000","19-0000","Life, Physical, and Social Science","165"
"2021-05-31T00:00:00.000","21-0000","Community and Social Service","217"
"2021-05-31T00:00:00.000","23-0000","Legal","45"
"2021-05-31T00:00:00.000","25-0000","Educational Instruction and Library","354"
"2021-05-31T00:00:00.000","27-0000","Arts, Design, Entertainment, Sports, and Media","312"
"2021-05-31T00:00:00.000","29-0000","Healthcare Practitioners and Technical","601"
"2021-05-31T00:00:00.000","31-0000","Healthcare Support","675"
"2021-05-31T00:00:00.000","33-0000","Protective Service","177"
"2021-05-31T00:00:00.000","35-0000","Food Preparation and Serving Related","2342"
"2021-05-31T00:00:00.000","37-0000","Building and Grounds Cleaning and Maintenance","809"
"2021-05-31T00:00:00.000","39-0000","Personal Care and Service","455"
"2021-05-31T00:00:00.000","41-0000","Sales and Related","1604"
"2021-05-31T00:00:00.000","43-0000","Office and Administrative Support","2646"
"2021-05-31T00:00:00.000","45-0000","Farming, Fishing, and Forestry","122"
"2021-05-31T00:00:00.000","47-0000","Construction and Extraction","2608"
"2021-05-31T00:00:00.000","49-0000","Installation, Maintenance, and Repair","805"
"2021-05-31T00:00:00.000","51-0000","Production","3444"
"2021-05-31T00:00:00.000","53-0000","Transportation and Material Moving","1895"
"2021-05-31T00:00:00.000","55-0000","Military Specific","4"
"2021-05-31T00:00:00.000","INA","Information Not Available","571"
"2021-04-30T00:00:00.000","11-0000","Management","2773"
"2021-04-30T00:00:00.000","13-0000","Business and Financial Operations","606"
"2021-04-30T00:00:00.000","15-0000","Computer and Mathematical","360"
"2021-04-30T00:00:00.000","17-0000","Architecture and Engineering","410"
"2021-04-30T00:00:00.000","19-0000","Life, Physical, and Social Science","169"
"2021-04-30T00:00:00.000","21-0000","Community and Social Service","228"
"2021-04-30T00:00:00.000","23-0000","Legal","46"
"2021-04-30T00:00:00.000","25-0000","Educational Instruction and Library","363"
"2021-04-30T00:00:00.000","27-0000","Arts, Design, Entertainment, Sports, and Media","341"
"2021-04-30T00:00:00.000","29-0000","Healthcare Practitioners and Technical","582"
"2021-04-30T00:00:00.000","31-0000","Healthcare Support","670"
"2021-04-30T00:00:00.000","33-0000","Protective Service","181"
"2021-04-30T00:00:00.000","35-0000","Food Preparation and Serving Related","2397"
"2021-04-30T00:00:00.000","37-0000","Building and Grounds Cleaning and Maintenance","1132"
"2021-04-30T00:00:00.000","39-0000","Personal Care and Service","502"
"2021-04-30T00:00:00.000","41-0000","Sales and Related","1717"
"2021-04-30T00:00:00.000","43-0000","Office and Administrative Support","2846"
"2021-04-30T00:00:00.000","45-0000","Farming, Fishing, and Forestry","164"
"2021-04-30T00:00:00.000","47-0000","Construction and Extraction","4561"
"2021-04-30T00:00:00.000","49-0000","Installation, Maintenance, and Repair","978"
"2021-04-30T00:00:00.000","51-0000","Production","4213"
"2021-04-30T00:00:00.000","53-0000","Transportation and Material Moving","3071"
"2021-04-30T00:00:00.000","55-0000","Military Specific","7"
"2021-04-30T00:00:00.000","INA","Information Not Available","658"
"2021-03-31T00:00:00.000","11-0000","Management","2736"
"2021-03-31T00:00:00.000","13-0000","Business and Financial Operations","570"
"2021-03-31T00:00:00.000","15-0000","Computer and Mathematical","356"
"2021-03-31T00:00:00.000","17-0000","Architecture and Engineering","474"
"2021-03-31T00:00:00.000","19-0000","Life, Physical, and Social Science","216"
"2021-03-31T00:00:00.000","21-0000","Community and Social Service","184"
"2021-03-31T00:00:00.000","23-0000","Legal","27"
"2021-03-31T00:00:00.000","25-0000","Educational Instruction and Library","264"
"2021-03-31T00:00:00.000","27-0000","Arts, Design, Entertainment, Sports, and Media","265"
"2021-03-31T00:00:00.000","29-0000","Healthcare Practitioners and Technical","524"
"2021-03-31T00:00:00.000","31-0000","Healthcare Support","600"
"2021-03-31T00:00:00.000","33-0000","Protective Service","169"
"2021-03-31T00:00:00.000","35-0000","Food Preparation and Serving Related","1227"
"2021-03-31T00:00:00.000","37-0000","Building and Grounds Cleaning and Maintenance","2194"
"2021-03-31T00:00:00.000","39-0000","Personal Care and Service","362"
"2021-03-31T00:00:00.000","41-0000","Sales and Related","1369"
"2021-03-31T00:00:00.000","43-0000","Office and Administrative Support","2414"
"2021-03-31T00:00:00.000","45-0000","Farming, Fishing, and Forestry","323"
"2021-03-31T00:00:00.000","47-0000","Construction and Extraction","9800"
"2021-03-31T00:00:00.000","49-0000","Installation, Maintenance, and Repair","1156"
"2021-03-31T00:00:00.000","51-0000","Production","4318"
"2021-03-31T00:00:00.000","53-0000","Transportation and Material Moving","5016"
