"event_event_name","division","event_record_type","dca_event_date","zip_code","event_county","number_of_adults","number_of_students","final_attendance","event_type","activity","fiscal_year","fips_county_code","primary_lat_dec","primary_long_dec","county_primary_point"
"History on the Move: Spring Break 2017","Museum","History Activity","2017-03-15T00:00:00.000","50319","Polk","15","10","25","Exhibit Activity","History on the Move (Public)","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"First In the Nation Traveling Display","Museum","History Activity","2015-11-09T00:00:00.000","50011","Story","150","0","150","Exhibit Activity","Mobile Exhibit","2016","19169","42.0362415","-93.4650448","POINT (-93.4650448 42.0362415)"
"History on the Move: Spring Break 2017","Museum","History Activity","2017-03-16T00:00:00.000","50319","Polk","48","39","87","Exhibit Activity","History on the Move (Public)","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"History on the Move: Spring Break 2017","Museum","History Activity","2017-03-18T00:00:00.000","50319","Polk","31","18","49","Exhibit Activity","History on the Move (Public)","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"First In the Nation Traveling Display","Museum","History Activity","2015-12-09T00:00:00.000","51501","Pottawattamie","720","0","720","Exhibit Activity","Mobile Exhibit","2016","19155","41.3366123","-95.5423935","POINT (-95.5423935 41.3366123)"
"First In the Nation Traveling Display","Museum","History Activity","2016-03-21T00:00:00.000","50732","Clinton","600","0","600","Exhibit Activity","Mobile Exhibit","2016","19045","41.8980358","-90.5319724","POINT (-90.5319724 41.8980358)"
"History on the Move: Le Claire","Museum","History Activity","2017-05-25T00:00:00.000","52753","Scott","4","82","86","Exhibit Activity","History on the Move (School)","2017","19163","41.6370978","-90.6232428","POINT (-90.6232428 41.6370978)"
"Rose Frantzen Artist-in-residence","Museum","History Activity","2016-06-09T00:00:00.000","50319","Polk","27","0","27","Exhibit Activity",,"2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"History on the Move: Iowa City","Museum","History Activity","2017-06-21T00:00:00.000","52240","Johnson","222","46","268","Exhibit Activity","History on the Move (Public)","2017","19103","41.6715511","-91.5880849","POINT (-91.5880849 41.6715511)"
"First In the Nation Traveling Display","Museum","History Activity","2016-01-16T00:00:00.000","52803","Scott","859","0","859","Exhibit Activity","Mobile Exhibit","2016","19163","41.6370978","-90.6232428","POINT (-90.6232428 41.6370978)"
"History on the Move: Spring Break 2017","Museum","History Activity","2017-03-14T00:00:00.000","50319","Polk","12","8","20","Exhibit Activity","History on the Move (Public)","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"First In the Nation Traveling Display","Museum","History Activity","2016-02-15T00:00:00.000","50125","Warren","2714","0","2714","Exhibit Activity","Mobile Exhibit","2016","19181","41.3343735","-93.5613594","POINT (-93.5613594 41.3343735)"
"Mobile History Tour","Museum","History Activity","2016-01-12T00:00:00.000",,"Boone","1","15","16","Exhibit Activity","Mobile Exhibit","2016","19015","42.0365493","-93.931671","POINT (-93.931671 42.0365493)"
"History on the Move: Winterset","Museum","History Activity","2017-04-10T00:00:00.000","50273","Madison","24","353","377","Exhibit Activity","History on the Move (School)","2017","19121","41.3307142","-94.0155619","POINT (-94.01556190000001 41.33071420000001)"
"First In the Nation Traveling Display","Museum","History Activity","2016-03-04T00:00:00.000","50614","Black Hawk","140","0","140","Exhibit Activity","Mobile Exhibit","2016","19013","42.4700957","-92.3088197","POINT (-92.3088197 42.4700957)"
"First In the Nation Traveling Display","Museum","History Activity","2016-01-30T00:00:00.000","51106","Woodbury","1654","0","1654","Exhibit Activity","Mobile Exhibit","2016","19193","42.3897169","-96.0447673","POINT (-96.0447673 42.3897169)"
"History on the Move: Wheatland","Museum","History Activity","2017-05-09T00:00:00.000","52777","Clinton","25","464","489","Exhibit Activity","History on the Move (School)","2017","19045","41.8980358","-90.5319724","POINT (-90.5319724 41.8980358)"
"First In the Nation Traveling Display","Museum","History Activity","2016-01-04T00:00:00.000","52101","Winneshiek","5736","0","5736","Exhibit Activity","Mobile Exhibit","2016","19191","43.2906746","-91.8437074","POINT (-91.8437074 43.2906746)"
"First In the Nation Traveling Display","Museum","History Activity","2016-04-18T00:00:00.000","52641","Henry","3066","0","3066","Exhibit Activity","Mobile Exhibit","2016","19087","40.9879383","-91.5445241","POINT (-91.5445241 40.9879383)"
"First In the Nation Traveling Display","Museum","History Activity","2015-11-10T00:00:00.000","50023","Polk","30","0","30","Exhibit Activity","Mobile Exhibit","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"History on the Move: Le Claire","Museum","History Activity","2017-05-26T00:00:00.000","52753","Scott","507","151","658","Exhibit Activity","History on the Move (Public)","2017","19163","41.6370978","-90.6232428","POINT (-90.6232428 41.6370978)"
"First In the Nation Traveling Display","Museum","History Activity","2015-10-31T00:00:00.000","50309","Polk","2300","0","2300","Exhibit Activity","Mobile Exhibit","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Des Moines Social Club After School Program","Museum","History Activity","2017-01-24T00:00:00.000","50319","Polk","6","18","24","Exhibit Activity",,"2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"History on the Move: Oskaloosa","Museum","History Activity","2017-04-20T00:00:00.000","52577","Mahaska","19","152","171","Exhibit Activity","History on the Move (School)","2017","19123","41.3352035","-92.6409094","POINT (-92.6409094 41.3352035)"
"History on the Move: Des Moines","Museum","History Activity","2017-03-21T00:00:00.000","50319","Polk","97","7","104","Exhibit Activity","History on the Move (Public)","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"History on the Move: Des Moines","Museum","History Activity","2017-06-27T00:00:00.000","50","Polk","208","0","208","Exhibit Activity","History on the Move (Public)","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"History on the Move: Panora","Museum","History Activity","2017-04-06T00:00:00.000","50216","Guthrie","6","4","10","Exhibit Activity","History on the Move (Public)","2017","19077","41.6837548","-94.501055","POINT (-94.501055 41.6837548)"
"History on the Move: Ottumwa","Museum","History Activity","2017-04-22T00:00:00.000","52501","Wapello","35","7","42","Exhibit Activity","History on the Move (Public)","2017","19179","41.0305845","-92.4094499","POINT (-92.4094499 41.03058450000001)"
"History on the Move: Urbandale","Museum","History Activity","2017-04-15T00:00:00.000","50322","Polk","141","145","286","Exhibit Activity","History on the Move (Public)","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"History on the Move: Clinton","Museum","History Activity","2017-06-14T00:00:00.000","52732","Clinton","123","136","259","Exhibit Activity","History on the Move (Public)","2017","19045","41.8980358","-90.5319724","POINT (-90.5319724 41.8980358)"
"Rose Frantzen Artist-in-residence","Museum","History Activity","2016-06-10T00:00:00.000","50319","Polk","24","0","24","Exhibit Activity",,"2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"History on the Move: Panora","Museum","History Activity","2017-04-03T00:00:00.000","50216","Guthrie","29","325","354","Exhibit Activity","History on the Move (School)","2017","19077","41.6837548","-94.501055","POINT (-94.501055 41.6837548)"
"History on the Move: Winterset","Museum","History Activity","2017-04-09T00:00:00.000","50273","Madison","59","0","59","Exhibit Activity","History on the Move (Public)","2017","19121","41.3307142","-94.0155619","POINT (-94.01556190000001 41.33071420000001)"
"History on the Move: Spring Break 2017","Museum","History Activity","2017-03-17T00:00:00.000","50319","Polk","52","43","95","Exhibit Activity","History on the Move (Public)","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"First In the Nation Traveling Display","Museum","History Activity","2016-05-11T00:00:00.000","51041","Sioux","7473","0","7473","Exhibit Activity","Mobile Exhibit","2016","19167","43.0826174","-96.1778827","POINT (-96.1778827 43.0826174)"
"History on the Move: Donnellson","Museum","History Activity","2017-05-22T00:00:00.000","52625","Lee","29","320","349","Exhibit Activity","History on the Move (School)","2017","19111","40.6419764","-91.479264","POINT (-91.479264 40.6419764)"
"History on the Move: Spring Break 2017","Museum","History Activity","2017-03-13T00:00:00.000","50319","Polk","10","13","23","Exhibit Activity","History on the Move (Public)","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"History on the Move: Wheatland","Museum","History Activity","2017-05-09T00:00:00.000","52777","Clinton","9","11","20","Exhibit Activity","History on the Move (Public)","2017","19045","41.8980358","-90.5319724","POINT (-90.5319724 41.8980358)"
"Young Writers Workshop","Museum","History Activity","2017-06-12T00:00:00.000","50319","Polk","3","8","11","Museum Programming","Special Event","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Scavo Vault Tour","Museum","History Activity","2016-08-26T00:00:00.000","50319","Polk","2","12","14","Museum Programming","Vault Tour","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Scavo Vault Tour","Museum","History Activity","2016-10-12T00:00:00.000","50319","Polk","2","12","14","Museum Programming","Vault Tour","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Summer Break 2017: Goldie Takes Flight","Museum","History Activity","2017-06-07T00:00:00.000","50319","Polk","10","75","85","Museum Programming","Summer Break","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Danfoss Power Solutions (US) Company","Museum","History Activity","2017-06-13T00:00:00.000","50319","Iowa","10","0","10","Museum Programming","Vault Tour","2017","19095","41.6863229","-92.065524","POINT (-92.065524 41.6863229)"
"Summer Break 2017: Iowans in Portrait","Museum","History Activity","2017-06-21T00:00:00.000","50319","Polk","15","30","45","Museum Programming","Summer Break","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Scavo Vault Tour","Museum","History Activity","2017-03-01T00:00:00.000","50319","Polk","2","12","14","Museum Programming","Vault Tour","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Young Writers Workshop - Reading Presentation","Museum","History Activity","2017-06-16T00:00:00.000","50319","Polk","25","12","37","Museum Programming","Special Event","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Auction winner vault tour","Museum","History Activity","2017-06-20T00:00:00.000","50319","Polk","8","0","8","Museum Programming","Vault Tour","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Scavo Vault Tour","Museum","History Activity","2016-11-30T00:00:00.000","50319","Polk","2","12","14","Museum Programming","Vault Tour","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Matthew Edel Blacksmith Shop - ?Blacksmithing event","Museum","History Activity","2017-05-20T00:00:00.000","50120","Marshall","75","5","80","Museum Programming","Special Event","2017","19127","42.0358499","-92.9987706","POINT (-92.9987706 42.0358499)"
"Western Historic Trails Center - ?Wild West Games Day","Museum","History Activity","2017-05-06T00:00:00.000","51501","Pottawattamie","10","10","20","Museum Programming","Special Event","2017","19155","41.3366123","-95.5423935","POINT (-95.5423935 41.3366123)"
"Scavo Vault Tour","Museum","History Activity","2017-04-20T00:00:00.000","50319","Polk","2","12","14","Museum Programming","Vault Tour","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Summer School Lecture Series: Dan Kaercher","Museum","History Activity","2017-06-10T00:00:00.000","50319","Polk","17","0","17","Museum Programming","Summer Break","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Scavo Vault Tour","Museum","History Activity","2017-01-18T00:00:00.000","50319","Polk","2","12","14","Museum Programming","Vault Tour","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Video presentation to Bull Run Elementary","Museum","History Activity","2017-01-06T00:00:00.000","20121",,"0","150","150","Presentation","Classroom Learning","2017",,,,
"Iowa Quilt Museum Presentation","Museum","History Activity","2017-06-03T00:00:00.000","50273","Madison","40","0","40","Presentation","Classroom Learning","2017","19121","41.3307142","-94.0155619","POINT (-94.01556190000001 41.33071420000001)"
"Object Based Presentation","Museum","History Activity","2016-02-26T00:00:00.000","50319","Polk","1","4","5","Presentation","Classroom Learning","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Student News Net Digital Video Tour","Museum","History Activity","2016-05-24T00:00:00.000","50319","Polk","1","0","1","Presentation","Classroom Learning","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"State Fair Walking Tour","Museum","History Activity","2016-08-11T00:00:00.000","50317","Polk","125","100","225","Presentation",,"2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Heritage and Byways Conference","Museum","History Activity","2016-04-04T00:00:00.000","51501","Pottawattamie","30","0","30","Presentation",,"2016","19155","41.3366123","-95.5423935","POINT (-95.5423935 41.3366123)"
"Meskwaki Senior Services Center","Museum","History Activity","2016-02-09T00:00:00.000","50319","Polk","20","0","20","Presentation","Classroom Learning","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"NHD Classroom Visit","Museum","History Activity","2016-12-06T00:00:00.000","51503","Pottawattamie","0","18","18","Presentation","National History Day","2017","19155","41.3366123","-95.5423935","POINT (-95.5423935 41.3366123)"
"?Iowa Culture App Presentation","Museum","History Activity","2017-04-10T00:00:00.000","50315","Polk","11","0","11","Presentation","App Presentation","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Off-site presentation at Griffin Academy","Museum","History Activity","2016-04-13T00:00:00.000","50320","Polk","4","37","41","Presentation","Classroom Learning","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Iowa History 101 Presentation","Museum","History Activity","2017-02-27T00:00:00.000","50322","Polk","24","0","24","Presentation",,"2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"State Fair Walking Tour","Museum","History Activity","2016-08-17T00:00:00.000","50317","Polk","30","0","30","Presentation",,"2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Civil War weapons presentation","Museum","History Activity","2016-05-09T00:00:00.000","50319","Polk","1","3","4","Presentation","Classroom Learning","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Vault Tour","Museum","History Activity","2017-01-27T00:00:00.000","50319","Polk","3","0","3","Presentation",,"2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Teaching Iowa History with Local Resources","Museum","History Activity","2016-07-19T00:00:00.000","50273","Madison","9","0","9","Presentation","Classroom Learning","2017","19121","41.3307142","-94.0155619","POINT (-94.01556190000001 41.33071420000001)"
"Goodwill Industries","Museum","History Activity","2016-03-21T00:00:00.000","50131","Polk","35","0","35","Presentation","Classroom Learning","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"?Spirit Lake Massacre Senior College program","Museum","History Activity","2017-06-24T00:00:00.000","50266","Polk","21","0","21","Presentation","Classroom Learning","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Lodge at Ashworth Program","Museum","History Activity","2016-09-26T00:00:00.000","50265","Polk","45","0","45","Presentation",,"2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Des Moines Rotary Talk","Museum","History Activity","2016-08-04T00:00:00.000","50321","Polk","125","0","125","Presentation",,"2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"?Spirit Lake Massacre Senior College program","Museum","History Activity","2017-06-17T00:00:00.000","50266","Polk","21","0","21","Presentation","Classroom Learning","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Riding Through History Presentation","Museum","History Activity","2016-04-13T00:00:00.000","51501","Pottawattamie","7","0","7","Presentation",,"2016","19155","41.3366123","-95.5423935","POINT (-95.5423935 41.3366123)"
"Iowa State University 195 Class","Museum","History Activity","2015-10-13T00:00:00.000","50319","Polk","18","0","18","Presentation","Classroom Learning","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Iowa History 101 Presentation","Museum","History Activity","2017-02-02T00:00:00.000","50266","Dallas","24","0","24","Presentation",,"2017","19049","41.6848862","-94.0397374","POINT (-94.0397374 41.6848862)"
"WWI Poster Presentation","Museum","History Activity","2017-02-17T00:00:00.000","51503","Pottawattamie","12","0","12","Presentation",,"2017","19155","41.3366123","-95.5423935","POINT (-95.5423935 41.3366123)"
"?Iowa Culture App Presentation","Museum","History Activity","2017-05-16T00:00:00.000","50312","Polk","27","0","27","Presentation","App Presentation","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Plymouth Congregational Church","Museum","History Activity","2016-04-21T00:00:00.000","50312","Polk","45","0","45","Presentation",,"2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"National History Day Student Visit & Project Evaluation","Museum","History Activity","2016-01-25T00:00:00.000","50658","Chickasaw","1","32","33","Presentation","Classroom Learning","2016","19037","43.0600414","-92.3176637","POINT (-92.3176637 43.06004140000001)"
"NHD History Lab: Iowa City","Museum","History Activity","2016-11-05T00:00:00.000","52240","Johnson","1","10","11","Presentation","National History Day","2017","19103","41.6715511","-91.5880849","POINT (-91.5880849 41.6715511)"
"Vault Tour","Museum","History Activity","2017-01-26T00:00:00.000","50319","Polk","1","8","9","Presentation",,"2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Des Moines Voklsport","Museum","History Activity","2016-03-21T00:00:00.000","50319","Polk","18","0","18","Presentation",,"2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Vault Tour","Museum","History Activity","2017-01-17T00:00:00.000","50319","Polk","10","0","10","Presentation",,"2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Riding Through History Presentation","Museum","History Activity","2016-05-12T00:00:00.000","51531","Shelby","30","0","30","Presentation",,"2016","19165","41.6850926","-95.3102113","POINT (-95.31021130000002 41.6850926)"
"Luther College Museum Studies Presentation","Museum","History Activity","2016-05-12T00:00:00.000","52101","Winneshiek","10","0","10","Presentation","Classroom Learning","2016","19191","43.2906746","-91.8437074","POINT (-91.8437074 43.2906746)"
"Riding Through History Presentation","Museum","History Activity","2016-05-12T00:00:00.000","51101","Woodbury","40","0","40","Presentation",,"2016","19193","42.3897169","-96.0447673","POINT (-96.0447673 42.3897169)"
"Herring Hotel Building Alliance/Wallace Winkie Foundation","Museum","History Activity","2016-04-09T00:00:00.000","52208","Benton","96","0","96","Presentation",,"2016","19011","42.0801864","-92.0656912","POINT (-92.0656912 42.0801864)"
"Iowa Culture App Presentation to Newton Rotary Club","Museum","History Activity","2017-01-24T00:00:00.000","50208","Jasper","27","0","27","Presentation",,"2017","19099","41.6860394","-93.053765","POINT (-93.053765 41.6860394)"
"NHD Classroom Project Visit","Museum","History Activity","2017-02-08T00:00:00.000","50588","Buena Vista","1","35","36","Presentation","National History Day","2017","19021","42.7354936","-95.151149","POINT (-95.15114900000002 42.7354936)"
"Civil War weapons presentation","Museum","History Activity","2016-05-10T00:00:00.000","50319","Polk","1","4","5","Presentation","Classroom Learning","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"NHD Classroom Project Visit","Museum","History Activity","2017-02-27T00:00:00.000","501312","Polk","1","34","35","Presentation","National History Day","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Ankeny Area Quilt Guild Presentation","Museum","History Activity","2017-01-10T00:00:00.000","50023","Polk","35","0","35","Presentation",,"2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"State Fair Walking Tour","Museum","History Activity","2016-08-16T00:00:00.000","50317","Polk","25","0","25","Presentation",,"2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Vault Tour","Museum","History Activity","2016-11-23T00:00:00.000","50319","Polk","3","0","3","Presentation",,"2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"IHC Presentation","Museum","History Activity","2016-02-13T00:00:00.000","52242","Johnson","15","0","15","Presentation","Classroom Learning","2016","19103","41.6715511","-91.5880849","POINT (-91.5880849 41.6715511)"
"Ankeny Family Research","Museum","History Activity","2016-02-23T00:00:00.000","50319","Polk","1","0","1","Presentation","Classroom Learning","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Hollywood in the Heartland","Museum","History Activity","2015-09-24T00:00:00.000","52801","Scott","40","0","40","Presentation","Booth Display","2016","19163","41.6370978","-90.6232428","POINT (-90.6232428 41.6370978)"
"?Algona Quilt Guild Presentation","Museum","History Activity","2017-03-20T00:00:00.000","50511","Kossuth","25","0","25","Presentation",,"2017","19109","43.20413","-94.2067199","POINT (-94.2067199 43.20413)"
"Object Based Presentation","Museum","History Activity","2016-02-25T00:00:00.000","50319","Polk","1","3","4","Presentation","Classroom Learning","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"State Fair Walking Tour","Museum","History Activity","2016-08-18T00:00:00.000","50317","Polk","30","0","30","Presentation",,"2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"NHD History 101 Workshop","Museum","History Activity","2015-12-16T00:00:00.000","52556","Jefferson","12","0","12","Presentation","Classroom Learning","2016","19101","41.0317596","-91.9488774","POINT (-91.9488774 41.0317596)"
"Star 102.5 Block Party","Museum","History Activity","2016-08-03T00:00:00.000","50324","Polk","20","10","30","Presentation","Booth Display","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"State Curator Site Consultation","Museum","History Activity","2015-11-05T00:00:00.000","50658","Chickasaw","6","0","6","Professional Expertise","Professional Services/Consultation","2016","19037","43.0600414","-92.3176637","POINT (-92.3176637 43.06004140000001)"
"Hollywood in the Heartland","Museum","History Activity","2015-12-15T00:00:00.000","50131","Polk","10","0","10","Professional Expertise","Panelist/Conversation","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"HRDP Grants for Museums Presentation","Museum","History Activity","2017-06-09T00:00:00.000","52236","Iowa","25","0","25","Professional Expertise","Grant Technical Assistance","2017","19095","41.6863229","-92.065524","POINT (-92.065524 41.6863229)"
"Iowa Library Association","Museum","History Activity","2015-10-16T00:00:00.000","50315","Polk","10","0","10","Professional Expertise","Panelist/Conversation","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Marion Historical Society","Museum","History Activity","2017-06-23T00:00:00.000","50319","Polk","2","0","2","Professional Expertise","Professional Services/Consultation","2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Transportation Collection Conversation","Museum","History Activity","2015-12-08T00:00:00.000","50319","Polk","3","0","3","Professional Expertise","Panelist/Conversation","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Iowa Museum Association","Museum","History Activity","2015-10-04T00:00:00.000","50219","Marion","30","0","30","Professional Expertise","Panelist/Conversation","2016","19125","41.3344515","-93.0994367","POINT (-93.0994367 41.3344515)"
"Merchants Bonding Company","Museum","History Activity","2015-10-07T00:00:00.000","50266","Polk","2","0","2","Professional Expertise","Professional Services/Consultation","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Villisca Axe viewing","Museum","History Activity","2016-05-26T00:00:00.000","50319","Polk","6","0","6","Professional Expertise","Professional Services/Consultation","2016","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Crinoids Collections Access","Museum","History Activity","2016-11-30T00:00:00.000","50319","Polk","2","0","2","Professional Expertise",,"2017","19153","41.6855048","-93.5735335","POINT (-93.5735335 41.6855048)"
"Museum Consultation","Museum","History Activity","2017-02-09T00:00:00.000","52501","Wapello","12","0","12","Professional Expertise","Panelist/Conversation","2017","19179","41.0305845","-92.4094499","POINT (-92.4094499 41.03058450000001)"
