"company_name","address","city","state","zip","naic_number","location"
"Hallmark Specialty Insurance Company","5420 Lyndon B. Johnson Freeway Suite 110","DALLAS","TX","75240-2345","26808","POINT (-96.817518 32.923085)"
"ProAssurance Specialty Insurance Company","4795 Meadow Wood Lane Suite 335 West","CHANTILLY","VA","20151","17400","POINT (-77.440938 38.87114)"
"Mobilitas Insurance Company","PO BOX 23392","OAKLAND","CA","94623-0392","16392",
"Accredited Specialty Insurance Company","4798 New Broad Street, Suite 200","Orlando","FL","32814","16835",
"Watford Specialty Insurance Company","445 SOUTH STREET, SUITE 220, P.O. BOX 19","MORRISTOWN","NJ","07962-1988","15824","POINT (-74.467138 40.775805)"
"Canal Indemnity Company","PO BOX 7","GREENVILLE","SC","29602","27790",
"Capitol Specialty Insurance Corporation","PO BOX 5900","MADISON","WI","53705-0900","10328",
"Stonegate Insurance Company","7400 North Caldwell Avenue","NILES","IL","60714","14012","POINT (-87.791025 42.015847)"
"Conifer Insurance Company","550 W. Merrill Street, Suite 200","BIRMINGHAM","MI","48009","29734","POINT (-83.219743 42.545051)"
"United National Insurance Company","3 BALA PLZ, STE 300E","BALA CYNWYD","PA","19004-3406","13064","POINT (-75.218529 40.00707)"
"Golden Bear Insurance Company","PO Box 271","STOCKTON","CA","95203","39861",
"Appalachian Insurance Company","PO BOX 7500","JOHNSTON","RI","02919-0750","10316",
"Summit Specialty Insurance Company","PO BOX 130059","DALLAS","TX","75303","16889",
"Atain Specialty Insurance Company","30833 NORTHWESTERN HWY., SUITE 220","FARMINGTON HILLS","MI","48334-2582","17159","POINT (-83.330994 42.513329)"
"Concert Specialty Insurance Company","1701 Golf Rd Suite 1-1110","Rolling Meadows","IL","60008","17151","POINT (-87.999508 42.051235)"
"Fortegra Specialty Insurance Company","10751 Deerwood Park Blvd, Suite 200","Jacksonville","FL","32256","16823","POINT (-81.532878 30.247812)"
"Northland Casualty Company","ONE TOWER SQUARE","HARTFORD","CT","06183","24031",
"Blackboard Specialty Insurance Company","120 BROADWAY, 17TH FLOOR","NEW YORK","NY","10271","13551",
"Guilford Insurance Company","CityPlace II, 185 Asylum Street, 7th Flo","HARTFORD","CT","06103-3408","10956",
"American Equity Insurance Company","One Tower Square","HARTFORD","CT","06183","43117",
"Everspan Indemnity Insurance Company","One World Trade Center, 41st Floot","NEW YORK","NY","10007","16882",
"St. Paul Surplus Lines Insurance Company","ONE TOWER SQUARE","HARTFORD","CT","06183","30481",
"Discover Specialty Insurance Company","ONE TOWER SQUARE","HARTFORD","CT","06183","10213",
"Independent Specialty Insurance Company","1900 L. Don Dodson Dr.","BEDFORD","TX","76021","39640","POINT (-97.14012 32.84179)"
"Trisura Specialty Insurance Company","210 PARK AVE, SUITE 1300","OKLAHOMA CITY","OK","73102-5636","16188","POINT (-97.517325 35.468792)"
"Nautilus Insurance Company","7233 EAST BUTHERUS DRIVE","SCOTTSDALE","AZ","85260-2410","17370","POINT (-111.923907 33.622658)"
"Houston Casualty Company","13403 Northwest Freeway","HOUSTON","TX","77040","42374","POINT (-95.508397 29.850147)"
"HDI Specialty Insurance Company","161 N. CLARK STREET - 48TH FLOOR","CHICAGO","IL","60601","16131","POINT (-87.630937 41.884708)"
"AIX Specialty Insurance Company","440 LINCOLN STREET","WORCESTER","MA","01653-0002","12833","POINT (-71.780784 42.291928)"
"Cincinnati Specialty Underwriters Insurance Company","PO BOX 145496","CINCINNATI","OH","45250-5496","13037",
"Liberty Surplus Insurance Corporation","175 Berkeley Street","BOSTON","MA","02116","10725","POINT (-71.072373 42.349909)"
"Mesa Underwriters Specialty Insurance Company","40 WANTAGE AVENUE","BRANCHVILLE","NJ","07890","36838","POINT (-74.74656 41.152318)"
"Seneca Specialty Insurance Company","160 WATER STREET","NEW YORK","NY","10038-4922","10729","POINT (-74.005521 40.706506)"
"ISMIE Indemnity Company","20 North Michigan Avenue, Suite 700","CHICAGO","IL","60602-4811","11084","POINT (-87.624485 41.882668)"
"Gray Surplus Lines Insurance Company","PO Box 6202","MATAIRE","LA","70009","15889",
"Third Coast Insurance Company","PO Box 40790","LANSING","MI","48901-7990","10713",
"MSA Insurance Company","55 West Street","KEENE","NH","03431","11066","POINT (-72.280416 42.933382)"
"Protective Specialty Insurance Company","111 Congressional Blvd., Suite 500","CARMEL","IN","46032","13149","POINT (-86.153469 39.958281)"
"Rockingham Casualty Company","633 East Market Street","HARRISONBURG","VA","22801","42595","POINT (-78.85672 38.449085)"
"Admiral Insurance Company","7233 EAST BUTHERUS DRIVE","SCOTTSDALE","AZ","85260-2410","24856","POINT (-111.923907 33.622658)"
"Homesite Insurance Company of Florida","One Federal Street, Suite 400","BOSTON","MA","02110","11156",
"Westchester Surplus Lines Insurance Company","436 WALNUT STREET, P.O. BOX 1000","PHILADELPHIA","PA","19106","10172","POINT (-75.148957 39.947451)"
"Catlin Specialty Insurance Company","70 SEAVIEW AVENUE","STAMFORD","CT","06902","15989","POINT (-73.523237 41.041676)"
"United Specialty Insurance Co","1900 L. Don Dodson Dr.","BEDFORD","TX","76021","12537","POINT (-97.14012 32.84179)"
"National Fire & Marine Insurance Company","1314 Douglas Street, Suite 1400","OMAHA","NE","68102-1944","20079","POINT (-95.93386 41.25863)"
"Palomar Excess and Surplus Insurance Company","4400 W 78th St., Suite 120","Bloomington","MN","92037","16754","POINT (-93.335465 44.858697)"
"Starr Surplus Lines Insurance Company","399 Park Avenue, 3rd floor","NEW YORK","NY","10022","13604","POINT (-73.972266 40.759324)"
"Crum & Forster Specialty Insurance Company","305 MADISON AVENUE","MORRISTOWN","NJ","07960","44520","POINT (-74.451166 40.783277)"
"GeoVera Specialty Insurance Company","1455 Oliver Road","FAIRFIELD","CA","94534-3472","10182","POINT (-122.068912 38.259063)"
"Arch Specialty Insurance Company","HARBORSIDE 3, 210 HUDSON STREET, SUITE 3","JERSEY CITY","NJ","07311-1107","21199",
"Superior Specialty Insurance Company","1900 L. Don Dodson Dr.","BEDFORD","TX","76021","16551","POINT (-97.14012 32.84179)"
"KW Specialty Insurance Company","14851 North Scottsdale Road, Suite 203","SCOTTSDALE","AZ","85254","16255","POINT (-111.925619 33.621207)"
"Empire Indemnity Insurance Company","1299 ZURICH WAY, 5TH FLOOR","SCHAUMBURG","IL","60196-1056","21334","POINT (-88.046361 42.063664)"
"Great American E & S Insurance Company","301 E Fourth Street","CINCINNATI","OH","45202","37532","POINT (-84.507797 39.100703)"
"American Western Home  Insurance Company","PO BOX 5323","CINCINNATI","OH","45201-5323","35912",
"Princeton Excess and Surplus Lines Insurance Company","555 COLLEGE ROAD EAST - P.O. BOX 5241","PRINCETON","NJ","08543","10786","POINT (-74.593587 40.351455)"
"Burlington Insurance Company","CityPlace II, 185 Asylum Street, 7th Flo","HARTFORD","CT","06103-3408","23620",
"Texas Insurance Company","PO BOX 3646","OMAHA","NE","68103","16543",
"American Empire Surplus Lines Insurance Company","301 E. Fourth Street","CINCINNATI","OH","45202","35351","POINT (-84.507797 39.100703)"
"Gulf Underwriters Insurance Company","ONE TOWER SQUARE","HARTFORD","CT","06183","42811",
"Specialty Builders Insurance Company","PO Box 723090","Atlanta","GA","31139-0099","16826",
"Columbia Casualty Company","151 N. FRANKLIN STREET","CHICAGO","IL","60606","31127","POINT (-87.635367 41.884568)"
"Maxum Indemnity Company","3655 North Point Parkway, Suite # 500","ALPHARETTA","GA","30005","26743","POINT (-84.258949 34.070082)"
"Indian Harbor Insurance Company","70 SEAVIEW AVENUE","STAMFORD","CT","06902","36940","POINT (-73.523237 41.041676)"
"Mid-Continent Excess and Surplus Insurance Company","1436 S. Boulder Ave., Suite 200 PO Box 1409","TULSA","OK","74119","13794","POINT (-95.988471 36.141797)"
"Clear Blue Specialty Insurance Company","B-7 TABONUCO STREET, SUITE 912","GUAYNABO","PR","00968","37745",
"Berkley Specialty Insurance Company","7233 EAST BUTHERUS DRIVE","SCOTTSDALE","AZ","85260-2410","31295","POINT (-111.923907 33.622658)"
"Travelers Excess and Surplus Lines Company","ONE TOWER SQUARE","HARTFORD","CT","06183","29696",
"Executive Risk Specialty Insurance Company","202B Hall's Mill Road","WHITEHOUSE STATION","NJ","08889","44792","POINT (-74.765041 40.644972)"
"Navigators Specialty Insurance Company","One Hartford Plaza","HARTFORD","CT","06155","36056",
"Scottsdale Surplus Lines Insurance Company","ONE WEST NATIONWIDE BLVD., FSSC-RR","COLUMBUS","OH","43215-2220","10672",
"Atlantic Casualty Insurance Company","400 COMMERCE COURT","GOLDSBORO","NC","27534","42846","POINT (-77.925562 35.372806)"
"Allianz Underwriters Insurance Company","225 W. WASHINGTON STREET, SUITE 1800","CHICAGO","IL","60606-3484","36420","POINT (-87.634988 41.883208)"
"Harleysville Insurance Company of NY","One West Nationwide Blvd. Frap Solutions","Columbus","OH","43215-2220","10674",
"Obsidian Specialty Insurance Company","1330 Avenue of the Americas, Suite 23A","New York","NY","10019","16871","POINT (-73.978828 40.762121)"
"First Mercury Insurance Company","305 MADISON AVENUE","MORRISTOWN","NJ","07960","10657","POINT (-74.451166 40.783277)"
"Houston Specialty Insurance Company","800 Gessner, Suite 600","HOUSTON","TX","77024","12936","POINT (-95.544397 29.777413)"
"Sutton Specialty Insurance Company","1855 Griffin Road, Suite B-390","DANIA BEACH","FL","33004","16848","POINT (-80.161551 26.062727)"
"Centennial Casualty Company","2200 WOODCREST PLACE, SUITE 200","BIRMINGHAM","AL","35209","34568","POINT (-86.787311 33.491103)"
"Western World Insurance Company","300 KIMBALL DRIVE, SUITE 500","PARSIPPANY","NJ","07054","13196","POINT (-74.407587 40.859509)"
"StarStone Specialty Insurance Company","201 E Fifth St Suite 1200","Cincinnati","OH","45202","44776","POINT (-84.508891 39.101776)"
"Bridgeway Insurance Company","555 College Road East PO Box 5241","PRINCETON","NJ","08543","12489","POINT (-74.593587 40.351455)"
"Endurance American Specialty Insurance Company","4 MANHATTANVILLE ROAD","PURCHASE","NY","10577","41718","POINT (-73.71799 41.02335)"
"Ascot Specialty Insurance Company","55 W. 46th Street","NEW YORK","NY","10036","45055","POINT (-73.981129 40.756921)"
"Mount Vernon Specialty Insurance Company","1190 Devon Park Drive, P.O. Box 6700","WAYNE","PA","19087","14420","POINT (-75.396673 40.080739)"
"Adriatic Ins Co","3501 N. Causeway Blvd., Suite 1000","METAIRIE","LA","70002-3675","39381","POINT (-90.154684 30.012736)"
"Prime Insurance Company","PO BOX 4439","SANDY","UT","84091-4439","12588",
"Safeco Surplus Lines Insurance Company","175 Berkeley Street","BOSTON","MA","02116","11100","POINT (-71.072373 42.349909)"
"Homeland Insurance Company of New York","605 Highway 169 North, Suite 800","PLYMOUTH","MN","55441","34452","POINT (-93.401054 44.986556)"
"Knight Specialty Insurance Company","4751 Wilshire Blvd, #111","LOS ANGELES","CA","90010","15366","POINT (-118.333824 34.062024)"
"QBE Specialty Insurance Company","One QBE Way","SUN PRAIRIE","WI","53596","11515",
"Covington Specialty Insurance Company","945 E. Paces Ferry Rd, Suite 1800","ATLANTA","GA","30326-1160","13027","POINT (-84.355976 33.846903)"
"American Southern Insurance Company","P O Box 723030","ATLANTA","GA","31139-0030","10235",
"Vantage Risk  Specialty Insurance Company","104 SOUTH MICHIGAN AVE., SUITE 600","CHICAGO","IL","60603","16275","POINT (-87.624435 41.880701)"
"Great American Fidelity Insurance Company","301 E Fourth Street","CINCINNATI","OH","45202","41858","POINT (-84.507797 39.100703)"
"General Star Indemnity Company","120 LONG RIDGE ROAD","STAMFORD","CT","06902-1843","37362","POINT (-73.553308 41.077632)"
"Ironshore Specialty Insurance Company","175 Berkeley Street","BOSTON","MA","02116","25445","POINT (-71.072373 42.349909)"
"NAMIC Insurance Company","3601 Vincennes Rd.","INDIANAPOLIS","IN","46268-0700","29629","POINT (-86.222213 39.915927)"
"Pacific Insurance Company, Limited","One Hartford Plaza","HARTFORD","CT","06155-0001","10046",
"HSB Specialty Insurance Company","ONE STATE STREET,  P.O. BOX 5024","HARTFORD","CT","06102-5024","14438",
"Medical Security Insurance Company","700 Spring Forest Road, Suite 400","RALEIGH","NC","27609","33090","POINT (-78.624835 35.864584)"
