"contract_name","county","city","status","program","primary_funding_agreement","award_date","total_project_cost","capital_investment","direct_assistance_awarded","tax_benefits_awarded","projected_jobs_created","projected_jobs_retained","projected_jobs_other","projected_jobs_total","projected_qualifying_wage","contracted_jobs_created","contracted_jobs_retained","contracted_jobs_other_created","contracted_jobs_total","contracted_qualifying_wage","city_location"
"Flexsteel Industries, Inc.","Dubuque","Dubuque","Contract Terminated","High Quality Jobs Program","17-HQJDF-059","2017-05-19T00:00:00.000","35640000","29320000","1000000","1043200","0","30","0","30","21.18","0","30","0","30","21.18","POINT (-90.667314 42.505512)"
"Dennis Supply Company","Woodbury","Sioux City","Declined or Rescinded","Targeted Jobs","14-TJ-001","2013-07-19T00:00:00.000","650002","650002","0","100000","0","17","0","17","15.94","0","17","0","17","15.94","POINT (-96.406436 42.496323)"
"HF Chlor Alkali LLC","Monroe","Eddyville","Contract Terminated","High Quality Jobs Program","13-HQJDF-020","2013-01-18T00:00:00.000","134914845","131577601","75000","1992975","18","0","0","18","17.21","18","0","0","18","17.21","POINT (-92.630188 41.158178)"
"C & L Companies, Inc.","Warren","Indianola","Contract Terminated","High Quality Jobs Program","13-HQJTC-035","2013-03-22T00:00:00.000","1831000","1831000","0","46000","2","0","0","2","18.26","2","0","6","8","18.26","POINT (-93.558337 41.35826)"
"Vine Line Group LLC and Heeren LLC","Linn","Cedar Rapids","Contract Terminated","High Quality Jobs Program","17-HQJTC-039","2017-02-17T00:00:00.000","978500","300000","0","64500","2","0","20","22","24.70","2","0","20","22","24.70","POINT (-91.669808 41.978122)"
"CNH Industrial America, LLC","Des Moines","Burlington","Contract Terminated","High Quality Jobs Program","15-HQJTC-003","2014-08-22T00:00:00.000","7020000","5520000","0","300600","50","0","0","50","14.73","50","0","0","50","14.73","POINT (-91.101278 40.81059)"
"Hagie Manufacturing Company","Wright","Clarion","Contract Terminated","High Quality Jobs Program","13-HQJDF-036","2013-04-23T00:00:00.000","22000000","19500000","850000","1150000","150","0","0","150","14.55","150","0","0","150","14.55","POINT (-93.732826 42.730761)"
"Sobotka Engineering, Inc. d/b/a Excel Engineering","Ringgold","Diagonal","Contract Terminated","High Quality Jobs Program","13-HQJTC-018","2012-11-16T00:00:00.000","1630600","1630600","0","85836","10","0","0","10","15.64","10","0","0","10","15.64","POINT (-94.338244 40.806232)"
"Iowa Drying and Processing, LLP","Osceola","Sibley","Contract Terminated","High Quality Jobs Program","13-HQJDF-012","2012-10-19T00:00:00.000","1627500","1310000","150000","0","30","0","0","30","16.75","30","0","0","30","16.75","POINT (-95.751208 43.404)"
"Quatro Composites, a Divison of Tec Industries LLC","Sioux","Orange City","Contract Terminated","130% Component","12-130-039","2012-06-22T00:00:00.000","12881877","11856465","1500000","313313","90","11","9","110","19.28","90","11","9","110","19.28","POINT (-96.056776 43.00136)"
"Edge Business Continuity Center, LLC & LightEdge Solutions, Inc.","Polk","Altoona","Contract Terminated","High Quality Jobs Program","16-HQJTC-048","2016-04-22T00:00:00.000","32000000","30000000","0","375000","6","0","0","6","26.72","6","0","0","6","26.72","POINT (-93.464609 41.64404)"
"United Suppliers, Inc.","Hardin","Iowa Falls","Contract Terminated","High Quality Jobs Program","12-HQJP-038","2012-04-20T00:00:00.000","5845000","5770000","0","43075","1","0","0","1","19.99","1","0","3","4","19.99","POINT (-93.265461 42.519636)"
"Responsible Transportation LLC","Keokuk","Sigourney","Contract Terminated","Enterprise Zone","12-EZ-016","2012-06-22T00:00:00.000","1654125","1554125","0","170325","27","0","0","27","11.49","27","0","0","27","11.49","POINT (-92.205112 41.333708)"
"Krause Holdings, Inc.","Polk","Des Moines","Declined or Rescinded","Enterprise Zone","14-EZ-011","2014-06-20T00:00:00.000","92000000","92000000","0","9080000","62","0","0","62","18.24","62","0","0","62","18.24","POINT (-93.620309 41.588822)"
"Simonsen Iron Works, Inc.","Clay","Spencer","Contract Terminated","High Quality Jobs Program","13-HQJDF-022","2012-12-27T00:00:00.000","940000","845000","200000","0","6","5","3","14","17.78","6","5","3","14","17.78","POINT (-95.144697 43.141367)"
"Xpanxion, LLC","Story","Ames","Contract Terminated","High Quality Jobs Program","16-HQJDF-007","2015-08-21T00:00:00.000","785000","360000","180000","0","45","0","0","45","23.21","45","0","0","45","23.21","POINT (-93.620181 42.026802)"
"3M Company","Story","Ames","Contract Terminated","High Quality Jobs Program","13-HQJTC-026","2013-01-18T00:00:00.000","28997100","24497100","0","1286500","63","0","0","63","20.81","63","0","12","75","20.81","POINT (-93.620181 42.026802)"
"POET-DSM Marketing, LLC","Palo Alto","Emmetsburg","Contract Terminated","High Quality Jobs Program","17-HQJTC-037","2017-02-17T00:00:00.000","30830497","29330497","0","975355","6","0","4","10","19.38","6","0","4","10","19.38","POINT (-94.681435 43.112898)"
"Agricultural Machinery Exchange","Hardin","Eldora","Declined or Rescinded","130% Component","11-130-038","2011-06-16T00:00:00.000","690000","645000","50000","60000","10","0","9","19","20.31","10","0","9","19","20.31","POINT (-93.099495 42.360677)"
"K2W Precision Inc.","Sioux","Orange City","Contract Terminated","High Quality Jobs Program","18-HQJTC-021","2017-10-20T00:00:00.000","3495000","3445000","0","105000","5","0","0","5","19.85","5","0","0","5","19.85","POINT (-96.056776 43.00136)"
"XTL, Inc.","Pottawattamie","Council Bluffs","Contract Terminated","High Quality Jobs Program","15-HQJTC-017","2014-11-21T00:00:00.000","63036320","62036320","0","1207400","16","0","34","50","20.95","16","0","34","50","20.95","POINT (-95.85436 41.258963)"
"Retail Acquisition and Development, Inc.","Polk","Urbandale","Contract Terminated","High Quality Jobs Program","12-HQJP-041","2012-03-26T00:00:00.000","10842008","5198287","0","95040","7","0","50","57","23.75","7","0","50","57","23.75","POINT (-93.736522 41.630343)"
"TrinityRail Maintenance Services, Inc.","Woodbury","Sioux City","Declined or Rescinded","Targeted Jobs","15-TJWTC-005","2014-10-17T00:00:00.000","29520000","29520000","0","1900470","160","0","90","250","16.63","160","0","90","250","16.63","POINT (-96.406436 42.496323)"
"E.I. DuPont de Nemours and Company/Pioneer Hi-Bred International., Inc.","Polk","Johnston","Contract Terminated","High Quality Jobs Program","14-HQJTC-015","2013-11-22T00:00:00.000","49620657","28100000","0","3507000","105","0","0","105","24.32","105","0","0","105","24.32","POINT (-93.697646 41.669319)"
"Frontier Natural Products Co-op","Benton","Urbana","Contract Terminated","High Quality Jobs Program","16-HQJTC-004","2015-07-17T00:00:00.000","4375000","4375000","0","152250","1","0","5","6","17.01","1","0","5","6","17.01","POINT (-91.871412 42.224006)"
"Pioneer, A Dupont Company","Polk","Johnston","Contract Terminated","High Quality Jobs Program","12-HQJP-045","2012-04-20T00:00:00.000","39000000","23000000","0","5399560","100","0","0","100","23.75","100","0","0","100","23.75","POINT (-93.697646 41.669319)"
"Construction Products, Inc. dba EFCO Corp","Polk","Des Moines","Contract Terminated","High Quality Jobs Program","16-HQJTC-024","2015-11-20T00:00:00.000","11275000","11025000","0","1283750","40","88","0","128","26.72","40","88","0","128","26.72","POINT (-93.620309 41.588822)"
"Expense Reduction Analysts, Inc.","Linn","Cedar Rapids","Contract Terminated","130% Component","12-130-022","2012-03-26T00:00:00.000","268000","80000","40000","0","16","0","0","16","22.25","16","0","0","16","22.25","POINT (-91.669808 41.978122)"
"Smart Ag, Inc.","Story","Ames","Declined or Rescinded","High Quality Jobs Program","19-HQJDF-002","2018-08-17T00:00:00.000","2340000","830000","250000","80000","40","0","40","80","26.11","40","0","40","80","26.11","POINT (-93.620181 42.026802)"
"Mobile Track Solutions, LLC","Clayton","Elkader","Contract Terminated","High Quality Jobs Program","16-HQJDF-051","2016-04-22T00:00:00.000","5110000","5110000","180000","357000","30","0","0","30","14.70","30","0","0","30","14.70","POINT (-91.404448 42.854572)"
"Submittal Exchange, LLC","Polk","West Des Moines","Contract Terminated","High Quality Jobs Program","13-HQJDF-023","2012-12-27T00:00:00.000","2413699","289100","500000","26806","81","0","0","81","23.12","81","0","0","81","23.12","POINT (-93.713031 41.575505)"
"Arconic, Inc.","Scott","Bettendorf","Declined or Rescinded","High Quality Jobs Program","18-HQJDF-025","2017-11-17T00:00:00.000","162560000","159560000","1500000","4331400","30","250","0","280","18.30","30","250","0","280","18.30","POINT (-90.507281 41.526274)"
"Highway Equipment Company","Linn","Cedar Rapids","Contract Terminated","High Quality Jobs Program","18-HQJTC-012","2017-08-18T00:00:00.000","3302416","1353441","0","107189","14","0","0","14","24.91","14","0","0","14","24.91","POINT (-91.669808 41.978122)"
"Vertex Software, LLC","Story","Ames","Declined or Rescinded","High Quality Jobs Program","19-HQJDF-006","2019-02-22T00:00:00.000","32100000","1600000","1500000","1925000","300","0","0","300","26.11","300","0","0","300","26.41","POINT (-93.620181 42.026802)"
"Putco, Inc.","Polk","Des Moines","Declined or Rescinded","High Quality Jobs Program","12-HQJP-061","2012-06-22T00:00:00.000","6500000","6000000","0","304000","5","0","0","5","23.75","5","0","0","5","23.75","POINT (-93.620309 41.588822)"
"Submittal Exchange, LLC","Polk","West Des Moines","Contract Terminated","130% Component","12-130-034","2012-05-18T00:00:00.000","1373500","46000","150000","0","23","0","0","23","23.75","23","0","0","23","23.75","POINT (-93.713031 41.575505)"
"Bridgestone Bandag, LLC","Muscatine","Muscatine","Declined or Rescinded","130% Component","11-130-016","2011-01-20T00:00:00.000","1600000","1600000","700000","12500","0","138","0","138","22.88","0","138","0","138","22.88","POINT (-91.044853 41.420448)"
"Geneseo Communications Services, Inc.","Scott","Davenport","Declined or Rescinded","130% Component","12-130-018","2011-12-16T00:00:00.000","15090000","14990000","96000","568700","12","0","1","13","22.54","12","0","1","13","22.54","POINT (-90.577036 41.523527)"
"POET Project Liberty, LLC","Palo Alto","Emmetsburg","Contract Terminated","Enterprise Zone","09-EZ-002","2008-09-18T00:00:00.000","231100000","217000000","0","4600000","35","0","0","35","25.03","35","0","0","35","10.95","POINT (-94.681435 43.112898)"
"United States Pipe and Foundry, LLC","Pottawattamie","Council Bluffs","Contract Terminated","Targeted Jobs","16-TJWTC-003","2016-01-29T00:00:00.000","22500000","22500000","0","2250000","144","0","0","144","17.24","144","0","0","144","17.24","POINT (-95.85436 41.258963)"
"3M Company","Story","Ames","Contract Terminated","High Quality Jobs Program","19-HQJTC-007","2018-09-21T00:00:00.000","30185400","27835400","0","2144477","16","0","0","16","26.11","16","0","0","16","26.11","POINT (-93.620181 42.026802)"
"Exide Technologies, Inc.","Delaware","Manchester","Declined or Rescinded","High Quality Jobs Program","13-HQJDF-002","2012-07-20T00:00:00.000","4000000","4000000","360000","0","36","0","9","45","16.68","36","0","11","47","16.68","POINT (-91.457936 42.483972)"
"Fastpath, Inc","Polk","Urbandale","Declined or Rescinded","High Quality Jobs Program","16-HQJTC-025","2015-11-20T00:00:00.000","1025000","175000","0","36250","12","0","0","12","26.72","12","0","0","12","26.72","POINT (-93.736522 41.630343)"
"Graphic Packaging International, Inc.","Jasper","Newton","Declined or Rescinded","High Quality Jobs Program","17-HQJTC-031","2016-12-16T00:00:00.000","20515390","20445000","0","690100","4","0","27","31","17.87","4","0","27","31","17.87","POINT (-93.043472 41.69558)"
"MetaCommunications, Inc.","Johnson","Iowa City","Declined or Rescinded","High Quality Jobs Program","16-HQJDF-059","2016-05-20T00:00:00.000","3931500","1632500","775000","0","97","44","8","149","23.24","97","44","8","149","23.24","POINT (-91.530128 41.66124)"
"Chamness Biodegradables","Polk","Ankeny","Declined or Rescinded","High Quality Jobs Program","19-HQJDF-001","2018-07-20T00:00:00.000","1877100","601000","140000","72730","21","0","15","36","29.12","21","0","15","36","29.12","POINT (-93.600414 41.72508)"
"Crystal Distribution Services Inc.","Black Hawk","Waterloo","Contract Terminated","High Quality Jobs Program","18-HQJTC-010","2017-08-18T00:00:00.000","5500000","5500000","0","136500","1","0","0","1","17.29","1","0","0","1","17.29","POINT (-92.34364 42.493469)"
"GoDaddy.com, LLC","Linn","Hiawatha","Declined or Rescinded","High Quality Jobs Program","16-HQJTC-008","2015-08-21T00:00:00.000","6000000","6000000","0","135000","1","0","130","131","23.45","1","0","130","131","23.45","POINT (-91.671159 42.03703)"
"John Deere Dubuque Works","Dubuque","Dubuque","Contract Terminated","High Quality Jobs Program","12-HQJP-049","2012-04-20T00:00:00.000","44000000","24000000","0","4500000","123","44","2","169","20.52","123","44","2","169","20.52","POINT (-90.667314 42.505512)"
"E I Dupont de Nemours, Inc","Lee","Fort Madison","Declined or Rescinded","130% Component","11-130-020","2011-02-17T00:00:00.000","3440000","3291000","150000","98730","6","0","2","8","20.32","6","0","2","8","20.32","POINT (-91.313494 40.630024)"
"Pioneer, A Dupont Company","Polk","Johnston","Contract Terminated","High Quality Jobs Program","13-HQJTC-017","2012-11-16T00:00:00.000","50489555","13000000","0","4368399","100","0","0","100","23.12","100","0","0","100","23.12","POINT (-93.697646 41.669319)"
"Boehringer Ingelheim Vetmedica, Inc.","Webster","Fort Dodge","Declined or Rescinded","High Quality Jobs Program","15-HQJTC-021","2014-12-19T00:00:00.000","100171672","94835172","0","1963591","0","0","0","0","16.45","0","0","0","0","0","POINT (-94.169388 42.501169)"
"Hipra USA, LLC","Story","Ames","Declined or Rescinded","130% Component","11-130-037","2011-06-16T00:00:00.000","57375495","47925800","475000","2702181","75","0","0","75","20.84","75","0","0","75","20.84","POINT (-93.620181 42.026802)"
"Hawkeye Mold & Design, Inc. d/b/a Hawkeye Preferred Tooling Group","Floyd","Charles City","Contract Terminated","Enterprise Zone","13-EZ-009","2013-01-18T00:00:00.000","697500","542500","0","61825","15","0","0","15","12.65","15","0","0","15","12.65","POINT (-92.672524 43.066415)"
"Sara Lee Foods","Buena Vista","Storm Lake","Contract Terminated","Value-Added Agriculture Component","11-VAAC-010","2011-04-21T00:00:00.000","11140000","10950000","500000","362750","1","0","11","12","18.37","1","0","11","12","18.37","POINT (-95.200862 42.640945)"
"Weeks & Leo Company, Inc.","Polk","Clive","Declined or Rescinded","130% Component","12-130-026","2012-04-20T00:00:00.000","1770000","1520000","40000","56000","5","0","13","18","23.75","5","0","13","18","23.75","POINT (-93.774947 41.607094)"
"Rasmussen Mechanical Services","Woodbury","Sioux City","Declined or Rescinded","Enterprise Zone","11-EZ-019","2011-01-20T00:00:00.000","3710000","3710000","0","388000","0","36","0","36","13.73","0","36","0","36","13.73","POINT (-96.406436 42.496323)"
"Prestage Foods of Iowa, LLC","Cerro Gordo","Mason City","Declined or Rescinded","High Quality Jobs Program","16-HQJTC-042","2016-03-29T00:00:00.000","240000000","239250000","0","11480250","332","0","590","922","15.79","332","0","590","922","15.79","POINT (-93.201042 43.153621)"
"American Profol, Inc.","Linn","Cedar Rapids","Declined or Rescinded","130% Component","11-130-028","2011-04-21T00:00:00.000","14000000","14000000","250000","0","0","25","0","25","21.80","0","25","0","25","21.80","POINT (-91.669808 41.978122)"
"General Electric Company","Des Moines","West Burlington","Contract Terminated","High Quality Jobs Program","16-HQJDF-020","2015-10-16T00:00:00.000","7400000","7400000","930000","0","124","0","4","128","15.73","124","0","4","128","15.73","POINT (-91.161628 40.826034)"
"Tactical 8 Technologies LLC","Polk","Des Moines","Contract Terminated","130% Component","12-130-019","2012-01-20T00:00:00.000","331864","209320","120000","0","20","0","0","20","23.75","20","0","3","23","23.75","POINT (-93.620309 41.588822)"
"Tug Kay Consulting, LLC","Marshall","Marshalltown","Declined or Rescinded","High Quality Jobs Program","17-HQJDF-055","2017-06-16T00:00:00.000","3755000","685000","100000","175000","23","0","0","23","18.19","23","0","0","23","18.19","POINT (-92.912686 42.034679)"
"Sioux City Brick & Tile Company","Woodbury","Sioux City","Declined or Rescinded","Targeted Jobs","18-TJWTC-002","2018-03-23T00:00:00.000","200000","1690000","0","274726","0","16","0","16","21.40","0","16","0","16","21.40","POINT (-96.406436 42.496323)"
"NeXT1, Inc.","Polk","Des Moines","Declined or Rescinded","High Quality Jobs Program","20-HQJDF-003","2019-07-19T00:00:00.000","1628292","945000","200000","0","23","0","0","23","30.32","23","0","0","23","30.32","POINT (-93.620309 41.588822)"
"VAMA","Lee","Keokuk","Contract Terminated","Targeted Jobs","15-TJWTC-006","2014-11-21T00:00:00.000","810000","408000","0","200000","30","0","15","45","17.60","30","0","15","45","17.60","POINT (-91.401855 40.413521)"
"Advanced Manufacturing & Power Systems","Polk","Des Moines","Declined or Rescinded","100% Component","12-100-003","2011-10-20T00:00:00.000","891000","811000","225000","0","45","0","35","80","18.27","45","0","35","80","18.27","POINT (-93.620309 41.588822)"
"Ralcorp Holdings, a subsidiary of ConAgra Foods","Linn","Cedar Rapids","Contract Terminated","High Quality Jobs Program","15-HQJTC-062","2015-06-19T00:00:00.000","10000000","10000000","0","480000","0","33","0","33","23.45","0","33","0","33","23.45","POINT (-91.669808 41.978122)"
"Federal-Mogul Corporation","Des Moines","Burlington","Declined or Rescinded","High Quality Jobs Program","15-HQJDF-032","2015-01-16T00:00:00.000","950000","925000","100000","0","11","0","17","28","14.73","11","0","17","28","14.73","POINT (-91.101278 40.81059)"
"Wave Reaction, Inc.","Dubuque","Dubuque","Declined or Rescinded","High Quality Jobs Program","17-HQJDF-056","2017-05-19T00:00:00.000","1980000","1870000","45000","79300","12","0","8","20","21.18","12","0","8","20","21.18","POINT (-90.667314 42.505512)"
"Hardi North America, Inc.","Scott","Davenport","Contract Terminated","High Quality Jobs Program","14-HQJTC-018","2014-01-17T00:00:00.000","2100000","2100000","0","93000","4","0","20","24","17.20","4","0","20","24","17.20","POINT (-90.577036 41.523527)"
"Lone Mountain Truck Leasing, LLC","Pottawattamie","Carter Lake","Declined or Rescinded","High Quality Jobs Program","15-HQJTC-008","2014-08-22T00:00:00.000","1326850","1326850","0","79142","19","0","20","39","20.95","19","0","20","39","20.95","POINT (-95.917979 41.284946)"
"CharNor, Inc.","Scott","Davenport","Contract Terminated","High Quality Jobs Program","16-HQJDF-023","2015-11-20T00:00:00.000","1670000","570000","245000","0","49","0","25","74","16.06","49","0","25","74","16.06","POINT (-90.577036 41.523527)"
"StartupCity Des Moines","Polk","Des Moines","Contract Terminated","Opportunities and Threats","12-OT-001","2011-09-15T00:00:00.000","1000000","0","250000","0","0","0","0","0","0","0","0","0","0","0","POINT (-93.620309 41.588822)"
"Hawthorne Direct, LLC","Jefferson","Fairfield","Contract Terminated","High Quality Jobs Program","17-HQJDF-003","2016-07-22T00:00:00.000","2301000","385000","75000","45000","15","0","0","15","15.93","15","0","0","15","15.93","POINT (-91.965049 41.006634)"
"Northern Tool & Equipment Company","Polk","Ankeny","Declined or Rescinded","High Quality Jobs Program","19-HQJTC-014","2018-12-21T00:00:00.000","37724343","26251351","0","750000","19","0","164","183","30.32","19","0","0","183","30.32","POINT (-93.600414 41.72508)"
"Cedar River Poultry, LLC","Floyd","Charles City","Declined or Rescinded","Enterprise Zone","12-EZ-006","2011-10-20T00:00:00.000","916308","916308","0","165738","26","0","114","140","13.79","26","0","114","140","13.79","POINT (-92.672524 43.066415)"
"Engineering Services and Products Company d/b/a FarmTek","Dubuque","Dyersville","Declined or Rescinded","130% Component","11-130-032","2011-05-19T00:00:00.000","4000000","3500000","630000","67500","84","0","16","100","18.73","84","0","16","100","18.73","POINT (-91.121531 42.484597)"
"Blackhawk Engineering, Inc.","Black Hawk","Cedar Falls","Contract Terminated","High Quality Jobs Program","13-HQJTC-041","2013-05-17T00:00:00.000","3560000","3560000","0","137000","4","0","12","16","18.25","4","0","12","16","18.25","POINT (-92.4534 42.537809)"
"Plumrose USA, Inc.","Pottawattamie","Council Bluffs","Contract Terminated","130% Component","11-130-031","2011-05-19T00:00:00.000","57910000","57810000","520000","1020000","5","0","0","5","18.56","5","0","0","5","18.56","POINT (-95.85436 41.258963)"
"Glycerin Group dba KemX Global","Boone","Boone","Contract Terminated","High Quality Jobs Program","16-HQJTC-032","2016-01-29T00:00:00.000","27792000","27242000","0","1875500","41","0","0","41","21.58","41","0","0","41","21.58","POINT (-93.879963 42.056575)"
"Tactical 8 Technologies LLC","Black Hawk","Cedar Falls","Contract Terminated","100% Component","12-100-008","2012-02-17T00:00:00.000","435000","75000","45000","0","15","0","0","15","16.18","15","0","0","15","16.18","POINT (-92.4534 42.537809)"
"Scientific Games","Polk","Des Moines","Declined or Rescinded","High Quality Jobs Program","16-HQJTC-043","2016-05-20T00:00:00.000","3146875","300000","0","42703","17","0","3","20","26.72","17","0","3","20","26.72","POINT (-93.620309 41.588822)"
"Tyson Fresh Meats, Inc.","Pottawattamie","Council Bluffs","Declined or Rescinded","Enterprise Zone","14-EZ-005","2014-03-28T00:00:00.000","10000000","9518763","0","951876","22","0","117","139","14.81","22","0","117","139","14.81","POINT (-95.85436 41.258963)"
"Generation Repair and Service, LLC","Story","Story City","Declined or Rescinded","High Quality Jobs Program","13-HQJTC-013","2012-10-19T00:00:00.000","10500000","10500000","0","102000","7","0","0","7","20.81","7","0","0","7","20.81","POINT (-93.591059 42.185863)"
"Dickten Masch Plastics, LLC","Polk","Ankeny","Contract Terminated","High Quality Jobs Program","14-HQJTC-033","2014-04-18T00:00:00.000","5310000","4460000","0","160050","6","0","24","30","24.32","6","0","24","30","24.32","POINT (-93.600414 41.72508)"
"Hirschbach Motor Lines, Inc.","Dubuque","Dubuque","Contract Terminated","High Quality Jobs Program","15-HQJDF-038","2015-02-20T00:00:00.000","9000000","9000000","500000","150000","80",,"19","99","16.72","80","0","19","99","16.72","POINT (-90.667314 42.505512)"
"Winnebago Industries, Inc.","Winnebago","Forest City","Declined or Rescinded","High Quality Jobs Program","19-HQJTC-019","2019-02-22T00:00:00.000","5300000","5300000","0","361000","23","0","125","148","21.79","23","0","125","148","21.79","POINT (-93.637271 43.261486)"
"Curly's Foods/Smithfield Foods","Woodbury","Sioux City","Contract Terminated","High Quality Jobs Program","15-HQJTC-052","2015-04-17T00:00:00.000","9000000","9000000","0","360000","8","0","22","30","20.66","8","0","22","30","20.66","POINT (-96.406436 42.496323)"
"AMPC, Inc. d/b/a Proliant Meat Ingredients","Sac","Lytton","Declined or Rescinded","High Quality Jobs Program","12-HQJP-007","2011-08-18T00:00:00.000","8000000","8000000","0","110000","0","0","3","3","18.54","0","0","3","3","18.54","POINT (-94.861181 42.421707)"
"Polaris Industries, Inc.","Dickinson","Milford","Contract Terminated","High Quality Jobs Program","14-HQJDF-041","2014-05-16T00:00:00.000","10000000","10000000","300000","706000","45","0","105","150","15.21","45","0","105","150","15.21","POINT (-95.151365 43.333275)"
"Jack Henry & Associates, Inc.","Black Hawk","Cedar Falls","Declined or Rescinded","High Quality Jobs Program","16-HQJDF-028","2016-02-19T00:00:00.000","17631947","580000","200000","309895","50","0","0","50","26.72","50","0","0","50","26.72","POINT (-92.4534 42.537809)"
"Rembrandt Enterprises, Inc.","Clay","Spencer","Contract Terminated","High Quality Jobs Program","12-HQJP-012","2011-08-18T00:00:00.000","1017500","967500","0","26685","0","0","2","2","18.47","0","0","2","2","18.47","POINT (-95.144697 43.141367)"
"FEH Associates, Inc.","Woodbury","Sioux City","Contract Terminated","Targeted Jobs","14-TJ-004","2014-01-17T00:00:00.000","420000","20000","0","155629","4","14","0","0","16.14","4","14","0","18","16.14","POINT (-96.406436 42.496323)"
"Emerson Electric Co.","Marshall","Marshalltown","Contract Terminated","High Quality Jobs Program","14-HQJTC-004","2013-09-20T00:00:00.000","5918000","5918000","0","88770","4","0","0","4","17.17","4","0","0","4","17.17","POINT (-92.912686 42.034679)"
"Hewlett-Packard Company","Polk","Des Moines","Contract Terminated","130% Component","11-130-023","2011-01-20T00:00:00.000","16700000","16700000","600000","465000","10","62","140","212","23.20","10","62","140","212","23.20","POINT (-93.620309 41.588822)"
"Cloverleaf Cold Storage Co.","Woodbury","Sioux City","Contract Terminated","Targeted Jobs","15-TJ-001","2014-07-18T00:00:00.000","2007725","927725","0","400000","9","23","4","36","16.63","9","23","4","36","16.63","POINT (-96.406436 42.496323)"
"Valley of the Moon Commercial Poults, Inc.","Decatur","Lamoni","Declined or Rescinded","Enterprise Zone","11-EZ-018","2011-01-20T00:00:00.000","17000000","17000000","0","2030000","11","0","22","33","10.56","11","0","22","33","10.56","POINT (-93.938951 40.623734)"
"Aero Technologies, LLC","Adams","Corning","Contract Terminated","High Quality Jobs Program","17-HQJDF-010","2016-11-18T00:00:00.000","1430000","1180000","225000","23850","25","0","0","25","18.88","25","0","0","25","18.88","POINT (-94.731883 40.988077)"
"RACOM Corporation","Marshall","Marshalltown","Contract Terminated","High Quality Jobs Program","19-HQJTC-015","2019-01-25T00:00:00.000","6350000","6350000","0","190000","3","0","5","8","18.51","3","0","5","8","18.51","POINT (-92.912686 42.034679)"
"Solum, Inc.","Story","Ames","Contract Terminated","130% Component","12-130-036","2012-06-22T00:00:00.000","4940000","2140000","100000","158000","25","0","0","25","21.25","25","0","0","25","21.25","POINT (-93.620181 42.026802)"
