"company_name","company_type","naic_number","iowa_license_number","iowa_domiciled","address1","address2","company_city","company_state","company_zip","telephone","alternate_address1","alternate_address2","alternate_city","alternate_state","alternate_zip","alternate_telephone","business_license_type","ownership_type","fdba","location","alternate_location","stld","stateofdomicile"
"German Mutual Insurance Association","County Mutual","15406","0022","true","HIGHWAY 4 & 7","PO BOX 160","POMEROY","IA","50575","712-468-2215",,,,,,,"County Mutual","Mutual",,"POINT (-94.678104 42.583273)",,,"IA"
"Glidden Mutual Insurance Association","County Mutual","15409","0023","true","135 IDAHO ST","PO BOX 608","GLIDDEN","IA","51443","712-659-3185",,,,,,,"County Mutual","Mutual","Farmers Mutual Fire and Lightning Insurance Association","POINT (-94.72884 42.056625)",,,"IA"
"Farmers Mutual Insurance Association of Roselle","County Mutual","15402","0025","true","1424 HIGHWAY 71 N",,"CARROLL","IA","51401","7127924525",,,,,,,"County Mutual","Mutual",,"POINT (-94.878168 42.074738)",,,"IA"
"Home Mutual Insurance Association of Carroll County Iowa","County Mutual","14263","0026","true","PO BOX 367",,"MANNING","IA","51455","712-655-3076",,,,,,,"County Mutual","Mutual","German Mutual Fire, Lightning, Tornado, Wind, & Cyclone Association",,,,"IA"
"Mount Carmel Mutual Insurance Association","County Mutual","15424","0027","true","105 N 3RD ST","PO BOX 69","BREDA","IA","51436","712-673-2827",,,,,,,"County Mutual","Mutual","Mt. Carmel Mutual Protective Association","POINT (-94.978494 42.181821)",,,"IA"
"Valley Mutual Insurance Association","State Mutual","15433","0028","true","600 WALNUT ST",,"ATLANTIC","IA","50022","712-243-4392",,,,,,,"Iowa State Mutual Insurance Association","Mutual","Cass Mutual Insurance Association, Cass County Farmers Mutual Fire Insurance Association","POINT (-95.011576 41.404825)",,,"IA"
"Maple Valley Mutual Insurance Association","County Mutual","15420","0033","true","156 MAIN ST",,"AURELIA","IA","51005","712-434-5991",,,,,,,"County Mutual","Mutual",,"POINT (-95.436529 42.712339)",,,"IA"
"Chickasaw Mutual Insurance Association","County Mutual","15389","0035","true","25 W MAIN ST","PO BOX 248","NEW HAMPTON","IA","50659","641-394-2158",,,,,,,"County Mutual","Mutual","Farmers Mutual Fire & Lightning Insurance Association of Chickasaw County","POINT (-92.316403 43.059306)",,,"IA"
"Clay Mutual Insurance Association","County Mutual","15390","0036","true","515 GRAND","PO BOX 467","SPENCER","IA","51301","712-262-2240",,,,,,,"County Mutual","Mutual","Farmers Mutual Fire & Lightning Insurance Association","POINT (-95.144782 43.143013)",,,"IA"
"Alliance Mutual Insurance Association","State Mutual","15401","0039","true","830 12TH AVE SW",,"DYERSVILLE","IA","52040","5638750878",,,,,,,"Iowa State Mutual Insurance Association","Mutual","Farmers Mutual Insurance Association of Garnavillo","POINT (-91.135797 42.474882)",,,"IA"
"Wheatland Mutual Insurance Association","County Mutual","15436","0041","true","109 N MAIN","PO BOX 100","WHEATLAND","IA","52777","563-374-1567",,,,,,,"County Mutual","Mutual","Farmers Mutual Insurance Association of Clinton & Adjoining Counties in Ia","POINT (-90.838528 41.833014)",,,"IA"
"American Mutual Insurance Association","State Mutual","15319","0042","true","903 DEWITT ST","PO BOX 256","GRAND MOUND","IA","52751","563-847-2000",,,,,,,"Iowa State Mutual Insurance Association","Mutual","American Mutual Fire & Lightning Insurance Association","POINT (-90.643506 41.825496)",,,"IA"
"Farmers Mutual Insurance Association","County Mutual","15396","0046","true","PO BOX 40",,"SCHLESWIG","IA","51461","712-676-3621",,,,,,,"County Mutual","Mutual","Mutual Fire, L., Tornado, Wind, Insurance of German Farmers of Crawford & I",,,,"IA"
"Dallas Mutual Insurance Association","County Mutual","14262","0047","true","1410 WALNUT ST","PO BOX 624","DALLAS CENTER","IA","50063","515-992-4121",,,,,,,"County Mutual","Mutual","Farmers Mutual Fire and Lightning Insurance Association","POINT (-93.961911 41.684366)",,,"IA"
"Heart of Iowa Mutual Insurance Association","State Mutual","13165","0048","true","200 NE 2ND",,"STUART","IA","50250","515-523-1743",,,,,,,"Iowa State Mutual Insurance Association","Mutual","Patrons Mutual Insurance Association, Patrons Mutual Fire Insurance Association of Dexter, IA","POINT (-94.316724 41.504902)",,,"IA"
"DMC Mutual Insurance Association","State Mutual","12817","0050","true","HWY 61 S","PO BOX 69","MEDIAPOLIS","IA","52637-0069","319-394-3173",,,,,,,"Iowa State Mutual Insurance Association","Mutual","Des Moines County Farmers Mutual Fire Insurance Association, Des Moines County Mutual Insurance Association",,,,"IA"
"Dickinson County Mutual Insurance Association","County Mutual","15392","0055","true","613 LAKE ST","PO BOX OC","SPIRIT LAKE","IA","51360","712-336-1262",,,,,,,"County Mutual","Mutual","Dickinson County Farmers Mutual Insurance Association","POINT (-95.100389 43.423455)",,,"IA"
"Sherrill Mutual Fire Insurance Association","County Mutual","15428","0058","true","PO BOX 19",,"SHERRILL","IA","52073","563-552-1715",,,,,,,"County Mutual","Mutual",,,,,"IA"
"New Vienna Mutual Insurance Association","County Mutual","15425","0060","true","7218 COLUMBUS","PO BOX 20","NEW VIENNA","IA","52065-0020","563-921-4115",,,,,,,"County Mutual","Mutual",,"POINT (-91.114188 42.547651)",,,"IA"
"Farmers Mutual Insurance Association","County Mutual","15397","0062","true","PO BOX 246",,"FAYETTE","IA","52142","563-425-4176",,,,,,,"County Mutual","Mutual","Farmer Mutual Fire Insurance Association",,,,"IA"
"Floyd County Mutual Insurance Association","County Mutual","15403","0064","true","215 N JACKSON ST","PO BOX 278","CHARLES CITY","IA","50616-0278","641-228-2446",,,,,,,"County Mutual","Mutual","Floyd County Farmers Mutual Fire Insurance Association","POINT (-92.679773 43.067956)",,,"IA"
"Raccoon Valley Mutual Insurance Association","State Mutual","15398","0067","true","108 N VINE ST","PO BOX 390","JEFFERSON","IA","50129","515-386-2178",,,,,,,"Iowa State Mutual Insurance Association","Mutual","Farmers Mutual Insurance Association, Farmers Mutual Fire and Lightning Insurance Association","POINT (-94.376056 42.01598)",,,"IA"
"Grundy Mutual Insurance Association","County Mutual","15410","0068","true","715 G AVENUE",,"GRUNDY CENTER","IA","50638","319-824-6962",,,,,,,"County Mutual","Mutual","Farmers Mutual Fire and Lightning Insurance Association of Grundy Co.","POINT (-92.773355 42.36151)",,,"IA"
"Iowa River Mutual Insurance Association","State Mutual","15007","0072","true","1515 EDGINGTON",,"ELDORA","IA","50627","641-939-7985",,,,,,,"Iowa State Mutual Insurance Association","Mutual","Hardin County Mutual Insurance Association","POINT (-93.10335 42.360633)",,,"IA"
"Svea Mutual Insurance Association","County Mutual","15430","0075","true","1903 140TH ST","PO BOX 35","SWEDESBURG","IA","52652","319-254-2288",,,,,,,"County Mutual","Mutual","Svea Mutual Fire Insurance Association","POINT (-91.544051 41.105203)",,,"IA"
"Howard County Mutual Insurance Association","County Mutual","15412","0076","true","PO BOX 87",,"CRESCO","IA","52136","563-547-2450",,,,,,,"County Mutual","Mutual","Farmers Mutual Insurance Association of Cresco",,,,"IA"
"Humboldt Mutual Insurance Association","State Mutual","15287","0077","true","513 SUMNER AVE","PO BOX 35","HUMBOLDT","IA","51548","515-332-2953",,,,,,,"Iowa State Mutual Insurance Association","Mutual",,"POINT (-94.215084 42.721111)",,,"IA"
"Heritage Mutual Insurance Association","State Mutual","12919","0080","true","PO BOX 288",,"PRESTON","IA","52069","563-689-3251",,,,,,,"Iowa State Mutual Insurance Association","Mutual","Preston Mutual Insurance Association, Farmers Mutual Aid Association",,,,"IA"
"JCM Mutual Insurance Association","State Mutual","15414","0082","true","50 S 4TH ST","PO BOX 430","FAIRFIELD","IA","52556","641-472-2136",,,,,,,"Iowa State Mutual Insurance Association","Mutual","Jefferson County Mutual Insurance Association, Jefferson Co. Farmers Mutual Insurance Association, Jefferson Mutual Insurance Association, Germanville-Jefferson Mutual Insurance Association","POINT (-91.967969 41.006644)",,,"IA"
"Lincoln Mutual Insurance Association","County Mutual","15418","0084","true","105 NORTH DEVOE ST","PO BOX 155","LONE TREE","IA","52755","319-629-4921",,,,,,,"County Mutual","Mutual",,"POINT (-91.425681 41.487558)",,,"IA"
"Castle Grove Mutual Insurance Association","County Mutual","15372","0088","true","101 E 10TH ST","PO BOX 67","MONTICELLO","IA","52310","319-465-5481",,,,,,,"County Mutual","Mutual","Farmers Mutual Insurance Association of Castle Grove","POINT (-91.191794 42.250769)",,,"IA"
"German Mutual Insurance Association","County Mutual","15408","0089","true","702 S MAIN",,"MONTICELLO","IA","52310","319-465-5080",,,,,,,"County Mutual","Mutual","German Mutual Fire Insurance Association","POINT (-91.186228 42.23206)",,,"IA"
"Prairie Mutual Insurance Association","State Mutual","12494","0090","true","216 E BROADWAY AVE","PO BOX 38","KEOTA","IA","52248","641-636-3773",,,,,,,"Iowa State Mutual Insurance Association","Mutual","Farmers Pioneer Mutual Insurance Association, Pioneer Mutual Insurance Association","POINT (-91.952844 41.36396)",,,"IA"
"Lee County Mutual Insurance Association","County Mutual","15416","0093","true","322 4TH ST","PO BOX 207","WEST POINT","IA","52656","319-837-6421",,,,,,,"County Mutual","Mutual","Lee County Farmers Home Mutual Insurance Association","POINT (-91.453838 40.717442)",,,"IA"
"Peoples Mutual Insurance Association","State Mutual","15375","0094","true","619 MADISON AVE","PO BOX 308","DONNELLSON","IA","52625","319-835-5312",,,,,,,"Iowa State Mutual Insurance Association","Mutual",,"POINT (-91.5668 40.639014)",,,"IA"
"Eastern Iowa Mutual Insurance Association","State Mutual","15376","0095","true","506 1ST AVE S","PO BOX 203","MOUNT VERNON","IA","52314","319-895-8417",,,,,,,"Iowa State Mutual Insurance Association","Mutual","Bohemian Farmers Mutual Insurance Association","POINT (-91.420318 41.918752)",,,"IA"
"West Side Mutual Insurance Association","State Mutual","15435","0100","true","120 VINTON ST","PO BOX 200","PALO","IA","52324","319-851-2147",,,,,,,"Iowa State Mutual Insurance Association","Mutual","West Side Mutual Fire Insurance Association of Linn County","POINT (-91.796842 42.066095)",,,"IA"
"Louisa Mutual Insurance Association","County Mutual","15419","0101","true","336 N 2ND","PO BOX 97","WAPELLO","IA","52653","319-523-4231",,,,,,,"County Mutual","Mutual","Farmers Mutual Fire Insurance Association","POINT (-91.185666 41.182439)",,,"IA"
"Farmers Mutual Insurance Association","County Mutual","14681","0106","true","708 CHASE ST","PO BOX 148","OSAGE","IA","50461","641-732-3778",,,,,,,"County Mutual","Mutual","Farmers Mutual Fire Insurance Association","POINT (-92.810482 43.28513)",,,"IA"
"Marion County Mutual Insurance Association","County Mutual","15421","0107","true","303 EAST MAIN ST","PO BOX 503","KNOXVILLE","IA","50138","641-842-2519",,,,,,,"County Mutual","Mutual",,"POINT (-93.096208 41.318938)",,,"IA"
"Monona County Mutual Insurance Association","County Mutual","15422","0109","true","906 7TH ST",,"ONAWA","IA","51040","712-423-1272",,,,,,,"County Mutual","Mutual","Farmers Mutual Fire Insurance Association of Monona County","POINT (-96.093023 42.027656)",,,"IA"
"Muscatine Mutual Insurance Association","State Mutual","15286","0111","true","200 FORD AVE",,"MUSCATINE","IA","52761","563-263-9252",,,,,,,"Iowa State Mutual Insurance Association","Mutual","Muscatine County Mutual Insurance Association, Farmers Mutual Insurance Association of Muscatine County","POINT (-91.02858 41.448977)",,,"IA"
"White Pigeon Mutual Insurance Association","County Mutual","15437","0112","true","105 W 4TH ST","PO BOX 10","WILTON","IA","52778","563-732-2072",,,,,,,"County Mutual","Mutual","White Pigeon Mutual Fire and Lightning Insurance Association","POINT (-91.017229 41.588722)",,,"IA"
"Farmers Mutual Insurance Association","County Mutual","13061","0113","true","726 4TH AVE","PO BOX 273","SIBLEY","IA","51249","712-754-3654",,,,,,,"County Mutual","Mutual","Farmers Mutual Fire and Lightning Insurance Association","POINT (-95.748826 43.400651)",,,"IA"
"Century Mutual Insurance Association","State Mutual","12869","0114","true","91 S CENTRAL AVE","PO BOX 168","HARTLEY","IA","51346","712-928-2412",,,,,,,"Iowa State Mutual Insurance Association","Mutual","Farmers Mutual Insurance Association, Farmers Mutual Insurance Association of O'Brien County","POINT (-95.477002 43.180217)",,,"IA"
"Farmers Mutual Insurance Association","County Mutual","15400","0117","true","915 BROADWAY","PO BOX 333","EMMETSBURG","IA","50536","712-852-4287",,,,,,,"County Mutual","Mutual",,"POINT (-94.678815 43.111348)",,,"IA"
"Pocahontas Mutual Insurance Association","State Mutual","14701","0119","true","137 S 3RD ST","PO BOX 99","LAURENS","IA","50554-0099","712-841-4569",,,,,,,"Iowa State Mutual Insurance Association","Mutual","Pocahontas County Mutual Insurance Association, Pocahontas Mutual Insurance Association","POINT (-94.85148 42.845762)",,,"IA"
"Western Iowa Mutual Insurance Association","State Mutual","12340","0122","true","127 PEARL ST",,"COUNCIL BLUFFS","IA","51503","712-328-1823",,,,,,,"Iowa State Mutual Insurance Association","Mutual","Pottawattamie Mutual Insurance Association","POINT (-95.850954 41.25876)",,,"IA"
"Poweshiek Mutual Insurance Association","State Mutual","14085","0123","true","224 WEST ST","PO BOX 654","GRINNELL","IA","50112-0654","641-236-6543",,,,,,,"Iowa State Mutual Insurance Association","Mutual","Poweshiek County Farmers Mutual Insurance Association","POINT (-92.727339 41.733442)",,,"IA"
"American Mutual Insurance Association","State Mutual","12616","0126","true","151 N 4TH AVENUE",,"ELDRIDGE","IA","52748","563-285-2074",,,,,,,"Iowa State Mutual Insurance Association","Mutual","American Mutual Fire and Tornado Insurance Association","POINT (-90.578107 41.655673)",,,"IA"
"Walcott Mutual Insurance Association","County Mutual","15434","0127","true","102 W OTIS ST",,"WALCOTT","IA","52773","563-284-6243",,,,,,,"County Mutual","Mutual","Farmers Mutual Insurance Association of Scott County","POINT (-90.774858 41.58698)",,,"IA"
"Danish Mutual Insurance Association","State Mutual","14442","0131","true","4138 MAIN","PO BOX 349","ELK HORN","IA","51531","712-764-5306",,,,,,,"Iowa State Mutual Insurance Association","Mutual","Danish Mutual Fire Insurance Association","POINT (-95.059987 41.591384)",,,"IA"
"Shelby County Farmers Mutual Insurance Association","County Mutual","15427","0132","true","1117 7TH ST",,"HARLAN","IA","51537","712-755-3171",,,,,,,"County Mutual","Mutual","Farmers Mutual Insurance Association of Shelby County","POINT (-95.318946 41.657191)",,,"IA"
"Farmers Mutual Insurance Association","State Mutual","14115","0134","true","1010 MAIN ST",,"HULL","IA","51239","712-439-1722",,,,,,,"Iowa State Mutual Insurance Association","Mutual",,"POINT (-96.13366 43.18796)",,,"IA"
"German Farmers Mutual Insurance Association","County Mutual","15405","0135","true","116 N MAIN AVE",,"SIOUX CENTER","IA","51250","712-722-2571",,,,,,,"County Mutual","Mutual",,"POINT (-96.175486 43.077817)",,,"IA"
"Tama County Mutual Insurance Association","County Mutual","15116","0140","true","PO BOX 58",,"TRAER","IA","50675-0058","319-478-2710",,,,,,,"County Mutual","Mutual","Farmers Mutual Aid Association of Tama County",,,,"IA"
"Farmers Mutual Insurance Association","County Mutual","15399","0141","true","PO BOX 59",,"TRAER","IA","50675-0059","319-478-2585",,,,,,,"County Mutual","Mutual","Mutual Fire Insurance Association of German Farmers of Tama County",,,,"IA"
"Farm & Home Mutual Insurance Association","State Mutual","15330","0151","true","102 S IOWA AVE",,"WASHINGTON","IA","52353-0090","3198630611",,,,,,,"Iowa State Mutual Insurance Association","Mutual","Farm and Home Security Mutual Insurance Association, Farmers Mutual Insurance Association of Washington County, Farmers Mutual Insurance Association, Farmers Mutual Insurance Association of Washington, Iowa","POINT (-91.691641 41.299177)",,,"IA"
"Northwest Iowa Mutual Insurance Association","County Mutual","15426","0152","true","239 S WASHINGTON ST",,"REMSEN","IA","51050","712-786-1436",,,,,,,"County Mutual","Mutual","Remsen Mutual Insurance Association, Remsen Mutual Fire Insurance Association","POINT (-95.973334 42.814069)",,,"IA"
"Winnebago Mutual Insurance Association","County Mutual","13172","0153","true","301 W MAIN",,"LAKE MILLS","IA","50450","641-592-1271",,,,,,,"County Mutual","Mutual","Farmers Mutual Insurance Association","POINT (-93.535289 43.419388)",,,"IA"
"Winneshiek Mutual Insurance Association","County Mutual","15438","0155","true","703 SHORT ST",,"DECORAH","IA","52101","563-382-2936",,,,,,,"County Mutual","Mutual","Farmers Mutual Fire and Lightning Association of Winneshiek County","POINT (-91.793921 43.293224)",,,"IA"
"Norwegian Mutual Insurance Association","State Mutual","15298","0157","true","2333 MILLENNIUM RD",,"DECORAH","IA","52101","563-382-9695",,,,,,,"Iowa State Mutual Insurance Association","Mutual","Norwegian Mutual Protective Association of Winneshiek County",,,,"IA"
"Worth Mutual Insurance Association","County Mutual","15439","0160","true","704 CENTRAL AVE","PO BOX 287","NORTHWOOD","IA","50459","641-324-2452",,,,,,,"County Mutual","Mutual","Farmers Mutual Insurance Assocation","POINT (-93.221911 43.4441)",,,"IA"
"Clinton Mutual Plate Glass Association","County Mutual","31623","0162","true","4553 180TH ST","PO BOX 1","CLINTON","IA","52732","563-242-2454",,,,,,,"County Mutual","Mutual",,"POINT (-90.208493 41.917432)",,,"IA"
"IMT Insurance Company","Property Casualty","14257","0196","true","PO BOX 1336",,"DES MOINES","IA","50306-1336","800-274-3531","7825 MILLS CIVIC PARKWAY",,"WEST DES MOINES","IA","50266","515-453-0897","Iowa Stock Fire And Casualty Company","Stock","Iowa Mutual Tornado Insurance Company, Iowa Mutual Tornado Insurance Association, IMT Insurance Company (Mutual)",,"POINT (-93.815885 41.560555)",,"IA"
"American Republic Insurance Company","Life","60836","0204","true","PO BOX 1",,"DES MOINES","IA","50306-0001","800-247-2190","601 Sixth Avenue",,"Des Moines","IA","50309","515-695-2125","Iowa Stock Life - with A & H","Stock","American Union Insurance Company",,"POINT (-93.625648 41.590168)",,"IA"
"Homesteaders Life Company","Life","64505","0210","true","PO BOX 1756",,"DES MOINES","IA","50306","800-777-3633","5700 Westown Parkway",,"West Des Moines","IA","50266-8221","515-440-7777-7716","Iowa Mutual Life - with A&H","Mutual","Homesteaders, Homesteaders Life Association",,"POINT (-93.783599 41.594969)",,"IA"
"Farm Bureau Life Insurance Company","Life","63088","0211","true","5400 UNIVERSITY AVENUE",,"WEST DES MOINES","IA","50266-5997","5152255400","5400 University Avenue",,"West Des Moines","IA","50266-5997","515-226-6154","Iowa Stock Life - with A & H","Stock","Iowa Life Insurance Company","POINT (-93.779306 41.600454)","POINT (-93.779306 41.600454)",,"IA"
"Aetna Life Insurance Company","Life","60054","0231","false","151 Farmington Avenue",,"HARTFORD","CT","06156","800-872-3862","151 FARMINGTON AVENUE, RW61",,"HARTFORD","CT","06156","860-273-8329","Non Iowa Stock Life - with A & H","Stock",,"POINT (-72.688425 41.768046)","POINT (-72.688425 41.768046)",,"CT"
"American National Insurance Company","Life","60739","0232","false","One Moody Plaza",,"GALVESTON","TX","77550","409-763-1112","ONE MOODY PLAZA",,"GALVESTON","TX","77550","409-766-6969","Non Iowa Stock Life - with A & H","Stock",,,,,"TX"
"American United Life Insurance Company","Life","60895","0234","false","PO BOX 368",,"INDIANAPOLIS","IN","46206","317-285-1186","P.O. BOX 368",,"INDIANAPOLIS","IN","46206-0368","317-285-1186","Non Iowa Stock Life - with A & H","Stock","Knights of Pythias, United Mutual Life Insurance Company",,,,"IN"
"Athene Annuity & Life Assurance Company","Life","61492","0240","false","7700 Mills Civic Parkway",,"WEST DES MOINES","IA","50266","8008009882","7700 MILLS CIVIC PARKWAY",,"WEST DES MOINES","IA","50266-3862","515-342-3806","Non Iowa Stock Life - with A & H","Stock","Liberty Life Insurance Company, Business Mens Accident Association, Business Mens Assurance Company of America","POINT (-93.814591 41.560481)","POINT (-93.814591 41.560481)",,"DE"
"Reliance Standard Life Insurance Company","Life","68381","0241","false","2001 Market St., #1500",,"PHILADELPHIA","PA","19103","800-353-3986","1700 MARKET STREET, SUITE 1200",,"PHILADELPHIA","PA","19103","267-256-3810","Non Iowa Stock Life - with A & H","Stock","Central Life Insurance Co. of Illinois, Central Standard Life Insurance Company","POINT (-75.173668 39.953642)","POINT (-75.169113 39.953077)",,"IL"
"Americo Financial Life and Annuity Insurance Company","Life","61999","0242","false","300 W. 11th Street",,"KANSAS CITY","MO","64105","8163912000","300 WEST 11TH STREET",,"KANSAS CITY","MO","64105-1680","800-231-0801","Non Iowa Stock Life - with A & H","Stock","College Life Insurance Company of America (The)","POINT (-94.587156 39.10095)","POINT (-94.587156 39.10095)",,"TX"
"Connecticut General Life Insurance Company","Life","62308","0245","false","Two Liberty Pl., TL14A","1601 Chestnut Street","PHILADELPHIA","PA","19192-2362","215-761-1133","TWO LIBERTY PLACE, 1601 CHESTNUT STREET,",,"PHILADELPHIA","PA","19192-2362","215-761-1000","Non Iowa Stock Life - with A & H","Stock",,,,,"CT"
"Wilcac Life Insurance Company","Life","62413","0247","false","20 Glover Ave, 4th Floor",,"NORWALK","CT","06850","2037624664","20 GLOVER AVENUE 4TH FLOOR",,"NORWALK","CT","06850","203-762-4430","Non Iowa Stock Life - with A & H","Stock","Continental Assurance Company","POINT (-73.427416 41.143433)","POINT (-73.427416 41.143433)",,"IL"
"Trustmark Life Insurance Company","Life","62863","0249","false","400 Field Drive",,"LAKE FOREST","IL","60045","847-283-4018","400 FIELD DRIVE",,"LAKE FOREST","IL","60045-2581","847-283-3478","Non Iowa Stock Life - with A & H","Stock","Employees Mutual Benefit Association of St. Paul, Employees Mutual Benefit Association, Horizon Life Insurance Company","POINT (-87.897956 42.246575)","POINT (-87.897956 42.246575)",,"IL"
"Equitable Financial Life Insurance Company","Life","62944","0250","false","1290 Avenue of the Americas","11th Floor","NEW YORK","NY","10104","212-314-3941","1290 Avenue of the Americas",,"New York","NY","10104","212-314-2155","Non Iowa Stock Life - with A & H","Stock","AXA Equitable Life Insurance Company, Equitable Life Assurance Society of the  United States (The)","POINT (-73.97967 40.76093)","POINT (-73.97967 40.76093)",,"NY"
"Federal Life Insurance Company","Life","63223","0254","false","3750 W. Deerfield Rd.",,"RIVERWOODS","IL","60015","847-520-1900","3750 W. Deerfield Road",,"Riverwoods","IL","60015","847-520-1900","Non Iowa Stock Life - with A & H","Stock","Federal Life Insurance Company (Mutual)",,,,"IL"
"Fidelity Life Association, A Legal Reserve Life Insurance Company","Life","63290","0256","false","8700 W. Bryn Mawr Ave., Suite 900S",,"CHICAGO","IL","60631","800-369-3990","8700 W. Bryn Mawr Ave., Suite 900S",,"Chicago","IL","60631","312-379-2397-","Non Iowa Stock Life - with A & H","Stock","Fidelity Life Association, Mystic Workers of the World, Fidelity Life Association a Mutual Legal Reserve Company","POINT (-87.843348 41.980988)","POINT (-87.843348 41.980988)",,"IL"
"Guardian Life Insurance Company of America (The)","Life","64246","0262","false","10 Hudson Yards",,"NEW YORK","NY","10001","212-598-8000","10 HUDSON YARDS",,"NEW YORK","NY","10001","212-919-3279","Non Iowa Mutual Life - with A & H","Mutual","Germania Life Insurance Company, Guardian Life Insurance Company",,,,"NY"
"Horace Mann Life Insurance Company","Life","64513","0264","false","1 Horace Mann Plaza",,"SPRINGFIELD","IL","62715","800-999-1030","#1 HORACE MANN PLAZA",,"SPRINGFIELD","IL","62715","800-999-1030","Non Iowa Stock Life - with A & H","Stock",,"POINT (-89.64359 39.80163)","POINT (-89.64359 39.80163)",,"IL"
"Kansas City Life Insurance Company","Life","65129","0268","false","PO BOX 219139",,"KANSAS CITY","MO","64121-6139","816-753-7000","3520 Broadway",,"Kansas City","MO","64111-2565","816-753-7000","Non Iowa Stock Life - with A & H","Stock",,,,,"MO"
"Lafayette Life Insurance Company (The)","Life","65242","0269","false","400 Broadway Street",,"CINCINNATI","OH","45202","8004438793","400 BROADWAY",,"CINCINNATI","OH","45202","800-243-6631","Non Iowa Stock Life - with A & H","Stock",,"POINT (-84.506187 39.101104)","POINT (-84.506187 39.101104)",,"OH"
"Lincoln National Life Insurance Company  (The)","Life","65676","0272","false","1300 S. Clinton St.",,"FORT WAYNE","IN","46802","800-444-2363","1300 SOUTH CLINTON STREET",,"FORT WAYNE","IN","46802-3425","800-444-2363","Non Iowa Stock Life - with A & H","Stock",,"POINT (-85.13683 41.073942)","POINT (-85.13683 41.073942)",,"IN"
"Massachusetts Mutual Life Insurance Company","Life","65935","0274","false","1295 State Street",,"SPRINGFIELD","MA","01111","800-272-2216","1295 STATE STREET",,"SPRINGFIELD","MA","01111","800-272-2216","Non Iowa Mutual Life - with A & H","Mutual",,"POINT (-72.547921 42.117864)","POINT (-72.547921 42.117864)",,"MA"
