"company_name","company_type","naic_number","iowa_license_number","iowa_domiciled","address1","address2","company_city","company_state","company_zip","telephone","alternate_address1","alternate_city","alternate_state","alternate_zip","alternate_telephone","business_license_type","ownership_type","location","alternate_location"
"Continental Western Insurance Company","Property Casualty","10804","0445","true","PO BOX 1594",,"DES MOINES","IA","50306","5154733000","11201 DOUGLAS AVENUE","URBANDALE","IO","50322-3707","515-473-3335","Iowa Stock Fire And Casualty Company","Stock",,"POINT (-93.771276 41.629561)"
"Cooperative Welfare Benefits Plan (The)","MEWA",,"3197","true","1415 28TH ST","SUITE 100","WEST DES MOINES","IA","50266-1450","5152260303",,,,,,"Multiple Employer Welfare Arrangement","Stock","POINT (-93.740533 41.594568)",
"CUMIS Insurance Society, Inc.","Property Casualty","10847","1279","true","PO BOX 1084",,"MADISON","WI","53701","608-238-5851","5910 MINERAL POINT ROAD","MADISON","WI","53705","800-356-2644","Iowa Stock Fire And Casualty Company","Stock",,"POINT (-89.483931 43.06086)"
"CUMIS Specialty Insurance Company, Inc.","Property Casualty","12758","3000","true","PO BOX 1084",,"MADISON","WI","53701","608-238-5851","5910 MINERAL POINT ROAD","MADISON","WI","53705","800-356-2644","Iowa Stock Fire And Casualty Company","Stock",,"POINT (-89.483931 43.06086)"
"Dallas Mutual Insurance Association","County Mutual","14262","0047","true","1410 WALNUT ST","PO BOX 624","DALLAS CENTER","IA","50063","515-992-4121",,,,,,"County Mutual","Mutual","POINT (-93.961911 41.684366)",
"Danish Mutual Insurance Association","State Mutual","14442","0131","true","4138 MAIN","PO BOX 349","ELK HORN","IA","51531","712-764-5306",,,,,,"Iowa State Mutual Insurance Association","Mutual","POINT (-95.059987 41.591384)",
"Delta Dental of Iowa","Health","55786","1641","true","9000 NORTHPARK DRIVE",,"JOHNSTON","IA","50131","800-544-0718","2401 SE Tones Dr, Suite 13","Ankeny","IA","50021","515-963-4100","Non-Profit Hospital and Medical Services","Stock","POINT (-93.742493 41.654756)","POINT (-93.572969 41.705502)"
"Depositors Insurance Company","Property Casualty","42587","2247","true","ONE NATIONWIDE BLVD, FSSC-RR",,"COLUMBUS","OH","43215","800-882-2822","1000 YARD STREET, GH-2D-OCA1, BUILDING H","GRANDVIEW HEIGHTS","OH","43212","1-614-435-0122","Iowa Stock Fire And Casualty Company","Stock",,"POINT (-83.0271 39.980974)"
"Dickinson County Mutual Insurance Association","County Mutual","15392","0055","true","613 LAKE ST","PO BOX OC","SPIRIT LAKE","IA","51360","712-336-1262",,,,,,"County Mutual","Mutual","POINT (-95.100389 43.423455)",
"DMC Mutual Insurance Association","State Mutual","12817","0050","true","HWY 61 S","PO BOX 69","MEDIAPOLIS","IA","52637-0069","319-394-3173",,,,,,"Iowa State Mutual Insurance Association","Mutual",,
"Dubuque Men's Association","Benevolent",,"1531","true","PO BOX 911",,"DUBUQUE","IA","52004","5635903657",,,,,,"Benevolent","Stock",,
"Eagle Life Insurance Company","Life","13183","3047","true","PO BOX 71216",,"DES MOINES","IA","50325","866-526-0995","6000 WESTOWN PARKWAY","WEST DES MOINES","IA","50266-5921","515-273-3728","Iowa Stock Life - with A & H","Stock",,"POINT (-93.792094 41.594902)"
"Eastern Iowa Mutual Insurance Association","State Mutual","15376","0095","true","506 1ST AVE S","PO BOX 203","MOUNT VERNON","IA","52314","319-895-8417",,,,,,"Iowa State Mutual Insurance Association","Mutual","POINT (-91.420318 41.918752)",
"Eden Mutual Insurance Association","State Mutual","15394","0007","true","301 N K AVE",,"VINTON","IA","52349","319-472-2381",,,,,,"Iowa State Mutual Insurance Association","Mutual","POINT (-92.037412 42.172057)",
"EMCASCO Insurance Company","Property Casualty","21407","1168","true","PO BOX 712",,"DES MOINES","IA","50306-0712","515-345-7589","717 MULBERRY STREET","DES MOINES","IA","50309-3872","515-345-7589","Iowa Stock Fire And Casualty Company","Stock",,"POINT (-93.626392 41.584518)"
"EMC National Life Company","Life","62928","1350","true","PO BOX 9202",,"DES MOINES","IA","50306-9202","515-237-2056","699 WALNUT ST STE 1100","DES MOINES","IA","50309-3965","515-237-2056","Iowa Stock Life - with A & H","Stock",,"POINT (-93.625172 41.58576)"
"EMC Property & Casualty Company","Property Casualty","25186","1249","true","PO BOX 712",,"DES MOINES","IA","50306-0712","515-345-7589","717 MULBERRY STREET","DES MOINES","IA","50309-3872","515-345-7589","Iowa Stock Fire And Casualty Company","Stock",,"POINT (-93.626392 41.584518)"
"EMC Reinsurance Company","Property Casualty","40509","2069","true","PO BOX 712",,"DES MOINES","IA","50306-0712","515-345-7589","717 MULBERRY STREET","DES MOINES","IA","50309-3872","515-345-7589","Iowa Stock Fire And Casualty Company","Stock",,"POINT (-93.626392 41.584518)"
"Employers Mutual Casualty Company","Property Casualty","21415","0408","true","PO BOX 712",,"DES MOINES","IA","50306-0712","515-345-7589","717 MULBERRY STREET","DES MOINES","IA","50309-3872","515-345-7589","Iowa Mutual Fire and Casualty Company","Mutual",,"POINT (-93.626392 41.584518)"
"Farm Bureau Life Insurance Company","Life","63088","0211","true","5400 UNIVERSITY AVENUE",,"WEST DES MOINES","IA","50266-5997","5152255400","5400 University Avenue","West Des Moines","IA","50266-5997","515-226-6154","Iowa Stock Life - with A & H","Stock","POINT (-93.779306 41.600454)","POINT (-93.779306 41.600454)"
"Farm Bureau Property & Casualty Insurance Company","Property Casualty","13773","0419","true","5400 UNIVERSITY AVENUE",,"WEST DES MOINES","IA","50266-5997","5152255400","5400 University Ave","West Des Moines","IA","50266","515-225-5400","Iowa Stock Fire And Casualty Company","Stock","POINT (-93.779306 41.600454)","POINT (-93.779306 41.600454)"
"Farmers Mutual Hail Insurance Company of Iowa","Property Casualty","13897","0413","true","6785 WESTOWN PARKWAY",,"WEST DES MOINES","IA","50266","515-282-9104","6785 WESTOWN PARKWAY","WEST DES MOINES","IA","50266","515-724-5012","Iowa Mutual Fire and Casualty Company","Mutual","POINT (-93.802226 41.595104)","POINT (-93.802226 41.595104)"
"Farmers Mutual Insurance Association","County Mutual","14681","0106","true","708 CHASE ST","PO BOX 148","OSAGE","IA","50461","641-732-3778",,,,,,"County Mutual","Mutual","POINT (-92.810482 43.28513)",
"Farmers Mutual Insurance Association","County Mutual","15396","0046","true","PO BOX 40",,"SCHLESWIG","IA","51461","712-676-3621",,,,,,"County Mutual","Mutual",,
"Farmers Mutual Insurance Association","County Mutual","15397","0062","true","PO BOX 246",,"FAYETTE","IA","52142","563-425-4176",,,,,,"County Mutual","Mutual",,
"Farmers Mutual Insurance Association","County Mutual","13061","0113","true","726 4TH AVE","PO BOX 273","SIBLEY","IA","51249","712-754-3654",,,,,,"County Mutual","Mutual","POINT (-95.748826 43.400651)",
"Farmers Mutual Insurance Association","County Mutual","15400","0117","true","915 BROADWAY","PO BOX 333","EMMETSBURG","IA","50536","712-852-4287",,,,,,"County Mutual","Mutual","POINT (-94.678815 43.111348)",
"Farmers Mutual Insurance Association","State Mutual","14115","0134","true","1010 MAIN ST",,"HULL","IA","51239","712-439-1722",,,,,,"Iowa State Mutual Insurance Association","Mutual","POINT (-96.13366 43.18796)",
"Farmers Mutual Insurance Association","County Mutual","15399","0141","true","PO BOX 59",,"TRAER","IA","50675-0059","319-478-2585",,,,,,"County Mutual","Mutual",,
"Farmers Mutual Insurance Association of Roselle","County Mutual","15402","0025","true","1424 HIGHWAY 71 N",,"CARROLL","IA","51401","7127924525",,,,,,"County Mutual","Mutual","POINT (-94.878168 42.074738)",
"Farm & Home Mutual Insurance Association","State Mutual","15330","0151","true","102 S IOWA AVE",,"WASHINGTON","IA","52353-0090","3198630611",,,,,,"Iowa State Mutual Insurance Association","Mutual","POINT (-91.691641 41.299177)",
"Fidelity and Guaranty Insurance Company","Property Casualty","35386","1864","true","ONE TOWER SQUARE",,"HARTFORD","CT","06183","8602773966","ONE TOWER SQUARE, 5 MS","HARTFORD","CT","06183","860-277-1248","Iowa Stock Fire And Casualty Company","Stock",,
"Fidelity & Guaranty Life Insurance Company","Life","63274","1226","true","801 GRAND AVENUE, SUITE 2600",,"DES MOINES","IA","50309","(866) 846-4660","801 GRAND AVE. SUITE 2600","DES MOINES","IA","50309","402-479-8923","Iowa Stock Life - with A & H","Stock","POINT (-93.628366 41.587105)","POINT (-93.628366 41.587105)"
"First Maxfield Mutual Insurance Association","State Mutual","16760","0016","true","801 S STATE ST","PO BOX 385","DENVER","IA","50622","319-984-5255",,,,,,"Iowa State Mutual Insurance Association","Mutual","POINT (-92.337307 42.665543)",
"Floyd County Mutual Insurance Association","County Mutual","15403","0064","true","215 N JACKSON ST","PO BOX 278","CHARLES CITY","IA","50616-0278","641-228-2446",,,,,,"County Mutual","Mutual","POINT (-92.679773 43.067956)",
"FMH Ag Risk Insurance Company","Property Casualty","36781","2422","true","6785 WESTOWN PARKWAY",,"WEST DES MOINES","IA","50266","515-724-5007","6785 WESTOWN PARKWAY","WEST DES MOINES","IA","50266","515-724-5012","Iowa Stock Fire And Casualty Company","Stock","POINT (-93.802226 41.595104)","POINT (-93.802226 41.595104)"
"German Farmers Mutual Insurance Association","County Mutual","15405","0135","true","116 N MAIN AVE",,"SIOUX CENTER","IA","51250","712-722-2571",,,,,,"County Mutual","Mutual","POINT (-96.175486 43.077817)",
"German Mutual Insurance Association","County Mutual","15406","0022","true","HIGHWAY 4 & 7","PO BOX 160","POMEROY","IA","50575","712-468-2215",,,,,,"County Mutual","Mutual","POINT (-94.678104 42.583273)",
"German Mutual Insurance Association","County Mutual","15408","0089","true","702 S MAIN",,"MONTICELLO","IA","52310","319-465-5080",,,,,,"County Mutual","Mutual","POINT (-91.186228 42.23206)",
"GFMutual Insurance Association","State Mutual","15373","0004","true","20 SPRING AVE",,"WAUKON","IA","52172","563-568-3461",,,,,,"Iowa State Mutual Insurance Association","Mutual","POINT (-91.475841 43.268583)",
"Glidden Mutual Insurance Association","County Mutual","15409","0023","true","135 IDAHO ST","PO BOX 608","GLIDDEN","IA","51443","712-659-3185",,,,,,"County Mutual","Mutual","POINT (-94.72884 42.056625)",
"Great Plains Casualty, Inc.","Property Casualty","12982","3012","true","PO BOX 68","3930 16TH AVENUE SW","CEDAR RAPIDS","IA","52406","319-390-2691","3930 16th Avenue SW","Cedar Rapids","IA","52404","319-390-2771","Iowa Stock Fire And Casualty Company","Stock",,"POINT (-91.721524 41.96365)"
"Great Western Insurance Company","Life","71480","2752","true","PO BOX 14410",,"DES MOINES","IA","50306-3410","866-689-1401","601 Sixth Avenue","Des Moines","IA","50309","515-695-2125","Iowa Stock Life - with A & H","Stock",,"POINT (-93.625648 41.590168)"
"Greenfields Life Insurance Company","Life","14908","3229","true","5400 UNIVERSITY AVENUE",,"WEST DES MOINES","IA","50266","5152255400","5400 University Avenue","West Des Moines","IA","50266-5997","515-226-6154","Iowa Stock Life - without A&H","Stock","POINT (-93.779306 41.600454)","POINT (-93.779306 41.600454)"
"Grinnell Compass, Inc.","Property Casualty","15831","3205","true","4215 HIGHWAY 146, PO BOX 790",,"GRINNELL","IA","50112-0790","6412698000","4215 HIGHWAY 146, PO BOX 790","GRINNELL","IA","50112-0790","641-269-8000-8011","Iowa Stock Fire And Casualty Company","Stock","POINT (-92.727228 41.684603)","POINT (-92.727228 41.684603)"
"Grinnell Mutual Reinsurance Company","Property Casualty","14117","0414","true","4215 HIGHWAY 146, P.O. BOX 790",,"GRINNELL","IA","50112-0790","800-362-2041","4215 HIGHWAY 146, PO BOX 790","GRINNELL","IA","50112-0790","641-269-8000-8011","Iowa Mutual Fire and Casualty Company","Mutual","POINT (-92.727228 41.684603)","POINT (-92.727228 41.684603)"
"Grinnell Select Insurance Company","Property Casualty","16144","2313","true","4215 HIGHWAY 146, P.O. BOX 790",,"GRINNELL","IA","50112-0790","800-362-2041","4215 HIGHWAY 146. PO BOX 790","GRINNELL","IA","50112-0790","641-269-8000-8011","Iowa Stock Fire And Casualty Company","Stock","POINT (-92.727228 41.684603)","POINT (-92.727228 41.684603)"
"Grundy Mutual Insurance Association","County Mutual","15410","0068","true","715 G AVENUE",,"GRUNDY CENTER","IA","50638","319-824-6962",,,,,,"County Mutual","Mutual","POINT (-92.773355 42.36151)",
"Guaranty Income Life Insurance Company","Life","64238","2172","true","PO BOX 2231",,"BATON ROUGE","LA","70821","800-535-8110","2638 SOUTH SHERWOOD FOREST BLVD, STE 200","BATON ROUGE","LA","70816","225-490-8285","Iowa Stock Life - with A & H","Stock",,"POINT (-91.055738 30.427605)"
"GuideOne America Insurance Company","Property Casualty","42331","2731","true","1111 ASHWORTH ROAD",,"WEST DES MOINES","IA","50265-3538","515-267-2114","1111 ASHWORTH ROAD","WEST DES MOINES","IA","50265-3538","515-267-5350","Iowa Stock Fire And Casualty Company","Stock","POINT (-93.719132 41.584614)","POINT (-93.719132 41.584614)"
"GuideOne Elite Insurance Company","Property Casualty","42803","2246","true","1111 ASHWORTH ROAD",,"WEST DES MOINES","IA","50265-3538","515-267-2114","1111 ASHWORTH ROAD","WEST DES MOINES","IA","50265-3538","515-267-5350","Iowa Stock Fire And Casualty Company","Stock","POINT (-93.719132 41.584614)","POINT (-93.719132 41.584614)"
"GuideOne Insurance Company","Property Casualty","15032","0441","true","1111 ASHWORTH RD",,"WEST DES MOINES","IA","50265-3538","515-267-2114","1111 ASHWORTH ROAD","WEST DES MOINES","IA","50265-3538","515-267-5350","Iowa Stock Fire And Casualty Company","Stock","POINT (-93.719132 41.584614)","POINT (-93.719132 41.584614)"
"GuideOne National Insurance Company","Property Casualty","14167","3121","true","1111 ASHWORTH ROAD",,"WEST DES MOINES","IA","50265-3538","5152675000","1111 ASHWORTH ROAD","WEST DES MOINES","IA","50265-3538","515-267-5350","Iowa Stock Fire And Casualty Company","Stock","POINT (-93.719132 41.584614)","POINT (-93.719132 41.584614)"
"GuideOne Property & Casualty Insurance Company","Property Casualty","13984","2688","true","1111 ASHWORTH ROAD",,"WEST DES MOINES","IA","50265-3538","515-267-2114","1111 ASHWORTH ROAD","WEST DES MOINES","IA","50265-3538","515-267-5350","Iowa Stock Fire And Casualty Company","Stock","POINT (-93.719132 41.584614)","POINT (-93.719132 41.584614)"
"GuideOne Specialty Insurance Company","Property Casualty","14559","0431","true","1111 ASHWORTH ROAD",,"WEST DES MOINES","IA","50265-3538","515-267-2114","1111 ASHWORTH ROAD","WEST DES MOINES","IA","50265-3538","515-267-5350","Iowa Stock Fire And Casualty Company","Stock","POINT (-93.719132 41.584614)","POINT (-93.719132 41.584614)"
"HarvestPlains Health of Iowa","Health","15752","3193","true","33820 WEYERHAEUSER WAY S., FL-2",,"FEDERAL WAY","WA","98001","2535174300","33820 WEYERHAEUSER WAY S","FEDERAL WAY","WA","98001","763-321-3631","Iowa HMO","Stock","POINT (-122.292261 47.298054)","POINT (-122.292261 47.298054)"
"Hawkeye Life Insurance Group Inc.","Life","90255","1964","true","1111 OFFICE PARK ROAD",,"WEST DES MOINES","IA","50265","515-226-1900","1111 OFFICE PARK ROAD","WEST DES MOINES","IA","50265","515-226-8440","Iowa Stock Life - with A & H","Stock","POINT (-93.719447 41.59048)","POINT (-93.719447 41.59048)"
"Hawkeye Mutual Insurance Association","State Mutual","15374","0081","true","315 S 2ND AVE W","PO BOX 516","NEWTON","IA","50208-0516","641-792-4267",,,,,,"Iowa State Mutual Insurance Association","Mutual","POINT (-93.056547 41.698566)",
"HEALTHAlliance Benefit Plan","MEWA","00005","3015","true","10430 NEW YORK AVE","SUITE F","URBANDALE","IA","50322","515-224-7545",,,,,,"Multiple Employer Welfare Arrangement","Stock","POINT (-93.761244 41.618946)",
"HealthPartners UnityPoint Health, Inc.","Health","15888","3206","true","3737 WOODLAND AVE, SUITE 310",,"WEST DES MOINES","IA","50266","5152417720","8170 33RD AVENUE SOUTH","MINNEAPOLIS","MN","55440-1309","952-883-5966","Iowa Stock Life - with A & H","Stock","POINT (-93.755362 41.589013)","POINT (-93.225259 44.855761)"
