"title","iowa_code_citation","iowa_admin_code_citation","description","data_source","expenditure_category","estimated_value"
"Commercial Fertilizer and Lime","Iowa Code 2015 423.3(4) & 423.3(5)","IAC (2015) 701-17.4 & 18.57(1)","Commercial fertilizer and agricultural limestone sales are exempt from the sales and use tax if the purchaser utilizes the fertilizer or limestone for the health promotion of plants which are produced as part of agricultural production for market.  Plant hormones are considered to be commercial fertilizer.  Agricultural production includes the production of flowering, ornamental, or vegetable plants in commercial greenhouses or otherwise and production from aquaculture. This estimate includes an indeterminate portion of Adjuvants and Surfactants.","USDA","Agricultural Input","117400000"
"Trade-In for Remanufacture or Resale","Iowa Code 2015 423.3(59)","IAC (2015) 701-15.19","In transactions in which tangible personal property is traded toward the sales price of other tangible personal property, that portion of the sales price which is not payable in money to the retailer is exempted from the taxable amount if the following conditions are met: (1) the tangible personal property traded to the retailer is the type of property normally sold in the regular course of the retailer’s business; and (2) the tangible personal property traded to the retailer is intended by the retailer to be ultimately sold at retail or is intended to be used by the retailer or another in the remanufacturing of a like item.","Industry Data","Administrative","110500000"
"Processing Power and Fuel","Iowa Code 2015 423.3(50)(51) & 423.6(3)(b)","IAC (2015) 701-17.2, 17.3, 18.29 & 33.3","Electricity or steam when purchased and used in the processing of tangible personal property intended to be sold ultimately at retail and any fuel which is consumed in creating power, heat, or steam for processing or for generating electric current are exempt from sales and use tax.  This does not include heat for heating buildings, whether for manufacturing, processing, warehousing, or office space.  Sales of electricity and other fuels used for lighting, ventilation, or to enable storage after the manufacturing process are also not exempt.  This estimate excludes fuels used in agriculture.","Internal Data","Business Input","92200000"
"Information Services","Iowa Code 2015 423.3(66)","IAC (2015) 701-17.36 & 231.13","The sale or rental of information services is exempt from sales and use tax.  An information service is every business activity, process, or function by which a seller or its agent accumulates, prepares, organizes or conveys data, facts, knowledge, procedures and like services to a buyer or its agent of such information through any tangible or intangible medium.  Database files, mailing lists, subscription files, market research, credit reports, surveys, real estate listings, bond rating services, wire services, and scouting reports are some examples of information services.","Economic Census","Business Incentive","74900000"
"Farm Machinery - Self-Propelled","Iowa Code 2015 423.3(8) ","IAC (2015) 701-18.44 & 18.57(4)","The sale or rental of farm machinery and equipment and replacement parts, including auxiliary attachments which improve the performance, safety, operation, or efficiency of the machinery and equipment, is exempt from the sales and use tax if the machinery and equipment is used directly and primarily in production of agricultural products including flowering, ornamental or vegetable plants.  The machinery and equipment must be self-propelled implements or implements customarily drawn or attached to self-propelled implements. Any replacement part must be essential to any repair or reconstruction necessary to the farm machinery or equipment use in the production of agricultural products.  No machinery subject to vehicle registration qualifies. ","USDA","Agricultural Input","71800000"
"Construction Materials under Contracts with Tax Exempt Entities","Iowa Code 2015 423.3(80)","IAC (2015) 701- 17.33 & 19.12","Designated tax-exempt entities awarding construction contracts on or after January 1, 2003 may issue special exemption certificates exempting contractors and subcontractors from paying sales and use tax for materials used in the construction project.  This exemption is taken at the point of sale where the materials are purchased.  If the project is a rural water district,  a claim for a refund must be presented to the Department of Revenue and are estimated separately.","Economic Census","Charitable Organization Support","66200000"
"Agricultural Chemicals","Iowa Code 2015 423.3(5)","IAC (2015) 701-17.9(3)","Herbicides, pesticides, insecticides which are to be used in disease, weed, or insect control or health promotion of plants or livestock produced as part of agricultural production for market are exempt from sales and use tax.  All forms of inoculation, whether for promotion of better growth and healthier plants or for prevention or cure of mildew of plants or disease of seeds and bulbs, are intended for the same general purpose.   Herbicide means any substance intended to prevent, destroy, or retard the growth of plants including fungi. The term shall include preemergence, postemergence, lay-by, pasture, defoliant, desiccant herbicides and fungicides. Pesticide means any substance which is used to kill rodents or smaller vermin, other than insects, such as nematodes, spiders, or bacteria, including a disinfectant. Insecticide means any substance used to kill insects. Any substance used merely to repel insects is not an insecticide. This estimate includes an undetermined portion of Adjuvants and Surfactants.","USDA","Agricultural Input","53400000"
"On-Line Computer Service - Consumer","Iowa Code 2015 423.3(65)","IAC (2015) 18.20(5)","The furnishing of any contracted on–line service is exempt from sales and use tax if the information is made available through a computer server.  The exemption applies to all contracted on–line services, as long as they provide access to information through a computer server.","Industry Data","Consumer Benefit","49100000"
"Laboratory Tests on Humans","Iowa Code 2015 423.2(6)","IAC (2015) 701-26.44","The service of laboratory testing on humans is exempt from sales and use tax.","Economic Census","Consumer Benefit","47400000"
"Sales by a City or County","Iowa Code 2015 423.3(32)","IAC (2015) 701-18.39","In general, sales made by a city or county are exempt from sales tax.  The exemption does not apply to sales from furnishing or service of gas, electricity, water, heat and communication services rendered, furnished or performed by a county or city.  Sales of fees for participating in any athletic sports by counties and cities are taxable.  Also, sales from a county or municipality furnishing sewage service or solid waste collection and disposal service to nonresidential commercial operations are taxable. ","Internal Data","Government","43500000"
