"levy_authority_code","levy_authority_name","fiscal_year","urban_renewal_area_number","expenditure_amount","project_description","project_classification","debt_tracking_name","debt_type","fiscal_year_debt_is_paid_in_full","rebate_paid_to","primary_lat_dec"
"77G717","DES MOINES","2012","77067","14344","Development of retail","Commercial - retail","Starbuck's Rebate","Rebates","2023","Raccoon Valley Investments LLC","POINT (-93.6091064 41.6005448)"
"77G717","DES MOINES","2012","77062","105000","New buildings with commercial, residential and parking structure compoenents","Mixed use property (ie: a significant portion in each residential and commercial)","Village Place","Rebates","2030","Village Place LLC","POINT (-93.6091064 41.6005448)"
"77G717","DES MOINES","2012","77062","375000","New office building and parking structure","Commercial - office properties","Wells Fargo I","Rebates","2024","Wells Fargo Financial","POINT (-93.6091064 41.6005448)"
"77G717","DES MOINES","2012","77062","31000","former Masonic Temple","Commercial - retail","Masonic Temple","Rebates","2024","Temple for Performing Arts","POINT (-93.6091064 41.6005448)"
"77G717","DES MOINES","2012","77062","1200000","Parking System support","Municipal and other publicly-owned or leased buildings","Parking System Support","General Obligation Bonds/Notes","2026","City of Des Moines","POINT (-93.6091064 41.6005448)"
"77G717","DES MOINES","2012","77062","141000","New mixed use bldg in East Village","Mixed use property (ie: a significant portion in each residential and commercial)","Soho","Rebates","2018","East Village Partners LLC","POINT (-93.6091064 41.6005448)"
"77G717","DES MOINES","2012","77062","40653","Renovation of historic bldgs. with apts. on 2nd floor","Mixed use property (ie: a significant portion in each residential and commercial)","Studio Block","Rebates","2016","R.E. Properties, LLC","POINT (-93.6091064 41.6005448)"
"30","DICKINSON COUNTY","2012","30022","127036","Subdivision infrastructure rebates to devel.","Roads, Bridges & Utilities","Rebate agreement","Rebates","2016","Six Pointe, Inc., developer","POINT (-95.1508301 43.3779848)"
"38G355","DIKE","2012","38003","66473","Housing Development","Residential property (classified residential)","Phase B TIF","Rebates","2012","Fox Ridge Development","POINT (-92.6282497 42.4641498)"
"38G355","DIKE","2012","38003","256660","Housing Development","Residential property (classified residential)","Phase A TIF","Rebates","2012","Fox Ridge Development","POINT (-92.6282497 42.4641498)"
"31G288","DUBUQUE","2012","31002","41170","Rebate associated with the construction of the Vanguard Countertops facility","Industrial/manufacturing property","Vanguard","Rebates","2022","Vanguard Countertops","POINT (-90.6645718 42.5005583)"
"31G288","DUBUQUE","2012","31029","7693","Rebate for improvements of Quebecor building off of Kerper Boulevard","Industrial/manufacturing property","Quebecor Rebate","Rebates","2014","Quad Graphics","POINT (-90.6645718 42.5005583)"
"31G288","DUBUQUE","2012","31033","22024","Construction of parking ramp within the Port of Dubuque","Municipal and other publicly-owned or leased buildings","Port of Dubuque Adams Co Rebate","Rebates","2020","Stonekey Properties","POINT (-90.6645718 42.5005583)"
"31G288","DUBUQUE","2012","31033","156005","Rebate for rehabilitation of mixed use facility","Mixed use property (ie: a significant portion in each residential and commercial)","Star Brewery Rebate","Rebates","2020","Port of Dubuque","POINT (-90.6645718 42.5005583)"
"31G288","DUBUQUE","2012","31002","31117","Rebate associated with construction of speculative building for Spiegel Family Realty Comapny","Commercial - warehouses and distribution facilities","Spiegel Spec Building","Rebates","2019","Spiegel Family Realty","POINT (-90.6645718 42.5005583)"
"31G288","DUBUQUE","2012","31033","209718","Rebate for renovation of former Dubuque Building","Mixed use property (ie: a significant portion in each residential and commercial)","Roshek Building Rebate","Rebates","2021","Dubuque Initiatives","POINT (-90.6645718 42.5005583)"
"31G288","DUBUQUE","2012","31002","53121","Rebate associated with construction of Hodge warehouses","Commercial - warehouses and distribution facilities","Walter (Hodge)","Rebates","2014","Walter Development (Hodge)","POINT (-90.6645718 42.5005583)"
"31G288","DUBUQUE","2012","31002","12336","Rebate associated with construction of manufacturing facility","Industrial/manufacturing property","P&L Ventures (National Dentex)","Rebates","2018","P&L Ventures","POINT (-90.6645718 42.5005583)"
"31G288","DUBUQUE","2012","31033","338220","Rebate for renvoation of building","Commercial - office properties","Prudential Rebate","Rebates","2012","Prudential Insurance","POINT (-90.6645718 42.5005583)"
"31G288","DUBUQUE","2012","31018","19145","Rebate for expansion of commercial office","Commercial - office properties","Straka/Conlon Johnson Rebate","Rebates","2018","19145.48","POINT (-90.6645718 42.5005583)"
"74G686","EMMETSBURG","2012","74002","32700","Payments to Medium Lake Development Corp for Construction of Public Improvements to Serve New Residential Development","Residential property (classified residential)","Rockport Developers Agreement","Rebates","2014","Medium Lake Development Corp","POINT (-94.6830357 43.1127427)"
"95G912","FOREST CITY","2012","95011","41380","New Residential Single-Family Housing","Residential property (classified residential)","Prairie View Rebate","Rebates","2020","Prairie View LLC","POINT (-93.63715910000002 43.2624559)"
"56G530","FORT MADISON","2012","56008","292596","EXPANSION #2 SIEMENS","Industrial/manufacturing property","SIEMENS #2","Rebates","2020","SIEMENS","POINT (-91.3151506 40.6297632)"
"36","FREMONT COUNTY","2012","36005","14863","Urban Renewal Area","Residential property (classified residential)","Waubonsie Ridge","Rebates","2020","MNW Investments L.L.C.","POINT (-95.6046765 40.7455892)"
"41G383","GARNER","2012","41009","51232","Zinpro expansion","Industrial/manufacturing property","Zinpro Rebate","Rebates","2015","Zinpro Corporation","POINT (-93.60187820000002 43.1024603)"
"12G099","GREENE","2012","12006","6378","Residential Housing","Residential property (classified residential)","TIF RES - Country Estates","Rebates","2012","Schroeder Concret","POINT (-92.8024158 42.8958066)"
"77G719","GRIMES","2012","77044","27130","Rebate agreement for redevelopment of industrial area","Industrial/manufacturing property","Right Stuf","Rebates","2016","RightStuf, Inc","POINT (-93.79105750000001 41.6883214)"
"38G356","GRUNDY CENTER","2012","38004","3000","rebate payments for building exterior work","Commercial - retail","Kanagy Rebate","Rebates","2019","Greenbelt Bank & Trust","POINT (-92.7685327 42.3616501)"
"38G356","GRUNDY CENTER","2012","38004","16387","rebate to Richelieu Foods for warehouse expansion","Commercial - warehouses and distribution facilities","Richelieu Foods Rebate","Rebates","2018","Richelieu Foods LLC","POINT (-92.7685327 42.3616501)"
"38G356","GRUNDY CENTER","2012","38004","5770","Rebate to developer of LMI aprtments","Commercial - apartment/condos (residential use, classified commercial)","Pheasant Hollow Rebate","Rebates","2012","GNB Bank","POINT (-92.7685327 42.3616501)"
"38","GRUNDY COUNTY","2012","38013","12195","Economic Development","Commercial - retail","GC Ind Park UR Proj Amd #2","Rebates","2016","Grundy Co Heritage Center","POINT (-92.7914177 42.4018651)"
"38","GRUNDY COUNTY","2012","38013","8149","Economic Development","Commercial - retail","GC Ind Park UR Proj Amd #2","Rebates","2016","Corn Belt Cooperative","POINT (-92.7914177 42.4018651)"
"43","HARRISON COUNTY","2012","43008","25478","Streets","Roads, Bridges & Utilities","2000 Developer Agreement","Rebates","2012","Roger Melby","POINT (-95.8169209 41.6828528)"
"47G439","HOLSTEIN","2012","47011","10000","First Coop Associtaion","Agribusiness","U.R. # 4  First Coop Assn","Rebates","2015","First Coop Assn.","POINT (-95.545003 42.4891531)"
"45","HOWARD COUNTY","2012","45011","8320","Webster's 3rd Addn TIF Rebate","Low and Moderate Income Housing","Webster's 3rd Addn Rebate","Rebates","2022","HTC Development","POINT (-92.3171989 43.3567673)"
"45","HOWARD COUNTY","2012","45012","3997","Rich's Electric TIF Rebate","Commercial - retail","Rich's Electric Rebate","Rebates","2014","RIch's Electric","POINT (-92.3171989 43.3567673)"
"45","HOWARD COUNTY","2012","45011","22626","Webster's 1st Addn TIF Rebate","Low and Moderate Income Housing","Webster's 1st Addn Rebate","Rebates","2022","HTC Development","POINT (-92.3171989 43.3567673)"
"84G804","HULL","2012","84037","5000","Payments to Hull Industrial Development Corp. to develope and market area","Low and Moderate Income Housing","2006 HIDC AGREEMENT","Rebates","2017","Hull Industrial Development Corp","POINT (-96.1336329 43.1885919)"
"84G804","HULL","2012","84037","25000","Payments to Hull Industrial Development Corp. to develop and market area","Low and Moderate Income Housing","2003 HIDC AGREEMENT","Rebates","2014","Hull Industrial Development Corp","POINT (-96.1336329 43.1885919)"
"84G804","HULL","2012","84008","50000","Payments to Hull Industrial Development Corp. for expansion","Commercial - warehouses and distribution facilities","2010 HIDC AGREEMENT","Rebates","2015","Hull Industrial Development Corp.","POINT (-96.1336329 43.1885919)"
"85G816","HUXLEY","2012","85004","260113","Residential Development","Residential property (classified residential)","Northview Development","Rebates","2013","Ballard LLC","POINT (-93.6007732 41.895265)"
"85G816","HUXLEY","2012","85004","20524","Residential Development","Residential property (classified residential)","Northpark Development","Rebates","2013","Ballard LLC","POINT (-93.6007732 41.895265)"
"85G816","HUXLEY","2012","85004","38146","Residential Development","Residential property (classified residential)","Northpark Development","Rebates","2013","Ballard LLC","POINT (-93.6007732 41.895265)"
"85G816","HUXLEY","2012","85004","25661","Residential Development","Residential property (classified residential)","Northview Development","Rebates","2013","Ballaard LLC","POINT (-93.6007732 41.895265)"
"85G816","HUXLEY","2012","85004","65214","Residential Development","Residential property (classified residential)","Northpark Development","Rebates","2013","Ballard LLC","POINT (-93.6007732 41.895265)"
"85G816","HUXLEY","2012","85004","95563","Residential Development","Residential property (classified residential)","Trail Ridge Development","Rebates","2015","Central States Bank/Roger WHeeler","POINT (-93.6007732 41.895265)"
"85G816","HUXLEY","2012","85004","38095","Residential Development","Residential property (classified residential)","Trail Ridge Development","Rebates","2015","Central States Bank/Roger Wheeler","POINT (-93.6007732 41.895265)"
"85G816","HUXLEY","2012","85004","33603","Residential Development","Residential property (classified residential)","Trail Ridge Development","Rebates","2015","Central States Bank/Roger Wheeler","POINT (-93.6007732 41.895265)"
"85G816","HUXLEY","2012","85004","53756","Residential Development","Residential property (classified residential)","Trail Ridge Development","Rebates","2015","Central States Bank/Roger Wheeler","POINT (-93.6007732 41.895265)"
"85G816","HUXLEY","2012","85004","122728","Residential Development","Residential property (classified residential)","Northview Development","Rebates","2013","Ballard LLC","POINT (-93.6007732 41.895265)"
"91G873","INDIANOLA","2012","91002","650000","Infrastructure improvements for a minimum $15.5 million 30 acre development","Commercial - Medical","Summercrest Hills Development","Rebates","2015","Three Sixty Group","POINT (-93.5574376 41.3580484)"
"52G483","IOWA CITY","2012","52028","129725","Physical appearance, street and pedestrian improvements","Commercial - retail","Southgate Dev./Pepperwood Rebates","Rebates","2013","Southgate","POINT (-91.5301683 41.6611277)"
"82G777","LE CLAIRE","2012","82004","190856","COMMERCIAL RETAIL BUSINESS CREATION SUPPORT","Commercial - retail","RIVER RUN, L.L.C. COMMERCIAL EXPANSION PROJECT","Rebates","2021","RIVER RUN, L.L.C.","POINT (-90.34346180000001 41.5986442)"
"82G777","LE CLAIRE","2012","82004","58516","COMMERCIAL RETAIL BUSINESS EXPANSION SUPPORT","Commercial - retail","SLAGLE INVESTMENTS, LC","Rebates","2012","SLAGLE INVESTMENTS, LC","POINT (-90.34346180000001 41.5986442)"
"82G777","LE CLAIRE","2012","82004","12597","MIXED RESIDENTIAL/COMMERCIAL RETAIL BUSINESS CREATION SUPPORT","Mixed use property (ie: a significant portion in each residential and commercial)","OSA PROPERTIES, LLC.","Rebates","2016","OSA PROPERTIES, LLC.","POINT (-90.34346180000001 41.5986442)"
"82G777","LE CLAIRE","2012","82045","40177","REBATE OF ELIGIBLE COSTS IN SUPPORT OF RESIDENTIAL DEVELOPMENT","Residential property (classified residential)","PROJECT #1","Rebates","2017","WOLFF RUN, LLC","POINT (-90.34346180000001 41.5986442)"
"82G777","LE CLAIRE","2012","82004","21943","REBATE OF ELIGIBLE COSTS IN SUPPORT OF RESIDENTIAL DEVELOPMENT","Residential property (classified residential)","OXBOW DEVELOPMENT","Rebates","2019","BLACKHAWK STATE BANK","POINT (-90.34346180000001 41.5986442)"
"82G777","LE CLAIRE","2012","82045","39091","REBATE OF ELIGIBLE COSTS IN SUPPORT OF RESIDENTIAL DEVELOPMENT","Residential property (classified residential)","PROJECT #3","Rebates","2019","WOLFF RUN, LLC","POINT (-90.34346180000001 41.5986442)"
"82G777","LE CLAIRE","2012","82045","32284","REBATE OF ELIGIBLE COSTS IN SUPPORT OF RESIDENTIAL DEVELOPMENT","Residential property (classified residential)","PROJECT #2","Rebates","2018","WOLFF RUN, LLC","POINT (-90.34346180000001 41.5986442)"
"16G138","LOWDEN","2012","16008","33599","HOUSING DEVELOPMENT","Residential property (classified residential)","T & N SCHWARZ","Other Debt","2013","T & N SCHWARZ LLC","POINT (-90.9282043 41.8575217)"
"60","LYON COUNTY","2012","60013","45808","AC East and Tech Ops Bldg","Agribusiness","Novartis Development Agreement","Rebates","2021","Novartis Animal Health US, Inc","POINT (-96.2102924 43.380497)"
"60","LYON COUNTY","2012","60013","723","Research Farm","Agribusiness","Novartis Development Agreement","Rebates","2021","Novartis Animal Health US, Inc.","POINT (-96.2102924 43.380497)"
"74G688","MALLARD","2012","74009","4989","provide sewer and water and street","Roads, Bridges & Utilities","Tif Bonds","Internal Loans","2012","WATER AND SEWER FUNDS","POINT (-94.6822021 42.9363589)"
"49G454","MAQUOKETA","2012","49010","35763","The City wishes to assist a Developer with a project to construct public infrastructure that will create single family housing lots.  First in line for TIF reimbursement the development agreement specifies the annual debt service payments on a $135,000 GO","Residential property (classified residential)","Shoreline - Developer's financing","Rebates","2013","Maquoketa Shoreline","POINT (-90.6656914 42.0689088)"
"49G454","MAQUOKETA","2012","49015","37332","The West Platt Corridor Urban Renewal Plan was modified by Amendment #2 to include the ability to make grants to non-profit organizations that offer preschool and daycare services because presence of such services helps the parents of young children to se","Commercial - retail","Sunshine Debt","Rebates","2016","Child Development","POINT (-90.6656914 42.0689088)"
"49G454","MAQUOKETA","2012","49001","52582","Urban Renewal area was established in order to assist in the financing of water main extension, sanitary sewer main extension, development of street, storm sewer improvements and a lift station for the economic development project referred to as the Prair","Commercial - hotels and conference centers","Prairie Creek - Developer's reimbursables","Rebates","2013","Maquoketa State Bank","POINT (-90.6656914 42.0689088)"
"57G547","MARION","2012","57046","41134","Development of warehouse facility and docks","Commercial - warehouses and distribution facilities","Collins Road Rebate","Rebates","2016","Wholesale Feeds, Inc. II","POINT (-91.59767730000002 42.0341658)"
"57G547","MARION","2012","57046","5448","Constructing addition, including installation of overhead crane, machinery, equipment, and lab equipment","Industrial/manufacturing property","Collins Road Rebate","Rebates","2016","Vector Corporation","POINT (-91.59767730000002 42.0341658)"
"64","MARSHALL COUNTY","2012","64016","42261","Construction of public roadway & sanitary sewer improvements","Commercial - warehouses and distribution facilities","Consumers Dev Loan","Rebates","2015","Consumers Development","POINT (-92.9987706 42.0358499)"
"30G274","MILFORD","2012","30020","34067","Residential Subdivision","Residential property (classified residential)","Ponds @ Hunter Hills Phase I Residential Subdivision","Rebates","2022","D & W Development","POINT (-95.149996 43.3246863)"
"70G653","MUSCATINE","2012","70013","157440","Payments to developer of this area","Commercial - retail","Cedar Development Rebate","Rebates","2019","VMI Northport Commons LLC","POINT (-91.0432051 41.424473)"
"19G166","NASHUA","2012","19006","19352","water, sewer mains and street","Residential property (classified residential)","2000-Sullivan Addition","Rebates","2013","Tom Sullivan","POINT (-92.5362956 42.9527536)"
"19G167","NEW HAMPTON","2012","19007","13873","Housing","Residential property (classified residential)","Croell's 2nd Addition","Rebates","2017","William Croell","POINT (-92.3176768 43.0591412)"
"98G947","NORTHWOOD","2012","98001","13813","Northwood Foods Rebate","Industrial/manufacturing property","Northwood Foods Rebate","Rebates","2016","13813","POINT (-93.2210371 43.4441245)"
"39G368","PANORA","2012","39013","31239","Residential Development","Residential property (classified residential)","Terra Vista-Leib","Rebates","2017","20503.85","POINT (-94.3630215 41.6916535)"
"77","POLK COUNTY","2012","77063","69718","Residential development, plat 4","Residential property (classified residential)","Residential 4","Rebates","2016","Big Creek Development","POINT (-93.5735335 41.6855048)"
"77","POLK COUNTY","2012","77063","490979","Residential development, plats 1-3","Residential property (classified residential)","Residential 1-3","Rebates","2015","Big Creek Development","POINT (-93.5735335 41.6855048)"
"77","POLK COUNTY","2012","77063","195759","Golf course","Recreational facilities (lake development, parks, ball fields, trails)","Commercial","Rebates","2024","Big Creek Development","POINT (-93.5735335 41.6855048)"
"50G471","PRAIRIE CITY","2012","50007","22700","Utilities and street construction","Residential property (classified residential)","Rolling Prairie Estates Plat 1","Rebates","2014","Liberty Bank","POINT (-93.2352053 41.599434)"
"50G471","PRAIRIE CITY","2012","50007","22593","Utilities and street construction","Residential property (classified residential)","Rolling Prairie Estates Plat 2","Rebates","2017","Liberty Bank","POINT (-93.2352053 41.599434)"
"50G471","PRAIRIE CITY","2012","50007","3000","Demolish dilapidated building Grant","Residential property (classified residential)","R Steenhoek","Other Debt","2012","Reuben Steenhoek & Norm Rosendaal Tiling Inc","POINT (-93.2352053 41.599434)"
"50G471","PRAIRIE CITY","2012","50007","5802","Revitalize Interior and Exterior of Building","Commercial - retail","The Hot Spot","Other Debt","2012","Kara Kelso dba The Hot Spot","POINT (-93.2352053 41.599434)"
"50G471","PRAIRIE CITY","2012","50007","2627","Revitalize Interior and Exterior of Building","Commercial - retail","Prairie City News","Other Debt","2012","Prairie City News Inc","POINT (-93.2352053 41.599434)"
"07G053","RAYMOND","2012","7038","34873","Payments made to Gary J. Schmitz for development","Residential property (classified residential)","Gary J. Schmitz","Rebates","2012","Gary J. Schmitz","POINT (-92.2196264 42.4688769)"
"69G647","RED OAK","2012","69002","5334","Business Construction - Tax Rebates","Industrial/manufacturing property","Rex Varilek","Rebates","2013","Rex Varilek","POINT (-95.2255466 41.0097151)"
"57G551","ROBINS","2012","57035","24222","REBATE PHANTOM HOLDINGS","Commercial - warehouses and distribution facilities","PHANTOM HOLDINGS REBATE","Rebates","2015","PHANTOM HOLDINGS LLC","POINT (-91.6668444 42.0711084)"
"12G102","SHELL ROCK","2012","12010","19513","Subdivision/Housing Infrastructure","Residential property (classified residential)","19,513","Rebates","2013","Crown Pointe Investments","POINT (-92.5829664 42.7102579)"
"54G512","SIGOURNEY","2012","54001","29481","Residential Housing Development","Residential property (classified residential)","$509,983.31","Rebates","2022","C B & D Development Inc.","POINT (-92.2046255 41.3333445)"
"06G042","URBANA","2012","6009","8210","REBATE AGREEMENT","Residential property (classified residential)","KINGS BUILDING","Rebates","2013","KURT RICH","POINT (-91.8743444 42.2241596)"
"06G042","URBANA","2012","6009","28180","REBATE AGREEMENT","Residential property (classified residential)","RICHS 8TH ADDITION","Rebates","2012","BLACKSTONE DEVELOPMENT","POINT (-91.8743444 42.2241596)"
"77G726","URBANDALE","2012","77061","21200","Agreements for infrastructure construction within the TIF area by developers","Roads, Bridges & Utilities","Rebates to Mid-America Group","Rebates","2016","Mid-America Group","POINT (-93.7121656 41.6266555)"
"77G726","URBANDALE","2012","77061","941789","Agreements for infrastructure construction within the TIF area by developers","Roads, Bridges & Utilities","Rebates to R & R Realty Group","Rebates","2017","R&R Realty Group","POINT (-93.7121656 41.6266555)"
"78G742","WALNUT","2012","78027","14006","Public Improvements related to the development of housing","Roads, Bridges & Utilities","Ransom Development Subfund","Rebates","2015","Ransom Development","POINT (-95.2219405 41.4774899)"
"09G071","WAVERLY","2012","9001","1339","Waverly Family Dentistry","Commercial - Medical","Waverly Family Dentist Rebate","Rebates","2012","Waverly Family Dentristry","POINT (-92.4754626 42.7258142)"
"09G071","WAVERLY","2012","9001","7200","USDA Building","Commercial - office properties","USDA Rebate","Rebates","2013","M & H LC","POINT (-92.4754626 42.7258142)"
"09G071","WAVERLY","2012","9001","19241","Rada Manufacturing","Industrial/manufacturing property","RADA Manufacturing Rebate","Rebates","2015","RADA Manufacturing","POINT (-92.4754626 42.7258142)"
"09G071","WAVERLY","2012","9001","24000","Tru Value","Commercial - retail","Tru Value Rebate","Rebates","2015","Gemco Centre Inc.","POINT (-92.4754626 42.7258142)"
"29G271","WEST BURLINGTON","2012","29008","210000","Infrastructure for condo development","Residential property (classified residential)","WEST BURL CONDOMINIUMS I.LOAN","Internal Loans","2025","West Burlington Condimiums","POINT (-91.1565357 40.8250386)"
"29G271","WEST BURLINGTON","2012","29008","87108","Infrastructure for 19 residential housing lots","Residential property (classified residential)","PARK PLACE WEST REBATE","Rebates","2015","Park Place West","POINT (-91.1565357 40.8250386)"
"33G322","WEST UNION","2012","33010","16216","Residential subdivision","Residential property (classified residential)","North Park Heights Rebate","Rebates","2013","Kerry & Kara Weidemeier","POINT (-91.8082167 42.9627564)"
"33G322","WEST UNION","2012","33008","35293","Residential Housing","Roads, Bridges & Utilities","Union Ridge Development Rebate","Rebates","2013","Northern Ag Sefvices C/O Randy Osmundson","POINT (-91.8082167 42.9627564)"
"61G583","WINTERSET","2012","61001","8651","Parker Welding expansion","Industrial/manufacturing property","Parker Welding Development Agr.","Rebates","2015","Parker Welding & Fabrication","POINT (-94.0138393 41.3308237)"
"61G583","WINTERSET","2012","61012","37211","commercial development","Commercial - office properties","North Stone Village Dev. Agr.","Rebates","2028","Corkrean Properties LLC","POINT (-94.0138393 41.3308237)"
"61G583","WINTERSET","2012","61001","10124","Simon Welding expansion","Industrial/manufacturing property","Breeding Hardware Dev. Agr.","Rebates","2015","Randall Simon","POINT (-94.0138393 41.3308237)"
"42G388","ACKLEY","2013","42008","32","tax rebate for new facility","Commercial - retail","Administrative Expenses","Internal Loans","2013","NO REBATE","POINT (-93.0532553 42.5541451)"
"01G001","ADAIR","2013","1004","100879","Bridge Replacement and Related Costs","Roads, Bridges & Utilities","5th Street Repaving","Internal Loans","2013","NO REBATE","POINT (-94.6435862 41.5005428)"
"1","ADAIR COUNTY","2013","1009","530000","Bonding to pay for roads and bridges","Administrative expenses","GO Bond Series 2011","General Obligation Bonds/Notes","2016","NO REBATE","POINT (-94.4709413 41.3307464)"
"1","ADAIR COUNTY","2013","1009","500","TIF Bonding and UR Plan Development","Administrative expenses","General UR Plan Exp","Internal Loans","2013","NO REBATE","POINT (-94.4709413 41.3307464)"
