"district","district_name","fiscal_year","budgeted_enrollment","regular_program","budget_adjustment","district_cost_for_supplementary_weighting","special_education_instrustion_district_cost","teacher_salary_supplement","professional_development_supplement","early_intervention_supplement","preschool","instructional_support_income_surtax","instructional_support_property_tax","educational_improvement","sbrc_modified_supplemental_amount_dropout","management_levy","regular_ppel","voted_ppel_income_surtax","voted_ppel_property_tax","perl","modified_supplemental_amount_sbrc_approved","modified_supplemental_amount_for_special_education_deficit","successful_progression_for_early_readers","teacher_leadership_and_compensation_system_grants","educator_mentoring_and_induction","title_i","title_i_migrant","title_i_neglected","title_i_delinquent","title_ii_part_a","title_iii_english_language_acquisition","_21st_century_learning_centers","title_vi","small_rural_schools_achievement_program_reap","rural_low_income_schools_rlis_program","idea_part_b","carl_d_perkins","total_funding_of_sources_shown","per_pupil_amount_of_funding_sources_shown"
"126","Algona","2015","1324.2","8473556","0","1084912","1253436","737315","89489","77214","318300","649285","66222","0","334879","450000","212174","0","430778","0","60010","609966","22894","0","3900","160068","0","0","0","64466","0","0","6775","0","0","74950","0","15180589","11464"
"135","Allamakee","2015","1176.9","7588651","0","204002","885697","635208","66930","73592","210078","0","0","0","93436","500000","152608","468017","40677","0","36006","0","21664","0","9100","248428","0","0","0","55308","0","587650","5700","0","0","61758","0","11944510","10149"
"153","North Butler","2015","634.1","4091847","0","150974","593418","399591","44691","37006","162333","205144","117212","0","151398","200000","76790","0","155907","0","193229","0","17130","0","3900","62995","0","0","0","24975","0","0","3230","36067","0","29867","0","6757704","10657"
"171","Alta","2015","510.0","3246660","0","190999","289844","313823","35195","40117","127320","241556","24768","0","156086","360000","70453","0","0","0","110229","25575","16094","0","1950","106864","0","0","0","21420","0","0","2300","38714","0","23770","0","5443737","10674"
"225","Ames","2015","4246.6","27416050","0","360961","2317446","2329430","287113","257344","744822","2069686","274935","0","1370802","1016550","727272","0","2953167","0","399521","951825","47302","0","35100","594189","0","42655","31521","143433","0","0","21115","0","0","197641","91502","44681382","10522"
"234","Anamosa","2015","1247.0","7959601","0","136807","906833","719195","85744","74596","268473","543585","25686","0","210643","267000","112466","0","228340","0","267364","169856","22249","0","9100","153652","0","0","0","39289","0","0","6075","0","0","61158","0","12267712","9838"
"243","Andrew","2015","272.3","1751161","0","126678","303865","161479","17762","20406","50928","134745","2161","0","0","200000","30913","0","125524","0","36006","125049","14109","0","3900","45550","0","0","0","11937","0","0","820","13275","0","13925","0","3190193","11716"
"261","Ankeny","2015","9901.9","63035495","0","1072951","4617960","4923918","541337","566191","585672","0","4410594","0","1727371","1050000","882504","0","3583500","0","9935097","1940661","94536","0","67600","270162","0","0","18387","89569","0","0","48535","0","0","435725","52512","99950278","10094"
"279","Aplington-Parkersburg","2015","809.0","5150094","55327","121718","651114","466502","51951","61474","175065","341481","49967","0","238118","250000","85046","0","146898","0","6001","126312","18591","0","7800","65951","0","0","0","26259","0","0","4115","0","0","37143","0","8136927","10058"
"333","North Union","2015","435.0","2799660","0","357224","284407","281123","31616","34047","108222","150272","99626","0","137572","150000","100511","300545","107590","0","298076","0","15467","0","9100","67988","0","0","0","21226","0","0","1985","19623","0","20201","0","5396082","12405"
"355","Ar-We-Va","2015","285.4","1816856","35335","61044","254258","166608","16104","16361","47745","159569","8314","0","63903","220000","75893","0","308172","0","62689","181208","14218","0","2600","30632","0","0","0","14164","0","0","1095","14469","0","15571","0","3586808","12568"
"387","Atlantic","2015","1433.9","9133943","0","185208","1220938","809293","95039","106625","350130","624421","55692","0","356235","350000","140888","312211","50682","0","64233","685538","23810","0","20800","278211","0","0","0","55743","0","0","7415","0","0","71550","0","14998605","10460"
"414","Audubon","2015","525.3","3385559","0","80595","396690","302153","34470","30520","120954","261416","16098","0","37500","75000","73190","0","148597","0","19803","83311","16222","0","7800","68380","0","0","0","24201","0","0","2675","35755","0","24062","0","5244950","9985"
"423","Aurelia","2015","242.4","1559359","47485","157789","136573","145956","17431","15557","57294","96745","45396","0","77968","120000","52036","0","105650","0","36006","0","13859","0","1300","22770","0","0","0","9623","0","0","1385","22481","0","11741","0","2754404","11363"
"441","A-H-S-T","2015","596.6","3831962","0","116019","297963","297769","30498","32270","108222","290605","29938","0","73873","150000","106094","0","0","0","72684","0","16817","0","23400","67759","0","0","0","27422","0","0","2715","32115","0","27186","0","5635311","9446"
"472","Ballard","2015","1600.3","10187510","0","92944","807145","806791","85712","101667","413790","0","560721","0","208067","300000","111967","174043","280610","0","363587","413866","25200","0","6500","96211","0","0","0","24745","0","0","8510","0","0","69529","0","15139116","9460"
"504","Battle Creek-Ida Grove","2015","648.9","4130897","0","168330","496357","384116","43392","43561","152784","50337","280259","0","34904","575000","81482","50337","134850","0","16383","0","17254","0","13000","113705","0","0","0","23461","0","0","3060","0","0","30516","0","6843985","10547"
"513","Baxter","2015","359.4","2287940","0","21995","201611","211144","21003","22498","76392","134517","17105","0","78446","150000","29345","38433","21146","0","37338","0","14836","0","7800","28013","0","0","0","7508","0","0","2195","35628","0","16543","54554","3515990","9783"
"540","BCLUW","2015","578.5","3729590","0","172038","452515","322566","35763","33813","92307","287229","14830","0","179891","200000","77971","0","158306","30843","54173","38100","16666","0","6500","55902","0","0","0","17448","0","0","3070","42278","0","27463","0","6049262","10457"
"549","Bedford","2015","472.2","3006025","62206","146233","299711","282563","29738","32721","66843","199915","42383","0","122725","150000","55615","0","0","0","42007","183205","15778","0","0","84388","0","0","0","30812","0","0","2210","15507","0","22780","43750","4937115","10456"
"576","Belle Plaine","2015","557.6","3551912","14462","157167","332196","300909","29636","29893","82758","227566","25325","0","0","100000","48783","28446","169642","0","25804","41357","16491","0","3900","84681","0","0","0","16618","0","0","2715","42568","0","26544","0","5359374","9612"
"585","Bellevue","2015","579.7","3723413","0","46072","383646","330545","36365","33147","130503","0","300516","0","137814","300000","78612","177111","142101","0","68576","0","16676","0","7800","61258","0","0","0","22515","0","0","3210","36640","0","32563","0","6069083","10469"
"594","Belmond-Klemme","2015","796.4","5073864","0","117061","695204","431593","45817","53813","114588","117108","273884","0","164179","300000","86545","0","175713","0","194684","57929","18486","0","7800","134974","0","0","0","21540","0","0","3545","0","0","38903","0","8127230","10205"
"603","Bennett","2015","194.3","1262367","0","16717","123963","99530","7010","12085","31830","0","106632","0","0","60000","31285","0","63519","0","49808","8079","13457","0","0","26039","0","0","0","8157","0","0","365","9073","0","8755","0","1938671","9978"
"609","Benton","2015","1496.0","9620776","0","134819","1056742","808962","88818","82280","299202","447686","317358","0","76300","385000","188186","0","0","0","156655","0","24329","461995","9100","118175","0","0","0","37736","0","0","7185","0","0","72002","0","14393306","9621"
"621","Bettendorf","2015","4010.9","25830196","0","258708","2718582","2137369","244785","244585","802116","0","1994350","0","927130","2100326","463082","0","1880395","0","398192","0","45334","1238646","49400","333077","0","0","0","91355","0","96667","21895","0","0","188777","0","42064967","10488"
"720","Bondurant-Farrar","2015","1595.9","10159499","0","50234","1007229","830123","85444","100574","165516","225030","320230","0","148729","420000","100088","0","406419","0","790833","281958","25163","0","15600","71381","0","0","0","13275","0","0","8265","0","0","71181","0","15296772","9585"
"729","Boone","2015","2142.8","13641065","0","175326","2180864","1195168","149739","136089","385143","782022","110377","0","682053","380000","161604","0","656211","62805","312459","127206","29731","0","26000","294561","0","0","0","73810","0","0","10325","0","0","108395","0","21680954","10118"
"747","Boyden-Hull","2015","608.5","3873711","14281","94561","450331","330336","36157","44354","0","191763","103958","0","104349","185000","76070","0","308891","0","36124","217514","16917","0","5200","62690","0","0","0","22763","0","0","3105","0","0","39210","0","6217285","10217"
"819","West Hancock","2015","592.1","3779966","23354","131938","329414","327911","33454","37581","149601","310434","6877","0","40048","50000","88518","0","0","36212","42759","0","16780","0","7800","87160","0","0","0","27516","0","0","3005","31950","0","28795","0","5591072","9443"
"846","Brooklyn-Guernsey-Malcom","2015","533.2","3402349","0","71040","424975","308152","30835","32856","98673","77549","194707","0","45783","320000","74703","116323","187014","0","103699","0","16288","0","2600","59076","0","0","0","19439","0","0","2700","41496","0","23985","0","5654242","10604"
"873","North Iowa","2015","462.6","2995335","0","86234","396141","271102","29477","27687","111405","261205","1396","0","111153","175000","111626","0","0","38008","59907","58929","15698","0","5200","77410","0","0","0","21092","0","0","2210","23213","0","21879","0","4901307","10595"
"882","Burlington","2015","4636.5","29515959","0","270931","5442994","2498100","274110","344306","633417","0","1775090","0","850422","1035000","314487","0","638503","0","0","1115379","50559","1431844","53300","1357533","0","0","0","253404","0","230690","20535","0","0","247112","82817","48436492","10447"
"914","CAM","2015","444.9","2854478","0","80110","285769","265966","26623","27134","92307","248241","2639","0","98479","225000","97161","0","197266","0","43253","132567","15550","0","9100","90586","0","0","0","27838","0","0","3800","0","0","23324","0","4847191","10895"
"916","CAL","2015","264.4","1728118","21748","174224","397650","166193","18262","18603","44562","107665","39342","0","51358","101183","20000","53832","51820","0","59080","103832","14043","0","7800","55727","0","0","0","7194","0","0","1150","20686","0","13932","0","3278003","12398"
"918","Calamus-Wheatland","2015","450.0","2891250","26167","30879","337827","275112","29984","31406","89124","137447","91483","0","0","250000","51768","0","105105","0","36006","216702","15593","0","2600","54662","0","0","0","14062","0","0","2465","46192","0","20429","0","4756263","10569"
"936","Camanche","2015","891.0","5672106","0","32091","712355","499896","52168","62325","219627","0","435221","0","136345","250000","95246","0","0","0","30005","160407","19276","0","10400","103326","0","0","0","29746","0","0","5370","0","0","43633","0","8569543","9618"
"977","Cardinal","2015","601.0","3825966","0","71541","454214","347186","31973","43176","127320","42540","212231","0","145387","250000","44560","0","180940","0","85286","61744","16854","0","14300","126482","0","0","0","27736","0","0","3145","32065","0","30145","0","6174791","10274"
"981","Carlisle","2015","1845.0","11745270","0","159659","1229593","980064","99446","119390","334215","0","0","0","230700","488851","98808","0","401221","0","353182","66949","27244","0","13000","138840","0","0","0","34459","0","0","9850","0","0","84712","47615","16663068","9031"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"999","Carroll","2015","1675.4","10665596","0","240979","1310823","889118","102384","102635","553842","0","0","0","424875","600000","301909","0","0","0","49808","190240","25827","0","14300","232448","0","0","0","73582","0","0","8365","0","0","111954","19601","15918286","9501"
"1044","Cedar Falls","2015","4859.1","30967044","0","439278","3659185","2611037","310837","308650","388324","0","2399326","0","744414","500000","621070","0","2521922","0","132022","656990","52418","0","20800","336085","0","0","0","145341","0","0","25860","0","0","227533","33925","47102061","9694"
"1053","Cedar Rapids","2015","16864.7","107360680","0","1334333","16985761","9065788","1071920","1169904","1515230","7318992","675084","0","5368034","8302119","1374406","0","3569187","0","1704876","3707585","152690","5208157","112450","2956946","0","30436","32835","599594","0","0","80075","0","0","900186","185256","180782524","10720"
"1062","Center Point-Urbana","2015","1318.4","8392934","0","62069","640674","716168","79354","81556","276921","471014","36171","0","0","300000","88702","0","180092","0","52905","135619","22846","0","6500","56248","0","0","0","21937","0","0","7245","0","0","56396","0","11685351","8863"
"1071","Centerville","2015","1370.0","8802250","0","151739","1042521","752157","86296","91064","283287","51867","48972","0","373102","400000","79451","103734","137028","0","92734","0","23277","0","1300","362287","0","0","0","89969","0","0","6690","0","25326","65617","20817","13091485","9556"
"1079","Central Lee","2015","802.8","5110625","36683","59554","502086","462204","59922","50151","0","184144","190065","0","103954","360000","0","0","0","0","60010","101726","18539","0","5200","103944","0","0","0","25151","0","0","5220","0","0","39574","29804","7508556","9353"
"1080","Central","2015","467.1","2973559","0","50597","496484","263589","27143","26625","85941","30903","201838","0","40000","300000","55523","30903","81825","0","90015","203405","15736","0","3900","51945","0","0","0","20944","0","0","2300","24256","0","21348","0","5098779","10916"
"1082","Central Clinton","2015","1477.6","9406402","0","113149","1065987","832480","89942","84238","296019","642196","61685","0","196162","600000","162070","0","329051","0","54009","0","24175","0","15600","114087","0","0","0","39548","0","0","7385","0","0","72213","0","14206398","9615"
"1089","Central City","2015","479.3","3080461","0","143759","284588","284388","27641","31629","82758","0","109202","0","37500","120000","43120","0","87547","0","73812","0","15837","0","9100","42466","0","0","0","12731","0","0","2185","30616","0","20969","0","4540309","9473"
"1093","Central Decatur","2015","682.4","4344158","0","114079","604388","391036","40207","52756","108222","192025","62717","0","53942","180170","40876","0","0","0","98381","76216","17534","0","10400","206299","0","0","0","42398","0","95875","3490","0","13049","35364","0","6783582","9941"
"1095","Central Lyon","2015","688.8","4384901","0","41564","420984","366938","42313","38690","178248","314325","30898","0","195220","100000","82695","0","167895","32815","36006","294851","17587","0","5200","73200","0","0","0","25676","0","0","3220","0","0","34036","0","6887263","9999"
"1107","Chariton","2015","1343.6","8553358","0","200083","1050581","724281","77163","100542","200529","54738","487374","0","215263","350000","92381","109476","265647","0","76916","153980","23056","0","14300","316230","0","0","0","61634","0","0","6635","0","25521","66126","29858","13255672","9866"
"1116","Charles City","2015","1589.3","10212842","0","148678","1402089","869363","102955","101000","85941","530702","6187","0","394414","550000","178686","0","725573","0","128685","423540","25108","0","11700","358462","0","0","0","77462","0","0","7860","0","0","85259","0","16426506","10336"
"1134","Charter Oak-Ute","2015","293.6","1874049","14282","16679","314746","181133","18855","20669","54111","73362","87599","0","0","100000","49267","73362","26666","0","36006","0","14287","0","6500","66893","0","0","0","16550","0","0","1455","18637","0","14256","0","3079364","10488"
"1152","Cherokee","2015","975.1","6257217","0","74071","991619","547655","61568","65751","130503","301217","56846","0","102327","300000","84989","0","218912","0","99493","39668","19978","0","6500","139645","0","0","0","30606","0","0","5120","0","0","46110","0","9579796","9824"
"1197","Clarinda","2015","938.7","5975764","0","52329","591019","496497","46278","54360","0","223409","38903","0","111920","175000","87868","0","0","0","36006","0","19674","0","10400","133369","0","0","253483","43661","0","0","5905","0","0","47476","0","8403321","8952"
"1206","Clarion-Goldfield-Dows","2015","944.9","6048305","0","751951","872072","528020","59472","64867","205793",,"503824","0","250140","500000","148281","0","301055","0","142466","419318","19726","0","10400","200411","0","0","0","33862","0","0","4600","0","0","44386","0","11108949","11757"
"1211","Clarke","2015","1448.1","9218605","0","298877","1345454","794022","81571","104553","197346","0","587686","0","0","315000","104236","252112","171150","0","182249","277914","23929","0","11700","377273","0","0","0","53731","0","0","6735","0","0","72154","0","14476297","9997"
"1215","Clarksville","2015","340.8","2169533","0","21931","296146","217280","23174","23733","35013","104596","49940","0","79731","85000","29348","52298","66873","0","30125","24900","14681","0","5200","34709","0","0","0","11120","0","0","1540","21857","0","16159","0","3414886","10020"
"1218","Clay Central-Everly","2015","371.0","2409274","0","36009","240278","224674","24664","22279","47745","0","210233","0","63994","500000","72143","0","0","0","162474","102338","14933","0","3900","44682","0","0","0","14381","0","0","1555","19582","0","16810","0","4231948","11407"
"1221","Clear Creek Amana","2015","1797.6","11508235","0","146286","1504406","990657","107443","96082","175065","224200","665502","0","0","545000","343982","112100","586287","0","777629","543876","26848","0","19500","116175","0","0","0","27865","0","0","9770","0","0","81186","0","18608094","10352"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1233","Clear Lake","2015","1236.7","7872832","0","149187","998252","652050","71481","74388","210078","560106","104282","0","214474","650000","226524","0","459912","0","42007","0","22163","0","9100","135954","0","0","0","44348","0","0","6445","0","0","55879","0","12559463","10156"
"1278","Clinton","2015","3859.5","24747114","0","337226","4676592","2122686","244847","286375","779835","1515810","142741","0","928041","700000","307136","0","0","0","442143","764960","44069","0","40300","908051","0","0","0","199405","0","420983","17550","0","0","196687","61721","39884273","10334"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1332","Colfax-Mingo","2015","742.6","4727392","0","35497","408825","407101","39499","46576","133686","289934","22925","0","172072","150000","58856","0","119497","0","121952","187318","18037","0","2600","106787","0","0","0","21412","0","0","3370","0","0","35634","0","7108970","9573"
"1337","College","2015","4685.3","29826620","0","365096","2995330","2434950","302389","315696","833946","0","2357496","0","1282092","1400000","622837","0","1264548","0","727419","914130","50966","0","58500","316377","0","66411","19701","65475","0","0","24845","0","0","219622","0","46464446","9917"
"1350","Collins-Maxwell","2015","487.8","3105335","0","20855","354141","276734","28092","30697","76392","26848","201115","0","48064","350000","45503","0","92385","0","108954","0","15908","0","10400","48257","0","0","0","13881","0","0","2240","30806","0","21973","0","4908581","10063"
"1359","Colo-NESCO School","2015","528.0","3373392","0","24233","248277","315586","31337","33206","76392","216988","60203","0","84334","195000","85593","0","347558","0","169574","65327","16244","163057","13000","57141","0","0","0","17389","0","0","2270","27216","0","24476","0","5647793","10697"
"1368","Columbus","2015","815.6","5192110","0","282924","811856","476123","56839","58788","133686","364705","8296","0","48240","250000","72587","0","147373","29353","181436","0","18646","0","10400","246457","62960","0","0","31502","0","0","3715","0","0","42215","0","8530211","10459"
"1413","Coon Rapids-Bayard","2015","401.1","2612364","0","50599","306827","250780","26733","28683","105039","155280","64106","0","72511","115000","64077","0","260190","0","47010","0","15184","0","7800","69525","0","0","0","16490","0","0","1925","22832","0","19247","29181","4341383","10824"
"1431","Corning","2015","417.9","2679993","0","85306","318854","263954","26474","31468","76392","117192","103961","0","120600","60000","64803","0","131569","0","30005","296727","15325","0","9100","80635","0","0","0","21473","0","0","2165","22700","0","19644","0","4578340","10956"
"1449","Corwith-Wesley","2015","109.1","713623","17657","96696","122513","98983","12471","9057","0","61499","5874","109692","0","125000","34353","0","0","0","217099","100168","12746","0","2600","27582","0","0","0","6426","0","0","370","11504","0","5468","0","1791380","16420"
"1476","Council Bluffs","2015","8995.9","57888617","0","1356408","10608548","4729954","549829","709777","1301725","0","3865223","0","1782552","2000000","703496","0","1428309","0","1033424","0","86969","2778114","128700","2222429","0","71109","0","425222","125063","230769","42420","0","0","464627","128600","94661884","10523"
"1503","Creston","2015","1425.5","9074733","0","377886","1058984","801872","89008","101610","362862","0","0","0","161962","357000","117482","137884","100639","0","116507","535640","23740","0","23400","321910","0","0","0","74474","0","0","7245","0","0","75396","0","13920234","9765"
"1576","Dallas Center-Grimes","2015","2247.1","14305039","0","177796","1084766","1173750","123186","138961","455169","0","1054568","0","715252","535000","241953","0","982475","0","656783","483998","30602","0","26000","97631","0","0","0","23886","0","0","12445","0","0","99551","82983","22501795","10014"
"1602","Danville","2015","485.2","3088783","0","17608","254767","273439","29607","33052","92307","203554","7039","0","117982","174000","37773","0","0","0","42271","39473","15887","0","5200","38422","0","0","0","9549","0","0","3050","51143","0","22039","0","4556944","9392"
"1611","Davenport","2015","15981.1","101735683","0","1450888","15155600","8568746","1060985","1254676","2759783","0","7185591","0","5086784","4500000","1389046","0","4082954","0","847265","2811","145310","4935283","160550","4743637","0","2474","56476","897169","0","648488","77545","0","0","897318","250626","167895688","10506"
"1619","Davis County","2015","1182.0","7524612","0","98444","553651","653421","71854","72185","155967","0","524917","0","368053","300000","100610","0","0","0","30005","165447","21707","0","10400","423608","0","0","0","77005","0","0","6065","0","23032","56557","33089","11270628","9535"
"1638","Decorah Community","2015","1393.6","8891168","0","143569","738613","775106","94570","84564","315117","499985","217799","0","427063","700000","181666","0","737674","0","276297","0","23474","0","11700","140618","0","0","0","41797","0","0","8300","0","0","68132","0","14377211","10317"
"1675","Delwood","2015","212.0","1386692","0","24803","163198","102436","8181","13598","47745","97554","12716","110935","0","125000","0","0","0","0","0","0","13605","65470","3900","31572","0","0","0","4634","0","0","730","17473","0","10383","0","2240625","10569"
"1701","Denison","2015","2047.0","13031202","0","1312268","1473856","1050213","128941","158520","308751","608118","148213","0","0","360000","128721","0","0","0","96016","0","28931","0","22750","666926","335295","0","0","65728","0","0","10730","0","0","115492","29162","20079833","9809"
"1719","Denver","2015","699.1","4450471","0","73114","432888","386295","36297","35556","114588","220575","102218","0","58074","200000","63768","0","129469","0","36006","0","17673","0","5200","26860","0","0","0","14441","0","0","3650","0","0","30390","0","6437533","9208"
"1737","Des Moines Independent","2015","32413.2","208546529","0","9545315","41535652","18694313","2339585","2833238","4303416","0","13032073","0","10052326","12387164","2373187","0","4530630","875825","3290426","0","282553","0","399100","10805709","0","202617","49909","1554727","983011","1493317","155875","0","0","1799080","528527","352594104","10878"
"1782","Diagonal","2015","101.0","644077","49575","37663","101075","88552","9905","10922","0","50381","3523","0","29653","45000","11224","0","45574","0","6001","36058","12678","0","650","28761","0","0","0","5668","0","0","570","14263","0","4996","0","1236769","12245"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1791","Dike-New Hartford","2015","880.5","5605263","0","104294","731008","502827","52839","49651","155967","371394","35436","0","100496","160000","81871","0","124047","0","206890","8725","19188","0","15600","46847","0","0","0","16026","0","0","4245","0","0","38883","0","8431498","9576"
"1863","Dubuque","2015","10578.6","67417418","0","585787","12399627","6014251","715219","718922","2345993","0","5038104","0","3370903","4750000","1178007","0","2391711","0","440603","1359591","100188","3266883","105300","1817420","0","37822","0","370261","0","150000","52350","0","0","557778","131563","115315701","10901"
"1908","Dunkerton","2015","464.0","2953824","0","19060","442692","268229","27840","29914","60477","219184","4981","0","14881","175000","48651","0","197552","0","3601","0","15710","0","9100","43728","0","0","0","12018","0","0","2250","47813","0","22042","0","4618546","9954"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1917","Boyer Valley","2015","432.7","2758030","0","84889","451853","268832","32275","30397","82758","205862","20214","0","0","175000","59461","0","113516","0","33153","0","15448","0","5200","57591","0","0","0","27195","0","0","2115","15657","0","20256","0","4459702","10307"
"1926","Durant","2015","565.6","3626627","0","31624","381001","368545","41696","33025","66843","173844","114183","0","96170","353539","0","139075","6464","0","41440","7310","16558","0","9750","48691","0","0","0","17518","0","0","3365","0","0","25556","0","5602824","9906"
"1944","Eagle Grove","2015","833.3","5403117","0","240310","868661","469540","51298","57906","184614","252030","29553","0","270156","300000","80916","0","164284","0","107329","12865","18794","0","14300","214074","0","0","0","31662","0","0","4060","0","0","42037","0","8817506","10581"
"1953","Earlham","2015","644.7","4104160","0","73292","434925","375886","37779","43027","28647","0","292462","0","128689","130000","55581","0","168428","0","167715","72053","17219","199096","13000","33383","0","0","0","9856","0","0","3195","50134","0","28150","0","6466677","10031"
"1963","East Buchanan","2015","560.3","3566870","0","62966","671231","340371","33881","35534","95490","28986","242917","0","117707","175000","58394","0","176951","0","84242","0","16514","0","2600","55378","0","0","0","17936","0","0","2835","43017","0","26264","0","5855084","10450"
"1965","Easton Valley","2015","655.0","4169730","0","114200","647804","366846","40178","36883","95490","0","322320","0","0","185000","71498","0","290322","0","114019","105831","17305","0","7800","70677","0","0","0","25463","0","0","2455","35362","0","28947","0","6748130","10302"
"1968","East Marshall","2015","609.3","3929985","159892","39422","457241","376087","42758","42739","162333","298111","21431","0","168520","220000","69023","0","140137","28236","22969","0","16923","188164","18200","97223","0","0","0","20150","0","0","4515","0","0","30374","0","6554433","10757"
"1970","East Union","2015","515.8","3295962","0","109691","260904","293996","28240","35461","101856","229888","8608","0","164798","140000","46227","0","0","0","153011","70686","16142","159289","7800","101672","0","0","0","25156","0","0","2395","19220","0","25388","0","5296390","10268"
"1972","Eastern Allamakee","2015","364.0","2317224","13469","169170","186524","226762","21334","26099","50928","165966","33891","0","74284","175000","63532","0","0","0","24004","0","14874","0","5200","47977","0","0","0","13395","0","0","1850","25258","0","16833","0","3673574","10092"
"657","Eddyville Blakesburg","2015","857.1","5456299","21139","137022","627306","482384","50826","62363","210078","160009","305354","0","272739","450000","141148","0","0","0","66011","171082","18993","0","10400","112448","0","0","0","34077","0","0","4435","0","0","41815","0","8835928","10309"
"1975","River Valley","2015","422.0","2690250","0","49317","258634","253069","27573","31080","76392","207195","17091","0","71576","285000","63107","0","0","0","79659","116091","15359","0","9100","68489","0","0","0","21645","0","0","1980","19499","0","20552","0","4382658","10385"
"1989","Edgewood-Colesburg","2015","414.0","2635524","23444","56505","187288","251101","27982","29999","85941","170240","36389","0","0","160000","47360","0","0","0","18003","28785","15292","0","7150","137828","0","0","0","22968","0","0","2700","35489","0","21332","0","4001320","9665"
"2007","Eldora-New Providence","2015","631.0","4016946","0","93459","960247","364428","42492","41999","152784","155808","136586","0","193118","375000","58618","0","238026","0","93016","155699","17105","0","2600","141894","0","4374","0","30467","0","0","2775","0","0","30317","0","7307758","11581"
"2088","Emmetsburg","2015","668.8","4339843","0","85343","650847","367338","43024","43947","149479","287496","78570","0","143304","311000","111429","246425","206047","0","9491","73526","17420","0","13000","93640","0","0","0","28352","0","0","3765","0","0","35573","0","7338860","10973"
"2097","English Valleys","2015","458.8","2954213","0","102734","344744","297633","31286","31992","92307","214976","22011","0","147711","250000","57465","107488","9183","0","39607","0","15666","0","5200","68033","0","0","0","20609","0","0","2165","22429","0","21051","0","4858503","10590"
