"company_name","mailing_address1","mailing_address2","mailing_city","mailing_state","mailing_zip","business_phone","business_email","physical_location"
"AIG WARRANTYGUARD, INC.","650 MISSOURI AVENUE",,"JEFFERSONVILLE","IN","47130","8125574386","lana.campbell@aig.com","POINT (-85.750039 38.274479)"
"MARATHON ADMINISTRATIVE CO., INC.","PO BOX 961",,"O'FALLON","IL","62269","8002058988","cgibson@marathongroup.com",
"EXTEND WARRANTY SERVICES CORPORATION","340 SOUTH LEMON AVENUE, SUITE 4904",,"WALNUT","CA","91789","4155785745","matt.skeffington@extend.com","POINT (-117.860333 34.011553)"
"EFG HOME SERVICES, LLC.","PO BOX 167667",,"IRVING","TX","75016","8005271984","LegalTeam@efgusa.com",
"INTEGRITY ADMIN GROUP, INC.","2973 HARBOR BOULEVARD, SUITE 240",,"COSTA MESA","CA","92626","8772528036","regulatorcompliance@integrity.car","POINT (-117.919417 33.679504)"
"BLACK HILLS SERVICE COMPANY, LLC","PO BOX 1400",,"RAPID CITY","SD","57702-1400","5153432010","kerri.harvey@blackhillscorp.com",
"HOME SERVICE CLUB WARRANTY CORP","305 BROADWAY, 7TH FLOOR",,"NEW YORK","NY","10007","5615155256","klevine@cozen.com","POINT (-74.005319 40.715358)"
"HIPPO WARRANTY SOLUTIONS INC.","101 W 6TH STREET, 5TH FLOOR",,"AUSTIN","TX","78701","8882882117","generalcounsel@hippo.com","POINT (-97.742797 30.268052)"
"ASSURANCE EXPRESS, LLC","PO BOX 460",,"O'FALLON","MO","63366","8883456097","cgreen@aegishome.com",
"NATIONAL HOME REPAIR WARRANTY, INC","3925 BROOKSIDE PARKWAY",,"ALPHARETTA","GA","30009","2163286100","licensing@amtrustgroup.com","POINT (-84.24793 34.060595)"
