"company_name","mailing_address1","mailing_city","mailing_state","mailing_zip","business_phone","business_email","physical_location"
"HARWICH TERRACE AT MAYFLOWER, LLC","616 BROAD STREET","GRINNELL","IA","50112","6412366151","info@mayflowerhomes.com","POINT (-92.724126 41.739584)"
"THE MARIAN HOME, FORT DODGE, IOWA","2400 6TH AVENUE N","FORT DODGE","IA","50501","5155761138","ttrotter@marianhome.com","POINT (-94.165638 42.512059)"
"AMERICAN BAPTIST HOMES OF THE MIDWEST","2104 12TH STREET","HARLAN","IA","51537","7127555174","jhongslo@abhomes.org","POINT (-95.325481 41.648379)"
"WESLEY RETIREMENT SERVICES, INC.","5508 NW 88TH STREET","JOHNSTON","IA","50131","5152716789","cflanagan@wesleylife.org","POINT (-93.740399 41.660247)"
"BARTELS LUTHERAN HOME","1922 FIFTH AVENUE NW","WAVERLY","IA","50677","3193524540","tbright@bartelscommunity.org","POINT (-92.49332 42.730103)"
"THE LUTHERAN HOMES SOCIETY","2421 LUTHERAN DRIVE","MUSCATINE","IA","52761","5632631241","rcrumly@lutheran-living.org","POINT (-91.096291 41.419048)"
"GREENE COUNTY MEDICAL CENTER FOUNDATION","1001 WEST WASHINGTON STREET","JEFFERSON","IA","50129","5153860106","nancy.houska@gcmchealth.com","POINT (-94.388477 42.017159)"
"MADRID HOME FOR THE AGING","613 W NORTH STREET","MADRID","IA","50156","5157953007","matt.hau@madridhome.com","POINT (-93.82659 41.877945)"
"WESLEY RETIREMENT SERVICES INC","5508 NW 88TH STREET","JOHNSTON","IA","50131","5159617458","cflanagan@wesleylife.org","POINT (-93.740399 41.660247)"
"ELITE LODGE OF ASHWORTH LLC","909 ASHWORTH ROAD","WEST DES MOINES","IA","50265","8455805550","hb@eliteacq.com","POINT (-93.716059 41.584613)"
"IOWA MENNONITE BENEVOLENT ASSOCIATION","811 3RD STREET","KALONA","IA","52247","3196562421","jhershberger@pvkalona.com","POINT (-91.708559 41.491115)"
"TRAER NURSING CARE CENTER, INC.","909 SIXTH STREET","TRAER","IA","50675","3194782730","administrator.sunrisehill@mediacombb.net","POINT (-92.459717 42.188912)"
"BISHOP DRUMM RETIREMENT CENTER","5837 WINWOOD DRIVE","JOHNSTON","IA","50131","5152701100","abraden@chilivingcomm.org","POINT (-93.700548 41.669074)"
"SPURGEON MANOR, INC.","1204 LINDEN ST","DALLAS CENTER","IA","50063","5159923735","mcahill@spurgeonmanor.com","POINT (-93.958984 41.680447)"
"WILLIAMSBURG RETIREMENT COMMUNITY, INC.","102 HIGHLAND CIRCLE","WILLIAMSBURG","IA","52361","3196683800","bphillips@preshomes.org",
"CEDAR FALLS LUTHERAN HOME","7511 UNIVERSITY AVENUE","CEDAR FALLS","IA","50613","3192680401","eoneill@newaldaya.org","POINT (-92.447679 42.513032)"
"MASONIC VILLAGE, INC.","2500 GRANT STREET","BETTENDORF","IA","52722","5633599171","mmartin@iowamasonic.com","POINT (-90.498279 41.526315)"
"WESLEY RETIREMENT SERVICES, INC.","5508 NW 88TH STREET","JOHNSTON","IA","50131","5152716500","cflanagan@wesleylife.org","POINT (-93.740399 41.660247)"
"AMERICA'S CHOICE COMMUNITY OF RED OAK","1300 SENATE AVENUE","RED OAK","IA","51566","7126235259","haysacct@heartland.net","POINT (-95.217058 41.026225)"
"HOLY SPIRIT RETIREMENT HOME, INC. SIOUX CITY, IOWA","1701 W. 25TH STREET","SIOUX CITY","IA","51103","7122522726","kylas@holyspiritretirementhome.com","POINT (-96.433509 42.515635)"
"IRC III, LLC","1044 N 115TH STREET, SUITE 500","OMAHA","NE","68154","4028292900","legal@immanuel.com","POINT (-96.093587 41.270117)"
"PHS COUNCIL BLUFFS, INC.","16 VALLEY VIEW DRIVE","COUNCIL BLUFFS","IA","51503","7128239145","nurinko@preshomes.org","POINT (-95.803873 41.265727)"
"THE UNITED PRESBYTERIAN HOME OF WASHINGTON, IOWA","1203 EAST WASHINGTON STREET","WASHINGTON","IA","52353","3196535473","edrahota@uphome.org","POINT (-91.680244 41.298273)"
"COLONIAL MANOR OF AMANA, INC.","3207 220TH TRAIL","AMANA","IA","52203","3196223131","tanyap@southslope.net","POINT (-91.894311 41.799509)"
"EVANGELICAL RETIREMENT HOMES, INC.","2571 GUTHRIE AVENUE","DES MOINES","IA","50317","5152991724","stephanie.proper@cassialife.org","POINT (-93.567767 41.614994)"
"PERRY LUTHERAN HOME - ROWLEY CAMPUS, LLC","1300 28TH STREET","PERRY","IA","50220","5154655316","mgannon@perrylutheranhomes.org","POINT (-93.742163 41.591434)"
"THE LUTHERAN HOME FOR THE AGED ASSOCIATION - EAST","P. O. BOX 559","VINTON","IA","52349","3194724211","d.gloede@lhaa-e.org",
"GREEN HILLS RESIDENTS' ASSOCIATION","2205 GREEN HILLS DRIVE, SUITE 100","AMES","IA","50014","5153575000","ed@greenhillsrc.com","POINT (-93.644186 42.001903)"
"WESLEY RETIREMENT SERVICES INC","5508 NW 88TH STREET","JOHNSTON","IA","50131","3196537264","cflanagan@wesleylife.org","POINT (-93.740399 41.660247)"
"CALVIN COMMUNITY","4210 HICKMAN ROAD","DES MOINES","IA","50310","5152776141","nhauck@calvincommunity.org","POINT (-93.674689 41.614917)"
"ST. LUKE HOMES AND SERVICES, INC.","1301 ST. LUKE DRIVE","SPENCER","IA","51301","7122625931","stlukelh@stlukelh.com","POINT (-95.127085 43.12448)"
"RISEN SON CHRISTIAN VILLAGE","2 CITY PLACE DRIVE, SUITE 200","ST. LOUIS","MO","63141","7123669655","khudson@chliving.org",
"WESTHAVEN COMMUNITY  A MINISTRY OF THE EVANGELICAL FREE CHURCH","112 W. 4TH STREET","BOONE","IA","50036","5154321393","jwineinger@efreechurchhome.org","POINT (-93.893925 42.060294)"
"BETHANY LUTHERAN HOME","7 ELLIOTT STREET","COUNCIL BLUFFS","IA","51503","7123289500","vaughn@blhs.care","POINT (-95.836624 41.279205)"
"MAPLETON PROGRESS, INCORPORATED","2 SUNRISE AVENUE","MAPLETON","IA","51034","7128811680","maplhgts@longlines.com","POINT (-95.78121 42.163274)"
"WATERTOWER SQUARE AT MAYFLOWER, LLC","616 BROAD STREET","GRINNELL","IA","50112","6412366151","info@mayflowerhomes.com","POINT (-92.724126 41.739584)"
"AMERICA'S CHOICE COMMUNITY OF SIOUX CENTER","1900 SOUTH MAIN AVENUE","SIOUX CENTER","IA","51250","7127221525","joel.westra@ambankiowa.com","POINT (-96.175298 43.058042)"
"KAHL HOME FOR THE AGED AND INFIRM","6701 JERSEY RIDGE RD","DAVENPORT","IA","52807","5633241621","khufsey@kahlhomedav.com","POINT (-90.539241 41.58986)"
"REGENCY RETIREMENT RESIDENCE OF CLINTON","839 13TH AVENUE NORTH","CLINTON","IA","52732","4024310500","amcfall@essexcom.com","POINT (-90.202208 41.859338)"
"THE PRESBYTERIAN VILLAGE","502 BUTLER STREET","ACKLEY","IA","50601","6418473531","tkrull@grandjivante.com","POINT (-93.046605 42.552213)"
"COTTAGE GROVE PLACE","2115 FIRST AVENUE SE","CEDAR RAPIDS","IA","52402","3193632420","dsnyder@cottagegroveplace.com","POINT (-91.638114 41.996572)"
"SCOTTISH RITE PARK, INC.","2909 WOODLAND AVENUE","DES MOINES","IA","50312","5152744614","dboor@scottishritepark.com","POINT (-93.655381 41.588047)"
"WAYLAND MENNONITE HOME ASSOCIATION","PO BOC 38","WAYLAND","IA","52654","3192563525","parkviewwayland@gmail.com",
"CHRISTIAN RETIREMENT SERVICES, INC.","1 OAKNOLL COURT","IOWA CITY","IA","52246","3193511720","sroe@oaknoll.com","POINT (-91.555864 41.650589)"
"HILLCREST HOME, INC.","915 WEST 1ST STREET","SUMNER","IA","50674","5635788591","deanna.kahler@hillcrestsumner.com","POINT (-92.110568 42.847429)"
"BVM-PHS SENIOR HOUSING, INC.","1160 CARMEL DRIVE","DUBUQUE","IA","52003","5635565474","srentz@preshomes.org","POINT (-90.657636 42.477157)"
"WESLEY RETIREMENT SERVICES INC","5508 NW 88TH STREET","JOHNSTON","IA","50131","7122431850","cflanagan@wesleylife.org","POINT (-93.740399 41.660247)"
"NORTHCREST, INC.","2300 NORTHCREST PARKWAY","AMES","IA","50010","5152326760","hpalmer@northcrestcommunity.org",
"MARTIN LUTHER HOME","3131 HILLCREST ROAD","DUBUQUE","IA","52001-3908","5635881413","janet.warren@luthermanor.com","POINT (-90.716292 42.505543)"
"GOOD NEIGHBOR SOCIETY","105 MCCARREN DRIVE","MANCHESTER","IA","52057","5639273907","mcarpenter@goodneighborsociety.org","POINT (-91.439905 42.485824)"
"STONEHILL FRANCISCAN SERVICES, INC.","3485 WINDSOR AVENUE","DUBUQUE","IA","52001","5635577180","spearce@stonehilldbq.com","POINT (-90.668891 42.531886)"
"EVENTIDE LUTHERAN HOME FOR THE AGED, MISSOURI SYNOD","114 SOUTH 20TH STREET","DENISON","IA","51442","7122633114","mbaker@eventidehome.com","POINT (-95.343975 42.013501)"
"BETHANY MANOR, INC.","212 LAFAYETTE AVENUE","STORY CITY","IA","50248","5157334325","stephanie.hadsall@bethanylife.org","POINT (-93.592545 42.18136)"
"WESTERN HOME SERVICES, INC.","5307 CARAWAY LANE","CEDAR FALLS","IA","50613","3192772141","susan.steffy@westernhome.org","POINT (-92.438321 42.490266)"
"THE CEDAR FOUNDATION, INCORPORATED, OF CEDAR COUNTY, IOWA","1200 MULBERRY STREET","TIPTON","IA","52772","5638862133","ahubler@cedarmanor.org","POINT (-91.125075 41.777597)"
"KEOKUK VILLAGE DRIVE LLC","285 SOUTH FARNHAM STREET","GALESBURG","IL","61401","3093431550","rjwilson@rfmsinc.com","POINT (-90.345433 40.944602)"
"HEARTHSTONE, A MINISTRY OF WESLEYLIFE, LLC","5508 NW 88TH STREET","JOHNSTON","IA","50131","6416204100","cflanagan@wesleylife.org","POINT (-93.740399 41.660247)"
"SEELAND PARK","2021 FOURTH AVENUE","GRINNELL","IA","50112","6412367592","dschrack@stfrancismanor.com","POINT (-92.705615 41.743215)"
"EASTERN STAR MASONIC HOME","715 WEST 3RD STREET","BOONE","IA","50036","5154325274","rcolby@iowaoeshome.com","POINT (-93.902118 42.059352)"
"ARBOR SPRINGS OF WEST DES MOINES, LLC","7951 EP TRUE PARKWAY","WEST DES MOINES","IA","50266","5152231135","s.cosic@arborsprings.org","POINT (-93.816511 41.57457)"
"PRESBYTERIAN HOMES MILL POND, INC.","1201 SE MILL POND COURT","ANKENY","IA","50021","5159642273","rstuck@preshomes.org","POINT (-93.579434 41.724561)"
"CHRISTIAN RETIREMENT HOMES, INC.","4130 NORTHWEST BLVD.","DAVENPORT","IA","52806","5633913430","sarp@ridgecrestvillage.org","POINT (-90.581335 41.563588)"
"WELLSPIRE-BETTENDORF, LLC","5508 NW 88TH STREET","JOHNSTON","IA","50131","5636357100","cflanagan@wesleylife.org","POINT (-93.740399 41.660247)"
"THE METH-WICK COMMUNITY, INC.","1224 - 13TH STREET, N.W.","CEDAR RAPIDS","IA","52405","3193659171","rmixdorf@methwick.org","POINT (-91.68955 41.98463)"
