"company","deviation","effective_date"
"Farm Bureau Property & Casualty Ins Co","-15.00","2017-01-01T00:00:00.000"
"Farmers Insurance Exchange","-5.00","2022-01-01T00:00:00.000"
"Farmland Mutual Ins. Co.","9.300","2015-01-01T00:00:00.000"
"Farm Western Agricultural Ins Co","0.0","2014-01-01T00:00:00.000"
"Federal Insurance Company","5.00","2020-01-01T00:00:00.000"
"Federated Mutual Insurance Company","-1.400","2022-02-01T00:00:00.000"
"Federated Reserve Insurance Company","13.400","2022-02-01T00:00:00.000"
"Federated Service Ins. Co.","-9.400","2015-06-01T00:00:00.000"
"Fidelity & Deposit Co. of Maryland","0.0","2019-01-01T00:00:00.000"
"Fidelity & Guaranty Ins. Co.","-15.00","1993-10-01T00:00:00.000"
"Fire Insurance Exchange","-15.00","2021-01-01T00:00:00.000"
"Firemen’s Ins Co of Washington DC","0.0","2014-03-01T00:00:00.000"
"FirstComp Insurance Company","-2.500","2012-03-01T00:00:00.000"
"First Dakota Indemnity Co","-15.00","2008-01-01T00:00:00.000"
"First Liberty Ins Corp.","15.00","2006-01-01T00:00:00.000"
"First National Ins Co of Am","10.200","2017-01-01T00:00:00.000"
"Florists’ Mutual Ins Co","-7.00","2016-01-01T00:00:00.000"
"Gateway Ins Co","15.00","2007-09-27T00:00:00.000"
"General Casualty Ins Co","15.00","2011-01-01T00:00:00.000"
"General Ins Co of Am","15.00","2017-01-01T00:00:00.000"
"Granite State Ins. Co.","15.00","2012-11-01T00:00:00.000"
"Great Am Alliance Ins Co","-15.00","1995-06-20T00:00:00.000"
"Great American Insurance Company of New York",,"2020-01-01T00:00:00.000"
"Great Northern Ins. Co.","0.0","1991-10-01T00:00:00.000"
"Great Northwest Ins. Co.","-15.00","1988-02-01T00:00:00.000"
"Great West Casualty Co","5.00","2015-01-01T00:00:00.000"
"Greenwich Insurance Co","-15.00","1995-12-12T00:00:00.000"
"Grinnell Select Ins Co","-15.00","2009-10-01T00:00:00.000"
"GuideOne Elite Ins. Co.","-4.00","2020-01-01T00:00:00.000"
"GuideOne Mutual Ins Co","6.600","2020-01-01T00:00:00.000"
"GuideOne Specialty Mutual Ins Co","15.00","2020-01-01T00:00:00.000"
"Hamilton Mutual Ins Co","15.00","2015-01-01T00:00:00.000"
"The Hanover American Insurance Company","-8.00","2021-01-01T00:00:00.000"
"The Hanover Insurance Company","7.00","2021-01-01T00:00:00.000"
"Harleysville Insurance Company","15.00","2014-01-01T00:00:00.000"
"Harleysville Lake States Ins. Co.","-15.00","2006-01-01T00:00:00.000"
"Harleysville Preferred Insurance Company","-15.00","2014-01-01T00:00:00.000"
"Harleysville Worcester Insurance Company","0.0","2014-01-01T00:00:00.000"
"Hartford Casualty Ins. Co.","-5.00","2002-01-01T00:00:00.000"
"Hartford Fire Ins. Co.","-10.0","2002-01-01T00:00:00.000"
"Hastings Mutual Insurance Company - Tier 1","-15.00","2021-04-01T00:00:00.000"
"Hastings Mutual Insurance Company - Tier 2","-5.00","2021-04-01T00:00:00.000"
"Hastings Mutual Insurance Company - Tier 3","10.0","2021-04-01T00:00:00.000"
"Hastings Mutual Insurance Company - Tier 4","15.00","2021-04-01T00:00:00.000"
"Hawkeye-Security Ins Co","15.00","2017-01-01T00:00:00.000"
"Horizon Midwest Casualty Company","-15.00","2020-01-01T00:00:00.000"
"Illinois Casualty Company","0.0","2021-01-01T00:00:00.000"
"Illinois EMCASCO Insurance Company","0.0","2018-01-01T00:00:00.000"
"Illinois Insurance Company","-10.0","2017-06-15T00:00:00.000"
"IMT Ins. Co.","-5.00","2002-01-01T00:00:00.000"
"Indemnity Insurance Company of North America","-15.00","2009-05-14T00:00:00.000"
"Indiana Ins Co","15.00","2017-01-01T00:00:00.000"
"Insurance Company of North America","0.0","2020-01-01T00:00:00.000"
"Integrity Mutual Ins. Co.","-10.0","2016-10-01T00:00:00.000"
"Intrepid Ins Co","-10.0","2002-02-01T00:00:00.000"
"Key Risk Insurance Company","5.00","2020-01-01T00:00:00.000"
"Lafayette Ins. Co.","-15.00","2009-01-01T00:00:00.000"
"Le Mars Ins Co","15.00","2015-01-01T00:00:00.000"
"Liberty Insurance Corporation","-15.00","2008-01-01T00:00:00.000"
"Liberty Mutual Fire Ins Co","7.500","2014-01-01T00:00:00.000"
"Liberty Mutual Ins. Co.","15.00","2001-09-01T00:00:00.000"
"LM Ins Corporation","-15.00","2009-01-01T00:00:00.000"
"Lumbermens Mutual Casualty Co.","10.0","2003-03-01T00:00:00.000"
"Lumbermen's Underwriting Alliance","-15.00","1997-01-01T00:00:00.000"
"Manufacturers Alliance Ins Co","15.00","2017-05-01T00:00:00.000"
"Markel Insurance Company","-15.00","2012-03-01T00:00:00.000"
"Market American Insurance Company","10.0","2015-01-01T00:00:00.000"
"Maryland Casualty Co.","15.00","2013-01-01T00:00:00.000"
"Massachusetts Bay Insurance Company","0.0","2021-01-01T00:00:00.000"
"MHA Ins. Co.","-15.00","2009-07-01T00:00:00.000"
"Meridian Security Ins Co","-15.00","2012-01-01T00:00:00.000"
"Michigan Millers Mutual Ins. Co.","0.0","2012-01-01T00:00:00.000"
"Mid-Century Insurance Company","15.00","2022-01-01T00:00:00.000"
"Middlesex Ins. Co.","-15.00","2009-05-01T00:00:00.000"
"Midwest Builders’ Casualty Mutual Company","-15.00","2018-01-01T00:00:00.000"
"Midwest Employers Casualty Co","-10.0","2020-01-01T00:00:00.000"
"Midwest Family Mutual Ins Co","-12.00","2014-01-01T00:00:00.000"
"Midwest Insurance Company","-10.0","2022-01-01T00:00:00.000"
"Midwestern Ind Co","-15.00","2017-01-01T00:00:00.000"
"Milford Casualty Insurance Company","0.0","2021-07-01T00:00:00.000"
"Millers First Ins. Assn.","-15.00","1997-01-01T00:00:00.000"
"National American Insurance Company","-15.00","2020-01-01T00:00:00.000"
"National Casualty Company","0.0","2020-01-01T00:00:00.000"
"National Farmers Union Prop & Cas Co","15.00","2004-02-01T00:00:00.000"
"National Fire Insurance Company of Hartford","5.00","2021-01-01T00:00:00.000"
"National Liability & Fire Ins Co","10.0","2018-01-01T00:00:00.000"
"National Specialty Insurance Company","0.0","2022-01-01T00:00:00.000"
"Nationwide Agribusiness Insurance Company","0.0","2020-01-01T00:00:00.000"
"Nationwide Assurance Insurance Company","-10.0","2019-07-01T00:00:00.000"
"Nationwide General Insurance Company","-15.00","2019-07-01T00:00:00.000"
"Nationwide Insurance Company of America","15.00","2019-07-01T00:00:00.000"
"Nationwide Mutual Insurance Company - Harleysville Operations","0.0","2014-01-01T00:00:00.000"
"Nationwide Mutual Insurance Company - Ag Operations","15.00","2020-01-01T00:00:00.000"
"Nationwide Property and Casualty Insurance Company","0.0","2019-07-01T00:00:00.000"
"Netherlands Ins Co","-5.00","2017-01-01T00:00:00.000"
"New Hampshire Ins. Co.","-15.00","1995-11-01T00:00:00.000"
"New York Marine and General Ins Co","5.00","2011-02-01T00:00:00.000"
"North American Elite Ins Co","-15.00","2021-09-01T00:00:00.000"
"North American Specialty Ins Co","0.0","2021-09-01T00:00:00.000"
"North Point Ins Co","-15.00","2010-04-15T00:00:00.000"
"North River Ins. Co.","-15.00","1996-08-20T00:00:00.000"
"NorthStone Insurance Company","5.00","2016-07-01T00:00:00.000"
"Northern Ins. Co. of New York","15.00","2013-01-01T00:00:00.000"
"Ohio Casualty Ins Co","15.00","2015-01-01T00:00:00.000"
"Ohio Farmers Insurance Company","-30.0","2021-01-01T00:00:00.000"
"Ohio Security Ins Co","10.200","2015-01-01T00:00:00.000"
"Old Guard Insurance Company","0.0","2021-05-01T00:00:00.000"
"Owners Insurance Company","-15.00","2009-01-01T00:00:00.000"
"Pacific Employers Insurance Company","-15.00","2019-01-01T00:00:00.000"
"Pacific Indemnity Co.","-8.00","1995-11-01T00:00:00.000"
"Partners Mutual Insurance Company","-12.00","2021-01-01T00:00:00.000"
"Penn-America Ins. Co.","15.00","2010-07-15T00:00:00.000"
"Penn Millers Insurance Company","15.00","2019-01-01T00:00:00.000"
"Pennsylvania Insurance Company","15.00","2017-06-15T00:00:00.000"
"Pennsylvania Manufacturers Indemnity Co","-15.00","2017-05-01T00:00:00.000"
"Peerless Indemnity Ins Co.","10.200","2017-01-01T00:00:00.000"
"Peerless Ins Co","15.00","2015-01-01T00:00:00.000"
"Pharmacists Mutual Insurance Company","0.0","2017-01-01T00:00:00.000"
"Phoenix Ins. Co.","15.00","2009-01-01T00:00:00.000"
"PinnaclePoint Insurance Company","15.00","2016-07-01T00:00:00.000"
"Pioneer Specialty Insurance Company","-5.00","2012-01-01T00:00:00.000"
"Platte River Ins Co","-15.00","1999-06-23T00:00:00.000"
"Plaza Ins Co","0.0","2017-01-01T00:00:00.000"
"Preferred Employers Insurance Company","-15.00","2020-01-01T00:00:00.000"
"Previsor Insurance Company","0.0","2019-01-01T00:00:00.000"
"Protective Ins Co","15.00","2016-01-01T00:00:00.000"
"QBE Ins Corporation","15.00","2014-03-01T00:00:00.000"
"Quanta Indemnity Co.","10.0","2003-04-01T00:00:00.000"
"Regent Insurance Company","-15.00","2008-01-01T00:00:00.000"
"Republic Ind. Co. of Am.","-15.00","1998-04-01T00:00:00.000"
"Rural Trust Ins Co.","-15.00","2016-07-21T00:00:00.000"
"RLI Insurance Co","-10.0","2012-05-15T00:00:00.000"
"Safeco Ins. Co. of America","-15.00","1982-08-01T00:00:00.000"
"Safety National Casualty Corp.","-10.0","2001-01-01T00:00:00.000"
"Sagamore Ins. Co.","1.800","2001-06-15T00:00:00.000"
"St. Paul Mercury Ins. Co.","-10.0","2006-01-01T00:00:00.000"
"Sea Bright Ins Co","-15.00","2007-06-30T00:00:00.000"
"Secura Insurance A Mutual Company","-5.00","2022-01-01T00:00:00.000"
"Secura Supreme Insurance Company","-15.00","2011-11-15T00:00:00.000"
"Security National Ins Co","-15.00","2009-01-01T00:00:00.000"
"Selective Ins. Co. of South Carolina","-15.00","2007-09-01T00:00:00.000"
"Sentinel Ins. Co. Ltd","-15.00","2006-04-01T00:00:00.000"
"Sentry Ins. A Mutual Co","0.0","2012-01-01T00:00:00.000"
"Sentry Select Ins. Co.","0.0","2014-01-01T00:00:00.000"
"Sequoia Ins Co","-15.00","2009-06-19T00:00:00.000"
"Service American Indemnity Company","-15.00","2021-01-01T00:00:00.000"
"Service Lloyds Insurance Company","-15.00","2020-01-01T00:00:00.000"
"SFM Select Ins Co","-15.00","2007-04-01T00:00:00.000"
"Society Insurance, a mutual company","0.0","2021-01-01T00:00:00.000"
"Sompo America Fire & Marine Ins Co","-15.00","2017-08-01T00:00:00.000"
"Southern Insurance Company","-5.00","2021-07-01T00:00:00.000"
"Standard Fire Ins. Co.","10.0","2006-01-01T00:00:00.000"
"StarNet Insurance Company","0.0","2020-01-01T00:00:00.000"
"State Auto Mutual Ins Co","15.00","2012-01-01T00:00:00.000"
"State Auto Prop & Cas. Ins Co.","0.0","2012-01-01T00:00:00.000"
"State Farm Fire & Casualty Co.","5.00","2010-07-01T00:00:00.000"
"Stonewood National Ins Co","10.0","2013-01-18T00:00:00.000"
"Stonington Ins Co","-15.00","2012-01-01T00:00:00.000"
"SummitPoint Insurance Company","-15.00","2016-07-01T00:00:00.000"
"SUNZ Insurance Company","5.00","2020-09-15T00:00:00.000"
"Technology Ins Co","-10.0","2008-01-23T00:00:00.000"
"Toyota Motor Ins. Co.","-15.00","1996-11-27T00:00:00.000"
"Trans Pacific Ins Co","-15.00","2008-10-01T00:00:00.000"
"Transportation Insurance Company","10.0","2021-01-01T00:00:00.000"
"Travelers Casualty & Surety Co.","-10.0","2006-01-01T00:00:00.000"
"Travelers Indemnity Co. Connecticut","-15.00","2009-01-01T00:00:00.000"
"Triangle Ins Co Inc","-7.900","2018-01-01T00:00:00.000"
"Tri-State Ins Co of Minnesota","0.0","2013-07-01T00:00:00.000"
"Triumphe Casualty Co","15.00","2017-01-01T00:00:00.000"
"Truck Insurance Exchange","5.00","2020-01-01T00:00:00.000"
"Union Ins Co","-15.00","2021-01-01T00:00:00.000"
"Union Ins Co of Providence","-15.00","2018-01-01T00:00:00.000"
"United Fire & Casualty Co.","0.0","2014-01-01T00:00:00.000"
"United National Casualty Ins. Co.","-15.00","2010-07-15T00:00:00.000"
"United National Specialty Ins. Co.","-5.00","2010-07-15T00:00:00.000"
"United Security Ins. Co.","-15.00","1995-07-01T00:00:00.000"
"United States Fidelity & Guaranty Co.","10.0","2004-03-15T00:00:00.000"
"Universal Underwriters Ins. Co.","15.00","2005-02-01T00:00:00.000"
"Valley Forge Insurance Company","0.0","2021-01-01T00:00:00.000"
"Vanliner Ins. Co.","7.00","2015-01-01T00:00:00.000"
"Vigilant Insurance Company","5.00","2020-01-01T00:00:00.000"
"Wadena Ins Co","-15.00","2007-03-01T00:00:00.000"
"Washington International Insurance Company","15.00","2021-09-01T00:00:00.000"
"Wausau Business Ins. Co.","-15.00","2008-03-01T00:00:00.000"
"Wausau NorGUARD Ins Co","3.00","2014-01-01T00:00:00.000"
"Wausau Underwriters Ins Co","7.500","2014-01-01T00:00:00.000"
"West American Ins Co","5.00","2017-01-01T00:00:00.000"
"West Bend Mutual Ins Co","-5.00","2011-01-01T00:00:00.000"
"Westchester Fire Insurance Company","-5.00","2020-01-01T00:00:00.000"
"Western Agricultural Ins Co","15.00","2016-01-01T00:00:00.000"
"Western National Assurance Company","-15.00","2021-01-01T00:00:00.000"
"Western National Mutual Insurance Company","15.00","2022-01-01T00:00:00.000"
"Westfield Champion Insurance Company","-8.00","2021-05-01T00:00:00.000"
"Westfield Insurance Company","0.0","2020-08-01T00:00:00.000"
"Westfield National Insurance Company","-15.00","2020-08-01T00:00:00.000"
"Westfield Premier Insurance Company","15.00","2021-05-01T00:00:00.000"
"Westfield Superior Insurance Company","7.00","2021-05-01T00:00:00.000"
"Westfield Touchstone Insurance Company","-15.00","2021-05-01T00:00:00.000"
"Williamsburg Nat’l Ins. Co.","15.00","2002-07-11T00:00:00.000"
"Work First Casualty Co","14.00","2013-01-01T00:00:00.000"
"ZNAT Ins Co","-15.00","2012-01-01T00:00:00.000"
"Zurich American Insurance Company","0.0","2019-01-01T00:00:00.000"
"Zurich American Insurance Company of Illinois","15.00","2019-01-01T00:00:00.000"
