"contract_name","county","city","status","program","primary_funding_agreement","award_date","total_project_cost","capital_investment","direct_assistance_awarded","tax_benefits_awarded","projected_jobs_created","projected_jobs_retained","projected_jobs_other","projected_jobs_total","projected_qualifying_wage","contracted_jobs_created","contracted_jobs_retained","contracted_jobs_other","contracted_jobs_total","contracted_qualifying_wage","verified_total_project_cost","project_completion_date","final_jobs_created","final_jobs_retained","final_jobs_other_created","final_jobs_total","project_maintenance_date","city_location"
"Lesaffre Yeast Corporation","Linn","Cedar Rapids","Closed Contracts - Successful","High Quality Jobs Program","15-HQJTC-027","2014-12-19T00:00:00.000","6500000","5000000","0","152500","4","0","0","4","23.45","4","0","0","4","23.45","7495052","2017-12-31T00:00:00.000","4","0","0","4","2019-12-31T00:00:00.000","POINT (-91.669808 41.978122)"
"Ajinomoto Heartland, Inc.","Wapello","Eddyville","Closed Contracts - Successful","High Quality Jobs Program","13-HQJTC-034","2013-03-22T00:00:00.000","29775900","29594600","0","1037645","11","0","4","15","17.21","11","0","4","15","17.21","29775900","2016-03-31T00:00:00.000","11","0","4","15","2018-03-31T00:00:00.000","POINT (-92.630188 41.158178)"
"Curwood, Inc.","Polk","Des Moines","Closed Contracts - Successful","130% Component","12-130-024","2012-03-26T00:00:00.000","24300000","24300000","64000","1265625","16","0","0","16","23.75","16","0","0","16","23.75","25324970","2015-03-31T00:00:00.000","16","0","0","16","2017-03-31T00:00:00.000","POINT (-93.620309 41.588822)"
"Osage, City of","Mitchell","Osage","Closed Contracts - Successful","Grow Iowa Value Fund Infrastructure Component","11-IFC-004","2011-04-21T00:00:00.000","3750000","2725000","500000","0","0","0","0","0","0","0","0","0","0","0","5241326","2014-12-31T00:00:00.000","0","0","0","0","2016-12-31T00:00:00.000","POINT (-92.811156 43.284136)"
"Probioferm, LLC & Golden K, LLC","Polk","Urbandale","Closed Contracts - Successful","High Quality Jobs Program","16-HQJTC-006","2015-07-17T00:00:00.000","1930000","1930000","0","89560","1","0","3","4","25.52","1","0","3","4","25.52","1930416","2018-07-31T00:00:00.000","1","0","0","1","2020-07-31T00:00:00.000","POINT (-93.736522 41.630343)"
"Simonsen Iron Works, Inc.","Clay","Spencer","Closed Contracts - Full","High Quality Jobs Program","15-HQJDF-028","2014-12-19T00:00:00.000","3000000","3000000","300000","0","7","6","21","34","18.49","7","6","21","34","18.49","3000000","2017-12-31T00:00:00.000","0","0","0","0","2019-12-31T00:00:00.000","POINT (-95.144697 43.141367)"
"Tri-State Specialists, LLP","Woodbury","Sioux City","Closed Contracts - Successful","Targeted Jobs","14-TJ-009","2014-05-16T00:00:00.000","1223200","400000","0","184000","1","17","5","18","16.14","1","17","5","23","16.14","1938883","2017-05-31T00:00:00.000","1","17","5","23","2019-05-31T00:00:00.000","POINT (-96.406436 42.496323)"
"Cargill Kitchen Solutions","Cerro Gordo","Mason City","Closed Contracts - Successful","Enterprise Zone","11-EZ-030","2011-05-19T00:00:00.000","12450000","12400000","0","562600","20","0","0","20","13.62","20","0","0","20","13.62","10489882","2014-05-31T00:00:00.000","20","0","0","20","2016-05-31T00:00:00.000","POINT (-93.201042 43.153621)"
"AMPC, Inc. d/b/a Proliant Meat Ingredients","Shelby","Harlan","Closed Contracts - Successful","High Quality Jobs Program","13-HQJTC-001","2012-07-20T00:00:00.000","21700000","21700000","0","336000","1","0","12","13","12.79","1","0","12","13","17.98","27596114","2015-07-31T00:00:00.000","1","0","12","13","2017-07-31T00:00:00.000","POINT (-95.325555 41.645668)"
"Cambrex Charles City, Inc.","Floyd","Charles City","Closed Contracts - Successful","High Quality Jobs Program","13-HQJDF-008","2012-08-17T00:00:00.000","19309855","17000000","368000","169648","46","0","0","46","14.06","46","0","0","46","14.06","38802766","2015-08-31T00:00:00.000","46","0","0","46","2017-08-31T00:00:00.000","POINT (-92.672524 43.066415)"
"Appcore, LLC","Polk","Des Moines","Closed Contracts - Successful","Entrepreneurial Component","12-EC-004","2011-10-20T00:00:00.000","430220","430220","100000","0","0","0","0","0","12.05","0","0","0","0","20.92","485334","2014-10-31T00:00:00.000","0","0","0","0","2016-10-31T00:00:00.000","POINT (-93.620309 41.588822)"
"Cottingham & Butler Insurance Services, Inc.","Dubuque","Dubuque","Closed Contracts - Successful","High Quality Jobs Program","15-HQJDF-036","2015-02-20T00:00:00.000","1235000","590000","600000","0","75","0","15","90","20.06","75","0","15","90","20.06","1363842","2018-02-28T00:00:00.000","75","0","15","90","2020-02-28T00:00:00.000","POINT (-90.667314 42.505512)"
"Alpla, Inc.","Johnson","Iowa City","Closed Contracts - Successful","High Quality Jobs Program","12-HQJP-044","2012-04-20T00:00:00.000","12200000","12200000","0","646000","19","0","18","37","20.92","19","0","18","37","20.92","13094961","2015-04-30T00:00:00.000","19","0","18","37","2017-04-30T00:00:00.000","POINT (-91.530128 41.66124)"
"TriState Quality Metals, LLC and Wilming Ivestments, LLC","Dubuque","Dubuque","Closed Contracts - Successful","High Quality Jobs Program","14-HQJTC-008","2013-10-18T00:00:00.000","3780000","3730000","0","146400","1","0","9","10","19.73","1","0","9","10","19.73","4660690","2016-10-31T00:00:00.000","1","0","9","10","2018-10-31T00:00:00.000","POINT (-90.667314 42.505512)"
"Intermec Technologies Corporation","Linn","Cedar Rapids","Closed Contracts - Successful","130% Component","12-130-001","2011-07-21T00:00:00.000","56696500","14087500","1500000","1606395","0","224","0","224","21.80","0","113","0","113","21.80","92370611","2014-07-31T00:00:00.000","113","0","0","113","2016-07-31T00:00:00.000","POINT (-91.669808 41.978122)"
"Martin Brothers Distributing Company, Inc.","Black Hawk","Cedar Falls","Closed Contracts - Successful","High Quality Jobs Program","12-HQJP-040","2012-03-26T00:00:00.000","5983508","5983508","0","298815","2","0","10","12","21.04","2","0","10","12","21.04","6517578","2015-03-31T00:00:00.000","2","0","10","12","2017-03-31T00:00:00.000","POINT (-92.4534 42.537809)"
"Quality Refrigerated Services, Inc.","Clay","Spencer","Closed Contracts - Successful","High Quality Jobs Program","15-HQJTC-061","2015-06-19T00:00:00.000","4436613","4426613","0","83770","2","0","19","21","18.49","2","0","12","14","18.49","4825296","2018-06-30T00:00:00.000","2","0","12","14","2020-06-30T00:00:00.000","POINT (-95.144697 43.141367)"
"American Natural Processors Inc.","Ida","Galva","Closed Contracts - Partial","High Quality Jobs Program","13-HQJDF-033","2013-02-22T00:00:00.000","5835000","2492500","100000","206975","10","0","0","10","12.21","10","0","0","10","16.66","3161372","2018-02-28T00:00:00.000","10","0","0","10","2020-02-28T00:00:00.000","POINT (-95.417231 42.503831)"
"CJ Bio America Inc.","Webster","Fort Dodge","Closed Contracts - Successful","130% Component","12-130-014","2011-10-20T00:00:00.000","327627000","291337000","1800000","7711000","180","0","0","180","20.13","158","0","9","167","20.13","327108848","2014-10-31T00:00:00.000","158","0","9","167","2016-10-31T00:00:00.000","POINT (-94.169388 42.501169)"
"Green Industrial Supply, Inc.","Dubuque","Dubuque","Closed Contracts - Successful","130% Component","12-130-003","2011-08-18T00:00:00.000","11365000","11365000","80000","704800","11","0","5","16","20.52","10","0","5","15","20.52","11417721","2017-02-28T00:00:00.000","11","0","2","13","2019-02-28T00:00:00.000","POINT (-90.667314 42.505512)"
"Principal Life Insurance Company","Polk","Des Moines","Closed Contracts - Successful","High Quality Jobs Program","13-HQJTC-031","2013-02-22T00:00:00.000","284743185","278493185","0","22543216","0","1691","49","1740","23.12","0","1740","0","1740","23.12","318734533","2017-12-31T00:00:00.000","0","1740","0","1740","2019-12-31T00:00:00.000","POINT (-93.620309 41.588822)"
"Custom-Pak, Inc.","Clinton","Clinton","Closed Contracts - Partial","Enterprise Zone","05-EZ-029","2005-05-20T00:00:00.000","1812720","1700000","98000","197500","30","0","0","30","0.00","30","0","0","30","11.19","4242151","2008-10-31T00:00:00.000","0","0","0","0","2018-10-31T00:00:00.000","POINT (-90.190747 41.838935)"
"Flexsteel Industries, Inc.","Dubuque","Dubuque","Closed Contracts - Successful","100% Component","11-100-014","2011-04-21T00:00:00.000","12000000","12000000","40000","1423000","10","0","0","10","15.44","10","0","0","10","15.44","12051524","2014-04-30T00:00:00.000","10","0","0","10","2016-04-30T00:00:00.000","POINT (-90.667314 42.505512)"
"Beck's Superior Hybrids, Inc.","Jasper","Colfax","Closed Contracts - Successful","High Quality Jobs Program","15-HQJDF-056","2015-05-22T00:00:00.000","15000000","14295000","200000","1098650","50","0","0","50","15.87","50","0","0","50","15.87","15882879","2018-05-31T00:00:00.000","50","0","0","50","2020-05-31T00:00:00.000","POINT (-93.240401 41.673299)"
"Revstone Casting Fairfield (RCF), LLC","Jefferson","Fairfield","Closed Contracts - Successful","Enterprise Zone","11-EZ-023","2011-02-17T00:00:00.000","1515000","1515000","0","347317","52","0","0","52","12.79","52","0","0","52","12.79","1519766","2014-05-31T00:00:00.000","52","0","0","52","2016-05-31T00:00:00.000","POINT (-91.965049 41.006634)"
"The Schebler Company","Scott","Riverdale","Closed Contracts - Successful","High Quality Jobs Program","12-HQJP-035","2012-02-17T00:00:00.000","1521945","1516945","0","28370","3","1","0","4","22.54","3","1","0","4","22.54","1418520","2015-02-28T00:00:00.000","3","1","0","4","2017-02-28T00:00:00.000","POINT (-90.464346 41.539386)"
"Hy-Vee, Inc.","Lucas","Chariton","Closed Contracts - Successful","High Quality Jobs Program","11-HQJP-038","2011-05-19T00:00:00.000","18362259","18362259","0","836817","10","0","0","10","19.06","10","0","0","10","19.06","19977448","2014-05-31T00:00:00.000","10","0","0","10","2016-05-31T00:00:00.000","POINT (-93.303492 41.014443)"
"Liebovich/PDM Steel & Aluminum Company","Linn","Cedar Rapids","Closed Contracts - Successful","Enterprise Zone","06-EZ-015","2005-10-20T00:00:00.000","3855800","3775000","0","466208","12","0","0","12","0.00","12","0","0","12","13.07","5299182","2008-10-31T00:00:00.000","12","0","0","12","2018-10-31T00:00:00.000","POINT (-91.669808 41.978122)"
"Geater Machining and Manufacturing, Co.","Buchanan","Independence","Closed Contracts - Successful","High Quality Jobs Program","11-HQJP-045","2011-06-16T00:00:00.000","6500000","3600000","0","319000","11","0","0","11","17.02","11","0","0","11","17.02","7478860","2014-06-30T00:00:00.000","11","0","0","11","2016-06-30T00:00:00.000","POINT (-91.891754 42.467626)"
"Pillar Technology Group LLC","Polk","Des Moines","Closed Contracts - Successful","High Quality Jobs Program","15-HQJDF-048","2015-03-27T00:00:00.000","791800","450000","200000","0","40","0","0","40","25.52","40","0","0","40","25.52","1825252","2018-03-31T00:00:00.000","40","0","0","40","2020-03-31T00:00:00.000","POINT (-93.620309 41.588822)"
"Delta Dental of Iowa","Polk","Urbandale","Closed Contracts - Successful","High Quality Jobs Program","14-HQJTC-036","2014-04-18T00:00:00.000","9395000","9395000","0","251250","12","0","3","15","24.32","12","0","3","15","24.32","8361698","2017-04-30T00:00:00.000","12","0","3","15","2019-04-30T00:00:00.000","POINT (-93.736522 41.630343)"
"Mid-American Glass, Inc.","Scott","Davenport","Closed Contracts - Successful","Enterprise Zone","13-EZ-013","2013-03-22T00:00:00.000","4080000","4000000","0","400000","13","3","0","16","15.17","13","3","0","16","15.17","4900483","2016-03-31T00:00:00.000","13","3","0","16","2018-03-31T00:00:00.000","POINT (-90.577036 41.523527)"
"Mobile Track Solutions, LLC","Clayton","Elkader","Closed Contracts - Successful","130% Component","12-130-027","2012-04-20T00:00:00.000","2747625","2747625","100000","322937","20","0","0","20","18.20","20","0","0","20","18.20","2866415","2015-04-30T00:00:00.000","20","0","0","20","2017-04-30T00:00:00.000","POINT (-91.404448 42.854572)"
"John Deere Des Moines Works","Polk","Ankeny","Closed Contracts - Successful","High Quality Jobs Program","12-HQJP-030","2011-12-16T00:00:00.000","112800000","67800000","0","9830000","0","134","0","134","23.75","0","134","0","134","23.75","139658882","2014-12-31T00:00:00.000","0","134","0","134","2016-12-31T00:00:00.000","POINT (-93.600414 41.72508)"
"8040 Holdings, Inc.","Polk","Clive","Closed Contracts - Full","High Quality Jobs Program","16-HQJTC-018","2015-10-16T00:00:00.000","17750000","5150000","0","278500","3","0","0","3","26.72","3","0","0","3","26.72","0","2018-10-31T00:00:00.000","0","0","0","0","2020-10-31T00:00:00.000","POINT (-93.774947 41.607094)"
"Ensoft Corp","Story","Ames","Closed Contracts - Successful","Entrepreneurial Ventures Assistance","04-EVAFA-009","2004-02-19T00:00:00.000","550000","36000","75000","0","50","0","0","50","21.15","50","0","0","50","0","0","2000-01-01T00:00:00.000","50","0","0","50","2000-01-01T00:00:00.000","POINT (-93.620181 42.026802)"
"Zero Energy Systems, LLC","Johnson","Coralville","Closed Contracts - Full","High Quality Jobs Program","12-HQJP-004","2011-08-18T00:00:00.000","7500000","6980000","0","418250","25","0","0","25","20.92","25","0","0","25","20.92","11773194","2014-08-31T00:00:00.000","0","0","0","0","2016-08-31T00:00:00.000","POINT (-91.577768 41.672677)"
"Advanced Analytical Technologies, Inc.","Polk","Ankeny","Closed Contracts - Partial","High Quality Jobs Program","15-HQJDF-042","2015-03-27T00:00:00.000","7789587","2009205","500000","256059","57","0","0","57","25.52","57","0","0","57","25.52","10004811","2018-03-31T00:00:00.000","23","0","0","23","2020-03-31T00:00:00.000","POINT (-93.600414 41.72508)"
"Data Dimensions Corporation","Clinton","Clinton","Closed Contracts - Successful","Enterprise Zone","13-EZ-012","2013-03-22T00:00:00.000","6218700","5901350","0","162000","10","0","120","130","14.03","10","0","120","130","14.03","6875937","2016-03-31T00:00:00.000","10","0","100","110","2018-03-31T00:00:00.000","POINT (-90.190747 41.838935)"
"John Deere Waterloo Product Engineering Center","Black Hawk","Cedar Falls","Closed Contracts - Successful","High Quality Jobs Program","14-HQJTC-040","2014-05-16T00:00:00.000","39824000","27737500","0","1321909","0","29","0","29","18.84","0","29","0","29","18.84","43212171","2017-05-31T00:00:00.000","0","29","0","29","2019-05-31T00:00:00.000","POINT (-92.4534 42.537809)"
"General Mills Cereals Properties LLC","Linn","Cedar Rapids","Closed Contracts - Successful","High Quality Jobs Program","14-HQJDF-010","2014-01-17T00:00:00.000","58412000","47180000","200000","3248895","41","0","0","41","22.93","41","0","0","41","22.93","58501302","2017-01-31T00:00:00.000","41","0","0","41","2019-01-31T00:00:00.000","POINT (-91.669808 41.978122)"
"Weiler, Inc.","Marion","Knoxville","Closed Contracts - Successful","100% Component","11-100-013","2011-02-17T00:00:00.000","5337500","4692600","50000","545000","15","0","1","16","16.79","15","0","1","16","16.79","8319743","2014-02-28T00:00:00.000","15","0","1","16","2016-02-29T00:00:00.000","POINT (-93.109494 41.320727)"
"HNI Corporation","Muscatine","Muscatine","Closed Contracts - Successful","Enterprise Zone","13-EZ-004","2012-09-21T00:00:00.000","20860000","20160000","0","293400","10","0","0","10","14.31","10","0","0","10","14.31","46810516","2016-09-30T00:00:00.000","10","0","0","10","2018-09-30T00:00:00.000","POINT (-91.044853 41.420448)"
"Barilla America, Inc.","Story","Ames","Closed Contracts - Successful","High Quality Jobs Program","15-HQJTC-031","2015-01-16T00:00:00.000","26830000","26500000","0","765090","2","0","21","23","23.21","2","0","21","23","23.21","26920319","2018-01-31T00:00:00.000","2","0","21","23","2020-01-31T00:00:00.000","POINT (-93.620181 42.026802)"
"Cambrex Charles City, Inc.","Floyd","Charles City","Closed Contracts - Successful","Enterprise Zone","07-EZ-012","2006-09-21T00:00:00.000","11161154","3145000","165000","1171866","22","11","0","33","0.00","21","0","0","21","11.27","12635233","2009-09-30T00:00:00.000","21","11","0","32","2019-09-30T00:00:00.000","POINT (-92.672524 43.066415)"
"REG Mason City, LLC","Cerro Gordo","Mason City","Closed Contracts - Successful","Enterprise Zone","14-EZ-001","2013-07-19T00:00:00.000","20998086","20998086","0","1609710","18","0","0","18","13.25","18","0","0","18","13.25","23637045","2016-07-31T00:00:00.000","18","0","0","18","2018-07-31T00:00:00.000","POINT (-93.201042 43.153621)"
"Echo Group, Inc.","Pottawattamie","Council Bluffs","Closed Contracts - Successful","High Quality Jobs Program","14-HQJTC-038","2014-05-16T00:00:00.000","11078065","11078065","0","738342","8","109","73","117","19.75","6","38","2","46","19.75","12452917","2017-05-31T00:00:00.000","6","38","2","46","2019-05-31T00:00:00.000","POINT (-95.85436 41.258963)"
"American Packaging Corporation","Story","Story City","Closed Contracts - Successful","High Quality Jobs Program","14-HQJDF-032","2014-05-16T00:00:00.000","8856500","8856500","62500","309237","20","0","0","20","12.41","20","0","0","20","22.01","9685786","2017-05-31T00:00:00.000","20","0","0","20","2019-05-31T00:00:00.000","POINT (-93.591059 42.185863)"
"Nestle Purina PetCare Company","Scott","Davenport","Closed Contracts - Successful","High Quality Jobs Program","12-HQJC-018","2011-10-20T00:00:00.000","19147000","19147000","0","500000","0","10","0","10","22.54","0","10","0","10","22.54","20347183","2014-10-31T00:00:00.000","0","10","0","10","2016-10-31T00:00:00.000","POINT (-90.577036 41.523527)"
"Rousselot Dubuque, Inc.","Dubuque","Dubuque","Closed Contracts - Successful","Enterprise Zone","13-EZ-001","2012-08-17T00:00:00.000","16300000","16300000","0","165562","10","0","0","10","14.48","10","0","0","10","14.48","20295576","2016-12-31T00:00:00.000","10","0","0","10","2018-12-31T00:00:00.000","POINT (-90.667314 42.505512)"
"BoDeans Wafer Company, LLC","Plymouth","Le Mars","Closed Contracts - Successful","High Quality Jobs Program","13-HQJTC-027","2013-01-18T00:00:00.000","7500000","7500000","0","375000","11","0","0","11","19.08","11","0","0","11","19.08","7805245","2016-01-31T00:00:00.000","11","0","0","11","2018-01-31T00:00:00.000","POINT (-96.173749 42.788178)"
"Grain Millers, Inc.","Mitchell","St. Ansgar","Closed Contracts - Successful","Enterprise Zone","13-EZ-007","2012-11-16T00:00:00.000","23900000","21900000","0","550000","10","0","0","10","13.44","10","0","0","10","13.44","24627729","2015-11-30T00:00:00.000","10","0","0","10","2017-11-30T00:00:00.000","POINT (-92.919105 43.378505)"
"Wacker Chemical Corporation","Monroe","Eddyville","Closed Contracts - Successful","130% Component","12-130-012","2011-11-18T00:00:00.000","7706860","7706860","150000","344047","3","13","0","16","21.36","3","13","0","16","21.36","7746970","2014-11-30T00:00:00.000","3","13","0","16","2016-11-30T00:00:00.000","POINT (-92.630188 41.158178)"
"Digga North America, LLC","Dubuque","Dyersville","Closed Contracts - Partial","130% Component","12-130-025","2012-03-26T00:00:00.000","3750000","2250000","240000","151500","30","0","0","30","19.51","30","0","0","30","19.51","3823249","2017-06-30T00:00:00.000","12","0","3","15","2019-06-30T00:00:00.000","POINT (-91.121531 42.484597)"
"Hardi North America, Inc.","Scott","Davenport","Closed Contracts - Full","High Quality Jobs Program","12-HQJP-011","2011-08-18T00:00:00.000","3664558","3654558","0","101445","1","0","17","18","22.54","1","0","17","18","22.54","4169782","2014-08-31T00:00:00.000","0","0","0","0","2016-08-31T00:00:00.000","POINT (-90.577036 41.523527)"
"Proliant Biologicals, Inc.","Boone","Boone","Closed Contracts - Successful","High Quality Jobs Program","12-HQJP-006","2011-08-18T00:00:00.000","12500000","12500000","0","358000","1","0","7","8","20.16","1","0","7","8","20.16","16741054","2014-08-31T00:00:00.000","1","0","7","8","2016-08-31T00:00:00.000","POINT (-93.879963 42.056575)"
"AgSugar International, Inc.","Linn","Cedar Rapids","Closed Contracts - Full","Entrepreneurial Component","12-EC-001","2011-07-21T00:00:00.000","1565836","822591","250000","117954","12","0","12","24","15.09","12","0","12","24","15.09","0","2014-07-31T00:00:00.000","0","0","0","0","2016-07-31T00:00:00.000","POINT (-91.669808 41.978122)"
"Union Tank Car Company","Muscatine","Muscatine","Closed Contracts - Partial","High Quality Jobs Program","15-HQJDF-050","2015-03-27T00:00:00.000","1905000","1905000","80000","0","10","20","0","30","17.06","10","20","0","30","17.06","2022604","2018-03-31T00:00:00.000","0","17","0","17","2020-03-31T00:00:00.000","POINT (-91.044853 41.420448)"
"Cozzini, LLC","Kossuth","Algona","Closed Contracts - Partial","130% Component","12-130-031","2012-05-18T00:00:00.000","3122254","2427000","350000","267027","20","35","0","55","19.10","20","35","0","55","19.10","3645576","2015-05-31T00:00:00.000","17","35","0","52","2017-05-31T00:00:00.000","POINT (-94.233015 43.069871)"
"Sadler Power Train, Inc.","Scott","Davenport","Closed Contracts - Successful","High Quality Jobs Program","13-HQJTC-029","2013-01-18T00:00:00.000","3250000","3240000","0","135450","6","0","0","6","16.85","6","0","0","6","16.85","3700248","2016-01-31T00:00:00.000","6","0","0","6","2018-01-31T00:00:00.000","POINT (-90.577036 41.523527)"
"Ohler Pump a division of W.S. Darley & Co.","Bremer","Janesville","Closed Contracts - Successful","High Quality Jobs Program","13-HQJDF-014","2012-10-19T00:00:00.000","600000","595000","36000","24720","9","0","0","9","18.36","5","0","0","5","18.36","719750","2016-10-31T00:00:00.000","5","0","0","5","2018-10-31T00:00:00.000","POINT (-92.462974 42.649525)"
"Inteconnect Inc.","Linn","Cedar Rapids","Closed Contracts - Successful","Entrepreneurial Component","11-EC-011","2011-03-17T00:00:00.000","150000","140000","100000","0","0","0","0","0","0","0","0","0","0","0","174424","2014-03-31T00:00:00.000","0","0","0","0","2000-01-01T00:00:00.000","POINT (-91.669808 41.978122)"
"Loffredo Gardens, Inc. dba Loffredo Fresh Produce Co., Inc.","Warren","Norwalk","Closed Contracts - Successful","High Quality Jobs Program","14-HQJTC-019","2014-01-17T00:00:00.000","7139000","7139000","0","401670","6","0","0","6","19.58","6","0","0","6","19.58","8366922","2017-01-31T00:00:00.000","6","0","0","6","2019-01-31T00:00:00.000","POINT (-93.674074 41.497011)"
"Fidlar Acquisition Inc. d/b/a Fidlar Technologies","Scott","Davenport","Closed Contracts - Successful","130% Component","12-130-013","2011-10-20T00:00:00.000","2670000","2670000","336000","186500","42","0","6","48","22.54","31","0","17","48","22.54","6119712","2014-10-31T00:00:00.000","48","0","0","48","2016-10-31T00:00:00.000","POINT (-90.577036 41.523527)"
"Veyance Technologies, Inc.","Henry","Mt. Pleasant","Closed Contracts - Successful","High Quality Jobs Program","16-HQJDF-054","2016-04-22T00:00:00.000","7592058","7392058","51957","394170","14","0","0","14","15.86","14","0","0","14","15.86","7043554","2019-04-30T00:00:00.000","14","0","0","14","2021-04-30T00:00:00.000","POINT (-91.554839 40.965605)"
"Harbor Group Inc.","Sioux","Sioux Center","Closed Contracts - Successful","High Quality Jobs Program","13-HQJDF-015","2012-10-19T00:00:00.000","1510000","1510000","225000","93500","30","0","15","45","18.66","30","0","15","45","18.66","1976488","2015-10-31T00:00:00.000","30","0","6","36","2017-10-31T00:00:00.000","POINT (-96.175468 43.075969)"
"Silgan Containers Manufacturing Corporation","Des Moines","Burlington","Closed Contracts - Successful","High Quality Jobs Program","15-HQJDF-041","2015-02-20T00:00:00.000","102400000","102400000","550000","3750000","110","0","10","120","14.73","110","0","10","120","14.73","102400000","2018-02-28T00:00:00.000","110","0","9","119","2020-02-28T00:00:00.000","POINT (-91.101278 40.81059)"
