"company_name","form_numbers","effectivedate","a","b","c","d","e","f","g","h","i","j","hdf","hdg","hdj","k","l","m","n"
"American Continental Insurance Company","2010 Modernized MIPPA ACIMSP17F IA et al","2022-08-01T00:00:00.000","0.12","0.12",,,,"0.12","0.12",,,,"0.12",,,,,,"0.12"
"United American Insurance Company","DMSA, B, (<65)","2022-06-15T00:00:00.000","0.06","0.0",,,,,,,,,"0.08",,,,,,
"United American Insurance Company","MSF et al","2022-06-15T00:00:00.000","0.0","0.04","0.04","0.04",,"0.04","0.04",,,,"0.0","0.0",,"0.0","0.0",,"0.04"
"Continental General Insurance Company (FKA United Teacher Associates Ins Co)","922A-IA et al","2022-09-08T00:00:00.000","0.079","0.079","0.079",,,"0.079",,,,,,,,,,,
"Continental General Insurance Company (FKA United Teacher Associates Ins Co)","MS-020501-UTA-IA","2022-09-08T00:00:00.000",,,"0.079","0.079",,"0.079","0.079",,,,,,,,,,
"Continental General Insurance Company (FKA United Teacher Associates Ins Co)","MS-051301 et al","2022-09-08T00:00:00.000",,,,,,,,"0.079","0.079","0.079",,,,,,,
"Colonial Penn Life Insurance Company","4-82-703 Agent","2022-05-01T00:00:00.000","0.0","0.0","0.0",,,"0.0",,,,,,,,,,,
"Western Catholic Union","2010 Standardized Medicare Supplement Plans A, F, G and N.","2022-06-01T00:00:00.000","0.135",,,,,"0.135","0.135",,,,,,,,,,"0.135"
"Cigna Health and Life Insurance Company","CHLIC-MS-AA-F-IA et al","2022-10-01T00:00:00.000","0.13",,,,,"0.13","0.13",,,,"0.065",,,,,,"0.065"
"Great Southern Life Insurance Company","MIPPA GAA503-A DR; GAA503-F DR; GAA503-G DR; GAA503-N DR","2022-07-01T00:00:00.000","0.04",,,,,"0.01","0.04",,,,,,,,,,"0.01"
"UnitedHealthcare Insurance Company","G-36000-4 (post_6-1-10)","2022-06-01T00:00:00.000","0.0","0.03","0.045",,,"0.045","0.03",,,,,,,"0.029","0.029",,"0.03"
"UnitedHealthcare Insurance Company","G-36000-4 (pre_6-1-10)","2022-06-01T00:00:00.000","0.0","0.03","0.045","0.03","0.03","0.045","0.03","0.03","0.03","0.045",,,,"0.03","0.03",,
"State Mutual Insurance Company","MS-AAIA - Plan A (for polices novating from Lincoln Heritage)","2022-07-01T00:00:00.000","0.035","0.035","0.035","0.035",,"0.035",,,,,,,,,,,
"Lincoln Heritage Life Insurance Company","MS-AAIA - Plan A et al (some novated to State Mutual)","2022-07-01T00:00:00.000","0.035","0.035","0.035","0.035",,"0.035",,,,,,,,,,,
"Nassau Life Insurance Company of Kansas","MIPPA -- NKS MS19-PLAN G IA et al","2022-07-01T00:00:00.000","0.04",,,,,"0.04","-0.08",,,,,,,,,,"-0.04"
"Family Life Insurance Company","MSAAF200810 et al (1990 and 2010 plans)","2022-07-01T00:00:00.000",,,,,,"0.03",,,,,,,,,,,
"Americo Financial Life and Annuity Insurance Company","Modernized MIPPA Medicare supplement -- AAA500-A, F, G, N","2022-07-01T00:00:00.000","0.07",,,,,"0.09","0.14",,,,,,,,,,"0.07"
"Oxford Life Insurance Company","2010 MIPPA plans:  2010-104-F-IA et al","2022-06-01T00:00:00.000","0.0",,,,,"0.12","0.12",,,,,,,,,,"0.12"
"Aetna Life Insurance Company","2010 MIPPA || Group  plans A, B, F, G, and N","2022-06-01T00:00:00.000","0.0","0.0",,,,"0.0","0.0",,,,,,,,,,"0.0"
"United States Fire Insurance Company","Med Supp-10000P-Plan G et al","2022-07-01T00:00:00.000",,,,,,"0.0","0.01",,,,,"0.0",,,,,"-0.03"
"National Health Insurance Company","2010 MIPPA 38020 A IA et al (Plans A, F, Hi-F, G, N)","2022-05-01T00:00:00.000","-0.045",,,,,"-0.06","-0.045",,,,"-0.045",,,,,,"0.0"
"SILAC Insurance Company","920 Plans A-J","2022-05-01T00:00:00.000","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03",,"0.03",,"0.03",,
"Physicians Life Insurance Company","Modernized MIPPA L030IA et al","2022-07-01T00:00:00.000","0.06",,,,,"0.06","0.06",,,,"0.06","0.06",,,,,
"Unified Life Insurance Company (National Foundation)","NCDMA-93 (<65)","2022-04-01T00:00:00.000","0.1","0.1","0.1",,,"0.1",,,,,,,,,,,
"Avera Health Plans","IA-SEL-MF (06/10) et al","2022-04-01T00:00:00.000","0.15","0.15","0.15",,,"0.15",,,,,,,,,,,
"American National Life Insurance Company of Texas","Individual standardized MIPPA - ANL-SS15","2022-04-01T00:00:00.000","0.0",,,,,"0.179","0.179",,,,"0.066",,,,,,"0.066"
"Medico Insurance Company","2010 Group MIPPA Plans: MSA21A, D, F, M, and N","2022-07-01T00:00:00.000","0.04",,,"0.04",,"0.04",,,,,,,,,,,"0.04"
"Globe Life and Accident Insurance Company","GMSA et al","2022-04-15T00:00:00.000","0.09","0.09","0.09",,,"0.09","0.09",,,,"0.0","0.0",,,,,"0.0"
"Coventry Health & Life Insurance Company","2010 MIPPA standardized plans CHLEXCMS14A et al","2022-04-01T00:00:00.000","0.0","0.0",,,,"0.0","0.0",,,,,,,,,,"0.0"
"Medico Insurance Company","Group MSA11A, MSA11D, MSA11F","2022-07-01T00:00:00.000","0.0",,,"0.0",,"0.0",,,,,,,,,,,
"Genworth Life and Annuity Insurance Company","MSP-1992-A","2022-04-01T00:00:00.000","0.0",,"0.0","0.0",,"0.0",,,,"0.0",,,,,,,
"Genworth Life and Annuity Insurance Company","NAC-7602 (FedHome)","2022-06-01T00:00:00.000","0.0",,"0.0",,,"0.0",,,,"0.0",,,,,,,
"Continental Life Insurance Company of Brentwood, Tennessee","2010 Modernized MIPPA CLIMSP10F IA et al","2022-06-01T00:00:00.000",,,,,,"0.12","0.12",,,,"0.0",,,,,,"0.12"
"Oxford Life Insurance Company (National States)","ASM-1 et al","2022-05-01T00:00:00.000",,,,"0.05",,"0.05",,,,"0.05",,,,,,,
"Medico Insurance Company","MS992A et al","2022-07-01T00:00:00.000","0.05","0.05","0.05","0.05",,"0.05","0.05",,,,,,,,,,
"Washington National Insurance Company","IMP-9500, IMP-1950, CIC-1000 and WNIC-1004 All Plans","2022-06-01T00:00:00.000","0.0",,,"0.0","0.0","0.0","0.0",,,"0.0",,,,,,,
"Transamerica Life Insurance Company (formerly Life Investors)","Group - MS4100GPL-A","2022-05-01T00:00:00.000","0.057","0.057","0.057","0.057","0.057","0.057","0.057","0.057","0.057","0.057",,,,,,,
"Physicians Life Insurance Company","Forms L265 et al","2022-06-01T00:00:00.000","0.07","0.07",,,,"0.07","0.07",,,,"0.07",,,,,,
"Shenandoah Life Insurance Company","MS-AA 5-06 GN - Plan A et al","2022-03-01T00:00:00.000","0.0","0.0","0.0","0.0","0.0","0.0","0.0",,,,,,,,,,
"Sanford Health Plan","Select & Standard Plans (MIPPA Plans)","2022-04-01T00:00:00.000","0.1","0.1","0.1","0.1",,"0.1","0.1",,,,"0.1",,,"0.1","0.1","0.1","0.1"
"Unified Life Insurance Company","2015 series Modernized MIPPA UNMSFA2015 (Plan F) et al","2022-05-01T00:00:00.000","0.12",,,,,"0.12","0.12",,,,"0.0",,,,,,"0.05"
"Shenandoah Life Insurance Company","2010 MIPPA -- MS-AF 8-14 GN et al","2022-04-01T00:00:00.000","0.15",,,,,"0.15","0.15",,,,,,,,,,"0.07"
"Assured Life Association","IAMSIF06ST et al","2022-03-01T00:00:00.000","0.03","0.03","0.03","0.03",,"0.03","0.03",,,,,,,,,,"0.03"
"Resource Life Insurance Company","Standarized MIPPA RL100A, RL100F, and RL100G","2022-04-01T00:00:00.000","0.0",,,,,"0.0","0.0",,,,,,,,,,
"Transamerica Life Insurance Company (formerly Life Investors)","Group MS5000GPT-A.IA, MS9000GPT-A.IA (pre/post MIPPA)","2022-04-01T00:00:00.000","0.07","0.07","0.07","0.07","0.07","0.07","0.0",,,,,,,"0.0","0.0","0.0","0.0"
"SILAC Insurance Company","Form 2070 (2010 MIPPA plans A, F, G, and N)","2022-04-01T00:00:00.000","0.08",,,,,"0.12","0.15",,,,,,,,,,"0.12"
"Medica Insurance Company","Forms MCMMSGA2020GN et al -- Standardized MIPPA","2022-04-01T00:00:00.000","-0.05",,,,,"-0.05","-0.05",,,,,,,,,,"-0.05"
"Allianz Life Insurance Company of North America","N-1084-P et al","2021-12-29T00:00:00.000",,,"0.0",,,"0.0",,,,,,,,,,,
"USAA Life Insurance Company","2010 MIPPA - Plans A, F, G, and N)","2022-05-01T00:00:00.000","0.07",,,,,"0.03","0.05",,,,,,,,,,"0.04"
"Jackson National Life Insurance Company -- Reassure America","A-4801-P et al","2021-12-28T00:00:00.000",,,"0.0",,,"0.0",,,,,,,,,,,
"USAA Life Insurance Company","LIM19799-A 1-92  (1990 A, D, F, and G)","2022-05-01T00:00:00.000","0.0",,,"0.0",,"0.0","0.0",,,,,,,,,,
"Catholic United Financial",,"2022-05-01T00:00:00.000","0.09",,,,,"0.09","0.04",,,,,,,,,,"0.04"
"United World Life Insurance Company","2010 MIPPA plans WM24 (Plan F) et al","2022-03-01T00:00:00.000","0.0",,,,,"0.14","0.14",,,,"0.0","0.0",,,,,"0.14"
"Pekin Life Insurance Company","H25-1A (Rev 12-94) (1990 plans)","2022-04-01T00:00:00.000","0.06",,"0.04",,,"0.04",,,,,,,,,,,
"Pekin Life Insurance Company","H25-1A (Rev 12-94) (2010 MIPPA)","2022-04-01T00:00:00.000","0.05",,,,,"0.04","0.05",,,,"0.04",,,,,,"0.0"
"Continental Life Insurance Company of Brentwood, Tennessee","NC1-A et al","2022-04-01T00:00:00.000",,,,,,"0.03","0.03",,,,,,,,,,
"Massachusetts Mutual Life Insurance Company","Modernized MIPPA Plans 	MM-MSA0001, MM-MSF0004 et al","2022-04-01T00:00:00.000","0.14",,,,,"0.12","0.14",,,,,,,,,,"0.06"
"Aetna Health and Life Insurance Company","Forms AHLMSP14F IA et al -- 2010 MIPPA standardized plans","2022-04-01T00:00:00.000",,"0.12",,,,"0.12","0.12",,,,"0.12",,,,,,"0.12"
"Everence Association, Inc. -- FKA Mennonite","91339 Plan A et al","2022-04-01T00:00:00.000","0.045",,"0.08",,"0.025","0.026","0.019",,"0.046",,,,,,"0.0",,"0.029"
"American Family Mutual Insurance Company","H-65","2022-04-01T00:00:00.000","0.0",,"0.0",,,"0.0",,,,,,,,,"0.0",,
"Puritan Life Insurance Company of America","Modernized 2010 MIPPA plans PLICA-MS-PLANG et al","2022-04-01T00:00:00.000","0.15",,,,,"0.15","0.15",,,,,,,,,,"0.15"
"Royal Neighbors of America","20069AA-IA et al","2022-04-01T00:00:00.000","0.03","0.03","0.03","0.03","0.03","0.03","0.03",,,,,,,,,,
"Nassau Life and Annuity Company (MQ, PM, UB)","MMSA-06 Plan F; MMSA-10 Plans A, D, F, G, N","2022-01-26T00:00:00.000","0.0",,,"0.0",,"0.0","0.0",,,,,,,,,,"0.0"
"Continental General Insurance Company","340, 3AA et al","2022-05-26T00:00:00.000","0.079","0.079","0.079","0.079","0.079","0.079","0.079","0.079","0.079","0.079","0.079",,,,,,
"Continental General Insurance Company","MIPPA plans:  CGI-MS-DM-AA-A et al","2022-05-19T00:00:00.000",,,,,,"0.099","0.099",,,,,,,,,,
"Loyal American Life Insurance Company","L-5230 et al","2022-05-26T00:00:00.000","0.079","0.079","0.079","0.079",,"0.079","0.079",,,,,,,,,,
"First Health Life and Health Insurance Company",,"2022-04-01T00:00:00.000","0.04","0.04",,,,"0.04","0.04",,,,,,,,,,"0.03"
"Physicians Mutual Insurance Company","MIPPA Plans P020, P025, P026, P027","2022-04-01T00:00:00.000","0.09",,,,,"0.09","0.09",,,,"0.09",,,,,,"0.09"
"Golden Rule Insurance Company","GRI-H Plan A et al","2022-01-01T00:00:00.000","0.0",,,,,"0.0","0.0",,,,,,,,,,
"Transamerica Life Insurance Company (formerly PFL)","MS4500GPT-A.IA et al and MS8000GPT-A.IA et al","2022-03-01T00:00:00.000","0.075","0.075","0.075","0.075","0.075","0.075","0.0",,,,,,"0.075",,,,"0.0"
"Medico Corp Life Insurance Company (FKA World Corp Ins. Co)","Standardized MIPPA MSM70A, MSM70F, and MSM70N","2022-04-01T00:00:00.000",,,,,,"0.089","0.118",,,,,,,,,,"0.099"
"American Republic Corp Insurance Company","C-1024, C-1026 and all MIPPA 3100 series","2022-06-01T00:00:00.000",,,,,,"0.088",,,,"0.08","0.0",,,"0.0","0.0",,
"Loyal American Life Insurance Company","L-6200 series","2022-04-21T00:00:00.000",,,,,,,,"0.079","0.079","0.079",,,,,,,
"Humana Insurance Company","MIPPA:  IAMESHLF (Reader's Digest | Healthy Living) et al","2022-05-01T00:00:00.000","0.075",,,,,"0.075",,,,,"0.0",,,"0.055",,,"0.075"
"Atlantic Coast Life Insurance Company","Standardized MIPPA plans ACLG10ST-OT et al","2022-03-01T00:00:00.000","0.15",,"0.15",,,,"0.07",,,,,,,,,,"0.0"
"Physicians Mutual Insurance Company","P620 (agent)","2022-04-01T00:00:00.000","0.0",,"0.0",,,"0.0","0.0",,,,,,,,,,
"New York Life Insurance Company","NYM1 et al","2022-02-01T00:00:00.000","0.0",,"0.05",,,"0.05",,,"0.0",,,,,,,,
"Sterling Life Insurance Company","IASEL","2022-04-07T00:00:00.000",,,,,,"0.079",,,,,,,,,,,
"Sterling Life Insurance Company","IASTD","2022-04-07T00:00:00.000",,,,,,,"0.079",,,,,,,"0.079",,,
"Individual Assurance Company, Life, Health & Accident","2010 MIPPA -- 94070 A, 94070 F, 94070 G, 94070 N","2022-02-01T00:00:00.000","0.0",,,,,"0.12","0.12",,,,,,,,,,"0.09"
"American National Life Insurance Company of Texas","Group ANL-SS05 et al","2022-02-15T00:00:00.000","0.0","0.0","0.0","0.0","0.0","0.0","0.0",,,,,,,,,,
"Lumico Life Insurance Company","Modernized MIPPA LUM-MSG-A-2018-001 et al","2022-03-01T00:00:00.000","0.075",,,,,"0.05","0.075",,,,,,,,,,"0.03"
"American Family Life Assurance Company - AFLAC","2010 MIPPA A19MSFRIA et al","2021-12-15T00:00:00.000","0.06",,"0.06","0.08",,"0.08","0.06",,,,,,,,,,"0.06"
"Sierra Health & Life Insurance Company","IA-SEL-A","2022-01-01T00:00:00.000","0.0","0.0","0.0",,,"0.0",,,,,,,,,,,
"Accendo Insurance Company","Modernized MIPPA Medicare supplement -- ACCMSP19A IA et al","2022-03-01T00:00:00.000","0.09",,,,,"0.09","0.09",,,,,,,,,,"0.0"
"Sterling Investors Life (Assump Rein_Sterling National)","91020 F et al (2010 MIPPA A, F, G, and N)","2022-02-01T00:00:00.000","0.16",,,,,"0.16","0.16",,,,,,,,,,"0.09"
"Aetna Health Insurance Company","Modernized MIPPA AHIMSP19G et al","2022-03-01T00:00:00.000","0.09","0.09",,,,"0.09","0.09",,,,,"0.0",,,,,"0.09"
"HumanaDental Insurance Company","MIPPA A, F, F(HD), G, and N (IAMESVF(HD) et al)","2022-04-01T00:00:00.000","0.055",,,,,"0.12","0.09",,,,"0.0","0.0",,,,,"0.07"
"Mutual of Omaha Insurance Company","MIPPA plans MX20, MX24, MX25  (transition retiree to individual)","2022-01-01T00:00:00.000","0.0",,,,,"0.0","0.01",,,,,,,,,,
"Humana Insurance Company","2010 MIPPA Humanana Connect - IAMESHCF et al","2022-03-01T00:00:00.000","0.065",,,,,"0.065","0.065",,,,,,,,,,
"Guarantee Trust Life Insurance Company","9242A et al","2022-01-01T00:00:00.000",,,,"0.015",,,,,,,"0.015",,,,,,
"Pan-American Life Insurance Company","2010 Modernized MIPPA PANF10ST-OT et al","2022-03-01T00:00:00.000","0.12",,,,,"0.06","0.12",,,,,,,,,,"0.08"
"Central States Health & Life Co. of Omaha","Standardized MIPPA COMSGA2019IA et al","2022-03-01T00:00:00.000","0.08",,"0.08",,,"0.02","0.08",,,,,,,,,,"0.06"
"Union Security Insurance Company","Standardized MIPPA USCMSP18G et al","2022-02-01T00:00:00.000","0.15",,,,,"0.08","0.15",,,,,,,,,,"0.06"
"Guarantee Trust Life Insurance Company","2010 MIPPA Plans:  G1040A, G1040C, and G1040N","2022-03-01T00:00:00.000","0.17",,,,,"0.17","0.15",,,,,,,,,,"0.15"
"Liberty National Life Insurance Company","2010 MIPPA Plans, LMSF06, LMSF10 et al","2021-11-01T00:00:00.000",,,,,,,,,,,"0.0",,,,,,
"Aetna Life Insurance Company","2010 MIPPA IND GR-11613 A 01, B 01, F 01, G 01, and N 01","2022-01-01T00:00:00.000","0.055","0.055",,,,"0.055","0.055",,,,,,,,,,"0.055"
"Reserve National Insurance Company","2010 MIPPA plans:  MCS-10-F et al","2022-01-01T00:00:00.000","0.13",,"0.13",,,"0.13","0.13",,,,"0.13",,,,,,"0.13"
"Reserve National Insurance Company","MCS-92-A et al","2022-01-01T00:00:00.000","0.06","0.06","0.06","0.06",,"0.06",,,,,"0.06",,,,,,
"American Republic Insurance Company","Ind. A-3146 et al","2022-01-01T00:00:00.000","0.0",,,,,"0.109",,,,"0.045","0.04",,,,,,
"Thrivent Financial for Lutherans","12052IA, 12093IA","2022-01-01T00:00:00.000","0.06","0.03","0.03","0.03",,"0.06","0.06","0.02","0.02",,"0.02",,,,"0.0","0.0",
"Standard Life and Accident Insurance Company","2010 MIPPA plans: 2010-1006-F et al","2022-03-01T00:00:00.000","0.1","0.1","0.1","0.1",,"0.1","0.1",,,,"0.1",,,,,,"0.1"
"American Republic Insurance Company","Group - A3405","2022-01-01T00:00:00.000","0.0",,,,"0.03","0.07",,,,,,,,"0.0","0.03",,
"Celtic Insurance Company","MS POL A - IA","2021-12-15T00:00:00.000","0.06","0.06","0.06","0.06",,"0.06",,,"0.06",,,,,,,,
"Order of United Commercial Travelers of America","MS(F)-91, MS(F)-00, MS AF 06, MIPPA MSAAF2010","2022-02-01T00:00:00.000",,,,,,"0.03","0.03",,,,,,,,,,
"Sentinel Security Life Insurance Company","SSLA10ST-OT etl al","2021-10-01T00:00:00.000","0.09","0.09","0.09","0.09",,"0.09","0.09",,,,,,,,,,"0.09"
"Principal Life Insurance Company","GC 500 (D-MSP)","2022-01-01T00:00:00.000","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06",,,,,,,
"Sterling Life Insurance Company","2011 MIPPA SEL F (09/11) et al","2022-02-04T00:00:00.000","0.079","0.079","0.079",,,"0.079","0.079",,,,,,,"0.079",,,"0.079"
"Sterling Life Insurance Company","2011 MIPPA STD F (09/11) et al","2022-02-04T00:00:00.000","0.079","0.079","0.079",,,"0.079","0.079",,,,,,,"0.079",,,"0.079"
"Humana Insurance Company","2010 MIPPA plans:  IAMESM10F et al","2022-01-01T00:00:00.000","0.055","0.055","0.055",,,"0.055",,,,,"0.055","0.055",,"0.055","0.055",,"0.075"
