"record_id","offender_number","start_date","supervision_type","supervising_judicial_district","supervising_facility","supervision_status","sex","race_ethnicity","education_category","education","age","offense_code","offense_class","offense_description","offense_type","offense_subtype","months_served","report_date"
"10","3229175","2019-01-02T00:00:00.000","CBC Field","Fifth Judicial District","Des Moines Probation/Parole - Unit 4","Parole","Male","White","HS Diploma or Equivelent","High School Diploma","46.9431896","124.401(1)(b)(7)","B Felony","Proh Acts-Mfg, Del, Consp or Poss w/Int-Meth GT 5gm but LT 5kg","Drug","Trafficking","43.31147541","2022-08-15T12:07:15.000"
"11","19878791","2021-09-07T00:00:00.000","CBC Field","Third Judicial District","Sioux City Probation/Parole Office","Probation","Female","American Indian or Alaska Native","HS Diploma or Equivelent","HiSET/GED","39.58384668","124.401(5)(c)","D Felony","Possession of a Controlled Substance - 3rd and subsequent","Drug","Drug Possession","11.21311475","2022-08-15T12:07:15.000"
"12","20194985","2022-02-21T00:00:00.000","CBC Field","Fifth Judicial District","Newton Probation/Parole Office","Pretrial Release With Supervision","Male","White","HS Diploma or Equivelent","High School Diploma","46.00684463","124.401(1)(b)(7)","B Felony","Proh Acts-Mfg, Del, Consp or Poss w/Int-Meth GT 5gm but LT 5kg","Drug","Trafficking","5.737704918","2022-08-15T12:07:15.000"
"13","20183075","2022-01-11T00:00:00.000","CBC Field","Seventh Judicial District","Clinton County Field Services","Pretrial Release With Supervision","Male","White","HS Diploma or Equivelent","High School Diploma","21.25393566","709.4","C Felony","SEXUAL ABUSE 3RD DEGREE","Violent","Sex","7.081967213","2022-08-15T12:07:15.000"
"14","3414911","2016-12-05T00:00:00.000","CBC Field","First Judicial District","Oelwein Field Services","Probation","Male","White","HS Diploma or Equivelent","High School Diploma","43.18685832","724.26(2)(a)","D Felony","Dominion/Control of firearm/off weapon by domestic abuse offender","Public Order","Weapons","68.16393443","2022-08-15T12:07:15.000"
"15","19128242","2016-09-06T00:00:00.000","CBC Field","Second Judicial District","Mason City Probation/Parole Office","Parole","Female","White","HS Diploma or Equivelent","High School Diploma","61.82067077","708.4(1)","C Felony","WILLFUL INJURY - CAUSING SERIOUS INJURY","Violent","Assault","71.1147541","2022-08-15T12:07:15.000"
"16","18760574","2021-03-02T00:00:00.000","CBC Field","Fifth Judicial District","Indianola Probation/Parole Office","Probation","Male","White","HS Diploma or Equivelent","HiSET/GED","28.91718001","714.2(1)","C Felony","THEFT 1ST DEGREE","Property","Theft","17.40983607","2022-08-15T12:07:15.000"
"17","19700753","2021-11-23T00:00:00.000","CBC Field","Sixth Judicial District","Benton, Iowa, Tama County Field Services","Probation","Male","White","HS Diploma or Equivelent","HiSET/GED","37.34154689","708.7(2)","Aggravated Misdemeanor","HARASSMENT / 1ST DEG.","Violent","Assault","8.68852459","2022-08-15T12:07:15.000"
"18","19143857","2021-02-12T00:00:00.000","CBC Field","First Judicial District","Dubuque Field Services","Probation","Male","White","HS Diploma or Equivelent","High School Diploma","26.85831622","321J.2(2)(c)","D Felony","Operating While Intoxicated - 3rd or Subsequent Offense","Public Order","OWI","18","2022-08-15T12:07:15.000"
"19","20346920","2019-02-21T00:00:00.000","CBC Field","Seventh Judicial District","Scott County Field Services I","Probation","Male","Black","HS Diploma or Equivelent","High School Diploma","35.21149897","714.2(2)","D Felony","THEFT 2ND DEGREE","Property","Theft","41.67213115","2022-08-15T12:07:15.000"
"20","18097463","2021-10-01T00:00:00.000","CBC Field","Sixth Judicial District","Benton, Iowa, Tama County Field Services","Probation","Female","White","HS Diploma or Equivelent","High School Diploma","28.96646133","321J.2(2)(b)","Aggravated Misdemeanor","OPERATING WHILE UNDER THE INFLUENCE 2ND OFFENSE","Public Order","OWI","10.42622951","2022-08-15T12:07:15.000"
"21","19448435","2021-09-09T00:00:00.000","CBC Field","Sixth Judicial District","ANCHOR Center - Field","Probation","Male","White","No HS Diploma","Eleventh","26.57631759","713.6A","D Felony","BURGLARY 3RD DEGREE","Property","Burglary","11.14754098","2022-08-15T12:07:15.000"
"22","18127463","2021-12-22T00:00:00.000","CBC Field","Sixth Judicial District","Self-Supervised","Probation","Male","White",,,"71.6495551","708.2A(2B)","Serious Misdemeanor","DOMESTIC ABUSE ASSAULT - BODILY INJURY - MENTAL","Violent","Assault","7.737704918","2022-08-15T12:07:15.000"
"23","3252986","2022-01-27T00:00:00.000","CBC Field","Fifth Judicial District","Polk County Court House","Probation","Male","White","HS Diploma or Equivelent","HiSET/GED","45.62628337","714.2(3)","Aggravated Misdemeanor","THEFT 3RD DEGREE","Property","Theft","6.557377049","2022-08-15T12:07:15.000"
"24","18697892","2021-12-06T00:00:00.000","CBC Field","Fourth Judicial District","Council Bluffs Probation/Parole Office 1","Probation","Male","White","No HS Diploma","Unknown","23.09103354","321J.2(2)(a)","Serious Misdemeanor","OPERATING WHILE UNDER THE INFLUENCE 1ST OFFENSE","Public Order","OWI","8.262295082","2022-08-15T12:07:15.000"
"25","20459636","2022-07-16T00:00:00.000","CBC Field","Fifth Judicial District","Polk County Court House","Probation","Female","White","Post-Secondary","Bachelor's Degree","31.52908966","321J.2(2)(a)","Serious Misdemeanor","OPERATING WHILE UNDER THE INFLUENCE 1ST OFFENSE","Public Order","OWI","0.9836065574","2022-08-15T12:07:15.000"
"26","20310341","2021-12-21T00:00:00.000","CBC Field","First Judicial District","Waterloo Field Services","Probation","Male","Black","HS Diploma or Equivelent","High School Diploma","28.71731691","124.401(5)(c)","D Felony","Possession of a Controlled Substance - 3rd and subsequent","Drug","Drug Possession","7.770491803","2022-08-15T12:07:15.000"
"27","19511138","2020-10-08T00:00:00.000","CBC Field","First Judicial District","Waterloo Field Services","Probation","Male","Black","HS Diploma or Equivelent","High School Diploma","20.02737851","710.4","C Felony","KIDNAPPING 3RD DEGREE","Violent","Kidnap","22.16393443","2022-08-15T12:07:15.000"
"28","3331628","2018-06-12T00:00:00.000","CBC Field","First Judicial District","Waterloo Field Services","Probation","Male","White","No HS Diploma","Ninth","46.81724846","714.2(1)","C Felony","THEFT 1ST DEGREE","Property","Theft","50","2022-08-15T12:07:15.000"
"29","3375377","2018-02-09T00:00:00.000","CBC Field","Eighth Judicial District","Ottumwa Area Field Services","Probation","Male","White","HS Diploma or Equivelent","High School Diploma","49.5797399","715A.2(2)(a)","D Felony","FORGERY","Property","Forgery/Fraud","54.03278689","2022-08-15T12:07:15.000"
"30","107282","2020-10-23T00:00:00.000","CBC Field","Seventh Judicial District","Muscatine County Field Services","Probation","Male","White","HS Diploma or Equivelent","HiSET/GED","53.88911704","713.5","C Felony","BURGLARY 2ND DEGREE","Property","Burglary","21.67213115","2022-08-15T12:07:15.000"
"31","20567660","2022-06-07T00:00:00.000","CBC Field","Fifth Judicial District","Polk County Court House","Probation","Male","White","HS Diploma or Equivelent","High School Diploma","20.68172485","124.401(5)(d)","Serious Misdemeanor","Possession of a Controlled Substance - Marijuana - 1st Offense","Drug","Drug Possession","2.262295082","2022-08-15T12:07:15.000"
"32","3332201","2022-03-21T00:00:00.000","CBC Field","First Judicial District","Oelwein Field Services","Probation","Female","White","HS Diploma or Equivelent","HiSET/GED","44.39151266","714.2(5)","Simple Misdemeanor","THEFT 5TH DEGREE","Property","Theft","4.819672131","2022-08-15T12:07:15.000"
"33","19923725","2022-03-01T00:00:00.000","CBC Field","Fifth Judicial District","Des Moines Probation/Parole - Unit 1","Probation","Male","White","Post-Secondary","Master's Degree","35.41136208","124.401(5)(a)","Serious Misdemeanor","Possession of a Controlled Substance - 1st Offense","Drug","Drug Possession","5.475409836","2022-08-15T12:07:15.000"
"34","20948456","2022-03-14T00:00:00.000","CBC Field","Second Judicial District","Ames Probation/Parole Office","Probation","Male","Black","HS Diploma or Equivelent","High School Diploma","20.93086927","724.4","Aggravated Misdemeanor","CARRYING WEAPONS","Public Order","Weapons","5.049180328","2022-08-15T12:07:15.000"
"35","19237361","2020-09-03T00:00:00.000","CBC Field","Fifth Judicial District","Knoxville Probation/Parole Office","Probation","Male","Black","HS Diploma or Equivelent","HiSET/GED","38.275154","321.279(2)","Aggravated Misdemeanor","ELUDING","Public Order","Traffic","23.31147541","2022-08-15T12:07:15.000"
"36","20576987","2020-11-04T00:00:00.000","CBC Field","Fourth Judicial District","Council Bluffs Probation/Parole Office 1","Parole","Male","Hispanic","HS Diploma or Equivelent","HiSET/GED","47.33196441","124.401(1)(b)(7)","B Felony","Proh Acts-Mfg, Del, Consp or Poss w/Int-Meth GT 5gm but LT 5kg","Drug","Trafficking","21.27868852","2022-08-15T12:07:15.000"
"37","18189188","2021-12-06T00:00:00.000","CBC Field","First Judicial District","Oelwein Field Services","Probation","Male","White","HS Diploma or Equivelent","High School Diploma","38.38193018","715A.5","Aggravated Misdemeanor","TAMPERING WITH RECORDS","Property","Forgery/Fraud","8.262295082","2022-08-15T12:07:15.000"
"38","18731744","2022-02-01T00:00:00.000","CBC Field","Sixth Judicial District","Self-Supervised","Probation","Male","White",,,"28.22176591","321J.2(2)(b)","Aggravated Misdemeanor","OPERATING WHILE UNDER THE INFLUENCE 2ND OFFENSE","Public Order","OWI","6.393442623","2022-08-15T12:07:15.000"
"39","19501301","2022-06-06T00:00:00.000","CBC Field","Fifth Judicial District","Polk County Court House","Probation","Male","White","Post-Secondary","Bachelor's Degree","50.92676249","321J.2(2)(a)","Serious Misdemeanor","OPERATING WHILE UNDER THE INFLUENCE 1ST OFFENSE","Public Order","OWI","2.295081967","2022-08-15T12:07:15.000"
"40","19783223","2022-06-09T00:00:00.000","CBC Field","Second Judicial District","Mason City Probation/Parole Office","Probation","Male","Black","HS Diploma or Equivelent","High School Diploma","24.24914442","713.6B","Aggravated Misdemeanor","ATTEMPTED BURGLARY 3RD DEGREE","Property","Burglary","2.196721311","2022-08-15T12:07:15.000"
"41","19772543","2021-08-13T00:00:00.000","CBC Field","Seventh Judicial District","Jackson County Field Services","Probation","Male","White","HS Diploma or Equivelent","High School Diploma","30.10814511","321.279(3)","D Felony","ELUDING","Public Order","Traffic","12.03278689","2022-08-15T12:07:15.000"
"42","20733776","2022-04-07T00:00:00.000","CBC Field","Fifth Judicial District","Creston Probation/Parole Office","Probation","Male","White","No HS Diploma","Eleventh","43.71252567","321.279(2)","Aggravated Misdemeanor","ELUDING","Public Order","Traffic","4.262295082","2022-08-15T12:07:15.000"
"43","18489566","2022-04-28T00:00:00.000","CBC Field","Third Judicial District","Sioux City Probation/Parole Office","Probation","Male","Black","HS Diploma or Equivelent","High School Diploma","27.55920602","321J.2(2)(c)","D Felony","Operating While Intoxicated - 3rd or Subsequent Offense","Public Order","OWI","3.573770492","2022-08-15T12:07:15.000"
"44","18215465","2022-01-10T00:00:00.000","CBC Field","Fifth Judicial District","Des Moines Probation/Parole - Unit 6","Parole","Male","White","HS Diploma or Equivelent","HiSET/GED","42.69404517","902.8,B","Felony - Enhancement to Original Penalty","HABITUAL OFFENDER (PROPERTY)","Other","Other Criminal","7.114754098","2022-08-15T12:07:15.000"
"45","19629593","2020-01-07T00:00:00.000","CBC Field","First Judicial District","Dubuque Field Services","Probation","Male","White","Post-Secondary","Vocational Program/Technical Certificate","25.68651608","714.2(2)","D Felony","THEFT 2ND DEGREE","Property","Theft","31.18032787","2022-08-15T12:07:15.000"
"46","20105195","2022-03-01T00:00:00.000","CBC Field","Sixth Judicial District","Self-Supervised","Probation","Female","Asian or Pacific Islander","HS Diploma or Equivelent","High School Diploma","42.15468857","321J.2(2)(a)","Serious Misdemeanor","OPERATING WHILE UNDER THE INFLUENCE 1ST OFFENSE","Public Order","OWI","5.475409836","2022-08-15T12:07:15.000"
"47","18324584","2022-05-05T00:00:00.000","CBC Field","Seventh Judicial District","Jackson County Field Services","Pretrial Release With Supervision","Male","Black","HS Diploma or Equivelent","HiSET/GED","38.26146475","724.26(1)","D Felony","Dominion/Control of Firearm/Offensive Weapon by Felon","Public Order","Weapons","3.344262295","2022-08-15T12:07:15.000"
"48","3400970","2021-08-11T00:00:00.000","CBC Field","Fifth Judicial District","Des Moines Probation/Parole - Unit 6","Parole","Male","White","HS Diploma or Equivelent","HiSET/GED","44.79123888","124.401(1)(b)(7)","B Felony","Proh Acts-Mfg, Del, Consp or Poss w/Int-Meth GT 5gm but LT 5kg","Drug","Trafficking","12.09836066","2022-08-15T12:07:15.000"
"49","18126773","2022-04-24T00:00:00.000","CBC Field","Fifth Judicial District","Des Moines Pre-Trial Release","Pretrial Release With Supervision","Female","White","No HS Diploma","Unknown","50.6201232","321J.2(2)(a)","Serious Misdemeanor","OPERATING WHILE UNDER THE INFLUENCE 1ST OFFENSE","Public Order","OWI","3.704918033","2022-08-15T12:07:15.000"
"50","3216866","2019-04-29T00:00:00.000","CBC Field","Fifth Judicial District","Newton Probation/Parole Office","Probation","Female","White","HS Diploma or Equivelent","HiSET/GED","56.88706366","124.401(5)(c)","D Felony","Possession of a Controlled Substance - 3rd and subsequent","Drug","Drug Possession","39.47540984","2022-08-15T12:07:15.000"
"51","19393871","2022-07-24T00:00:00.000","CBC Field","Fifth Judicial District","Chariton Probation/Parole Office","Probation","Female","White","No HS Diploma","Unknown","42.71868583","321J.2(2)(a)","Serious Misdemeanor","OPERATING WHILE UNDER THE INFLUENCE 1ST OFFENSE","Public Order","OWI","0.7213114754","2022-08-15T12:07:15.000"
"52","18306434","2022-05-09T00:00:00.000","CBC Field","Fifth Judicial District","Polk County Court House","Probation","Male","White","HS Diploma or Equivelent","High School Diploma","62.54893908","321.279(1)","Serious Misdemeanor","ELUDING","Public Order","Traffic","3.213114754","2022-08-15T12:07:15.000"
"53","18645077","2022-07-11T00:00:00.000","CBC Field","Eighth Judicial District","Burlington Area Field Services","Probation","Female","White","HS Diploma or Equivelent","HiSET/GED","28.74469541","716.5","Aggravated Misdemeanor","CRIMINAL MISCHIEF 3RD DEGREE","Property","Vandalism","1.147540984","2022-08-15T12:07:15.000"
"54","19574000","2017-04-18T00:00:00.000","CBC Field","Sixth Judicial District","ANCHOR Center - Field","Probation","Male","White","No HS Diploma","Eleventh","23.43326489","706.3,A","C Felony","CONSPIRACY/COMMIT FORC FELONY","Violent","Other Violent","63.7704918","2022-08-15T12:07:15.000"
"55","18300395","2022-06-28T00:00:00.000","CBC Field","Fifth Judicial District","Creston Probation/Parole Office","Probation","Male","White","HS Diploma or Equivelent","HiSET/GED","48.5229295","124.401(1)(c)(6)","C Felony","Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm","Drug","Trafficking","1.573770492","2022-08-15T12:07:15.000"
"56","18547634","2020-11-18T00:00:00.000","CBC Field","Seventh Judicial District","Muscatine County Field Services","Probation","Male","White","HS Diploma or Equivelent","High School Diploma","43.44969199","708.4(2)","D Felony","WILLFUL INJURY - CAUSING BODILY INJURY","Violent","Assault","20.81967213","2022-08-15T12:07:15.000"
"57","18212750","2020-11-11T00:00:00.000","CBC Field","Fifth Judicial District","Des Moines Probation/Parole - Unit 3","Probation","Female","Black","HS Diploma or Equivelent","High School Diploma","34.4312115","321J.2(2)(b)","Aggravated Misdemeanor","OPERATING WHILE UNDER THE INFLUENCE 2ND OFFENSE","Public Order","OWI","21.04918033","2022-08-15T12:07:15.000"
"58","903572","2022-03-29T00:00:00.000","CBC Field","Fifth Judicial District","Des Moines Probation/Parole - Unit 3","Probation","Female","Black","HS Diploma or Equivelent","HiSET/GED","70.96235455","714.2(3)","Aggravated Misdemeanor","THEFT 3RD DEGREE","Property","Theft","4.557377049","2022-08-15T12:07:15.000"
"59","164057","2017-11-20T00:00:00.000","CBC Field","First Judicial District","Oelwein Field Services","Probation","Male","White","HS Diploma or Equivelent","HiSET/GED","53.9247091","902.8,B","Felony - Enhancement to Original Penalty","HABITUAL OFFENDER (PROPERTY)","Other","Other Criminal","56.68852459","2022-08-15T12:07:15.000"
"60","20649371","2020-12-02T00:00:00.000","CBC Field","First Judicial District","Dubuque Field Services","Probation","Male","White","HS Diploma or Equivelent","High School Diploma","27.62491444","714.2(3)","Aggravated Misdemeanor","THEFT 3RD DEGREE","Property","Theft","20.36065574","2022-08-15T12:07:15.000"
"61","20884601","2021-10-11T00:00:00.000","CBC Field","Second Judicial District","Mason City Probation/Parole Office","Probation","Male","White","Post-Secondary","Associate's Degree","36.36687201","708.2(2)","Serious Misdemeanor","Assault with bodily injury or mental illness","Violent","Assault","10.09836066","2022-08-15T12:07:15.000"
"62","19607732","2021-08-16T00:00:00.000","CBC Field","Eighth Judicial District","Burlington Area Field Services","Probation","Male","White","No HS Diploma","Tenth","44.83778234","124.401(5)(a)","Serious Misdemeanor","Possession of a Controlled Substance - 1st Offense","Drug","Drug Possession","11.93442623","2022-08-15T12:07:15.000"
"63","19080722","2019-03-21T00:00:00.000","CBC Field","Seventh Judicial District","Scott County Field Services I","Special Sentence","Male","White","HS Diploma or Equivelent","High School Diploma","45.10061602","903B.1","Special Sentence 2005","Special Supervision Sentence-B or C Felony/Lifetime Parole","Violent","Sex","40.75409836","2022-08-15T12:07:15.000"
"64","20391182","2022-02-01T00:00:00.000","CBC Field","Sixth Judicial District","Linn County Probation/Parole","Interstate Compact Parole","Male","Black","HS Diploma or Equivelent","HiSET/GED","42.98151951","1299","NCIC Virtual Code","NCIC - ROBBERY","Violent","Robbery","6.393442623","2022-08-15T12:07:15.000"
"65","20906921","2021-03-15T00:00:00.000","CBC Field","First Judicial District","Dubuque Field Services","Probation","Female","Black","HS Diploma or Equivelent","High School Diploma","33.9028063","715A.8(3)(b)","D Felony","Identity Theft Over $1000 Under $10000","Property","Theft","16.98360656","2022-08-15T12:07:15.000"
"66","20791523","2021-10-18T00:00:00.000","CBC Field","Second Judicial District","Mason City Probation/Parole Office","Probation","Male","White","HS Diploma or Equivelent","HiSET/GED","38.17111567","124.401(5)(c)","D Felony","Possession of a Controlled Substance - 3rd and subsequent","Drug","Drug Possession","9.868852459","2022-08-15T12:07:15.000"
"67","20349302","2019-07-15T00:00:00.000","CBC Field","Third Judicial District","Sioux City Probation/Parole Office","Probation","Male","Asian or Pacific Islander","HS Diploma or Equivelent","HiSET/GED","37.97946612","124.401(5)(c)","D Felony","Possession of a Controlled Substance - 3rd and subsequent","Drug","Drug Possession","36.95081967","2022-08-15T12:07:15.000"
"68","18166082","2021-12-21T00:00:00.000","CBC Field","Third Judicial District","Sioux City Probation/Parole Office","Probation","Female","White","HS Diploma or Equivelent","HiSET/GED","36.82409309","726.6(7)","Aggravated Misdemeanor","Child Endangerment/No Injury","Violent","Other Violent","7.770491803","2022-08-15T12:07:15.000"
"69","2407997","2022-07-21T00:00:00.000","CBC Field","Fifth Judicial District","Des Moines Probation/Parole - Unit 4","Parole","Male","Black","No HS Diploma","Eleventh","56.04380561","321.279(3)","D Felony","ELUDING","Public Order","Traffic","0.8196721311","2022-08-15T12:07:15.000"
"70","20140922","2020-12-14T00:00:00.000","CBC Field","Sixth Judicial District","Self-Supervised","Probation","Male","Hispanic","No HS Diploma","Eleventh","21.0294319","124.401(5)(d)","Serious Misdemeanor","Possession of a Controlled Substance - Marijuana - 1st Offense","Drug","Drug Possession","19.96721311","2022-08-15T12:07:15.000"
"71","20914766","2020-12-30T00:00:00.000","CBC Field","Fifth Judicial District","Des Moines Probation/Parole - Unit 3","Probation","Female","White","HS Diploma or Equivelent","High School Diploma","34.7980835","726.6(7)","Aggravated Misdemeanor","Child Endangerment/No Injury","Violent","Other Violent","19.44262295","2022-08-15T12:07:15.000"
"72","20576369","2021-10-07T00:00:00.000","CBC Field","Fifth Judicial District","Creston Probation/Parole Office","Probation","Male","White","HS Diploma or Equivelent","High School Diploma","20.09034908","708.2(1)","Aggravated Misdemeanor","ASSAULT INTENT OF INJURY","Violent","Assault","10.2295082","2022-08-15T12:07:15.000"
"73","18186014","2021-03-16T00:00:00.000","CBC Field","Sixth Judicial District","Linn County Probation/Parole","Probation","Male","White","Post-Secondary","Associate's Degree","32.12320329","321J.2(2)(c)","D Felony","Operating While Intoxicated - 3rd or Subsequent Offense","Public Order","OWI","16.95081967","2022-08-15T12:07:15.000"
"74","20398904","2018-10-08T00:00:00.000","CBC Field","First Judicial District","Oelwein Field Services","Special Sentence","Male","White","HS Diploma or Equivelent","High School Diploma","32.07392197","903B.1","Special Sentence 2005","Special Supervision Sentence-B or C Felony/Lifetime Parole","Violent","Sex","46.13114754","2022-08-15T12:07:15.000"
"75","18334358","2019-11-26T00:00:00.000","CBC Field","Seventh Judicial District","Scott County Field Services I","Parole","Male","Black","HS Diploma or Equivelent","High School Diploma","28.98288843","714.2(1)","C Felony","THEFT 1ST DEGREE","Property","Theft","32.55737705","2022-08-15T12:07:15.000"
"76","20704256","2020-11-16T00:00:00.000","CBC Field","Fourth Judicial District","Council Bluffs Probation/Parole Office 1","Probation","Male","Hispanic",,,"43.26625599","321J.2(2)(b)","Aggravated Misdemeanor","OPERATING WHILE UNDER THE INFLUENCE 2ND OFFENSE","Public Order","OWI","20.8852459","2022-08-15T12:07:15.000"
"77","3450563","2018-06-28T00:00:00.000","CBC Field","Fifth Judicial District","Des Moines Probation/Parole - Unit 6","Parole","Male","White","No HS Diploma","Tenth","41.35523614","124.401(1)(c)(6)","C Felony","Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm","Drug","Trafficking","49.47540984","2022-08-15T12:07:15.000"
"78","19719068","2020-04-20T00:00:00.000","CBC Field","Second Judicial District","Fort Dodge Probation/Parole Office","Probation","Male","White","Post-Secondary","Bachelor's Degree","63.1211499","321J.2(2)(b)","Aggravated Misdemeanor","OPERATING WHILE UNDER THE INFLUENCE 2ND OFFENSE","Public Order","OWI","27.7704918","2022-08-15T12:07:15.000"
"79","19545305","2022-03-24T00:00:00.000","CBC Field","Third Judicial District","Sheldon Probation/Parole Office","Pretrial Release With Supervision","Male","Hispanic","No HS Diploma","Ninth","16.58863792","713.3","B Felony","BURGLARY 1ST DEGREE","Violent","Other Violent","4.721311475","2022-08-15T12:07:15.000"
"80","3197183","2021-10-05T00:00:00.000","CBC Field","Second Judicial District","Sex Offender Unit","Probation","Male","White","HS Diploma or Equivelent","Special Education Diploma","48.61875428","728.2","Serious Misdemeanor","DISEM/EXHIB OBSC. MAT. TO MINOR","Public Order","Other Public Order","10.29508197","2022-08-15T12:07:15.000"
"81","18796184","2022-06-21T00:00:00.000","CBC Field","Second Judicial District","Marshalltown Probation/Parole Office","Probation","Male","White","HS Diploma or Equivelent","High School Diploma","32.24093087","708.11(3C)","Aggravated Misdemeanor","STALKING--AGGRAVATED MISDEMEANOR - 1ST OFFENSE","Violent","Assault","1.803278689","2022-08-15T12:07:15.000"
"82","18802889","2020-10-16T00:00:00.000","CBC Field","Fifth Judicial District","SOTP Unit","Special Sentence","Female","Asian or Pacific Islander","HS Diploma or Equivelent","High School Diploma","24.18617385","903B.2","Special Sentence 2005","Special Supervision Sentence-D Felony or Misdemeanors/10 years parole","Violent","Sex","21.90163934","2022-08-15T12:07:15.000"
"83","19523801","2022-07-14T00:00:00.000","CBC Field","First Judicial District","Waterloo Field Services","Probation","Female","White","HS Diploma or Equivelent","High School Diploma","37.07049966","715A.2(2)(a)","D Felony","FORGERY","Property","Forgery/Fraud","1.049180328","2022-08-15T12:07:15.000"
"84","20814293","2022-02-01T00:00:00.000","CBC Field","Sixth Judicial District","Self-Supervised","Probation","Male","White",,,"33.24845996","321J.2(2)(b)","Aggravated Misdemeanor","OPERATING WHILE UNDER THE INFLUENCE 2ND OFFENSE","Public Order","OWI","6.393442623","2022-08-15T12:07:15.000"
"85","18952577","2022-05-09T00:00:00.000","CBC Field","Third Judicial District","Sheldon Probation/Parole Office","Probation","Male","Asian or Pacific Islander","HS Diploma or Equivelent","High School Diploma","33.12525667","724.22(7)","Serious Misdemeanor","MAKING FIREARMS AVAILABLE TO PERSONS UNDER TWENTY-ONE","Public Order","Weapons","3.213114754","2022-08-15T12:07:15.000"
"86","20525309","2022-02-04T00:00:00.000","CBC Field","First Judicial District","Oelwein Field Services","Pretrial Release With Supervision","Male","White","No HS Diploma","Eleventh","19.63039014","709.4(1)(b)(3)(a)","A Felony","Sex Abuse 3rd-2nd or Subseq, Same Household-Life Special Sentence","Violent","Sex","6.295081967","2022-08-15T12:07:15.000"
