"contract_name","county","city","status","program","primary_funding_agreement","award_date","total_project_cost","capital_investment","direct_assistance_awarded","tax_benefits_awarded","projected_jobs_created","projected_jobs_retained","projected_jobs_other","projected_jobs_total","projected_qualifying_wage","contracted_jobs_created","contracted_jobs_retained","contracted_jobs_other_created","contracted_jobs_total","contracted_qualifying_wage","project_completion_jobs_created","project_completion_jobs_retained","project_completion_jobs_other_created","project_completion_jobs_total","total_project_cost_project_completion","project_completion_date","reported_jobs_created","reported_jobs_retained","reported_jobs_other_created","reported_jobs_total","date_reported","project_maintenance_date","city_location"
"INTL FCStone Inc.","Polk","West Des Moines","Under contract - In Maintenance","High Quality Jobs Program","16-HQJDF-027","2015-12-18T00:00:00.000","3000000","1400000","200000","0","50","0","0","50","26.72","26","0","0","26","26.72","26","0","0","0","3000000","2018-12-31T00:00:00.000","26","0","0","26","2018-12-31T00:00:00.000","2020-12-31T00:00:00.000","POINT (-93.713031 41.575505)"
"Zoetis, Inc. and Subsidiaries","Floyd","Charles City","Under contract - In Performance","High Quality Jobs Program","18-HQJTC-023","2017-10-20T00:00:00.000","55000000","54000000","0","2499000","6","0","0","6","16.83","6","0","0","6","16.83","0","0","0","0","55000000","2021-10-31T00:00:00.000","0","0","0","0","2021-10-31T00:00:00.000","2023-10-31T00:00:00.000","POINT (-92.672524 43.066415)"
"Source Allies, Inc.","Polk","Urbandale","Under contract - In Performance","High Quality Jobs Program","18-HQJDF-051","2018-05-18T00:00:00.000","4527800","3812000","144000","244250","36","0","0","36","29.12","36","0","0","36","29.12","0","0","0","0","4527800","2021-05-31T00:00:00.000","0","0","0","0","2021-05-31T00:00:00.000","2023-05-31T00:00:00.000","POINT (-93.736522 41.630343)"
"Apple Inc.","Dallas","Waukee","Under contract - In Performance","High Quality Jobs Program","18-HQJTC-008","2017-08-24T00:00:00.000","1375000000","1330000000","0","19650000","50","0","0","50","12.06","50","0","0","50","29.12","0","0","0","0","1375000000","2027-08-31T00:00:00.000","0","0","0","0","2027-08-31T00:00:00.000","2029-08-31T00:00:00.000","POINT (-93.885632 41.611984)"
"Cottingham & Butler Insurance Services, Inc.","Dubuque","Dubuque","Under contract - In Performance","High Quality Jobs Program","20-HQJTC-015","2019-12-20T00:00:00.000","8200000","7900000","0","438000","16","0","0","16","23.39","16","0","0","16","23.39","0","0","0","0","8200000","2022-12-31T00:00:00.000","0","0","0","0","2022-12-31T00:00:00.000","2024-12-31T00:00:00.000","POINT (-90.667314 42.505512)"
"Liberty Diversified","Dickinson","Milford","Under contract - In Performance","High Quality Jobs Program","18-HQJDF-029","2017-12-15T00:00:00.000","15095000","14995000","500000","15000","100","0","0","100","16.83","100","0","0","100","16.83","0","0","0","0","15095000","2020-12-31T00:00:00.000","0","0","0","0","2020-12-31T00:00:00.000","2022-12-31T00:00:00.000","POINT (-95.151365 43.333275)"
"MCF Operating, LLC dba Mrs. Clark's Foods","Polk","Ankeny","Under contract - In Performance","High Quality Jobs Program","21-HQJTC-009","2020-09-18T00:00:00.000","9250000","9250000","0","322500","1","0","19","20","25.76","1","0","19","20","25.76","0","0","0","0","9250000","2023-09-30T00:00:00.000","0","0","0","0","2023-09-30T00:00:00.000","2025-09-30T00:00:00.000","POINT (-93.600414 41.72508)"
"Orbis Corporation","Jones","Monticello","Under contract - In Maintenance","High Quality Jobs Program","17-HQJTC-005","2017-04-21T00:00:00.000","4700000","4700000","0","225000","2","0","0","2","16.59","2","0","0","2","16.59","2","0","0","2","4700000","2020-04-30T00:00:00.000","2","0","0","2","2020-04-30T00:00:00.000","2022-04-30T00:00:00.000","POINT (-91.187215 42.238124)"
"RMA Armament, Inc.","Appanoose","Centerville","Under contract - In Performance","High Quality Jobs Program","16-HQJDF-036","2016-02-19T00:00:00.000","688305","501305","34000","34550","20","0","0","20","14.42","20","0","0","20","14.42","0","0","0","0","688305","2020-04-30T00:00:00.000","0","0","0","0","2020-04-30T00:00:00.000","2022-04-30T00:00:00.000","POINT (-92.874161 40.732502)"
"Cellsite Solutions, LLC and Common Ground Capital, LLC","Linn","Cedar Rapids","Under contract - In Performance","High Quality Jobs Program","20-HQJTC-008","2019-10-18T00:00:00.000","6335000","6335000","0","220000","11","0","14","25","22.27","11","0","3","14","22.27","0","0","0","0","6335000","2022-10-31T00:00:00.000","0","0","0","0","2022-10-31T00:00:00.000","2024-10-31T00:00:00.000","POINT (-91.669808 41.978122)"
"Braunger Foods, LLC & BTW Properties, Inc.","Woodbury","Sioux City","Under contract - In Performance","Targeted Jobs","16-TJWTC-001","2015-08-21T00:00:00.000","4325000","4325000","0","300000","0","18","0","18","17.33","0","18","0","18","17.33","0","0","0","0","4325000","2018-08-31T00:00:00.000","0","0","0","0","2018-08-31T00:00:00.000","2020-08-31T00:00:00.000","POINT (-96.406436 42.496323)"
"Cargill, Incorporated","Monroe","Eddyville","Under contract - In Performance","High Quality Jobs Program","20-HQJTC-023","2020-05-22T00:00:00.000","233000000","210000000","0","6000000","14","0","14","28","17.46","14","0","14","28","17.46","0","0","0","0","233000000","2023-05-31T00:00:00.000","0","0","0","0","2023-05-31T00:00:00.000","2025-05-31T00:00:00.000","POINT (-92.630188 41.158178)"
"Buckeye Corrugated Inc.","Black Hawk","Cedar Falls","Under contract - In Performance","High Quality Jobs Program","18-HQJTC-019","2017-10-20T00:00:00.000","13554870","13554870","0","252146","5","0","0","5","17.29","5","0","0","5","17.29","0","0","0","0","13554870","2020-10-31T00:00:00.000","0","0","0","0","2020-10-31T00:00:00.000","2022-10-31T00:00:00.000","POINT (-92.4534 42.537809)"
"Continental Manufacturing Chemist, Inc.","Story","Huxley","Under contract - In Performance","High Quality Jobs Program","18-HQJDF-006","2017-07-21T00:00:00.000","9204000","6954000","600000","9204000","19","0","29","48","24.12","19","0","29","48","24.14","0","0","0","0","9204000","2022-07-31T00:00:00.000","0","0","0","0","2022-07-31T00:00:00.000","2024-07-31T00:00:00.000","POINT (-93.600561 41.894263)"
"Associated Milk Producers, Inc.","O'brien","Sanborn","Under contract - In Maintenance","High Quality Jobs Program","16-HQJDF-062","2016-06-17T00:00:00.000","16236100","16236100","37500","157800","0","9","0","9","19.44","0","9","0","9","19.44","0","9","0","9","16236100","2019-06-30T00:00:00.000","0","9","0","9","2019-06-30T00:00:00.000","2021-06-30T00:00:00.000","POINT (-95.6558 43.186036)"
"ReConserve of Iowa, Inc.","Linn","Cedar Rapids","Under contract - In Maintenance","High Quality Jobs Program","16-HQJTC-066","2016-07-22T00:00:00.000","12340000","12320000","0","244800","0","0","0","0","23.62","0","0","0","0","23.62","0","0","0","0","12340000","2019-07-31T00:00:00.000","0","0","0","0","2019-07-31T00:00:00.000","2021-07-31T00:00:00.000","POINT (-91.669808 41.978122)"
"Hormel Foods Corporation, Progressive Processing, LLC","Dubuque","Dubuque","Under contract - In Performance","High Quality Jobs Program","20-HQJTC-006","2019-09-20T00:00:00.000","13006400","13006400","0","575706","14","0","58","72","23.39","14","0","58","72","23.39","0","0","0","0","13006400","2022-09-30T00:00:00.000","0","0","0","0","2022-09-30T00:00:00.000","2024-09-30T00:00:00.000","POINT (-90.667314 42.505512)"
"Iowa Spring Manufacturing & Sales Company","Dallas","Adel","Under contract - In Performance","High Quality Jobs Program","20-HQJTC-009","2019-10-18T00:00:00.000","3193000","3193000","0","50550","0","0","0","0","22.04","0","0","0","0","22.04","0","0","0","0","3193000","2022-10-31T00:00:00.000","0","0","0","0","2022-10-31T00:00:00.000","2024-10-31T00:00:00.000","POINT (-94.01751 41.61441)"
"Siculus, Inc.","Polk","Altoona","Under contract - In Performance","High Quality Jobs Program","13-HQJTC-040","2013-04-23T00:00:00.000","700000000","699500000","0","26000000","31","0","0","31","23.12","41","0","0","41","23.12","0","0","0","0","700000000","2023-03-31T00:00:00.000","0","0","0","0","2023-03-31T00:00:00.000","2025-03-31T00:00:00.000","POINT (-93.464609 41.64404)"
"Microsoft Corporation","Dallas","West Des Moines","Under contract - In Performance","High Quality Jobs Program","13-HQJTC-046","2013-06-21T00:00:00.000","679141818","679141818","0","20000000","24","0","5","29","23.12","28","0","14","42","23.12","0","0","0","0","679141818","2021-12-31T00:00:00.000","0","0","0","0","2021-12-31T00:00:00.000","2023-12-31T00:00:00.000","POINT (-93.713031 41.575505)"
"Rosenboom Machine & Tool, Inc.","Sioux","Sheldon","Under contract - In Maintenance","High Quality Jobs Program","16-HQJTC-059","2016-05-20T00:00:00.000","16620000","16125000","0","894700","17","0","37","54","19.44","17","0","37","54","19.44","17","0","18","35","16620000","2019-05-31T00:00:00.000","17","0","18","35","2019-05-31T00:00:00.000","2021-05-31T00:00:00.000","POINT (-95.844999 43.186006)"
"Beth Bruening PC dba Bruening Eye Specialists","Woodbury","Sioux City","Under contract - In Performance","Targeted Jobs","17-TJWTC-004","2016-10-21T00:00:00.000","1618679","1618679","0","98850","6","0","7","13","18.72","6","0","7","13","18.72","0","0","0","0","1618679","2020-07-31T00:00:00.000","6","0","7","13","2020-07-31T00:00:00.000","2022-07-31T00:00:00.000","POINT (-96.406436 42.496323)"
"Cloverleaf Cold Storage","Woodbury","Sioux City","Under contract - In Maintenance","High Quality Jobs Program","17-HQJTC-007","2016-07-22T00:00:00.000","18000000","18000000","0","405000","1","0","7","8","20.17","1","0","7","8","20.17","0","0","0","0","18000000","2019-07-31T00:00:00.000","0","0","0","0","2019-07-31T00:00:00.000","2021-07-31T00:00:00.000","POINT (-96.406436 42.496323)"
"Geater Machining and Manufacturing, Co.","Buchanan","Independence","Under contract - In Maintenance","High Quality Jobs Program","16-HQJTC-017","2015-09-18T00:00:00.000","4850000","2500000","0","82250","2","0","2","4","15.53","2","0","2","4","15.53","2","0","2","4","4850000","2018-09-30T00:00:00.000","2","0","2","4","2018-09-30T00:00:00.000","2020-09-30T00:00:00.000","POINT (-91.891754 42.467626)"
"MCF Operating, LLC dba Mrs. Clark's Foods","Polk","Ankeny","Under contract - In Maintenance","High Quality Jobs Program","15-HQJTC-015","2014-10-17T00:00:00.000","7300000","7300000","0","166920","2","0","11","13","25.52","2","0","11","13","25.52","2","0","11","13","7300000","2018-10-31T00:00:00.000","2","0","11","13","2018-10-31T00:00:00.000","2020-10-31T00:00:00.000","POINT (-93.600414 41.72508)"
"Vogel Paint and Wax Company, Inc.","Sioux","Orange City","Under contract - In Performance","High Quality Jobs Program","16-HQJTC-038","2016-02-19T00:00:00.000","29900000","29900000","0","972500","3","0","46","49","20.82","3","0","46","49","20.82","0","0","0","0","29900000","2021-02-28T00:00:00.000","0","0","0","0","2021-02-28T00:00:00.000","2023-02-28T00:00:00.000","POINT (-96.056776 43.00136)"
"Cottingham & Butler, Inc.","Dubuque","Dubuque","Under contract - In Maintenance","Enterprise Zone","07-EZ-021","2006-10-19T00:00:00.000","7667000","5030000","300000","623000","56","0","34","90","12.41","83","0","2","85","12.41","83","0","2","85","7667000","2012-12-31T00:00:00.000","83","0","2","85","2012-12-31T00:00:00.000","2022-12-31T00:00:00.000","POINT (-90.667314 42.505512)"
"Elkhart Plastics of Iowa & Elkhart Plastics, Inc.","Cass","Atlantic","Under contract - In Performance","High Quality Jobs Program","19-HQJTC-010","2018-11-16T00:00:00.000","1000000","1000000","0","53000","100","0","0","100","15.95","100","0","0","100","15.95","0","0","0","0","1000000","2021-11-30T00:00:00.000","0","0","0","0","2021-11-30T00:00:00.000","2023-11-30T00:00:00.000","POINT (-95.014426 41.404006)"
"Cambrex Charles City, Inc.","Floyd","Charles City","Under contract - In Maintenance","High Quality Jobs Program","15-HQJTC-024","2015-01-16T00:00:00.000","66698606","52826000","0","1330020","32","0","0","32","14.93","32","0","0","32","14.93","32","0","0","32","66698606","2019-01-31T00:00:00.000","0","0","0","0","2019-01-31T00:00:00.000","2021-01-31T00:00:00.000","POINT (-92.672524 43.066415)"
"TrinityRail Maintenance Services, Inc.","Butler","Shell Rock","Under contract - In Performance","High Quality Jobs Program","19-HQJTC-024","2019-05-17T00:00:00.000","60000000","48950000","0","3495000","28","0","235","263","21.43","28","0","235","263","21.43","0","0","0","0","60000000","2022-05-31T00:00:00.000","0","0","0","0","2022-05-31T00:00:00.000","2024-05-31T00:00:00.000","POINT (-92.583205 42.710068)"
"Morrison Bros. Co.","Dubuque","Dubuque","Under contract - In Maintenance","Enterprise Zone","08-EZ-036","2008-06-19T00:00:00.000","3375000","2855000","0","593750","10","0","0","10","12.79","10","0","0","10","12.79","6","0","4","10","3375000","2014-12-31T00:00:00.000","10","0","0","10","2014-12-31T00:00:00.000","2024-12-31T00:00:00.000","POINT (-90.667314 42.505512)"
"Prestage Foods of Iowa, LLC","Wright","Eagle Grove","Under contract - In Maintenance","High Quality Jobs Program","17-HQJTC-009","2016-08-18T00:00:00.000","240000000","239250000","0","11480250","332","0","590","922","15.54","332","0","590","922","15.54","332","0","283","615","240000000","2019-08-31T00:00:00.000","332","0","283","615","2019-08-31T00:00:00.000","2021-08-31T00:00:00.000","POINT (-93.904497 42.664076)"
"Timberline Manufacturing","Linn","Marion","Under contract - In Performance","High Quality Jobs Program","18-HQJTC-041","2018-03-23T00:00:00.000","11850000","11750000","0","249000","6","0","50","56","24.91","6","0","50","56","24.91","0","0","0","0","11850000","2021-03-31T00:00:00.000","0","0","0","0","2021-03-31T00:00:00.000","2023-03-31T00:00:00.000","POINT (-91.587223 42.036098)"
"Helena Industries, Inc.","Polk","Des Moines","Under contract - In Performance","High Quality Jobs Program","20-HQJTC-002","2019-07-19T00:00:00.000","47000000","47000000","0","1120000","3","0","22","25","30.32","3","0","22","25","30.32","0","0","0","0","47000000","2022-07-31T00:00:00.000","0","0","0","0","2022-07-31T00:00:00.000","2024-07-31T00:00:00.000","POINT (-93.620309 41.588822)"
"Wells Enterprises, Inc.","Plymouth","Le Mars","Under contract - In Maintenance","High Quality Jobs Program","16-HQJTC-016","2015-08-21T00:00:00.000","19300000","19300000","0","644400","11","0","8","19","20.84","11","0","8","19","20.84","11","0","8","19","19300000","2018-08-31T00:00:00.000","11","0","8","19","2018-08-31T00:00:00.000","2020-08-31T00:00:00.000","POINT (-96.173749 42.788178)"
"Iowa Bankers Insurance and Services, Inc.","Polk","Urbandale","Under contract - In Performance","High Quality Jobs Program","20-HQJTC-021","2020-04-17T00:00:00.000","19600000","19600000","0","710800","12","0","18","30","30.98","12","0","18","30","30.98","0","0","0","0","19600000","2023-04-30T00:00:00.000","0","0","0","0","2023-04-30T00:00:00.000","2025-04-30T00:00:00.000","POINT (-93.736522 41.630343)"
"Farmers Edge (US) Inc.","Polk","Grimes","Under contract - In Performance","High Quality Jobs Program","18-HQJTC-011","2017-08-18T00:00:00.000","2524000","2234000","0","50380","1","0","4","5","29.12","1","0","4","5","29.12","0","0","0","0","2524000","2020-08-31T00:00:00.000","0","0","0","0","2020-08-31T00:00:00.000","2022-08-31T00:00:00.000","POINT (-93.791062 41.690307)"
"Lomont Molding, LLC","Henry","Mount Pleasant","Under contract - In Performance","High Quality Jobs Program","17-HQJTC-051","2017-04-20T00:00:00.000","2649000","2649000","0","84450","2","0","0","2","16.04","2","0","0","2","16.04","0","0","0","0","2649000","2021-10-31T00:00:00.000","0","0","0","0","2021-10-31T00:00:00.000","2023-10-31T00:00:00.000","POINT (-91.554839 40.965605)"
"Daimler Trucks North America LLC","Polk","Grimes","Under contract - In Maintenance","High Quality Jobs Program","17-HQJTC-029","2016-12-16T00:00:00.000","10820000","6450000","0","662100","6","0","37","43","27.92","6","0","37","43","27.92","6","0","37","43","10820000","2019-12-31T00:00:00.000","6","0","37","43","2019-12-31T00:00:00.000","2021-12-31T00:00:00.000","POINT (-93.791062 41.690307)"
"Tyson Prepared Foods, Inc.","Pottawattamie","Council Bluffs","Under contract - In Performance","High Quality Jobs Program","17-HQJTC-038","2017-02-17T00:00:00.000","51000000","51000000","0","1053300","6","0","44","50","22.90","6","0","44","50","22.90","0","0","0","0","51000000","2020-02-28T00:00:00.000","0","0","0","0","2020-02-28T00:00:00.000","2022-02-28T00:00:00.000","POINT (-95.85436 41.258963)"
"KLM Acquisition dba Aluma LTD","Kossuth","Bancroft","Under contract - In Performance","High Quality Jobs Program","16-HQJDF-029","2015-12-18T00:00:00.000","3030000","3030000","40000","69000","6","0","12","18","19.09","6","0","12","18","19.09","0","0","0","0","3030000","2020-12-31T00:00:00.000","0","0","0","0","2020-12-31T00:00:00.000","2022-12-31T00:00:00.000","POINT (-94.217974 43.292958)"
"Frontier Natural Products Co-op","Benton","Norway","Under contract - In Performance","High Quality Jobs Program","21-HQJTC-010","2020-10-16T00:00:00.000","7369330","7369330","0","300462","4","0","20","24","27.84","4","0","20","24","27.84","0","0","0","0","7369330","2023-10-31T00:00:00.000","0","0","0","0","2023-10-31T00:00:00.000","2025-10-31T00:00:00.000","POINT (-91.919516 41.902886)"
"Kooima Company","Sioux","Rock Valley","Under contract - In Maintenance","High Quality Jobs Program","16-HQJTC-065","2016-06-17T00:00:00.000","12100000","12100000","0","121000","82","0","69","151","19.28","82","0","69","151","19.28","82","0","69","151","12100000","2019-06-30T00:00:00.000","82","0","69","151","2019-06-30T00:00:00.000","2021-06-30T00:00:00.000","POINT (-96.298013 43.199972)"
"Hy-Vee, Inc.","Cherokee","Cherokee","Under contract - In Maintenance","Enterprise Zone","09-EZ-006","2008-10-16T00:00:00.000","17924000","17774000","0","1976660","12","0","0","12","13.87","12","0","0","12","11.80","12","0","0","12","17924000","2011-10-31T00:00:00.000","12","0","0","12","2011-10-31T00:00:00.000","2021-10-31T00:00:00.000","POINT (-95.551271 42.749674)"
"World Class Industries, Inc. & Cobb Family LLLP","Linn","Hiawatha","Under contract - In Performance","High Quality Jobs Program","18-HQJTC-043","2018-04-20T00:00:00.000","7990140","7990140","0","405500","16","0","12","28","24.91","16","0","12","28","24.91","0","0","0","0","7990140","2021-07-31T00:00:00.000","0","0","0","0","2021-07-31T00:00:00.000","2023-07-31T00:00:00.000","POINT (-91.671159 42.03703)"
"AB(MC)2, LLC & Rite Hite Holding Corporation","Dubuque","Dubuque","Under contract - In Maintenance","High Quality Jobs Program","16-HQJDF-055","2016-05-20T00:00:00.000","8920446","8895446","44000","251338","11","0","13","24","20.53","11","0","13","24","20.53","11","0","13","24","8920446","2019-05-31T00:00:00.000","11","0","13","24","2019-05-31T00:00:00.000","2021-05-31T00:00:00.000","POINT (-90.667314 42.505512)"
"Edgewood Locker, Inc. and Kerns Building LLC","Clayton","Edgewood","Under contract - In Performance","High Quality Jobs Program","21-HQJTC-018","2021-02-19T00:00:00.000","8880000","8435000","0","472050","14","0","0","14","17.86","14","0","0","14","17.86","0","0","0","0","8880000","2024-02-28T00:00:00.000","0","0","0","0","2024-02-28T00:00:00.000","2026-02-28T00:00:00.000","POINT (-91.398755 42.643573)"
"Superior Industrial Mechanical Inc. and Rohan Properties, LLC","Woodbury","Sioux City","Under contract - In Maintenance","Targeted Jobs","17-TJWTC-008","2017-06-16T00:00:00.000","849000","848000","0","152000","20","0","6","26","18.72","20","0","6","26","18.72","20","0","1","21","849000","2021-02-28T00:00:00.000","20","0","1","21","2021-02-28T00:00:00.000","2023-02-28T00:00:00.000","POINT (-96.406436 42.496323)"
"Warren Transport, Inc.","Black Hawk","Waterloo","Under contract - In Performance","High Quality Jobs Program","20-HQJTC-010","2019-11-22T00:00:00.000","8650000","8650000","0","77400","4","0","0","4","18.49","4","0","0","4","18.49","0","0","0","0","8650000","2022-11-30T00:00:00.000","0","0","0","0","2022-11-30T00:00:00.000","2024-11-30T00:00:00.000","POINT (-92.34364 42.493469)"
"Amcor Rigid Plastics USA, Inc.","Story","Ames","Under contract - In Performance","High Quality Jobs Program","20-HQJTC-022","2020-04-17T00:00:00.000","3086270","3086270","0","172591","6","0","42","48","27.25","6","0","42","48","27.25","0","0","0","0","3086270","2023-04-30T00:00:00.000","0","0","0","0","2023-04-30T00:00:00.000","2025-04-30T00:00:00.000","POINT (-93.620181 42.026802)"
"Crystal Group Inc.","Linn","Hiawatha","Under contract - In Maintenance","High Quality Jobs Program","17-HQJDF-048","2017-04-21T00:00:00.000","20850000","18300000","100000","513750","20","0","25","45","24.70","20","0","25","45","24.70","25","0","20","45","20850000","2020-04-30T00:00:00.000","20","0","25","45","2020-04-30T00:00:00.000","2022-04-30T00:00:00.000","POINT (-91.671159 42.03703)"
"ICE Manufacturing, Inc.","Fayette","Oelwein","Under contract - In Performance","High Quality Jobs Program","21-HQJDF-002","2020-07-17T00:00:00.000","2394000","2064000","250000","127100","33","0","0","33","16.35","33","0","0","33","16.35","0","0","0","0","2394000","2023-07-31T00:00:00.000","0","0","0","0","2023-07-31T00:00:00.000","2025-07-31T00:00:00.000","POINT (-91.911989 42.678527)"
"Fidelity & Guaranty Life Business Services, Inc and Fidelity & Guaranty Llife Insurance Company","Polk","Des Moines","Under contract - In Performance","High Quality Jobs Program","20-HQJTC-018","2019-12-20T00:00:00.000","9423506","5617917","0","227478","53","0","7","60","30.98","53","0","7","60","30.98","0","0","0","0","9423506","2022-12-31T00:00:00.000","0","0","0","0","2022-12-31T00:00:00.000","2024-12-31T00:00:00.000","POINT (-93.620309 41.588822)"
"Sioux-Preme Packaging Co.","Sioux","Sioux Center","Under contract - In Performance","High Quality Jobs Program","19-HQJTC-003","2018-08-17T00:00:00.000","27000000","27000000","0","813825","10","0","40","50","20.41","10","0","40","50","20.41","0","0","0","0","27000000","2021-08-31T00:00:00.000","0","0","0","0","2021-08-31T00:00:00.000","2023-08-31T00:00:00.000","POINT (-96.175468 43.075969)"
"Tyson Fresh Meats, Inc.","Dallas","Perry","Under contract - In Performance","High Quality Jobs Program","18-HQJTC-036","2018-05-18T00:00:00.000","43758863","43758863","0","674326","0","0","0","0","24.85","0","0","0","0","24.85","0","0","0","0","43758863","2021-05-31T00:00:00.000","0","0","0","0","2021-05-31T00:00:00.000","2023-05-31T00:00:00.000","POINT (-94.099735 41.838506)"
"Harvest International","Cherokee","Cherokee","Under contract - In Maintenance","Enterprise Zone","07-EZ-044","2007-06-13T00:00:00.000","1093000","708000","0","82425","26","0","0","26","11.33","26","0","0","26","11.33","26","0","0","26","1093000","2010-06-30T00:00:00.000","26","0","0","26","2010-06-30T00:00:00.000","2020-01-30T00:00:00.000","POINT (-95.551271 42.749674)"
"C2C Express Inc.","Woodbury","Sioux City","Under contract - In Maintenance","Targeted Jobs","17-TJWTC-007","2017-03-17T00:00:00.000","305000","60000","0","45750","0","13","0","13","18.74","4","13","0","17","18.74","4","13","0","17","305000","2020-03-31T00:00:00.000","4","13","0","17","2020-03-31T00:00:00.000","2022-03-31T00:00:00.000","POINT (-96.406436 42.496323)"
"Carleton Life Support Systems Inc.","Scott","Davenport","Under contract - In Performance","High Quality Jobs Program","19-HQJDF-005","2019-02-22T00:00:00.000","67703900","29697500","400000","1093810","150","0","0","150","19.30","150","0","0","150","19.30","0","0","0","0","67703900","2022-02-28T00:00:00.000","0","0","0","0","2022-02-28T00:00:00.000","2024-02-28T00:00:00.000","POINT (-90.577036 41.523527)"
