"business_name","category","geolocation_formatted_address","phone","website","delivery","takeout","curbside","cashless","how_to_order","geocoded_column"
"Basil Authentic Vietnamese Cuisine","Food and Drink","909 SE Everett Mall Way, Everett, WA 98208","425 374 8082",,"true",,,"true","Call, UberEats, DoorDash","POINT (-122.219403 47.91062)"
"uu","Food and Drink","2925 Wetmore Ave, Everett, WA 98201","425-789-1897","http://cafeuu.net",,"true",,"true","Call","POINT (-122.207214 47.978425)"
"Jetty Bar & Grille","Food and Drink","1028 13th Street, Everett, WA 98201","425-217-2772","http://www.indigoeverett.com/dining.php","true",,,,"Call","POINT (-122.216145 48.000256)"
"Petite Sweet Bakery","Food and Drink","2613 Colby Ave, Everett, WA 98201","425-258-1800","http://petitesweetbakery.com","true","true",,"true","Call, Email","POINT (-122.208553 47.982795)"
"El Paraíso Mexican Grill","Food and Drink","2801 Colby Ave, Everett, WA 98201","425-252-6026","http://Elparaisomexicangrill.com",,"true",,"true","Call","POINT (-122.208597 47.980468)"
"Mazatlan","Food and Drink","1325 Pacific Ave, Everett, WA 98201","425-404-3084","http://Www.themazatlanmex.com/Everett","true","true","true","true","Website, Call, Social Media","POINT (-122.211903 47.976479)"
"Botan Ramen n’ Bar","Food and Drink","2803 Colby Ave, Everett, WA 98201","425-595-4940",,"true","true","true","true","Call","POINT (-122.208603 47.980346)"
"The Irishmen","Food and Drink","2923 Colby Ave Everett, WA 98201","425-374-5783","http://www.theirishmen.com",,"true",,"true","Call","POINT (-122.208649 47.978618)"
"Cafe makario","Food and Drink","2625 Colby Ave, Suite 2-C, Everett, WA 98201","4255129386",,"true","true",,"true","Call, Social Media","POINT (-122.208561 47.982462)"
"Romio's Pizza & Pasta","Food and Drink","2714 Colby Ave, Everett, WA 98201","425 252 0800","http://www.romioseverett.com","true","true",,"true","Website, Call","POINT (-122.208581 47.981393)"
"AFK Tavern","Food and Drink","1510 41st Street, Everett, WA 98203","425-259-0525","http://www.247waiter.com/restaurant/AFK-Tavern/","true","true","true","true","Website, Call","POINT (-122.208936 47.963281)"
"Major League Pizza","Food and Drink","2811 Colby Ave, Suite C, Everett, WA 98201","425-259-5554","http://majorleaguepizza.com","true","true",,"true","Website, Call","POINT (-122.208611 47.980185)"
"Middleton Brewing","Food and Drink","607 SE Everett Mall Way, Suite 27-A, Everett, WA 98208","425-280-9178",,,"true",,"true","Call, Text","POINT (-122.223453 47.90954)"
"Starbucks Coffee","Food and Drink","2823 Colby Ave, Everett, WA 98201",,,"true","true","true","true","Starbucks App, UberEats","POINT (-122.208631 47.979772)"
"Crucible Brewing Co.","Food and Drink","909 SE Everett Mall Way, Unit D440, Everett, WA 98208","425-428-6344","http://www.cruciblebrewing.com","true","true","true","true","Call, Text","POINT (-122.219403 47.91062)"
"El Sabor de Chihuahua","Food and Drink","7405 Hardeson Rd, Unit B, Everett, WA 98203","425-513-0484",,,"true",,"true","Call, DoorDash or UberEats","POINT (-122.248683 47.930765)"
"Starbucks Coffee","Food and Drink","2823 Colby Ave, Everett, WA 98201",,,"true","true","true","true","Starbucks App, UberEats","POINT (-122.208631 47.979772)"
"Umami","Food and Drink","902 N Broadway Ave, Everett, WA 98201","425-322-3761","http://www.umamieverett.com","true","true","true","true","Website, Call, Social Media, UberEats, DoorDash, GrubHub.","POINT (-122.197911 48.005381)"
"Jasmine Thai","Food and Drink","2725 Colby Ave, Everett, WA 98201","425-789-1724",,"true","true","true","true","Call, Social Media, UberEats, DoorDash","POINT (-122.208586 47.980874)"
"Buzz Inn Steakhouse","Food and Drink","3121 Broadway Ave, Everett, WA 98201","425 259-1972","http://buzzinnsteakhouse.com/",,"true",,"true","Call","POINT (-122.20145 47.975807)"
"The New Mexicans","Food and Drink","1416 Hewitt Ave, Everett, WA 98201","425-512-9705","http://www.facebook.com/TheNewMexicans",,"true",,"true","Call","POINT (-122.210526 47.979249)"
"Tasty Indian Bistro","Food and Drink","510 W Casino Road, Suite A, Everett, WA 98204","425 267-2444","http://www.tastybistroeverett.com","true","true","true","true","Call","POINT (-122.241137 47.921848)"
"Bhu Ping","Food and Drink","6600 evergreen way Everett, WA","425-405-3783","http://Bhupingthaicuisine.com",,"true",,"true","Website, Call","POINT (-122.218648 47.937566)"
"Port Gardner Bay Winery","Food and Drink","3006 Rucker Ave, Everett, WA 98201","425-339-0293","http://www.portgardnerbaywinery.com",,"true","true","true","Call","POINT (-122.211435 47.977515)"
"Alfys Pizza","Food and Drink","2317 Broadway Ave, Everett, WA 98201","425-258-9333","http://www.alfyspizza.com","true","true",,"true","Call","POINT (-122.201388 47.986331)"
"Midnight Cookie Co.","Food and Drink","Park Way #8, 607 SE Everett Mall Way, Everett, WA 98208","425-512-9127","http://www.midnightcookieco.com/","true","true",,"true","GrubHub, Bitesquad, Ubereats, Postmates, Caviar, DoorDash","POINT (-122.223453 47.90954)"
"Tampico Mexican Restaurant","Food and Drink","2303 Broadway Ave, Everett, WA 98201","425-339-2427","http://www.tampico-mexicanrestaurant.com/",,"true","true","true","Call","POINT (-122.201384 47.986652)"
"Curries Indian Cuisine","Food and Drink","7318 Evergreen Way, Everett, WA 98203","425-265-1200","http://Curriesineverett.com","true","true",,"true","Website, Call","POINT (-122.220107 47.93214)"
"Thai Valley Restaurant","Food and Drink","7415 Hardeson Road, Suite C, Everett, WA 98203","425-348-9707","http://www.thaivalley-restaurant.com","true","true","true","true","Call, UberEats, DoorDash, ezCater","POINT (-122.248497 47.930527)"
"Capers+Olives","Food and Drink","2933 Colby Ave, Everett, WA 98201","425-322-5280","http://capersandolives.com",,"true","true","true","Website, Call","POINT (-122.208643 47.9782)"
"Lombardis’s Italian","Food and Drink","1620 W Marine View Dr, Everett, WA 98201","425-252-1886","http://Www.lombardisitalian.com","true","true","true","true","Website, Call","POINT (-122.213774 47.995546)"
"Buck’s American Cafe","Food and Drink","2901 Hewitt Ave, Everett, WA 98201","425-258-1351",,"true","true","true","true","Website, Call","POINT (-122.192122 47.979085)"
"Sporty’s beef and brew","Food and Drink","6503 Evergreen Way, Everett, WA 98208","425-347-1733",,"true","true","true","true","Website, Call, Social Media","POINT (-122.218406 47.938489)"
"Red Rock Subs","Food and Drink","3514 Broadway Ave, Everett, WA 98201","4252522786","http://redrocksubs.com","true","true",,"true","Website, Call","POINT (-122.20123 47.970853)"
"James Bay Distillers Ltd","Food and Drink","3101 111th Street SW, Ste B, Everett WA 98204","425-212-9135","http://www.Facebook.com/JamesBayDistillers",,"true","true","true","Call, Text, Social Media","POINT (-122.276246 47.897043)"
"The Valley Organic Deli","Food and Drink","2805 Colby Avenue, Everett, WA 98201","425-512-8577","http://Valleyorganicdeli.com",,"true",,"true","Website","POINT (-122.208604 47.980326)"
"Eushi's Teriyaki","Food and Drink","615 112th St SE, Suite D, Everett, WA 98208","425-355-6617",,"true","true",,"true","Call, DoorDash, UberEats","POINT (-122.223568 47.896468)"
"Bluewater Organic Distilling","Food and Drink","1205 Craftsman Way, Suite 109, Everett, WA 98201","425-404-1408","http://www.bluewaterdistilling.com/takeout","true","true","true","true","Call","POINT (-122.217786 48.001825)"
"Tony V's Garage Saloon and Eatery","Food and Drink","1716 Hewitt Ave, Everett, WA 98201","425-374-3567",,,"true","true",,"Call","POINT (-122.206236 47.9792)"
"Nom Nom Teriyaki ‘n More","Food and Drink","8833 Evergreen Way, Everett, WA 98208","4252129473",,,"true",,"true","Call","POINT (-122.231896 47.917824)"
"K-Fresh","Food and Drink","1105 Hewitt Ave, Everett, WA 98201","425-212-9863","http://www.hellokfresh.com","true","true","true","true","Website, Call, UberEats, DoorDash, ChowNow","POINT (-122.215295 47.979369)"
"That Chicken Place","Food and Drink","1907 Hewitt Ave, Suite A, Everett, WA 98201","425-349-0253",,"true","true","true","true","Call, DoorDash","POINT (-122.203925 47.979276)"
"Dickeys Barbecue Pit","Food and Drink","617 128th St SW, Suite #107, Everett, WA 98204","425-265-0041","http://Dickeys.com","true","true","true","true","Website, Call","POINT (-122.24201 47.881972)"
"Alfy's Pizza","Food and Drink","9620 19th Ave SE, Everett, WA 98208","425-338-2577","http://www.AlfysPizza.com","true","true",,"true","Website, Call","POINT (-122.207061 47.909972)"
"Tacobook","Food and Drink","1130 Broadway Ave, Everett, WA 98201","425 258-2762",,,"true",,"true","Call","POINT (-122.201069 48.001732)"
"Café Zippy","Food and Drink","1502 Rucker Ave, Everett, WA 98201","425-303-9474","http://Www.CafeZippy.com","true","true","true","true","Call","POINT (-122.211017 47.997583)"
