"pub_district_name","pub_school_name","pub_adrs","pub_city","pub_state","pub_zip","s_pledge_dt","pledge_yr","geocoded_column","website"
"West Windsor-Plainsboro Regional School District","West Windsor-Plainsboro High School North","90 GROVERS MILL ROAD","PLAINSBORO","NJ","08536","May 2","2017","POINT (-74.600361 40.324202)",
"West Windsor-Plainsboro Regional School District","Dutch Neck Elementary School","392 VILLAGE ROAD EAST","West Windsor","NJ","08550","May 2","2017","POINT (-74.610466 40.280893)",
"Atlantic Highlands School District","Atlantic Highlands Elementary School","140 FIRST AVENUE","ATLANTIC HIGHLANDS","NJ","07716-1238","January 25","2017","POINT (-74.039017 40.411332)",
"Medford Township School District","Milton H. Allen Elementary School","24 ALLEN AVENUE","MEDFORD","NJ","08055-2402","September 8","2017","POINT (-74.826835 39.897841)",
"RUNNEMEDE PUBLIC SCHOOL DISTRICT","Mary E. Volz Elementary School","509 WEST THIRD AVENUE","RUNNEMEDE","NJ","08078","January 17","2017","POINT (-75.082601 39.850889)",
"Port Republic School District","Port Republic Elementary School","137 POMONA AVENUE","PORT REPUBLIC","NJ","08241","February 24","2017","POINT (-74.495084 39.520958)",
"Spotswood Public School District","Spotswood High School","105 SUMMERHILL ROAD","SPOTSWOOD","NJ","08884","September 15","2020","POINT (-74.38649 40.398922)","https://www.spsd.us/"
"Highlands Borough School District","Highlands Elementary School","360 NAVESINK AVENUE","HIGHLANDS","NJ","07732-1323","January 30","2017","POINT (-73.99665 40.40278)",
"South Harrison Township School District","South Harrison Elementary School","904 MULLICA HILL RD","HARRISONVILLE","NJ","08039-0112","March 3","2020","POINT (-75.265955 39.689308)",
"West Windsor-Plainsboro Regional School District","J.V.B. Wicoff Elementary School","510 PLAINSBORO ROAD","PLAINSBORO","NJ","08536","May 2","2017","POINT (-74.59352 40.333822)",
"West Windsor-Plainsboro Regional School District","Village Elementary School","601 NEW VILLAGE ROAD","West Windsor","NJ","08550","May 2","2017","POINT (-74.599337 40.271189)",
"RUNNEMEDE PUBLIC SCHOOL DISTRICT","Grade Downing Elementary School","3RD & CENTRAL AVES","RUNNEMEDE","NJ","08078","January 17","2017","POINT (-75.071814 39.851917)",
"Medford Township School District","Kirby's Mill Elementary School","151 HARTFORD ROAD","MEDFORD","NJ","08055","September 8","2017","POINT (-74.845885 39.904898)",
"Somers Point School District","Dawes Avenue Elementary School","22 W. Dawes Avenue","Somers Point","NJ","08244-1408","April 10","2018","POINT (-74.588885 39.324549)",
"Woodbury Heights Public School District","Woodbury Heights Elementary","100 ACADEMY AVE","WOODBURY HTS","NJ","08097","June 4","2019","POINT (-75.149934 39.816244)",
"Thomas Edison EnergySmart Charter School","Thomas Edison EnergySmart Charter School","150 Pierce Street","Somerset","NJ","08873","May 1","2018","POINT (-74.521799 40.52931)",
"Milltown School District","Parkview  School","80 VIOLET TERRACE","MILLTOWN","NJ","08850","September 15","2020","POINT (-74.43153 40.450273)","https://pv.milltownps.org/"
"RUNNEMEDE PUBLIC SCHOOL DISTRICT","Aline Bingham Elementary School","100 FIRST & ORCHARD AVE","RUNNEMEDE","NJ","08078","January 17","2017","POINT (-75.079567 39.849619)",
"West Windsor-Plainsboro Regional School District","Town Center Elementary School at Plainsboro","700 WYNDHURST DRIVE","PLAINSBORO","NJ","08536","May 2","2017","POINT (-74.581505 40.334547)",
"West Windsor-Plainsboro Regional School District","Maurice Hawk Elementary School","303  305 CLARKSVILLE ROAD","West Windsor","NJ","08550","May 2","2017","POINT (-74.626629 40.30546)",
"Medford Township School District","Medford Memorial Middle School","55 MILL STREET","MEDFORD","NJ","08055","September 8","2017","POINT (-74.827442 39.889314)",
"Milltown School District","Joyce Kilmer School","21 West Church Street","Milltown","NJ","08850","September 15","2020","POINT (-74.439925 40.451892)","https://jk.milltownps.org/"
"TRENTON PUBLIC SCHOOL DISTRICT","P.J. Hill Elementary","1010 EAST STATE STREET","TRENTON","NJ","08609-1506","February 21","2017","POINT (-74.742172 40.22539)",
"Medford Township School District","Chairville Elementary School","36 CHAIRVILLE ROAD","MEDFORD","NJ","08055","September 8","2017","POINT (-74.806846 39.898033)",
"Cape May County Special Services School District","Cape May County High School","148 CREST HAVEN ROAD","CAPE MAY COURT HOUSE","NJ","08210","May 14","2018","POINT (-74.797814 39.100536)",
