"facility_name","street_address","city","state","zip","phone_number","type","facility_license_id","county","inspection_type","geocoded_column","a9_cert","l3_cert"
"BERGEY'S TRUCKS INC","7255 NORTH CRESCENT BLVD","PENNSAUKEN","NJ","08110","(856) 662-7601","Inspections Only","PIF000812","CAMDEN","Diesel Only","POINT (-75.04603098799998 39.968560007000065)","No","No"
"TPRI INCORPORATED","144 POMPTON AVENUE","VERONA","NJ","07044","(973) 239-0720","Inspections Only","PIF001291","ESSEX","Auto Only","POINT (-74.22880699599995 40.83013902000005)","No","No"
"SADOWSKIS AUTO CARE LLC","586-590 RIDGE ROAD","N. ARLINGTON","NJ","07031","(201) 998-8424","Emission Repair & Inspections","ERF000732","BERGEN","Auto Inspection and Emission Repair","POINT (-74.12636496799996 40.79735098400005)","No","No"
"G & J OF NEW JERSEY INC","150 NAUGHTRIGHT RD","HACKETTSTOWN","NJ","07840","(908) 813-8700","Inspections Only","PIF011489","WARREN","Auto Only","POINT (-74.78274724299996 40.85287274800004)","No","No"
"CHARLES R. BRAUN III INC.","1045 RIVER RD.","EGG HARBOR","NJ","08215","(609) 965-3314","Inspections Only","PIF010085","ATLANTIC","Auto Only","POINT (-74.58719001799994 39.61275002000008)","No","No"
"2 SWIMMING RIVER ROAD INC","2 SWIMMING RIVER RD","LINCROFT","NJ","07738","(732) 747-3090","Emission Repair & Inspections","ERF001855","MONMOUTH","Auto Only","POINT (-74.12067197899995 40.33033799400005)","No","No"
"AMERICAN TIRE&AUTO SRVC LLC","426 B RT 206 SO","HILLSBOROUGH","NJ","08844","(908) 281-7500","Emission Repair & Inspections","ERF001495","SOMERSET","Auto Inspection and Emission Repair","POINT (-74.64513000799997 40.504879980000055)","No","No"
"RONS AUTO SERVICE INC","301 KINGS HWY","AUDUBON","NJ","08106","(856) 546-5393","Emission Repair Only","ERF001363","CAMDEN","Auto Only","POINT (-75.06772555699996 39.88392679000003)","No","No"
"D & J SHELL INC","211 WATCHUNG AVENUE","BLOOMFIELD","NJ","07003","(973) 893-1100","Inspections Only","PIF001310","ESSEX","Auto Only","POINT (-74.17938695899994 40.82885399000003)","No","No"
"DEMAREST AUTO SERVICE INC","140 HARDENBURGH AVE","DEMAREST","NJ","07627","(201) 767-3919","Emission Repair & Inspections","ERF003096","BERGEN","Auto Inspection and Emission Repair","POINT (-73.96356703399994 40.957468008000035)","No","No"
"CORBOS GARAGE*","1099 RT28 PO BX 5031","NO BRANCH","NJ","08876","(908) 685-9597","Inspections Only","PIF000874","SOMERSET","Diesel Only","POINT (-74.68080196299996 40.60396601900004)","No","No"
"JOHNSONS TRCK & AUTO REPAIR","108 CENTRAL AVE","MINOTOLA","NJ","08341","(609) 704-5647","Emission Repair & Inspections","ERF003384","CUMBERLAND","Auto Inspection and Emission Repair","POINT (-74.94785400799998 39.53191599300004)","No","No"
"BRICK DIS MUFFLERS & BRAKES","479 BRICK BLVD","BRICK","NJ","08723","(732) 477-9066","Emission Repair & Inspections","ERF000004","OCEAN","Auto Inspection and Emission Repair","POINT (-74.14203777899996 40.04987436000005)","No","No"
"BENNE'S TIRE & AUTO INC.","526 W BROAD ST","PAULSBORO","NJ","08066","(856) 423-9712","Inspections Only","PIF003378","GLOUCESTER","Auto Only","POINT (-75.25153780899996 39.827210741000044)","No","No"
"INTER CITY TIRE & AUTO","777 DOWD AVE","ELIZABETH","NJ","07201","(908) 354-1200","Inspections Only","PIF000831","UNION","Diesel Only","POINT (-74.19036755999997 40.67322349500006)","No","No"
"MADISON SERVICE CENTER LLC","944 MADISON AVE","PATERSON","NJ","07501","(973) 742-9501","Emission Repair & Inspections","ERF002545","PASSAIC","Auto Inspection and Emission Repair","POINT (-74.15719402699995 40.908718985000064)","No","No"
"ULTIMATE PRECISION MOTORS I","30 FOSTER ST","BERGENFIELD","NJ","07621","(201) 384-1040","Inspections Only","PIF000166","BERGEN","Auto Only","POINT (-73.99974399899997 40.91451398100003)","No","No"
"PLATT'S PERFORMANCE PLUS","46 LINCOLN AVE.","JAMESBURG","NJ","08831","(732) 521-1978","Emission Repair & Inspections","ERF000723","MIDDLESEX","Auto Inspection and Emission Repair","POINT (-74.43849698399998 40.35589098000003)","No","No"
"PINKAVAS MOTOR CO INC*","4 CALDWELL PLACE","SPRINGFIELD","NJ","07081","(973) 376-0181","Inspections Only","PIF000826","UNION","Auto Only","POINT (-74.31373503699996 40.711424994000026)","No","No"
"ORADELL AUTO REP INC","280 KINDERKAMACK ROAD","ORADELL","NJ","07649","(201) 262-3884","Inspections Only","PIF001062","BERGEN","Auto Only","POINT (-74.03207501099996 40.94978398200004)","No","No"
"WEST MILFORD AUTOMOTIVE INC","151 MARSHALL HILL RD","WEST MILFORD","NJ","07480","(973) 728-7554","Inspections Only","PIF009435","PASSAIC","Auto Only","POINT (-74.35623002899996 41.135552982000036)","No","No"
"DENVILLE SHELL","425 STATE RT 23","FRANKLIN","NJ","07416","(973) 827-9400","Emission Repair & Inspections","ERF000197","MORRIS","Auto Inspection and Emission Repair","POINT (-74.57939300399994 41.124020992000055)","No","No"
"CINNAMINSON RIGGINS INC","1015 RTE 130 SOUTH","CINNAMINSON","NJ","08077","(856) 829-4656","Inspections Only","PIF000996","BURLINGTON","Auto Only","POINT (-74.99277396799994 39.997125994000044)","No","No"
"JERSEY SHORE AUTO REPAIR","200 OCEAN GATE AVENUE","OCEAN","NJ","08740","(732) 269-9856","Inspections Only","PIF001166","OCEAN","Auto Only","POINT (-74.14089097399994 39.92886398400003)","No","No"
"BUSTED KNUCKLE ATO TIRE LLC","100 SOUTH SHORE ROAD","MARMORA","NJ","08223","(609) 432-7383","Emission Repair Only","ERF003430","CAPE MAY","Auto Only","POINT (-74.65004198899999 39.26229672800008)","No","No"
"SUBURBAN WRENCH INC","108 RT 31 NORTH","PENNINGTON","NJ","08534","(609) 737-1235","Emission Repair Only","ERF002777","MERCER","Auto Only","POINT (-74.79743699499994 40.350570927000035)","Yes","Yes"
"WYCKOFF MOTORS INC","276 GODWIN AVE","WYCKOFF","NJ","07481","(201) 848-0878","Inspections Only","PIF000302","BERGEN","Auto Only","POINT (-74.16410297799996 41.010888014000045)","No","No"
"BERGEN IMPORTS INC","228 PALISADES AVE","CLIFFSIDE PK","NJ","07010","(201) 943-2915","Inspections Only","PIF006554","BERGEN","Auto Only","POINT (-73.99217103299998 40.81233200200006)","No","No"
"DOUGLAS MOTORS CORP","491 MORRIS AVE","SUMMIT","NJ","07901","(908) 277-3300","Emission Repair & Inspections","ERF001627","UNION","Auto Inspection and Emission Repair","POINT (-74.37145997399995 40.72509243300004)","No","No"
"WARDS AUTOMOTIVE INC","903 PLEASANT VALLEY AVE","MT LAUREL","NJ","08054","(856) 235-7661","Emission Repair & Inspections","ERF000414","BURLINGTON","Auto Inspection and Emission Repair","POINT (-74.94490299099994 39.945382997000024)","No","No"
"NEW VERNON COACH & MTR WORK","960 MT KEMBLE AVE","MORRISTOWN","NJ","07960","(973) 425-0700","Emission Repair & Inspections","ERF000916","MORRIS","Auto Inspection and Emission Repair","POINT (-74.53245996199996 40.74514501300007)","No","No"
"DURAN'S AUTO INSP CTR","197 MADISON ST","PATERSON","NJ","07501","(973) 825-8852","Inspections Only","PIF000950","PASSAIC","Auto Only","POINT (-74.16521198799995 40.90791801000007)","No","No"
"MILLER AUTO LEASING","285 HIGHLAND CROSS","RUTHERFORD","NJ","07070","(609) 261-6847","Inspections Only","PIF001131","BERGEN","Diesel Only","POINT (-74.09825993399994 40.81972042700005)","No","No"
"GABRIELLI KENWORTH NJ LLC","2306 US ROUTE 130 NORTH","DAYTON","NJ","08810","(732) 997-4203","Inspections Only","PIF001121","MIDDLESEX","Diesel Only","POINT (-74.50084087899995 40.37661491500006)","No","No"
"NJ TRANSIT BUS OPERATIONS I","601 DOREMUS AVE","NEWARK","NJ","07105","(973) 491-8868","Emission Repair Only","ERF001098","ESSEX","Auto Only","POINT (-74.12927356899996 40.71477960000004)","No","No"
"OLMI CORP","126 WEST BROADWAY","PATERSON","NJ","07522","(973) 942-1880","Inspections Only","PIF000564","PASSAIC","Auto Only","POINT (-74.17679301199996 40.922381990000076)","No","No"
"SMS OIL LLC","145 BROADWAY","HILLSDALE","NJ","07642","(201) 664-4658","Inspections Only","PIF000577","BERGEN","Auto Only","POINT (-74.04116099399994 41.00446198600008)","No","No"
"SCHEELER TRKS SLS & SR CORP","394 400 OAK ST","PASSAIC","NJ","07055","(973) 777-7172","Inspections Only","PIF000762","PASSAIC","Diesel Only","POINT (-74.136585235 40.86337036600003)","No","No"
"PALISADE SERVICE INC","73 PALISADE AVE","CLIFFSIDE PARK","NJ","07010","(201) 943-1511","Emission Repair & Inspections","ERF000009","BERGEN","Auto Inspection and Emission Repair","POINT (-73.99562303599998 40.80750700100003)","No","No"
"GLENN BOURKE ENTRPRSE INC","681 PIERMONT RD","CLOSTER","NJ","07624","(201) 767-0660","Inspections Only","PIF001272","MONMOUTH","Auto Only","POINT (-73.95476568699996 40.96606554500005)","No","No"
"ACE DRIVE PRODS & SRVS INC","520 YORK ST","ELIZABETH","NJ","07201","(908) 820-4343","Inspections Only","PIF000857","UNION","Diesel Only","POINT (-74.18813900799995 40.66163498000003)","No","No"
"RYAN AUTO SERVICES LLC","1415 BRACES ROAD","CHERRY HILL","NJ","08034","(856) 428-4440","Inspections Only","PIF000412","CAMDEN","Auto Only","POINT (-75.01704401999996 39.892412010000044)","No","No"
"FLEMINGTON CH BU GMC C LLC","211 RTE 202 & 31 SO","FLEMINGTON","NJ","08822","(908) 782-3331","Emission Repair Only","ERF002156","HUNTERDON","Auto Only","POINT (-74.86299641499994 40.487177608000025)","No","No"
"RAINERIS SERVICE STATION IN","179 MAIN AVE","PASSAIC","NJ","07055","(973) 773-6850","Inspections Only","PIF007459","PASSAIC","Auto Only","POINT (-74.12820051399996 40.84515731100004)","No","No"
"S & E GAS & REPAIR","663 SEASHORE RD","ERMA","NJ","08204","(609) 884-8681","Emission Repair & Inspections","ERF000220","CAPE MAY","Auto Inspection and Emission Repair","POINT (-74.90170601499995 38.98831197900006)","No","No"
"RAINEYS SERVICENTER","498 ELK RD","MONROEVILLE","NJ","08343","(856) 881-0806","Emission Repair & Inspections","ERF000533","GLOUCESTER","Auto Inspection and Emission Repair","POINT (-75.17972703799995 39.66290100000003)","No","No"
"PACIFICO  BROS INC","569 MORRIS AVE","SPRINGFIELD","NJ","07081","(973) 376-9715","Emission Repair & Inspections","ERF001504","UNION","Auto Inspection and Emission Repair","POINT (-74.32447181199997 40.71655613000007)","No","No"
"CORSEL AUTO SERVICE","397 HALSTEAD STREET","EAST ORANGE","NJ","07018","(973) 518-0540","Inspections Only","PIF001093","ESSEX","Auto Only","POINT (-74.22495853999999 40.753759126000034)","No","No"
"PRESTIGE MOTORWERKS INC","985 RTE 17 SOUTH","RAMSEY","NJ","07446","(201) 258-6000","Emission Repair Only","ERF001557","BERGEN","Auto Only","POINT (-74.13196507499998 41.06581489200005)","No","No"
"SERVICE AUTOMOTIVE INC","283 DELSEA DR","SEWELL","NJ","08080","(856) 582-4196","Emission Repair & Inspections","ERF001030","GLOUCESTER","Auto Inspection and Emission Repair","POINT (-75.10759195999998 39.76705901300005)","No","No"
"IDEAL GARAGE","369 NEW BRUNSWICK AVE","FORDS","NJ","08863","(732) 738-1566","Emission Repair & Inspections","ERF001324","MIDDLESEX","Auto Inspection and Emission Repair","POINT (-74.30637203799995 40.526322020000066)","No","No"
"PARK AVE MOTOR CORP","250 W PASSAIC ST","MAYWOOD","NJ","07607","(201) 587-9001","Emission Repair Only","ERF002700","BERGEN","Auto Only","POINT (-74.06925503799994 40.90661399600003)","No","No"
"PRODIGY AUTOMOTIVE","1208 BAY AVENUE","PT PLEASANT","NJ","08742","(732) 892-8994","Emission Repair & Inspections","ERF002876","OCEAN","Auto Only","POINT (-74.05379696499995 40.081137014000035)","No","No"
"LAKEVIEW AUTO CORP","316 LAKEVIEW AVE","CLIFTON","NJ","07011","(973) 546-1125","Emission Repair & Inspections","ERF002843","PASSAIC","Auto Inspection and Emission Repair","POINT (-74.13866297999994 40.88581799100007)","No","No"
"AUTO BOYS LLC","1229 SOUTH CLINTON AVENUE","TRENTON","NJ","08611","(609) 393-1739","Inspections Only","PIF001257","MERCER","Auto Only","POINT (-74.74299601999996 40.20571598300006)","No","No"
"PRINCETON SUNOCO","273 NASSUA STREET","PRINCETON","NJ","08540","(609) 921-6682","Inspections Only","PIF011158","MERCER","Auto Only","POINT (-74.64926697999994 40.35246600900007)","No","No"
"ACCU MAXX ATO & TRK LLC","125 MIDDLE ROAD","HAMMONTON","NJ","08037","(609) 704-0800","Inspections Only","PIF000932","ATLANTIC","Auto and Diesel","POINT (-74.78349997399994 39.65194199700005)","No","No"
"WEST JERSEY ENTERPRISES INC","28 DEMAREST RD","SPARTA","NJ","07871","(973) 729-3938","Inspections Only","PIF000448","SUSSEX","Auto and Diesel","POINT (-74.667263103 41.06889838200004)","No","No"
"MOBILE DIESEL INSP LLC","188 PROSPECT STREET","NUTLEY","NJ","07110","(862) 754-6040","Inspections Only","PIF001115","ESSEX","Diesel Only","POINT (-74.16659298999997 40.81465500400003)","No","No"
"J H CASTOR ENTERP INC","883 JARVIS RD","ERIAL","NJ","08081","(856) 627-6620","Emission Repair & Inspections","ERF001380","CAMDEN","Auto Inspection and Emission Repair","POINT (-75.00453402999995 39.766124012000034)","No","No"
"BUDGET TRUCK REPAIR","3526 NORTH WEST BLVD","VINELAND","NJ","08360","(856) 691-5061","Inspections Only","PIF001202","CUMBERLAND","Diesel Only","POINT (-75.02279299999998 39.537428017000025)","No","No"
"ITALIANO BROS TRK REPAIR IN","1689 GALLAGHER DRIVE","VINELAND","NJ","08360","(856) 691-8889","Inspections Only","PIF000830","CUMBERLAND","Diesel Only","POINT (-75.05278696999994 39.536470007000055)","No","No"
"AOP OPERATING COMPANY LLC","959 US ROUTE 206","PRINCETON","NJ","08540","(609) 683-0722","Emission Repair & Inspections","ERF003388","MERCER","Auto Only","POINT (-74.69443561199995 40.325798957000075)","No","No"
"GENTILINI FORD INC","555 JOHN S PENN BLVD","WOODBINE","NJ","08270","(609) 861-0100","Emission Repair Only","ERF001630","CAPE MAY","Auto Only","POINT (-74.78566200199998 39.22337998100005)","No","No"
"GC AUTOMOTIVE II LLC.","21 VANDERBURG ROAD","MARLBORO","NJ","07746","(732) 431-4646","Inspections Only","PIF001297","MONMOUTH","Auto Only","POINT (-74.24426765299995 40.31505400300006)","No","No"
"HOAGLANDS AUTO REPAIRS","BROADWY & BURLNG","GLOUCESTER","NJ","08030","(856) 456-7460","Inspections Only","PIF004731","CAMDEN","Auto Only","POINT (-75.12935785599996 39.867581044000076)","No","No"
"SALEM COUNTY RECYCLERS INC","509 RTE 49","BRIDGETON","NJ","08302","(856) 451-1998","Emission Repair Only","ERF003157","CUMBERLAND","Auto Only","POINT (-75.34199900699997 39.50249798600004)","No","No"
"HOLMAN PRINCETON ATMTVE LLC","3630 QUAKERBRIDGE ROAD","HAMILTON","NJ","08619","(856) 840-1400","Emission Repair Only","ERF003367","MERCER","Auto Only","POINT (-74.67731693899998 40.260095168000085)","No","No"
"DAN AUTOMOTIVE INC","116 AMBOY AVE","WOODBRIDGE","NJ","07095","(732) 634-0866","Emission Repair & Inspections","ERF000834","MIDDLESEX","Auto Inspection and Emission Repair","POINT (-74.27673304199999 40.54490298100007)","No","No"
"WERBANY MOTORS INC","1337 BLK HORSE P","BLACKWOOD","NJ","08012","(856) 227-0049","Emission Repair & Inspections","ERF000165","CAMDEN","Auto Inspection and Emission Repair","POINT (-75.06059999999997 39.79539500000004)","No","No"
"MANNYS AUTO REPAIRS","221 4TH ST","FAIRVIEW","NJ","07022","(201) 943-8008","Emission Repair & Inspections","ERF003363","BERGEN","Auto Inspection and Emission Repair","POINT (-73.99629501299995 40.81640401400006)","No","No"
"PEARL EXPRESS LUB PLUS LLC","2401 NEW ROAD","NORTHFIELD","NJ","08225","(609) 641-2886","Emission Repair & Inspections","ERF003156","ATLANTIC","Auto Inspection and Emission Repair","POINT (-74.56490496899994 39.36332101000005)","No","No"
"MICHAEL BROS ATMTIVE RP LLC","270 COUNTY ROAD 513","GLEN GARDNER","NJ","08826","(908) 638-8044","Emission Repair & Inspections","ERF002918","HUNTERDON","Auto Inspection and Emission Repair","POINT (-74.88439696599994 40.70077901300005)","No","No"
"SPECIALTY AUTOMOTIVE INC","1874 HWY 88E","BRICK","NJ","08723","(732) 840-1150","Emission Repair & Inspections","ERF000673","OCEAN","Auto Inspection and Emission Repair","POINT (-74.12293702099998 40.07106900700006)","No","No"
"DELUXE INTERNATIONAL TRKS I","600 SOUTH RIVER ST","HACKENSACK","NJ","07601","(201) 641-2000","Inspections Only","PIF000772","BERGEN","Diesel Only","POINT (-74.03413301999996 40.85926898300005)","No","No"
"CROWN CADILLAC INC","1584 US HWY 22","WATCHUNG","NJ","07060","(908) 561-2900","Emission Repair Only","ERF002834","UNION","Auto Only","POINT (-74.41395703399996 40.641537020000044)","No","No"
"XPRESS AUTO SERVICE","2425 ATLANTIC AVE","ATLANTIC CITY","NJ","08401","(609) 348-0894","Emission Repair & Inspections","ERF000992","ATLANTIC","Auto Inspection and Emission Repair","POINT (-74.44161002299995 39.35683299800007)","No","No"
"TELEMARK AUTO REPAIR","30 TELEMARK RD","ROCKAWAY","NJ","07866","(973) 627-9899","Inspections Only","PIF009341","MORRIS","Auto Only","POINT (-74.50035903299994 40.95877701000007)","No","No"
"UNITED GALAXY INC","700 RTE 46 WEST","LITTLE FALLS","NJ","07424","(973) 890-5900","Emission Repair Only","ERF002559","PASSAIC","Auto Only","POINT (-74.20737002699997 40.881559984000035)","No","No"
"WIESENTHALS INC","860 WEST AVENUE","OCEAN CITY","NJ","08226","(609) 399-9741","Emission Repair & Inspections","ERF000599","CAPE MAY","Auto Inspection and Emission Repair","POINT (-74.57644396899997 39.27990554500008)","No","No"
"SPARK AUTO REPAIRS INC","280 HAZEL STREET","CLIFTON","NJ","07011","(973) 772-9440","Emission Repair & Inspections","ERF002741","PASSAIC","Auto Inspection and Emission Repair","POINT (-74.15952000499993 40.887750020000055)","No","No"
"FOLEY INC","855 CENTENNIAL A","PISCATAWAY","NJ","08855","(732) 885-5555","Inspections Only","PIF000791","MIDDLESEX","Diesel Only","POINT (-74.48648639899994 40.549401430000046)","No","No"
"SJI INC","16 HOOPER ST","WESTWOOD","NJ","07675","(201) 664-8485","Inspections Only","PIF000742","BERGEN","Diesel Only","POINT (-74.01037200099995 40.98355999300003)","No","No"
"G&J CAR CARE LLC","1401 ST. GEORGE AVE","ROSELLE","NJ","07203","(908) 298-8015","Inspections Only","PIF000690","UNION","Auto Only","POINT (-74.24479103399995 40.648941007000076)","No","No"
"SANSONE NISSAN INC","90 US ROUTE 1","AVENEL","NJ","07001","(732) 587-1100","Emission Repair Only","ERF003177","MIDDLESEX","Auto Only","POINT (-74.27418703899998 40.59143499000004)","No","No"
"SANSONE HYUNDAI INC","90-100 ROUTE 1","AVENEL","NJ","07001","(732) 587-1100","Emission Repair Only","ERF003176","MIDDLESEX","Auto Only","POINT (-74.27418703899998 40.59143499000004)","No","No"
"WESTFIELD GULF INC","400 CENTRAL AVE","WESTFIELD","NJ","07090","(908) 232-9717","Emission Repair Only","ERF000416","UNION","Auto Only","POINT (-74.34287598099996 40.648858990000065)","No","No"
"CRUZANS TRUCK SERVICE","489 STOW CREEK RD","BRIDGETON","NJ","08302","(856) 455-4242","Inspections Only","PIF000725","CUMBERLAND","Diesel Only","POINT (-75.381942967 39.44790501600005)","No","No"
"MILLER AUTO LEASING CO","63 REPAUPO STATION RD","LOGAN TWP","NJ","08085","(856) 848-3179","Inspections Only","PIF000864","GLOUCESTER","Diesel Only","POINT (-75.30325456299994 39.802943570000025)","No","No"
"JACK'S AUTO","2395 LAMINGTON RD POB349","BEDMINSTER","NJ","07921","(908) 234-0172","Emission Repair & Inspections","ERF000270","SOMERSET","Auto Inspection and Emission Repair","POINT (-74.64921400599998 40.67971197900005)","No","No"
"SUNSET TEXACO INC","650 A SEASHORE RD","ERMA","NJ","08204","(609) 884-5105","Emission Repair & Inspections","ERF000370","CAPE MAY","Auto Inspection and Emission Repair","POINT (-74.90246901999996 38.98763400900003)","No","No"
"SITAR'S SERVICE INC","147 WASHINGTON AVE","CARTERET","NJ","07008","(732) 541-1955","Emission Repair Only","ERF001895","MIDDLESEX","Auto Only","POINT (-74.22652301099998 40.57869500000004)","No","No"
"ZYDON ENTRPRZ FLT SYS LLC","346 RUTHERFORD AVENUE","FRANKLIN","NJ","07416","(973) 670-8938","Inspections Only","PIF000838","SUSSEX","Diesel Only","POINT (-74.58012197799997 41.12460898300003)","No","No"
"POMPTON AUTO CARE LLC","289 WANAQUE AVENUE","POMPTON","NJ","07442","(973) 835-7828","Emission Repair & Inspections","ERF003246","PASSAIC","Auto Inspection and Emission Repair","POINT (-74.29119702199995 41.00309200600003)","No","No"
"AJW INC","558 ALPS ROAD","WAYNE","NJ","07470","(973) 694-1653","Emission Repair & Inspections","ERF000084","PASSAIC","Auto Inspection and Emission Repair","POINT (-74.24588001099994 40.92651200500006)","No","No"
"CMQ AUTO LLC","660 NEWARK ST","HOBOKEN","NJ","07030","(201) 792-9721","Inspections Only","PIF001187","HUDSON","Auto Only","POINT (-74.04206260899997 40.73646844600006)","No","No"
"MASON AUTO REPAIR","26 PASSAIC ST","TRENTON","NJ","08618","(609) 392-0611","Emission Repair & Inspections","ERF001839","MERCER","Auto Inspection and Emission Repair","POINT (-74.77001422399996 40.22335204400008)","No","No"
"DEES SHELL INC","19 BEACH STREET","BLOOMFIELD","NJ","07003","(973) 748-8873","Emission Repair & Inspections","ERF001214","ESSEX","Auto Inspection and Emission Repair","POINT (-74.19146796399997 40.79780700200007)","No","No"
"SEASIDE PARK SERV CNTR INC","912 N E CENTRAL AVE","SEASIDE PK","NJ","08752","(732) 793-6260","Inspections Only","PIF008965","OCEAN","Auto Only","POINT (-74.07709235799996 39.92953292600004)","No","No"
"LUBE XPRESS INC","931 RT 166","TOMS RIVER","NJ","08753","(732) 228-7555","Inspections Only","PIF001027","OCEAN","Auto Only","POINT (-74.20154502299995 39.96590998500005)","No","No"
"K&M TIRE&AUTO CENTER INC","440 RT 37 E","TOMS RIVER","NJ","08753","(732) 270-6000","Emission Repair Only","ERF003436","OCEAN","Auto Only","POINT (-74.16529670199998 39.95556711800003)","No","No"
"AVO-JACK CAR SERVICE","660 MAIN STREET","LODI","NJ","07644","(201) 845-0046","Emission Repair & Inspections","ERF002028","BERGEN","Auto Inspection and Emission Repair","POINT (-74.07825896199995 40.89476001500003)","No","No"
