"loanrange","businessname","address","city","state","zip","naicscode","businesstype","raceethnicity","gender","veteran","nonprofit","jobsretained","dateapproved","lender","cd","geocoded_column"
"e $150,000-350,000","KAMIEL FITNESS HOLDINGS","576 PO BOX","ALPINE","NJ","07620","713940","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,"54","2020-04-12T00:00:00.000","Columbia Bank","NJ - 05",
"d $350,000-1 million","L&M ARCHITECTURAL GRAPHICS, INC","62 Parsppany Blvd","PARSIPPANY","NJ","07054","339950","Corporation","White","Male Owned","Non-Veteran",,"30","2020-04-04T00:00:00.000","Columbia Bank","NJ - 11",
"e $150,000-350,000","LEPPERT GROUP","ONE COUNTY ROAD 560","SANDYSTON","NJ","07826","541211","Subchapter S Corporation","White","Male Owned","Unanswered",,"14","2020-04-14T00:00:00.000","SB One Bank","NJ - 05",
"e $150,000-350,000","LOEBIS HOGAN INC","PO BOX 1092","JACKSON","NJ","08527","531210","Corporation","Unanswered","Unanswered","Unanswered",,"18","2020-04-09T00:00:00.000","OceanFirst Bank, National Association","NJ - 04",
"e $150,000-350,000","LOUBO INC","459 Mantua Ave","WOODBURY","NJ","08096","423610","Corporation","Unanswered","Unanswered","Unanswered",,"0","2020-04-30T00:00:00.000","TD Bank, National Association","NJ - 01","POINT (-75.15772 39.831484)"
"b $2-5 million","MODERNFOLD -STYLES INC","15 EMPIRE BLVD","SOUTH HACKENSACK","NJ","07606","238990","Corporation","Unanswered","Unanswered","Unanswered",,"89","2020-04-06T00:00:00.000","Columbia Bank","NJ - 05","POINT (-74.083339 40.854103)"
"c $1-2 million","MORGAN ENGINEERING, LLC","5232 P.O. Box","TOMS RIVER","NJ","08754","236117","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"86","2020-04-08T00:00:00.000","OceanFirst Bank, National Association","NJ - 03",
"e $150,000-350,000","MRI SERVICES INC.","46 ROUTE 156 Suite 8","TRENTON","NJ","08620","454113","Corporation","Unanswered","Unanswered","Unanswered",,"17","2020-04-30T00:00:00.000","First Bank","NJ - 03","POINT (-74.677012 40.175459)"
"e $150,000-350,000","MYONG DONG OF NEW JERSEY INC","365 Route 17 South","PARAMUS","NJ","07652","722511","Corporation","Asian","Unanswered","Unanswered",,"39","2020-04-15T00:00:00.000","Bank of Hope","NJ - 05",
"e $150,000-350,000","PETWIL XIV, INC.","730 Route 18 North","EAST BRUNSWICK","NJ","08816","722513","Corporation","Unanswered","Unanswered","Unanswered",,,"2020-04-13T00:00:00.000","TD Bank, National Association","NJ - 06",
"e $150,000-350,000","PHOENIX TRUX NJ CORP","6056 ROUTE 35 N","SOUTH AMBOY","NJ","08879","441120","Corporation","Unanswered","Unanswered","Unanswered",,"23","2020-04-29T00:00:00.000","Customers Bank","NJ - 06",
"d $350,000-1 million","PINE BELT CHRYSLER JEEP INC","1088 Route 88","LAKEWOOD","NJ","08701","441110","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,,"2020-04-11T00:00:00.000","Ally Bank","NJ - 03",
"d $350,000-1 million","ROBERT H. HOOVER & SONS, INC.","PO Box 179","FLANDERS","NJ","07836","811111","Corporation","Unanswered","Male Owned","Non-Veteran",,"41","2020-04-27T00:00:00.000","FNCB Bank","NJ - 07",
"d $350,000-1 million","SOUTH JERSEY AGRUCULTURAL PRODUCTS INC","PO BOX 895","ELMER","NJ","08318","562119","Cooperative","Unanswered","Unanswered","Unanswered",,"46","2020-04-06T00:00:00.000","OceanFirst Bank, National Association","NJ - 02",
"e $150,000-350,000","SPARK ELECTRIC, LLC","420 ALLEN STREET","LINDEN","NJ","07036","238210","Limited  Liability Company(LLC)","Unanswered","Male Owned","Non-Veteran",,"9","2020-04-27T00:00:00.000","Popular Bank","NJ - 07",
"c $1-2 million","THE BERGEN ANESTHESIA GROUP PC","500 MAIN ST","WYCKOFF","NJ","07481","621111","Corporation","Unanswered","Male Owned","Unanswered",,"47","2020-04-07T00:00:00.000","Columbia Bank","NJ - 05",
"d $350,000-1 million","THE ELM GROUP, INC.","345 Wall Street, Research Park","PRINCETON","NJ","08540","541620","Corporation","Unanswered","Unanswered","Unanswered",,"42","2020-04-30T00:00:00.000","Santander Bank, National Association","NJ - 07",
"d $350,000-1 million","TONY SANCHEZ LTD","P  O Box 649","STANHOPE","NJ","07874","336211","Corporation","Unanswered","Unanswered","Unanswered",,"32","2020-04-11T00:00:00.000","Fulton Bank, National Association","NJ - 05",
"e $150,000-350,000","TRANSREACH TALENT LLC","197 Route 18 S #3000","EAST BRUSNWICK","NJ","08816","541990","Corporation","Unanswered","Unanswered","Unanswered",,"10","2020-04-14T00:00:00.000","WebBank","NJ - 06",
"c $1-2 million","UNIVERSAL GLOBAL, INC","540 ROUTE 440N","JERSEY CITY","NJ","07305","441110","Corporation","Unanswered","Unanswered","Unanswered",,"109","2020-04-15T00:00:00.000","Toyota Financial Savings Bank","NJ - 08",
"e $150,000-350,000","UROLOGY GROUP OF PRINCETON, PA","134 Stanhope Street Forrestal Village","PRINCETON","NJ","08540","621111","Corporation","Unanswered","Unanswered","Unanswered",,"18","2020-04-29T00:00:00.000","Cross River Bank","NJ - 07",
"d $350,000-1 million","VICTORY SUBARU LLC","1233 RT 27","SOMERSET","NJ","08873","441110","Corporation","Unanswered","Unanswered","Unanswered",,"0","2020-05-14T00:00:00.000","Wells Fargo Bank, National Association","NJ - 06",
"d $350,000-1 million","OCEAN HOSPITALITY","695 Cross St","LAKEWOOD TOWNSHIP","NJ","08701","721110","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"70","2020-04-14T00:00:00.000","Cross River Bank","NJ - 03","POINT (-74.243654 40.070269)"
"e $150,000-350,000","B & A CONSTRUCTION CO., INC.","160 RARITAN CENTER PKWY Unit 20","EDISON","NJ","08837","531312","Corporation","Unanswered","Unanswered","Unanswered",,"12","2020-04-08T00:00:00.000","Valley National Bank","NJ - 06","POINT (-74.339333 40.516609)"
"e $150,000-350,000","HADDAD UNITED LLC","330 HURST ST","LINDEN","NJ","07036","315990","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"0","2020-04-29T00:00:00.000","Signature Bank","NJ - 07","POINT (-74.269195 40.621177)"
"e $150,000-350,000","ADVANCED BUILDING CONTROLS INC.","339 Changebridge Rd Suite 2G","PINE BROOK","NJ","07058","238220","Corporation","Unanswered","Unanswered","Unanswered",,"0","2020-04-29T00:00:00.000","TD Bank, National Association","NJ - 11","POINT (-74.344878 40.864123)"
"e $150,000-350,000","NONSTOP EXPRESS INC","420 PLEASANT AVE","PISCATAWAY","NJ","08854","484110","Corporation","Unanswered","Unanswered","Unanswered",,"21","2020-06-24T00:00:00.000","WebBank","NJ - 06","POINT (-74.442985 40.595269)"
"e $150,000-350,000","REME MANAGEMENT LLC","29 Avenel Boulevard","LONG BRANCH","NJ","07740","722511","Corporation","Unanswered","Male Owned","Unanswered",,"30","2020-04-04T00:00:00.000","Republic First Bank d/b/a Republic Bank","NJ - 04","POINT (-73.97838 40.317909)"
"e $150,000-350,000","SOUTH JERSEY OVERHEAD DOOR","1360 N Delsea Drive","VINELAND","NJ","08360","238290","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,"18","2020-04-15T00:00:00.000","OceanFirst Bank, National Association","NJ - 02","POINT (-75.041551 39.506774)"
"b $2-5 million","REED-LANE, INC.","359 NEWARK POMPTON TPKE","WAYNE","NJ","07470","322212","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,"175","2020-04-07T00:00:00.000","Valley National Bank","NJ - 11","POINT (-74.273788 40.936423)"
"e $150,000-350,000","AJL THERAPY FOR KIDS","7 ROSEMERE AVENUE","WEST CALDWELL","NJ","07006","813410","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,,"2020-05-03T00:00:00.000","Wells Fargo Bank, National Association","NJ - 11","POINT (-74.274474 40.858781)"
"e $150,000-350,000","2465 BROADWAY ASSOCIATES LLC","265 CEDAR LN","TEANECK","NJ","07666","531120","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"9","2020-04-16T00:00:00.000","PNC Bank, National Association","NJ - 05","POINT (-74.01652 40.887222)"
"b $2-5 million","KEY FOOD STORES CO-OPERATIVE INC","100 Matawan Road","MATAWAN","NJ","07747","424410","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,,"2020-04-15T00:00:00.000","Citizens Bank, National Association","NJ - 04","POINT (-74.250682 40.431333)"
"e $150,000-350,000","RAN TRUCKING, INC.","1109 AMBOY AVE","EDISON","NJ","08837","484110","Corporation","Unanswered","Unanswered","Unanswered",,"17","2020-04-28T00:00:00.000","Affinity FCU","NJ - 06","POINT (-74.341966 40.5358)"
"b $2-5 million","PROTECH POWDER COATINGS, INC.","21 AUDREY PL","FAIRFIELD","NJ","07004","325510","Corporation","Unanswered","Unanswered","Unanswered",,"208","2020-04-14T00:00:00.000","PNC Bank, National Association","NJ - 11","POINT (-74.292305 40.873724)"
"e $150,000-350,000","DEBOER LANDSCAPES, LLC","15 TERHUNE ST","OAKLAND","NJ","07436","561730","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"6","2020-05-01T00:00:00.000","JPMorgan Chase Bank, National Association","NJ - 05","POINT (-74.242568 41.025859)"
"d $350,000-1 million","DOBY MANAGEMENT INC","144 STATE ROUTE 34","MATAWAN","NJ","07747",,"Corporation","Unanswered","Unanswered","Unanswered",,"16","2020-05-03T00:00:00.000","Bank of America, National Association","NJ - 04","POINT (-74.288901 40.425128)"
"e $150,000-350,000","FOGLIO'S FLOORING CENTER INC","344 S ROUTE US 9","MARMORA","NJ","08223","444190","Corporation","Unanswered","Unanswered","Unanswered",,"13","2020-04-28T00:00:00.000","Sturdy Savings Bank","NJ - 02","POINT (-74.656246 39.256643)"
"d $350,000-1 million","DIEHL ELECTRIC, INC.","190B South 2nd Road","HAMMONTON","NJ","08037","238210","Limited Liability Partnership","Unanswered","Unanswered","Unanswered",,"19","2020-04-15T00:00:00.000","Republic First Bank d/b/a Republic Bank","NJ - 01","POINT (-74.819939 39.616247)"
"d $350,000-1 million","PEOPLES EDUCATION, INC.","25 Philips Pkwy","MONTVALE","NJ","07645","511130",,"Unanswered","Unanswered","Unanswered",,"24","2020-05-01T00:00:00.000","JPMorgan Chase Bank, National Association","NJ -","POINT (-74.056455 41.049585)"
"e $150,000-350,000","J AND L POULTRY RANCH INC","2180 East Oak Road","VINELAND","NJ","08360","112310","Corporation","Unanswered","Unanswered","Unanswered",,"19","2020-04-27T00:00:00.000","Newfield National Bank","NJ - 02","POINT (-74.983978 39.498785)"
"e $150,000-350,000","M &AMP; P EXPORT MANAGEMENT CORP","140 CENTRAL AVENUE","FARMINGDALE","NJ","07727","493110","Corporation","Unanswered","Unanswered","Unanswered",,,"2020-05-03T00:00:00.000","Wells Fargo Bank, National Association","NJ - 04","POINT (-74.162083 40.188053)"
"e $150,000-350,000","MILLBURN PEDIATRICS PA","159 Millburn Ave","MILLBURN","NJ","07041","621111","Corporation","Unanswered","Unanswered","Unanswered",,"17","2020-05-03T00:00:00.000","Bank of America, National Association","NJ - 07","POINT (-74.29266 40.721786)"
"e $150,000-350,000","SHAMY, SHIPERS & LONSKI PC","334 MILLTOWN RD","EAST BRUNSWICK","NJ","08816","541110","Corporation","Unanswered","Male Owned","Unanswered",,"11","2020-04-11T00:00:00.000","Provident Bank","NJ - 06","POINT (-74.427987 40.438402)"
"e $150,000-350,000","B&B MCENTEE CONSTRUCTION COMPANY LLC","20 Edison Drive","WAYNE","NJ","07470","236220","Limited  Liability Company(LLC)","Unanswered","Unanswered","Non-Veteran",,"26","2020-04-09T00:00:00.000","ConnectOne Bank","NJ - 11","POINT (-74.243465 40.912009)"
"d $350,000-1 million","GIRL SCOUTS OF NORTHERN NEW JERSEY","252 SUSSEX RD 45 HILLCREST AVE","WOOD RIDGE","NJ","07075","813410","Non-Profit Organization","Unanswered","Female Owned","Unanswered","true","309","2020-04-27T00:00:00.000","Kearny Bank","NJ - 09",
"d $350,000-1 million","BRAVE NEW WORLD INC","506 NEW YORK AVE","POINT PLEASANT BEACH","NJ","08742","452210","Corporation","Unanswered","Male Owned","Unanswered",,"75","2020-04-07T00:00:00.000","Manasquan Bank","NJ - 03","POINT (-74.048229 40.086343)"
"c $1-2 million","NEW HORIZONS IN AUTISM, INC.","906 Route 33 East","FREEHOLD","NJ","07728","624190","Corporation","Unanswered","Unanswered","Unanswered",,"0","2020-04-30T00:00:00.000","Sterling National Bank","NJ - 04",
"e $150,000-350,000","GUTTER MASTER LLC-SBA SMALL 7A TERM","14 Twin Oaks Ct","JACKSON","NJ","07731","238160","Limited  Liability Company(LLC)","Unanswered","Male Owned","Non-Veteran",,"0","2020-05-03T00:00:00.000","TD Bank, National Association","NJ - 03","POINT (-74.409215 40.141398)"
"e $150,000-350,000","DELICE GLOBAL INC","150 ROOSEVELT PLACE","PALISADES PARK","NJ","07650","333241","Corporation","Unanswered","Unanswered","Unanswered",,"19","2020-04-15T00:00:00.000","WebBank","NJ - 09","POINT (-74.004254 40.850992)"
"b $2-5 million","AMERICAN HUTS, INC.","350 Passaic Avenue 2nd Floor","FAIRFIELD","NJ","07004","722513","Corporation","Unanswered","Unanswered","Unanswered",,"500","2020-04-14T00:00:00.000","City National Bank of Florida","NJ - 11","POINT (-74.272436 40.88614)"
"e $150,000-350,000","ARCHITECTURAL PRODUCTS BY OUTWATER LLC","24 River Rd","BOGOTA","NJ","07603","423990","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"30","2020-05-03T00:00:00.000","Bank of America, National Association","NJ - 05","POINT (-74.032533 40.870124)"
"d $350,000-1 million","PRO SPORTS INC","1 Champion Way","MARLBORO","NJ","07746","423910","Corporation","Unanswered","Unanswered","Unanswered",,"44","2020-04-12T00:00:00.000","Valley National Bank","NJ - 04","POINT (-74.236218 40.313863)"
"e $150,000-350,000","DENTAL CARE HILLSBOROUGH, LLC","706 B US Highway 206","HILLSBOROUGH","NJ","08844","621210","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"18","2020-04-12T00:00:00.000","Bank of America, National Association","NJ - 07","POINT (-74.64834 40.49437)"
"e $150,000-350,000","DIMEGIO SEPTIC INC.","491 WHITE HORSE PIKE","HAMMONTON","NJ","08037","562991","Corporation","Unanswered","Unanswered","Unanswered",,"30","2020-04-14T00:00:00.000","TD Bank, National Association","NJ - 01","POINT (-74.83961 39.692923)"
"e $150,000-350,000","ALLACUSERVICES LLC","1 UNIVERSITY PLAZA DR SUITE 129","HACKENSACK","NJ","07601","561110","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"20","2020-04-12T00:00:00.000","TD Bank, National Association","NJ - 05","POINT (-74.034296 40.898784)"
"d $350,000-1 million","J.A. HEILFERTY, LLC","133 Cedar Lane","TEANECK","NJ","07666","423930","Limited  Liability Company(LLC)","Unanswered","Female Owned","Unanswered",,"22","2020-04-15T00:00:00.000","Valley National Bank","NJ - 05","POINT (-74.011431 40.885585)"
"e $150,000-350,000","BLUE MEADOW LANDSCAPING & TREE SURGERY","78 Pulis Ave","FRANKLIN LAKES","NJ","07417","541320","Corporation","Unanswered","Unanswered","Unanswered",,"19","2020-04-13T00:00:00.000","TD Bank, National Association","NJ - 05","POINT (-74.178787 41.032435)"
"e $150,000-350,000","FLAVOR UNIT ENTERTAINMENT INC","61 DEANS LN","MONMOUTH JUNCTION","NJ","08852","711510","Corporation","Unanswered","Unanswered","Unanswered",,"11","2020-04-14T00:00:00.000","PNC Bank, National Association","NJ - 12","POINT (-74.526167 40.417738)"
"d $350,000-1 million","ROBERT KARDANE","3409 ROSE AVE","OCEAN","NJ","07712","424410","Corporation","Unanswered","Unanswered","Unanswered",,"72","2020-05-03T00:00:00.000","PNC Bank, National Association","NJ - 04","POINT (-74.044074 40.240654)"
"c $1-2 million","PAUL MILLER PERFORMANCE LLC","1515 STATE ROUTE 23","WAYNE","NJ","07470","441110","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"108","2020-04-09T00:00:00.000","Valley National Bank","NJ - 11","POINT (-74.269339 40.935713)"
"e $150,000-350,000","JACINTO PLUMBING","411 Park Avenue","BERKELEY HEIGHTS","NJ","07922","238220","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,"20","2020-04-27T00:00:00.000","Riverview Bank","NJ - 07","POINT (-74.452466 40.671024)"
"e $150,000-350,000","HOMERICA EAST LLC","53 Commerce Dr","CRANBURY","NJ","08512","442110","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"22","2020-04-14T00:00:00.000","TD Bank, National Association","NJ - 12","POINT (-74.485599 40.34071)"
"e $150,000-350,000","BEST WESTERN ATREA HOTEL","2650 PATERSON PLANK RD","NORTH BERGEN","NJ","07047","721110","Corporation","Unanswered","Male Owned","Non-Veteran",,"9","2020-04-13T00:00:00.000","TD Bank, National Association","NJ - 08","POINT (-74.040097 40.773573)"
"d $350,000-1 million","MODERATE INCOME MANAGEMENT COMPANY INC.","29 EMMONS DR Suite C-10","PRINCETON","NJ","08540","561110","Corporation","Unanswered","Unanswered","Unanswered",,,"2020-04-09T00:00:00.000","TD Bank, National Association","NJ - 07","POINT (-74.66654 40.311223)"
"e $150,000-350,000","PROFESSIONAL RISK SOLUTIONS","37 MOUNTAIN BLVD","WARREN","NJ","07059","524210","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"17","2020-04-11T00:00:00.000","First Financial Bank","NJ - 07","POINT (-74.488841 40.61975)"
"e $150,000-350,000","E&J ELECTRICAL CONTRACTOR LLC","501 ADAMS LANE SUITE 3","NORTH BRUNSWICK","NJ","08902","238210","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"0","2020-05-07T00:00:00.000","Wells Fargo Bank, National Association","NJ - 06","POINT (-74.479949 40.441855)"
"e $150,000-350,000","MP INTERNATIONAL INC.","271 Grove Avenue","VERONA","NJ","07044","541512","Corporation","Unanswered","Unanswered","Unanswered",,"0","2020-05-01T00:00:00.000","TD Bank, National Association","NJ - 10","POINT (-74.237022 40.84477)"
"d $350,000-1 million","CENTRON ENTERPRISES LLC","23 N MICHIGAN AVENUE","KENILWORTH","NJ","07033","238330","Limited Liability Partnership","Unanswered","Unanswered","Unanswered",,"28","2020-04-27T00:00:00.000","Columbia Bank","NJ - 07","POINT (-74.287086 40.678172)"
"e $150,000-350,000","KISMET RUBBER PRODUCTS CORPORATION","49 ACKERMAN ST","BLOOMFIELD","NJ","07003","339991","Corporation","Unanswered","Unanswered","Unanswered",,"31","2020-04-28T00:00:00.000","First Bank","NJ - 09","POINT (-74.183175 40.820544)"
"e $150,000-350,000","CITY RENEWAL MANAGEMENT CORP","1985 CEDARBRIDGE AVE STE 1","LAKEWOOD","NJ","08701","531311","Corporation","Unanswered","Unanswered","Unanswered",,"23","2020-04-10T00:00:00.000","Western Alliance Bank","NJ - 03","POINT (-74.169348 40.069684)"
"e $150,000-350,000","PRIME INSURANCE AGENCY INC.","960 E COUNTY LINE RD","LAKEWOOD","NJ","08701","524210","Corporation","Unanswered","Unanswered","Unanswered",,"28","2020-04-06T00:00:00.000","First Commerce Bank","NJ - 03","POINT (-74.191236 40.105555)"
"e $150,000-350,000","APPLE FOOD SERVICE OF PARSIPPANY LLC","7 PEARL CT","ALLENDALE","NJ","07401","722513","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"46","2020-04-08T00:00:00.000","TD Bank, National Association","NJ - 05","POINT (-74.118253 41.041858)"
"e $150,000-350,000","HAINES FAMILY DENTAL LLC","1104 COOPER ST","WOODBURY","NJ","08096","621210","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"15","2020-04-11T00:00:00.000","TD Bank, National Association","NJ - 01","POINT (-75.121407 39.82735)"
"c $1-2 million","R &AMP; S JAGUAR LP","920 US Highway 1","EDISON","NJ","08817","423220","Partnership","Unanswered","Unanswered","Unanswered",,"60","2020-05-03T00:00:00.000","Bank of America, National Association","NJ - 06","POINT (-74.370346 40.517035)"
"e $150,000-350,000","ANSHE EMETH MEMORIAL TEMPLE","222 Livingston Avenue","NEW BRUNSWICK","NJ","08901","813110","Non-Profit Organization","Unanswered","Unanswered","Unanswered","true","41","2020-04-08T00:00:00.000","Valley National Bank","NJ - 06","POINT (-74.451997 40.485741)"
"e $150,000-350,000","SUDARSHAN NORTH AMERICA, INC.","76 N WALNUT ST 0","RIDGEWOOD","NJ","07450","325130","Corporation","Unanswered","Unanswered","Unanswered",,"10","2020-04-28T00:00:00.000","Citibank, N.A.","NJ - 05","POINT (-74.11624 40.981321)"
"e $150,000-350,000","CJS INVESTMENTS INCORPORATED","6 RIVERVIEW PLZ Suite 2","RED BANK","NJ","07701","531390","Corporation","Unanswered","Unanswered","Unanswered",,"9","2020-04-08T00:00:00.000","Amboy Bank","NJ - 04","POINT (-74.063419 40.353748)"
"e $150,000-350,000","BEARS LANDSCAPING AND SONS INC","153 woodside ave","NEWTON","NJ","07860","561730","Corporation","Unanswered","Male Owned","Non-Veteran",,"13","2020-04-30T00:00:00.000","Santander Bank, National Association","NJ - 05","POINT (-74.76079 41.043319)"
"e $150,000-350,000","HIGA TRANSPORT LLC","1388 Pleasant Valley Way","WEST ORANGE","NJ","07052","484110","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"7","2020-06-25T00:00:00.000","Cross River Bank","NJ - 10","POINT (-74.280326 40.77693)"
"e $150,000-350,000","PIAZZA & ASSOCIATES, INC.","216 ROCKINGHAM ROW","PRINCETON","NJ","08540","531390","Corporation","Unanswered","Male Owned","Unanswered",,"24","2020-04-29T00:00:00.000","1st Constitution Bank","NJ - 07","POINT (-74.613541 40.355805)"
"b $2-5 million","IH ENGINEERS PC","103 College Rd. FL 1","PRINCETON","NJ","08540","541310","Corporation","Unanswered","Unanswered","Unanswered",,"96","2020-04-12T00:00:00.000","Bank of America, National Association","NJ - 07",
"e $150,000-350,000","AGD CONTRACTING CORP.","316 Tennent Road Suite 103","MORGANVILLE","NJ","07751","238990","Corporation","Unanswered","Unanswered","Unanswered",,"30","2020-04-14T00:00:00.000","WebBank","NJ - 06","POINT (-74.281832 40.352441)"
"e $150,000-350,000","FOF REAL ESTATE, LIMITED LIABILITY COMPANY","2604 Atlantic Ave","BELMAR","NJ","07719","337211","Corporation","Unanswered","Male Owned","Unanswered",,"21","2020-04-08T00:00:00.000","OceanFirst Bank, National Association","NJ - 04","POINT (-74.089911 40.140548)"
"e $150,000-350,000","RATAN HOTEL PLAZA LLC","120 Evergreen Place","EAST ORANGE","NJ","07018","721110","Limited  Liability Company(LLC)","Asian","Male Owned","Non-Veteran",,"29","2020-04-28T00:00:00.000","Flushing Bank","NJ - 10","POINT (-74.222042 40.762078)"
