"facid","facility_type","lic","licensed_name","address","fac_addr_2","fac_city","fac_st","zip","county","telephone","faxphone","facemail","lic_expires","licensed_owner","ownaddr","owncsz","owndesc","admin","title","hospbedtotal","geocoded_column"
"NJ23369","AMBULATORY CARE FACILITY","23369","WINDSOR RADIOLOGY","300 PRINCETON-HIGHTSTOWN ROAD",,"EAST WINDSOR","NJ","08520","MERCER","(609) 426-9200","(609) 426-9211","cvignets@windsorradiology.com","2022-05-31T00:00:00.000","PRINCETON RADIOLOGY ASSOCIATES, PA","619 ALEXANDER ROAD, STE 203","PRINCETON, NJ  08540","Profit - Partnership",". DAWN SHANKO",,,"POINT (-74.559973 40.283792)"
"NJ23139","AMBULATORY CARE FACILITY","23139","JERSEY ADVANCED MRI AND DIAGNOSTIC CENTER II","1 KATHLEEN DRIVE",,"JACKSON","NJ","08527","OCEAN","(732) 901-6820","(732) 901-7550","sabdelatycpa@gmail.com","2022-06-30T00:00:00.000","JERSEY ADVANCED MRI AND DIAGNOSTIC CENTER","2127 KENNEDY BLVD","NORTH BERGEN, NJ  07047","Profit - Corporation","Mr. ABDUR REHMAN",,,"POINT (-74.269 40.1261)"
"NJ24397","AMBULATORY CARE FACILITY","24397","NJU CANCER TREATMENT CENTERS","3311 BRUNSWICK AVENUE",,"LAWRENCEVILLE","NJ","08648","MERCER","(609) 716-7030","(609) 716-7003","WORESICK@NJUROLOGY.COM","2023-02-28T00:00:00.000","NEW JERSEY UROLOGY, LLC","1515 BROAD STREET, SUITE B130","BLOOMFIELD, NJ  07003","Profit - LLC",". WILLIAM ORESICK",,,"POINT (-74.684165 40.293407)"
"NJ24977","AMBULATORY CARE FACILITY","24977","AQ MODERN DIAGNOSTIC IMAGING","315 ELMORA AVENUE",,"ELIZABETH","NJ","07208","UNION","(856) 524-1559","(856) 210-1888",,"2022-06-30T00:00:00.000","AQ MODERN DIAGNOSTIC IMAGING, INC.","3201 JENNIFER COURT","VOORHEES, NJ  08043",,"Dr. ARCHANA NARAN",,,"POINT (-74.234198 40.666517)"
"NJ1129","HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY","1129","THE ALFRED M. SANZARI MEDICAL ARTS BUILDING","360 ESSEX STREET",,"HACKENSACK","NJ","07601","BERGEN","(551) 996-2000","(551) 996-3450","MARK.SPARTA@HMHN.ORG","2022-10-31T00:00:00.000","HMH HOSPITALS CORPORATION","343 THORNALL STREET 8TH FL","EDISON, NJ  08837","Non-Profit - Hospital","Mr. MARK SPARTA",,,"POINT (-74.058947 40.883677)"
"NJ31C0001004","AMBULATORY SURGICAL CENTER","70781","PREMIER SURGICAL PAVILION, L.L.C.","145 ROSEVILLE AVE",,"NEWARK","NJ","07107","ESSEX","(973) 454-2620","(866) 744-4483","hf1111@aol.com","2022-06-30T00:00:00.000","PREMIER SURGICAL PAVILION, L.L.C.","145 ROSEVILLE AVENUE","NEWARK, NJ  07107","Profit - LLC",". HENRY FURST",,,"POINT (-74.19091 40.755695)"
"NJ311912","FEDERALLY QUALIFIED HEALTH CENTERS","24844","ZUFALL HEALTH CENTER INC","95 NORTHFIELD AVENUE, SUITE 2",,"WEST ORANGE","NJ","07052","ESSEX","(973) 325-2266",,"eturbiner@zufallhealth.org","2022-06-30T00:00:00.000","ZUFALL HEALTH CENTER","18 WEST BLACKWELL STREET","DOVER, NJ  07801",,"Ms. EVA TURBINER",,,"POINT (-74.243951 40.775649)"
"NJ23399","AMBULATORY CARE FACILITY","23399","MONTCLAIR RADIOLOGY","20 HIGH STREET",,"NUTLEY","NJ","07110","ESSEX","(973) 661-4674","(973) 284-0269","wditosto@montrad.net","2023-02-28T00:00:00.000","MONTCLAIR RADIOLOGICAL ASSOCIATES, P.A.","20 HIGH STREET","NUTLEY, NJ  07110","Profit - Corporation",". FRANK REHEIS",,,"POINT (-74.153606 40.825381)"
"NJ80330","AMBULATORY CARE FACILITY","80330","THE IMAGING CENTER AT NEWMAN STREET","30 SOUTH NEWMAN STREET",,"HACKENSACK","NJ","07601","BERGEN","(201) 488-1188","(201) 488-5244","donelting@hrgimaging.com","2022-10-31T00:00:00.000","HACKENSACK RADIOLOGY GROUP, PA","130 KINDERKAMACK ROAD","RIVER EDGE, NJ  07661",,"Mr. DONALD ELTING",,,"POINT (-74.053559 40.879054)"
"NJ25037","AMBULATORY CARE FACILITY","25037","URGENT CARE IMAGING CENTER, LLC","107 CEDAR GROVE LANE, SUITE 108",,"SOMERSET","NJ","08873","SOMERSET","(732) 560-7172","(732) 412-7225","abdurgso@hotmail.com","2022-02-28T00:00:00.000","URGENT CARE IMAGING CENTER, LLC","54 PEOPLES LINE ROAD","SOMERSET, NJ  08873","Profit - LLC","Mr. MUHAMMAD FAISAL KHAN",,,"POINT (-74.519761 40.523619)"
"NJ24984","END STAGE RENAL DIALYSIS","24984","JACKSON TOWNSHIP DIALYSIS","260 NORTH COUNTY LINE ROAD, SUITE 120",,"JACKSON","NJ","08527","OCEAN","(732) 364-2055","(732) 901-1905","Karen.wood@davita.com","2022-08-31T00:00:00.000","RONAN DIALYSIS, LLC","2000 16TH STREET","DENVER, CO  80202","Profit - LLC","Ms. KAREN WOOD",,,"POINT (-74.295374 40.138298)"
"NJ22282","AMBULATORY CARE FACILITY - SATELLITE","22282","PLANNED PARENTHOOD OF NORTHERN, CENTRAL AND SOUTHERN NEW JERSEY, INC.","66 EAST WASHINGTON AVENUE",,"WASHINGTON","NJ","07882","WARREN","(973) 539-9580",,"pp.hc@ppgnnj.org","2022-04-30T00:00:00.000","PLANNED PARENTHOOD OF NCSNJ","196 SPEEDWELL AVENUE","MORRISTOWN, NJ  07960","Non-Profit - Corporation","Ms. TRISTE BROOKS",,,"POINT (-74.978155 40.758748)"
"NJ22634-1",,"22634","VNA OF CENTRAL JERSEY HOME CARE & HOSPICE","1100 WAYSIDE ROAD",,"TINTON FALLS","NJ","07712","ATLANTIC","(732) 493-2220",,,"2020-02-29T00:00:00.000","VNA OF CENTRAL JERSEY COMMUNITY HEALTH CENTER, INC","1301 MAIN STREET","ASBURY PARK, NJ  07712","Non-Profit - Other","Ms. ELLEN GUSICK",,,"POINT (-74.077285 40.265897)"
"NJ1388","HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY","1388","EAST ORANGE GENERAL HOSPITAL-HEMODIALYSIS","310 CENTRAL AVENUE",,"EAST ORANGE","NJ","07018","ESSEX","(973) 672-8400","(973) 266-8488","Paige. Dworak@eogh.org","2022-08-31T00:00:00.000","EAST ORANGE GENERAL HOSPITAL","300 CENTRAL AVENUE","EAST ORANGE, NJ  07018","Profit - Corporation","Ms. PAIGE DWORAK",,,"POINT (-74.214785 40.754709)"
"NJ1049","HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY","1049","TRINITAS SUBSTANCE ABUSE CLINIC","655 EAST JERSEY STREET",,"ELIZABETH","NJ","07206","UNION","(908) 994-7438","(908) 994-7191","jmccreath@trinitas.org","2022-08-31T00:00:00.000","TRINITAS REGIONAL MEDICAL CENTER","225 WILLIAMSON STREET","ELIZABETH, NJ  07207","Non-Profit - Hospital","Mr. GARY HORAN","Pres. & CEO",,"POINT (-74.198443 40.659409)"
"311898","FEDERALLY QUALIFIED HEALTH CENTERS","24249","BERGEN AVENUE HEALTH CENTER","857 BERGEN AVENUE",,"JERSEY CITY","NJ","07305","HUDSON","(201) 478-5829","(201) 478-5814","scarey@metrofhn.org","2022-06-30T00:00:00.000","METROPOLITAN FAMILY HEALTH NETWORK","935 GARFIELD AVENUE","JERSEY CITY, NJ  07304","Non-Profit - Other","Ms. JOAN DUBLIN",,,"POINT (-74.066622 40.728806)"
"NJ1467","HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY","1467","SHORE MEDICAL CENTER FOR CARDIAC PULMONARY REHAB & PHYSICAL THERAPY","710 CENTRE STREET",,"SOMERS POINT","NJ","08244","ATLANTIC","(609) 653-3500","(609) 927-8172",,"2023-01-31T00:00:00.000","SHORE MEDICAL CENTER","100 MEDICAL CENTER WAY","SOMERS POINT, NJ  08244","Non-Profit - Hospital","Mr. RON JOHNSON",,,"POINT (-74.595991 39.314571)"
"NJ22819","HOSPICE CARE PROGRAM","22819","SAMARITAN HEALTHCARE AND HOSPICE","3906 CHURCH ROAD",,"MOUNT LAUREL","NJ","08054","BURLINGTON","(856) 596-1600","(856) 596-7881","mboccolini@samaritannj.org","2022-11-30T00:00:00.000","SAMARITAN HEALTHCARE & HOSPICE, INC.","3906 CHURCH ROAD","MT. LAUREL, NJ  08054","Non-Profit - Corporation","Ms. MARY ANN BOCCOLINI",,,"POINT (-74.963643 39.926573)"
"NJ24973","AMBULATORY CARE FACILITY","24973","MEMORIAL SLOAN KETTERING BERGEN","225 SUMMIT AVENUE",,"MONTVALE","NJ","07645","BERGEN","(201) 775-7000",,"HERNANDK@MSKCC.ORG","2023-03-31T00:00:00.000","MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES","1275 YORK AVENUE","NEW YORK, NY  10021",,"Dr. CRAIG THOMPSON",,,"POINT (-74.069316 41.057185)"
"NJ25182","AMBULATORY SURGICAL CENTER","25182","ATLANTICARE CENTER FOR ORTHOPEDIC SURGERY","2500 ENGLISH CREEK AVENUE, SUITE 1201",,"EGG HARBOR TWP","NJ","08234","ATLANTIC","(609) 383-6493",,"melissa.bushnell@atlanticare.org","2022-05-31T00:00:00.000","ATLANTICARE SURGERY CENTER, L.L.C.","798 ROUTE 539, BUILDING A, SUITE 1","LITTLE EGG HARBOR, NJ  08087","Profit - LLC","Ms. BARBARA CIARAMELLA",,,"POINT (-74.606874 39.435937)"
"NJ317022","HOME HEALTH AGENCY","22250","VISITING NURSE ASSOCIATION OF ENGLEWOOD, INC.","15 ENGLE STREET",,"ENGLEWOOD","NJ","07631","BERGEN","(201) 894-3333","(201) 894-1710","ellen.gusick@vnahg.org","2022-05-31T00:00:00.000","VISITING NURSE ASSOCIATION OF ENGLEWOOD, INC.","15 ENGLE STREET","ENGLEWOOD, NJ  07631","Non-Profit - Corporation","Ms. ELLEN GUSICK",,,"POINT (-73.972506 40.893769)"
"NJ72003","AMBULATORY CARE FACILITY","72003","FRIENDS RETIREMENT CONCEPTS AT ARBOR GLEN","100 MONROE STREET",,"BRIDGEWATER","NJ","08807","SOMERSET","(908) 595-6500","(908) 595-6515","frosenwasser@arborglen.org","2019-02-28T00:00:00.000","FRIENDS RETIREMENT CONCEPTS, INC.","100 MONROE STREET","BRIDGEWATER, NJ  08807","NonProfit - Religious Affiliation","Ms. MARINA SHAYKEVICH FERRER",,,"POINT (-74.592047 40.575442)"
"NJ312568","END STAGE RENAL DIALYSIS","23187","RENEX DIALYSIS CLINIC OF EAST ORANGE","110 SOUTH GROVE STREET",,"EAST ORANGE","NJ","07018","ESSEX","(973) 414-6100","(973) 414-6109","katie.ross@fmc-na.com","2023-03-31T00:00:00.000","NNA OF EAST ORANGE, LLC","230 GREAT CIRCLE ROAD, SUITE 218","NASHVILLE, TN  37228",,". KATIE ROSS",,,"POINT (-74.204988 40.753513)"
"NJ31C0001092","SURGICAL PRACTICE","R24574","DIAMOND INSTITUTE OF INFERTILITY & MENOPAUSE","89 MILLBURN AVENUE",,"MILLBURN","NJ","07041","ESSEX","(973) 761-5600","(973) 761-5100","rochelles@diamondinstitute.com","2022-05-31T00:00:00.000","DIAMOND INSTITUTE FOR INFERTILITY & MENOPAUSE","89 MILLBURN AVENUE","MILLBURN, NJ  07041","Profit - Individual","Dr. MATAN YEMINI",,,"POINT (-74.286651 40.722792)"
"NJ311835","FEDERALLY QUALIFIED HEALTH CENTERS","22385","SOUTHERN JERSEY FAMILY MEDICAL CENTERS, INC","860 SOUTH WHITE HORSE PIKE, BUILDING A",,"HAMMONTON","NJ","08037","ATLANTIC","(609) 567-0200","(609) 704-1482","SJFMC@SJFMC.ORG","2022-10-31T00:00:00.000","SOUTHERN JERSEY FAMILY MEDICAL CENTERS, INC","1 N WHITE HORSE CENTER","HAMMONTON, NJ  08037","Non-Profit - Other","Ms. LINDA FLAKE",,,"POINT (-74.774209 39.622315)"
"NJ22639","AMBULATORY CARE FACILITY","23276","NEW JERSEY MRI SYSTEMS","583 BROADWAY",,"PATERSON","NJ","07514","PASSAIC","(973) 357-9900","(973) 357-9979","staff@njmrisystems.com","2021-12-31T00:00:00.000","NEW JERSEY MRI SYSTEMS","583 BROADWAY","PATERSON, NJ  07514",,"Ms. MARY ANN RIGGINS",,,"POINT (-74.14883 40.918317)"
"NJ24966","AMBULATORY CARE FACILITY","24966","NORTH HUDSON COMMUNITY ACTION CORP","220 PASSAIC STREET",,"PASSAIC","NJ","07055","PASSAIC","(201) 917-2715",,"vveneruso@nhcac.org","2022-09-30T00:00:00.000","NORTH HUDSON COMMUNITY ACTION CORPORATION","800 31ST STREET","UNION CITY, NJ  07087","Non-Profit - Corporation","Ms. JOAN QUIGLEY",,,"POINT (-74.118014 40.861974)"
"NJ24097","AMBULATORY CARE FACILITY","24097","DENVILLE DIAGNOSTICS IMAGING AND OPEN MRI, LLC","601 HAMBURG TURNPIKE, SUITE 201",,"WAYNE","NJ","07470","PASSAIC","(973) 238-0700","(973) 586-6555","medwyre@gmail.com","2022-11-30T00:00:00.000","STAR MRI OF WAYNE, LLC","601 HAMBURGBTRP, SUITE 201","WAYNE, NJ  07470",,"Mr. MICHAEL DWYER",,,"POINT (-74.218196 40.955228)"
"NJ23000","AMBULATORY CARE FACILITY","23000","IRVINGTON MEDICAL IMAGING CENTER","277-285 COIT STREET",,"IRVINGTON","NJ","07111","ESSEX","(973) 351-1277","(973) 373-0510","dadeoti@msn.com","2022-02-28T00:00:00.000","NEWARK IMAGING CENTER, INC.","277-285 COIT","NEWARK, NJ  07102",,"Dr. ADEKUNLE ADEOTI",,,"POINT (-74.227979 40.715835)"
"NJ25201","AMBULATORY CARE FACILITY","25201","PREMIER DIAGNOSTIC OF ESSEX, LLC","155 PROSPECT AVENUE",,"WEST ORANGE","NJ","07052","ESSEX","(862) 520-1962","(862) 520-2670","MRIGUY99@HOTMAIL.COM","2022-07-31T00:00:00.000","PREMIER DIAGNOSTICS OF ESSEX, LLC","155 PROSPECT AVENUE","WEST ORANGE, NJ  07052",,"Ms. LISA GAGLIANO",,,"POINT (-74.246076 40.809892)"
"24918-1","AMBULATORY SURGICAL CENTER","24918","CHILDREN'S DENTAL SURGERY OF JACKSON, LLC","27 SOUTH COOKS BRIDGE ROAD, SUITE L2",,"JACKSON","NJ","08527","OCEAN","(732) 928-1099","(732) 833-1690","rtorre@uspi.com","2022-08-31T00:00:00.000","CHILDREN'S DENTAL SURGERY CENTER OF JACKSON, LLC","27 SOUTH COOKS BRIDGE ROAD, SUITE L2","JACKSON, NJ  08527",,". MIRANDA GREENFIELD",,,"POINT (-74.289645 40.121295)"
"NJ24385","AMBULATORY CARE FACILITY","24385","NJU CANCER TREATMENT CENTERS","375 MT PLEASANT AVENUE",,"WEST ORANGE","NJ","07052","ESSEX","(973) 323-1300","(973) 323-1319","jsokol@nj-urology.com","2022-12-31T00:00:00.000","NEW JERSEY UROLOGY, LLC","1515 BROAD STREET, SUITE B130","BLOOMFIELD, NJ  07003","Profit - LLC","Ms. JANET SOKOL",,,"POINT (-74.260669 40.790131)"
"NJ90090","AMBULATORY SURGICAL CENTER","R24591","SUTTON AMBULATORY HEALTH LLC","1485 PALISADE AVENUE",,"FORT LEE","NJ","07024","BERGEN","(201) 461-9400","(201) 947-4647","jefferyahn@gmail.com","2022-07-31T00:00:00.000","SUTTON AMBULATORY HEALTH","1485 PALISADE AVENUE","FORT LEE, NJ  07024","Profit - LLC","Dr. JEFFREY AHN",,,"POINT (-73.971403 40.845611)"
"NJ1414","HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY","1414","HACKENSACKUMC FITNESS AND WELLNESS CENTER B","86 ROUTE 17 NORTH",,"MAYWOOD","NJ","07607","BERGEN","(551) 996-4205","(551) 996-2574","ihor.sawczuk@hackensackmeridian.org","2022-10-31T00:00:00.000","HMH HOSPITALS CORPORATION","343 THORNALL STREET 8TH FL","EDISON, NJ  08837","Non-Profit - Hospital","Mr. MARK SPARTA",,,
"NJ25036","HOSPICE CARE PROGRAM","25036","RED OAK HOSPICE, LLC","154 SUNNY SLOPE DRIVE",,"BRIDGETON","NJ","08302","CUMBERLAND","(856) 431-4900","(856) 210-7053","cbaker@redoakhospice.org","2023-04-30T00:00:00.000","RED OAK HOSPICE, LLC","4201 ROUTE 9","HOWELL, NJ  07731","Profit - LLC",". CASSANDRA BAKER",,,"POINT (-75.262059 39.413051)"
"NJ90069","SURGICAL PRACTICE","R24635","PALISADE SURGERY CENTER LLC","1567 PALISADE AVENUE, 1ST FLOOR",,"FORT LEE","NJ","07024","BERGEN","(201) 585-7084","(201) 947-3860","info@palisadesurgerycenter.com","2022-05-31T00:00:00.000","PALISADE SURGERY CENTER, LLC","1567 PALISADE AVENUE","FORT LEE, NJ  07024","Profit - LLC","Dr. PAUL ROSENBERG",,,"POINT (-73.969824 40.84787)"
"NJ24965","END STAGE RENAL DIALYSIS","24965","FRESENIUS MEDICAL CARE PISCATAWAY","1135 EASTON AVENUE",,"SOMERSET","NJ","08875","SOMERSET","(732) 220-1043","(732) 220-0520","maureen.kennedy-mcdonnell@FMC-NA.com","2022-06-30T00:00:00.000","FRESENIUS MEDICAL CARE PISCATAWAY, L.L.C.","920 WINTER STREET","WALTHAM, MA  02451","Profit - LLC",". GINA CHIARELLI",,,"POINT (-74.490454 40.517516)"
"NJ24928","HOSPICE CARE PROGRAM","24928","OCEAN HOSPICE, LLC","A-108 COMMONS WAY",,"TOMS RIVER","NJ","08755","OCEAN","(732) 505-0080","(732) 505-0083",,"2019-11-30T00:00:00.000","OCEAN HOSPICE, LLC","A-108 COMMONS WAY","TOMS RIVER, NJ  08755","Profit - LLC","Ms. DAXA BHATT",,,"POINT (-74.219823 39.96658)"
"NJ1505","HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY","1505","234 BUILDING","234 HAMBURG TURNPIKE",,"WAYNE","NJ","07470","PASSAIC","(973) 754-2002","(973) 754-2009",,"2022-10-31T00:00:00.000","ST. JOSEPH'S UNIVERSITY MEDICAL CENTER","703 MAIN STREET","PATERSON, NJ  07503",,"Mr. KEVIN SLAVIN",,,"POINT (-74.205753 40.946465)"
"NJ24339","AMBULATORY SURGICAL CENTER","24339","SELECT SURGICAL CENTER AT KENNEDY","405 HURFFVILLE CROSS KEYS ROAD, SUITE 210",,"SEWELL","NJ","08080","GLOUCESTER","(856) 582-2072","(856) 218-2071","sbochanski@uspi.com","2022-10-31T00:00:00.000","SELECT SURGICAL CENTER AT KENNEDY","405 HURFFVILLE CROSS KEYS ROAD, SUITE 210","SEWELL, NJ  08080","Profit - LLC",". MICHELE MCINTOSH",,,"POINT (-75.061714 39.731837)"
"311878","FEDERALLY QUALIFIED HEALTH CENTERS","24089","METROPOLITAN FAMILY HEALTH NETWORK, INC","935 GARFIELD AVENUE",,"JERSEY CITY","NJ","07304","HUDSON","(201) 478-5877","(201) 478-5814","jdublin@metrofhn.org","2023-02-28T00:00:00.000","METROPOLITAN FAMILY HEALTH NETWORK","935 GARFIELD AVENUE","JERSEY CITY, NJ  07304","Non-Profit - Other","Ms. JOAN DUBLIN",,,"POINT (-74.070365 40.710546)"
"NJ317077","HOME HEALTH AGENCY","70205","HOLY NAME HOME CARE","718 TEANECK ROAD",,"TEANECK","NJ","07666","BERGEN","(201) 833-3000","(201) 227-6063","mamundson@holyname.org","2022-04-30T00:00:00.000","HOLY NAME MEDICAL CENTER","718 TEANECK ROAD","TEANECK, NJ  07666","NonProfit - Religious Affiliation",". MICHELE AMUNDSON",,,"POINT (-74.008621 40.88239)"
"NJ24927","FEDERALLY QUALIFIED HEALTH CENTERS","24927","JEWISH RENAISSANCE MEDICAL CENTER AT 13TH AVE SCHOOL","359 13TH AVENUE",,"NEWARK","NJ","07103","ESSEX","(973) 679-7709","(732) 324-5765","tboggiano@jrmc.us","2022-04-30T00:00:00.000","JEWISH RENAISSANCE MEDICAL CENTER","275 HOBART STREET","PERTH AMBOY, NJ  08861","Non-Profit - Corporation","Mr. JOHN O'LEARY",,,"POINT (-74.197795 40.742157)"
"NJ23110","AMBULATORY SURGICAL CENTER","23110","SURGICAL CENTER AT MILLBURN","37 EAST WILLOW STREET",,"MILLBURN","NJ","07041","ESSEX","(973) 912-8111","(973) 912-0181","wendy.lamotta@amsurg.com","2022-06-30T00:00:00.000","SURGICAL CENTER AT MILLBURN, LLC","1A BURTON HILLS BLVD","NASHVILLE, TN  37215","Profit - LLC",". WENDY LAMOTTA",,,"POINT (-74.30445 40.716591)"
"NJ23263","AMBULATORY CARE FACILITY","23263","ATLANTIC MEDICAL IMAGING","1450 EAST CHESTNUT AVENUE, BUILDING 4",,"VINELAND","NJ","08361","CUMBERLAND","(856) 794-1700","(856) 794-1788","JGORGOL@AMINJ.COM","2022-09-30T00:00:00.000","ATLANTIC MEDICAL IMAGING, LLC","72 W. JIMMIE LEEDS RD, STOCKTON MED.BLD, SUITE1100","GALLOWAY, NJ  08205",,". KAREN PERLA",,,"POINT (-74.997235 39.477613)"
"NJR24890","SURGICAL PRACTICE","R24890","REPRODUCTIVE SCIENCE CENTER OF NEW JERSEY, PA","234 INDUSTRIAL WAY WEST, SUITE A104",,"EATONTOWN","NJ","07724","MONMOUTH","(732) 918-2500","(732) 918-2504","FRANKD@FERTILITYNJ.COM","2022-07-31T00:00:00.000","REPRODUCTIVE SCIENCE CENTER OF NEW JERSEY PA","234 INDUSTRIAL WAY WEST, SUITE A104","EATONTOWN, NJ  07724",,"Dr. WILLIAM ZIEGLER","M.D.",,"POINT (-74.055946 40.275543)"
"NJR24631","AMBULATORY SURGICAL CENTER","R24631","GANCHI PLASTIC SURGERY CENTER, LLC","246 HAMBURG TURNPIKE, SUITE 307",,"WAYNE","NJ","07470","PASSAIC","(973) 942-6600","(973) 595-5964","INFO@GANCHI.COM","2022-06-30T00:00:00.000","GANCHI PLASTIC SURGERY CENTER, LLC","246 HAMBURG TURNPIKE #307","WAYNE, NJ  07470","Profit - LLC","Dr. PARHAM GANCHI",,,"POINT (-74.205962 40.946703)"
"NJ24428","END STAGE RENAL DIALYSIS","24428","DURHAM CORNERS DIALYSIS","241 DURHAM AVENUE",,"SOUTH PLAINFIELD","NJ","07080","MIDDLESEX","(908) 222-2971","(908) 753-0783","Robinson.Ilagan@davita.com","2022-03-31T00:00:00.000","TOTAL RENAL CARE, INC.","2000 16TH STREET","DENVER, CO  80202","Profit - Corporation",". ROBINSON ILAGAN",,,"POINT (-74.415425 40.556375)"
"NJ24349","AMBULATORY CARE FACILITY","24349","SINUS AND DENTAL IMAGING  OF  NEW JERSEY LLC","111-115 FRANKLIN AVENUE",,"NUTLEY","NJ","07110","ESSEX","(201) 736-7585","(973) 773-9525","sdiofnj@gmail.com","2022-08-31T00:00:00.000","MERCURIUS SIDHOM LIMITED LIABILITY COMPANY","111-115 FRANKLIN AVENUE","NUTLEY, NJ  07110","Profit - LLC","Ms. SHERRY YOUSSEF",,,"POINT (-74.164652 40.812172)"
