"county","center","phone","ages","capacity","city","addr1","addr2","zip","inspections"
"Somerset","Pine Grove Elementary C.A.R.E. Program","732-873-2400","6 to 13","50","Somerset","130 Highland Avenue",,"08873","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/171200280.shtml)"
"Somerset","Sampson A. Smith C.A.R.E. Program","732-873-2400","6 to 13","100","Somerset","1649 Amwell Rd.",,"08873","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/171200278.shtml)"
"Somerset","Franklin Park Elementary C.A.R.E. Program","732-873-2400","2½ to 13","280","Somerset","30 Eden Street",,"08873","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/171200279.shtml)"
"Mercer","Lore Elementary School","609-538-9800","6 to 13","200","Ewing","13 Westwood Dr.",,"08628","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/180100071.shtml)"
"Mercer","Parkway Elementary School","609-538-9800","6 to 13","130","Ewing","446 Parkway Avenue",,"08618","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/180100072.shtml)"
"Mercer","Fisher Middle School","609-538-9800","6 to 13","50","Ewing","1325 Lower Ferry Road",,"08618","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/180100073.shtml)"
"Mercer","Antheil Elementary School","609-538-9800","6 to 13","139","Ewing","339 Ewingville Rd.",,"08638","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/180100070.shtml)"
"Cumberland","Child Family Center","856-293-2171","2½ to 6","180","Millville","1100 Coombs Road",,"08332","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/171200023.shtml)"
"Passaic","Baby Steps Infant/Toddler Child Care Center","973-473-2408","0 to 2½","24","Passaic","185 Paulison Ave",,"07055","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/16BAB0001.shtml)"
"Passaic","The Learning Center For Exceptional Children","973-478-4866","2½ to 13","63","Clifton","199 Scoles Ave",,"07012","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/171200249.shtml)"
"Camden","Gloucester Twp Schools Loring Flemming Latchkey Program","856-227-1400","6 to 13","200","Gloucester Township","135 Little Gloucester Road",,"08012","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/171200014.shtml)"
"Camden","Gloucester Twp Schools Union Valley Latchkey Program","856-309-1336","6 to 13","100","Sicklerville","1300 Jarvis Road",,"08081","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/171200015.shtml)"
"Camden","Gloucester Twp Schools Blackwood Latchkey Program","856-227-1400","6 to 13","100","Blackwood","260 Blenheim - Erial Road",,"08012","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/171200016.shtml)"
"Camden","Gloucester Twp Schools Chews Latchkey Program","856-784-1306","6 to 13","100","Somerdale","600 Somerdale Road",,"08083","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/171200017.shtml)"
"Cumberland","Linda Dechen Early Learning Center","856-453-0803","0 to 13","109","Vineland","237 W Chestnut Ave",,"08360","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/06LIN0001.shtml)"
"Camden","Gloucester Twp Schools Erial Latchkey Program","856-627-3774","6 to 13","100","Sicklerville","20 Essex Avenue",,"08081","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/171200010.shtml)"
"Camden","Gloucester Twp Schools J W Lilley Latchkey Program","856-740-2987","6 to 13","100","Erial","1275 Williamstown Road",,"08081","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/171200029.shtml)"
"Camden","Gloucester Twp Schools Glendora Latchkey Program","856-939-5253","6 to 13","100","Glendora","201 Station Avenue",,"08029","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/171200020.shtml)"
"Essex","East Orange YMCA-Bowser After School Program","973-414-4170","6 to 13","158","East Orange","180 Lincoln Street",,"07017","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/07EAS0012.shtml)"
"Essex","East Orange YMCA After School Enrichment Program","973-673-5588","6 to 13","64","East Orange","98 Greenwood Avenue",,"07017","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/071000121.shtml)"
"Essex","East Orange YMCA - STEM Academy","973-980-1757","6 to 13","100","East Orange","129 Renshaw Avenue",,"07017","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/171000264.shtml)"
"Essex","East Orange YMCA - Sojourner Truth","973-673-5588","6 to 13","100","East Orange","116 Hamilton Street",,"07017","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/171000263.shtml)"
"Essex","East Orange YMCA/Turrell's Gym","973-673-5588","6 to 13","188","East Orange","159 N Munn Ave",,"07017","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/07EAS0006.shtml)"
"Essex","South Mountain YMCA- Seth Boyden School","973-762-0256","6 to 13","72","Maplewood","274 Boyden Avenue",,"07040","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/071200067.shtml)"
"Passaic","Paterson YMCA - Family Services Center","973-684-2320","6 to 13","175","Paterson","128 Ward Street",,"07505","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/16PAT0004.shtml)"
"Passaic","Paterson YMCA Family Friendly Center - School #20","973-684-2320","6 to 13","75","Paterson","500 E 37th Street",,"07504-1739","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/16PAT0006.shtml)"
"Passaic","Paterson YMCA Pre-School","973-684-2320","2½ to 6","104","Paterson","128 Ward Street",,"07505","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/16PAT0013.shtml)"
"Morris","The Salvation Army Day Care Center","973-539-2700","0 to 6","85","Morristown","95 Spring Street",,"07960","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/14SAL0001.shtml)"
"Hudson","The Salvation Army Early Childhd Edu Ctr","201-435-7355","0 to 13","125","Jersey City","562 Bergen Avenue",,"07304","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/09SAL0004.shtml)"
"Ocean","The Salvation Army Ocean County Citadel Youth Programs","732-270-8393","6 to 13","75","Toms River","1738 Route 37 E",,"08753","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/15SAL0002.shtml)"
"Middlesex","The Salvation Army Corps Community Center in New Brunswick","732-545-1477","6 to 13","83","New Brunswick","287 Handy Street",,"08901","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/12SAL0001.shtml)"
"Camden","The Salvation Army Kroc Center","856-379-6900","6 to 13","125","Camden","1865 Harrison Ave",,"08105","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170400215.shtml)"
"Hunterdon","Advantage Before/After School Program","908-638-4111","6 to 13","60","Califon","70 Bunnvale Road",,"07830","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/10PAR0004.shtml)"
"Hunterdon","Advantage Before/After School Program","908-832-0641","6 to 13","65","Califon","400 Route 513",,"07830","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/10PAR0005.shtml)"
"Essex","Urban League of Essex County Child Development Center","973-732-9751","0 to 13","75","Newark","494-504 Central Avenue",,"07107","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/07URB0001.shtml)"
"Essex","Urban League of Essex Co. Early Childhood Ctr.","973-732-9751","0 to 6","50","Newark","755 So. Orange Avenue",,"07106","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/110900028.shtml)"
"Union","Boys & Girls Clubs of Union County at Polk School","908-687-7976","6 to 13","77","Roselle","1100 Warren Street",,"07203","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20BOY0001.shtml)"
"Union","Boys & Girls Clubs of Union County at Washington School","908-351-3344","6 to 13","84","Roselle","501 Washington Ave",,"07203","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20BOY0002.shtml)"
"Union","Boys & Girls Clubs of Union County at Harrison School","908-687-7976","6 to 13","111","Roselle","310 Harrison Ave",,"07203","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20BOY0003.shtml)"
"Union","Boys & Girls Clubs of Union County at L.V. Moore School","908-687-7976","6 to 13","79","Roselle","720 Locust Street",,"07203","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20BOY0004.shtml)"
"Union","Discovery Child Care","908-687-2697","6 to 13","86","Union","1050 Jeanette Ave",,"07083","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20DIS0001.shtml)"
"Union","Boys & Girls Clubs of Union County - Kindergarten Success Ac","908-351-3344","2½ to 6","49","Roselle","150 3rd Avenue",,"07203","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/110900172.shtml)"
"Union","Boys & Girls of Union County - Stillman Site","908-822-8672","6 to 13","90","Plainfield","201 W. Fourth Street","Stillman Site","07060","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20DIS0004.shtml)"
"Passaic","Boys & Girls Club School #3 Clubhouse","973-777-7235","6 to 13","100","Passaic","155 Van Houten Avenue","Mario J Drago School","07055","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/070900016.shtml)"
"Passaic","Boys & Girls Club of Paterson - School #27 Unit","973-279-3055","6 to 13","200","Paterson","250 Richmond Avenue",,"07502","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/16NJA0004.shtml)"
"Passaic","Boys & Girls Club of Paterson/Passaic - School 4","973-321-0040","6 to 13","270","Paterson","55 Clinton Street",,"07522","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/110600018.shtml)"
"Passaic","Boys & Girls Club of Paterson - School #1 Unit","973-279-3055","6 to 13","75","Paterson","11th Avenue & East 31st Street",,"07514","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/130700146.shtml)"
"Passaic","Boys & Girls Club - School #19","973-279-3055","6 to 13","90","Passaic","320 Highland Avenue",,"07055","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/100300263.shtml)"
"Salem","YMCA of Salem County","0","6 to 13","120","Carneys Point","204 Shell Road",,"08069","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/110800268.shtml)"
"Bergen","Greater Bergen Community Action Partnership Inc.","201-968-0200","2½ to 6","273","Cliffside Park","263 Layfayette Avenue",,"07010","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/110800314.shtml)"
"Passaic","Greater Bergen Community Action - CD Center","973-546-2634","0 to 6","625","Paterson","500 E 35th Street",,"07504","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/130600191.shtml)"
"Passaic","Greater Bergen Community Action - Westside Head Start","973-546-2634","0 to 6","294","Paterson","265 Totowa Avenue",,"07502","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/130600193.shtml)"
"Hudson","Greater Bergen Community Action-St Johns Headstart","201-884-1050","2½ to 6","78","Jersey City","155 North Street",,"07307","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/140700123.shtml)"
"Hudson","Greater Bergen Community Action (Bergen Head Start)","201-884-1050","2½ to 6","133","Jersey City","2 Oxford Ave",,"07304","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/140800002.shtml)"
"Hudson","Greater Bergen Community Action (Bergenview Head Start)","201-884-1050","2½ to 6","90","Jersey City","654 Bergen Ave",,"07304","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/140800005.shtml)"
"Hudson","Greater Bergen Community Action","201-342-5189","0 to 6","340","Jersey City","93 Nelson Ave",,"07307","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/140800059.shtml)"
"Hudson","Lincoln Park Preschool Education Center","201-884-1050","0 to 6","116","Jersey City","330 Duncan Avenue",,"07306","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/160300091.shtml)"
"Passaic","Michael's Energy Factory","973-684-2278","0 to 13","352","Paterson","101 Oliver Street",,"07501","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/16MIC0001.shtml)"
"Essex","Essex County College Child Development Center","973-877-3357","0 to 13","150","Newark","303 University Ave",,"07102","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/07ESS0001.shtml)"
"Essex","Aspira, Inc. of N.J.","973-268-5330","6 to 13","185","Newark","663 Broadway Luis Munoz Marin",,"07104","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/110700186.shtml)"
"Essex","ASPIRA Inc of NJ at Rafael Hernandez School","973-484-7554","6 to 13","125","Newark","345 Broadway",,"07104","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/180300081.shtml)"
"Hudson","Boys & Girls Club of Hudson County at PS 41","201-915-6590","6 to 13","206","Jersey City","59 Wilkinson Avenue",,"07305","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170200173.shtml)"
"Hudson","Boys & Girls Club of Hudson County at PS 15","201-915-6440","6 to 13","126","Jersey City","135 Stegman St",,"07305","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170800078.shtml)"
"Passaic","OMNI Two Dayschool","973-728-2232","0 to 13","26","Wanaque","559 Ringwood Avenue",,"07465","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/100200282.shtml)"
"Mercer","Atkinson Child Development Center","609-883-7500","0 to 6","30","Ewing","101 Celia Way",,"08628","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/151000039.shtml)"
"Camden","Cfs Headstart At Kcna","856-964-2100","2½ to 6","180","Camden","525 Clinton Street",,"08103","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/150400002.shtml)"
"Camden","Boys & Girls Club of Camden Co Inc-Marjorie & Lewis Katz Eas","0","6 to 13","405","Camden","2 South Dudley Street",,"08105-1100","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/071000338.shtml)"
"Gloucester","Paulsboro HeadStart Center","856-423-7096","0 to 13","50","Paulsboro","901 N Delaware Street",,"08066","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/08PAU0001.shtml)"
"Gloucester","Swedesboro HeadStart","856-241-8590","2½ to 6","49","Swedesboro","1225 Kings Highway",,"08085","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/08SWE0001.shtml)"
"Gloucester","Glassboro HeadStart Center","856-307-2299","2½ to 6","98","Glassboro","35 Sewell St",,"08028","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/08GLA0008.shtml)"
"Cumberland","River's Edge Early Learning Center","856-453-0803","0 to 13","263","Bridgeton","110-112 Cohansey St",,"08302","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/06RIV0001.shtml)"
"Gloucester","Williamstown HeadStart","856-262-9438","0 to 6","119","Williamstown","245 Glassboro Rd","St. Matthews Community Center","08094","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/08WIL0003.shtml)"
"Cumberland","Vineland III HeadStart Center","856-691-5838","2½ to 6","68","Vineland","116 Elmer St",,"08360","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/06VIN0006.shtml)"
"Gloucester","Woodbury HeadStart Center","856-686-9051","2½ to 6","34","Woodbury","36 Carpenter St",,"08096","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/08WOO0003.shtml)"
"Salem","Penns Grove HeadStart II","856-351-0268","0 to 6","69","Penns Grove","11 N Broad St",,"08069","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/17PEN0006.shtml)"
"Cumberland","Cheryl L. Chadwich Early Learning Center","856-451-6388","0 to 6","75","Bridgeton","10 Washington St",,"08302","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/06CHE0003.shtml)"
"Mercer","Little Cherubs Head Start","609-393-6360","2½ to 6","36","Hamilton","169 Wilfred Ave",,"08610","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/11LIT0012.shtml)"
"Mercer","Hamilton I Head Start","609-393-7030","2½ to 6","97","Hamilton","169 Wilfred Ave",,"08610","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/11HAM0001.shtml)"
"Mercer","Hamilton II Head Start","609-587-4544","2½ to 6","26","Hamilton","1801 East State Street Ext.","Bromley Civic Center","08609","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/11HAM0002.shtml)"
"Atlantic","Pleasantville Head Start II","856-392-6933","0 to 6","60","Pleasantville","49 South Main Street",,"08232","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/160600029.shtml)"
"Atlantic","ACCC Gateway Early Learning Center","856-392-6911","0 to 6","53","Mayslanding","5046 Black Horse Pike",,"08330","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/160500022.shtml)"
"Atlantic","Gateway Head Start Early Education Center","856-453-0803","0 to 6","294","Atlantic City","1433 Bacharach Boulevard",,"08401","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/160600028.shtml)"
"Middlesex","Mario Gonzalez Child Care Center","732-828-4572","2½ to 6","80","New Brunswick","287 Townsend Street",,"08901","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/12MAR0001.shtml)"
"Middlesex","Puerto Rican Action Board Day Care Center","732-828-4709","2½ to 6","220","New Brunswick","18 Drift Street",,"08901","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/12PUE0003.shtml)"
"Middlesex","Puerto Rican Action Board, Inc. at Roosevelt Elementary","732-828-4510","6 to 13","19","New Brunswick","83 Livingston Ave",,"08901","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/12PUE0004.shtml)"
"Middlesex","PRAB Early Childhood Center - Raritan Gardens","732-247-5640","2½ to 6","90","New Brunswick","300 Hoffman Blvd",,"08901","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/12MRE0001.shtml)"
"Middlesex","PRAB Early Childhood Center - Downtown","732-545-0384","2½ to 6","61","New Brunswick","323 George Street",,"08901","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/12MRE0002.shtml)"
"Middlesex","PRAB Parent Infant Care Center (PIC-C)","732-745-5300","0 to 6","30","New Brunswick","1000 Somerset Street",,"08901","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/070704628.shtml)"
"Middlesex","PRAB Early Childhood Center at Joyce Kilmer","732-828-4510","2½ to 6","110","New Brunswick","411 Joyce Kilmer Avenue",,"08901","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/130300004.shtml)"
"Middlesex","Puerto Rican Action Board, Inc. (PRAB)",,"6 to 13","20","New Brunswick","15 Van Dyke Avenue",,"08901","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/12PUE0005.shtml)"
"Bergen","Meadowlands Area YMCA-SACC - Memorial School","201-291-7769","6 to 13","98","Maywood","764 Grant Ave",,"07607","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/02MEA0003.shtml)"
"Bergen","Meadowlands Area YMCA-SACC - Pierrepont School","201-893-3290","6 to 13","100","Rutherford","Pierrepont Av","70 East Pierrepont Avenue","07070","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/02MEA0021.shtml)"
"Bergen","Meadowlands Area YMCA - Carlstadt School","201-421-5234","6 to 13","80","Carlstadt","Washington Street",,"07072","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/02MEA0024.shtml)"
"Bergen","Meadowlands Area YMCA-SACC - Maywood Avenue School","201-316-6821","6 to 13","69","Maywood","452 Maywood Ave",,"07607","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/02MEA0023.shtml)"
"Bergen","Meadowlands Area YMCA-SACC - Sylvan School","201-316-6817","2½ to 13","100","Rutherford","109 Sylvan St",,"07070","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/02MEA0025.shtml)"
"Bergen","Meadowlands Area YMCA-SACC - Washington School","201-955-2055","2½ to 13","100","Rutherford","89 Wood St",,"07070","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/02MEA0029.shtml)"
"Bergen","Meadowlands Area YMCA-SACC - Lincoln School","201-316-6820","2½ to 13","100","Rutherford","414 Montross Ave",,"07070","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/02MEA0028.shtml)"
"Bergen","Meadowlands Area YMCA - SACC - Moonachie School","201-955-5300","6 to 13","244","Moonachie","20 West Park Street","Moonachie School","07074","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/140700042.shtml)"
"Bergen","Mara Family Day Care Center","201-636-0053","0 to 6","120","East Rutherford","390 Murray Hill Parkway",,"07073","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/02MEA0012.shtml)"
"Union","Proceed Inc., Early Childhood Development Center I","908-351-7727","2½ to 13","49","Elizabeth","1122 East Grand Street",,"07201","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20PRO0001.shtml)"
"Hunterdon","Lambertville Academy","609-397-8477","2½ to 13","99","Lambertville","50 York Street",,"08530-2024","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/10LAM0002.shtml)"
"Passaic","Center for Family Resources, Inc. Pompton Lakes Head Start","973-907-6677","2½ to 6","60","Pompton Lakes","59 Hamburg Turnpike",,"07442","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/100100236.shtml)"
"Essex","Isaiah House Infants & Tiny Tots Day Care","973-678-5882","0 to 6","25","East Orange","238 N Munn Ave",,"07017","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/07ISA0001.shtml)"
"Essex","The Leaguers, Inc. Elm Street","973-643-0300","2½ to 6","30","Newark","182 Van Buren Street",,"07105","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/07ELM0002.shtml)"
"Essex","The Leaguers Head Start - Early Head Start Program","973-849-6691","0 to 6","70","East Orange","1 4th Avenue",,"07017","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/07BAB0014.shtml)"
"Essex","The Leaguers, Inc.- Broad Street","973-643-0300","2½ to 6","95","Newark","999-1005 Broad Street",,"07102","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/160900113.shtml)"
"Essex","The Leaguers Head Start - Early Head Start Program","973-643-0300","2½ to 6","60","Newark","302 - 316 16th Avenue",,"07103","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/100300041.shtml)"
"Essex","The Leaguers Head Start - Early Head Start Program","973-643-0300","2½ to 6","99","Newark","177 Central Avenue",,"07103","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/07NEW0033.shtml)"
"Essex","The Leaguers, Inc. Metropolitan","973-643-0300","2½ to 6","105","Newark","149 Springfield Avenue",,"07102","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/07MET0001.shtml)"
"Essex","La Casa's Afterschool Enrichment Program II","973-483-2703","6 to 13","79","Newark","120 Manchester Place",,"07104","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170400020.shtml)"
"Essex","La Casa Youth and Family Services Division","973-483-2703","6 to 13","103","Newark","23 Broadway",,"07104","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/07LAC0004.shtml)"
"Essex","LaCasa and McKinley's Civic Lrng.&Engagement Pro.","973-483-2703","6 to 13","200","Newark","1 Colonnade Place",,"07104","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/130800090.shtml)"
"Essex","Newark Fairmount PromiseNeighborhoodAfterschool Prog.","973-767-5786","6 to 13","360","Newark","359 13th Avenue",,"07103","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170400240.shtml)"
"Somerset","Woods Road School Age Childcare Program","908-454-2074","6 to 13","100","Hillsborough","401 South Woods Road",,"08844","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/150300187.shtml)"
"Middlesex","YES Early Learning Center St. Ladislaus","732-214-1475","2½ to 6","180","New Brunswick","197 Somerset Street",,"08901","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/12MRE0004.shtml)"
"Morris","Morristown Neighborhood House","973-538-1229","0 to 13","290","Morristown","12 Flagler Street",,"07960","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/14MOR0003.shtml)"
"Bergen","Our Gang at Holy Name Hospital","201-833-3235","0 to 13","159","Teaneck","718 Teaneck Rd",,"07666","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/02OUR0001.shtml)"
"Mercer","Princeton YWCA ASP Community Park School","609-273-6525","6 to 13","100","Princeton","372 Witherspoon Street",,"08540","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/11PRI0014.shtml)"
"Mercer","Princeton YWCA ASP at Riverside School","609-273-6524","2½ to 13","100","Princeton","58 Riverside Dr",,"08540","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/11PRI0016.shtml)"
