"ward","alderman","address","city","state","zipcode","ward_phone","ward_fax","email","website","location","city_hall_address","city_hall_city","city_hall_state","city_hall_zipcode","city_hall_phone"
"33","Rodriguez Sanchez, Rossana","3001 West Irving Park Road","Chicago","IL","60618","(773) 840-7880",,"Info@33rdward.org",,"(41.95392, -87.703301)","121 North LaSalle Street, Room 200, Office 20","Chicago","IL","60602","(312) 744-3373"
"34","Austin, Carrie M.","507 West 111th Street","Chicago","IL","60628","(773) 928-6961","(773) 928-8562","Ward34@cityofchicago.org","http://www.34thward.org","(41.692436, -87.635452)","121 North LaSalle Street, Room 200, Office 21","Chicago","IL","60602","(312) 744-6820 / 6829"
"35","Ramirez-Rosa, Carlos","2934 North Milwaukee Avenue, Unit C","Chicago","IL","60618","(773) 887-3772","(773) 887-5739","Ward35@cityofchicago.org","http://www.aldermancarlosrosa.org","(41.934652, -87.716556)","121 North LaSalle Street, Room 200, Office 9","Chicago","IL","60602","(312) 744-6835"
"36","Villegas, Gilbert","6560 West Fullerton Avenue, No. C118 - Suite A","Chicago","IL","60707","(773) 745-4636","(773) 745-4638","Ward36@cityofchicago.org","http://www.36thward.org","(41.923653, -87.789977)","121 North LaSalle Street, Room 300, Office 41","Chicago","IL","60602","(312) 744-4324"
"37","Mitts, Emma","4924 West Chicago Avenue","Chicago","IL","60651","(773) 379-0960","(773) 773-0966","Ward37@cityofchicago.org","https://www.cityofchicago.org/city/en/about/wards/37.html","(41.895006, -87.749236)","121 North LaSalle Street, Room 300, Office 45","Chicago","IL","60602","(312) 744-3180 / 1589"
"38","Sposato, Nicholas","3821 North Harlem Avenue","Chicago","IL","60634","(773) 283-3838","(773) 283-3235","Ward38@cityofchicago.org","http://aldermansposato.com/","(41.949577, -87.807131)","121 North LaSalle Street, Room 200, Office 2","Chicago","IL","60602","(312) 744-6857"
"39","Nugent, Samantha","4200 West Lawrence Avenue","Chicago","IL","60630","(773) 736-5594",,,"http://www.ward39@cityofchicago.org","(41.968209, -87.733182)","121 North LaSalle Street, Room 200, Office 32","Chicago","IL","60602","(312) 744-7242"
"40","Vasquez, Jr., Andre","5620 North Western Avenue","Chicago","IL","60659","(773) 654-1867",,"Info@40thward.org","http://www.40thward.org","(41.983728, -87.689517)","121 North LaSalle Street, Room 300, Office 34","Chicago","IL","60602","(312) 744-6858"
"41","Napolitano, Anthony V.","7442 North Harlem Avenue","Chicago","IL","60631","(773) 631-2241","(773) 631-2479","Ward41@cityofchicago.org","http://www.chicago41.com","(42.016669, -87.806594)","121 North LaSalle Street, Room 200, Office 1","Chicago","IL","60602","(312) 744-3942"
"42","Reilly, Brendan",,,,,,,,,,"121 North LaSalle Street, Room 200,Office 6","Chicago","IL","60602","(312) 744-3062"
"43","Smith, Michele","2523 North Halsted Street","Chicago","IL","60614","(773) 348-9500","(773) 348-9594","Ward43@cityofchicago.org","http://www.ward43.org/","(41.928003, -87.648822)","121 North LaSalle Street, Room 300, Office 23","Chicago","IL","60602","(312) 744-5685 / 3071"
"44","Tunney, Thomas","3223 North Sheffield Avenue, Suite A","Chicago","IL","60657","(773) 525-6034","(773) 525-5058","Ward44@cityofchicago.org","http://44thward.org/","(41.940497, -87.654108)","121 North LaSalle Street, Room 304","Chicago","IL","60602","(312) 744-3073 / 3133"
"45","Gardiner, James M.","5425 West Lawrence Avenue","Chicago","IL","60630","(773) 853-0799",,"ward45@cityofchicago.org","http://www.aldermangardiner.com","(41.96774, -87.763536)","121 North LaSalle Street, Room 300, Office 44","Chicago","IL","60602","(312) 744-6841"
"46","Cappleman, James","4544 North Broadway","Chicago","IL","60640","(773) 878-4646","(773) 878-4920","Ward46@cityofchicago.org","http://www.James46.org/","(41.964594, -87.656942)","121 North LaSalle Street, Room 200, Office 10","Chicago","IL","60602","(312) 744-6831 / 5694"
"47","Martin, Matthew J.","4243 North Lincoln Avenue","Chicago","IL","60618","(773) 868-4747",,"Ward47@cityofchicago.org","http://www.aldermanmartin.com","(41.958872, -87.682027)","121 North LaSalle Street, Room 200, Office 7","Chicago","IL","60602","(312) 744-4021 / 0446"
"48","Osterman, Harry","5533 North Broadway","Chicago","IL","60640","(773) 784-5277","(773) 784-6630","Ward48@cityofchicago.org","http://www.48thward.org","(41.982685, -87.660001)","121 North LaSalle Street, Room 300, Office 46","Chicago","IL","60602","(312) 744-6834 / 6860"
"49","Hadden, Maria E.","1447 West Morse Avenue","Chicago","IL","60626","(773) 338-5796",,"Office@49thward.org","http://www.49thward.org","(42.007933, -87.667009)","121 North LaSalle Street, Room 200, Office 16","Chicago","IL","60602","(312) 744-3067"
"50","Silverstein, Debra L.","2949 West Devon Avenue","Chicago","IL","60659","(773) 262-1050","(773) 381-2970","Ward50@cityofchicago.org","http://50thwardchicago.com","(41.99748, -87.703925)","121 North LaSalle Street, Room 300, Office 24","Chicago","IL","60602","(312) 744-6855 / 5680"
