Treatment Center,Physical Address,Suite/Floor Number,Phone Number,Service Modalities,Population Served,Payment Method,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards,Historical Wards 2003-2015
Pilsen Wellness Center,"2319 Damen Ave
Chicago, ILLINOIS 60608
(41.8498034719765, -87.67569383410755)",1st Floor ,773-579-0832,"Level 1 & 2,  DUI Evaluation, DUI Risk Education",Adults & Adolescents,Sliding Scale,43,33,14920,126,26,8
A Safe Haven,"7346 Kingston St
Chicago, ILLINOIS 60649
(41.76176113394176, -87.56376846388233)",,312-372-6707 x132,RH,Adults,Sliding Scale,24,39,22538,245,37,43
"Northwestern Counseling Services, Inc.","1771 Greenleaf Ave
Chicago, ILLINOIS 60626
(42.01013440691068, -87.67480989367077)",,773-338-8913,DUI Services,Adults,Client Fees,9,10,21853,49,5,3
Near North Health Service Corporation – Winfield Moody Health Center,"1276 Clybourn St
Chicago, ILLINOIS 60610
(41.9052579817265, -87.64171153413521)",,312-337-1073,Level 1 & 2,Adults & Adolescents,"DASA Funded, Sliding Scale",54,37,14926,309,46,41
Cornerstone Recovering Community,"110011 Wentworth Ave
Chicago, ILLINOIS 60628
(41.691100000000006, -87.61517000000003)",,773-909-2424,RH,Adults,Client Fee,19,45,21861,253,43,30
Cornerstone Recovering Community,"44 112th Pl
Chicago, ILLINOIS 60628
(41.68983787041827, -87.62471993618266)",,773-821-8608,RH,Adult Male,"Sliding Scale, Medicaid, Client Fee",19,45,21861,660,22,45
Youth Service Project Inc. ,"3942 North Ave
Chicago, ILLINOIS 60647
(41.90995325018469, -87.72547670645893)",,773-772-6270,Level 1 & 2,Adults & Adolescents Referred by Probation Only,Sliding Scale,1,24,22535,391,49,27
Cermak Health Services of Cook County,"2800 California Ave
Chicago, ILLINOIS 60608
(41.84132405201849, -87.69520304769682)",,773-869-5641,"Ambulatory Detox,    Methadone Services",Adults,Contact Agency,57,32,14920,124,14,29
Mercy Hospital & Medical Center – Alcoholism & Drug Dependency Program,"2525 Michigan Ave
Chicago, ILLINOIS 60616
(41.84680553741231, -87.62355981076485)",4th Floor,312-567-2000,"Level 1, 2, & 4",Adults,"Medicaid, Self Payment",40,34,21194,193,9,48
Henry’s Sober Living House,"8032 8034 S Ingleside St
Chicago, ILLINOIS 60619
(41.74405000000007, -87.60523)",,773-752-1300,HH,"Adults, Men Only",Sliding Scale,61,40,21546,140,35,31
New Hope Recovery Center,"2451 Lincoln Ave
Chicago, ILLINOIS 60614
(41.92655741497066, -87.65030564791624)",Suite 407,773-883-3916,"Level 2, & Day Treatment",Adults,Self Payment,16,68,21190,769,34,51
Hardin House/Drexel Counseling Services Inc.,"936 63rd St
Chicago, ILLINOIS 60619
(41.77981252054381, -87.6475112967094)",,773-731-5395,"Level 1 & 2,     DUI Services",Adults,No Fee,11,66,21559,22,2,19
McDermott Center/Haymarket Center Marovitz Manor,"124 Sangamon St
Chicago, ILLINOIS 60607
(41.88376959460208, -87.65096918475757)",6th floor  ,312-226-7984 x525,Level 3.5,Adult Women and their  Children under age 5,Sliding Scale,44,29,14917,63,46,41
Lutheran Social Services of Illinois – Men’s Residence North,"1640 Morse Ave
Chicago, ILLINOIS 60626
(42.007872801013555, -87.67091288937732)",,773-338-5105,"Level 3.5, Residential Extended Care",Adult Men,Self Payment,9,10,21853,49,5,3
Southwood Interventions Men’s Program,"5701 Wood St
Chicago, ILLINOIS 60636
(41.79027482889277, -87.66927815924298)",,773-737-4600,Level 3.5,Adults,"Sliding Scale, Medicaid",23,65,22257,385,3,44
Universal Family Connection Inc.,"1350 103rd St
Chicago, ILLINOIS 60644
(41.707745597700736, -87.5914591777071)",,773-261-1421,Level 1,Adults & Adolescents,"Sliding Scale, Medicaid",19,47,21861,643,35,9
Pilsen Wellness Center,"3113 Cermak Rd
Chicago, ILLINOIS 60623
(41.851778788234355, -87.70344658662759)",,773-277-3413,"DUI Services, Methadone Maintenance",Adults,"Medicaid, Self Payment",57,32,21569,261,1,36
Healthcare Alternative Systems Inc.,"5005 Fullerton Ave
Chicago, ILLINOIS 60639
(41.924153523187925, -87.75139371111973)",,773-745-7107,Level 1 & 2 ,"Adults & Adolescents Bilingual Spanish, Domestic Violence Services","Sliding Scale, Client Fee, Third Party",2,19,22615,306,44,7
Addiction Counseling Educational Services of Catholic Charities of Chgo. (ACES),"651 Lake St
Chicago, ILLINOIS 60661
(41.88563739917868, -87.64444214580742)",Suite 100,312-655-7453,Level 1 & 2,Adults,Sliding Scale,45,29,4452,784,36,41
Gutierrez and Associates,"505 LaSalle St
Chicago, ILLINOIS 60610
(41.90442000000013, -87.63700999999998)",Suite 400,312-222-1075,"Level 1 & 2, DUI Services",Adults,"Third Party, Client Fee, Sliding Scale",54,37,14926,290,11,51
"Bridging the Tys to Jordan, Inc.","7122 Vincennes Ave
Chicago, ILLINOIS 60621
(41.76506032828062, -87.6281754622328)",Suite B,773-488-9460,"Level 1 & 2,    DUI Evaluation, DUI Risk Education",Adults & Adolescents,Contact Agency,11,67,21559,494,32,31
South East Alcohol & Drug Abuse Center (SEADAC),"8640 Chicago Ave
Chicago, ILLINOIS 60617
(41.712690000000066, -87.55551000000003)",,773-731-9100 x232,Level 1 & 2,"Adults, Bilingual Spanish",Sliding Scale,25,48,21202,527,47,47
Lutheran Social Services of Illinois – Men’s Residence South,"7843 Essex Ave
Chicago, ILLINOIS 60649
(41.75231377179375, -87.56378187547728)",,773-933-0666,RH,Adult Men,Self Payment,24,39,22538,246,37,43
Counseling Center of Lakeview,"3225 Sheffield Ave
Chicago, ILLINOIS 60657
(41.94035413784783, -87.65404624016026)",,773-549-5886 x332,Level 1 & 2,Adults & Adolescents Bilingual Services,"Sliding Scale, Medicaid, Third Party",22,57,4449,731,25,38
Renewed Hope Community Services,"626 71st St
Chicago, ILLINOIS 60619
(41.76582158867387, -87.60928757015989)",,773-783-3579,Methadone Maintenance,Adults,Self Payment,60,67,21546,480,32,31
Bobby E. Wright CBHC Additions Program,"9 Kedzie Ave
Chicago, ILLINOIS 60612
(41.881199470082755, -87.70603806886054)",,773-722-7900 x4052,Level 1 & 2,Adults & Adolescents,"Sliding Scale, Medicaid, Client Fee",28,28,21184,39,23,11
"Trilogy, Inc.","1400 Greenleaf Ave
Chicago, ILLINOIS 60626
(42.010347248440496, -87.66641250546104)",,773-508-6100,Level 1,Adult MISA,Sliding Scale,9,10,21853,358,5,3
A Safe Haven,"3821 Wrightwood St
Chicago, ILLINOIS 60649
(41.761489999999924, -87.56871999999998)",,773-395-6841,RH,Adults,Sliding Scale,24,39,22538,418,37,43
"Chicago Treatment & Counseling Centers, Inc. I","1223 1225 S Ashland Ave
Chicago, ILLINOIS 60608
(41.84863999999999, -87.67099999999999)",,312-738-3200,"Level 1, DUI Evaluation, DUI Risk Education, Methadone Maintenance, Buprenorphine",Adults,Self Payment,43,33,14920,126,26,8
"South Shore Lakefront, Inc.","2619 75th St
Chicago, ILLINOIS 60649
(41.75900342880513, -87.56094370487548)",,773-375-1900,Level 1 & 2,Adults,Contact Agency,24,39,22538,245,37,43
Community Counseling Centers,"4740 Clark St
Chicago, ILLINOIS 60640
(41.967980187640194, -87.66729384104974)",,773-769-0205,Level 1 & 2,Adults,"Medicaid,          3rd Party",15,31,22616,611,39,13
Cornerstone Recovering Community,"103 112th St
Chicago, ILLINOIS 60628
(41.69071920600703, -87.62596100058312)",,773-909-2424,RH,Adults & Adolescents,"Sliding Scale, Medicaid, Client Fee",19,45,21861,660,22,45
HRDI-Harriet Tubman Women & Children Treatment Facility Residential Program,"11352 State St
Chicago, ILLINOIS 60628
(41.687713571702524, -87.62303064001726)",,773-785-4955,Level 3.5,Adult Women w/Children under age 5,"Sliding Scale, Medicaid, Client Fee, Third Party",19,45,21861,660,22,45
Rosemoor Assessment Substance Abuse Program Inc.,"439 103rd St
Chicago, ILLINOIS 60628
(41.70734767032877, -87.61215640743336)",,773-468-8000,"Level 1, DUI Services",Adults,Self Payment,19,45,21861,570,43,30
"Addiction Recovery Services, Inc.","5514 Archer Ave
Chicago, ILLINOIS 60638
(41.798044296983676, -87.74718961013275)",,773-581-2930,"Level 1 & 2,   DUI Evaluation, DUI Risk Education",Adults,Client Fee,7,53,22268,173,6,35
Christian Community Health Center/Foot Prints,"2815 Fifth Ave
Chicago, ILLINOIS 60612
(41.8808898423228, -87.69698046123693)",,773-533-5600,"Level 1 & 2,  DUI Services",Adults & Adolescents,Sliding Scale Client Fee,28,28,21184,51,46,48
Youth Outreach Services – Austin ,"5912 Division St
Chicago, ILLINOIS 60651
(41.902092823737895, -87.77341849202169)",,773-777-7112,Level 1 & 2,"Adolescents, Bilingual Spanish",Sliding Scale,5,26,4299,565,7,52
HRDI – Impact Incarceration Program,"2700 California Ave
Chicago, ILLINOIS 60608
(41.84246762564018, -87.69523416534639)",Divisions 6 and 7 ,773-869-7631,Level 1 & 2,Adults,Contact Agency,57,32,14920,124,14,29
Cathedral Shelter of Chicago Adult Outpatient Program,"1668 Ogden
Chicago, ILLINOIS 60612
(41.87941556466699, -87.66859684831577)",,312-997-2222,Level 1 & 2,Adults ,Sliding Scale,28,29,21184,90,46,48
The Way Back Inn,"3821 Harlem Ave
Chicago, ILLINOIS 60634
(41.94983178833224, -87.80710861981339)",,708-345-8422,"Level 1 & 2,    DUI Evaluation, DUI Risk Education",Adults,Sliding Scale  VA,52,17,22254,444,19,25
"TASC, Inc.","2320 Roosevelt Rd
Chicago, ILLINOIS 60608
(41.86669893588726, -87.68447552015982)",,312-738-8933,"Assessment, Referral, Case Management, Winners Circle, Recovery Coach",Adults,No Fee,28,29,14920,757,23,8
DUI Counseling Center Bayrach Counseling Services,"4059 47th St
Chicago, ILLINOIS 60632
(41.80778848693755, -87.72527998000733)",Suite 2,773-254-9122,"Level 1 & 2, DUI Services",Adults,Client Fee,56,54,22248,697,8,49
"Brighter, Behavior, Choices, Inc. NFP","6525 Campbell Ave
Chicago, ILLINOIS 60629
(41.77478782930598, -87.685963766378)",,773-434-5526,RH,Adults,Contact Agency,58,64,21867,382,2,44
Lutheran Social Services of Illinois – Behavioral Health Services,"5825 Belmont Ave
Chicago, ILLINOIS 60634
(41.93849141829946, -87.77232566085166)",,773-637-0487,"Level 1 & 2, DUI Services",Adults,Sliding Scale,52,19,22254,82,21,27
"Chicago Treatment & Counseling Centers, Inc. II","4453 BRdway Ave
Chicago, ILLINOIS 60640
(41.971839999999986, -87.66115999999994)",,773-506-2900,"Methadone Maintenance, Buprenorphine",Adults,Self Payment,15,31,22616,633,18,37
Healthcare Alternative Systems Inc.,"2755 Armitage Ave
Chicago, ILLINOIS 60647
(41.917510235355905, -87.69680059683105)",,773-252-3100 x159,"Level 1 & 2, DUI Services",Adults,"Medicaid, State Funded, Sliding Scale",1,23,22535,294,41,24
Heartland Human Care Services Inc. Rafael Center,"4411 Ravenswood Ave
Chicago, ILLINOIS 60640
(41.961945736823566, -87.67396681050712)",3rd Floor  ,773-751-4000,"Level 1&2, HH","Adults, HIV/AIDS, Gay & Lesbian",Medicaid,15,31,22616,576,18,13
"TASC, Inc.","2600 California
Chicago, ILLINOIS 60608
(41.844680709253666, -87.69525540910641)",Room 107         ,773-376-0950,"Assessment, Referral, Case Management",Adults,No Fee,57,32,21569,262,14,29
Sky is the Limit Recovery Facility,"2615 63rd St
Chicago, ILLINOIS 60629
(41.77911271562359, -87.68913241629882)",Ground Floor  ,773-778-7164,"Level 1 & 2  Methadone, Methadone Services,          DUI Services,   DUI Evaluation, DUI Risk Education",Adults & Adolescents,Sliding Scale  Medicaid    Sliding Scale,58,64,21867,319,2,44
Resurrection Addiction Services – Lincoln Park Professionals Program,"2913 Commonwealth Ave
Chicago, ILLINOIS 60657
(41.934516219502854, -87.63790617143272)",6th Floor  ,847-493-3500,"Level 1&2, Buprenorphine DUI Services",Adults,Self Payment,22,57,4449,103,25,38
Christian Community Health Center,"9718 Halsted St
Chicago, ILLINOIS 60628
(41.717605382918876, -87.64324771017796)",,773-233-4100,"Level 1 & 2, DUI Services",Adults,Sliding Scale,13,72,21861,592,22,18
DUI Counseling Center DUI Counseling Services at Lawrence,"2334 Lawrence St
Chicago, ILLINOIS 60625
(41.9686698620092, -87.6878967049362)", Suite 210 ,773-271-4858,"Level 1,    DUI Services",Adult Spanish & English Speaking,Client Fee,20,6,21849,54,18,13
Procare Centers In Our Lady of Resurrection        ,"5645 Addison
Chicago, ILLINOIS 60634
(41.94580801994825, -87.76783890402876)",,773-282-7000,"Level 1 & 2,      DUI Services",Adults & Adolescents,"Client Fee,    Medicaid",52,15,22254,342,44,25
Windows of Opportunity Rehabilitation Service Inc.,"4619 Harrison St
Chicago, ILLINOIS 60644
(41.873177509423556, -87.74042346916545)",1st Floor,773-378-3623,"Level 1, Methadone Maintenance",Adults,Self Payment,32,26,22216,61,14,36
McDermott Center/Haymarket,"124 Sangamon
Chicago, ILLINOIS 60607
(41.88376959460208, -87.65096918475757)"," Buillding C, 2nd floor",312-226-7984,"Medically monitored Detox,         Level 1 & 2,     RH",Adults,Sliding Scale  Medicaid,44,29,14917,63,46,41
"The IDS Group, Inc.-Chicago","111 Washington
Chicago, ILLINOIS 60602
(41.88316876833485, -87.63125673949573)",Suite 1310   ,312-263-1131,"Level 1 & 2,    DUI Evaluation, DUI Risk Education",Adults & Adolescents,Sliding Scale Client Fee,41,38,14310,92,36,22
Advance Counseling Services Inc.,"4125 Archer Ave
Chicago, ILLINOIS 60632
(41.8184808650583, -87.69696445736236)",,773-503-6345,Level 1,Adults,Self Payment,56,55,22248,196,1,49
