"outcome","week_end","age_group","unvaccinated_rate","vaccinated_rate","boosted_rate","crude_vaccinated_ratio","crude_boosted_ratio","age_adjusted_unvaccinated_rate","age_adjusted_vaccinated_rate","age_adjusted_boosted_rate","age_adjusted_vaccinated_ratio","age_adjusted_boosted_ratio","population_unvaccinated","population_vaccinated","population_boosted","outcome_unvaccinated","outcome_vaccinated","outcome_boosted","age_group_min","age_group_max"
"Hospitalizations","2021-05-15T00:00:00.000","50-64","47.2","2.7",,"17.481481481",,,,,,,"135576","221697",,"64","6",,"50","64"
"Hospitalizations","2021-05-29T00:00:00.000","50-64","36.1","1.2",,"30.083333333",,,,,,,"121919","259242",,"44","3",,"50","64"
"Hospitalizations","2021-05-08T00:00:00.000","65-79","68.6","4.9",,"14",,,,,,,"81582","162913",,"56","8",,"65","79"
"Cases","2021-04-24T00:00:00.000","5-11","110.7",,,,,,,,,,"210448",,,"233",,,"5","11"
"Hospitalizations","2021-05-15T00:00:00.000","30-49","22.7","1.2",,"18.916666667",,,,,,,"329934","339993",,"75","4",,"30","49"
"Cases","2021-12-25T00:00:00.000","50-64","2332.2","1040.9","630","2.2405610529","3.7019047619",,,,,,"54627","225471","130961","1274","2347","825","50","64"
"Deaths","2021-06-26T00:00:00.000","All","0.4","0.2",,"2",,"0.6408826885","0.0915066187",,"7.0036757735",,"1209695","1301153",,"5","2",,"999","999"
"Cases","2022-03-05T00:00:00.000","80+","26.7","34.2","34.7","0.7807017544","0.7694524496",,,,,,"26169","14641","43206","7","5","15","80","200"
"Cases","2021-05-01T00:00:00.000","0-4","58.4",,,,,,,,,,"162642",,,"95",,,"0","4"
"Cases","2021-12-18T00:00:00.000","18-29","1628.3","982.3","1072.6","1.6576402321","1.5180868917",,,,,,"150281","283938","44749","2447","2789","480","18","29"
"Deaths","2022-07-09T00:00:00.000","12-17","0","0","0",,,,,,,,"34189","92288","38707","0","0","0","12","17"
"Cases","2021-05-01T00:00:00.000","5-11","113.1",,,,,,,,,,"210448",,,"238",,,"5","11"
"Hospitalizations","2021-05-15T00:00:00.000","80+","54.4","4.3",,"12.651162791",,,,,,,"34907","46557",,"19","2",,"80","200"
"Deaths","2021-12-11T00:00:00.000","All","5.9","1","1.3","5.9","4.5384615385","8.9447484965","1.0693995356","0.5514895653","8.3642719103","16.219252474","832086","1253936","385594","49","12","5","999","999"
"Hospitalizations","2021-07-03T00:00:00.000","80+","6.1","0",,,,,,,,,"32532","52095",,"2","0",,"80","200"
"Cases","2021-07-17T00:00:00.000","80+","24.9","0",,,,,,,,,"32191","52697",,"8","0",,"80","200"
"Cases","2021-05-08T00:00:00.000","0-4","56.6",,,,,,,,,,"162642",,,"92",,,"0","4"
"Cases","2022-08-06T00:00:00.000","30-49","320.1","152.5","220.6","2.0990163934","1.4510426111",,,,,,"116519","281385","348615","373","429","769","30","49"
"Cases","2021-12-04T00:00:00.000","18-29","509.6","207.9","114.1","2.4511784512","4.4662576687",,,,,,"158350","295828","29810","807","615","34","18","29"
"Cases","2021-08-07T00:00:00.000","80+","44.5","30",,"1.4833333333",,,,,,,"31444","53369",,"14","16",,"80","200"
"Cases","2021-05-08T00:00:00.000","5-11","72.2",,,,,,,,,,"210448",,,"152",,,"5","11"
"Hospitalizations","2022-03-05T00:00:00.000","65-79","10.9","9.2","3.2","1.1847826087","3.40625",,,,,,"45814","54396","158279","5","5","5","65","79"
"Cases","2021-05-15T00:00:00.000","0-4","46.7",,,,,,,,,,"162642",,,"76",,,"0","4"
"Cases","2021-11-27T00:00:00.000","All","246","100.8","34.1","2.4404761905","7.2140762463","290.80019654","81.988643439","28.147730847","3.5468350779","10.331212776","865386","1345537","278202","2129","1356","95","999","999"
"Deaths","2021-10-23T00:00:00.000","50-64","5.7","0.9","0","6.3333333333",,,,,,,"70391","330125","13405","4","3","0","50","64"
"Cases","2022-07-23T00:00:00.000","50-64","634.9","192.9","271","3.2913426646","2.342804428",,,,,,"36857","129591","244294","234","250","662","50","64"
"Cases","2021-05-15T00:00:00.000","5-11","77",,,,,,,,,,"210448",,,"162",,,"5","11"
"Hospitalizations","2022-07-16T00:00:00.000","18-29","5","2.3","1.3","2.1739130435","3.8461538462",,,,,,"100592","213498","150750","5","5","2","18","29"
"Deaths","2022-02-05T00:00:00.000","30-49","5.3","0.3","0.3","17.666666667","17.666666667",,,,,,"132503","311914","291458","7","1","1","30","49"
"Cases","2022-06-18T00:00:00.000","80+","98.1","257.7","185.2","0.3806752037","0.5296976242",,,,,,"25472","12419","46436","25","32","86","80","200"
"Hospitalizations","2021-10-16T00:00:00.000","All","11.6","3.1",,"3.7419354839",,"18.325986508","2.4468108918",,"7.489743719",,"975773","1518512",,"113","47",,"999","999"
"Cases","2021-05-22T00:00:00.000","0-4","44.3",,,,,,,,,,"162642",,,"72",,,"0","4"
"Cases","2022-01-08T00:00:00.000","0-4","1374.2",,,,,,,,,,"162642",,,"2235",,,"0","4"
"Deaths","2022-06-18T00:00:00.000","50-64","0","0.8","0","0",,,,,,,"37888","131806","241126","0","1","0","50","64"
"Cases","2021-10-23T00:00:00.000","65-79","90.6","44","7.7","2.0590909091","11.766233766",,,,,,"57389","177312","25888","52","78","2","65","79"
"Cases","2021-05-22T00:00:00.000","5-11","50.8",,,,,,,,,,"210448",,,"107",,,"5","11"
"Hospitalizations","2022-02-19T00:00:00.000","80+","22.9","65.6","21.2","0.3490853659","1.0801886792",,,,,,"26257","15246","42453","6","10","9","80","200"
"Deaths","2022-01-08T00:00:00.000","80+","141.6","107.7","23.9","1.3147632312","5.9246861925",,,,,,"26834","19496","37684","38","21","9","80","200"
"Hospitalizations","2022-02-19T00:00:00.000","30-49","7","3","1.3","2.3333333333","5.3846153846",,,,,,"128034","302319","308847","9","9","4","30","49"
"Hospitalizations","2022-01-01T00:00:00.000","50-64","335.6","73.8","15.4","4.5474254743","21.792207792",,,,,,"52742","208609","149053","177","154","23","50","64"
"Cases","2021-05-29T00:00:00.000","0-4","25.2",,,,,,,,,,"162642",,,"41",,,"0","4"
"Deaths","2022-05-21T00:00:00.000","All","0.2","0.2","0.4","1","0.5","0.2139765808","0.3003465199","0.2583859656","0.7124323627","0.8281277209","628223","892357","970675","1","2","4","999","999"
"Cases","2021-04-03T00:00:00.000","50-64","227.7","20.6",,"11.053398058",,,,,,,"231489","67885",,"527","14",,"50","64"
"Deaths","2021-10-09T00:00:00.000","All","2.6","0.2",,"13",,"4.2235069066","0.1717251615",,"24.594572337",,"986514","1530104",,"26","3",,"999","999"
"Cases","2021-05-29T00:00:00.000","5-11","29.9",,,,,,,,,,"210448",,,"63",,,"5","11"
"Hospitalizations","2021-12-18T00:00:00.000","80+","157.7","83.2","15.8","1.8954326923","9.9810126582",,,,,,"27263","25235","31555","43","21","5","80","200"
"Hospitalizations","2021-06-19T00:00:00.000","80+","3","0",,,,,,,,,"33027","51207",,"1","0",,"80","200"
"Hospitalizations","2022-07-23T00:00:00.000","50-64","21.7","7.7","10.2","2.8181818182","2.1274509804",,,,,,"36857","129591","244294","8","10","25","50","64"
"Hospitalizations","2021-11-20T00:00:00.000","50-64","75.5","6","0","12.583333333",,,,,,,"63592","299824","50435","48","18","0","50","64"
"Cases","2021-06-05T00:00:00.000","0-4","17.2",,,,,,,,,,"162642",,,"28",,,"0","4"
"Hospitalizations","2021-04-10T00:00:00.000","18-29","5.9","1.9",,"3.1052631579",,,,,,,"357030","53773",,"21","1",,"18","29"
"Deaths","2021-10-23T00:00:00.000","65-79","13.9","1.7","0","8.1764705882",,,,,,,"57389","177312","25888","8","3","0","65","79"
"Deaths","2021-09-18T00:00:00.000","12-17","0","0",,,,,,,,,"69766","88604",,"0","0",,"12","17"
"Cases","2021-06-05T00:00:00.000","5-11","21.4",,,,,,,,,,"210448",,,"45",,,"5","11"
"Hospitalizations","2021-05-22T00:00:00.000","All","17.2","1.7",,"10.117647059",,"23.217077628","1.1216096408",,"20.699784295",,"1324359","1021324",,"228","17",,"999","999"
"Deaths","2022-01-15T00:00:00.000","80+","123.6","151.5","25.8","0.8158415842","4.7906976744",,,,,,"26695","18479","38784","33","28","10","80","200"
"Hospitalizations","2022-07-30T00:00:00.000","12-17","0","1.1","0","0",,,,,,,"33745","90818","40498","0","1","0","12","17"
"Cases","2021-11-13T00:00:00.000","5-11","231.4",,,,,,,,,,"179328",,,"415",,,"5","11"
"Cases","2021-06-12T00:00:00.000","0-4","13.5",,,,,,,,,,"162642",,,"22",,,"0","4"
"Hospitalizations","2022-04-16T00:00:00.000","50-64","5","2.2","5.2","2.2727272727","0.9615384615",,,,,,"40233","138018","232046","2","3","12","50","64"
"Hospitalizations","2021-05-08T00:00:00.000","All","20.2","2.4",,"8.4166666667",,"27.482202362","1.4712594916",,"18.679371327",,"1421137","832463",,"287","20",,"999","999"
"Deaths","2022-04-02T00:00:00.000","30-49","0","0","0",,,,,,,,"122892","293798","330283","0","0","0","30","49"
"Cases","2021-06-12T00:00:00.000","5-11","14.3",,,,,,,,,,"210448",,,"30",,,"5","11"
"Deaths","2021-11-13T00:00:00.000","30-49","0.5","0.2","0","2.5",,,,,,,"187312","523888","48102","1","1","0","30","49"
"Deaths","2022-06-11T00:00:00.000","65-79","2.3","2.1","1.2","1.0952380952","1.9166666667",,,,,,"43641","47299","168558","1","1","2","65","79"
"Hospitalizations","2021-05-01T00:00:00.000","30-49","26.4","0.8",,"33",,,,,,,"356333","244659",,"94","2",,"30","49"
"Cases","2022-02-26T00:00:00.000","All","80","36.8","50.7","2.1739130435","1.5779092702","93.356681771","35.064688721","44.821583365","2.6624129623","2.0828510455","655241","916293","893487","524","337","453","999","999"
"Cases","2021-06-19T00:00:00.000","0-4","6.1",,,,,,,,,,"162642",,,"10",,,"0","4"
"Cases","2022-04-02T00:00:00.000","30-49","93.6","50.7","140.5","1.8461538462","0.6661921708",,,,,,"122892","293798","330283","115","149","464","30","49"
"Cases","2021-06-19T00:00:00.000","5-11","7.6",,,,,,,,,,"210448",,,"16",,,"5","11"
"Cases","2021-06-26T00:00:00.000","0-4","10.5",,,,,,,,,,"162642",,,"17",,,"0","4"
"Deaths","2021-10-16T00:00:00.000","All","2","0.3",,"6.6666666667",,"3.0032976604","0.192316567",,"15.616427161",,"975773","1518512",,"20","4",,"999","999"
"Deaths","2021-05-22T00:00:00.000","30-49","1.3","0",,,,,,,,,"315626","375003",,"4","0",,"30","49"
"Cases","2021-06-26T00:00:00.000","5-11","6.2",,,,,,,,,,"210448",,,"13",,,"5","11"
"Cases","2021-08-14T00:00:00.000","80+","73.7","46.7",,"1.5781584582",,,,,,,"31205","53543",,"23","25",,"80","200"
"Hospitalizations","2022-04-30T00:00:00.000","50-64","20.2","7.3","4.7","2.7671232877","4.2978723404",,,,,,"39685","136391","234441","8","10","11","50","64"
"Deaths","2021-08-28T00:00:00.000","30-49","0.9","0.2",,"4.5",,,,,,,"234431","521114",,"2","1",,"30","49"
"Deaths","2021-07-24T00:00:00.000","18-29","0","0",,,,,,,,,"220783","270513",,"0","0",,"18","29"
"Cases","2021-07-03T00:00:00.000","0-4","12.9",,,,,,,,,,"162642",,,"21",,,"0","4"
"Deaths","2022-07-23T00:00:00.000","18-29","0","0","0",,,,,,,,"100264","213126","151334","0","0","0","18","29"
"Cases","2021-12-11T00:00:00.000","80+","152.8","170.4","56.2","0.896713615","2.71886121",,,,,,"27479","28170","28467","42","48","16","80","200"
"Deaths","2022-03-12T00:00:00.000","12-17","0","0","0",,,,,,,,"36673","97281","29357","0","0","0","12","17"
"Cases","2021-07-03T00:00:00.000","5-11","8.6",,,,,,,,,,"210448",,,"18",,,"5","11"
"Deaths","2022-07-02T00:00:00.000","18-29","0","0","0",,,,,,,,"101273","214070","149763","0","0","0","18","29"
"Hospitalizations","2022-03-19T00:00:00.000","30-49","6.5","2","1.8","3.25","3.6111111111",,,,,,"124026","296019","326124","8","6","6","30","49"
"Hospitalizations","2022-01-08T00:00:00.000","80+","573.9","538.6","108.8","1.0655402896","5.2748161765",,,,,,"26834","19496","37684","154","105","41","80","200"
"Deaths","2022-01-29T00:00:00.000","5-11","0","0",,,,,,,,,"111952","61457",,"0","0",,"5","11"
"Cases","2021-07-10T00:00:00.000","0-4","16",,,,,,,,,,"162642",,,"26",,,"0","4"
"Cases","2022-02-05T00:00:00.000","80+","98.5","248","103.8","0.3971774194","0.9489402697",,,,,,"26400","16130","41410","26","40","43","80","200"
"Cases","2021-07-10T00:00:00.000","All","24.7","8.8",,"2.8068181818",,"25.743465219","7.0322644111",,"3.660764686",,"1182954","1359470",,"292","119",,"999","999"
"Cases","2021-10-30T00:00:00.000","All","143.6","57.9","25.6","2.4801381693","5.609375","163.421404","47.014960196","23.801635427","3.4759447487","6.8659737482","956588","1493270","93911","1374","864","24","999","999"
"Cases","2021-07-10T00:00:00.000","5-11","15.2",,,,,,,,,,"210448",,,"32",,,"5","11"
"Deaths","2021-07-17T00:00:00.000","12-17","0","0",,,,,,,,,"100718","58984",,"0","0",,"12","17"
"Cases","2022-01-29T00:00:00.000","5-11","407.3","537",,"0.7584729981",,,,,,,"111952","61457",,"456","330",,"5","11"
"Cases","2021-09-25T00:00:00.000","80+","76.5","44.8",,"1.7075892857",,,,,,,"30076","53627",,"23","24",,"80","200"
"Deaths","2022-04-09T00:00:00.000","All","0.2","0.3","0.2","0.6666666667","1","0.2046732512","0.5885714053","0.1158066052","0.3477458289","1.7673711344","639121","907184","943313","1","3","2","999","999"
"Cases","2021-07-17T00:00:00.000","0-4","17.8",,,,,,,,,,"162642",,,"29",,,"0","4"
"Hospitalizations","2022-06-18T00:00:00.000","18-29","2","4.2","0.7","0.4761904762","2.8571428571",,,,,,"101837","214665","148686","2","9","1","18","29"
"Cases","2021-04-24T00:00:00.000","80+","110.2","15.2",,"7.25",,,,,,,"37220","39594",,"41","6",,"80","200"
"Deaths","2022-04-02T00:00:00.000","18-29","0","0","0",,,,,,,,"106137","219167","140554","0","0","0","18","29"
"Cases","2021-07-17T00:00:00.000","5-11","25.2",,,,,,,,,,"210448",,,"53",,,"5","11"
"Deaths","2021-12-11T00:00:00.000","50-64","18.9","0.8","1.1","23.625","17.181818182",,,,,,"58283","260441","93450","11","2","1","50","64"
"Hospitalizations","2021-04-24T00:00:00.000","30-49","29.6","1",,"29.6",,,,,,,"378056","198312",,"112","2",,"30","49"
"Hospitalizations","2021-09-04T00:00:00.000","All","18","3.7",,"4.8648648649",,"25.560555644","2.8937374491",,"8.8330597001",,"1047765","1473218",,"189","55",,"999","999"
"Deaths","2022-01-29T00:00:00.000","65-79","40.4","23.8","6.1","1.6974789916","6.6229508197",,,,,,"46982","63110","147847","19","15","9","65","79"
"Cases","2021-07-24T00:00:00.000","0-4","36.9",,,,,,,,,,"162642",,,"60",,,"0","4"
"Hospitalizations","2022-07-23T00:00:00.000","18-29","8","1.9","2","4.2105263158","4",,,,,,"100264","213126","151334","8","4","3","18","29"
"Cases","2022-03-19T00:00:00.000","80+","11.5","49.2","29.7","0.2337398374","0.3872053872",,,,,,"26096","14235","43717","3","7","13","80","200"
"Cases","2021-11-20T00:00:00.000","80+","103.2","181.8","16.1","0.5676567657","6.4099378882",,,,,,"28096","37410","18668","29","68","3","80","200"
"Cases","2021-07-24T00:00:00.000","5-11","45.6",,,,,,,,,,"210448",,,"96",,,"5","11"
"Cases","2022-06-25T00:00:00.000","18-29","327.9","136.7","273.4","2.398683248","1.199341624",,,,,,"101559","214371","149239","333","293","408","18","29"
"Hospitalizations","2021-11-06T00:00:00.000","12-17","0","0",,,,,,,,,"61341","103615",,"0","0",,"12","17"
"Cases","2021-06-12T00:00:00.000","18-29","36","4.8",,"7.5",,,,,,,"241983","231515",,"87","11",,"18","29"
"Deaths","2021-04-17T00:00:00.000","All","2.2","0.2",,"11",,"2.9556813087","0.0933838248",,"31.650891522",,"1605723","483484",,"35","1",,"999","999"
"Cases","2021-07-31T00:00:00.000","0-4","40.6",,,,,,,,,,"162642",,,"66",,,"0","4"
"Cases","2022-04-09T00:00:00.000","All","107.2","81.5","148.3","1.3153374233","0.7228590695","113.23502236","75.281612925","131.27342191","1.5041524478","0.8625890962","639121","907184","943313","685","739","1399","999","999"
"Deaths","2021-09-18T00:00:00.000","50-64","7.6","0.6",,"12.666666667",,,,,,,"79074","330339",,"6","2",,"50","64"
"Cases","2022-05-28T00:00:00.000","30-49","375.5","193","398.1","1.9455958549","0.9432303441",,,,,,"119562","287051","340389","449","554","1355","30","49"
"Cases","2021-07-31T00:00:00.000","5-11","50.8",,,,,,,,,,"210448",,,"107",,,"5","11"
"Deaths","2021-05-15T00:00:00.000","50-64","7.4","0",,,,,,,,,"135576","221697",,"10","0",,"50","64"
"Cases","2021-10-16T00:00:00.000","50-64","184.8","45.7",,"4.0437636761",,,,,,,"71964","332672",,"133","152",,"50","64"
"Hospitalizations","2022-05-07T00:00:00.000","12-17","2.8","0","0",,,,,,,,"35263","95455","34435","1","0","0","12","17"
"Cases","2021-08-07T00:00:00.000","0-4","55.3",,,,,,,,,,"162642",,,"90",,,"0","4"
"Hospitalizations","2021-12-04T00:00:00.000","50-64","121.2","13.6","3.7","8.9117647059","32.756756757",,,,,,"60225","272816","80114","73","37","3","50","64"
"Hospitalizations","2021-04-24T00:00:00.000","18-29","9.1","1.2",,"7.5833333333",,,,,,,"306011","84129",,"28","1",,"18","29"
"Cases","2021-08-07T00:00:00.000","5-11","80.3",,,,,,,,,,"210448",,,"169",,,"5","11"
"Cases","2022-01-29T00:00:00.000","80+","268.2","273.7","137.8","0.9799050055","1.946298984",,,,,,"26471","16805","40643","71","46","56","80","200"
"Deaths","2022-04-02T00:00:00.000","65-79","0","1.9","0","0",,,,,,,"45316","51893","161441","0","1","0","65","79"
"Hospitalizations","2022-07-09T00:00:00.000","30-49","6.8","3.5","2","1.9428571429","3.4",,,,,,"117799","283585","345512","8","10","7","30","49"
"Deaths","2022-04-23T00:00:00.000","30-49","0","0","0",,,,,,,,"121551","291021","334725","0","0","0","30","49"
"Cases","2021-08-14T00:00:00.000","0-4","63.9",,,,,,,,,,"162642",,,"104",,,"0","4"
"Hospitalizations","2022-03-19T00:00:00.000","18-29","6.5","1.4","1.4","4.6428571429","4.6428571429",,,,,,"107227","219883","138057","7","3","2","18","29"
"Deaths","2021-07-10T00:00:00.000","65-79","2.9","0",,,,,,,,,"69198","191548",,"2","0",,"65","79"
"Hospitalizations","2022-06-04T00:00:00.000","All","14.9","4.7","9.8","3.170212766","1.5204081633","18.930295798","6.502919434","6.8929062756","2.9110457219","2.7463445811","625026","886893","979485","93","42","96","999","999"
"Deaths","2022-01-22T00:00:00.000","12-17","0","0","0",,,,,,,,"43875","105971","8776","0","0","0","12","17"
"Deaths","2021-07-10T00:00:00.000","All","0.7","0",,,,"0.9872111017","0",,,,"1182954","1359470",,"8","0",,"999","999"
"Hospitalizations","2021-08-14T00:00:00.000","12-17","4.8","0",,,,,,,,,"84075","71264",,"4","0",,"12","17"
"Deaths","2022-03-12T00:00:00.000","All","1.2","0.7","0.2","1.7142857143","6","1.3863093538","1.1337860348","0.1158066052","1.2227257271","11.970900549","648318","915682","916552","8","6","2","999","999"
"Cases","2021-08-21T00:00:00.000","0-4","58.4",,,,,,,,,,"162642",,,"95",,,"0","4"
"Deaths","2022-06-25T00:00:00.000","50-64","0","0","0.4",,"0",,,,,,"37681","131260","241892","0","0","1","50","64"
"Cases","2022-04-23T00:00:00.000","0-4","127.9",,,,,,,,,,"162642",,,"208",,,"0","4"
"Cases","2021-08-07T00:00:00.000","50-64","173.9","54.8",,"3.1733576642",,,,,,,"93147","319447",,"162","175",,"50","64"
"Cases","2021-08-21T00:00:00.000","5-11","102.2",,,,,,,,,,"210448",,,"215",,,"5","11"
"Hospitalizations","2021-06-12T00:00:00.000","30-49","8.9","0",,,,,,,,,"291286","447426",,"26","0",,"30","49"
"Cases","2021-06-19T00:00:00.000","80+","6.1","2",,"3.05",,,,,,,"33027","51207",,"2","1",,"80","200"
"Cases","2022-07-16T00:00:00.000","65-79","239.4","196.2","233.7","1.2201834862","1.0243902439",,,,,,"43028","45874","170700","103","90","399","65","79"
"Deaths","2021-08-21T00:00:00.000","65-79","6.2","1",,"6.2",,,,,,,"64089","196710",,"4","2",,"65","79"
"Cases","2021-08-28T00:00:00.000","0-4","87.9",,,,,,,,,,"162642",,,"143",,,"0","4"
"Hospitalizations","2021-10-02T00:00:00.000","All","12.9","3.2",,"4.03125",,"19.243492542","2.4147630846",,"7.9691016749",,"997293","1521621",,"129","48",,"999","999"
"Cases","2022-03-12T00:00:00.000","All","49.5","21.8","41.5","2.2706422018","1.1927710843","55.792448029","20.926481906","36.170086265","2.6661169459","1.5425024873","648318","915682","916552","321","200","380","999","999"
"Deaths","2021-09-18T00:00:00.000","65-79","13.1","0.5",,"26.2",,,,,,,"61240","196179",,"8","1",,"65","79"
"Cases","2021-08-28T00:00:00.000","5-11","135",,,,,,,,,,"210448",,,"284",,,"5","11"
"Hospitalizations","2022-03-05T00:00:00.000","All","4.5","2.9","1.8","1.5517241379","2.5","5.5219861119","3.503805902","1.2068503025","1.5759965781","4.5755352594","651462","916862","905863","29","27","16","999","999"
"Cases","2022-06-18T00:00:00.000","All","213.5","128.5","226.3","1.6614785992","0.9434379143","267.595776","124.85404228","199.67400489","2.143268821","1.3401633134","622101","879451","989857","1328","1130","2240","999","999"
"Deaths","2021-12-11T00:00:00.000","80+","40","14.2","3.5","2.8169014085","11.428571429",,,,,,"27479","28170","28467","11","4","1","80","200"
"Deaths","2022-03-05T00:00:00.000","30-49","0","0","0",,,,,,,,"125769","298618","319621","0","0","0","30","49"
"Cases","2021-09-04T00:00:00.000","0-4","89.2",,,,,,,,,,"162642",,,"145",,,"0","4"
"Hospitalizations","2021-12-11T00:00:00.000","All","38.2","11.2","3.6","3.4107142857","10.611111111","58.746776314","11.243147767","1.9653690533","5.2251182262","29.890964354","832086","1253936","385594","318","141","14","999","999"
"Cases","2021-10-30T00:00:00.000","18-29","151","57.2","26","2.6398601399","5.8076923077",,,,,,"171553","307791","7695","259","176","2","18","29"
"Hospitalizations","2021-07-31T00:00:00.000","50-64","35.4","2.8",,"12.642857143",,,,,,,"96176","317010",,"34","9",,"50","64"
"Cases","2021-09-04T00:00:00.000","5-11","154.4",,,,,,,,,,"210448",,,"325",,,"5","11"
"Cases","2021-11-13T00:00:00.000","50-64","288.8","87.7","29.4","3.2930444698","9.8231292517",,,,,,"65437","311253","37446","189","273","11","50","64"
"Hospitalizations","2021-07-10T00:00:00.000","All","2.8","0.7",,"4",,"3.3817456196","0.5681009391",,"5.9527196434",,"1182954","1359470",,"33","10",,"999","999"
"Hospitalizations","2021-08-07T00:00:00.000","50-64","35.4","2.2",,"16.090909091",,,,,,,"93147","319447",,"33","7",,"50","64"
"Cases","2021-10-23T00:00:00.000","18-29","133.3","53.7","18.6","2.4823091248","7.1666666667",,,,,,"174000","307447","5386","232","165","1","18","29"
"Cases","2021-09-11T00:00:00.000","0-4","80.5",,,,,,,,,,"162642",,,"131",,,"0","4"
"Cases","2022-05-28T00:00:00.000","12-17","459.3","254.5","342.8","1.8047151277","1.3398483081",,,,,,"34833","94685","35593","160","241","122","12","17"
"Cases","2021-11-06T00:00:00.000","12-17","337.5","51.2",,"6.591796875",,,,,,,"61341","103615",,"207","53",,"12","17"
"Deaths","2021-08-28T00:00:00.000","All","2","0.3",,"6.6666666667",,"2.8410525165","0.2295452041",,"12.376875952",,"1064042","1461319",,"21","4",,"999","999"
"Cases","2021-09-11T00:00:00.000","5-11","164.4",,,,,,,,,,"210448",,,"346",,,"5","11"
