Day,Date,Park,Park Phone,Title,CC,Rating,Underwriter,Park Address,Location,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards
Wed,06/21/2017,Osterman Beach,(312) 742-1134,The Umbrellas of Cherbourg,Y,NR,Underwritten by the Consulate General of France in Chicago,5800 N. Lake Shore Dr.,"5800 N. Lake Shore Dr.
Chicago, IL",,,,,
Sat,06/17/2017,Winnemac Park,(312) 742-5101,Ghostbusters (2016),Y,PG-13,,5100 N. Leavitt St,"5100 N. Leavitt St
Chicago, IL
(41.974286, -87.684226)",20,6,21849,106,24
Sun,07/23/2017,Jonquil Playlot Park,(312) 742-7816,Arrival,Y,PG-13,Underwritten by the Wrightwood Neighbors Association,1001 W. Wrightwood Ave.,"1001 W. Wrightwood Ave.
Chicago, IL
(41.929029, -87.653839)",16,68,21190,795,34
Sun,06/25/2017,Jonquil Playlot Park,(312) 742-7816,La La Land,Y,PG-13,Underwritten by the Wrightwood Neighbors Association,1001 W. Wrightwood Ave.,"1001 W. Wrightwood Ave.
Chicago, IL
(41.929029, -87.653839)",16,68,21190,795,34
Sat,07/22/2017,Bradley Park,(312) 747-6022,Sing,Y,PG,,9729 S.Yates Ave.,"9729 S.Yates Ave.
Chicago, IL",,,,,
Tue,08/22/2017,Lawler Park,(773) 284-7328,Trolls,Y,PG,,5210 W. 64th St.,"5210 W. 64th St.
Chicago, IL
(41.775988, -87.752314)",7,62,22268,337,15
Fri,06/16/2017,Cornell Square Park,(312) 747-6097,The Secret Life of Pets,Y,PG,,1809 W. 50th St.,"1809 W. 50th St.
Chicago, IL
(41.803113, -87.670689)",37,59,14924,709,3
Fri,07/14/2017,Kenwood Community Park,(312) 747-6286,The Secret Life of Pets,Y,PG,,1330 E. 50th St.,"1330 E. 50th St.
Chicago, IL
(41.804204, -87.593853)",10,5,21192,356,10
Fri,07/28/2017,Oakdale Park,(312) 747-6569,Tyler Perry's Boo: A Madea Halloween,Y,PG-13,,965 W. 95th St.,"965 W. 95th St.
Chicago, IL
(41.721324, -87.648147)",13,72,22212,592,13
Fri,07/28/2017,Athletic Field Park,(773) 478-2889,Ferris Bueller's Day Off,Y,PG-13,Produced by the Athletic Field Park Advisory Council,3546 W. Addison St.,"3546 W. Addison St.
Chicago, IL
(41.946538, -87.715942)",39,16,21538,325,12
Fri,08/25/2017,Clark (John) Park,(773) 287-7794,Sing,Y,PG,Co-produced by 24th Ward Alderman Michael Scott Jr.,4615 W. Jackson Blvd.,"4615 W. Jackson Blvd.
Chicago, IL
(41.876926, -87.740505)",32,26,22216,69,23
Sat,08/26/2017,Chicago Women's Park and Gardens,(312) 328-0821,The LEGO Batman Movie,Y,PG,Underwritten by the Prairie District Neighborhood Alliance,1801 S. Indiana Ave.,"1801 S. Indiana Ave.
Chicago, IL
(41.857935, -87.622279)",40,34,21194,374,9
Wed,07/05/2017,Vittum Park,(773) 284-6022,Ghostbusters (2016),Y,PG-13,Underwritten by Paisanos Basketball Association,5010 W. 50th St.,"5010 W. 50th St.
Chicago, IL
(41.801881, -87.762183)",,,22268,,
Thu,06/22/2017,Oz Park,(312) 742-7898,Angels in the Outfield,Y,PG,Underwritten by the Oz Park Baseball Association,2021 N. Burling St.,"2021 N. Burling St.
Chicago, IL
(41.919044, -87.647303)",16,68,21190,798,34
Fri,08/11/2017,Maplewood Playlot Park,(312) 742-7554,Finding Dory,Y,PG,,1640 N.Maplewood Ave.,"1640 N.Maplewood Ave.
Chicago, IL
(41.911016, -87.690906)",1,25,22535,287,41
Wed,07/19/2017,Blackhawk Park,(312) 746-5014,Finding Dory,Y,PG,,2318 N. Lavergne Ave.,"2318 N. Lavergne Ave.
Chicago, IL
(41.923288, -87.751205)",2,19,22615,306,44
Sat,07/15/2017,Chicago Women's Park and Gardens,(312) 328-0821,La La Land,Y,PG-13,Underwritten by the Prairie District Neighborhood Alliance,1801 S. Indiana Ave.,"1801 S. Indiana Ave.
Chicago, IL
(41.857935, -87.622279)",40,34,21194,374,9
Thu,06/22/2017,Lowe Playground Park,(312) 747-6445,Fences,Y,PG-13,,5203 S. Lowe Ave.,"5203 S. Lowe Ave.
Chicago, IL
(41.799823, -87.641609)",37,59,14924,84,9
Fri,07/28/2017,Avalon Park,(312) 747-6015,Sing,Y,PG,,1215 E. 83rd St.,"1215 E. 83rd St.
Chicago, IL
(41.744101, -87.594181)",61,41,21546,133,35
Sun,08/13/2017,Northerly Island,(312) 745-2910,Close Encounters of the Third Kind,Y,PG,,1521 S. Linn White Dr.,"1521 S. Linn White Dr.
Chicago, IL
(41.860664, -87.610261)",35,34,14913,374,10
Tue,08/15/2017,Rosedale Park,(773) 631-7156,Hop,Y,PG,,6312 W. Rosedale Ave.,"6312 W. Rosedale Ave.
Chicago, IL
(41.988423, -87.787031)",18,36,22532,656,50
Thu,08/17/2017,Washtenaw Park,(312) 747-4420,The LEGO Batman Movie,Y,PG,,2521 S. Washtenaw Ave.,"2521 S. Washtenaw Ave.
Chicago, IL
(41.846195, -87.692821)",43,32,14920,263,14
Tue,06/27/2017,Chicago History Museum,(312) 742-1134,Field of Dreams,Y,PG,Underwritten by the Chicago History Museum,1601 N. Clark St.,"1601 N. Clark St.
Chicago, IL
(41.911789, -87.631947)",16,68,21190,271,34
Sat,07/15/2017,DuSable Museum of African American History,(312) 742-1134,Madea's Tough Love,Y,PG,Underwritten by the DuSable Museum of African American History,740 E. 56th Pl.,"740 E. 56th Pl.
Chicago, IL
(41.793186, -87.605804)",60,8,22260,154,33
Thu,08/17/2017,Hoyne Playground Park,(312) 747-6184,Frozen,Y,PG,,3417 S. Hamiltion Ave.,"3417 S. Hamiltion Ave.
Chicago, IL
(41.831627, -87.678962)",43,56,14920,2,1
Sun,08/06/2017,Gill Park,(312) 742-7802,Tomboy,Y,NR,,825 W. Sheridan Rd.,"825 W. Sheridan Rd.
Chicago, IL
(41.952738, -87.650669)",53,57,21186,83,39
Wed,08/16/2017,"Bartelme, Mary Park",(312) 746-5962,The BFG,Y,PG,Underwritten by the West Loop Community Organization,115 S. Sangamon St.,"115 S. Sangamon St.
Chicago, IL
(41.879642, -87.650804)",44,29,14917,91,26
Mon,09/04/2017,Osterman Beach,(312) 742-1134,Top Gun,Y,PG,,5800 N. Lake Shore Dr.,"5800 N. Lake Shore Dr.
Chicago, IL",,,,,
Wed,07/12/2017,Sheridan Park,(312) 746-5369,The Secret Life of Pets,Y,PG,,910 S. Aberdeen St.,"910 S. Aberdeen St.
Chicago, IL
(41.870662, -87.654257)",44,29,14917,87,26
Mon,07/17/2017,Calumet Park,(312) 747-6039,The Princess Bride,Y,PG,,9801 S. Ave G,"9801 S. Ave G
Chicago, IL
(41.717823, -87.531589)",25,49,21202,705,47
Mon,07/17/2017,River Park,(312) 742-7516,Trolls,Y,PG,,5100 N. Francisco Ave.,"5100 N. Francisco Ave.
Chicago, IL
(41.973861, -87.701292)",20,6,21849,620,24
Tue,08/08/2017,Davis Square Park,(312) 747-6107,Power Rangers,Y,PG-13,,4430 S. Marshfield Ave.,"4430 S. Marshfield Ave.
Chicago, IL
(41.813515, -87.666312)",37,59,14924,706,3
Fri,08/11/2017,Hadiya Pendleton Park,(312) 747-6707,Sing,Y,PG,,4345 S. Calumet Ave.,"4345 S. Calumet Ave.
Chicago, IL
(41.815818, -87.618305)",36,4,4301,162,9
Thu,06/15/2017,Wicker Park,(312) 742-7553,Moonstruck,Y,PG,Underwritten by The Wormhole Coffee,1425 N. Damen Avenue,"1425 N. Damen Avenue
Chicago, IL
(41.90763, -87.677389)",4,25,21560,481,41
Tue,08/01/2017,Blackhawk Park,(312) 746-5014,The Book of Life,Y,PG,Underwritten by Alderman Gilbert Villegas,2318 N. Lavergne Ave.,"2318 N. Lavergne Ave.
Chicago, IL
(41.923288, -87.751205)",2,19,22615,306,44
Tue,08/01/2017,Grand Crossing Park,(312) 747-6158,Southside With You,Y,PG-13,,7655 S. Ingleside Ave.,"7655 S. Ingleside Ave.
Chicago, IL
(41.755786, -87.60167)",61,67,21546,497,35
Sat,08/05/2017,Senn Playlot Park,(312) 742-7502,Finding Dory,Y,PG,,5887 N. Ridge Ave.,"5887 N. Ridge Ave.
Chicago, IL
(41.988713, -87.668464)",14,76,4451,539,16
Wed,08/30/2017,Indian Boundary Park and Cultural Center,(773) 764-0338,Chicago Onscreen Local Film Showcase,,NR,,2500 W. Lunt Ave.,"2500 W. Lunt Ave.
Chicago, IL
(42.008606, -87.692536)",12,20,22528,42,27
Tue,08/29/2017,Shedd Park,(773) 762-3168,Tyler Perry's Boo: A Madea Halloween,Y,PG-13,,3660 W. 23rd St.,"3660 W. 23rd St.
Chicago, IL
(41.849847, -87.716566)",57,32,21569,754,28
Thu,06/29/2017,Owens Park,(312) 747-6709,Sing,Y,PG,,8800 S. Clyde,"8800 S. Clyde
Chicago, IL
(41.734405, -87.573238)",25,44,21202,473,35
Fri,06/23/2017,Homan Square Park,(312) 746-6650,Queen of Katwe,Y,PG,Co-produced by 24th Ward Alderman Michael Scott Jr.,3559 W. Arthington,"3559 W. Arthington
Chicago, IL
(41.869979, -87.714642)",30,28,21572,685,14
Fri,07/21/2017,Kilbourn Park,(773) 685-3351,The Sandlot,Y,PG,,3501 N. Kilbourn Ave.,"3501 N. Kilbourn Ave.
Chicago, IL
(41.944504, -87.739651)",21,16,22618,328,21
Thu,07/27/2017,Austin Town Hall Park,(773) 287-7658,Tyler Perry's Boo: A Madea Halloween,Y,PG-13,,5610 W. Lake St.,"5610 W. Lake St.
Chicago, IL
(41.887286, -87.765528)",32,26,22216,672,7
Wed,06/28/2017,Olympia Park,(773) 631-6861,Sing,Y,PG,,6566 N. Avondale Ave.,"6566 N. Avondale Ave.
Chicago, IL
(41.999736, -87.814958)",17,77,22243,655,29
Fri,06/16/2017,Anderson Playground Park,(312) 747-6007,Ghostbusters (2016),Y,PG-13,,3748 S. Prairie Ave.,"3748 S. Prairie Ave.
Chicago, IL
(41.827101, -87.620457)",36,1,4301,222,9
Mon,06/19/2017,Grant Park: Grove 5,(312) 742-1134,Dirty Dancing,Y,PG-13,,800 S. Columbus Dr.,"800 S. Columbus Dr.
Chicago, IL
(41.872058, -87.620555)",35,38,14913,368,10
Thu,07/20/2017,Wicker Park,(312) 742-7553,The Wicker Man,Y,PG-13,Underwritten by the Wicker Park Bucktown Chamber and the Wicker Park Advisory Council,1425 N. Damen Avenue,"1425 N. Damen Avenue
Chicago, IL
(41.90763, -87.677389)",4,25,21560,481,41
Fri,06/23/2017,Osterman Beach,(312) 742-1134,The Unsinkable Molly Brown,,NR,,5800 N. Lake Shore Dr.,"5800 N. Lake Shore Dr.
Chicago, IL",,,,,
Wed,08/23/2017,Cotton Tail Park,(312) 747-7640,Wall-E,Y,G,Underwritten by the Museum of Science and Industry,44 W. 15th St.,"44 W. 15th St.
Chicago, IL
(41.861916, -87.629097)",35,34,14913,330,9
Fri,06/23/2017,Columbus Park,(773) 287-7641,Queen of Katwe,Y,PG,,500 S. Central Ave.,"500 S. Central Ave.
Chicago, IL
(41.873961, -87.764595)",32,26,22216,68,7
Wed,06/21/2017,Heritage Green Park,(312) 746-5494,Sing,Y,PG,Underwritten by the West Loop Community Organization,610 W. Adams St.,"610 W. Adams St.
Chicago, IL
(41.879284, -87.642727)",45,29,4452,786,36
Wed,08/23/2017,McGuane Park,(312) 747-6497,Rogue One,Y,PG-13,,2901 S. Poplar Ave.,"2901 S. Poplar Ave.
Chicago, IL
(41.840891, -87.649283)",43,58,14920,59,48
Sat,07/22/2017,Gross Park,(312) 742-7528,Fantastic Beasts and Where to Find Them,Y,PG-13,,2708 W. Lawrence Ave.,"2708 W. Lawrence Ave.
Chicago, IL
(41.968581, -87.696593)",20,6,21849,28,24
Wed,08/09/2017,Piotrowski Park,(312) 745-4801,Los Fabulosos Ma Mejores,Y,NR,Underwritten by the International Latino Cultural Center,4247 W. 31st St.,"4247 W. 31st St.
Chicago, IL
(41.836813, -87.731076)",57,32,21569,248,28
Sun,07/23/2017,Emmerson Park,(773) 761-0433,Kung Fu Panda 3,Y,PG,,1820 W. Granville Ave.,"1820 W. Granville Ave.
Chicago, IL
(41.994338, -87.676586)",14,20,4451,43,24
Tue,07/18/2017,A. Montgomery Ward Park,(312) 742-7895,La La Land,Y,PG-13,Underwritten by the River North Residents Association,630 N. Kingsbury St.,"630 N. Kingsbury St.
Chicago, IL
(41.892878, -87.640952)",55,37,4446,652,36
Thu,07/27/2017,Normandy Playground Park,(773) 229-1421,Moana,Y,PG,,6660 W. 52nd St.,"6660 W. 52nd St.
Chicago, IL
(41.797751, -87.788917)",7,53,22268,588,8
Sat,08/12/2017,White (Willye B.) Park,(773) 262-5051,Trolls,Y,PG,,7631 N. Ashland Ave.,"7631 N. Ashland Ave.
Chicago, IL
(42.020685, -87.670605)",9,10,21853,340,5
Wed,07/26/2017,Jesse White Community Center,(312) 742-2410,Finding Dory,Y,PG,,412 W. Chicago Ave.,"412 W. Chicago Ave.
Chicago, IL
(41.896584, -87.639255)",54,37,14926,652,46
Thu,08/10/2017,Pasteur Park,(773) 284-0530,Sing,Y,PG,,5825 S. Kostner Ave,"5825 S. Kostner Ave
Chicago, IL
(41.786168, -87.732757)",58,60,21867,773,15
Tue,07/25/2017,Chicago History Museum,(312) 742-1134,Airplane!,Y,PG,Underwritten by the Chicago History Museum,1601 N. Clark St.,"1601 N. Clark St.
Chicago, IL
(41.911789, -87.631947)",16,68,21190,271,34
Mon,06/26/2017,Harold Washington Playlot Park,(312) 747-6620,An American in Paris,,NR,,5200 S. Hyde Park Blvd.,"5200 S. Hyde Park Blvd.
Chicago, IL
(41.800598, -87.584362)",10,8,21192,405,33
Fri,07/14/2017,Douglas Park Cultural and Community Center,(773) 762-2842,Sing,Y,PG,,1401 S. Sacramento Dr.,"1401 S. Sacramento Dr.
Chicago, IL
(41.862686, -87.701891)",57,30,21569,132,14
Fri,07/21/2017,Ronan Park,(312) 742-7516,Zootopia,Y,PG,Underwritten by Alderman Deb Mell,3000 W. Argyle St.,"3000 W. Argyle St.
Chicago, IL
(41.972114, -87.704547)",20,14,21849,749,20
Sat,08/05/2017,Sauganash Park,(773) 685-6122,Moana,Y,PG,Underwritten by the Edgebrook Sauganash Athletic Association,5861 N. Kostner Ave.,"5861 N. Kostner Ave.
Chicago, IL
(41.987404, -87.738313)",18,12,22532,713,38
Fri,08/18/2017,Abbott Park,(312) 747-6001,Moana,Y,PG,,49 E. 95th St.,"49 E. 95th St.
Chicago, IL
(41.721687, -87.622358)",19,45,21546,567,43
Thu,08/03/2017,Marquette Park,(312) 747-6469,Moana,Y,PG,,6743 S. Kedzie Ave.,"6743 S. Kedzie Ave.
Chicago, IL
(41.77132, -87.702908)",58,64,21867,383,31
Wed,08/16/2017,Cotton Tail Park,(312) 747-7640,Zootopia,Y,PG,Underwritten by the Greater South Loop Association,44 W. 15th St.,"44 W. 15th St.
Chicago, IL
(41.861916, -87.629097)",35,34,14913,330,9
Fri,08/11/2017,Smith (Wendell) Playlot Park,(312) 747-6689,Central Intelligence,Y,PG-13,,9912 S. Princeton Ave.,"9912 S. Princeton Ave.
Chicago, IL
(41.713967, -87.630861)",19,45,21861,569,43
Sat,07/08/2017,Oz Park,(312) 742-7898,Jaws,Y,PG,Underwritten by the Oz Park Advisory Council,2021 N. Burling St.,"2021 N. Burling St.
Chicago, IL
(41.919044, -87.647303)",16,68,21190,798,34
Thu,08/31/2017,Wicker Park,(312) 742-7553,Chicago Onscreen Local Film Showcase,,NR,,1425 N. Damen Ave.,"1425 N. Damen Ave.
Chicago, IL
(41.90763, -87.677389)",4,25,21560,481,41
