"vendor_number","vendor_name","submission_date","business_type","business_employees","address","city","state","zip","reporting_year","record_id"
"1022344","WASTE MANAGEMENT OF ILLINOIS|WASTE MANAGEMENT OF ILLINOIS INC/MTR","2021-08-04T00:00:00.000","WASTE-REMOVAL","1000-ABOVE","700 E BUTTERFIELD RD","LOMBARD","IL","60148","2020","1022344_2020"
"1027296","AON RISK SERVICES","2021-08-03T00:00:00.000","RISK/HEALTH/RETIREMENT","1000-ABOVE","PO BOX 75511","CHICAGO","IL","60675-5111","2020","1027296_2020"
"10553391","GRANITE CONSTRUCTION COMPANY","2021-08-02T00:00:00.000","CONSTRUCTION","1000-ABOVE","2215 SANDERS RD # 400","NORTHBROOK","IL","60062","2020","10553391_2020"
"51307026","KAPLAN KIRSCH & ROCKWELL","2021-08-02T00:00:00.000","LEGAL","50-200","1675 BROADWAY STE 2300","DENVER","CO","80202","2020","51307026_2020"
"1050378","MCCORKLE LITIGATION SERVICES INC","2021-08-02T00:00:00.000","LEGAL","10-50","200 N LASALLE STREET EFT","CHICAGO","IL","60601-1014","2020","1050378_2020"
"736527","ROOT BROTHERS.MANUFACTURING & SUPPLY CO.","2021-08-01T00:00:00.000","CONSTRUCTION,CONSTRUCTION,PART,TOOLS","10-50","10307-10325 S MICHIGAN AVE","CHICAGO","IL","60628","2020","736527_2020"
"349777","H-O-H WATER TECHNOLOGY INC","2021-07-28T00:00:00.000","WATER TREATMENT SERVICES","50-200","PO BOX 487","PALATINE","IL","60078","2020","349777_2020"
"1067905","MOBILE FACILITIES OF ILL, INC.","2021-07-28T00:00:00.000","OFFICE TRAILER RENTAL","UNDER-10","3230 E LINCOLN HWY","CHICAGO HEIGHTS","IL","60411","2020","1067905_2020"
"1071501","QUERREY & HARROW","2021-07-28T00:00:00.000","LEGAL","10-50","175 W JACKSON EFT","CHICAGO","IL","60604","2020","1071501_2020"
"56892388","RUSSO HARDWARE, INC.","2021-07-27T00:00:00.000","CONSTRUCTION,EQUIPMENT,PART","200-500","RUSSO HARDWARE INC.","SCHILLER PARK","IL","60176","2020","56892388_2020"
"1062997","ANCHOR MECHANICAL, INC","2021-07-16T00:00:00.000","CONSTRUCTION,HVAC AND PLUMBING (MECHANICAL SYSTEMS)","50-200","255 N CALIFORNIA AVE","CHICAGO","IL","60612","2020","1062997_2020"
"55919024","CBRE INC.","2021-07-16T00:00:00.000","PROPERTY","1000-ABOVE","PO BOX 15531","CHICAGO","IL",,"2020","55919024_2020"
"1070672","OFFICE DEPOT, INC.","2021-07-14T00:00:00.000","OFFICE SUPPLIES","1000-ABOVE","2200 OLD GERMANTOWN RD","DELRAY BEACH","FL","33445","2020","1070672_2020"
"1071760","JOHNSON CONTROLS FIRE PROTECTION LP","2021-07-13T00:00:00.000","CONSTRUCTION","1000-ABOVE","DEPT CH 10320 (EFT)","PALATINE","IL","60055-0320","2020","1071760_2020"
"518232","H W LOCHNER INC","2021-07-12T00:00:00.000","ARCH-ENG-CONST","500-1000","225 W WASHINGTON STREET EFT","CHICAGO","IL","60606","2020","518232_2020"
"10191302","TELOS IDENTY MANAGEMENT SOLUTIONS LLC","2021-07-12T00:00:00.000","IT","500-1000","19886 ASHBURN ROAD","ASHBURN","VA","20147","2020","10191302_2020"
"339768","GRAYBAR ELECTRIC COMPANY, INC","2021-07-09T00:00:00.000","DISTRIBUTOR OF ELECTRICAL AND COMM DATA PRODUCTS","1000-ABOVE","900 REGENCY DR UNIT 4","GLENDALE HEIGHTS","IL","60139","2020","339768_2020"
"50102983","EXPERIMENTAL STATION: 6100 BLACKSTONE","2021-07-08T00:00:00.000","FARMERS MARKET EBT PROVIDER","10-50","6100 S BLACKSTONE AVE","CHICAGO","IL","60637","2020","50102983_2020"
"54737021","MAXIMUS CONSULTING SERVICES INC","2021-07-08T00:00:00.000","FINANCIAL","50-200","PO BOX 791188","BALTIMORE","MD","21279","2020","54737021_2020"
"1054147","GARTNER GROUP, INC","2021-07-06T00:00:00.000","IT","1000-ABOVE","PO BOX 73783","ROCHESTER","NY","14673-3783","2020","1054147_2020"
"10566188","STERLING BAY CAPITAL PARTNERS LLL LP","2021-07-06T00:00:00.000","REAL-ESTATE-DEVELOPER","50-200","333 N GREEN ST STE 1100","CHICAGO","IL","60607","2020","10566188_2020"
"131055","BURNS & MCDONNELL ENGINEERING CO. INC.","2021-07-02T00:00:00.000","ARCH-ENG-CONST","1000-ABOVE","9400 WARD PKWY","KANSAS CITY","MO","64114-3319","2020","131055_2020"
"10554518","K2 INTELLIGENCE, LLC","2021-07-02T00:00:00.000","MANAGEMENT CONSULTING","200-500","845 THIRD AVE","NEW YORK","NY","10022","2020","10554518_2020"
"51025026","PROFESSIONAL METERS INC","2021-07-02T00:00:00.000","WATER METER INSTALLATION","50-200","PO BOX 506","MORRIS","IL","60450","2020","51025026_2020"
"50091993","AECOM SERVICES OF ILLINOIS INC","2021-07-01T00:00:00.000","ARCH-ENG-CONST","1000-ABOVE","303 E WACKER DR","CHICAGO","IL","60601","2020","50091993_2020"
"1069800","AECOM TECHNICAL SERVICES, INC.","2021-07-01T00:00:00.000","ARCH-ENG-CONST","1000-ABOVE","1178 PAYSPHERE CIR","CHICAGO","IL","60674","2020","1069800_2020"
"10152962","AECOM TECHNICAL SERVICES, INC.","2021-07-01T00:00:00.000","ARCH-ENG-CONST","1000-ABOVE","1178 PAYSPHERE CIR","CHICAGO","IL","60674","2020","10152962_2020"
"52614022","AECOM USA INC","2021-07-01T00:00:00.000","ARCH-ENG-CONST","1000-ABOVE","1178 PAYSHERE CIR","CHICAGO","IL","60674","2020","52614022_2020"
"52461040","ALLIANCE DEMOLITION SERVICES, INC.","2021-07-01T00:00:00.000","DEMOLITION","10-50","10823 S LANGLEY AVE","CHICAGO","IL","60628","2020","52461040_2020"
"51855026","ARTS AUTO REBUILDERS","2021-07-01T00:00:00.000","REPAIR-MAINTENANCE","10-50","7400 S WESTERN AVENUE EFT","CHICAGO","IL","60636","2020","51855026_2020"
"1008771","BIGANE PAVING COMPANY","2021-07-01T00:00:00.000","CONSTRUCTION","50-200","935 W CHESTNUT ST STE 20","CHICAGO","IL","60622-5445","2020","1008771_2020"
"102079","BLINDERMAN CONSTRUCTION COMPANY INC|BLINDERMAN CONSTRUCTION COMPANY, INC.","2021-07-01T00:00:00.000","CONSTRUCTION","10-50","8501 W HIGGINS RD STE 320","CHICAGO","IL","60631","2020","102079_2020"
"112158","BRADFORD SYSTEMS CORPORATION","2021-07-01T00:00:00.000","SALE AND INSTALLATION OF SHELVING AND STORAGE SYSTEMS","50-200","8145 RIVER DR","MORTON GROVE","IL","60053","2020","112158_2020"
"56395083","CONDUENT STATE & LOCAL SOLUTIONS INC|XEROX STATE & LOCAL SOLUTIONS, INC.","2021-07-01T00:00:00.000","IT,BUSINESS PROCESSING,TRANSPORTATION","1000-ABOVE","12410 MILESTONE CENTER DR","GERMANTOWN","MD","20878","2020","56395083_2020"
"10554505","EXIGER LLC","2021-07-01T00:00:00.000","CONSULTING","500-1000","1095 AVENUE OF THE AMERICAS FL 5TH","NEW YORK","NY","10036","2020","10554505_2020"
"51228021","FIFTH THIRD BANK 01","2021-07-01T00:00:00.000","FINANCIAL","1000-ABOVE","Matthew Kirchner","CHICAGO","IL","60606","2020","51228021_2020"
"10554015","GRANITE INLINER LLC.","2021-07-01T00:00:00.000","CONSTRUCTION","1000-ABOVE","5031 W 66TH ST","BEDFORD PARK","IL","60638","2020","10554015_2020"
"1058216","HERC RENTALS INC","2021-07-01T00:00:00.000","EQUIPMENT,EQUIPMENT RENTALS","1000-ABOVE","4039 S PEORIA ST","CHICAGO","IL","60609","2020","1058216_2020"
"52180026","JACOBS ENGINEERING GROUP INC","2021-07-01T00:00:00.000","ARCH-ENG-CONST","200-500","800 MARKET ST","SAINT LOUIS","MO","63150-8713","2020","52180026_2020"
"131288","JOHN BURNS CONSTRUCTION CO.","2021-07-01T00:00:00.000","CONSTRUCTION","200-500","17601 SOUTHWEST HWY","ORLAND PARK","IL","60462-0827","2020","131288_2020"
"1065811","JONES LANG LASALLE AMERICAS,INC","2021-07-01T00:00:00.000","PROPERTY","1000-ABOVE","200 E RANDOLPH ST FL 72ND","CHICAGO","IL","60601","2020","1065811_2020"
"10222707","LAKESHORE RECYCLING SYSTEMS","2021-07-01T00:00:00.000","WASTE-REMOVAL","1000-ABOVE","6132 OAKTON ST","MORTON GROVE","IL","60053","2020","10222707_2020"
"1053801","LEEWAY WRECKING, INC.","2021-07-01T00:00:00.000","DEMOLITION","10-50","PO BOX 12570  EFT","CHICAGO","IL","60612","2020","1053801_2020"
"1061734","MCDONAGH DEMOLITION, INC.","2021-07-01T00:00:00.000","CONSTRUCTION,DEMOLITION,JANITORIAL","50-200","7243 W TOUHY AVE","CHICAGO","IL","60631","2020","1061734_2020"
"10512976","MEADE INDUSTRIES INC","2021-07-01T00:00:00.000","CONSTRUCTION","1000-ABOVE","9550 W 55TH ST STE A","MC COOK","IL","60525","2020","10512976_2020"
"10548676","MICHAEL BAKER INTERNATIONAL, INC.","2021-07-01T00:00:00.000","ARCH-ENG-CONST","1000-ABOVE","PO BOX 536408","PITTSBURGH","PA","15253","2020","10548676_2020"
"57092434","MICHELS CORPORATION","2021-07-01T00:00:00.000","CONSTRUCTION","1000-ABOVE","817 MAIN ST","BROWNSVILLE","WI","53006","2020","57092434_2020"
"1055083","MSC INDUSTRIAL SUPPLY CO","2021-07-01T00:00:00.000","EQUIPMENT,JANITORIAL,PART,TOOLS,MACHINERY, SAFETY, INDUSTRIAL SUPPLIES, MRO","1000-ABOVE","DEPT CH 0075","PALATINE","IL","60155-0075","2020","1055083_2020"
"695970","PREFORM TRAFFIC CONTROL SYSTEMS, LIMITED","2021-07-01T00:00:00.000","SPECIALIZE IN THE APPLICATION AND MAINTENANCE OF PAINT PAVEMENT MARKINGS ON AIRPORT RUNWAYS & TAXIWAYS, AND ON HIGHWAYS","10-50","625 RICHARD LN","ELK GROVE VILLAGE","IL","60007","2020","695970_2020"
"1056863","PROFESSIONAL DYNAMIC NETWORK INC","2021-07-01T00:00:00.000","CLERICAL,STAFFING","UNDER-10","PO BOX 13188  EFT","MILWAUKEE","WI","53213-0188","2020","1056863_2020"
"10205003","RATIO ARCHITECTS INC","2021-07-01T00:00:00.000","ARCH-ENG-CONST","50-200","101 S PENNSYLVANIA ST","INDIANAPOLIS","IN","46204","2020","10205003_2020"
"717740","RELIABLE ASPHALT CORP.","2021-07-01T00:00:00.000","CONSTRUCTION","10-50","3741 S PULASKI EFT","CHICAGO","IL","60623","2020","717740_2020"
"1056696","RIDDIFORD ROOFING CO.","2021-07-01T00:00:00.000","CONSTRUCTION","50-200","2333 HAMILTON RD","ARLINGTON HEIGHTS","IL","60005","2020","1056696_2020"
"819852","STANDARD IND/& AUTOMTV EQUIP I","2021-07-01T00:00:00.000","CONSTRUCTION,JANITORIAL,REPAIR-MAINTENANCE","10-50","6211 CHURCH RD","HANOVER PARK","IL","60133","2020","819852_2020"
"57294436","SWANSON FLO","2021-07-01T00:00:00.000","MAINTENANCE OF VALVES & ACTUATORS,VALVES & ACUTATORS & CONTROL UNITS","50-200","151 CHESHIRE LANE","PLYMOUTH","MN","55441","2020","57294436_2020"
"50153033","TERRACON CONSULTANTS INC|TERRACON CONSULTANTS, INC.","2021-07-01T00:00:00.000","ARCH-ENG-CONST","1000-ABOVE","135 AMBASSADOR DR","NAPERVILLE","IL","60540","2020","50153033_2020"
"1058050","TETRA TECH EM INC.","2021-07-01T00:00:00.000","ARCH-ENG-CONST","50-200","1 S WACKER DR","CHICAGO","IL","60606","2020","1058050_2020"
"1053756","TRANSYSTEMS CORPORATION","2021-07-01T00:00:00.000","ARCH-ENG-CONST","500-1000","222 S RIVERSIDE PLZ STE 2320","CHICAGO","IL","60606","2020","1053756_2020"
"56927632","UTILITY TRANSPORT","2021-07-01T00:00:00.000","TRANSPORTATION","10-50","2044 W 163RD ST","MARKHAM","IL","60428","2020","56927632_2020"
"55838032","ADRIAN SMITH & GORDON GILL ARC","2021-06-30T00:00:00.000","ARCH-ENG-CONST","50-200","111 WEST MONROE SUITE 2300","CHICAGO","IL","60603","2020","55838032_2020"
"50088771","ADVANCE AUTO CENTER","2021-06-30T00:00:00.000","REPAIR-MAINTENANCE","UNDER-10","PO BOX 411342","CHICAGO","IL","60641","2020","50088771_2020"
"56170024","AMERICAN TRAFFIC SOLUTIONS, INC.","2021-06-30T00:00:00.000","CONSTRUCTION,STAFFING,TRANSPORTATION,REPAIR-MAINTENANCE","1000-ABOVE","1330 W SOUTHERN AVE","TEMPE","AZ","85282","2020","56170024_2020"
"56155025","BOWMAN CONSULTING GROUP, LIMITED","2021-06-30T00:00:00.000","ARCH-ENG-CONST","500-1000","3863 CENTERVIEW DR","CHANTILLY","VA","20151","2020","56155025_2020"
"50144023","BRECHEISEN ENGINEERING","2021-06-30T00:00:00.000","ARCH-ENG-CONST","UNDER-10","516 W BRIAR PL","CHICAGO","IL","60657","2020","50144023_2020"
"148844","CASEY EQUIPMENT CO INC","2021-06-30T00:00:00.000","EQUIPMENT","10-50","1603 E ALGONQUIN","ARLINGTON HEIGHTS","IL","60005","2020","148844_2020"
"1064105","CDW GOVERNMENT, LLC.","2021-06-30T00:00:00.000","IT","1000-ABOVE","75 REMITTANCE DR","CHICAGO","IL","60675-1515","2020","1064105_2020"
"1068086","CENTRAL LAWN SPRINKLERS, INC.","2021-06-30T00:00:00.000","IRRIGATION MAINTENANCE","10-50","239 KING ST","ELK GROVE VILLAGE","IL","60007","2020","1068086_2020"
"1045844","CHRISTOFANO EQUIPMENT CO., INC.","2021-06-30T00:00:00.000","EQUIPMENT","10-50","9643 S HARLEM AVE","CHICAGO RIDGE","IL","60415","2020","1045844_2020"
"50749024","COMPUTER AID INC","2021-06-30T00:00:00.000","IT","1000-ABOVE","1390 RIDGEVIEW DR","ALLENTOWN","PA","18104","2020","50749024_2020"
"10550577","CORDOS DEVELOPMENT & ASSOCIATES, LLC","2021-06-30T00:00:00.000","CONSTRUCTION,CONSTRUCTION","UNDER-10","10 W HUBBARD ST # 2B","CHICAGO","IL","60654","2020","10550577_2020"
"51241024","CPS HR CONSULTING","2021-06-30T00:00:00.000","HUMAN RESOURCES CONSULTING SERVICES, TEST ADMINISTRATION, TRAINING, ETC.","50-200","PO BOX 39000  EFT","SAN FRANCISCO","CA","94139","2020","51241024_2020"
"1044047","DELTA DEMOLITION INC|DELTA DEMOLITION, INC","2021-06-30T00:00:00.000","DEMOLITION","10-50","1230 N KOSTNER AVE FL 1ST","CHICAGO","IL","60651","2020","1044047_2020"
"50095903","ENVIRONMENTAL PROTECTION INDUSTRIES., INC","2021-06-30T00:00:00.000","CONSTRUCTION,DEMOLITION,ARCH-ENG-CONST","10-50","16650 S CANAL","SOUTH HOLLAND","IL","60473","2020","50095903_2020"
"55966050","HAGERTY CONSULTING, INC.","2021-06-30T00:00:00.000","MANAGEMENT CONSULTING / PROFESSIONAL CONSULTING SERVICES","200-500","130 E SENECA ST","ITHACA","NY","14850","2020","55966050_2020"
"1012035","HENRY FRERK SONS, INC.","2021-06-30T00:00:00.000","CONSTRUCTION,CONSTRUCTION","10-50","3135 W BELMONT AVE # 1","CHICAGO","IL","60618","2020","1012035_2020"
"1058186","IFPC WORLD WIDE, INC","2021-06-30T00:00:00.000","SECURITY","10-50","5440 N CUMBERLAND AVE # 160","CHICAGO","IL","60656","2020","1058186_2020"
"51370028","INTEGRATED SOLUTIONS CONSULTING CORPORATION|INTEGRATED SOLUTIONS CONSULTING, CORPORATION","2021-06-30T00:00:00.000","PROFESSIONAL SERVICES FIRM THAT IS FOCUSED ON DEVELOPING AND IMPLEMENTING COMPREHENSIVE CRISIS AND CONSEQUENCE MANAGEMENT SOLUTIONS","10-50","3900 N FREMONT ST STE 1","CHICAGO","IL","60613","2020","51370028_2020"
"491073","LANDRUM & BROWN, INC","2021-06-30T00:00:00.000","AVIATION PLANNING","50-200","8755 W HIGGINS RD STE 850","CHICAGO","IL","60631","2020","491073_2020"
"50088348","LION APPAREL, INC","2021-06-30T00:00:00.000","CLEANING AND REPAIR OF FIRE FIGHTER EQUIPMENT","500-1000","L-3505","COLUMBUS","OH","43260","2020","50088348_2020"
"1048111","MCKESSON - MEDICAL-SURGICAL GOVERNMENT SOLUTIONS LLC","2021-06-30T00:00:00.000","HEALTHCARE","1000-ABOVE","1690 NEW BRITAIN AVE","FARMINGTON","CT",,"2020","1048111_2020"
"1035967","MOTOROLA SOLUTIONS INC","2021-06-30T00:00:00.000","TECHNOLOGY PROVIDER","1000-ABOVE","13104 COLLECTIONS CENTER DR","CHICAGO","IL","60693","2020","1035967_2020"
"10188771","MUSE COMMUNITY & DESIGN","2021-06-30T00:00:00.000","URBAN PLANNING","UNDER-10","2027 N HONORE ST","CHICAGO","IL","60614","2020","10188771_2020"
"668047","PARSONS BRINCKERHOFF INC","2021-06-30T00:00:00.000","ARCH-ENG-CONST","1000-ABOVE","PO BOX 732476  EFT","DALLAS","TX","75373","2020","668047_2020"
"1068931","R. L. CANNING, INC.","2021-06-30T00:00:00.000","IT","200-500","8700 W BRYN MAWR AVE","CHICAGO","IL","60631","2020","1068931_2020"
"1053451","SEBIS DIRECT","2021-06-30T00:00:00.000","FINANCIAL","50-200","6516 W 74TH ST","BEDFORD PARK","IL","60638","2020","1053451_2020"
"1071466","SIEMENS INDUSTRY INC. 01","2021-06-30T00:00:00.000","CONSTRUCTION","1000-ABOVE","580 SLAIN CT","MOUNT PROSPECT","IL","60056","2020","1071466_2020"
"806223","SOLOMON CORDWELL BUENZ & ASSOCIATES","2021-06-30T00:00:00.000","ARCH-ENG-CONST","200-500","625 N MICHIGAN AVE STE 800","CHICAGO","IL","60611","2020","806223_2020"
"1004042","STANDARD PARKING CORPORATION.","2021-06-30T00:00:00.000","PROPERTY,JANITORIAL,TRANSPORTATION","1000-ABOVE","200 W RANDOLPH ST","CHICAGO","IL","60606-1812","2020","1004042_2020"
"10544123","STUDIO ORD INC","2021-06-30T00:00:00.000","ARCH-ENG-CONST","UNDER-10","625 N MICHIGAN AVE # 800","CHICAGO","IL","60611","2020","10544123_2020"
"10275196","SUNBELT STAFFING LLC","2021-06-30T00:00:00.000","STAFFING","50-200","3687 TAMPA RD STE 200","OLDSMAR","FL","34677","2020","10275196_2020"
"10542518","AECOM HUNT / CLAYCO, A JOINT VENTURE","2021-06-29T00:00:00.000","CONSTRUCTION","UNDER-10","100 S WACKER DR FL 6TH","CHICAGO","IL","60606","2020","10542518_2020"
"57069439","ALLIANT INSURANCE SERVICES INC","2021-06-29T00:00:00.000","INSURANCE BROKERAGE","1000-ABOVE","701 STREET  B","SAN DIEGO","CA","92101","2020","57069439_2020"
"51939021","ASKREPLY, INC","2021-06-29T00:00:00.000","IT","50-200","3225 N CENTRAL AVE","PHOENIX","AZ","85012","2020","51939021_2020"
"1000713","BAKER TILLY VIRCHOW KRAUSE, LLP","2021-06-29T00:00:00.000","FINANCIAL","1000-ABOVE","PO BOX 7398","MADISON","WI","53707-7398","2020","1000713_2020"
"127017","BUILDERS CHICAGO CORPORATION","2021-06-29T00:00:00.000","SPECIALTY CONTRACTOR, SERVICE & MAINTENANCE CONTRACTOR","10-50","9820 W FOSTER AVE","ROSEMONT","IL","60018","2020","127017_2020"
"141520","CANON SOLUTIONS AMERICA INC","2021-06-29T00:00:00.000","MFDS AND PRINTERS,EQUIPMENT","1000-ABOVE","DEPT. 77 6024 STE 1700","CHICAGO","IL","60678-6024","2020","141520_2020"
"10548047","CHICAGO TRIBUNE COMPANY, LLC","2021-06-29T00:00:00.000","LEGAL ADVERTISING SERVICES","1000-ABOVE","2100 W HUBBARD ST # 1ST","CHICAGO","IL","60612","2020","10548047_2020"
"1036869","CIVILTECH ENGINEERING INC","2021-06-29T00:00:00.000","ARCH-ENG-CONST","50-200","450 E DEVON AVE STE 300","ITASCA","IL","60143","2020","1036869_2020"
"50071081","DMJM AVIATION PARTNERS","2021-06-29T00:00:00.000","PROGRAM MANAGEMENT","10-50","7 STREET PAUL STREET EFT","BALTIMORE","MD","21202","2020","50071081_2020"
"50078161","ESI CONSULTANTS LIMITED","2021-06-29T00:00:00.000","ARCH-ENG-CONST","10-50","321 N CLARK ST","CHICAGO","IL","60654","2020","50078161_2020"
"50167025","F.H. PASCHEN S.N. NIELSEN & ASSOCIATES, LLC|F.H. PASCHEN, S.N. NIELSEN & ASSOCIATES, LLC","2021-06-29T00:00:00.000","CONSTRUCTION","500-1000","5515 N EAST RIVER ROAD EFT XX  2356","CHICAGO","IL","60656","2020","50167025_2020"
"371250","H.C.I. TRANSPORTATION TECH.","2021-06-29T00:00:00.000","REPAIR-MAINTENANCE","UNDER-10","7801 W 47TH ST","MC COOK","IL","60525","2020","371250_2020"
"50101801","I O SOLUTIONS","2021-06-29T00:00:00.000","HUMAN RESOURCES CONSULTING FIRM","10-50","1520 KENSINGTON RD STE 110","OAK BROOK","IL","60523","2020","50101801_2020"
"726902","J S REIMER INC","2021-06-29T00:00:00.000","SNOW REMOVAL CONTRACTOR","10-50","16 N 158 TYRRELL RD","ELGIN","IL","60123-7828","2020","726902_2020"
"444517","K-FIVE CONSTRUCTION CORP.","2021-06-29T00:00:00.000","CONSTRUCTION","200-500","999 OAKMONT PLAZA DR","WESTMONT","IL","60559","2020","444517_2020"
"56721068","LOCUMTENENS.COM","2021-06-29T00:00:00.000","STAFFING AGENCY FOR MEDICAL PHYSICIANS AND HEALTHCARE PROFESSIONALS,STAFFING","500-1000","2655 NORTHWINDS PKWY","ALPHARETTA","GA","30009","2020","56721068_2020"
"1033386","ROSSI CONTRACTORS, INC.","2021-06-29T00:00:00.000","CONSTRUCTION","50-200","201 W LAKE STREET EFT","NORTHLAKE","IL","60164","2020","1033386_2020"
"55930021","SKYLINE MANAGEMENT GROUP O'HARE","2021-06-29T00:00:00.000","JANITORIAL","50-200","5700 S CICERO AVE","CHICAGO","IL","60638","2020","55930021_2020"
"50096365","UNITED ROAD TOWING, INC.","2021-06-29T00:00:00.000","IMPOUND MANAGAMENT AND TOWING","200-500","9550 BORMET DR STE 304","MOKENA","IL","60448","2020","50096365_2020"
"10231809","URT E & R TOWING INC","2021-06-29T00:00:00.000","TRANSPORTATION","200-500","16325 S CRAWFORD AVE","MARKHAM","IL","60428","2020","10231809_2020"
"1069748","V3 COMPANIES OF ILLINOIS, LIMITED|V3 COMPANIES, LIMITED","2021-06-29T00:00:00.000","ARCH-ENG-CONST","200-500","7325 JANES AVENUE EFT","WOODRIDGE","IL","60517","2020","1069748_2020"
"55240023","WALSH CONSTRUCTION COMPANY II, LLC.","2021-06-29T00:00:00.000","CONSTRUCTION","1000-ABOVE","929 W ADAMS STREET EFT","CHICAGO","IL","60607","2020","55240023_2020"
"1063269","ALLIED WASTE TRANSPORTATION INC","2021-06-28T00:00:00.000","WASTE-REMOVAL","200-500","2608 S DAMEN AVE # ATTN","CHICAGO","IL","60608","2020","1063269_2020"
"10553361","ENTERPRISE FLEET MANAGEMENT, INC","2021-06-28T00:00:00.000","TRANSPORTATION","1000-ABOVE","PO BOX 843425","KANSAS CITY","MO","64184","2020","10553361_2020"
"1042280","R-4 SERVICES, LLC","2021-06-28T00:00:00.000","RECORDS STORAGE AND RELATED RECORDS MANAGEMENT SERVICES","50-200","1301 W 35TH STREET EFT ST","CHICAGO","IL","60609","2020","1042280_2020"
"930837","WISS, JANNEY, ELSTNER, & ASSOCIATES, INC.","2021-06-28T00:00:00.000","ARCH-ENG-CONST","500-1000","330 PFINGSTEN ROAD EFT","NORTHBROOK","IL","60062","2020","930837_2020"
"50077639","REFUSE & RECYCLING NEEDS OF WI","2021-06-26T00:00:00.000","EQUIPMENT","UNDER-10","8636 W NATIONAL AVENUE EFT  R","WEST ALLIS","WI","53227","2020","50077639_2020"
