"facility_name","location_1","postal_code","begin_date","end_date","begin_time","end_time","phone","url","cost","notes"
"Roseland Community WIC","11255 S. MICHIGAN AVE
Chicago, IL 60628
(41.68913818, -87.62086262)","60628","2015-09-02T00:00:00.000","2016-09-01T00:00:00.000","8:00:00","15:30:00","773-785-1173","http://www.cityofchicago.org/city/en/depts/cdph/supp_info/clinical_health/immunizations_walk-inclinics.html","Free","Mondays, Tuesdays, Wednesdays 8:00 am - 3:30 pm, Closed 2nd Wed every month 12 pm - 4 pm"
"McKinley Park – Field House","2210 W. Pershing Rd.
Chicago, IL 60609
(41.82315254, -87.68056215)","60609","2015-08-29T00:00:00.000","2015-08-29T00:00:00.000","9:00:00","13:00:00",,,,
"Trina Davila","4345 W. Armitage Ave.
Chicago, IL 60639
(41.91694191, -87.73570969)","60639","2015-08-17T00:00:00.000","2015-08-17T00:00:00.000","10:00:00","14:00:00",,,,
"40th Ward Office","5850 N. Lincoln Ave.
Chicago, IL 60659
(41.98772317, -87.70313536)","60659","2015-08-22T00:00:00.000","2015-08-22T00:00:00.000","10:00:00","14:00:00",,,,
"Hale Patk","6258 W. 62nd St.
Chicago, IL 60638
(41.77964911, -87.77874118)","60638","2015-08-10T00:00:00.000","2015-08-10T00:00:00.000","10:00:00","14:00:00","312.747.9884",,,
"Barnard Elementary School","10354 S. Charles St.
Chicago, IL 60643
(41.70514024, -87.65811642)","60643","2015-08-25T00:00:00.000","2015-08-25T00:00:00.000","16:00:00","19:00:00",,,,
"Pulaski Park","1419 W. Blackhawk St.
Chicago, IL 60642
(41.90693712, -87.66360239)","60642","2015-08-29T00:00:00.000","2015-08-29T00:00:00.000","10:00:00","13:00:00","312.747.9884",,,
"Lower West WIC","1713 S. Ashland Ave.
Chicago, IL 60608
(41.8582821, -87.66601326)","60608","2015-09-02T00:00:00.000","2016-09-01T00:00:00.000","8:30:00","15:30:00","312-743-1198","http://www.cityofchicago.org/city/en/depts/cdph/supp_info/clinical_health/immunizations_walk-inclinics.html","Free","Thursdays & Fridays 8:30 am - 3:30 pm"
"Dvorak Park","1119 W. Cullerton St.
Chicago, IL 60608
(41.8551254, -87.65390951)","60608","2015-08-21T00:00:00.000","2015-08-21T00:00:00.000","10:00:00","14:00:00",,,,
"Walaker Memorial COGIC","3708 W. Chicago Ave.
Chicago, IL 60651
(41.89554259, -87.71918275)","60651","2015-08-15T00:00:00.000","2015-08-15T00:00:00.000","11:00:00","15:00:00",,,,
"Chicago SDA Academy","7008 S. Michigan Ave.
Chicago, IL 60637
(41.76707994, -87.6218807)","60637","2015-08-12T00:00:00.000","2015-08-12T00:00:00.000","10:00:00","14:00:00",,,,
"Back-of-the-Yards College Prep","2111 W. 47th St.
Chicago, IL 60609
(41.80838442, -87.67756964)","60609","2015-08-27T00:00:00.000","2015-08-27T00:00:00.000","10:00:00","14:00:00",,,,
"CPD Headquarters","3510 S. Michigan Ave.
Chicago, IL 60653
(41.83070169, -87.62339535)","60653","2015-08-24T00:00:00.000","2015-08-24T00:00:00.000","10:00:00","14:00:00",,,,
"Chicago Math & Science Academy","7212 N. Clark St.
Chicago, IL 60626
(42.01303498, -87.67485599)","60626","2015-08-20T00:00:00.000","2015-08-20T00:00:00.000","10:00:00","14:00:00",,,,
"Greater Lawn WIC","4150 W. 55TH ST
Chicago, IL 60632
(41.79327456, -87.72766409)","60632","2015-09-02T00:00:00.000","2016-09-01T00:00:00.000","8:30:00","15:30:00","312-747-5416","http://www.cityofchicago.org/city/en/depts/cdph/supp_info/clinical_health/immunizations_walk-inclinics.html","Free","Mondays, Tuesdays, Wednesdays 8:30 am - 3:30 pm, Closed 2nd Wed every month 12 pm - 4 pm"
"Wentworth Gardens","3770 S. Wentworth Ave.
Chicago, IL 60609
(41.82555599, -87.63152928)","60609","2015-08-31T00:00:00.000","2015-08-31T00:00:00.000","10:00:00","14:00:00","312.747.9884",,,
"Columbus Park","5701 W. Jackson
Chicago, IL 60644
(41.87696975, -87.76820461)","60644","2015-08-15T00:00:00.000","2015-08-15T00:00:00.000","11:00:00","17:00:00",,,,
"Uptown Neighborhood Health Center","845 W WILSON AVE
Chicago, IL 60640
(41.96536653, -87.65176024)","60640","2015-09-02T00:00:00.000","2016-09-01T00:00:00.000","8:30:00","15:30:00","312-742-3227","http://www.cityofchicago.org/city/en/depts/cdph/supp_info/clinical_health/immunizations_walk-inclinics.html","Free","Mondays, Wednesdays and Friday 8:30 am - 3:30 pm, Tuesdays and Thursdays 9:00 am - 4:30 pm"
"Roseland Hospital","45 W. 111th St.
Chicago, IL 60628
(41.69245292, -87.62487642)","60628","2015-08-28T00:00:00.000","2015-08-28T00:00:00.000","10:00:00","14:00:00",,,,
"Avondale-Logandale School","3212 W. George
Chicago, IL 60618
(41.9339976, -87.70804359)","60618","2015-08-13T00:00:00.000","2015-08-13T00:00:00.000","10:00:00","14:00:00",,,,
"Sue Gin Health Clinic","2333 W. Jackson
Chicago, IL 60612
(41.8774529, -87.68514089)","60612","2015-08-22T00:00:00.000","2015-08-22T00:00:00.000","12:00:00","16:00:00",,,,
