"type","facility","street_address","city","state","zip","phone","website","hours","appointment","internet","wifi","training","location"
"Community Technology Center","Career Resource Center","790 N. Milwaukee Ave.","Chicago","IL","60642","(312) 432-1300","http://www.gwtp.org","M-F: 8:30AM-4:30PM ","No","true","true","true","790 N. Milwaukee Ave.
Chicago, IL 60642
(41.89621428970207, -87.65535084450062)"
"Community Technology Center","Chesterfield Community Council","651 E 88th Street","Chicago","IL","60619","773-651-3958","http://www.chesterfieldcommunitycouncil.org/","M-F: 8:30AM-4PM","Yes","true","true","true","651 E 88th Street
Chicago, IL 60619
(41.73385968375254, -87.60763281762598)"
"Senior Center","Renaissance Court","78 E. Washington","Chicago","IL","60602","(312) 744-4550 (Voice) or (312) 744-6777 (TTY) ","http://www.cityofchicago.org/city/en/depts/fss/supp_info/regional_center_information.html","Call","No","true","false","true","78 E. Washington
Chicago, IL 60602
(41.88327494122517, -87.62522219047514)"
"Community Technology Center","Workforce Development Office CTC","2610 W. North Ave. 2nd Flr.","Chicago","IL","60647","(773) 862-1892","http://www.hhdc.org","M-TH: 9AM-7:30PM; F: 12:30PM-4:30PM","Yes","true","false","true","2610 W. North Ave. 2nd Flr.
Chicago, IL 60647
(41.91032792009988, -87.69256631864067)"
"Chicago Public School","Kelvyn Park High School","4343 W Wrightwood Ave","Chicago","IL","60639","(773) 534-4200","http://www.kelvynparkhs.org/","Call for hours","Yes ","true","false","true","4343 W Wrightwood Ave
Chicago, IL 60639
(41.92793799446075, -87.73569689701104)"
"Business Resource Network ","Instituto Del Progreso ","2570 S. Blue Island ","Chicago","IL","60608","(773) 890-0055 x. 291","http://www.pilsenportal.org/www.idpl.org","M-F 9a -5p","yes","true","true","true","2570 S. Blue Island
Chicago, IL 60608
(41.84863999999999, -87.67099999999999)"
"Chicago Public Library","Bucktown-Wicker Park","1701 N. Milwaukee Avenue","Chicago","IL","60647","(312) 744-6022","http://www.chipublib.org/branch/details/library/bucktown-wicker-park/","M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed","NA","true","true","false","1701 N. Milwaukee Avenue
Chicago, IL 60647
(41.91243805911063, -87.68065776640515)"
"WorkForce Center","Chicago Workforce Center - Garfield","10 S. Kedzie, Room 134","Chicago","IL","60612","(773) 722-3885 (Voice or (773) 722-6081(TTY)","http://www.cityofchicago.org/city/en/depts/fss/supp_info/chicago_workforcecenters-servicesforjobseekers.html","M-TH: 9AM (Orientation)","Yes","true","false","true","10 S. Kedzie, Room 134
Chicago, IL 60612
(41.88083351336819, -87.70617830105714)"
"Community Technology Center","Lake Grove Village CTC","3515 South Cottage Grove","Chicago","IL","60653","(773) 538-4671","http://www.cohd.com/","M, W: 11AM-5PM; TU, TH: 1PM-5PM","No","true","true","true","3515 South Cottage Grove
Chicago, IL 60653
(41.81923999999998, -87.61011000000002)"
"Senior Center","Austin Satellite Center","5071 W. Congress Pkwy","Chicago","IL","60644","(312) 743-1538","http://www.cityofchicago.org/city/en/depts/fss/supp_info/satellite_centerinformation.html","M-F: 8:30AM-4:30PM; SA-SU: Closed ","Yes","false","false","true","5071 W. Congress Pkwy
Chicago, IL 60644
(41.87391736581621, -87.7520595627168)"
"Chicago Public Library","Sulzer Regional","4455 N. Lincoln Avenue","Chicago","IL","60625","(312) 744-7616","http://www.chipublib.org/branch/details/library/sulzer-regional/","M-TH: 9AM-9PM; F, SA: 9AM-5PM; SU: 1PM-5PM","NA","true","true","true","4455 N. Lincoln Avenue
Chicago, IL 60625
(41.96239291775014, -87.68441344689325)"
"Business Resource Network ","West Humboldt Park Community Development Council","3620 W. Chicago Ave ","Chicago","IL","60657","(773) 342-0036","http://www.humboldtparkportal.org","M-F 9a- 5P","yes","true","true","true","3620 W. Chicago Ave
Chicago, IL 60657
(41.89548583885835, -87.71718822723528)"
"Chicago Public Library","West Lawn","4020 W. 63rd Street","Chicago","IL","60629","(312) 747-7381","http://www.chipublib.org/branch/details/library/west-lawn/","M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed","NA","true","true","false","4020 W. 63rd Street
Chicago, IL 60629
(41.778718730032836, -87.72357170491985)"
"Community Technology Center","Albany Park Community Center, Inc.","5121 N. Kimball","Chicago","IL","60625","(773) 583-5062","http://www.apcc-chgo.org/","M-TH: 9AM-9PM; F: 12PM-6PM; SA: 9AM-4PM","No","true","false","true","5121 N. Kimball
Chicago, IL 60625
(41.974296259670695, -87.71343184115092)"
"City Colleges of Chicago","Richard J. Daley College","7500 S. Pulaski Ave.","Chicago","IL","60652","(773) 838-7770 or (773) 838-7923","http://daley.ccc.edu/","Call for hours","No","true","true","true","7500 S. Pulaski Ave.
Chicago, IL 60652
(41.75635610138763, -87.7222793820099)"
"Wireless Internet Zone","Millennium Park","55 N Michigan Avenue","Chicago","IL","60602","NA","http://www.cityofchicago.org/city/en/depts/doit/supp_info/wireless_internetzones.html","Wireless access is available 24 hours a day 7 days a week.","No","false","true","false","55 N Michigan Avenue
Chicago, IL 60602
(41.88272496938674, -87.62412150294998)"
"Community Technology Center","Poder Learning Center","1637 S. Allport St.","Chicago","IL","60608","(312) 226-2002","http://www.poderlc.org/","M-TH: 7:30AM-8:30PM; F: 7:30AM-5PM",,"true","false","true","1637 S. Allport St.
Chicago, IL 60608
(41.859376241888285, -87.6576010512833)"
"WorkForce Center","Inspiration Corporation","4554 N. Broadway, Suite 207","Chicago","IL","60640","(773) 878-0981 ","http://www.inspirationcorp.org/","Call","NA","true","false","true","4554 N. Broadway, Suite 207
Chicago, IL 60640
(41.964532788079836, -87.65687789460983)"
"Chicago Public Library","Chicago Bee","3647 S. State Street","Chicago","IL","60609","(312) 747-6872","http://www.chipublib.org/branch/details/library/chicago-bee/","M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed","NA","true","true","true","3647 S. State Street
Chicago, IL 60609
(41.828135612084054, -87.62649160058038)"
"Chicago Public Library","Chicago Lawn","6120 S. Kedzie Avenue ","Chicago","IL","60629","(312) 747-0639","http://www.chipublib.org/branch/details/library/chicago-lawn/","M: 2PM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed","NA","true","true","true","6120 S. Kedzie Avenue
Chicago, IL 60629
(41.78197629571594, -87.70329432075633)"
"Community Technology Center","Jewish Vocational Service CTC","6526 N. California","Chicago","IL","60645","(773) 743-5638","http://www.jvschicago.org","M-F: 9AM-8:30PM","Yes","true","true","true","6526 N. California
Chicago, IL 60645
(41.99987162183665, -87.69978273628041)"
"Youth Center","YCDC Community Assistance Programs","11444 S. Halsted St.","Chicago","IL","60628","(773) 568-1782 or (773) 468-1993","http://www.capsinc.org/","Call for hours","No","true","false","true","11444 S. Halsted St.
Chicago, IL 60628
(41.68605553565135, -87.64231792097537)"
"Community Technology Center","A Knock At Midnight Tech Center","400 W. 76th Street, Ste. 206","Chicago","IL","60620","(773) 488-2960","http://www.akamworks.org","M-F: 10AM-5PM","Yes ","true","true","true","400 W. 76th Street, Ste. 206
Chicago, IL 60620
(41.756306791720334, -87.63447147860683)"
"WorkForce Center","CARES Chicago","3333 W. Arthington, Suite 139","Chicago","IL","60624","(773) 265-3300","http://www.careschicago.org/","Call","NA","true","false","true","3333 W. Arthington, Suite 139
Chicago, IL 60624
(41.8699621249913, -87.70902408044226)"
"Chicago Public School","Cristo Rey Jesuit High School","1852 W 22nd Pl","Chicago","IL","60608","(773) 890-6800","http://www.cristorey.net/","Call for hours","No","true","true","false","1852 W 22nd Pl
Chicago, IL 60608
(41.85151780248502, -87.67218604931873)"
"Senior Center","Auburn Gresham Satellite Center","1040 W. 79th St.","Chicago","IL","60620","(312) 745-4798","http://www.cityofchicago.org/city/en/depts/fss/provdrs/senior/svcs/regional_senior_centers.html","Call for hours","Yes","false","false","true","1040 W. 79th St.
Chicago, IL 60620
(41.75059541453732, -87.65030529290263)"
"WorkForce Center","Chicago Federation of Labor","130 W. Randolph","Chicago","IL","60601","(312) 565-9431 ","http://www.chicagolabor.org/","Call","NA","true","false","true","130 W. Randolph
Chicago, IL 60601
(41.884523966779966, -87.63187611136642)"
"Chicago Public Library","West Chicago Avenue","4856 W. Chicago Avenue","Chicago","IL","60651","(312) 743-0260","http://www.chipublib.org/branch/details/library/west-chicago-avenue/","M: 2PM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed","NA","true","true","true","4856 W. Chicago Avenue
Chicago, IL 60651
(41.89498221852193, -87.74789108131557)"
"Chicago Public Library","Merlo","644 W. Belmont Avenue","Chicago","IL","60657","(312) 744-1139","http://www.chipublib.org/branch/details/library/j-merlo-branch/","M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed","NA","true","true","false","644 W. Belmont Avenue
Chicago, IL 60657
(41.9400906890489, -87.64596962616768)"
"Community Technology Center","La Casa Norte","3533 W. North Ave.","Chicago","IL","60647","(773) 276-4900 x. 211","http://www.lacasanorte.org","M-F: 9AM-7PM","No","true","false","true","3533 W. North Ave.
Chicago, IL 60647
(41.91000988963151, -87.7157403187681)"
"Community Technology Center","Community TV Network Youth Media Ctr.","2418 West Bloomingdale","Chicago","IL","60647","(773) 278-8500","http://www.ctvnetwork.org","M-F: 3PM-7PM","No","true","true","true","2418 West Bloomingdale
Chicago, IL 60647
(41.91404610652696, -87.68864676423846)"
"Chicago Public School","Eli Whitney Elementary School CTC","2815 S. Komensky","Chicago","IL","60623","(773) 540-8236","http://www.cps.edu/Schools/Pages/school.aspx?unit=6440","M-TH: 3PM-8PM; SA: 9AM-1PM","No","true","true","true","2815 S. Komensky
Chicago, IL 60623
(41.84036195940137, -87.72558279241026)"
"FamilyNet Center","Instituto Del Progreso ","2570 S. Blue Island ","Chicago","IL","60608","(773) 890-0055","http://www.pilsenportal.org","M, T, W, F: 8AM-5PM; TH 8AM -7PM; SA, SU: Closed","yes","true","false","true","2570 S. Blue Island
Chicago, IL 60608
(41.84863999999999, -87.67099999999999)"
"Community Technology Center","BP Technology Center","1701 W. Superior St.","Chicago","IL","60622","(312) 563-5800","http://www.eriehouse.org","M-F: 9AM-9PM; SA: 9AM-1PM","No","true","true","true","1701 W. Superior St.
Chicago, IL 60622
(41.89506995487017, -87.66975788052783)"
"Chicago Public Library","Daley, Richard M. - West Humboldt Park","733 N. Kedzie Avenue","Chicago","IL","60612","(312) 743-0555","http://www.chipublib.org/branch/details/library/daley-w-humboldt/","M: 2PM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed","NA","true","true","true","733 N. Kedzie Avenue
Chicago, IL 60612
(41.8943353871754, -87.70645353535272)"
"Chicago Public Library","Avalon","8148 S. Stony Island Avenue ","Chicago","IL","60617","(312) 747-5234","http://www.chipublib.org/branch/details/library/avalon/","M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed","NA","true","true","true","8148 S. Stony Island Avenue
Chicago, IL 60617
(41.74634227351919, -87.58584224485605)"
"Chicago Public School","Patrick Henry Elementary School","4250 N. St. Louis Ave.","Chicago","IL","60618","(773) 534-5060","http://www.henry.cps.k12.il.us/","Call for hours","Yes ","true","false","false","4250 N. St. Louis Ave.
Chicago, IL 60618
(41.95837405955986, -87.71558055519696)"
"WorkForce Center","Safer Foundation","571 W. Jackson","Chicago","IL","60661","(312) 922-2200","http://www.saferfoundation.org/viewpage.asp?id=4","Call","NA","true","false","true","571 W. Jackson
Chicago, IL 60661
(41.877967512217005, -87.64172434154816)"
"Community Technology Center","Guild for the Blind","180 N. Michigan Avenue Suite 1700","Chicago","IL","60601","(312) 236-8569","http://www.guildfortheblind.org","M-F: 8:30AM-4:30PM","No","true","false","true","180 N. Michigan Avenue Suite 1700
Chicago, IL 60601
(41.885539337214254, -87.62451309211593)"
"Chicago Public Library","West Town","1625 W. Chicago Avenue","Chicago","IL","60622","(312) 743-0450","http://www.chipublib.org/branch/details/library/west-town/","M: 2PM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed","N","true","true","true","1625 W. Chicago Avenue
Chicago, IL 60622
(41.896061404957095, -87.66849893256898)"
"Community Technology Center","Casa Central","1335 N. California","Chicago","IL","60622","(773) 645-2300","http://www.casacentral.org/","M: 12PM-7PM; TU: 10AM-7PM; W: 1PM-7PM; TH: 10AM-12PM & 3PM-7PM; SA: 10AM-2:30PM","No","true","false","true","1335 N. California
Chicago, IL 60622
(41.90574955169994, -87.69687876055515)"
"Chicago Public Library","Beverly","1962 W. 95th Street","Chicago","IL","60643","(312) 747-9673","http://www.chipublib.org/branch/details/library/beverly/","M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed","NA","true","true","false","1962 W. 95th Street
Chicago, IL 60643
(41.721214096696755, -87.67082348865515)"
"Chicago Public Library","McKinley Park","1915 W. 35th Street","Chicago","IL","60609","(312) 747-6082","http://www.chipublib.org/branch/details/library/mckinley-park/","M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed","NA","true","true","false","1915 W. 35th Street
Chicago, IL 60609
(41.83035158005777, -87.67343099318283)"
"City Colleges of Chicago","Malcolm X College","1900 W. Van Buren","Chicago","IL","60612","(312) 850-7197","http://malcolmx.ccc.edu/","Call for hours","No","true","true","true","1900 W. Van Buren
Chicago, IL 60612
(41.87627541609087, -87.67410289759742)"
"Community Technology Center","Lumity","29 E. Madison St., Ste. 1005","Chicago","IL","60602","(312) 372-4872","http://www.lumity.org","M-F: 9AM-5PM","No","true","false","true","29 E. Madison St., Ste. 1005
Chicago, IL 60602
(41.882009340752155, -87.62684847774577)"
"Community Technology Center","Goodwill Industries of Metropolitan Chicago","819 S. Wabash","Chicago","IL","60605","(312) 212-1290","http://www.goodwillchicago.com/page.asp?dbID=78","M-F: 8:30AM-4PM","Yes","true","false","true","819 S. Wabash
Chicago, IL 60605
(41.87157573632831, -87.62582796036966)"
"Community Technology Center","Goodwill Industries of Metropolitan Chicago","2435 W. 63rd Street","Chicago","IL","60629","(312) 212-1290","http://www.goodwillchicago.com/page.asp?dbID=78","M-F: 8:30AM-4PM","No","true","false","true","2435 W. 63rd Street
Chicago, IL 60629
(41.77918312724809, -87.68497768079433)"
"Community Technology Center","Jane Addams Hull House Association","5797 North Lincoln Avenue","Chicago","IL","60659","(773) 506-0293","http://www.hullhouse.org","M-F: 9AM-5PM","No","true","false","true","5797 North Lincoln Avenue
Chicago, IL 60659
(41.98679400449316, -87.70132418663843)"
"Community Technology Center","Sunshine Gospel Ministries","500 East 61st Street","Chicago","IL","60637","(773) 493-0656 x. 1010","http://www.sunshinegospel.org","M-F: 10AM-4PM",,"true","false","true","500 East 61st Street
Chicago, IL 60637
(41.78391594790338, -87.61289385149735)"
"WorkForce Center","Chicago Workforce Center - Southwest","7500 S. Pulaski, Bldg 100","Chicago","IL","60652","(773) 884-7000 (Voice) or (773) 884-0269 (TTY)","http://www.cityofchicago.org/city/en/depts/fss/supp_info/chicago_workforcecenters-servicesforjobseekers.html","M-TH: 8:30AM (Orientation)","Yes","true","false","true","7500 S. Pulaski, Bldg 100
Chicago, IL 60652
(41.745340000000056, -87.71235999999999)"
"Business Resource Network ","Greater Auburn Gresham Development Corporation ","1159 W. 79th Street ","Chicago","IL","60620","(773) 483-3696","http://www.auburngreshamportal.org","M-F 9a- 5P","yes","true","true","true","1159 W. 79th Street
Chicago, IL 60620
(41.75043834651455, -87.65301336804875)"
"Community Technology Center","Korean American Community Services, Inc.","4300 N. California Ave","Chicago","IL","60618","(773) 583-5501","http://www.kacschgo.org","M-F: 9AM-5PM","Yes","true","true","true","4300 N. California Ave
Chicago, IL 60618
(41.95953555378509, -87.69846434258528)"
"Chicago Public Library","Garfield Ridge","6348 S. Archer Avenue","Chicago","IL","60638","(312) 747-6094","http://www.chipublib.org/branch/details/library/garfield-ridge/","M: 2PM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed","NA","true","true","false","6348 S. Archer Avenue
Chicago, IL 60638
(41.792792256332575, -87.78017674216744)"
"Community Technology Center","Holland CTC","240 W. 107th Place","Chicago","IL","60628","(312) 447-4630","http://www.mercyhousing.org","M-TH: 9AM-2PM ",,"true","false","true","240 W. 107th Place
Chicago, IL 60628
(41.69981135172321, -87.62975613954677)"
"Community Technology Center","LEED Council, Community Technology Center","1866 N. Marcey Street","Chicago","IL","60614","(773) 929-5552 x. 230","http://www.leedcouncil.org","M-TH: 9AM-6:30PM; TU, TH 6:30PM-9PM; F: 9AM-5PM; SA: 10:30AM-4PM","No","true","false","true","1866 N. Marcey Street
Chicago, IL 60614
(41.91607132010898, -87.65767109533624)"
"Community Technology Center","Westside Youth Technical Entrepreneur Center","4211-13 West Madison","Chicago","IL","60624","(773) 533-3500","http://www.WYTEC4213.org","M-F: 11AM-7PM",,"true","true","true","4211-13 West Madison
Chicago, IL 60624
(41.88020000000006, -87.72311000000002)"
"Chicago Public Library","Brighton Park","4314 S. Archer Avenue","Chicago","IL","60632","(312) 747-0666","http://www.chipublib.org/branch/details/library/brighton-park/","M: 2PM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed","NA","true","true","true","4314 S. Archer Avenue
Chicago, IL 60632
(41.815201546687874, -87.70254711536592)"
"Business Resource Network ","Greater Southwest Development Corporation ","2601 W. 63rd Street ","Chicago","IL","60629","(773) 436-1000 x. 106","http://www.chicagolawnportal.org","M-F 9a- 5P","yes","true","false","true","2601 W. 63rd Street
Chicago, IL 60629
(41.77917652080896, -87.68873367822823)"
"Community Technology Center","AHS Career Resource Center","4820 N. Broadway, 3rd floor","Chicago","IL","60640","(773) 293-8119","http://www.ahschicago.org","M-F: 10AM-4PM","No","true","false","true","4820 N. Broadway, 3rd floor
Chicago, IL 60640
(41.96970688593643, -87.65967658346153)"
"Chicago Public Library","West Town","1625 W. Chicago Ave","Chicago","IL","60622","(312) 743-0450","http://www.chipublib.org/branch/details/library/west-town/","M, W: 10AM-6PM; TU, TH: 12AM-8PM; F-SA: 9AM-5PM; SU: Closed","No","true","true","true","1625 W. Chicago Ave
Chicago, IL 60622
(41.896061404957095, -87.66849893256898)"
"Senior Center","Southeast Center (Atlas)","1767 E. 79th St.","Chicago","IL","60649","(312) 747-0189 (Voice) or (312) 746-0322 (TTY) ","http://www.cityofchicago.org/city/en/depts/fss/supp_info/regional_center_information.html","Call","No","true","false","true","1767 E. 79th St.
Chicago, IL 60649
(41.75149480077835, -87.58084284391619)"
"WorkForce Center","Chicago Career Center","11000 S. Michigan","Chicago","IL","60628","(773) 233-4364","http://www.southeastchicago.com/","Call","NA","true","false","true","11000 S. Michigan
Chicago, IL 60628
(41.69402871107485, -87.62080788535519)"
"Senior Center","Northeast (Levy) Senior Center","2019 W. Lawrence Avenue","Chicago","IL","60625","Mike Toma at (312) 742-2630 or Court Chilton at (312) 742-2623","http://www.cityofchicago.org/city/en/depts/fss/supp_info/regional_center_information.html","Call","No","true","false","true","2019 W. Lawrence Avenue
Chicago, IL 60625
(41.968694977057105, -87.67975768517618)"
"Chicago Public Library","Clearing","6423 W. 63rd Place","Chicago","IL","60638","(312) 747-5657","http://www.chipublib.org/branch/details/library/clearing/","M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed","NA","true","true","false","6423 W. 63rd Place
Chicago, IL 60638
(41.77669602524939, -87.78179293415415)"
"Community Technology Center","Asian Human Services, LEAF Program","6015 N. Francisco","Chicago","IL","60659","(773) 338-5943","http://www.ahschicago.org","M-F: 9AM-5PM","No","true","false","true","6015 N. Francisco
Chicago, IL 60659
(41.99073771921184, -87.70175393733757)"
"Community Technology Center","Interfaith Refugee & Immigration Ministries","4753 N. Broadway, Suite 815","Chicago","IL","60640","(773) 989-5647","http://www.irim.org","M-F: 8AM-4:30PM","No","true","false","true","4753 N. Broadway, Suite 815
Chicago, IL 60640
(41.968238137600956, -87.65915674406766)"
"Chicago Public Library","Lozano","1805 S. Loomis Street","Chicago","IL","60608","(312) 746-4329","http://www.chipublib.org/branch/details/library/lozano/","M: 2PM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed","NA","true","true","true","1805 S. Loomis Street
Chicago, IL 60608
(41.857820778174656, -87.66122498707978)"
"Chicago Public Library","Kelly","6151 S. Normal Boulevard","Chicago","IL","60621","(312) 747-8418","http://www.chipublib.org/branch/details/library/kelly/","M: 2PM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed","NA","true","true","true","6151 S. Normal Boulevard
Chicago, IL 60621
(41.782343495330295, -87.63746875075267)"
"Chicago Public Library","Mount Greenwood","11010 S. Kedzie Avenue","Chicago","IL","60655","(312) 747-2805","http://www.chipublib.org/branch/details/library/mt-greenwood/","M: 2PM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed","NA","true","true","false","11010 S. Kedzie Avenue
Chicago, IL 60655
(41.692994490741114, -87.7008655324035)"
"Community Technology Center","Association House of Chicago","1116 N. Kedzie Ave.","Chicago","IL","60651","(773) 772-7170 x. 3102","http://www.associationhouse.org","M-F: 9AM-9PM","No","true","false","true","1116 N. Kedzie Ave.
Chicago, IL 60651
(41.90152511582621, -87.706795718495)"
"FamilyNet Center","Southwest REACH Center ","6155 S. Pulaski Rd. ","Chicago","IL","60629","(773) 735-6727","http://www.chicagolawnportal.org","M-F: 9AM - 5PM; SA, SU: Closed","yes","true","false","true","6155 S. Pulaski Rd.
Chicago, IL 60629
(41.7807683208008, -87.72281798313873)"
