"business_name","dba_name","phone","fax","email","address_1","address_2","address_3","city","state","zip","zip4","business_description","primary_owner_salutation","primary_owner_first_name","primary_owner_last_name","primary_owner_suffix","certification_date","renewal_date","expiration_date","certified_description","location"
"Fact Finders Group, Inc.","N/A","708-283-4200","708-283-0186","kenwebb@factfindersgroup.com","4747 Lincoln Mall Dr.","Suite 300",,"Matteson","IL","60443","3814","INVESTIGATIVE SERVICES INVESTIGATIVE SERVICES;SURVEILLANCE SERVICES;Security Screening Services, Personnel;Security/Safety Consulting;Employment Agency and Search Firm Services (Including Background Investigations and Drug Testing for Employment)","Mr.","Kenneth M.","Webb Sr.",,"2017-11-15T00:00:00.000","2018-11-15T00:00:00.000","2021-11-15T00:00:00.000",,"4747 Lincoln Mall Dr.
Matteson, IL 60443
(41.50409, -87.731637)"
"Fact Finders Group, Inc.","N/A","708-283-4200","708-283-0186","kenwebb@factfindersgroup.com","4747 Lincoln Mall Dr.","Suite 300",,"Matteson","IL","60443","3814","INVESTIGATIVE SERVICES INVESTIGATIVE SERVICES;SURVEILLANCE SERVICES;Security Screening Services, Personnel;Security/Safety Consulting;Employment Agency and Search Firm Services (Including Background Investigations and Drug Testing for Employment)","Mr.","Kenneth M.","Webb Sr.",,"2017-11-15T00:00:00.000","2018-11-15T00:00:00.000","2021-11-15T00:00:00.000","Licensed Professional Service:  Investigative Services; Security Services and Fingerprint Agency Services","4747 Lincoln Mall Dr.
Matteson, IL 60443
(41.50409, -87.731637)"
"Antares Computer System, Inc.",,"773-783-8855","855-504-2950","mjohnson@acs4me.com","1603 Orrington Avenue","Suite 600",,"Evanston","IL","60201","5191","Technology:  Distributor - Computer Product Sales including Servers, Computers, and Printers",,"Maurice","Johnson",,"2017-12-12T00:00:00.000","2018-12-12T00:00:00.000","2020-12-12T00:00:00.000","Technology:  Distributor - Computer Product Sales including Servers, Computers, and Printers","1603 Orrington Avenue
Evanston, IL 60201
(42.047009, -87.681394)"
"Cross Rhodes Print & Technologies",,"630-963-4700","630-598-0317","erhodes@x-rhodes.com","30 Eisenhower Lane North",,,"Lombard","IL","60148",,"Printing; Digital Printing","Mr","Elmer","Rhodes","Jr","2017-03-13T00:00:00.000","2018-11-08T00:00:00.000","2022-03-13T00:00:00.000","Printing","30 Eisenhower Lane North
Lombard, IL 60148
(41.84164, -88.017584)"
"GNC CONSULTING, INC","GNC International Consulting, LLC","815-469-7255","779-234-0049","garry.cooper@gnc-consulting.com","21195 S. LAGRANGE RD.",,,"FRANKFORT","IL","60423",,"INFORMATION SYSTEMS TECHNOLOGY","Mr.","Garry","Cooper",,"2018-01-04T00:00:00.000","2019-01-04T00:00:00.000","2019-01-04T00:00:00.000","Information Technology Consulting Services including PeopleSoft; Hyperion; and Oracle Platinum Partner for Oracle Implementations/Upgrades","21195 S. LAGRANGE RD.
FRANKFORT, IL 60423
(41.504564, -87.85038)"
"CHESS TECHNOLOGY LLC.",,"630-202-6617","000-000-0000","rjones@chesstechs.com","9238 S. Bishop St. Apt. 3",,,"Chicago","IL","60620",,"NAICS 541512	Computer hardware consulting services or consultants; NAICS 541519	Software installation services, computer; NAICS 811212	Computer and Office Machine Repair and Maintenance",,"Ramsey","Ponc De L Jones",,"2018-01-17T00:00:00.000","2019-01-17T00:00:00.000","2021-01-17T00:00:00.000","Technology:  Network Infrastructure and CCTV","9238 S. Bishop St. Apt. 3
Chicago, IL 60620
(41.725598, -87.65919)"
"Teamplete, LLC",,"847-404-7229","847-220-9225","andrea@teamplete.com","340 S. Elmwood Lane",,,"Palatine","IL","60067",,"Marketing/Advertising:  Marketing and Technical Communication Services","Ms.","Andrea","Brennan",,"2018-02-22T00:00:00.000","2019-02-22T00:00:00.000","2022-02-22T00:00:00.000","Professional Services:  Marketing Consulting Services and Technical Communication Services","340 S. Elmwood Lane
Palatine, IL 60067
(42.067349, -88.0318)"
"TLP IT Consulting","Tajmah L. Payton","773-491-4188",,"ceo@tlpitconsulting.com","132 Julie Road",,,"Bolingbrook","IL","60440",,"NAICS 541512	Computer Systems Design Services ; NAICS 541519	Other Computer Related Services ; NAICS 541611	Administrative Management and General Management Consulting Services ; NAICS 811212	Computer and Office Machine Repair and Maintenance",,"Tajmah L.","Payton",,"2018-02-15T00:00:00.000","2019-02-15T00:00:00.000","2021-02-15T00:00:00.000","Technology:  Information Technology Consulting - Networking, Software & Hardware Services","132 Julie Road
Bolingbrook, IL 60440
(41.71334, -88.067483)"
"D. L. DuBois & Associates, Ltd.",,"708-598-5700","708-598-6699","dld1@prodigy.net","9701 S. 78th Ave., Ste. 201",,,"Hickory Hills","IL","60457",,"REAL ESTATE APPRAISAL","Mr.","David","DuBois",,"2018-02-08T00:00:00.000","2019-02-08T00:00:00.000","2021-02-08T00:00:00.000","Licensed Professional Services:  Real Estate Appraisal","9701 S. 78th Ave., Ste. 201
Hickory Hills, IL 60457
(41.715337, -87.812933)"
"Vicmine, Meeks, Chavis & Associates, Inc.",,"630-914-5261","630-914-5681","vmcgm@aol.com","550 E. Boughton Rd., Ste 245",,,"Bolingbrook","IL","60440",,"COLLECTION SERVICES",,"Curtis","Meeks",,"2017-04-04T00:00:00.000","2018-04-04T00:00:00.000","2022-04-04T00:00:00.000","Professional Service:  Collection Agency and Accounts Receivable","550 E. Boughton Rd., Ste 245
Bolingbrook, IL 60440
(41.71942, -88.046982)"
"Namat Construction Company, Inc.",,"773-925-4570","773-925-8253","nphillips@namatcco.com","7819 South Claremont Avenue",,,"Chicago","IL","60620","5812","MASONRY AND CONCRETE MAINT. AND REPAIR (INCL. INSIDE CONCRETE SAWING WORK);MASONRY;Cement, Lime, Plaster or Stucco Products;Tile and Stone (Includes Granite, Marble, and Terrazzo), Restoration, Refurbishing, Maintenance and Repair","Mr.","Nathan","Phillips",,"2018-05-09T00:00:00.000","2019-05-09T00:00:00.000","2021-05-09T00:00:00.000","Construction:  Masonry Contractor","7819 South Claremont Avenue
Chicago, IL 60620
(41.751181, -87.681557)"
"Motion Solutions LLC",,"847-636-8477","847-729-5398","ts@motionsolutionsllc.com","9912 Irving Park Road",,,"Schiller Park","IL","60176",,"Construction","Mr.","Anthony E.","Swan",,"2018-05-24T00:00:00.000","2019-05-24T00:00:00.000","2021-05-24T00:00:00.000","Construction:  Elevator Installation and Repair","9912 Irving Park Road
Schiller Park, IL 60176
(41.955885, -87.87386)"
"LawDog Security & Investigations, Inc.",,"773-233-5742","773-233-5244","russ@lawdogsecurity.com","3055 W. 111th St.","Suite 4N",,"Chicago","IL","60655",,"Professional Service:  Security Service and Private Investigations","Mr.","Russell","Willingham","Jr.","2018-07-03T00:00:00.000","2019-07-03T00:00:00.000","2021-07-03T00:00:00.000","Licensed Professional Service:  Security Service and Private Investigations","3055 W. 111th St.
Chicago, IL 60655
(41.691591, -87.69813)"
"Halo Security Group, LLC",,"312-340-6602",,"michael_d_qualls@yahoo.com","2601 W. 63rd Street",,,"Chicago","IL","60629",,"Licensed Professional Services:  Armed and Unarmed Security Guard; Private Detective Services; and Private Security Contractor Services","Mr.","Michael","Qualls",,"2018-03-22T00:00:00.000","2019-03-22T00:00:00.000","2021-03-22T00:00:00.000","Licensed Professional Services:  Armed and Unarmed Security Guard Services; Private Detective Services; and Private Security Contractor Services","2601 W. 63rd Street
Chicago, IL 60629
(41.77919, -87.688635)"
"Canary Telehealth, Inc.",,"312-780-0812","312-326-1364","srobinson@canarytelehealth.com","3151 S. Michigan Ave.",,,"Chicago","IL","60616",,"Medical Equipment","Dr.","Sam","Robinson",,"2018-07-11T00:00:00.000","2019-07-11T00:00:00.000","2021-07-11T00:00:00.000","Medical Equipment:  Remote Patient Monitoring Service and Home Healthcare Consulting","3151 S. Michigan Ave.
Chicago, IL 60616
(41.837496, -87.623422)"
"Virtual Energy Solutions, Inc.","VES","312-583-7023","312-583-7023","svela@veschicago.com","6252 W 59th St",,,"Chicago","IL","60638","3439","Professional Services: Engineering Services; Consulting: Architectural, Mechanical, Electrical, Plumbing and Fire Protection","Mr.","Samuel","Vela",,"2018-06-21T00:00:00.000","2019-06-21T00:00:00.000","2021-06-21T00:00:00.000","Professional Services: Engineering Services; Consulting: Architectural, Mechanical, Electrical, Plumbing and Fire Protection; ;","6252 W 59th St
Chicago, IL 60638
(41.785064, -87.778606)"
"Richard Group LLC",,"847-471-8294","847-859-2412","jed.richard@richardgroupllc.com","1850 Johns Drive",,,"Glenview","IL","60025",,"Construction","Mr.","Jed","Richard",,"2018-07-03T00:00:00.000","2019-07-03T00:00:00.000","2021-07-03T00:00:00.000","Construction:  Project Management and Technical Services","1850 Johns Drive
Glenview, IL 60025
(42.088352, -87.810012)"
"Semper Fi Veteran Construction LLC","SFV","773-584-2608",,"sfvconstruction7@gmail.com","1140 East 78th Street",,,"Chicago","IL","60619",,"Construction: Demolition - Commercial and Residential",,"ANTONIO","MUNOZ IV",,"2018-09-05T00:00:00.000","2019-09-05T00:00:00.000","2023-09-05T00:00:00.000","Construction: Demolition - Commercial and Residential","1140 East 78th Street
Chicago, IL 60619
(41.753182, -87.597469)"
"Midwest Business Consulting, LLC",,"708-571-3400","708-571-3409","bdeir@mbconsultingco.com","6640 S. Cicero Ave.","Suite 204",,"Bedford Park","IL","60638",,"Consulting","Mr.","Bernard","Deir",,"2018-09-27T00:00:00.000","2019-09-27T00:00:00.000","2021-09-27T00:00:00.000","Consulting:  Business Management Consulting Services","6640 S. Cicero Ave.
Bedford Park, IL 60638
(41.771595, -87.742169)"
"Telecom Engineering Services, Inc.","Telecom General Contractors Inc.","312-612-5216","312-612-5219","mfernandez@telecom-eng.com","220 S. Halsted Street","Suite 300",,"Chicago","IL","60661",,"COMMUNICATIONS SYSTEMS, INTEGRATED (INCLUDES TELEPHONE, CLOCK, INTERC;COMMUNICATIONS SYSTEMS; TV; MICROWAVE; TELEPHONE; COMPUTER;PROJECT MANAGEMENT SERVICES","Mr.","Marino","Fernandez",,"2017-10-03T00:00:00.000","2018-12-02T00:00:00.000","2020-10-03T00:00:00.000","Professional Services: Engineering Services-Telecommunications, Surveying, Field Inspection, Security Systems and Access Control","220 S. Halsted Street
Chicago, IL 60661
(41.878805, -87.647312)"
"TROPICAL ENVIRONMENTAL, INC.",,"847-658-2900","847-658-2905","INFO@TROPICALENVIRONMENTAL.COM","1350 Chase St.",,,"Algonquin","IL","60102",,"Construction- Asbestos Removal","Mr.","Mark","Haines",,"2017-09-28T00:00:00.000","2018-11-26T00:00:00.000","2021-09-28T00:00:00.000","Construction:  Asbestos & Lead Removal Services","1350 Chase St.
Algonquin, IL 60102
(42.159038, -88.268474)"
"GroundsKeeper Landscape Care, LLC",,"708-301-7441","708-364-0476","kpekau@groundskpr.com","10640 Bonnieglen Place",,,"Orland Park","IL","60462","2796","Construction:","Mr.","Keith","Pekau",,"2018-09-28T00:00:00.000","2019-09-28T00:00:00.000","2020-09-28T00:00:00.000","Construction:  Landscaping and Tree Services","10640 Bonnieglen Place
Orland Park, IL 60462
(41.606846, -87.879423)"
"BioMetric Impressions Corp.",,"630-532-5922","888-457-0247","jwilliams@biometricimpressions.com","188 W Industrial Dr Ste 214 B",,,"Elmhurst","IL","60126",,"Licensed Professional Services:  Fingerprinting Services Agency","Mr.","James E.","Williams","Jr.","2018-10-04T00:00:00.000","2019-10-04T00:00:00.000","2020-10-04T00:00:00.000","Licensed Professional Services:  Fingerprinting Services Agency","188 W Industrial Dr Ste 214 B
Elmhurst, IL 60126
(41.919068, -87.944035)"
"American Veterans Construction, LLC",,"773-842-0338",,"bob@americanveteransco.com","5000 W Sunnyside",,,"Chicago","IL","60630",,"Construction Management Services, ; Project Management Services","Mr.","Robert","Tamillo",,"2018-10-05T00:00:00.000","2019-10-05T00:00:00.000","2022-10-05T00:00:00.000","Construction:  General Contractor; Construction Management; Project Management and Owner�s Representative","5000 W Sunnyside
Chicago, IL 60630
(41.962492, -87.752592)"
"FOOD SAFETY WITH INTEGRITY CONSULTANT","JOHNNY JONES","773-242-9126",,"fswi@fswiconsultant.com","22517 Plum Creek Dr",,,"Sauk Village","IL","60411",,"Consutling:  Food Safety - Inspections, Audits, Industry Application and Database Development","Mr.","Johnny","Jones",,"2018-04-26T00:00:00.000","2019-04-26T00:00:00.000","2023-04-26T00:00:00.000","Consulting:  Food Safety - Inspections, Audits, Industry Application and Database Development","22517 Plum Creek Dr
Sauk Village, IL 60411
(41.481106, -87.553728)"
"Sergeant Construction, Inc.",,"708-704-8439",,"ricringold@yahoo.com","19348 Trenton Way",,,"Mokena","IL","60448",,"237310 - HIGHWAY, STREET, AND BRIDGE CONSTRUCTION; 236220 - COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION","Mr.","Rick","Ringold",,"2018-05-16T00:00:00.000","2019-05-16T00:00:00.000","2023-05-16T00:00:00.000","Construction:  Construction Project Management Industrial Building General Contractor; Commercial Building Construction Project General Contractor; and Professional Services:  Project Management Consulting Services","19348 Trenton Way
Mokena, IL 60448
(41.537892, -87.862655)"
"World's Printing & Specialties Co., Ltd.",,"312-565-1401","815-901-0766","worldsprin@gmail.com","397 Quinlan Avenue",,,"DeKalb","IL","60115",,";Souvenirs: Promotional, Advertising, etc.",,"Willie","Walden",,"2018-09-28T00:00:00.000","2019-09-28T00:00:00.000","2023-09-28T00:00:00.000","Printing; Marketing/Advertising","397 Quinlan Avenue
DeKalb, IL 60115
(41.970925, -88.746669)"
"Frega Associates, Ltd.",,"312-663-0640","312-663-0834","bamato@fregaarchitects.com","411 S. Wells Street","5th Floor",,"Chicago","IL","60607","3924","Professional Service:  Architectural Services","Mr.","Paul","Krutulis",,"2017-10-25T00:00:00.000","2018-12-24T00:00:00.000","2020-10-25T00:00:00.000","Professional Service:  Architectural Services","411 S. Wells Street
Chicago, IL 60607
(41.876675, -87.633688)"
"GLOBAL SECURITY GROUP Corp.",,"800-407-2478","855-469-6552","mhall@securitygsg.com","25 N County 2nd Floor",,,"Waukegan","IL","60085",,"Security",,"Montague","Hall",,"2018-01-19T00:00:00.000","2019-01-19T00:00:00.000","2023-01-19T00:00:00.000","Security","25 N County 2nd Floor
Waukegan, IL 60085"
"Bravo Company Engineering, Inc.",,"630-702-9855",,"jkozial@bravocoeng.com","2558 Westgate Ln",,,"Montgomery","IL","60538",,"Civil Engineering","Mr.","Joseph","Kozial",,"2018-10-01T00:00:00.000","2019-10-01T00:00:00.000","2023-10-01T00:00:00.000","Professional Services","2558 Westgate Ln
Montgomery, IL 60538
(41.707082, -88.417841)"
"Command Mechanical Group LLC",,"312-758-3254",,"tadkins@commandmg.com","2150 S Canalport Ave, Unit 4B6",,,"Chicago","IL","60608",,"Construction","Mr.","Timothy","Adkins",,"2018-10-24T00:00:00.000","2019-10-24T00:00:00.000","2022-10-24T00:00:00.000","Construction:  Pipefitting & HVAC Services","2150 S Canalport Ave, Unit 4B6
Chicago, IL 60608
(41.853487, -87.649281)"
"C3PLUS INC.",,"630-267-0015","630-267-0015","support@c3plus-inc.com","7825 South Claremont",,,"Aurora","IL","60620",,"c3plus inc�s sole purpose is to provide products and services in the categories of a) Service Establishment Equipment and Supplies Merchant Wholesaler and b) Facility Management    We offer general cleaning and floor care services.  c3plus inc is leveraging B2B strategies to include landscaping, waste management, pest control and asbestos abatement.  Our expansion of consumer products in the cleaning and office services markets will position as a diverse supplier of products and services.  As a wholesaler, c3plus inc can offer familiar brands and product lines like Rubbermaid, 3M, P&G and Clorox to name a few.  We are partnering with system suppliers that will afford us cutting edge products with short lead times and short delivery cycles.  ;","Mrs","Kimberley","Woods",,"2017-11-16T00:00:00.000","2018-11-16T00:00:00.000","2022-11-16T00:00:00.000","Janitorial & Regular Dealer","7825 South Claremont
Aurora, IL 60620
(41.751215, -87.681559)"
"Keys Medical Staffing, LLC",,"312-888-9022","773-770-8836","tjones@keysmedicalstaffing.com","770 N Halsted St   STE 100",,,"Chicago","IL","60642",,"Professional Services:  Medical Staffing and CPR-Training",,"Theresa","Jones",,"2018-09-04T00:00:00.000","2019-09-04T00:00:00.000","2022-09-04T00:00:00.000","Licensed Professional Services:  Chiropractic Physician Services; Professional Services:  Medical Staffing and CPR-Training; and FMCSA Certified Medical Examiner","770 N Halsted St STE 100
Chicago, IL 60642
(41.89831, -87.647854)"
"Arete Consulting Group LLC",,"708-213-7995","708-575-9434","psims@actscompany.com","1 So. Wacker Drive","Suite 200",,"Chicago","IL","60606",,"Technology","MR.","Paul C.","Sims",,"2016-09-14T00:00:00.000","2017-09-14T00:00:00.000","2020-09-14T00:00:00.000","Technology:  Cyber Security; Information Assurance and Managed IT Services","1 So. Wacker Drive
Chicago, IL 60606
(41.882222, -87.636852)"
"Mohr Oil Company",,"708-366-2900","708-366-1007","sales@mohroil.com","7340 Harrison St",,,"Forest Park","IL","60130",,"NIGP 96756 Petroleum Products Manufacturing Services (Including Coal, etc) ; NIGP 99874 Oils and Other Petroleum Products, Waste, Sale of Surplus and Obsolete Items","Mr.","Michael","Mohr",,"2018-10-04T00:00:00.000","2019-10-04T00:00:00.000","2023-10-04T00:00:00.000","Commodites","7340 Harrison St
Forest Park, IL 60130
(41.872265, -87.808899)"
"Semper Fi Yard Services, Inc.",,"630-518-8484","630-882-9973","franny@semperfi.land","1275 Golfview Street",,,"Aurora","IL","60506",,"Professional Service:  Landscaping Services -  Construction and Maintenance; Commercial Snow Plowing/Removal","Mr.","Roberto","Velazquez",,"2018-03-01T00:00:00.000","2019-03-01T00:00:00.000","2021-03-01T00:00:00.000","Complete Landscaping Services; Commercial Snow Plowing and Removal; Ecological Restoration","1275 Golfview Street
Aurora, IL 60506
(41.746612, -88.345716)"
"Industrial Fence, Inc.",,"773-521-9900","773-521-9904","rruoti@industrialfenceinc.com","1300 S. Kilbourn Ave",,,"Chicago","IL","60623",,"STEEL WIRE PANELS (FOR PARTITIONS, WINDOW GUARDS, ETC.);FENCE INSTALLATION AND REPAIR FENCE INSTALLATION AND REPAIR;Overhead Doors: Garage, etc. (See Class 450 for Hardware);Fabrication of Ornamental Iron; Chain Link; Guardrail and Miscellaneous","Mr.","Miguel A.","Saltijeral",,"2017-06-13T00:00:00.000","2018-12-10T00:00:00.000","2021-06-13T00:00:00.000","Construction - General Contractor:  Installation Chain Link, Guardrail, Fencing, Railings & Miscellaneous Metals; and Construction Management; Fabrication/Manufacturer:  Chain Link Fencing; Ornamental Fencing; Wrought Iron Fencing; Railings & Miscellaneous Metals; Regular Dealer:  Chain Link Fencing; Ornamental Fencing; Wrought Iron Fencing; Railings and Related Products; and Low Voltage Electrical Work","1300 S. Kilbourn Ave
Chicago, IL 60623
(41.863664, -87.737297)"
"Industrial Fence, Inc.",,"773-521-9900","773-521-9904","rruoti@industrialfenceinc.com","1300 S. Kilbourn Ave",,,"Chicago","IL","60623",,"STEEL WIRE PANELS (FOR PARTITIONS, WINDOW GUARDS, ETC.);FENCE INSTALLATION AND REPAIR FENCE INSTALLATION AND REPAIR;Overhead Doors: Garage, etc. (See Class 450 for Hardware);Fabrication of Ornamental Iron; Chain Link; Guardrail and Miscellaneous","Mr.","Miguel A.","Saltijeral",,"2017-06-13T00:00:00.000","2018-12-10T00:00:00.000","2021-06-13T00:00:00.000","Construction - General Contractor:  Installation Chain Link, Guardrail, Fencing, Railings & Miscellaneous Metals; and Construction Management; Fabrication/Manufacturer:  Chain Link Fencing; Ornamental Fencing; Wrought Iron Fencing; Railings & Miscellaneous Metals; Regular Dealer:  Chain Link Fencing; Ornamental Fencing; Wrought Iron Fencing; Railings and Related Products; and Low Voltage Electrical Work","1300 S. Kilbourn Ave
Chicago, IL 60623
(41.863664, -87.737297)"
"ONeill Contractors, Inc.",,"773-774-2029","888-571-4822","customerservice@oneillcontractors.com","4307 Regency Drive",,,"Glenview","IL","60025","5209","Construction","Ms.","Kaney","ONeill",,"2018-10-24T00:00:00.000","2019-10-24T00:00:00.000","2019-10-24T00:00:00.000","Construction:  Non-Residential Construction; General Contractor � Roofing, Drywall & Installation, Masonry, Painting & Wall Covering Installation, Flooring, Tile & Terrazzo","4307 Regency Drive
Glenview, IL 60025
(42.067334, -87.86251)"
"SCM Plumbing Company",,"773-443-6593",,"s.marsh@scmplumbing.com","4148 West 13th Street","Office Ground Floor",,"Chicago","IL","60624",,"Construction",,"Shawn","Marsh",,"2018-04-16T00:00:00.000","2019-04-16T00:00:00.000","2021-04-16T00:00:00.000","Construction:  Plumbing Contractor","4148 West 13th Street
Chicago, IL 60624
(41.864299, -87.728787)"
"MASTER DESIGN BUILD, LLC",,"224-265-0088","224-603-9000","JAVIER@MASTERDESIGNBUILD.COM","5509 N Cumberland Ave","Suite 501",,"CHICAGO","IL","60656",,"Construction",,"Javier","Delatorre",,"2017-09-06T00:00:00.000","2019-01-04T00:00:00.000","2021-09-06T00:00:00.000","Construction:  General Contractor - Carpentry Services","5509 N Cumberland Ave
CHICAGO, IL 60656
(41.979369, -87.836458)"
"Phoenix Enterprises-Elevator Consultants","Phoenix Enterprises-Elevator Consultants & Inspectors","800-609-4219","800-609-4219","peelevatorconsultant4hire@gmail.com","5020 S. Lake Shore Drive","STE# N3207",,"Chicago","IL","60615",,"Licensed Professional Services:  Elevator Inspection Services and Elevator Consulting Services","Mr.","Carl","Talley",,"2018-04-10T00:00:00.000","2019-04-10T00:00:00.000","2023-04-10T00:00:00.000","Licensed Professional Services:  Elevator Inspection Services and Elevator Consulting Services","5020 S. Lake Shore Drive
Chicago, IL 60615
(41.803388, -87.583689)"
"Newcastle Tuckpointing, Inc.","The Newcastle Company","773-837-4876","708-452-0278","Newcastle129@yahoo.com","1800 N 78th Ave",,,"Elmwood park","IL","60707","3331","Snow and Ice Removal Services;Paint, Masonry;Masonry, Concrete, and Stucco Maintenance and Repair (Includes Inside Concrete Sawing Work);Masonry","Mr.","William","Marrero",,"2016-12-22T00:00:00.000","2018-12-17T00:00:00.000","2021-12-22T00:00:00.000","Construction:  Painting Services; Masonry Services; Concrete and Stucco Maintenance and Repair; and Snow and Ice Removal Services","1800 N 78th Ave
Elmwood park, IL 60707
(41.912387, -87.820544)"
"VEI Solutions, Inc.",,"312-985-6840","312-985-0275","certifications@veisolutions.com","105 W Adams St Ste 2940",,,"Chicago","IL","60603","6229","NAICS 236220 - Commercial building construction general contractors; NAICS 236220 - Construction management, commercial and institutional building","Mr.","Tranquilino Ryan","Ventura",,"2018-07-14T00:00:00.000","2019-07-14T00:00:00.000","2019-07-14T00:00:00.000","Construction:  General Contractor and Project Manager; Curtain Wall and Metal Installation; Glazing Contractor ; Distributor:  Architectural Metalwork � Glass, Plate and Related Supplies;","105 W Adams St Ste 2940
Chicago, IL 60603
(41.879431, -87.631074)"
