SITE TYPE,SITE NAME,HOURS OF OPERATION,ADDRESS,CITY,STATE,ZIP,PHONE,MONDAY-OPEN,MONDAY-CLOSE,TUESDAY-OPEN,TUESDAY-CLOSE,WEDNESDAY-OPEN,WEDNESDAY-CLOSE,THURSDAY-OPEN,THURSDAY-CLOSE,FRIDAY-OPEN,FRIDAY-CLOSE,SATURDAY-OPEN,SATURDAY-CLOSE,SUNDAY-OPEN,SUNDAY-CLOSE,ADDITIONAL NOTES,LOCATION,Community Areas,Zip Codes,Boundaries - ZIP Codes,Census Tracts,Wards,Historical Wards 2003-2015
Library,Blackstone,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",4904 S Lake Park Ave,Chicago,IL,60615,(312) 747-0511,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"4904 Lake Park Ave
Chicago, IL 60615
(41.805498563171, -87.589114605823)",5,21192,10,400,10,1
Library,Brighton Park,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",4314 S Archer Ave,Chicago,IL,60632,(312) 747-0666,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"4314 Archer Ave
Chicago, IL 60632
(41.815124935655, -87.702669516901)",55,22248,56,156,3,49
Library,Toman,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",2708 S Pulaski Rd,Chicago,IL,60623,(312) 745-1660,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"2708 Pulaski Rd
Chicago, IL 60623
(41.842057117098, -87.724526694994)",32,21569,57,248,28,14
Library,Kelly,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",6151 S Normal Blvd,Chicago,IL,60621,(312) 747-8418,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"6151 Normal Blvd
Chicago, IL 60621
(41.78234349533, -87.637468750753)",66,21559,11,166,4,53
Community Service Center,North Area Center,Mon - Fri 9:00 A.M. To 5:00 P.M.,845 W Wilson Ave,Chicago,IL,60640,311,9:00AM,5:00PM,9:00AM,5:00PM,9:00AM,5:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,CLOSED,CLOSED,,"4740 Sheridan Rd
Chicago, IL 60640
(41.968003546532, -87.654887232778)",31,22616,15,241,39,37
Library,Sherman Park,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",5440 S Racine Ave,Chicago,IL,60609,(312) 747-0477,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"5440 Racine Ave
Chicago, IL 60609
(41.79522560459, -87.654973222955)",59,14924,37,790,4,19
Library,North Austin,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",5724 W North Ave,Chicago,IL,60639,(312) 746-4233,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"5724 North Ave
Chicago, IL 60639
(41.909385967328, -87.768867460517)",26,22615,2,597,7,52
Library,Woodson Regional,"M-th: 9am-9pm; F, Sa: 9am-5pm; Su: 1pm-5pm",9525 S Halsted St,Chicago,IL,60628,(312) 747-6900,9:00AM,9:00PM,9:00AM,9:00PM,9:00AM,9:00PM,9:00AM,9:00PM,9:00AM,5:00PM,9:00AM,5:00PM,1:00PM,5:00PM,,"9525 Halsted St
Chicago, IL 60628
(41.720961701396, -87.643056534378)",72,21861,19,593,13,18
Police Station,District 19,Open Saturday And Sunday,850 W Addison St,Chicago,IL,60613,(312) 744-8320,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,12:00AM,11:59PM,12:00AM,11:59PM,,"850 Addison St
Chicago, IL 60613
(41.947345080718, -87.650960732323)",57,21186,53,727,25,38
Library,Scottsdale,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",4101 W 79th St,Chicago,IL,60652,(312) 747-0193,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"4101 79th St
Chicago, IL 60652
(41.749352804211, -87.724361248113)",69,4300,8,235,30,23
Library,Galewood-Mont Clare,"M-th: 10am-6pm; F: 9am-5pm; Sa, Su: Closed",6871 W Belden Ave,Chicago,IL,60707,(312) 746-0165,10:00AM,6:00PM,10:00AM,6:00PM,10:00AM,6:00PM,10:00AM,6:00PM,9:00AM,5:00PM,CLOSED,CLOSED,CLOSED,CLOSED,,"6871 Belden Ave
Chicago, IL 60707
(41.921096092371, -87.797287844088)",18,4454,3,136,7,39
Police Station,District 3,Open Saturday And Sunday,7040 S Cottage Grove Ave,Chicago,IL,60637,(312) 747-8201,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,12:00AM,11:59PM,12:00AM,11:59PM,,"7040 Cottage Grove Ave
Chicago, IL 60637
(41.766487809915, -87.605654220377)",9,22260,60,348,32,31
Police Station,District 20,Open Saturday And Sunday,5400 N Lincoln Ave,Chicago,IL,60625,(312) 742-8714,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,12:00AM,11:59PM,12:00AM,11:59PM,,"5400 Lincoln Ave
Chicago, IL 60625
(41.979680367241, -87.692753647699)",6,21849,20,29,24,46
Police Station,District 15,Open Saturday And Sunday,5701 W Madison St,Chicago,IL,60644,(312) 743-1440,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,12:00AM,11:59PM,12:00AM,11:59PM,,"5701 Madison St
Chicago, IL 60644
(41.880161391479, -87.768332671042)",26,22216,32,67,7,52
Library,Mount Greenwood,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",11010 S Kedzie Ave,Chicago,IL,60655,(312) 747-2805,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"11010 Kedzie Ave
Chicago, IL 60655
(41.692985497521, -87.700910498505)",73,4447,33,369,42,33
Regional Senior Center,Central West,Mon - Fri 8:30 A.M. To 4:30 P.M. ,2102 W Ogden Ave,Chicago,IL,60612,(312) 746-5300,8:30AM,4:30PM,8:30AM,4:30PM,8:30AM,4:30PM,8:30AM,4:30PM,8:30AM,4:30PM,CLOSED,CLOSED,CLOSED,CLOSED,Seniors Only At This Location,"2102 Ogden Ave
Chicago, IL 60612
(41.870607218318, -87.679074709073)",29,21184,28,5,23,8
Library,Rogers Park,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",6907 N Clark St,Chicago,IL,60626,(312) 744-0156,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"6907 Clark St
Chicago, IL 60626
(42.006781595899, -87.673362576821)",10,21853,9,49,5,3
Library,Uptown,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",929 W Buena Ave,Chicago,IL,60613,(312) 744-8400,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"929 Buena Ave
Chicago, IL 60613
(41.958378193684, -87.653499289251)",31,21186,53,577,39,37
Library,McKinley Park,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",1915 W 35th St,Chicago,IL,60609,(312) 747-6082,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"1915 35th St
Chicago, IL 60609
(41.830351580058, -87.673430993183)",56,14924,37,720,1,26
Library,Jefferson Park,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",5363 W Lawrence Ave,Chicago,IL,60630,(312) 744-1998,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"5363 Lawrence Ave
Chicago, IL 60630
(41.967562324592, -87.761721768496)",15,21869,48,260,50,20
Police Station,District 2,Open Saturday And Sunday,5101 S Wentworth Ave,Chicago,IL,60609,(312) 747-8366,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,12:00AM,11:59PM,12:00AM,11:59PM,,"5101 Wentworth Ave
Chicago, IL 60609
(41.80181236132, -87.630635163816)",3,14924,37,224,9,12
Library,Jeffery Manor,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",2401 E 100th St,Chicago,IL,60617,(312) 747-6479,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"2401 100th St
Chicago, IL 60617
(41.713490039789, -87.565418641571)",48,21202,25,252,37,43
Library,Water Works,"M-th: 9am-7pm; F, Sa: 9am-5pm; Su: 1pm-5pm",163 E Pearson St,Chicago,IL,60611,(312) 742-8811,9:00AM,7:00PM,9:00AM,7:00PM,9:00AM,7:00PM,9:00AM,7:00PM,9:00AM,5:00PM,9:00AM,5:00PM,1:00PM,5:00PM,,"163 Pearson St
Chicago, IL 60611
(41.897534902299, -87.622998964466)",37,21182,6,233,11,22
Library,South Shore,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",2505 E 73rd St,Chicago,IL,60649,(312) 747-5281,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"2505 73rd St
Chicago, IL 60649
(41.761792625983, -87.562136116164)",39,22538,24,421,37,43
Library,Merlo,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",644 W Belmont Ave,Chicago,IL,60657,(312) 744-1139,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"644 Belmont Ave
Chicago, IL 60657
(41.940092802456, -87.645684316254)",57,4449,22,730,25,38
Library,Beverly,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",1962 W 95th St,Chicago,IL,60643,(312) 747-9673,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"1962 95th St
Chicago, IL 60643
(41.721201982995, -87.671825936185)",71,22212,59,627,42,33
Library,Northtown,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",6435 N California Ave,Chicago,IL,60645,(312) 744-2292,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"6435 California Ave
Chicago, IL 60645
(41.998212242087, -87.699587919718)",20,22528,12,40,27,42
Library,Garfield Ridge,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",6348 S Archer Ave,Chicago,IL,60638,(312) 747-6094,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"6348 Archer Ave
Chicago, IL 60638
(41.792819235993, -87.780185735388)",53,22268,7,587,6,35
Library,Greater Grand Crossing,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",1000 East 73rd St,Chicago,IL,60619,(312) 745-1608,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"1000 73rd St
Chicago, IL 60619
(41.76231423276, -87.60040226851)",67,21546,61,121,33,32
Library,Altgeld,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",13281 S. Corliss Ave,Chicago,IL,60827,(312) 747-3270,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"13281 Corliss Ave
Chicago, IL 60827
(41.654748194923, -87.602203293403)",51,4460,47,10,43,30
Library,Walker,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",11071 S Hoyne Ave,Chicago,IL,60643,(312) 747-1920,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"11071 Hoyne Ave
Chicago, IL 60643
(41.692425806406, -87.674134473545)",74,22212,13,380,42,33
Library,Chinatown,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",2353 S Wentworth Ave,Chicago,IL,60616,(312) 747-8013,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"2353 Wentworth Ave
Chicago, IL 60616
(41.849761420501, -87.631870886234)",35,21194,40,3,26,8
Library,West Pullman,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",830 W 119th St,Chicago,IL,60643,(312) 747-1425,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"830 119th St
Chicago, IL 60643
(41.67784254808, -87.643516927175)",50,22212,13,642,22,45
Library,Oriole Park,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",7454 W Balmoral Ave,Chicago,IL,60656,(312) 744-1965,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"7454 Balmoral Ave
Chicago, IL 60656
(41.978060491792, -87.81330682611)",36,4448,31,735,29,34
Library,Gage Park,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",2807 W 55th St,Chicago,IL,60632,(312) 747-0032,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"2807 55th St
Chicago, IL 60632
(41.793664598701, -87.694129610404)",61,22248,58,764,2,19
Library,"Daley, Richard M.-W Humboldt","M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",733 N Kedzie Ave,Chicago,IL,60612,(312) 743-0555,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"733 Kedzie Ave
Chicago, IL 60612
(41.894693625756, -87.706461802397)",24,21184,28,177,46,41
Library,Mayfair,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",4400 W Lawrence Ave,Chicago,IL,60630,(312) 744-1254,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"4400 Lawrence Ave
Chicago, IL 60630
(41.968151058826, -87.738250349161)",14,21869,48,751,38,28
Police Station,District 11,Open Saturday And Sunday,3151 W Harrison St,Chicago,IL,60612,(312) 746-8386,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,12:00AM,11:59PM,12:00AM,11:59PM,,"3151 Harrison St
Chicago, IL 60612
(41.873635693753, -87.704701391361)",28,21184,28,36,14,36
Police Station,District 6,Open Saturday And Sunday,7808 S Halsted St,Chicago,IL,60620,(312) 745-3617,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,12:00AM,11:59PM,12:00AM,11:59PM,,"7808 Halsted St
Chicago, IL 60620
(41.752273769729, -87.644135305857)",70,21554,59,487,31,17
Library,Douglass,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",3353 W 13th St,Chicago,IL,60623,(312) 747-3725,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"3353 13th St
Chicago, IL 60623
(41.864470352773, -87.709657427614)",30,21569,57,34,14,36
Library,Lincoln Park,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",1150 W Fullerton Ave,Chicago,IL,60614,(312) 744-1926,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"1150 Fullerton Ave
Chicago, IL 60614
(41.92531635057, -87.658066797029)",68,21190,16,795,34,51
Regional Senior Center,Southwest,Mon - Fri 8:30 A.M. To 4:30 P.M. Sat 9:00 A.M. To 4:00 P.M.,6117 S Kedzie Ave,Chicago,IL,60629,(312) 747-0440,8:30AM,4:30PM,8:30AM,4:30PM,8:30AM,4:30PM,8:30AM,4:30PM,8:30AM,4:30PM,9:00AM,4:00PM,CLOSED,CLOSED,Seniors Only At This Location,"6117 Kedzie Ave
Chicago, IL 60629
(41.782294687023, -87.703156609494)",64,21867,58,183,2,44
Library,Coleman,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",731 E 63rd St,Chicago,IL,60637,(312) 747-7760,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"731 63rd St
Chicago, IL 60637
(41.780327339343, -87.607135243381)",9,22260,60,332,4,53
