"person_id","person_type","crash_record_id","rd_no","vehicle_id","crash_date","seat_no","city","state","zipcode","sex","age","drivers_license_state","drivers_license_class","safety_equipment","airbag_deployed","ejection","injury_classification","hospital","ems_agency","ems_run_no","driver_action","driver_vision","physical_condition","pedpedal_action","pedpedal_visibility","pedpedal_location","bac_result","bac_result_value","cell_phone_use"
"O1418467","PEDESTRIAN","8932fe8d347da5d68403404cdc48f4d548cb0fd519a13a105883a450a7de6d709adefec0f2cd5a4b94b69e6569265a44de90d09322edacb5935a936dd5114753",,,"2022-09-12T21:24:00.000",,"BOLLINGBROOK","IL","60440","M","59",,,,,,"FATAL","ST BENARD","37",,,,,"CROSSING - NO CONTROLS (NOT AT INTERSECTION)","NO CONTRASTING CLOTHING","IN ROADWAY","TEST NOT OFFERED",,
"O1418462","DRIVER","a536dbfb0792bf8b8cfa235bbfd7f3eb9fcd81fbb3cef53519c4f40090be1a90dfc20bc98d09d5dc271b8cde750a9fc0b0af887438fe58436b2f77da407e6c71",,"1347978","2022-09-12T21:14:00.000",,"CHICAGO","IL","60623","M","23","IL","D","USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY","DNA","DNA",,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1418463","DRIVER","a536dbfb0792bf8b8cfa235bbfd7f3eb9fcd81fbb3cef53519c4f40090be1a90dfc20bc98d09d5dc271b8cde750a9fc0b0af887438fe58436b2f77da407e6c71",,"1347983","2022-09-12T21:14:00.000",,"CHICAGO","IL","60632","F","47","IL","D","USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY","DNA","DNA",,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"P315112","PASSENGER","a536dbfb0792bf8b8cfa235bbfd7f3eb9fcd81fbb3cef53519c4f40090be1a90dfc20bc98d09d5dc271b8cde750a9fc0b0af887438fe58436b2f77da407e6c71",,"1347983","2022-09-12T21:14:00.000","3","CHICAGO","IL","60632","F",,,,"USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY","DNA","DNA","DNA",,,,,,,,,
"P315113","PASSENGER","a536dbfb0792bf8b8cfa235bbfd7f3eb9fcd81fbb3cef53519c4f40090be1a90dfc20bc98d09d5dc271b8cde750a9fc0b0af887438fe58436b2f77da407e6c71",,"1347983","2022-09-12T21:14:00.000","4","CHICAGO","IL","60623","F",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY","DNA","DNA","DNA",,,,,,,,,
"O1418451","DRIVER","5d18cda41816c9fb0bd3f6dff694624d56f2f34845446ffa87668eeec7ffcb1f121cc4f0d32e3877b19ced80d5fa43633d39842d2b5209aef4034508b1a7f2ae",,"1347967","2022-09-12T21:02:00.000",,,,,"X",,"XX","NA","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"TOO FAST FOR CONDITIONS","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1418436","DRIVER","3b6cfd35c43c85fbf232cfdf87c3ae0f84ab3d723a5b6a3abb8a241d6cbc9c22c7520ba67fe17b751f16679a3e552d71c88d2e3ffaa5d10a28b0191dfdd10035",,"1347954","2022-09-12T20:55:00.000",,"CHICAGO","IL","60625","M","42","IL","D","USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"IMPROPER TURN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1418437","DRIVER","3b6cfd35c43c85fbf232cfdf87c3ae0f84ab3d723a5b6a3abb8a241d6cbc9c22c7520ba67fe17b751f16679a3e552d71c88d2e3ffaa5d10a28b0191dfdd10035",,"1347955","2022-09-12T20:55:00.000",,"CHICAGO","IL","60626","F","38","IL","D","USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"OTHER","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1418440","DRIVER","4639cf859792ce76616c486043896d01749511e77afaae9056028845494e3d1027ce8acdb6019aafa23b0d3e1ba3bdb75558ab69a1edadcc39e624af7a2e4b38",,"1347960","2022-09-12T20:50:00.000",,,,,"M",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"FOLLOWED TOO CLOSELY","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1418441","DRIVER","4639cf859792ce76616c486043896d01749511e77afaae9056028845494e3d1027ce8acdb6019aafa23b0d3e1ba3bdb75558ab69a1edadcc39e624af7a2e4b38",,"1347961","2022-09-12T20:50:00.000",,"CHICAGO","IL","60644","F","30","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P315103","PASSENGER","4639cf859792ce76616c486043896d01749511e77afaae9056028845494e3d1027ce8acdb6019aafa23b0d3e1ba3bdb75558ab69a1edadcc39e624af7a2e4b38",,"1347961","2022-09-12T20:50:00.000","4",,,,"F","10",,,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"P315104","PASSENGER","4639cf859792ce76616c486043896d01749511e77afaae9056028845494e3d1027ce8acdb6019aafa23b0d3e1ba3bdb75558ab69a1edadcc39e624af7a2e4b38",,"1347961","2022-09-12T20:50:00.000","6",,,,"F","7",,,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1418421","DRIVER","7a26acfca339a1469f2b8a2af47f77729fe03258ca27558a89cc4c1301413db2ea8440564d6d274e049933f353d2a176e2bb542d8340ae91ecfba1a2f9ada248",,"1347938","2022-09-12T20:23:00.000",,,,,"M",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"OTHER","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1418411","DRIVER","268a7b00f88520ae2daaa2e74d3906d3afd8d16e117b80e926bd5a6d7b9f66f4baa5083bf0510addb5b948fcd556490f57450bebc49086c4a3abd81826a5fedd",,"1347933","2022-09-12T19:37:00.000",,"CHICAGO","IL","60651","M","65","IL","B","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY","REFUSED / DECLINED","ENG 68",,"OTHER","WINDSHIELD (WATER/ICE)","NORMAL",,,,"TEST NOT OFFERED",,
"O1418412","DRIVER","268a7b00f88520ae2daaa2e74d3906d3afd8d16e117b80e926bd5a6d7b9f66f4baa5083bf0510addb5b948fcd556490f57450bebc49086c4a3abd81826a5fedd",,"1347937","2022-09-12T19:37:00.000",,"CHICAGO","IL","60639","F","51","IL","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY","REFUSED / DECLINED","ENG 68",,"NONE","WINDSHIELD (WATER/ICE)","NORMAL",,,,"TEST NOT OFFERED",,
"O1418417","DRIVER","388a4961f72fcd5efb9ef1f92f590a352c621a2e10952b4e32de5fcd6ea1ee984348ebbb94f8b85968714b49d203f8f28db5ee2d3cd2b6ee01e5262263a7e8e8",,"1347930","2022-09-12T19:36:00.000",,"SPRINGFIELD","IL","62704","M","76","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1418418","DRIVER","388a4961f72fcd5efb9ef1f92f590a352c621a2e10952b4e32de5fcd6ea1ee984348ebbb94f8b85968714b49d203f8f28db5ee2d3cd2b6ee01e5262263a7e8e8",,"1347935","2022-09-12T19:36:00.000",,"NILES","IL","60714","M","49","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1418423","DRIVER","74ca951be78cceb6478107eaa010b5bc72969ef73e06cd45af91ab8a9dc6c84c1820a7c376e338ebb1ec4abc3d8120d62320c014ae5c530594003fe34c4786d1",,"1347941","2022-09-12T19:30:00.000",,"CHICAGO","IL","60613","M","40","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"FAILED TO YIELD","NOT OBSCURED","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1418424","DRIVER","74ca951be78cceb6478107eaa010b5bc72969ef73e06cd45af91ab8a9dc6c84c1820a7c376e338ebb1ec4abc3d8120d62320c014ae5c530594003fe34c4786d1",,"1347944","2022-09-12T19:30:00.000",,"CHICAGO","IL","60637","M","30","IL","D","USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1418425","DRIVER","74ca951be78cceb6478107eaa010b5bc72969ef73e06cd45af91ab8a9dc6c84c1820a7c376e338ebb1ec4abc3d8120d62320c014ae5c530594003fe34c4786d1",,"1347952","2022-09-12T19:30:00.000",,"CHICAGO","IL","60622","F","27","IL","D","USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1418397","DRIVER","0d1f1e40c6ef864c7a266e0fd850f44fe3276fe0b9bd60e1a9c938a805046d7deffd9d62280e5a1a442c4f32685a844e603de993029dc5824fb80196f2c5db6c",,"1347916","2022-09-12T19:13:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY","N.A","N.A",,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1418398","DRIVER","0d1f1e40c6ef864c7a266e0fd850f44fe3276fe0b9bd60e1a9c938a805046d7deffd9d62280e5a1a442c4f32685a844e603de993029dc5824fb80196f2c5db6c",,"1347922","2022-09-12T19:13:00.000",,"WESTMONT","IL","60559","M","37","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY","REFUSED","REFUSED",,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P315097","PASSENGER","0d1f1e40c6ef864c7a266e0fd850f44fe3276fe0b9bd60e1a9c938a805046d7deffd9d62280e5a1a442c4f32685a844e603de993029dc5824fb80196f2c5db6c",,"1347922","2022-09-12T19:13:00.000","12",,,,"M",,,,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY","N.A","N.A","N.A",,,,,,,,,
"P315098","PASSENGER","0d1f1e40c6ef864c7a266e0fd850f44fe3276fe0b9bd60e1a9c938a805046d7deffd9d62280e5a1a442c4f32685a844e603de993029dc5824fb80196f2c5db6c",,"1347922","2022-09-12T19:13:00.000","10",,,,"M",,,,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY","N.A","N.A","N.A",,,,,,,,,
"O1418372","DRIVER","858d7022e4f43a9d80d866fe0b8ec200347cfae9fe1eca22fdc08b423173ea0f134ac0d2872f86943f687e5b619e3a1fe3c26245d08d27b0c45bd131e8a041e4",,"1347884","2022-09-12T18:32:00.000",,,,,"F",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1418373","DRIVER","858d7022e4f43a9d80d866fe0b8ec200347cfae9fe1eca22fdc08b423173ea0f134ac0d2872f86943f687e5b619e3a1fe3c26245d08d27b0c45bd131e8a041e4",,"1347890","2022-09-12T18:32:00.000",,"CHICAGO","IL","60619","F","58","IL","B","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1418407","DRIVER","3131e9964787d42f8a83f6ea9dd849df589e6ee5fc928fa6996ee2583976f7656a6f514a4330d3feb9f479b22f6253b66dc55766848517cfae51b3f484df8767",,"1347931","2022-09-12T18:27:00.000",,"HOUSTON","TX","77031","M","29","TX","C","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"FOLLOWED TOO CLOSELY","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1418408","DRIVER","3131e9964787d42f8a83f6ea9dd849df589e6ee5fc928fa6996ee2583976f7656a6f514a4330d3feb9f479b22f6253b66dc55766848517cfae51b3f484df8767",,"1347939","2022-09-12T18:27:00.000",,,,,"M",,,,"USAGE UNKNOWN","DEPLOYED, COMBINATION","NONE","NONINCAPACITATING INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1418409","DRIVER","3131e9964787d42f8a83f6ea9dd849df589e6ee5fc928fa6996ee2583976f7656a6f514a4330d3feb9f479b22f6253b66dc55766848517cfae51b3f484df8767",,"1347940","2022-09-12T18:27:00.000",,"CHICAGO","IL","60633","M","32","IL","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1418410","DRIVER","3131e9964787d42f8a83f6ea9dd849df589e6ee5fc928fa6996ee2583976f7656a6f514a4330d3feb9f479b22f6253b66dc55766848517cfae51b3f484df8767",,"1347945","2022-09-12T18:27:00.000",,"CHICAGO","IL","60643","M","53","IL","B","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P315099","PASSENGER","3131e9964787d42f8a83f6ea9dd849df589e6ee5fc928fa6996ee2583976f7656a6f514a4330d3feb9f479b22f6253b66dc55766848517cfae51b3f484df8767",,"1347940","2022-09-12T18:27:00.000","3","CHICAGO","IL","60633","M","32",,,"SAFETY BELT USED","DID NOT DEPLOY","NONE","REPORTED, NOT EVIDENT",,,,,,,,,,,,
"O1418357","DRIVER","4e9e95ca7e4144a7a7c2685b7d3b926d3cec596fe0386f66a624cb3cb8ebfcc2155866036285a5d3fca374c500b25c4018f7eaa5ab4184ccb320e14f61d59cd4",,"1347867","2022-09-12T18:25:00.000",,"CHICAGO","IL",,"M","73","IL","B","USAGE UNKNOWN","DEPLOYED, FRONT","UNKNOWN","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","IMPAIRED - ALCOHOL",,,,"TEST NOT OFFERED",,
"O1418368","DRIVER","e59fc03bbe687ebb119118b42869c4b793acd67e78c8b3fa88fac93c39ee53744fefbb8c7fd05a5a3022bb1521868f51abf98412eab1e82b718adf6975d89419",,"1347894","2022-09-12T18:21:00.000",,"CHICAGO","IL","60630","M","20","IL",,"SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"IMPROPER LANE CHANGE","MOVING VEHICLES","NORMAL",,,,"TEST NOT OFFERED",,
"O1418369","DRIVER","e59fc03bbe687ebb119118b42869c4b793acd67e78c8b3fa88fac93c39ee53744fefbb8c7fd05a5a3022bb1521868f51abf98412eab1e82b718adf6975d89419",,"1347881","2022-09-12T18:21:00.000",,"CHICAGO","IL","60646","F","63","IL",,"SAFETY BELT USED","NOT APPLICABLE","NONE","REPORTED, NOT EVIDENT",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1418381","DRIVER","58f25f37ac29e7c8b5f72f8432a513e0d620004b06c1ae4bb9ebf197e8c011a4a3cb30429154ce245a6f902975e9d8db7f4b73105f0d33f4204f191f31a49231",,"1347898","2022-09-12T18:15:00.000",,"CHICAGO","IL","60647","F","49","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"OTHER","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1418382","DRIVER","58f25f37ac29e7c8b5f72f8432a513e0d620004b06c1ae4bb9ebf197e8c011a4a3cb30429154ce245a6f902975e9d8db7f4b73105f0d33f4204f191f31a49231",,"1347904","2022-09-12T18:15:00.000",,"CHICAGO","IL","60618","M","26","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1418379","DRIVER","e34d398c5d06da8a17fd3aaa0020aa6f8ebc4c6c755549ea91c99fa6653cf426034a6d5c62566506cdc4c23f9eccebacb74ca013d2caf982ce48a1d51b390222",,"1347901","2022-09-12T18:12:00.000",,"CHICAGO","IL","60628","F",,"IL",,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1418380","DRIVER","e34d398c5d06da8a17fd3aaa0020aa6f8ebc4c6c755549ea91c99fa6653cf426034a6d5c62566506cdc4c23f9eccebacb74ca013d2caf982ce48a1d51b390222",,"1347891","2022-09-12T18:12:00.000",,"CHICAGO","IL","60623","F","25","IL",,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P315095","PASSENGER","e34d398c5d06da8a17fd3aaa0020aa6f8ebc4c6c755549ea91c99fa6653cf426034a6d5c62566506cdc4c23f9eccebacb74ca013d2caf982ce48a1d51b390222",,"1347901","2022-09-12T18:12:00.000","5",,"IL",,"M","0",,,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1418360","DRIVER","2c826d7241c4229d6249f3d80404e936b9b7e85d24c97a49c3410c4b8f54103ffee82074c8be12c39b85866783d0885dd3a336be1667b3d72b165d554c03b4f0",,"1347877","2022-09-12T18:00:00.000",,"CHICAGO","IL","60638","M","35","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"IMPROPER PARKING","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1418358","DRIVER","a660f337a196f31f09cd3837f2a05eb3817098b9f52e19f99de187b1e599e58d2f836ec21db93f8f5a83d10985b49ba060ef112afbf023bcef73771f4b57dc69",,"1347864","2022-09-12T18:00:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1418359","DRIVER","a660f337a196f31f09cd3837f2a05eb3817098b9f52e19f99de187b1e599e58d2f836ec21db93f8f5a83d10985b49ba060ef112afbf023bcef73771f4b57dc69",,"1347868","2022-09-12T18:00:00.000",,"CHICAGO RIDGE","IL","60415","F","20","IL",,"SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1418331","DRIVER","f4c9d78be18d43fd282f43f1101bd9ccd165efc6f6c00b8cbb85f4cb7c64cce8bd24e765ef5fd0220f48a138168eceed99b2a548497c253ba8aac5cfa6cb7d6d",,"1347845","2022-09-12T18:00:00.000",,"APALACHIN","NY","13732","F","23","NY","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"FOLLOWED TOO CLOSELY","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1418332","DRIVER","f4c9d78be18d43fd282f43f1101bd9ccd165efc6f6c00b8cbb85f4cb7c64cce8bd24e765ef5fd0220f48a138168eceed99b2a548497c253ba8aac5cfa6cb7d6d",,"1347855","2022-09-12T18:00:00.000",,"PEORIA","AZ","85383","F","33","AZ","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1418325","DRIVER","31e16e4a096c4d37f10d599a12424acaf6b0bd0d507ac9b4013aff3ce99a47f8af1baf3621f3562f198e591da04fca7de12ff52c51c0c9965148568f4ad143a8",,"1347842","2022-09-12T17:55:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1418301","DRIVER","aad2c0f0931e6a866b1a969fd191518b361a1d87a34bd5439dab5af2d7ec04921d496e57c40664e8e7447069b07e31d9a37fbc8590a91fd140c7e772d5d2e677",,"1347814","2022-09-12T17:51:00.000",,"CHICAGO","IL","60707","M","49",,,"USAGE UNKNOWN","DEPLOYED, FRONT","NONE","NO INDICATION OF INJURY",,,,"FOLLOWED TOO CLOSELY","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1418302","DRIVER","aad2c0f0931e6a866b1a969fd191518b361a1d87a34bd5439dab5af2d7ec04921d496e57c40664e8e7447069b07e31d9a37fbc8590a91fd140c7e772d5d2e677",,"1347819","2022-09-12T17:51:00.000",,"CHICAGO","IL","60634","M","20",,,"USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1418352","DRIVER","bb29ce4c11cbc984436e9f2ed68536fb590fe9f1d99a895dac350bf72a6f46f90ec02bc6b613b0dce2e47bf9b62a6aa5cbb74d1fe5401da921a3687826e6a698",,"1347862","2022-09-12T17:45:00.000",,,,,"F",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"OTHER","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1418353","DRIVER","bb29ce4c11cbc984436e9f2ed68536fb590fe9f1d99a895dac350bf72a6f46f90ec02bc6b613b0dce2e47bf9b62a6aa5cbb74d1fe5401da921a3687826e6a698",,"1347879","2022-09-12T17:45:00.000",,"CHICAGO","IL","60622","F","37","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P315085","PASSENGER","bb29ce4c11cbc984436e9f2ed68536fb590fe9f1d99a895dac350bf72a6f46f90ec02bc6b613b0dce2e47bf9b62a6aa5cbb74d1fe5401da921a3687826e6a698",,"1347879","2022-09-12T17:45:00.000","6","CHICAGO","IL","60622","M",,,,"BOOSTER SEAT","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1418383","DRIVER","84f37da3a565c0c676bc08093c6687e3fa94a03270e91d6c78f2c02129e6ddf1ff886a971ca344ad526157b716377b95bd6f6e04ea33ab6ec12ce5d5b9fdff7c",,"1347897","2022-09-12T17:40:00.000",,,,,"F",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
