"committee","seat_code","seat_name","appointer","firstname","lastname","term_start","term_end","appointment_start","appointment_end"
"BIDAC (Bloomington Industrial Development Advisory Commission)","M-6","Utility Company Rep","Mayor","Bruce","Calloway",,,"2012-12-04T00:00:00.000",
"BIDAC (Bloomington Industrial Development Advisory Commission)","WDO-1","Workforce Development","Workforce Development Office","Robert","King",,,"2019-02-07T00:00:00.000",
"Bloomington Arts Commission","C-1","Council Appointment","Common Council","Christopher","Corey","2021-02-01T00:00:00.000","2024-01-31T00:00:00.000","2022-02-16T00:00:00.000",
"Bloomington Arts Commission","C-2","Council Appointment","Common Council","Babette","Ballinger","2021-02-01T00:00:00.000","2024-01-31T00:00:00.000","2021-02-01T00:00:00.000",
"Bloomington Arts Commission","C-3","Council Appointment","Common Council","Suzanne","Ryan-Melamed","2022-02-01T00:00:00.000","2025-01-31T00:00:00.000","2022-03-02T00:00:00.000",
"Bloomington Arts Commission","C-4","Council Appointment","Common Council","Gerard","Pannekoek","2020-02-01T00:00:00.000","2023-01-31T00:00:00.000","2022-02-16T00:00:00.000",
"Bloomington Arts Commission","C-5","Council Appointment","Common Council","Nia","Carlsgaard","2020-02-01T00:00:00.000","2023-01-31T00:00:00.000","2022-03-02T00:00:00.000",
"Bloomington Arts Commission","M-1","Mayoral Appointment","Mayor","Natalia","Almanza","2022-02-01T00:00:00.000","2025-01-31T00:00:00.000","2022-03-07T00:00:00.000",
"Bloomington Arts Commission","M-2","Mayoral Appointment","Mayor","Nick","Blandford","2021-02-01T00:00:00.000","2024-01-31T00:00:00.000","2021-02-01T00:00:00.000",
"Bloomington Arts Commission","M-3","Mayoral Appointment","Mayor","Bryony","Gomez-Palacio","2020-02-01T00:00:00.000","2023-01-31T00:00:00.000","2020-02-01T00:00:00.000",
"Bloomington Arts Commission","M-4","Mayoral Appointment","Mayor","Elliot","Reichert","2020-02-01T00:00:00.000","2023-01-31T00:00:00.000","2020-02-24T00:00:00.000",
"Bloomington Arts Commission","M-5","Mayoral Appointment","Mayor","Rachel","Kabukala","2021-02-01T00:00:00.000","2024-01-31T00:00:00.000","2021-09-20T00:00:00.000",
"Bloomington Arts Commission","M-6","Mayoral Appointment","Mayor","Karen","Hallett-Rupp","2022-02-01T00:00:00.000","2025-01-31T00:00:00.000","2022-02-01T00:00:00.000",
"Bloomington Digital Underground Advisory Committee","BPW-1","Board of Public Works Appointment (IU)","Board of Public Works","Chris","Robb","2021-02-01T00:00:00.000","2023-01-31T00:00:00.000","2021-02-01T00:00:00.000",
"Bloomington Digital Underground Advisory Committee","BPW-2","Board of Public Works Appointment (ED)","Board of Public Works","Mike","Trotzke","2021-02-01T00:00:00.000","2023-01-31T00:00:00.000","2021-02-01T00:00:00.000",
"Bloomington Digital Underground Advisory Committee","BPW-3","Board of Public Works Appointment (NFP)","Board of Public Works","Mike","Sullivan","2022-02-01T00:00:00.000","2024-01-31T00:00:00.000","2022-02-01T00:00:00.000",
"Bloomington Digital Underground Advisory Committee","BPW-4","Board of Public Works Appointment (Tech)","Board of Public Works","Marianne","Chitwood","2022-02-01T00:00:00.000","2024-01-31T00:00:00.000","2022-02-01T00:00:00.000",
"Bloomington Digital Underground Advisory Committee","BPW-5","Board of Public Works Appointment (Tech)","Board of Public Works","Michelle","Cole","2022-02-01T00:00:00.000","2024-01-31T00:00:00.000","2022-02-01T00:00:00.000",
"Bloomington Digital Underground Advisory Committee","C-1","Council Appointment","Common Council","Mike","Allen","2021-02-01T00:00:00.000","2023-01-31T00:00:00.000","2021-02-01T00:00:00.000",
"Bloomington Digital Underground Advisory Committee","C-2","Council Appointment","Common Council","Mike","Satterfield","2022-02-01T00:00:00.000","2024-01-31T00:00:00.000","2022-03-02T00:00:00.000",
"Board of Park Commissioners","M-1","Mayoral Appointment","Mayor","Jim","Whitlatch","2021-01-01T00:00:00.000","2024-12-31T00:00:00.000","2021-01-26T00:00:00.000",
"Board of Park Commissioners","M-2","Mayoral Appointment","Mayor","Ellen","Rodkey","2022-01-01T00:00:00.000","2025-12-31T00:00:00.000","2022-01-01T00:00:00.000",
"Board of Park Commissioners","M-3","Mayoral Appointment","Mayor","Israel","Herrera","2019-01-01T00:00:00.000","2022-12-31T00:00:00.000","2020-01-27T00:00:00.000",
"Board of Park Commissioners","M-4","Mayoral Appointment","Mayor","Kathleen","Mills","2020-01-01T00:00:00.000","2023-12-31T00:00:00.000","2020-01-01T00:00:00.000",
"Board of Public Safety","M-1","Mayoral Appointment","Mayor","Isak","Asare",,,"2022-05-24T00:00:00.000",
"Board of Public Safety","M-2","Mayoral Appointment","Mayor","Shruti","Rana",,,"2021-10-27T00:00:00.000",
"Board of Public Safety","M-3","Mayoral Appointment","Mayor","Kim","Gray",,,"2016-02-01T00:00:00.000",
"Board of Public Safety","M-4","Mayoral Appointment","Mayor","Natalia","Galvan",,,"2022-05-24T00:00:00.000",
"Board of Public Safety","M-5","Mayoral Appointment","Mayor","Maqube","Reese",,,"2018-02-26T00:00:00.000",
"Board of Public Works","M-1","Mayoral Appointment","Mayor","Kyla","Cox Deckard",,,"2016-01-02T00:00:00.000",
"Board of Public Works","M-2","Mayoral Appointment","Mayor","Elizabeth","Karon",,,"2022-01-05T00:00:00.000",
"Board of Public Works","M-3","Mayoral Appointment","Mayor","Jennifer","Lloyd",,,"2022-06-09T00:00:00.000",
"Board of Zoning Appeals","C-1","Council Appointment","Common Council","Jo","Throckmorton","2022-01-01T00:00:00.000","2025-12-31T00:00:00.000","2022-01-01T00:00:00.000",
"Board of Zoning Appeals","M-1","Mayoral Appointment","Mayor","Barre","Klapper","2021-01-01T00:00:00.000","2024-12-31T00:00:00.000","2021-01-05T00:00:00.000",
"Board of Zoning Appeals","M-2","Mayoral Appointment","Mayor","Erik","Coyne","2019-01-08T00:00:00.000","2023-01-01T00:00:00.000","2021-09-17T00:00:00.000",
"Board of Zoning Appeals","M-3","Mayoral Appointment","Mayor","Tim","Ballard","2022-01-01T00:00:00.000","2025-12-31T00:00:00.000","2022-02-03T00:00:00.000",
"Board of Zoning Appeals","PC","Plan Commission Appointment","Plan Commission","Flavia","Burrell","2019-01-08T00:00:00.000","2023-01-01T00:00:00.000","2020-01-14T00:00:00.000",
"Cascades Golf Course Advisory Council","M-1","Council Member","Board of Park Commissioners","Brian","Muehlhaus","2021-01-01T00:00:00.000","2022-12-31T00:00:00.000","2021-08-18T00:00:00.000",
"Cascades Golf Course Advisory Council","M-2","Council Member","Board of Park Commissioners","Bill","Pfrommer","2021-01-01T00:00:00.000","2022-12-31T00:00:00.000","2021-08-18T00:00:00.000",
"Cascades Golf Course Advisory Council","M-3","Council Member","Board of Park Commissioners",,,,,,
"Cascades Golf Course Advisory Council","M-4","Council Member","Board of Park Commissioners","Shelia","Nickle","2021-01-01T00:00:00.000","2022-12-31T00:00:00.000","2021-08-18T00:00:00.000",
"Cascades Golf Course Advisory Council","M-5","Council Member","Board of Park Commissioners","Anthony","Robertson","2021-01-01T00:00:00.000","2022-12-31T00:00:00.000","2021-08-18T00:00:00.000",
"CDBG Funding Citizens Advisory Committee","C-1","Council Appointment","Common Council","Susan","Sandberg",,,"2022-01-12T00:00:00.000",
"CDBG Funding Citizens Advisory Committee","C-2","Council Appointment","Common Council","Kate","Rosenbarger",,,"2020-01-08T00:00:00.000",
"CDBG Funding Citizens Advisory Committee","M-01","Mayoral Appointment","Mayor","Eric","Spoonmore",,,"2022-01-04T00:00:00.000",
"CDBG Funding Citizens Advisory Committee","M-02","Mayoral Appointment","Mayor","Maryjane","McNabb",,,"2017-10-30T00:00:00.000",
"CDBG Funding Citizens Advisory Committee","M-03","Mayoral Appointment","Mayor","Beth","Rosenbarger",,,"2018-12-04T00:00:00.000",
"CDBG Funding Citizens Advisory Committee","M-04","Mayoral Appointment","Mayor","Kyla","Cox Deckard",,,"2022-01-04T00:00:00.000",
"CDBG Funding Citizens Advisory Committee","M-05","Mayoral Appointment","Mayor",,,,,,
"CDBG Funding Citizens Advisory Committee","M-06","Mayoral Appointment","Mayor","Isadore","Torry",,,"2022-01-04T00:00:00.000",
"CDBG Funding Citizens Advisory Committee","M-07","Mayoral Appointment","Mayor","Chris","Hazel",,,"2013-08-23T00:00:00.000",
"CDBG Funding Citizens Advisory Committee","M-08","Mayoral Appointment","Mayor",,,,,,
"CDBG Funding Citizens Advisory Committee","M-09","Mayoral Appointment","Mayor","Jonathan","Barada",,,"2019-08-31T00:00:00.000",
"CDBG Funding Citizens Advisory Committee","M-10","Mayoral Appointment","Mayor","Matthew","Seddon",,,"2022-01-04T00:00:00.000",
"CDBG Funding Citizens Advisory Committee","M-11","Mayoral Appointment","Mayor",,,,,,
"CDBG Funding Citizens Advisory Committee","M-12","Mayoral Appointment","Mayor","Tim","Mayer",,,"2017-10-24T00:00:00.000",
"CDBG Funding Citizens Advisory Committee","M-13","Mayoral Appointment","Mayor","Matthew","Hutchinson",,,"2019-08-31T00:00:00.000",
"CDBG Funding Citizens Advisory Committee","M-14","Mayoral Appointment","Mayor","Byron","Turner II",,,"2019-08-31T00:00:00.000",
"CDBG Funding Citizens Advisory Committee","M-15","Mayoral Appointment","Mayor",,,,,,
"CDBG Funding Citizens Advisory Committee","M-16","Mayoral Appointment","Mayor",,,,,,
"CDBG Funding Citizens Advisory Committee","M-17","Mayoral Appointment","Mayor","Karen","Danielson McRae",,,"2021-09-10T00:00:00.000",
"CDBG Funding Citizens Advisory Committee","M-18","Mayoral Appointment","Mayor","Michelle","Gilcrist",,,"2022-01-11T00:00:00.000",
"CDBG Funding Citizens Advisory Committee","R-1","Redevelopment Commission","Redevelopment Commission",,,,,,
"CDBG Funding Citizens Advisory Committee","R-2","Redevelopment Commission","Redevelopment Commission","Sue","Sgambelluri",,,"2014-12-15T00:00:00.000",
"Citizens' Redistricting Advisory Commission","C-1","Council Appointment","Common Council","Mackenzie","Colston","2021-01-01T00:00:00.000","2022-12-31T00:00:00.000","2022-06-28T00:00:00.000",
"Citizens' Redistricting Advisory Commission","C-2","Council Appointment","Common Council","Alex","Semchuck","2021-01-01T00:00:00.000","2022-12-31T00:00:00.000","2022-06-28T00:00:00.000",
"Citizens' Redistricting Advisory Commission","C-3","Council Appointment","Common Council","Kathleen","Field","2021-01-01T00:00:00.000","2022-12-31T00:00:00.000","2022-06-28T00:00:00.000",
"Citizens' Redistricting Advisory Commission","C-4","Council Appointment","Common Council","Michael","Schnoll","2021-01-01T00:00:00.000","2022-12-31T00:00:00.000","2022-06-28T00:00:00.000",
"Citizens' Redistricting Advisory Commission","C-5","Council Appointment","Common Council","Amanda","Sheridan","2021-01-01T00:00:00.000","2022-12-31T00:00:00.000","2022-06-28T00:00:00.000",
"City Council","C-1","District I","Elected","Kate","Rosenbarger","2020-01-01T00:00:00.000","2023-12-31T00:00:00.000","2020-01-01T00:00:00.000",
"City Council","C-2","District II","Elected","Sue","Sgambelluri","2020-01-01T00:00:00.000","2023-12-31T00:00:00.000","2020-01-01T00:00:00.000",
"City Council","C-3","District III","Elected","Ron","Smith","2020-01-01T00:00:00.000","2023-12-31T00:00:00.000","2020-01-01T00:00:00.000",
"City Council","C-4","District IV","Elected","Dave","Rollo","2020-01-01T00:00:00.000","2023-12-31T00:00:00.000","2020-01-01T00:00:00.000",
"City Council","C-5","District V","Elected","Isabel","Piedmont-Smith","2020-01-01T00:00:00.000","2023-12-31T00:00:00.000","2020-01-01T00:00:00.000",
"City Council","C-6","District VI","Elected","Stephen","Volan","2020-01-01T00:00:00.000","2023-12-31T00:00:00.000","2020-01-01T00:00:00.000",
"City Council","C-7","At-Large","Elected","Matt","Flaherty","2020-01-01T00:00:00.000","2023-12-31T00:00:00.000","2020-01-01T00:00:00.000",
"City Council","C-8","At-Large","Elected","Susan","Sandberg","2020-01-01T00:00:00.000","2023-12-31T00:00:00.000","2020-01-01T00:00:00.000",
"City Council","C-9","At-Large","Elected","Jim","Sims","2020-01-01T00:00:00.000","2023-12-31T00:00:00.000","2020-01-01T00:00:00.000",
"City Council Climate Action and Resilience Committee","C-1","Council Appointment","Common Council","Matt","Flaherty","2022-01-01T00:00:00.000","2022-12-31T00:00:00.000","2022-01-01T00:00:00.000",
"City Council Climate Action and Resilience Committee","C-2","Council Appointment","Common Council","Isabel","Piedmont-Smith","2022-01-01T00:00:00.000","2022-12-31T00:00:00.000","2022-01-01T00:00:00.000",
"City Council Climate Action and Resilience Committee","C-3","Council Appointment","Common Council","Dave","Rollo","2022-01-01T00:00:00.000","2022-12-31T00:00:00.000","2022-01-01T00:00:00.000",
"City Council Climate Action and Resilience Committee","C-4","Council Appointment","Common Council","Ron","Smith","2022-01-01T00:00:00.000","2022-12-31T00:00:00.000","2022-01-21T00:00:00.000",
"Commission on Aging","C-1","Council Appointment","Common Council","Wendy","Rubin","2022-02-01T00:00:00.000","2024-01-31T00:00:00.000","2022-07-20T00:00:00.000",
"Commission on Aging","C-2","Council Appointment","Common Council","Robert","Deppert","2022-02-01T00:00:00.000","2024-01-31T00:00:00.000","2022-02-01T00:00:00.000",
"Commission on Aging","C-3","Council Appointment","Common Council","Jack","Kahn","2021-02-01T00:00:00.000","2023-01-31T00:00:00.000","2021-02-01T00:00:00.000",
"Commission on Aging","C-4","Council Appointment","Common Council",,,,,,
"Commission on Aging","M-1","Mayoral Appointment","Mayor","Lori","Clendening","2021-02-01T00:00:00.000","2023-01-31T00:00:00.000","2021-02-01T00:00:00.000",
"Commission on Aging","M-2","Mayoral Appointment","Mayor","Dayna","Thompson","2022-02-01T00:00:00.000","2024-01-31T00:00:00.000","2022-02-01T00:00:00.000",
"Commission on Aging","M-3","Mayoral Appointment","Mayor","Elizabeth","Thompson","2021-02-01T00:00:00.000","2023-01-31T00:00:00.000","2021-09-01T00:00:00.000",
"Commission on Aging","M-4","Mayoral Appointment","Mayor","Sandra","McGow","2022-02-01T00:00:00.000","2024-01-31T00:00:00.000","2022-02-01T00:00:00.000",
"Commission on Aging","M-5","Mayoral Appointment","Mayor","Linda","Hall","2022-02-01T00:00:00.000","2024-01-31T00:00:00.000","2022-02-01T00:00:00.000",
"Commission on Hispanic and Latino Affairs","C-1","Council Appointment","Common Council","Dairo","Baez","2022-02-01T00:00:00.000","2024-01-31T00:00:00.000","2022-02-01T00:00:00.000",
"Commission on Hispanic and Latino Affairs","C-2","Council Appointment","Common Council","Amy","Oakley","2021-02-01T00:00:00.000","2023-01-31T00:00:00.000","2021-02-01T00:00:00.000",
"Commission on Hispanic and Latino Affairs","C-3","Council Appointment","Common Council","Nico","Sigler","2021-02-01T00:00:00.000","2023-01-31T00:00:00.000","2021-02-01T00:00:00.000",
"Commission on Hispanic and Latino Affairs","C-4","Advisory Seat","Common Council",,,,,,
"Commission on Hispanic and Latino Affairs","C-5","Advisory Seat","Common Council",,,,,,
"Commission on Hispanic and Latino Affairs","M-1","Mayoral Appointment","Mayor","Ruben","Marte","2022-02-01T00:00:00.000","2024-01-31T00:00:00.000","2022-02-01T00:00:00.000",
"Commission on Hispanic and Latino Affairs","M-2","Mayoral Appointment","Mayor","Pedro","Ramirez","2022-02-01T00:00:00.000","2024-01-31T00:00:00.000","2022-03-31T00:00:00.000",
"Commission on Hispanic and Latino Affairs","M-3","Mayoral Appointment","Mayor","Luis","Fuentes-Rowher","2021-02-01T00:00:00.000","2023-01-31T00:00:00.000","2022-05-19T00:00:00.000",
"Commission on Hispanic and Latino Affairs","M-4","Mayoral Appointment","Mayor","Francisco","Ruiz Lemus","2021-02-01T00:00:00.000","2023-01-31T00:00:00.000","2022-01-28T00:00:00.000",
"Commission on Sustainability","C-1","Council Appointment","Common Council","Kristina","Anderson","2021-02-01T00:00:00.000","2023-01-31T00:00:00.000","2021-02-17T00:00:00.000",
"Commission on Sustainability","C-2","Council Appointment","Common Council","Joseph","Wynia","2021-02-01T00:00:00.000","2023-01-31T00:00:00.000","2021-02-17T00:00:00.000",
"Commission on Sustainability","C-3","Council Appointment","Common Council","Matt","Austin","2022-02-01T00:00:00.000","2024-01-31T00:00:00.000","2022-02-17T00:00:00.000",
"Commission on Sustainability","C-4","Council Appointment","Common Council","Shawn","Miya","2022-02-01T00:00:00.000","2024-01-31T00:00:00.000","2022-04-14T00:00:00.000",
"Commission on Sustainability","C-5","Council Appointment","Common Council","Sarah","Congress","2022-02-01T00:00:00.000","2024-01-31T00:00:00.000","2022-02-16T00:00:00.000",
"Commission on Sustainability","C-ex officio","Council Ex-Officio","Council Ex-Officio","Matt","Flaherty",,,"2021-01-11T00:00:00.000",
"Commission on Sustainability","IU Sustainabilit","IU Sustainability","IU Office of Sustainability",,,,,,
"Commission on Sustainability","M-1","Mayoral Appointment","Mayor","Nejla","Routsong","2022-02-01T00:00:00.000","2024-01-31T00:00:00.000","2022-02-01T00:00:00.000",
"Commission on Sustainability","M-2","Mayoral Appointment","Mayor","Emma","Ferguson","2022-02-01T00:00:00.000","2024-01-31T00:00:00.000","2022-02-01T00:00:00.000",
"Commission on Sustainability","M-3","Mayoral Appointment","Mayor","Elisha","Hardy","2021-02-01T00:00:00.000","2023-01-31T00:00:00.000","2021-02-12T00:00:00.000",
"Commission on Sustainability","M-4","Mayoral Appointment","Mayor","KateLyn","Edwards","2021-02-01T00:00:00.000","2023-01-31T00:00:00.000","2022-07-19T00:00:00.000",
"Commission on Sustainability","M-5","Mayoral Appointment","Mayor","Aanya","Jain","2022-02-01T00:00:00.000","2024-01-31T00:00:00.000","2022-07-19T00:00:00.000",
"Commission on Sustainability","M-6","Mayoral Appointment","Mayor","David","Maenner","2021-02-01T00:00:00.000","2023-01-31T00:00:00.000","2022-01-10T00:00:00.000",
"Commission on Sustainability","MCC","Monroe County Commissioners Appointment","Monroe County Commissioners","Nolan","Hendon",,,"2020-10-15T00:00:00.000",
"Commission on the Status of Black Males","BHRC","Human Rights Commission Appointment","Human Rights Commission","Sylvester","Scere","2022-02-01T00:00:00.000","2024-01-31T00:00:00.000","2022-02-01T00:00:00.000",
"Commission on the Status of Black Males","C-1","Council Appointment","Common Council","Valence","Hayze","2021-02-01T00:00:00.000","2023-01-31T00:00:00.000","2021-03-04T00:00:00.000",
"Commission on the Status of Black Males","C-2","Council Appointment","Common Council",,,,,,
"Commission on the Status of Black Males","M-1","Mayoral Appointment","Mayor",,,,,,
"Commission on the Status of Black Males","M-2","Mayoral Appointment","Mayor","James","Simon","2022-02-01T00:00:00.000","2024-01-31T00:00:00.000","2022-02-01T00:00:00.000",
"Commission on the Status of Black Males","M-3","Mayoral Appointment","Mayor",,,,,,
"Commission on the Status of Black Males","MLK","MLK Appointment","MLK Birthday Commission","James","Sanders","2021-02-01T00:00:00.000","2023-01-31T00:00:00.000","2021-02-01T00:00:00.000",
"Commission on the Status of Children & Youth","C-1","Common Council","Common Council","Emily","Alford","2022-02-01T00:00:00.000","2024-01-31T00:00:00.000","2022-04-06T00:00:00.000",
"Commission on the Status of Children & Youth","C-2","Common Council","Common Council","Katie","Rodriguez","2022-02-01T00:00:00.000","2024-01-31T00:00:00.000","2022-02-01T00:00:00.000",
"Commission on the Status of Children & Youth","C-3","Common Council","Common Council","Mecca","Burris","2021-02-01T00:00:00.000","2023-01-31T00:00:00.000","2021-03-04T00:00:00.000",
"Commission on the Status of Children & Youth","C-4","Common Council","Common Council","Tatiana","Peters","2021-02-01T00:00:00.000","2023-01-31T00:00:00.000","2022-04-06T00:00:00.000",
"Commission on the Status of Children & Youth","M-1","Mayor","Mayor","Isadore","Torry","2021-02-01T00:00:00.000","2023-01-31T00:00:00.000","2021-02-01T00:00:00.000",
"Commission on the Status of Children & Youth","M-2","Mayor","Mayor",,,,,,
"Commission on the Status of Children & Youth","M-3","Mayor","Mayor","Danielle","Willis","2021-02-01T00:00:00.000","2023-01-31T00:00:00.000","2022-02-09T00:00:00.000",
"Commission on the Status of Children & Youth","M-4","Mayor","Mayor",,,,,,
"Commission on the Status of Children & Youth","M-5","Mayor","Mayor","Wesley","Tarr","2022-02-01T00:00:00.000","2024-01-31T00:00:00.000","2022-02-01T00:00:00.000",
"Commission on the Status of Women","C-1","Council Appointment","Common Council","Nana","Amoah-Ramey","2022-02-01T00:00:00.000","2024-01-31T00:00:00.000","2022-02-01T00:00:00.000",
"Commission on the Status of Women","C-2","Council Appointment","Common Council","Shefali","Prabhakar","2022-02-01T00:00:00.000","2024-01-31T00:00:00.000","2022-03-02T00:00:00.000",
"Commission on the Status of Women","C-3","Council Appointment","Common Council","A'ame","Joslin","2022-02-01T00:00:00.000","2024-01-31T00:00:00.000","2022-02-01T00:00:00.000",
"Commission on the Status of Women","C-4","Council Appointment","Common Council","Landry","Culp","2021-02-01T00:00:00.000","2023-01-31T00:00:00.000","2021-02-01T00:00:00.000",
"Commission on the Status of Women","M-1","Mayoral Appointment","Mayor",,,,,,
"Commission on the Status of Women","M-2","Mayoral Appointment","Mayor","Shruti","Rana","2021-02-01T00:00:00.000","2023-01-31T00:00:00.000","2021-02-01T00:00:00.000",
"Commission on the Status of Women","M-3","Mayoral Appointment","Mayor","Debby","Herbenick","2022-02-01T00:00:00.000","2024-01-31T00:00:00.000","2022-02-01T00:00:00.000",
"Commission on the Status of Women","M-4","Mayoral Appointment","Mayor","Ashley","Hazelrig","2022-02-01T00:00:00.000","2024-01-31T00:00:00.000","2022-02-01T00:00:00.000",
"Commission on the Status of Women","M-5","Mayoral Appointment","Mayor","Nicole","Bennett","2022-02-01T00:00:00.000","2024-01-31T00:00:00.000","2022-02-01T00:00:00.000",
"Community Advisory on Public Safety Commission","C-1","Council Appointment","Common Council","Jordyn","Porter-Meche","2022-02-01T00:00:00.000","2024-01-31T00:00:00.000","2022-08-17T00:00:00.000",
"Community Advisory on Public Safety Commission","C-10","Council Appointment","Common Council","Eliza","Carey","2021-02-01T00:00:00.000","2023-01-31T00:00:00.000","2021-10-21T00:00:00.000",
"Community Advisory on Public Safety Commission","C-11","Council Appointment","Common Council","Shelby","Ford","2021-02-01T00:00:00.000","2023-01-31T00:00:00.000","2021-11-04T00:00:00.000",
"Community Advisory on Public Safety Commission","C-2","Council Appointment","Common Council","Jason","Michálek","2022-02-01T00:00:00.000","2024-01-31T00:00:00.000","2022-03-02T00:00:00.000",
"Community Advisory on Public Safety Commission","C-3","Council Appointment","Common Council","Michael","Ross","2022-02-01T00:00:00.000","2024-01-31T00:00:00.000","2022-08-22T00:00:00.000",
"Community Advisory on Public Safety Commission","C-4","Council Appointment","Common Council","John","Shearer","2022-02-01T00:00:00.000","2024-01-31T00:00:00.000","2022-08-22T00:00:00.000",
"Community Advisory on Public Safety Commission","C-5","Council Appointment","Common Council","Nejla","Routsong","2022-02-01T00:00:00.000","2024-01-31T00:00:00.000","2022-02-01T00:00:00.000",
"Community Advisory on Public Safety Commission","C-6","Council Appointment","Common Council","Kamala","Brown-Sparks","2021-02-01T00:00:00.000","2023-01-31T00:00:00.000","2021-04-07T00:00:00.000",
"Community Advisory on Public Safety Commission","C-7","Council Appointment","Common Council",,,,,,
"Community Advisory on Public Safety Commission","C-8","Council Appointment","Common Council","Alexander","Mann","2021-02-01T00:00:00.000","2023-01-31T00:00:00.000","2021-04-07T00:00:00.000",
"Community Advisory on Public Safety Commission","C-9","Council Appointment","Common Council","Renee","Miller","2021-02-01T00:00:00.000","2023-01-31T00:00:00.000","2021-04-07T00:00:00.000",
"Dispatch Policy Board","M-1","Mayor Appointee","Mayor","Ryan","Pedigo","2020-01-01T00:00:00.000","2022-12-31T00:00:00.000","2021-11-17T00:00:00.000","2022-12-31T00:00:00.000"
"Dispatch Policy Board","M-2","Mayor Appointee","Mayor","Jayme","Washel","2020-01-01T00:00:00.000","2022-12-31T00:00:00.000","2020-01-01T00:00:00.000",
"Dispatch Policy Board","M-3","IU Law Enforcement","Mayor","Shannon","Bunger","2020-01-01T00:00:00.000","2022-12-31T00:00:00.000","2020-01-01T00:00:00.000",
"Dispatch Policy Board","MCC-1","Monroe County Fire Chief","Monroe County Commissioners","Dustin","Dillard","2020-01-01T00:00:00.000","2022-12-31T00:00:00.000","2020-01-15T00:00:00.000",
"Dispatch Policy Board","MCC-2","Monroe County Appointee","Monroe County Commissioners","Russell","Brummett","2020-01-01T00:00:00.000","2022-12-31T00:00:00.000","2020-01-01T00:00:00.000",
"Dr. Martin Luther King Jr. Birthday Commission","C-1","Council Appointment","Common Council",,,,,,
"Dr. Martin Luther King Jr. Birthday Commission","C-2","Council Appointment","Common Council","James","Sanders","2022-02-01T00:00:00.000","2024-01-31T00:00:00.000","2022-02-01T00:00:00.000",
