"provincial_park_name","period","year","month","sites_sold","sites_available"
"Cedar Dunes Provincial Park","2006-08","2006","8","1144","1829"
"Green Park Provincial Park","2006-08","2006","8","579","1798"
"Jacques Cartier Provincial Park","2006-08","2006","8","976","1860"
"Linkletter Provincial Park","2006-08","2006","8","1428","2604"
"Lord Selkirk Provincial Park","2006-08","2006","8","667","2449"
"Mill River Provincial Park","2006-08","2006","8","1169","2232"
"Northumberland Provincial Park","2006-08","2006","8","784","1860"
"Panmure Island Provincial Park","2006-08","2006","8","652","1333"
"Red Point Provincial Park","2006-08","2006","8","2272","3069"
"Brudenell River Provincial Park","2006-09","2006","9","644","2850"
"Cabot Beach Provincial Park","2006-09","2006","9","292","3749"
"Cedar Dunes Provincial Park","2006-09","2006","9","124","531"
"Green Park Provincial Park","2006-09","2006","9","49","232"
"Jacques Cartier Provincial Park","2006-09","2006","9","159","1380"
"Linkletter Provincial Park","2006-09","2006","9","341","1932"
"Lord Selkirk Provincial Park","2006-09","2006","9","133","1264"
"Mill River Provincial Park","2006-09","2006","9","463","2160"
"Northumberland Provincial Park","2006-09","2006","9","271","1380"
"Panmure Island Provincial Park","2006-09","2006","9","70","688"
"Red Point Provincial Park","2006-09","2006","9","265","1584"
"Brudenell River Provincial Park","2006-10","2006","10","31","665"
"Brudenell River Provincial Park","2007-05","2007","5","78","1330"
"Mill River Provincial Park","2007-05","2007","5","21","1008"
"Brudenell River Provincial Park","2007-06","2007","6","503","2850"
"Cabot Beach Provincial Park","2007-06","2007","6","356","4890"
"Cedar Dunes Provincial Park","2007-06","2007","6","205","944"
"Green Park Provincial Park","2007-06","2007","6","86","928"
"Jacques Cartier Provincial Park","2007-06","2007","6","238","960"
"Linkletter Provincial Park","2007-06","2007","6","331","2520"
"Lord Selkirk Provincial Park","2007-06","2007","6","242","1817"
"Mill River Provincial Park","2007-06","2007","6","572","2160"
"Northumberland Provincial Park","2007-06","2007","6","239","1800"
"Panmure Island Provincial Park","2007-06","2007","6","70","989"
"Red Point Provincial Park","2007-06","2007","6","409","2970"
"Brudenell River Provincial Park","2007-07","2007","7","1736","2945"
"Cabot Beach Provincial Park","2007-07","2007","7","2346","5053"
"Cedar Dunes Provincial Park","2007-07","2007","7","1337","1829"
"Green Park Provincial Park","2007-07","2007","7","437","1798"
"Jacques Cartier Provincial Park","2007-07","2007","7","1261","1860"
"Linkletter Provincial Park","2007-07","2007","7","1452","2604"
"Lord Selkirk Provincial Park","2007-07","2007","7","694","2449"
"Mill River Provincial Park","2007-07","2007","7","1405","2232"
"Northumberland Provincial Park","2007-07","2007","7","874","1860"
"Panmure Island Provincial Park","2007-07","2007","7","582","1333"
"Red Point Provincial Park","2007-07","2007","7","2637","3069"
"Brudenell River Provincial Park","2007-08","2007","8","1732","2945"
"Cabot Beach Provincial Park","2007-08","2007","8","2462","5053"
"Cedar Dunes Provincial Park","2007-08","2007","8","1218","1829"
"Green Park Provincial Park","2007-08","2007","8","593","1740"
"Jacques Cartier Provincial Park","2007-08","2007","8","1041","1860"
"Linkletter Provincial Park","2007-08","2007","8","1396","2604"
"Lord Selkirk Provincial Park","2007-08","2007","8","738","2449"
"Mill River Provincial Park","2007-08","2007","8","1336","2232"
"Northumberland Provincial Park","2007-08","2007","8","901","1860"
"Panmure Island Provincial Park","2007-08","2007","8","761","1333"
"Red Point Provincial Park","2007-08","2007","8","2198","3069"
"Brudenell River Provincial Park","2007-09","2007","9","760","2850"
"Cabot Beach Provincial Park","2007-09","2007","9","273","3586"
"Cedar Dunes Provincial Park","2007-09","2007","9","97","472"
"Green Park Provincial Park","2007-09","2007","9","36","232"
"Jacques Cartier Provincial Park","2007-09","2007","9","195","1320"
"Linkletter Provincial Park","2007-09","2007","9","316","1848"
"Lord Selkirk Provincial Park","2007-09","2007","9","94","1185"
"Mill River Provincial Park","2007-09","2007","9","676","2088"
"Northumberland Provincial Park","2007-09","2007","9","250","1260"
"Panmure Island Provincial Park","2007-09","2007","9","70","645"
"Red Point Provincial Park","2007-09","2007","9","175","1485"
"Brudenell River Provincial Park","2007-10","2007","10","67","570"
"Mill River Provincial Park","2007-10","2007","10","0","0"
"Brudenell River Provincial Park","2008-05","2008","5","138","1520"
"Mill River Provincial Park","2008-05","2008","5","48","1152"
"Brudenell River Provincial Park","2008-06","2008","6","599","2850"
"Cabot Beach Provincial Park","2008-06","2008","6","264","4075"
"Cedar Dunes Provincial Park","2008-06","2008","6","186","1062"
"Green Park Provincial Park","2008-06","2008","6","59","1044"
"Jacques Cartier Provincial Park","2008-06","2008","6","253","1080"
"Linkletter Provincial Park","2008-06","2008","6","288","2325"
"Lord Selkirk Provincial Park","2008-06","2008","6","200","1975"
"Mill River Provincial Park","2008-06","2008","6","549","2160"
"Northumberland Provincial Park","2008-06","2008","6","206","2010"
"Panmure Island Provincial Park","2008-06","2008","6","78","1075"
"Red Point Provincial Park","2008-06","2008","6","329","2475"
"Brudenell River Provincial Park","2008-07","2008","7","1490","2945"
"Cabot Beach Provincial Park","2008-07","2008","7","1970","5053"
"Cedar Dunes Provincial Park","2008-07","2008","7","1205","1829"
"Green Park Provincial Park","2008-07","2008","7","359","1798"
"Jacques Cartier Provincial Park","2008-07","2008","7","1327","1860"
"Linkletter Provincial Park","2008-07","2008","7","1464","2883"
"Lord Selkirk Provincial Park","2008-07","2008","7","623","2449"
"Mill River Provincial Park","2008-07","2008","7","1336","2232"
"Northumberland Provincial Park","2008-07","2008","7","732","2077"
"Panmure Island Provincial Park","2008-07","2008","7","573","1333"
"Red Point Provincial Park","2008-07","2008","7","2293","3069"
"Brudenell River Provincial Park","2008-08","2008","8","1597","2945"
"Cabot Beach Provincial Park","2008-08","2008","8","1649","5270"
"Cedar Dunes Provincial Park","2008-08","2008","8","1179","1829"
"Green Park Provincial Park","2008-08","2008","8","383","1798"
"Jacques Cartier Provincial Park","2008-08","2008","8","796","2294"
"Linkletter Provincial Park","2008-08","2008","8","1175","2883"
"Lord Selkirk Provincial Park","2008-08","2008","8","583","2449"
"Mill River Provincial Park","2008-08","2008","8","1200","2232"
"Northumberland Provincial Park","2008-08","2008","8","850","2077"
"Panmure Island Provincial Park","2008-08","2008","8","622","1333"
"Red Point Provincial Park","2008-08","2008","8","2000","3069"
"Brudenell River Provincial Park","2008-09","2008","9","708","2850"
"Cabot Beach Provincial Park","2008-09","2008","9","133","5100"
"Cedar Dunes Provincial Park","2008-09","2008","9","68","1770"
"Green Park Provincial Park","2008-09","2008","9","9","1740"
"Jacques Cartier Provincial Park","2008-09","2008","9","87","2220"
"Linkletter Provincial Park","2008-09","2008","9","212","2790"
"Lord Selkirk Provincial Park","2008-09","2008","9","60","2370"
"Mill River Provincial Park","2008-09","2008","9","186","2160"
"Northumberland Provincial Park","2008-09","2008","9","124","2010"
"Panmure Island Provincial Park","2008-09","2008","9","38","1290"
"Red Point Provincial Park","2008-09","2008","9","110","2970"
"Brudenell River Provincial Park","2009-05","2009","5","152","2090"
"Linkletter Provincial Park","2009-05","2009","5","2","84"
"Mill River Provincial Park","2009-05","2009","5","35","1152"
"Northumberland Provincial Park","2009-05","2009","5","8","159"
"Brudenell River Provincial Park","2009-06","2009","6","491","2850"
"Cabot Beach Provincial Park","2009-06","2009","6","301","5100"
"Cedar Dunes Provincial Park","2009-06","2009","6","303","1800"
"Green Park Provincial Park","2009-06","2009","6","59","1740"
"Jacques Cartier Provincial Park","2009-06","2009","6","263","1710"
"Linkletter Provincial Park","2009-06","2009","6","403","2520"
"Lord Selkirk Provincial Park","2009-06","2009","6","208","2370"
"Mill River Provincial Park","2009-06","2009","6","564","2160"
"Northumberland Provincial Park","2009-06","2009","6","160","1590"
"Panmure Island Provincial Park","2009-06","2009","6","70","1290"
"Red Point Provincial Park","2009-06","2009","6","279","2970"
"Brudenell River Provincial Park","2009-07","2009","7","1595","2945"
"Cabot Beach Provincial Park","2009-07","2009","7","2053","5270"
"Cedar Dunes Provincial Park","2009-07","2009","7","1344","1860"
"Green Park Provincial Park","2009-07","2009","7","276","2170"
"Jacques Cartier Provincial Park","2009-07","2009","7","1109","1767"
"Linkletter Provincial Park","2009-07","2009","7","1509","2604"
"Lord Selkirk Provincial Park","2009-07","2009","7","681","2449"
"Mill River Provincial Park","2009-07","2009","7","1355","2232"
"Northumberland Provincial Park","2009-07","2009","7","1001","1643"
"Panmure Island Provincial Park","2009-07","2009","7","661","1333"
"Red Point Provincial Park","2009-07","2009","7","2262","3069"
"Brudenell River Provincial Park","2009-08","2009","8","1770","2945"
"Cabot Beach Provincial Park","2009-08","2009","8","2097","5270"
"Cedar Dunes Provincial Park","2009-08","2009","8","1239","1860"
"Green Park Provincial Park","2009-08","2009","8","361","2170"
"Jacques Cartier Provincial Park","2009-08","2009","8","760","1767"
"Linkletter Provincial Park","2009-08","2009","8","1628","2604"
"Lord Selkirk Provincial Park","2009-08","2009","8","671","2449"
"Mill River Provincial Park","2009-08","2009","8","1211","2232"
"Northumberland Provincial Park","2009-08","2009","8","779","1643"
"Panmure Island Provincial Park","2009-08","2009","8","716","1333"
"Red Point Provincial Park","2009-08","2009","8","2370","3627"
"Brudenell River Provincial Park","2009-09","2009","9","639","2850"
"Cabot Beach Provincial Park","2009-09","2009","9","243","3230"
"Cedar Dunes Provincial Park","2009-09","2009","9","262","1140"
"Green Park Provincial Park","2009-09","2009","9","39","350"
"Jacques Cartier Provincial Park","2009-09","2009","9","114","1083"
"Linkletter Provincial Park","2009-09","2009","9","269","1596"
"Lord Selkirk Provincial Park","2009-09","2009","9","41","948"
"Mill River Provincial Park","2009-09","2009","9","288","1872"
"Northumberland Provincial Park","2009-09","2009","9","210","1007"
"Panmure Island Provincial Park","2009-09","2009","9","70","516"
"Red Point Provincial Park","2009-09","2009","9","232","2223"
"Brudenell River Provincial Park","2009-10","2009","10","14","285"
"Brudenell River Provincial Park","2010-05","2010","5","146","1710"
"Linkletter Provincial Park","2010-05","2010","5","15","372"
"Mill River Provincial Park","2010-05","2010","5","53","1296"
"Northumberland Provincial Park","2010-05","2010","5","16","212"
"Brudenell River Provincial Park","2010-06","2010","6","571","2850"
"Cabot Beach Provincial Park","2010-06","2010","6","289","4590"
"Cedar Dunes Provincial Park","2010-06","2010","6","261","1200"
"Green Park Provincial Park","2010-06","2010","6","42","1400"
"Jacques Cartier Provincial Park","2010-06","2010","6","169","1540"
"Linkletter Provincial Park","2010-06","2010","6","416","2790"
"Lord Selkirk Provincial Park","2010-06","2010","6","185","2133"
"Mill River Provincial Park","2010-06","2010","6","537","2160"
"Northumberland Provincial Park","2010-06","2010","6","197","1590"
"Panmure Island Provincial Park","2010-06","2010","6","89","1161"
"Red Point Provincial Park","2010-06","2010","6","282","3483"
"Brudenell River Provincial Park","2010-07","2010","7","1787","2945"
"Cabot Beach Provincial Park","2010-07","2010","7","2447","5270"
"Cedar Dunes Provincial Park","2010-07","2010","7","1534","1860"
"Green Park Provincial Park","2010-07","2010","7","356","2170"
"Jacques Cartier Provincial Park","2010-07","2010","7","1486","2387"
"Linkletter Provincial Park","2010-07","2010","7","1814","2883"
"Lord Selkirk Provincial Park","2010-07","2010","7","818","2449"
"Mill River Provincial Park","2010-07","2010","7","1407","2232"
"Northumberland Provincial Park","2010-07","2010","7","928","1643"
"Panmure Island Provincial Park","2010-07","2010","7","727","1333"
"Red Point Provincial Park","2010-07","2010","7","2590","3999"
"Brudenell River Provincial Park","2010-08","2010","8","1890","2945"
"Cabot Beach Provincial Park","2010-08","2010","8","2423","5270"
"Cedar Dunes Provincial Park","2010-08","2010","8","1380","1860"
"Green Park Provincial Park","2010-08","2010","8","467","2170"
"Jacques Cartier Provincial Park","2010-08","2010","8","1094","2387"
"Linkletter Provincial Park","2010-08","2010","8","1722","2883"
"Lord Selkirk Provincial Park","2010-08","2010","8","699","2449"
"Mill River Provincial Park","2010-08","2010","8","1111","2232"
"Northumberland Provincial Park","2010-08","2010","8","978","1643"
"Panmure Island Provincial Park","2010-08","2010","8","939","1333"
"Red Point Provincial Park","2010-08","2010","8","2718","3999"
"Brudenell River Provincial Park","2010-09","2010","9","524","2850"
"Cabot Beach Provincial Park","2010-09","2010","9","175","5100"
"Cedar Dunes Provincial Park","2010-09","2010","9","192","1800"
"Green Park Provincial Park","2010-09","2010","9","30","2100"
"Jacques Cartier Provincial Park","2010-09","2010","9","118","2310"
"Linkletter Provincial Park","2010-09","2010","9","266","2790"
"Lord Selkirk Provincial Park","2010-09","2010","9","51","2370"
"Mill River Provincial Park","2010-09","2010","9","238","2160"
"Northumberland Provincial Park","2010-09","2010","9","169","1590"
"Panmure Island Provincial Park","2010-09","2010","9","48","1290"
"Red Point Provincial Park","2010-09","2010","9","172","3870"
"Brudenell River Provincial Park","2010-10","2010","10","16","190"
"Brudenell River Provincial Park","2011-05","2011","5","144","1805"
"Linkletter Provincial Park","2011-05","2011","5","16","465"
"Mill River Provincial Park","2011-05","2011","5","20","864"
"Northumberland Provincial Park","2011-05","2011","5","19","265"
"Brudenell River Provincial Park","2011-06","2011","6","482","2850"
"Cabot Beach Provincial Park","2011-06","2011","6","278","4760"
"Cedar Dunes Provincial Park","2011-06","2011","6","176","1449"
"Green Park Provincial Park","2011-06","2011","6","33","1470"
"Jacques Cartier Provincial Park","2011-06","2011","6","226","1617"
"Linkletter Provincial Park","2011-06","2011","6","324","2790"
"Lord Selkirk Provincial Park","2011-06","2011","6","160","2212"
"Mill River Provincial Park","2011-06","2011","6","418","2160"
"Northumberland Provincial Park","2011-06","2011","6","171","1590"
"Panmure Island Provincial Park","2011-06","2011","6","30","1204"
"Red Point Provincial Park","2011-06","2011","6","243","3108"
"Brudenell River Provincial Park","2011-07","2011","7","1706","2945"
"Cabot Beach Provincial Park","2011-07","2011","7","1913","5270"
"Cedar Dunes Provincial Park","2011-07","2011","7","1577","2139"
"Green Park Provincial Park","2011-07","2011","7","244","2170"
"Jacques Cartier Provincial Park","2011-07","2011","7","1301","2387"
"Linkletter Provincial Park","2011-07","2011","7","1578","2883"
"Lord Selkirk Provincial Park","2011-07","2011","7","597","2449"
"Mill River Provincial Park","2011-07","2011","7","1250","2232"
"Northumberland Provincial Park","2011-07","2011","7","835","1643"
"Panmure Island Provincial Park","2011-07","2011","7","552","1333"
"Red Point Provincial Park","2011-07","2011","7","2201","3441"
"Brudenell River Provincial Park","2011-08","2011","8","1655","2945"
"Cabot Beach Provincial Park","2011-08","2011","8","1565","5270"
"Cedar Dunes Provincial Park","2011-08","2011","8","1443","2139"
"Green Park Provincial Park","2011-08","2011","8","225","2170"
"Jacques Cartier Provincial Park","2011-08","2011","8","939","2387"
"Linkletter Provincial Park","2011-08","2011","8","1342","2883"
"Lord Selkirk Provincial Park","2011-08","2011","8","670","2449"
"Mill River Provincial Park","2011-08","2011","8","850","2232"
"Northumberland Provincial Park","2011-08","2011","8","868","1643"
"Panmure Island Provincial Park","2011-08","2011","8","755","1333"
"Red Point Provincial Park","2011-08","2011","8","2431","3441"
"Brudenell River Provincial Park","2011-09","2011","9","701","2850"
"Cabot Beach Provincial Park","2011-09","2011","9","152","4080"
"Cedar Dunes Provincial Park","2011-09","2011","9","230","1104"
"Green Park Provincial Park","2011-09","2011","9","43","280"
"Jacques Cartier Provincial Park","2011-09","2011","9","145","1309"
"Linkletter Provincial Park","2011-09","2011","9","314","1581"
"Lord Selkirk Provincial Park","2011-09","2011","9","90","790"
"Mill River Provincial Park","2011-09","2011","9","348","2160"
"Northumberland Provincial Park","2011-09","2011","9","242","954"
"Panmure Island Provincial Park","2011-09","2011","9","74","430"
"Red Point Provincial Park","2011-09","2011","9","314","1776"
"Brudenell River Provincial Park","2011-10","2011","10","0","95"
"Mill River Provincial Park","2011-10","2011","10","0","72"
"Brudenell River Provincial Park","2012-05","2012","5","205","1995"
"Linkletter Provincial Park","2012-05","2012","5","26","651"
"Mill River Provincial Park","2012-05","2012","5","45","1008"
"Brudenell River Provincial Park","2012-06","2012","6","565","2850"
"Cabot Beach Provincial Park","2012-06","2012","6","310","3933"
"Cedar Dunes Provincial Park","2012-06","2012","6","263","1587"
"Jacques Cartier Provincial Park","2012-06","2012","6","192","1725"
"Linkletter Provincial Park","2012-06","2012","6","452","2790"
"Lord Selkirk Provincial Park","2012-06","2012","6","147","2250"
"Mill River Provincial Park","2012-06","2012","6","324","2160"
"Northumberland Provincial Park","2012-06","2012","6","191","1590"
"Panmure Island Provincial Park","2012-06","2012","6","81","1290"
"Red Point Provincial Park","2012-06","2012","6","319","3330"
"Brudenell River Provincial Park","2012-07","2012","7","1705","2945"
"Cabot Beach Provincial Park","2012-07","2012","7","2148","5301"
"Cedar Dunes Provincial Park","2012-07","2012","7","1636","2139"
"Jacques Cartier Provincial Park","2012-07","2012","7","1208","2325"
"Linkletter Provincial Park","2012-07","2012","7","1600","2883"
"Lord Selkirk Provincial Park","2012-07","2012","7","619","2325"
"Mill River Provincial Park","2012-07","2012","7","1046","2232"
"Northumberland Provincial Park","2012-07","2012","7","903","1643"
"Panmure Island Provincial Park","2012-07","2012","7","600","1333"
"Red Point Provincial Park","2012-07","2012","7","2278","3441"
"Brudenell River Provincial Park","2012-08","2012","8","1768","2945"
"Cabot Beach Provincial Park","2012-08","2012","8","2202","5301"
"Cedar Dunes Provincial Park","2012-08","2012","8","1508","2139"
"Jacques Cartier Provincial Park","2012-08","2012","8","1090","2325"
"Linkletter Provincial Park","2012-08","2012","8","1655","2883"
"Lord Selkirk Provincial Park","2012-08","2012","8","823","2325"
"Mill River Provincial Park","2012-08","2012","8","890","2232"
"Northumberland Provincial Park","2012-08","2012","8","1126","1643"
"Panmure Island Provincial Park","2012-08","2012","8","754","1333"
"Red Point Provincial Park","2012-08","2012","8","2485","3441"
"Brudenell River Provincial Park","2012-09","2012","9","527","2850"
"Cabot Beach Provincial Park","2012-09","2012","9","168","2736"
"Cedar Dunes Provincial Park","2012-09","2012","9","161","1104"
"Jacques Cartier Provincial Park","2012-09","2012","9","120","1200"
"Linkletter Provincial Park","2012-09","2012","9","270","1488"
"Lord Selkirk Provincial Park","2012-09","2012","9","64","600"
"Mill River Provincial Park","2012-09","2012","9","269","2160"
"Northumberland Provincial Park","2012-09","2012","9","244","1219"
"Panmure Island Provincial Park","2012-09","2012","9","69","387"
"Red Point Provincial Park","2012-09","2012","9","231","1776"
"Brudenell River Provincial Park","2013-05","2013","5","122","1425"
"Cabot Beach Provincial Park","2013-05","2013","5","0","171"
"Linkletter Provincial Park","2013-05","2013","5","9","93"
"Mill River Provincial Park","2013-05","2013","5","44","1080"
"Red Point Provincial Park","2013-05","2013","5","4","111"
"Brudenell River Provincial Park","2013-06","2013","6","507","2850"
"Cabot Beach Provincial Park","2013-06","2013","6","426","5130"
"Cedar Dunes Provincial Park","2013-06","2013","6","243","1656"
"Jacques Cartier Provincial Park","2013-06","2013","6","214","1800"
"Linkletter Provincial Park","2013-06","2013","6","485","2790"
"Lord Selkirk Provincial Park","2013-06","2013","6","159","1275"
"Mill River Provincial Park","2013-06","2013","6","242","2160"
"Northumberland Provincial Park","2013-06","2013","6","201","1272"
"Panmure Island Provincial Park","2013-06","2013","6","99","1032"
"Red Point Provincial Park","2013-06","2013","6","305","3330"
"Brudenell River Provincial Park","2013-07","2013","7","1661","2945"
"Cabot Beach Provincial Park","2013-07","2013","7","1925","5301"
"Cedar Dunes Provincial Park","2013-07","2013","7","1539","2139"
"Jacques Cartier Provincial Park","2013-07","2013","7","1214","2325"
"Linkletter Provincial Park","2013-07","2013","7","1699","2883"
"Lord Selkirk Provincial Park","2013-07","2013","7","536","2325"
"Mill River Provincial Park","2013-07","2013","7","925","2232"
"Northumberland Provincial Park","2013-07","2013","7","881","1643"
"Panmure Island Provincial Park","2013-07","2013","7","576","1333"
"Red Point Provincial Park","2013-07","2013","7","2415","3441"
"Brudenell River Provincial Park","2013-08","2013","8","1777","2945"
"Cabot Beach Provincial Park","2013-08","2013","8","2189","5301"
"Cedar Dunes Provincial Park","2013-08","2013","8","1486","2139"
"Jacques Cartier Provincial Park","2013-08","2013","8","1228","2325"
"Linkletter Provincial Park","2013-08","2013","8","1603","2883"
"Lord Selkirk Provincial Park","2013-08","2013","8","745","2325"
"Mill River Provincial Park","2013-08","2013","8","1064","2232"
"Northumberland Provincial Park","2013-08","2013","8","983","1643"
"Panmure Island Provincial Park","2013-08","2013","8","736","1333"
"Red Point Provincial Park","2013-08","2013","8","2647","3441"
"Brudenell River Provincial Park","2013-09","2013","9","509","2755"
"Cabot Beach Provincial Park","2013-09","2013","9","144","2565"
"Cedar Dunes Provincial Park","2013-09","2013","9","142","1035"
"Jacques Cartier Provincial Park","2013-09","2013","9","59","1125"
"Linkletter Provincial Park","2013-09","2013","9","335","2046"
"Lord Selkirk Provincial Park","2013-09","2013","9","111","1650"
"Mill River Provincial Park","2013-09","2013","9","289","2088"
"Northumberland Provincial Park","2013-09","2013","9","205","1166"
"Panmure Island Provincial Park","2013-09","2013","9","70","645"
"Red Point Provincial Park","2013-09","2013","9","194","1665"
"Brudenell River Provincial Park","2014-05","2014","5","126","1520"
"Cabot Beach Provincial Park","2014-05","2014","5","11","342"
"Mill River Provincial Park","2014-05","2014","5","26","1152"
"Brudenell River Provincial Park","2014-06","2014","6","562","2850"
"Cabot Beach Provincial Park","2014-06","2014","6","402","5130"
"Cedar Dunes Provincial Park","2014-06","2014","6","200","1242"
"Jacques Cartier Provincial Park","2014-06","2014","6","191","1350"
"Linkletter Provincial Park","2014-06","2014","6","543","2325"
"Mill River Provincial Park","2014-06","2014","6","313","2160"
"Northumberland Provincial Park","2014-06","2014","6","237","1325"
"Panmure Island Provincial Park","2014-06","2014","6","84","1075"
"Red Point Provincial Park","2014-06","2014","6","376","2775"
"Brudenell River Provincial Park","2014-07","2014","7","1577","2945"
"Cabot Beach Provincial Park","2014-07","2014","7","2275","5301"
"Cedar Dunes Provincial Park","2014-07","2014","7","1422","2480"
"Jacques Cartier Provincial Park","2014-07","2014","7","1129","2325"
"Linkletter Provincial Park","2014-07","2014","7","1648","2883"
"Mill River Provincial Park","2014-07","2014","7","808","2232"
"Northumberland Provincial Park","2014-07","2014","7","870","1643"
"Panmure Island Provincial Park","2014-07","2014","7","577","1333"
"Red Point Provincial Park","2014-07","2014","7","2409","3441"
"Brudenell River Provincial Park","2014-08","2014","8","1797","2945"
"Cabot Beach Provincial Park","2014-08","2014","8","2117","5301"
"Cedar Dunes Provincial Park","2014-08","2014","8","1248","2480"
"Jacques Cartier Provincial Park","2014-08","2014","8","1074","2325"
"Linkletter Provincial Park","2014-08","2014","8","1646","2883"
"Mill River Provincial Park","2014-08","2014","8","913","2232"
"Northumberland Provincial Park","2014-08","2014","8","978","1643"
"Panmure Island Provincial Park","2014-08","2014","8","784","1333"
"Red Point Provincial Park","2014-08","2014","8","2580","3441"
"Brudenell River Provincial Park","2014-09","2014","9","499","2660"
"Cabot Beach Provincial Park","2014-09","2014","9","123","2394"
"Cedar Dunes Provincial Park","2014-09","2014","9","161","1680"
"Jacques Cartier Provincial Park","2014-09","2014","9","84","1575"
"Linkletter Provincial Park","2014-09","2014","9","367","2604"
"Mill River Provincial Park","2014-09","2014","9","186","2016"
"Northumberland Provincial Park","2014-09","2014","9","213","1113"
"Panmure Island Provincial Park","2014-09","2014","9","61","602"
"Red Point Provincial Park","2014-09","2014","9","222","2331"
