"name","provider","address","city","state","zipcode","phone","website","description","primary_care_location","chemical_dependency_outpatient","chemical_dependency_inpatient","mental_health_outpatient","mental_health_inpatient","self_referral","medicaid","medicare","private_insurance","uninsured","adult","youth","mental_health_wraparound","chemical_dependency_wraparound","community_supports","crisis_services","voluntary","geocoded_column"
"Casteele Williams & Associates","Casteele Williams & Associates","711 S 25th Street","Tacoma","WA","98405","253-536-2881","https://www.casteelewilliams.com/","Casteele, Williams & Associates offer comprehensive behavioral care encompassing both mental health and chemical dependency counseling. Holistic, keen to listen and able to understand your immediate experience in the much greater context of your life history, we are determined to meet you at the place you are, with the goal of helping you along the path toward where you ultimately hope to go. There is little our team is not able to address. From the depths of addiction to the trials of raising a family in a way consistent with your higher values, we are well prepared to help you with the skills you need. Most insurnance is accepted and grants and other financial help is available.","false","true","false","false","true","true","true","false","true","true","true","true","false","false","false","false","true","POINT (-122.443618 47.238069)"
"Greater Lakes Mental Healthcare","Greater Lakes Mental Healthcare","1415 East 72nd Street, Suite","Tacoma","WA","98404","253-620-5800","http://www.glmhc.org/","Greater Lakes provides mental health services for adults. We focus on recovery and trauma-informed care as an approach to all aspects of assessment and treatment. Our adult outpatient mental health services include case management, counseling and psychoterapy services, psychiatric evaluation, medication management, and peer support.","false","false","false","true","false","true","true","false","false","true","true","false","false","false","false","false","true","POINT (-122.409134 47.191762)"
"Foundation for Multicultural Solutions (El Camino)","Foundation for Multicultural Solutions (El Camino)","2316 S. State St., Ste B","Tacoma","WA","98405","253-572-3214","http://foundationelcamino.org/","The Foundation for Multicultural Solutions / El Camino is dedicated to provide quality family-centered services promoting recovery from substance use disorders to achieve physical, emotional and spiritual healing through advocacy, education and treatment.","false","true","false","false","false","true","true","false","false","true","true","false","false","false","false","false","true","POINT (-122.465237 47.238869)"
"Tacoma Needle Exchange - Health Department","Dave Purchase Project","3629 S. D Street","Tacoma","WA","98418","253-272-4857","https://www.tacomaneedleexchange.org/","The Tacoma Needle Exchange seeks to stop the spread of bloodborne pathogens such as HIV/HCV among drug users and reduce the harms to individuals and communities associated with drug use by providing new injection supplies to drug users with the understanding that when a person uses a new syringe and injection supplies the minimize the risks of contracting blood borne virus associated with drug use. Health Department Location: 3629 S. D Street from 11a-4p Mon, Wed, Fri","false","true","false","false","false","true","true","true","true","true","true","false","false","false","false","false","true","POINT (-122.435983 47.225158)"
"Sea Mar Tacoma Behavioral Health Center","SeaMar Community Health Centers","1112 S. Cushman","Tacoma","WA","98405","253-280-9805","https://www.seamar.org/pierce-bh-tacoma-cushman.html","Our team of mental health therapists, chemical dependency counselors, psychiatric advanced registered nurse practitioners, and psychiatrists specialize in providing culturally competent services. Our staff receive in-depth training on evidence-based practices to ensure we provide the best tools to help our clients lead healthy lives. Sea Mar accepts most insurances including Medicaid and provides services regardless of a patient’s ability to pay. When insurance is not available, Sea Mar offers a sliding fee scale discount, determined by household size and income.","false","false","false","true","false","true","true","false","true","true","true","false","false","false","false","false","true","POINT (-122.457323 47.250815)"
"Tacoma Needle Exchange","Dave Purchase Project","535 Dock Street #113 (Admin Offices)","Tacoma","WA","98402","253-272-4857","https://www.tacomaneedleexchange.org/","The Tacoma Needle Exchange seeks to stop the spread of bloodborne pathogens such as HIV/HCV among drug users and reduce the harms to individuals and communities associated with drug use by providing new injection supplies to drug users with the understanding that when a person uses a new syringe and injection supplies the minimize the risks of contracting blood borne virus associated with drug use. 3 exchange locations are set up around Tacoma: Central Tacoma 14th St and G Street from 10a-1p Mon, Tue, Thu, Fri; Health Department 3629 S. D Street from 11a-4p Mon, Wed, Fri; Puyallup Tribe E. Portland Ave and E. Wright Ave. 11a-2p every Sat.","false","false","false","false","false","true","true","true","true","true","true","true","true","true","true","false","true","POINT (-122.438152 47.258821)"
"MultiCare South Hill Clinic","MultiCare","16515 Meridian Ave","Puyallup","WA","98375","888-445-8120","https://www.multicare.org/behavioral-health-locations/","With therapists available in 11 primary care locations in Pierce and South King counties, we make it easy for you to get the care you need. General Counseling Services only accepts private health insurance at this time —  such as an employer’s health insurance plan, under your company's employee assistance program or through individual insurance coverage. We are unable to accept Medicaid or Medicare for general counseling services.","true","false","false","true","false","true","false","false","true","true","true","false","false","false","false","false","true","POINT (-122.293344 47.106347)"
"MultiCare West Tacoma Family Medicine","MultiCare","2209 N Pearl St, Suite 100","Tacoma","WA","98407","888-445-8120","https://www.multicare.org/behavioral-health-locations/","With therapists available in 11 primary care locations in Pierce and South King counties, we make it easy for you to get the care you need. General Counseling Services only accepts private health insurance at this time —  such as an employer’s health insurance plan, under your company's employee assistance program or through individual insurance coverage. We are unable to accept Medicaid or Medicare for general counseling services.","true","false","false","true","false","true","false","false","true","true","true","false","false","false","false","false","true","POINT (-122.515791 47.26835)"
"Comprehensive Life Resources (CLR)","Comprehensive Life Resources","1305 Tacoma Ave S, Suite 201","Tacoma","WA","98402","253-396-5800","http://www.comprehensiveliferesources.org","Comprehensive Life Resources has been providing behavioral health services to the Tacoma and Pierce County community for over 50 years. Our adult outpatient services include individual couseling, case management, medication management, peer support and group therapy. At intake we will work to identify your needs and self the right service team to begin work with you on your recovery journey.","false","false","false","true","false","true","true","false","false","true","true","true","false","false","false","false","true","POINT (-122.44366 47.249338)"
"Pioneer Counseling - Fawcett Clinic","Pioneer Human Services","758 St. Helen's Ave","Tacoma","WA","98402","253-274-0487","http://pioneerhumanservices.org/","Pioneer Human Services is a nonprofit social enterprise in Washington state that serves individuals released from prison or jail, and those in recovery, who are in need of treatment, housing, job skills training and employment.","false","true","false","false","false","true","true","false","false","true","true","false","false","false","false","false","true","POINT (-122.440985 47.255443)"
"Properity Wellness Center - Inpatient","Prosperity Wellness Center","5001 112 St. E.","Tacoma","WA","98446","253-531-2103","http://www.prosperitywellnesscenter.com/","Prosperity affirms through progressive treatment processes and patient-directed individualized care to create abstinence, improved health, wellness and quality of life. If you have coverage through the Federal Health Care Plan (which includes SSI, TANF and Apple Health Care (Alternative Benefit Plan), or low income funds, you are a potential customer.","false","false","true","false","false","false","true","false","false","true","true","false","false","false","false","false","true","POINT (-122.361265 47.154444)"
"Sea Mar Puyallup Behavioral Health Center","SeaMar Community Health Centers","12812 101st Ave Court E., Suite 202","Puyallup","WA","98373","253-864-4770","https://www.seamar.org/pierce-bh-gigharbor.html","Our team of mental health therapists, chemical dependency counselors, psychiatric advanced registered nurse practitioners, and psychiatrists specialize in providing culturally competent services. Our staff receive in-depth training on evidence-based practices to ensure we provide the best tools to help our clients lead healthy lives. Sea Mar accepts most insurances including Medicaid and provides services regardless of a patient’s ability to pay. When insurance is not available, Sea Mar offers a sliding fee scale discount, determined by household size and income.","false","true","false","true","false","true","true","true","true","true","true","true","false","false","false","false","true","POINT (-122.294015 47.139813)"
"Recovery Response Center","Recovery Innovations","2150 Freeman Rd E.","Fife","WA","98424","253-942-5644","https://riinternational.com/our-services/washington/recovery-innovations-pierce-county-recovery-response-center/","The Recovery Response Center serves as a crisis alternative for First Responders and emergency rooms in Pierce County.  In support of our mission statement we strive to create opportunities and environments that empower people to recover in a time of crisis.  Our wellness based approach is person centered and driven by the individual’s Hopes and Dreams.   Our 16 bed facility hosts private rooms for individuals in need of support when faced with a mental health and or substance use crisis.   We are proud to support the “no-force-first” modality in our engagement opportunities that range from 23 hours stay up to 14 days.  Our support staff consists of a team of psychiatrists, nurses, mental health professionals, individuals that specialize in resources management and peer support specialists.","false","false","false","true","false","false","true","false","false","true","true","false","false","false","false","true","true","POINT (-122.326011 47.237579)"
"MultiCare Tacoma Family Medicine Clinic","MultiCare","521 MLK Jr. Way","Tacoma","WA","98405","888-445-8120","https://www.multicare.org/behavioral-health-locations/","With therapists available in 11 primary care locations in Pierce and South King counties, we make it easy for you to get the care you need. General Counseling Services only accepts private health insurance at this time —  such as an employer’s health insurance plan, under your company's employee assistance program or through individual insurance coverage. We are unable to accept Medicaid or Medicare for general counseling services.","true","false","false","true","false","true","false","false","true","true","true","false","false","false","false","false","true","POINT (-94.131982 33.667079)"
"MultiCare Behavioral Health","MultiCare","325 East Pioneer Ave","Puyallup","WA","98372","253-445-8120","https://www.muIticare.org/behavioral-health","For over 40 years, MultiCare Behavioral Health has provided in-depth treatment and support services to adults with serious mental illness who are receiving, or would qualify to receive, Medicaid benefits. We work with these clients to coordinate every step of their mental health and medical needs, so that they can: Move forward in their recovery; Achieve a better quality of life; Access local resources to meet their unique needs.","false","true","false","true","false","true","true","false","false","true","true","false","false","false","false","false","true","POINT (-122.289807 47.19047)"
"Tacoma Needle Exchange - Tribe","Dave Purchase Project","E. Portland Ave and E. Wright Ave.","Tacoma","WA","98404","253-272-4857","https://www.tacomaneedleexchange.org/","The Tacoma Needle Exchange seeks to stop the spread of bloodborne pathogens such as HIV/HCV among drug users and reduce the harms to individuals and communities associated with drug use by providing new injection supplies to drug users with the understanding that when a person uses a new syringe and injection supplies the minimize the risks of contracting blood borne virus associated with drug use. Puyallup Tribe Location: E. Portland Ave and E. Wright Ave. 11a-2p every Sat.","false","true","false","false","false","true","true","true","true","true","true","false","false","true","true","false","true","POINT (-122.409291 47.233768)"
"Consejo Counseling & Referral Services","Consejo Counseling & Referral Services","5915 Orchard St. W","Tacoma","WA","98467","253-414-7461","http://consejocounseling.org/","Consejo Counseling and Referral Service provides culturally competent behavioral health services designed to address the diverse needs of adults, children, youth an families in diverse communities to improve the quality of their lives. Adult outpatient services include individual, group and family therapy, in-home behavioral health services, case management, psychiatric evaluations, medication management, and peer support.","false","true","false","true","false","true","true","false","false","true","true","true","false","false","false","false","true","POINT (-122.508086 47.20311)"
"Properity Wellness Center - Outpatient and Admissions","Prosperity Wellness Center","12201 Pacific Ave S.","Tacoma","WA","98444","253-531-2103","http://www.prosperitywellnesscenter.com/","Prosperity affirms through progressive treatment processes and patient-directed individualized care to create abstinence, improved health, wellness and quality of life. If you have coverage through the Federal Health Care Plan (which includes SSI, TANF and Apple Health Care (Alternative Benefit Plan), or low income funds, you are a potential customer.","false","true","false","false","false","true","true","false","false","true","true","false","false","false","false","false","true","POINT (-122.434444 47.145597)"
"Sea Mar Tacoma Behavioral Health Center","SeaMar Community Health Centers","2121 S. 19th  St.","Tacoma","WA","98405","253-396-1634","https://www.seamar.org/pierce-bh-tacoma.html","Our team of mental health therapists, chemical dependency counselors, psychiatric advanced registered nurse practitioners, and psychiatrists specialize in providing culturally competent services. Our staff receive in-depth training on evidence-based practices to ensure we provide the best tools to help our clients lead healthy lives. Sea Mar accepts most insurances including Medicaid and provides services regardless of a patient’s ability to pay. When insurance is not available, Sea Mar offers a sliding fee scale discount, determined by household size and income.","false","false","false","true","false","true","true","false","true","true","true","false","false","false","false","false","true","POINT (-122.465267 47.242685)"
"Sea Mar Gig Harbor Behavioral Health Center","SeaMar Community Health Centers","3208 50th Street Ct NW, Building C, Ste 202,","Gig Harbor","WA","98335","253-280-9888","https://www.seamar.org/pierce-bh-puyallup.html","Our team of mental health therapists, chemical dependency counselors, psychiatric advanced registered nurse practitioners, and psychiatrists specialize in providing culturally competent services. Our staff receive in-depth training on evidence-based practices to ensure we provide the best tools to help our clients lead healthy lives. Sea Mar accepts most insurances including Medicaid and provides services regardless of a patient’s ability to pay. When insurance is not available, Sea Mar offers a sliding fee scale discount, determined by household size and income.","false","false","false","true","false","true","true","false","true","true","true","false","false","false","false","false","true","POINT (-122.583167 47.303956)"
"Pierce County Alliance","Pierce County Alliance","510 Tacoma Ave S.","Tacoma","WA","98402","253-572-4750","http://piercecountyalliance.org/","The mission of the Pierce County Alliance is to be a leader in the provision of human services, specializing in substance abuse. The organization strives for client satisfaction through continuous quality improvement of services that are cost efficient and have measurable outcomes. Some programs available include: Medication Assisted Treatment (MAT)
Felony Drug Court
Family Recovery Court
Veterans Treatment Track
Problem Gambling Treatment Track
of Corrections (DOC) Treatment
Outpatient Treatment
DUI Treatment","false","true","false","false","false","true","true","false","false","true","true","false","false","false","false","false","true","POINT (-122.445774 47.258597)"
"MultiCare Sumner Medical Associates","MultiCare","5814 Graham Ave","Sumner","WA","98390","888-445-8120","https://www.multicare.org/behavioral-health-locations/","With therapists available in 11 primary care locations in Pierce and South King counties, we make it easy for you to get the care you need. General Counseling Services only accepts private health insurance at this time —  such as an employer’s health insurance plan, under your company's employee assistance program or through individual insurance coverage. We are unable to accept Medicaid or Medicare for general counseling services.","true","false","false","true","false","true","false","false","true","true","true","false","false","false","false","false","true","POINT (-122.22411 47.203963)"
"Central Pierce Fire Department CARES","Central Pierce Fire District",,"Puyallup","WA",,,"https://www.thenewstribune.com/news/local/community/puyallup-herald/ph-news/article237562199.html","CPFD CARES, or Community Assistance for Referral and Education Services, aims to curb the number of repeat 911 callers by addressing underlying problems and navigating patients to resources. The program will respond to non-urgent calls, like flu-like symptoms, diabetic issues, checking blood pressure, falls and minor cuts.","false","false","false","false","false","false","true","true","true","true","true","true","false","false","true","true","true","POINT (-122.292318 47.177438)"
"Peer Bridger","Recovery Innovations","4210 20th St, Suite B&C","Fife","WA","98424","253-235-5216","https://riinternational.com/our-services/washington/peer-bridger-program/","Short-term community support (18 and up) for recovery during transition from inpatient back into the community. The focus of this program is to reduce re-hospitalization after discharge from inpatient treatment centers and offers peer-to-peer support in navigating post-discharge barriers. 
Access: 360-347-8004. Referral sources include MOCT, E&Ts and RTFs.","false","false","false","false","false","false","true","false","false","true","true","false","true","true","true","false","true","POINT (-122.372325 47.238972)"
"MultiCare Lakewood Clinic","MultiCare","5700 100th St SW, Suite 510","Lakewood","WA","98499","888-445-8120","https://www.multicare.org/behavioral-health-locations/","With therapists available in 11 primary care locations in Pierce and South King counties, we make it easy for you to get the care you need. General Counseling Services only accepts private health insurance at this time —  such as an employer’s health insurance plan, under your company's employee assistance program or through individual insurance coverage. We are unable to accept Medicaid or Medicare for general counseling services.","true","false","false","true","false","true","false","false","true","true","true","false","false","false","false","false","true","POINT (-122.510926 47.166696)"
"Tacoma Behavioral Health Clinic - Parenting in Recovery","SeaMar Community Health Centers","7424 Bridgeport Way W. Suite 305","Lakewood","WA","98499","253-246-6820","https://www.seamar.org/pierce-bh-tacoma-chemical.html","Welcome to Sea Mar’s Tacoma Parenting in Recovery (PIR) program. PIR provides services to parents who are single, parenting and/or pregnant who are suffering from chemical abuse/addiction issues. We partner with the Multicultural Child and Family Hope Center for those in need of child care services. We are eligible to provide court-mandated services to adults. Our treatment includes individual and group therapy and random drug/alcohol testing. We use evidence-based practices with approaches such as motivational interviewing, dialectic behavioral therapy, and family systemic intervention.","false","true","false","false","false","true","true","true","true","true","true","false","false","false","false","false","true","POINT (-122.518477 47.189686)"
"Gig Harbor Counseling","Olalla Recovery Centers","5122 Olympic Dr. NW, Suite A105","Gig Harbor","WA","98335","253-851-2552","http://www.olalla.org","Just minutes from the Tacoma Narrows Bridge, Gig Harbor Counseling offers private intensive outpatient counseling for both adults and youths that includes relapse prevention, substance abuse counseling, education groups, aftercare groups and more all in a family oriented setting.","false","true","false","false","false","true","true","false","false","true","true","true","false","false","false","false","true","POINT (-122.583121 47.304825)"
"Sea Mar Tacoma Behavioral Health Clinic - 11th Street","SeaMar Community Health Centers","1307 S. 11th St.","Tacoma","WA","98405","253-682-2180","https://www.seamar.org/pierce-bh-tacoma-11.html","Our team of mental health therapists, chemical dependency counselors, psychiatric advanced registered nurse practitioners, and psychiatrists specialize in providing culturally competent services. Our staff receive in-depth training on evidence-based practices to ensure we provide the best tools to help our clients lead healthy lives. Sea Mar accepts most insurances including Medicaid and provides services regardless of a patient’s ability to pay. When insurance is not available, Sea Mar offers a sliding fee scale discount, determined by household size and income.","false","false","false","true","false","true","true","false","true","true","true","false","false","false","false","false","true","POINT (-122.454876 47.251658)"
"Consejo Counseling & Referral Services","Consejo Counseling & Referral Services","21120 Meridian Ave E","Graham","WA","98338","253-414-7461","http://consejocounseling.org/","Consejo Counseling and Referral Service provides culturally competent behavioral health services designed to address the diverse needs of adults, children, youth an families in diverse communities to improve the quality of their lives. Adult outpatient services include individual, group and family therapy, in-home behavioral health services, case management, psychiatric evaluations, medication management, and peer support.","false","false","false","true","false","true","true","false","false","true","true","true","false","false","false","false","true","POINT (-122.29473 47.064415)"
"MultiCare Chemical Dependency Services","MultiCare","2201 S. 19ths St., Ste 104","Tacoma","WA","98405","253-456-6868","https://www.muIticare.org/behavioral-health","For over 40 years, MultiCare Behavioral Health has provided in-depth treatment and support services to adults with serious mental illness who are receiving, or would qualify to receive, Medicaid benefits. We work with these clients to coordinate every step of their mental health and medical needs, so that they can: Move forward in their recovery; Achieve a better quality of life; Access local resources to meet their unique needs.","false","true","false","false","false","true","true","false","false","true","true","false","false","false","false","false","true","POINT (-122.466184 47.242683)"
