"year","domain","subdomain","age_group","indicator","overall","gender","household_income","race_ethnicity","special_ed","grade","average","sample_size","total","data_source","data_source_organization","data_provider_organization","notes","indicator_justification","calculation_method","findings","zip_code","location"
"2012",,,,"Youth (13-17 years) arrested and booked for crimes in Santa Monica",,,"Low",,,,,,,,,,,,,,,
"2012",,,,"Youth (13-17 years) arrested and booked for crimes in Santa Monica",,,,"African American",,,"2",,,,,,,,,,,
"2012",,,,"Reported incidents in Santa Monica where a Santa Monica youth (0-17 years) was the victim",,,,"Asian",,,"3",,,,,,,,,,,
"2012",,,,"Youth (18-24 years) arrested and booked for crimes in Santa Monica",,"Male",,,,,"98",,,,,,,,,,,
"2012",,,,"Youth (18-24 years) arrested and booked for crimes in Santa Monica",,,"Low",,,,,,,,,,,,,,,
"2012",,,,"Youth (18-24 years) arrested and booked for crimes in Santa Monica",,,,"African American",,,"19",,,,,,,,,,,
"2012",,,,"Youth (18-24 years) arrested and booked for crimes in Santa Monica",,,"Middle/High",,,,,,,,,,,,,,,
"2012",,,,"Youth (18-24 years) arrested and booked for crimes in Santa Monica",,,,"Asian",,,"2",,,,,,,,,,,
"2012",,,,"Youth (18-24 years) arrested and booked for crimes in Santa Monica",,,,"White",,,"51",,,,,,,,,,,
"2012",,,,"Youth (18-24 years) arrested and booked for crimes in Santa Monica",,,,"Other",,,"7",,,,,,,,,,,
"2012",,,,"Reported incidents in Santa Monica where a Santa Monica youth (0-17 years) was the victim",,,,"White",,,"59",,,,,,,,,,,
"2012",,,,"Reported incidents in Santa Monica where a Santa Monica youth (0-17 years) was the victim",,,,"2 or more",,,,,,,,,,,,,,
"2012",,,,"Reported incidents in Santa Monica where a Santa Monica youth (18-24 years) was the victim",,,"Low",,,,,,,,,,,,,,,
"2012",,,,"Reported incidents in Santa Monica where a Santa Monica youth (18-24 years) was the victim",,"Male",,,,,"40",,,,,,,,,,,
"2012",,,,"Reported incidents in Santa Monica where a Santa Monica youth (18-24 years) was the victim",,,"Middle/High",,,,,,,,,,,,,,,
"2012",,,,"Reported incidents in Santa Monica where a Santa Monica youth (18-24 years) was the victim",,,,"African American",,,"10",,,,,,,,,,,
"2012",,,,"Reported incidents in Santa Monica where a Santa Monica youth (18-24 years) was the victim",,,,"Asian",,,"6",,,,,,,,,,,
"2012","Learning & School Achievement","Academic Success","[ALL STUDENTS]","School suspension rate",,,,"Latino",,,,,,"Currently Unknown","Santa Monica-Malibu Unified School District","SMMUSD Student Services",,"School suspension is a key indicator of academic success and behavioral adjustment, and is a predictor of future school performance.","The rate is calculated by dividing the number of suspensions per 100 K-12 Santa Monica public school students. ","Very few students in the District are suspended, making SMMUSD rates much lower than those for the County and State.  ",,
"2012",,,,"Reported incidents in Santa Monica where a Santa Monica youth (18-24 years) was the victim",,,,"Other",,,"25",,,,,,,,,,,
"2012","Learning & School Achievement","Academic Success","[ALL STUDENTS]","School suspension rate",,,,"Other",,,,,,"Currently Unknown","Santa Monica-Malibu Unified School District","SMMUSD Student Services",,"School suspension is a key indicator of academic success and behavioral adjustment, and is a predictor of future school performance.","The rate is calculated by dividing the number of suspensions per 100 K-12 Santa Monica public school students. ","Very few students in the District are suspended, making SMMUSD rates much lower than those for the County and State.  ",,
"2012","Physical Health & Development","Access to Health Care/Nutrition & Fitness","[TBD]","Teen birth rate",,,"Middle/High",,,,,,,"Customized Report per Request from HSD","Los Angeles County Department of Public Health","Los Angeles County Department of Public Health","Ages 13-19","Teen birth rate is an important predictor of wellbeing and healhty behavior. Teen parents have more risk factors and stressors than adult parents. ","The number of teen births in Santa Monica was divided by the total number of teens (13-19 years) in Santa Monica. ","Less than 1% of all Santa Monica teens have given birth. ",,
"2013","Physical Health & Development","Access to Health Care/Nutrition & Fitness","[TBD]","Teen birth rate",,,,,"No",,,,,"Customized Report per Request from HSD","Los Angeles County Department of Public Health","Los Angeles County Department of Public Health","Ages 13-19","Teen birth rate is an important predictor of wellbeing and healhty behavior. Teen parents have more risk factors and stressors than adult parents. ","The number of teen births in Santa Monica was divided by the total number of teens (13-19 years) in Santa Monica. ","Less than 1% of all Santa Monica teens have given birth. ",,
"2012",,,,"Reported incidents in Santa Monica where a Santa Monica youth (0-17 years) was the victim",,,,,,,"6",,,,,,,,,,"90402","
,  90402
(34.03254426700005, -118.50584632399995)"
"2013",,,,"Youth (13-17 years) arrested and booked for crimes in Santa Monica",,,,"Latino",,,"9",,,,,,,,,,,
"2013",,,,"Youth (13-17 years) arrested and booked for crimes in Santa Monica",,,,"White",,,"5",,,,,,,,,,,
"2012",,,,"Youth (13-17 years) cited for crimes in Santa Monica","Overall",,,,,,"75",,,,,,,,,,,
"2012",,,,"Youth (13-17 years) cited for crimes in Santa Monica",,,"Middle/High",,,,,,,,,,,,,,,
"2012",,,,"Youth (13-17 years) cited for crimes in Santa Monica",,,,"African American",,,"7",,,,,,,,,,,
"2012",,,,"Youth (13-17 years) cited for crimes in Santa Monica",,,,"Asian",,,"1",,,,,,,,,,,
"2012",,,,"Youth (13-17 years) cited for crimes in Santa Monica",,,,"Latino",,,"25",,,,,,,,,,,
"2012",,,,"Reported incidents in Santa Monica where a Santa Monica youth (18-24 years) was the victim",,,,,,,"504",,,,,,,,,,"Beyond-SM/Unknown",
"2012",,,,"Youth (13-17 years) arrested and booked for crimes in Santa Monica",,,,,,,"76",,,,,,,,,,"Beyond-SM/Unknown",
"2013",,,,"Youth (13-17 years) arrested and booked for crimes in Santa Monica",,,,,"Yes",,,,,,,,,,,,,
"2013",,,,"Youth (13-17 years) arrested and booked for crimes in Santa Monica",,,,,"No",,,,,,,,,,,,,
"2013",,,,"Youth (18-24 years) arrested and booked for crimes in Santa Monica","Overall",,,"   ",,,"112",,,,,,,,,,,
"2013",,,,"Youth (18-24 years) arrested and booked for crimes in Santa Monica",,,,"White",,,"52",,,,,,,,,,,
"2013",,,,"Youth (18-24 years) arrested and booked for crimes in Santa Monica",,,,"Other",,,"5",,,,,,,,,,,
"2013",,,,"Reported incidents in Santa Monica where a Santa Monica youth (0-17 years) was the victim",,,"Low",,,,,,,,,,,,,,,
"2013",,,,"Reported incidents in Santa Monica where a Santa Monica youth (0-17 years) was the victim",,,,"Asian",,,"10",,,,,,,,,,,
"2013",,,,"Reported incidents in Santa Monica where a Santa Monica youth (0-17 years) was the victim",,,,"Other",,,"20",,,,,,,,,,,
"2013",,,,"Reported incidents in Santa Monica where a Santa Monica youth (18-24 years) was the victim",,,"Low",,,,,,,,,,,,,,,
"2013",,,,"Reported incidents in Santa Monica where a Santa Monica youth (18-24 years) was the victim",,,"Middle/High",,,,,,,,,,,,,,,
"2013",,,,"Reported incidents in Santa Monica where a Santa Monica youth (18-24 years) was the victim",,,,"Asian",,,"16",,,,,,,,,,,
"2013",,,,"Reported incidents in Santa Monica where a Santa Monica youth (18-24 years) was the victim",,,,"Other",,,"44",,,,,,,,,,,
"2013",,,,"Reported incidents in Santa Monica where a Santa Monica youth (18-24 years) was the victim",,,,,"No",,,,,,,,,,,,,
"2013","Learning & School Achievement","Academic Success","[ALL STUDENTS]","School suspension rate",,,,"Asian",,,,,,"Currently Unknown","Santa Monica-Malibu Unified School District","SMMUSD Student Services",,"School suspension is a key indicator of academic success and behavioral adjustment, and is a predictor of future school performance.","The rate is calculated by dividing the number of suspensions per 100 K-12 Santa Monica public school students. ","Very few students in the District are suspended, making SMMUSD rates much lower than those for the County and State.  ",,
"2009","Learning & School Achievement","Academic Success","College, Career & Beyond (18-24)","First term GPA for SMC freshmen who graduated from SMMUSD",,,,"White",,,,,,"Currently Unknown","Santa Monica College","Santa Monica College",,"First-term GPA is a key predictor of students' continuation with college and future academic success.","The grade point averages of Santa Monica and Olympic High School graduates who were first-time freshmen in fall term  were averaged across the courses they took that semester.","Santa Monica and Olympic High School students first term average GPA at SMC is a solid ""C"" and slightly lower than the average for all first term freshman students at SMC. ",,
"2012",,,,"Reported incidents in Santa Monica where a Santa Monica youth (18-24 years) was the victim","Overall",,,,,,"110",,,,,,,,,,,
"2012",,,,"Youth (13-17 years) arrested and booked for crimes in Santa Monica",,,,,,,"5",,,,,,,,,,"90405","
,  90405
(34.01013272900008, -118.47267655199994)"
"2013",,,,"Youth (13-17 years) cited for crimes in Santa Monica",,,,,"No",,,,,,,,,,,,,
"2013",,,,"Youth (18-24 years) cited for crimes in Santa Monica",,,,"Other",,,"11",,,,,,,,,,,
"2012",,,,"Youth (13-17 years) arrested and booked for crimes in Santa Monica",,,,,,,"2",,,,,,,,,,"90402","
,  90402
(34.03254426700005, -118.50584632399995)"
"2013",,,,"Youth (13-17 years) cited for crimes in Santa Monica",,,,,,,"42",,,,,,,,,,"90404","
,  90404
(34.02784297100004, -118.47471870499999)"
"2012","Learning & School Achievement","Academic Success","College, Career & Beyond (18-24)","First term GPA for SMC freshmen who graduated from SMMUSD",,,,,"Yes",,,,,"Currently Unknown","Santa Monica College","Santa Monica College",,"First-term GPA is a key predictor of students' continuation with college and future academic success.","The grade point averages of Santa Monica and Olympic High School graduates who were first-time freshmen in fall term  were averaged across the courses they took that semester.","Santa Monica and Olympic High School students first term average GPA at SMC is a solid ""C"" and slightly lower than the average for all first term freshman students at SMC. ",,
"2012",,,,"Youth (13-17 years) cited for crimes in Santa Monica",,,,,,,"6",,,,,,,,,,"90401","
,  90401
(34.01760179300004, -118.49296772799994)"
"2013",,,,"Youth (18-24 years) cited for crimes in Santa Monica",,,,,,,"53",,,,,,,,,,"90401","
,  90401
(34.01760179300004, -118.49296772799994)"
"2013",,,,"Youth (18-24 years) cited for crimes in Santa Monica",,,,,,,"42",,,,,,,,,,"90404","
,  90404
(34.02784297100004, -118.47471870499999)"
"2012",,,,"Youth (13-17 years) cited for crimes in Santa Monica",,,,,,,"1",,,,,,,,,,"90402","
,  90402
(34.03254426700005, -118.50584632399995)"
"2012",,,,"Reported incidents in Santa Monica where a Santa Monica youth (18-24 years) was the victim",,,,,,,"29",,,,,,,,,,"90404","
,  90404
(34.02784297100004, -118.47471870499999)"
"2013","Physical Health & Development","Access to Health Care/Nutrition & Fitness","[TBD]","Teen birth rate",,,,,,,,,,"Customized Report per Request from HSD","Los Angeles County Department of Public Health","Los Angeles County Department of Public Health","Ages 13-19","Teen birth rate is an important predictor of wellbeing and healhty behavior. Teen parents have more risk factors and stressors than adult parents. ","The number of teen births in Santa Monica was divided by the total number of teens (13-19 years) in Santa Monica. ","Less than 1% of all Santa Monica teens have given birth. ","Beyond-SM/Unknown",
"2012","Physical Health & Development","Access to Health Care/Nutrition & Fitness","[TBD]","Teen birth rate",,"Male",,,,,,,,"Customized Report per Request from HSD","Los Angeles County Department of Public Health","Los Angeles County Department of Public Health","Ages 13-19","Teen birth rate is an important predictor of wellbeing and healhty behavior. Teen parents have more risk factors and stressors than adult parents. ","The number of teen births in Santa Monica was divided by the total number of teens (13-19 years) in Santa Monica. ","Less than 1% of all Santa Monica teens have given birth. ",,
"2013",,,,"Youth (18-24 years) cited for crimes in Santa Monica",,,,,,,"34",,,,,,,,,,"90405","
,  90405
(34.01013272900008, -118.47267655199994)"
"2012",,,,"Reported incidents in Santa Monica where a Santa Monica youth (0-17 years) was the victim",,,,,,,"32",,,,,,,,,,"90403","
,  90403
(34.02842085700007, -118.49353692399995)"
"2012","Social Skills & Confidence","In School","[TBD]","Students who report being harassed at school",,,"Low",,,,,,,"California Healthy Kids Survey","California Department of Education","SMMUSD Educational Services",,"This is a key indicator of the school social environment and is linked to bulling on campus.","The total number of students answering yes to the California Healthy Kids Survey (CHKS) question about being harrassed on the school campus over the past year was divided by the total number of students answering the question. The CHKS is a comprehensive survey completed by students that provides key data on learning barriers, engagement, and support","Students in 7th and 9th grade and Alternative Education report higher rates of harrassment than those in 11th grade. Harassment is particularly high in Alternative Education. ",,
"2013",,,,"Youth (13-17 years) cited for crimes in Santa Monica",,,,,,,"14",,,,,,,,,,"90402","
,  90402
(34.03254426700005, -118.50584632399995)"
"2012",,,,"Youth (18-24 years) arrested and booked for crimes in Santa Monica",,,,,,,"12",,,,,,,,,,"90403","
,  90403
(34.02842085700007, -118.49353692399995)"
"2013","Learning & School Achievement","Academic Success","[ALL STUDENTS]","High attendance rate (90-100% of all school days)",,,,"2 or more",,,,,,"Currently Unknown","Santa Monica-Malibu Unified School District ","SMMUSD Student Services",,"Regular school attendance is an indicator of adjustment to school life and academic success.","The total number of SMMUSD students who attend Santa Monica schools with 18 or fewer absences during the school year was divided by the total number of students enrolled at the beginning of the year. ","Almost 90% of SMMUSD students in Santa Monica schools attend school regularly.",,
"2013",,,,"Youth (18-24 years) arrested and booked for crimes in Santa Monica",,,,,,,"33",,,,,,,,,,"90404","
,  90404
(34.02784297100004, -118.47471870499999)"
"2013",,,,"Reported incidents in Santa Monica where a Santa Monica youth (0-17 years) was the victim",,,,,,,"20",,,,,,,,,,"90402","
,  90402
(34.03254426700005, -118.50584632399995)"
"2012",,,,"Reported incidents in Santa Monica where a Santa Monica youth (0-17 years) was the victim",,,,,,,"43",,,,,,,,,,"90405","
,  90405
(34.01013272900008, -118.47267655199994)"
"2012","Learning & School Achievement","Academic Success","College, Career & Beyond (18-24)","First term GPA for SMC freshmen who graduated from SMMUSD",,,,"White",,,,,,"Currently Unknown","Santa Monica College","Santa Monica College",,"First-term GPA is a key predictor of students' continuation with college and future academic success.","The grade point averages of Santa Monica and Olympic High School graduates who were first-time freshmen in fall term  were averaged across the courses they took that semester.","Santa Monica and Olympic High School students first term average GPA at SMC is a solid ""C"" and slightly lower than the average for all first term freshman students at SMC. ",,
"2010","Learning & School Achievement","Academic Success","High School (14-18)","High school graduation rate",,,,"2 or more",,,,,,,,,,,,,,
"2012",,,,"Youth (13-17 years) arrested and booked for crimes in Santa Monica",,,,,,,"2",,,,,,,,,,"90403","
,  90403
(34.02842085700007, -118.49353692399995)"
"2013",,,,"Reported incidents in Santa Monica where a Santa Monica youth (18-24 years) was the victim",,,,,,,"37",,,,,,,,,,"90403","
,  90403
(34.02842085700007, -118.49353692399995)"
"2009","Learning & School Achievement","Academic Success","[ALL STUDENTS]","High attendance rate (90-100% of all school days)",,,,,,,,,,"Currently Unknown","Santa Monica-Malibu Unified School District ","SMMUSD Student Services",,"Regular school attendance is an indicator of adjustment to school life and academic success.","The total number of SMMUSD students who attend Santa Monica schools with 18 or fewer absences during the school year was divided by the total number of students enrolled at the beginning of the year. ","Almost 90% of SMMUSD students in Santa Monica schools attend school regularly.","Beyond-SM/Unknown",
"2009","Learning & School Achievement","Academic Success","[ALL STUDENTS]","High attendance rate (90-100% of all school days)",,,,,"Yes",,,,,"Currently Unknown","Santa Monica-Malibu Unified School District ","SMMUSD Student Services",,"Regular school attendance is an indicator of adjustment to school life and academic success.","The total number of SMMUSD students who attend Santa Monica schools with 18 or fewer absences during the school year was divided by the total number of students enrolled at the beginning of the year. ","Almost 90% of SMMUSD students in Santa Monica schools attend school regularly.",,
"2010","Learning & School Achievement","Academic Success","High School (14-18)","High school graduation rate",,,,,,,,,,,,,,,,,"90403","
,  90403
(34.02842085700007, -118.49353692399995)"
"2013",,,,"Youth (18-24 years) arrested and booked for crimes in Santa Monica",,,,,,,"40",,,,,,,,,,"90401","
,  90401
(34.01760179300004, -118.49296772799994)"
"2012",,,,"Youth (18-24 years) arrested and booked for crimes in Santa Monica",,,,,,,"33",,,,,,,,,,"90404","
,  90404
(34.02784297100004, -118.47471870499999)"
"2013",,,,"Youth (13-17 years) arrested and booked for crimes in Santa Monica",,,,,,,"1",,,,,,,,,,"90403","
,  90403
(34.02842085700007, -118.49353692399995)"
"2009","Learning & School Achievement","Academic Success","High School (14-18)","High school graduation rate",,,,,,,,,,,,,,,,,"90401","
,  90401
(34.01760179300004, -118.49296772799994)"
"2009","Learning & School Achievement","Academic Success","[ALL STUDENTS]","High attendance rate (90-100% of all school days)",,,"Middle/High",,,,,,,"Currently Unknown","Santa Monica-Malibu Unified School District ","SMMUSD Student Services",,"Regular school attendance is an indicator of adjustment to school life and academic success.","The total number of SMMUSD students who attend Santa Monica schools with 18 or fewer absences during the school year was divided by the total number of students enrolled at the beginning of the year. ","Almost 90% of SMMUSD students in Santa Monica schools attend school regularly.",,
"2009","Learning & School Achievement","Academic Success","High School (14-18)","High school graduation rate",,,,,,,,,,,,,,,,,"90404","
,  90404
(34.02784297100004, -118.47471870499999)"
"2013","Physical Health & Development","Access to Health Care/Nutrition & Fitness","[TBD]","Teen birth rate",,,,,,,,,,"Customized Report per Request from HSD","Los Angeles County Department of Public Health","Los Angeles County Department of Public Health","Ages 13-19","Teen birth rate is an important predictor of wellbeing and healhty behavior. Teen parents have more risk factors and stressors than adult parents. ","The number of teen births in Santa Monica was divided by the total number of teens (13-19 years) in Santa Monica. ","Less than 1% of all Santa Monica teens have given birth. ","90401","
,  90401
(34.01760179300004, -118.49296772799994)"
"2013",,,,"Youth (13-17 years) cited for crimes in Santa Monica",,,,"White",,,"37",,,,,,,,,,,
"2010","Learning & School Achievement","Academic Success","High School (14-18)","High school graduation rate",,,,,,,,,,,,,,,,,"90404","
,  90404
(34.02784297100004, -118.47471870499999)"
"2012",,,,"Youth (13-17 years) cited for crimes in Santa Monica",,,,,,,"14",,,,,,,,,,"90403","
,  90403
(34.02842085700007, -118.49353692399995)"
"2012",,,,"Youth (13-17 years) arrested and booked for crimes in Santa Monica",,,,,,,"1",,,,,,,,,,"90401","
,  90401
(34.01760179300004, -118.49296772799994)"
"2012","Learning & School Achievement","Academic Success","College, Career & Beyond (18-24)","Santa Monica high school grads attending SMC who re-enroll for Spring Semester",,,,,"No",,,,,"Currently Unknown","Santa Monica College","Santa Monica College",,"First-term re-enrollment for spring semester is a key indicator of successful academic progress and later transfer to a four-year university.","The total number SMC first-time freshmen who were graduates of Santa Monica and Olympic High Schools that re-enrolled for spring semester was divided by the total number of Santa Monica and Olympic High School grads who entered SMC as first-time freshmen in the Fall Semester.","Most SMC first-term fall students from a SMMUSD Santa Monica high school re-enrolled in spring semester, a rate that is higher (by 6%) than that for all SMC first-term freshman.",,
"2009","Learning & School Achievement","Academic Success","Elementary (6-10)","3rd grade students proficient or higher in language arts",,,,"Asian",,,"69.05","29","42","California Standardized Test (CST)","Santa Monica-Malibu Unified School District ","SMMUSD Educational Services",,"3rd grade language arts proficiency is a key measure of language arts skills and a predictor of both future literacy and academic success.","The number of Santa Monica 3rd graders who scored proficient or advanced on the English Language Arts California Standards Test divided by the total number of Santa Monica 3rd graders who took the test.","More than 33% of SMMUSD Santa Monica 3rd graders are not proficient in language arts by Grade 3. Asian/Pacific Islanders and White students have a disproportionately higher rate of proficiency than students of color. Low income, Hispanic/Latino, African American students and those living in zip codes 90401 and 90404 (Downtown and Pico neighborhooods) are particularly vulnerable. The overall proficiency rate (66.4%) is much higher than the rates for the county and state.",,
"2012","Social Skills & Confidence","In School","[TBD]","Students who report feeling safe at school",,,,"Asian",,,,,,"California Healthy Kids Survey","California Department of Education","SMMUSD Educational Services",,"This indicator provides a measure of students' perception of safety of the learning environment.","The total number of students answering yes to the California Healthy Kids Survey (CHKS) question about school safety was divided by the total number of students answering the question. The CHKS is a comprehensive survey completed by students that provides key data on learning barriers, engagement, and support","Most students in middle school and Santa Monica high school feel safe at school, which those at Olympic High feel less safe. 9th graders are less likely than 7th or 11th graders to feel safe at school.",,
"2012","Learning & School Achievement","Academic Success","[ALL STUDENTS]","School suspension rate",,,,,,,,,,"Currently Unknown","Santa Monica-Malibu Unified School District","SMMUSD Student Services",,"School suspension is a key indicator of academic success and behavioral adjustment, and is a predictor of future school performance.","The rate is calculated by dividing the number of suspensions per 100 K-12 Santa Monica public school students. ","Very few students in the District are suspended, making SMMUSD rates much lower than those for the County and State.  ","90403","
,  90403
(34.02842085700007, -118.49353692399995)"
"2012","Learning & School Achievement","Academic Success","College, Career & Beyond (18-24)","Santa Monica high school grads attending SMC who re-enroll for Spring Semester","Overall",,,,,,"85.6","173","202","Currently Unknown","Santa Monica College","Santa Monica College",,"First-term re-enrollment for spring semester is a key indicator of successful academic progress and later transfer to a four-year university.","The total number SMC first-time freshmen who were graduates of Santa Monica and Olympic High Schools that re-enrolled for spring semester was divided by the total number of Santa Monica and Olympic High School grads who entered SMC as first-time freshmen in the Fall Semester.","Most SMC first-term fall students from a SMMUSD Santa Monica high school re-enrolled in spring semester, a rate that is higher (by 6%) than that for all SMC first-term freshman.",,
"2013","Emotional Maturity & Mental Health",,"[TBD]","Youth reporting significant periods of extreme sadness and hopelessness over the past 12 months",,,,,,"9","29","102","352","California Healthy Kids Survey","California Department of Education","SMMUSD Educational Services",,"This is a measure of emotional wellbeing, which correlates with poor academic achievement and impacts other areas of development.","The number of students answering ""yes"" to the question on the California Healthy Kids Survey (CHKS) about significant periods of extreme sadness and hopelessness over the previous 12 months was divided by the total number of students answering the question. The CHKS is  a comprehensive survey completed by students that provides key data on learning barriers, engagement, and support. ","Overall, slightly more than 1/4 of students surveyed experienced significant periods of extreme sadness and hopelessness over the previous year. There was not a large difference between the rates for 7th and 11th graders.  The rate for 9th graders was higher at 29%. These data indicate that a significant number of students felt so sad and hopeless daily over at least some usual activities.  Again, the rate for those students at Olympic High School was particularly high  33.3% experienced at least one such episode (small sample size of  15 students).  ",,
"2012","Learning & School Achievement","Academic Success","[ALL STUDENTS]","High attendance rate (90-100% of all school days)",,,"Middle/High",,,,"89","5762","6475","Currently Unknown","Santa Monica-Malibu Unified School District ","SMMUSD Student Services",,"Regular school attendance is an indicator of adjustment to school life and academic success.","The total number of SMMUSD students who attend Santa Monica schools with 18 or fewer absences during the school year was divided by the total number of students enrolled at the beginning of the year. ","Almost 90% of SMMUSD students in Santa Monica schools attend school regularly.",,
"2009","Physical Health & Development","Access to Health Care/Nutrition & Fitness","Elementary (6-10)","Fitness level of 5th Grade Santa Monica public school students",,"Female",,,,,,,,"FitGram Healthy Fitness Zone Chart","California Department of Education","SMMUSD","Passing at least 4 out of 6 parts of the State physical fitness test","This indicator is used to assist students in establishing lifetime habits of regular physical activity.","The Physical Fitness Test is a comprehensive measure of physical fitness levels. It's given to 5th, 7th, and 9th graders statewide. The test assesses 6 areas of physical fitness: aerobic capacity, body composition, abdominal strength, trunk extension, upper body strength, and flexibility. The number of SMMUSD 5th grade students who passed at least 4 of 6 parts of the test was divided by the total number of SMMUSD 5th graders who took the test. ","[VERIFY based on disaggregated data] Over 80% of SMMUSD 5th graders passed at least 4 out of 6 parts of the test, a rate higher than county and state levels.",,
"2012","Physical Health & Development","Access to Health Care/Nutrition & Fitness","[TBD]","Students using the Reduced & Free Lunch Program",,,,"2 or more",,,"19.3","118","610","Currently Unknown","Santa Monica-Malibu Unified School District","SMMUSD Student Services",,"This indicator measures the propotion of SMMUSD Santa Monica students who are low to low-moderate income, and could benefit from a daily free or low cost meal program. Children from lower income households are at risk for poverty-related challenges such as food insecurity and material wellbeing. ","The total number of students enrolled in SMMUSD Santa Monica schools who participated in the National School Lunch Program, divided by the total number of students enrolled in Santa Monica public schools.","More than 25% of students in Santa Monica public schools enroll in the Reduced & Free Lunch Program, a rate significantly below those for the County and State. By far, the largest proportion of children using the program live in zip codes 90404 and 90405.",,
"2009","Physical Health & Development","Access to Health Care/Nutrition & Fitness","Preschool/Kindergarten (0-5)","Immunization rate for children entering Kindergarten",,,,,,,,,,"Customized Report per Request from City of Santa Monica","Los Angeles County Department of Public Health","Los Angeles County Department of Public Health","Disaggregated data not available","Immunization rate is a reflection of access to early health care. ","The number of preschool and kindergarten students in Santa Monica who are fully vaccinated by kindergarten, divided by the total number of children 0-6 years old in Santa Monica, based on the County of Los Angeles Public Health report.  The number includes ""personal belief exemptions"" - children who had access to immunizations, but whose parents opted not to have them immunized.","Nearly all young children in Santa Monica are fully vaccinated at entry to kindergarten, which is strong evidence that they have regular access to health care.  They are vaccinated at higher rates than children in the county, state and nation. ","Beyond-SM/Unknown",
"2012","Learning & School Achievement","Academic Success","Preschool/Kindergarten (0-5)","Very ready in communication skills & general knowledge",,,,"White",,,"37.2","103","277","Early Development Instrument","UCLA Center for Healthier Children, Families & Communities","Connections for Children",,"This indicates ability to understand verbal communication and to use language to express their ideas, with a specific focus on those skills needed for success in school.","Number of kindergarten students observed by their teachers using the Early Development Instrument (EDI) by the total number of children observed [75th percentile or higher]. The EDI is a standardized way to collect information about children entering kindergarten within a given geographic location.","Over one-third of children in Santa Monica entering kindergarten are very or highly ready to communicate experiences, ideas, wishes, and feelings in a way that can be understood by others and to understand the language of other children or adults.  Boys in Santa Monica lag behind girls in this domain by 17%. Children residing in zip code 90401 had the lowest percentage in this domain, with approximately 21% of children very ready in communication and general knowledge. ",,
