"organization_name","address","apt_suite","city","zipcode","telephone","email_address","website","youth_family_enrichment","support_services","civic_engagement","early_childhood_education","government_agencies","schools","higher_education","workforce_development","mission","geospatial_data","neighborhood"
"AIDS CONNECTICUT","110 BARTHOLOMEW AV","Suite 3050","Hartford","6106","(860) 247- 2437","slang@aids-ct.org","http://www.aids-ct.org",,"Support Services",,,,,,,"Improves the lives of people impacted by HIV through care and supportive services, housing, advocacy and prevention.","110 BARTHOLOMEW AV
HARTFORD, Connecticut 06106
(41.7547, -72.703668)","PARKVILLE"
"A.I. PRINCE TECHNICAL HIGH SCHOOL (9-12)","401 FLATBUSH AV",,"Hartford","6106","(860) 951-7112","ai.prince@po.state.ct.us","http://www.cttech.org/prince",,,,,,"Schools",,"Workforce Development","Prepares students for post-secondary education, including apprenticeships, and immediate productive employment; and responds to employers' and industries' current and emerging and changing global workforce needs and expectations.","401 FLATBUSH AV
HARTFORD, Connecticut 06106
(41.742942, -72.709302)","BEHIND THE ROCKS"
"AL-ANON / ALATEEN FAMILY GROUPS CONNECTICUT STATE INFORMATION OFFICE","277 MAIN ST",,"Hartford","6106","(888) 425-2666","wso@al-anon.org","http://www.al-anon.org",,"Support Services",,,,,,,"Helps people understand how much they have in common with everyone affected by someone else's drinking, regardless of the specific details of their personal situation.","277 MAIN ST
HARTFORD, Connecticut 06106
(41.759064, -72.675352)","SOUTH GREEN"
"ALCOHOL AND DRUG RECOVERY CENTERS","500 BLUE HILLS AV",,"Hartford","6112","(866) 872-6790","Melissa.rodgers@frnmail.com","http://www.rehabtreatment.com/CT",,"Support Services",,,,,,,"Attain the most effective results from addiction treatment procedures.","500 BLUE HILLS AV
HARTFORD, Connecticut 06112
(41.799614, -72.695184)","BLUE HILLS"
"ALFRED E. BURR ELEMENTARY SCHOOL (PK 4-8)","400 WETHERSFIELD AV",,"Hartford","6114","(860) 695-3080","welcomecenter@hartfordschools.org","http://www.hartfordschools.org",,,,,,"Schools",,,"Creates a challenging, stimulating, and safe environment that promotes attainment of Academic Standards of the State of Connecticut, and that gives students the ability to effectively participate in the global economy.","400 WETHERSFIELD AV
HARTFORD, Connecticut 06114
(41.744899, -72.67309)","BARRY SQUARE"
"ALLAYA DAY CARE LLC","56 SOUTH WHITNEY  ST",,"Hartford","6106","(860) 231-7824","Unlisted/Unavailable","http://www.allayadaycare.com",,,,"Early Childhood Education",,,,,"Provides 24-hour quality care for all children including children with special needs as well as a unique educational program including safety and sign language.","56 SOUTH WHITNEY ST
HARTFORD, Connecticut 06106
(41.758735, -72.70925)","WEST END"
"AMERICAN CIVIL LIBERTIES UNION FOUNDATION OF CONNECTICUT","765 Asylum AV",,"Hartford","6105","(860) 523-9146","info@acluct.org","http://www.acluct.org",,"Support Services","Civic Engagement",,,,,,"Defends, promotes and preserves individual rights and liberties under the U.S. and Connecticut constitutions in state and federal court, the General Assembly and the state's 169 towns and cities.","765 Asylum AV
HARTFORD, Connecticut 06105
(41.769142, -72.689825)","ASYLUM HILL"
"AMERICANS WITH DISABILITIES ACT COALITION OF CONNECTICUT","60 WESTON ST",,"Hartford","6120","(860) 297-4383","adacoalition@sbcglobal.net","http://www.adacc.net",,,"Civic Engagement",,,,,,"Promotes compliance with Americans with Disabilities Act.","60 WESTON ST
HARTFORD, Connecticut 06120
(41.785324, -72.664181)","NORTH MEADOWS"
"APPELLATE COURT: STATE OF CONNECTICUT","231 Capitol AV",,"Hartford","6106","(860) 757-2200","co.webmaster@jud.ct.gov","http://www.jud.ct.gov/",,,,,"Government Agency",,,,"Serves the interests of justice and the public by resolving matters brought before it in a fair, timely, efficient and open manner.","231 Capitol AV
HARTFORD, Connecticut 06106
(41.762935, -72.682838)","FROG HOLLOW"
"ARTISTS COLLECTIVE","1200 ALBANY AV",,"Hartford","6112","(860) 527-3205","info@artistscollective.org","http://www.artistscollective.org","Youth and Family Enrichment",,,,,,,,"Preserves and perpetuates the arts and culture of the African Diaspora by providing training in the performing and visual arts and by sponsoring special events.","1200 ALBANY AV
HARTFORD, Connecticut 06112
(41.782325, -72.696608)","UPPER ALBANY"
"ASIAN FAMILY SERVICES","1921 PARK ST",,"Hartford","6106","(860) 951-8770 EXT 232","afs@crtct.org","http://www.crtct.org/en/need-help/m-health/asian-family-services",,"Support Services",,,,,,,"Provides multicultural and multi-lingual counseling and supported services to individuals and families from many cultures including Vietnamese, other Asiatic cultures, and Spanish.","1921 PARK ST
HARTFORD, Connecticut 06106
(41.756431, -72.710824)","PARKVILLE"
"ASIAN STUDIES ACADEMY AT BELLIZZI SCHOOL (PK 4-8)","215 SOUTH ST",,"Hartford","6114","(860) 695-2400","welcomecenter@hartfordschools.org","http://www.hartfordschools.org",,,,,,"Schools",,,"Provides our students with an intensive, comprehensive education focusing on Chinese Mandarin language and East Asian cultures.","215 SOUTH ST
HARTFORD, Connecticut 06114
(41.734532, -72.6809)","SOUTH END"
"ASYLUM HILL EARLY LEARNING CENTER, DEPARTMENT OF FAMILIES, CHILDREN, YOUTH, AND RECREATION: CITY OF HARTFORD","814 ASYLUM AV",,"Hartford","6105","(860) 757-0750","hardk001@hartford.gov","http://dfcyr.hartford.gov/index.php/youngchildren/division-for-young-children-s-early-learning-centers",,,,"Early Childhood Education",,,,,"High-quality early childhood learning and development services year-round to infants, toddlers and preschool children, including those with special needs.","814 ASYLUM AV
HARTFORD, Connecticut 06105
(41.769609, -72.691763)","ASYLUM HILL"
"ASYLUM HILL NEIGHBORHOOD ASSOCIATION","814 ASYLUM AV",,"Hartford","6105","(860) 278-9398","chair@asylumhill.org","http://www.asylumhill.org",,,"Civic Engagement",,,,,,"Serves as the umbrella organization that empowers residents and supports connection and collaborations among all stakeholders to improve the quality of life in our neighborhood.","814 ASYLUM AV
HARTFORD, Connecticut 06105
(41.769609, -72.691763)","ASYLUM HILL"
"BETANCES STEM MAGNET (4-5)","585 WETHERSFIELD AV",,"Hartford","6114","(860) 695-2970","welcomecenter@hartfordschools.org","http://www.hartfordschools.org",,,,,,"Schools",,,"Offers and exposes students to 21st century skills that will ensure their value to society. They will learn and contribute to learning with a safe, positive, respectful, and ready to learn environment.","585 WETHERSFIELD AV
HARTFORD, Connecticut 06114
(41.739804, -72.671781)","SOUTH END"
"BILLINGS FORGE COMMUNITY WORKS","227 LAWRENCE ST",,"Hartford","6106","(860) 548-9877","cary@billingsfordworks.org","http://www.billingsforgeworks.org","Youth and Family Enrichment",,,,,,,,"Encourages community participation and empowerment in Frog Hollow through promoting access to healthy food; engaging youth; and developing employment opportunities; and economically sustainable social enterprises.","227 LAWRENCE ST
HARTFORD, Connecticut 06106
(41.762333, -72.687904)","FROG HOLLOW"
"BIRTH TO THREE INTERAGENCY COORDINATING COUNCIL","460 CAPITOL AV",,"Hartford","6106","(860) 888-4188","Lynn.S.Johnson@ct.gov","http://www.birth23.org",,,"Civic Engagement",,,,,,"Advises and assists the lead agency (Department of Developmental Services) in the implementation of the Birth to Three System.","460 CAPITOL AV
HARTFORD, Connecticut 06106
(41.76359, -72.69128)","FROG HOLLOW"
"BLUE HILLS CIVIC ASSOCIATION","846 ASYLUM AV",,"Hartford","6105","(860) 560-7670","bhca@bluehillscivic.org","http://www.bluehillscivic.org","Youth and Family Enrichment",,"Civic Engagement",,,,,,"Empowers residents and neighborhoods to become self-sufficient through advocacy, organizing and services for the betterment of Hartford.","846 ASYLUM AV
HARTFORD, Connecticut 06105
(41.76993, -72.69281)","ASYLUM HILL"
"BOYS AND GIRLS CLUBS OF HARTFORD","170 SIGOURNEY ST",,"Hartford","6105","(860) 929-7694","mkiernan-gonzalez@bgchartford.org","http://www.bgchartfordorg","Youth and Family Enrichment",,,,,,,,"Provides a safe, supportive atmosphere where children and teens can learn and grow and reach their full potential as productive, caring and responsible citizens.","170 SIGOURNEY ST
HARTFORD, Connecticut 06105
(41.771168, -72.693454)","ASYLUM HILL"
"BOYS & GIRLS CLUB HARTFORD AT BELLIZZI ASIAN STUDIES ACADEMY SCHOOL","215 SOUTH ST",,"Hartford","6103","(860) 724-0700","sswain@bgchartford.org","http://www.bgchartford.com","Youth and Family Enrichment",,,,,,,,"Provides a safe, supportive atmosphere where children and teens can learn and grow and reach their full potential as productive, caring and responsible citizens.","215 SOUTH ST
HARTFORD, Connecticut 06103
(41.734532, -72.6809)","SOUTH END"
"BOYS & GIRLS CLUB OF HARTFORD (NORTHWEST)","1 NAHUM DR",,"Hartford","6112","(860) 242-5553","ajohnson@bgchartford.org","#https://bgchartford.org/#","Youth and Family Enrichment",,,,,,,,"Provides a safe, supportive atmosphere where children and teens can learn and grow and reach their full potential as productive, caring and responsible citizens.","1 NAHUM DR
HARTFORD, Connecticut 06112
(41.803092, -72.707408)","BLUE HILLS"
"BOYS & GIRLS CLUB OF HARTFORD (SOUTHWEST)","1 CHANDLER ST",,"Hartford","6106","(860) 951-6416","ssanchez@bgchartford.org","http://www.bgchartford.com","Youth and Family Enrichment",,,,,,,,"Provides a safe, supportive atmosphere where children and teens can learn and grow and reach their full potential as productive, caring and responsible citizens.","1 CHANDLER ST
HARTFORD, Connecticut 06106
(41.743501, -72.704684)","BEHIND THE ROCKS"
"BOYS & GIRLS CLUB OF HARTFORD (TRINITY COLLEGE)","1500 BROAD ST",,"Hartford","6106","(860) 727-4154","agarcia@bgchartford.org","http://www.bgchartford.com","Youth and Family Enrichment",,,,,,,,"Provides a safe, supportive atmosphere where children and teens can learn and grow and reach their full potential as productive, caring and responsible citizens.","1500 BROAD ST
HARTFORD, Connecticut 06106
(41.748819, -72.687113)","BARRY SQUARE"
"BOYS & GIRLS CLUBS OF HARTFORD (CAPITAL PREPARATORY MAGNET SCHOOL)","1304 MAIN ST",,"Hartford","6103","(860) 724-0700","sswain@bgchartford.org","http://www.bgchartford.com","Youth and Family Enrichment",,,,,,,,"Provides a safe, supportive atmosphere where children and teens can learn and grow and reach their full potential as productive, caring and responsible citizens.","1304 MAIN ST
HARTFORD, Connecticut 06103
(41.772348, -72.676044)","DOWNTOWN"
"BOYS & GIRLS CLUBS OF HARTFORD EARLY LEARNING CENTER","170 SIGOURNEY ST",,"Hartford","6105","(860) 929-7675","csanders@bgchartford.org","http://www.bgchartford.com",,,,"Early Childhood Education",,,,,"Provides a safe, supportive atmosphere where children and teens can learn and grow and reach their full potential as productive, caring and responsible citizens.","170 SIGOURNEY ST
HARTFORD, Connecticut 06105
(41.771168, -72.693454)","ASYLUM HILL"
"BREAKTHROUGH II ELEMETARY SCHOOL (PK 3-6)","395 LYME ST",,"Hartford","6112","(860) 695-6380","info@breakthroughnorth.org","http://www.hartfordschools.org",,,,,,"Schools",,,"For staff, families, and community members of diverse backgrounds to work in partnership to develop students as models of outstanding character.","395 LYME ST
HARTFORD, Connecticut 06112
(41.804787, -72.704285)","BLUE HILLS"
"BREAKTHROUGH MAGNET SCHOOL (PK3-8)","290 BROOKFIELD ST",,"Hartford","6106","(860) 695-5700","welcomecenter@hartfordschools.org","http://www.hartfordschools.org",,,,,,"Schools",,,"Staff, families, and community members of diverse backgrounds working in partnership to develope students as models of outstanding character.","290 BROOKFIELD ST
HARTFORD, Connecticut 06106
(41.747153, -72.706594)","BEHIND THE ROCKS"
"BRIGHTER FUTURES FAMILY CENTER at  ASYLUM HILL FAMILY CENTER (managed by CATHOLIC CHARITIES)","60 GILLETTE ST",,"Hartford","6105","(860) 244-9944","mbish@ccaoh.org","http://www.ccaoh.org","Youth and Family Enrichment","Support Services",,,,,,,"Provides programs and services that support parents in their role as a child’s first nurturer, teacher and advocate.","60 GILLETTE ST
HARTFORD, Connecticut 06105
(41.75528, -72.720975)","ASYLUM HILL"
"BRIGHTER FUTURES FAMILY CENTER at EL CENTRO DE DESARROLLO Y REAFIRMACION FAMILIAR (managed by CATHOLIC CHARITIES)","45 WADSWORTH ST",,"Hartford","6106","(860) 524-6853","cdosal@ccaoh.org","http://www.ccaoh.org","Youth and Family Enrichment","Support Services",,,,,,,"Provides programs and services that support parents in their role as a child’s first nurturer, teacher and advocate.","45 WADSWORTH ST
HARTFORD, Connecticut 06106
(41.758879, -72.679432)","SOUTH GREEN"
"BRIGHTER FUTURES FAMILY CENTER at PARKVILLE FAMILY CENTER (managed by FAMILY LIFE EDUCATION)","30 ARBOR ST",,"Hartford","6106","(860) 233-9700","cmorales@familylifeedu.org  or ehuertas@familylifeedu.org","http://www.familylifeedu.org","Youth and Family Enrichment","Support Services",,,,,,,"Provide programs and services that support parents in their role as a child’s first nurturer, teacher and advocate.","30 ARBOR ST
HARTFORD, Connecticut 06106
(41.760069, -72.703081)","PARKVILLE"
"BRIGHTER FUTURES FAMILY CENTER at RAMBUH FAMILY CENTER (managed by THE VILLAGE FOR CHILDREN AND FAMILIES)","105 SPRING ST",,"Hartford","6105","(860) 236-4511 ext 3885","sgriffith@villageforchildren.org","http://www.thevillage.org","Youth and Family Enrichment","Support Services",,,,,,,"Brighter Futures Family Centers provide programs and services that support parents in their role as a child’s first nurturer, teacher and advocate.","105 SPRING ST
HARTFORD, Connecticut 06105
(41.771015, -72.683516)","ASYLUM HILL"
"BRIGHTER FUTURES FAMILY CENTER at SOUTHSIDE FAMILY CENTER (managed by CATHOLIC CHARITIES)","35 GROTON ST",,"Hartford","6106","(860) 297-7800","JCruz@ccaoh.org","http://www.ccaoh.org","Youth and Family Enrichment","Support Services",,,,,,,"Brighter Futures Family Centers provide programs and services that support parents in their role as a child’s first nurturer, teacher and advocate.","35 GROTON ST
HARTFORD, Connecticut 06106
(41.755379, -72.673372)","SHELDON-CHARTER OAK"
"BRIGHTER FUTURES FAMILY CENTERS at PARKER MEMORIAL COMMUNITY FAMILY CENTER (managed by CATHOLIC CHARITIES)","2621 MAIN ST",,"Hartford","6120","(860) 757-0827","drobinson@ccaoh.org","http://www.ccaoh.org","Youth and Family Enrichment","Support Services",,,,,,,"Brighter Futures Family Centers provide programs and services that support parents in their role as a child’s first nurturer, teacher and advocate.","2621 MAIN ST
HARTFORD, Connecticut 06120
(41.789326, -72.671631)","NORTH EAST"
"BRIGHT FUTURES YOUTH CENTERS","180 PLEASANT ST",,"Hartford","6103","(860) 525-0360","Unlisted/Unavailable","Unlisted/Unavailable","Youth and Family Enrichment",,,,,,,,"Introduces positive educational and recreational activities to inner-city youth as an alternative to ""street life.""","180 PLEASANT ST
HARTFORD, Connecticut 06103
(41.771484, -72.676278)","DOWNTOWN"
"BULKELEY HIGH SCHOOL - TEACHER PREPARATION AND HUMANITIES ACADEMIES (9-12)","300 WETHERSFIELD AV",,"Hartford","6114","(860) 695-1011","welcomecenter@hartfordschools.org","http://www.hartfordschools.org",,,,,,"Schools",,,"Attracts, recruits and trains students who have an interest in the field of education.","300 WETHERSFIELD AV
HARTFORD, Connecticut 06114
(41.747601, -72.673459)","BARRY SQUARE"
"BURNS LATINO STUDIES ACADEMY AT BURNS (PK 4-8)","195 PUTNAM ST",,"Hartford","6106","(860) 695-2980","welcomecenter@hartfordschools.org crisv001@hartfordschools.org","#https://www.hartfordschools.org/enroll/school-directory-2/burns-latino-studies-academy/#",,,,,,"Schools",,,"A community school in an urban setting, serving students in grades Pre-K through 8.","195 PUTNAM ST
HARTFORD, Connecticut 06106
(41.761181, -72.690452)","FROG HOLLOW"
"CAMP COURANT","285 BROAD ST",,"Hartford","6105","(860) 241-3792","Unlisted/Unavailable","http://www.campcourant.org","Youth and Family Enrichment",,,,,,,,"Provides a free summer sanctuary for Hartford children that enables them to develop positive relationships, learn and have fun.","285 BROAD ST
HARTFORD, Connecticut 06105
(41.764987, -72.686543)","DOWNTOWN"
"CAPITAL COMMUNITY COLLEGE","950 MAIN ST",,"Hartford","6103","(860) 906-5000","Unlisted/Unavailable","http://www.capitalcc.edu",,,,,,,"Higher Education",,"Provides access to higher education for the diverse residents of the greater Hartford region.","950 MAIN ST
HARTFORD, Connecticut 06103
(41.76836, -72.673045)","DOWNTOWN"
"CAPITAL COMMUNITY COLLEGE MAGNET ACADEMY (11-12)","950 MAIN ST",,"Hartford","6103","(860) 906-5122","welcomecenter@hartfordschools.org","http://www.hartfordschools.org",,,,,,"Schools",,,"Connects students in grades eleven and twelve with college and career readiness through dynamic and innovative partnerships with college faculty and students on the Capital Community College campus.","950 MAIN ST
HARTFORD, Connecticut 06103
(41.76836, -72.673045)","DOWNTOWN"
"CAPITAL PREPARATORY MAGNET SCHOOL(PK 3-12)","1304 MAIN ST",,"Hartford","6103","(860) 695-9800","Unlisted/Unavailable","http://www.capitalprep.org",,,,,,"Schools",,,"Creates a community of lifelong learners, students who will be assets to their community by working towards social justice.","1304 MAIN ST
HARTFORD, Connecticut 06103
(41.772348, -72.676044)","DOWNTOWN"
"CAPITAL WORKFORCE PARTNERS","1 UNION PL",,"Hartford","6103","(860) 522-1111","Unlisted/Unavailable","http://www.capitalworkforce.org",,,,,,,,"Workforce Development","Leverages public and private resources to produce skilled workers for a competitive regional economy.","1 UNION PL
HARTFORD, Connecticut 06103
(41.769395, -72.681249)","DOWNTOWN"
"CAPITOL CHILD DEVELOPMENT CENTER","450 BROAD ST",,"Hartford","6106","(860) 240-0330","bjwarner@capitolchild.org","http://www.cga.ct.gov/ccdc",,,,"Early Childhood Education",,,,,"Provides quality child care services for children 8-weeks through 5-years of age through full-year, full-day early care and education for up to 70 children from Hartford and its surrounding areas.","450 BROAD ST
HARTFORD, Connecticut 06106
(41.763273, -72.68666)","FROG HOLLOW"
"CAPITOL REGION EDUCATION COUNCIL","111 CHARTER OAK AV",,"Hartford","6106","(860) 247-2732","communications@crec.org","http://www.crec.org",,,,,,"Schools",,,"Works with boards of education of the Capitol Region to improve the quality of public education by promoting cooperation and collaboration with local school districts and other organizations committed to the improved quality of public education.","111 CHARTER OAK AV
HARTFORD, Connecticut 06106
(41.758569, -72.668312)","SHELDON-CHARTER OAK"
"CAPITOL REGION MENTAL HEALTH CENTER","500 VINE ST",,"Hartford","6112","(860) 297-0800","Unlisted/Unavailable","http://www.ct.gov/dmhas",,"Support Services",,,,,,,"Partnering with persons in recovery to ensure access to quality behavioral healthcare services.","500 VINE ST
HARTFORD, Connecticut 06112
(41.795957, -72.68765)","NORTH EAST"
"CAREER RESOURCES STRIVE PROGRAM","20 SARGEANT ST",,"Hartford","6105","(860) 560-0351","information@careerresources.org","http://www.careerresources.org",,,,,,,,"Workforce Development","Offers jobseekers throughout Connecticut the training, support, and resources needed to become employed and succeed in the workforce.","20 SARGEANT ST
HARTFORD, Connecticut 06105
(41.774592, -72.688016)","ASYLUM HILL"
"CATHEDRAL OF SAINT JOSEPH FOOD PANTRY","140 FARMINGTON AV",,"Hartford","6105","(860) 578-1434","Unlisted/Unavailable","http://www.homelessshelterdirectory.org",,"Support Services",,,,,,,"Food pantry serving only low-income residents of the Asylum Hill neighborhood.","140 FARMINGTON AV
HARTFORD, Connecticut 06105
(41.767904, -72.691684)","ASYLUM HILL"
"CATHOLIC CHARITIES ARCHDIOCESE OF HARTFORD","839 ASYLUM AV",,"Hartford","6105","(860) 493-1841","Unlisted/Unavailable","http://www.ccaoh.org","Youth and Family Enrichment","Support Services",,,,,,,"Promotes the dignity, self-sufficiency and potential of those in need.","839 ASYLUM AV
HARTFORD, Connecticut 06105
(41.769873, -72.692624)","ASYLUM HILL"
"CATHOLIC CHARITIES COMPREHENSIVE YOUTH SERVICES","35 GROTON ST",,"Hartford","6106","(860) 297-7800","Unlisted/Unavailable","http://www.ccaoh.org","Youth and Family Enrichment",,,,,,,,"Promotes the dignity, self-sufficiency and potential of those in need.","35 GROTON ST
HARTFORD, Connecticut 06106
(41.755379, -72.673372)","SHELDON-CHARTER OAK"
"CATHOLIC CHARITIES  EL CENTRO FAMILY CENTER","45 WADSWORTH ST",,"Hartford","6106","(860) 527-1124","Unlisted/Unavailable","http://www.ccaoh.org","Youth and Family Enrichment","Support Services",,,,,,,"Promotes the dignity, self-sufficiency and potential of those in need.","45 WADSWORTH ST
HARTFORD, Connecticut 06106
(41.758879, -72.679432)","SOUTH GREEN"
"CATHOLIC CHARITIES: EL PARAISO INFANTIL","45 WADSWORTH ST",,"Hartford","6106","(860) 524-6853","otoledo@ccaoh.org","http://www.ccaoh.org/childDev_FamCent_Paraiso.html",,,,"Early Childhood Education",,,,,"Offers quality, state licensed, full-time child care for children ages 3-5 years old.","45 WADSWORTH ST
HARTFORD, Connecticut 06106
(41.758879, -72.679432)","SOUTH GREEN"
"CATHOLIC CHARITIES - INSTITUTE FOR THE HISPANIC FAMILY","45 WADSWORTH ST",,"Hartford","6106","(860) 527-1124","Unlisted/Unavailable","http://www.ccaoh.org/",,"Support Services",,,,,,,,"45 WADSWORTH ST
HARTFORD, Connecticut 06106
(41.758879, -72.679432)","SOUTH GREEN"
"CATHOLIC CHARITIES MIGRATION, REFUGEE, AND IMMIGRATION SERVICES","35 GROTON ST",,"Hartford","6106","(860) 297-7800","Unlisted/Unavailable","http://www.ccaoh.org",,"Support Services",,,,,,,"Promotes the dignity, self-sufficiency and potential of those in need.","35 GROTON ST
HARTFORD, Connecticut 06106","SHELDON-CHARTER OAK"
"CATHOLIC CHARITIES: SS CYRIL AND METHODIUS EARLY CHILDHOOD CENTER","45 GROTON ST",,"Hartford","6105","(860) 527-3775","dplourde@ccaoh.org","http://www.ccaoh.org",,,,"Early Childhood Education",,,,,"Offers quality, state licensed, full-time child care for children ages 3-5 years old.","45 GROTON ST
HARTFORD, Connecticut 06105
(41.754838, -72.673233)","SHELDON-CHARTER OAK"
"CENTER FOR HUMAN DEVELOPMENT - ADULT MENTAL HEALTH - HARTFORD","237 HAMILTON ST","2nd Floor","Hartford","6106","(860) 951-3325","Unlisted/Unavailable","http://www.chd.org/adult-services/connecticut-programs",,"Support Services",,,,,,,"Provides a wide array of community-based mental health services and programs to help adults create sober, successful lives.","237 HAMILTON ST
HARTFORD, Connecticut 06106
(41.754228, -72.704047)","BEHIND THE ROCKS"
"CENTER FOR LATINO PROGRESS","95 PARK ST",,"Hartford","6106","(860) 247-3227","LatinoProgress@ctprf.org","http://www.ctprf.org",,,,,,,,"Workforce Development","Advances the socio-economic conditions of the community at large, with emphasis on Hispanics, through education, training, supportive services, leadership development, and advocacy.","95 PARK ST
HARTFORD, Connecticut 06106
(41.757345, -72.677726)","SOUTH GREEN"
"CENTRAL AREA HEALTH EDUCATION CENTER","20 SARGENT ST",,"Hartford","6105","(860) 920-5149","info@centralctahec.org","http://www.centralctahec.org","Youth and Family Enrichment","Support Services","Civic Engagement",,,,,,"Eliminates health disparities among diverse populations of Central Connecticut by providing and coordinating programs that improve the health status of all.","20 SARGENT ST
HARTFORD, Connecticut 06105
(41.774592, -72.688016)","ASYLUM HILL"
"CENTRO RENACER OF CONNECTICUT","164 BARTHOLOMEW AV",,"Hartford","6106","(860) 232-7353","Unlisted/Unavailable","http://www.http://www.centro-renacer.org/",,"Support Services",,,,,,,"Improves the lives of adults, youth and their families by providing successful bilingual treatment, education and holistic support services that assists in recovery from substance abuse problems and re-integration into the community.","164 BARTHOLOMEW AV
HARTFORD, Connecticut 06106
(41.752455, -72.704413)","BEHIND THE ROCKS"
