"organization_name","apt_suite","address","zipcode","telephone","email_address","website","category_1","category_2","category_3","category_4","category_5","category_6","category_7","category_8","mission","geospatial_data"
"HARTFORD PUBLIC LIBRARY - DWIGHT BRANCH",,,"06106","(860) 695-7460","reference@hplct.org","http://www.hplct.org","Youth and Family Enrichment","Support Services",,,,,,,"Provide free resources that inspire reading, guide learning, and encourage individual exploration.","7 NEW PARK AV
HARTFORD, Connecticut 06106
(41.756799, -72.706432)"
"CAREER RESOURCES STRIVE PROGRAM",,,"06105","(860) 560-0351","information@careerresources.org","http://www.careerresources.org",,,,,,,,"Workforce Development","Offer jobseekers throughout Connecticut the training, support, and resources needed to become employed and succeed in the workforce.","20 SARGEANT ST
HARTFORD, Connecticut 06105
(41.774592, -72.688016)"
"L.W. BATCHELDER ELEMENTARY (PK 4-8)",,,"06106","(860) 695-2720",,"http://www.hartfordschools.org",,,,,,"Schools",,,"Create a community of active learners, where we all interact collaboratively with parents and community organizations to develop and implement educational programs ensuring academic and social excellence for all","757 NEW BRITAIN AV
HARTFORD, Connecticut 06106
(41.733029, -72.707841)"
"ACTIVE CITY",,,"06105","(860) 212-9722","briangallagher82@gmail.com","http://www.activecity.org/","Youth and Family Enrichment",,,,,,,,"Our mission is to collectively transform Hartford into America’s most physically active city for children. It will ensure that all Hartford youth are involved in organized and affordable athletic programs. These programs will grow and develop their spirit","73 OXFORD ST
HARTFORD, Connecticut 06105
(41.764754, -72.713396)"
"YWCA - THE GROWING TREE EARLY LEARNING CENTER",,,"06105","(860) 548-2003",,"http://www.ywcahartford.org",,,,"Early Childhood Education",,,,,"Provide safety, structure and quality care to children so that their parents can prosper.","195 GARDEN ST
HARTFORD, Connecticut 06105
(41.773049, -72.687179)"
"E.B. KENNELLY ELEMENTARY SCHOOL (PK 4-8)",,,"06114","(860) 695-3860","welcomecenter@hartfordschools.org","http://www.hartfordschools.org",,,,,,"Schools",,,"Provide a dynamic learning community, with teachers and parents partnering to create a positive, high- achieving environment, where differences are valued.","180 WHITE ST
HARTFORD, Connecticut 06114
(41.73482, -72.695022)"
"MARIA C. SANCHEZ ELEMENTARY SCHOOL (PK 4-5)",,,"06106","(860) 695-4940",,"https://www.sanchezschool.com/",,,,,,"Schools",,,"Offer a full academic program that includes music, art, PE, Media and a partnership with Hartford Performs, ING, MI Casa, Girl Scouts, an active PTO and a new School Council.","176 BABCOCK ST
HARTFORD, Connecticut 06106
(41.758918, -72.689238)"
"UNITED WAY OF CENTRAL AND NORTHEASTERN CONNECTICUT",,,"06106","1 (800) 203-1234","info@unitedwayinc.org","http://www.unitedwayinc.org",,"Support Services",,,,,,,"Serves 40 towns in Central and Northeastern Connecticut to create positive change and achieve long-lasting results. Community priorities to advance the common good are education, income, health and a safety net of basic needs services.","30 LAUREL ST
HARTFORD, Connecticut 06106
(41.759879, -72.696833)"
"HARTFORD PROUD DRUMMER DRILL SQUAD",,,"06112","(860) 913-8282","hartfordproud@gmail.com","http://www.hartfordsproud.org/","Youth and Family Enrichment",,,,,,,,"Integrate movement, sound and artistry in the overall development of young people for success in school and in life.","69 MANSFIELD ST
HARTFORD, Connecticut 06112
(41.785737, -72.686185)"
"HARTFORD AREA SEVENTH DAY ADVENTIST PRESCHOOL (PK-9)",,,"06112","(860) 724-5777","office@hasdas.com","http://www.hasdas.com/",,,,,,"Schools",,,"Serve pre-kindergarten through grade eight children with a quality Christian education.","474 WOODLAND ST
HARTFORD, Connecticut 06112
(41.783113, -72.695789)"
"CONNECTICUT FAIR HOUSING CENTER"," 4th Floor",,"06106","(860) 247-4400","info@ctfairhousing.og","http://www.ctfairhousing.org",,"Support Services","Civic Engagement",,,,,,"The mission of the Center is to ensure that all people have equal access to housing opportunities in Connecticut. Because housing discrimination disproportionately affects people with low incomes, the Center focuses on the intersection of poverty and hous","221 MAIN ST
HARTFORD, Connecticut 06106
(41.758407, -72.675439)"
"OFFICE OF EARLY CHILDHOOD FAMILY SUPPORT SERVICES DIVISION:  STATE OF CONNECTICUT",,,"06103","(860) 500-4412","maggie.adair@ct.gov","http://www.ct.gov/oec",,,,,"Government Agency",,,,"Office of Early Childhood (OEC) develops a high-quality, comprehensive system of early childhood education among the wide array of early childhood programs in the state (including Head Start, child care and School Readiness). The OEC plays a key role in a","450 COLUMBUS BLVD
HARTFORD, Connecticut 06103
(41.767017, -72.6694)"
"THE FAMILY RESOURCE CENTER AT MARTIN LUTHER KING, JR. SCHOOL",,,"06112","(860) 695-4013","tgreen@thevillage.org","http://www.hartfordschools.org",,"Support Services",,,,,,,"We seek to satisfy families beyond their expectations by linking students, parents, principals, teachers, employees, and the community to available resources and ensure accurate information and quality assistance for all.","25 RIDGEFIELD ST
HARTFORD, Connecticut 06112
(41.785597, -72.696006)"
"MERCY HOUSING AND SHELTER CORPORATION",,,"06114","(860) 808-2040",,"http://www.mercyhousingct.org/index.htm",,"Support Services",,,,,,,"Provide housing assistance and supportive services to persons who are homeless or at risk of becoming homeless.","211 WETHERSFIELD AV
HARTFORD, Connecticut 06114
(41.750025, -72.673781)"
"CATHEDRAL OF SAINT JOSEPH FOOD PANTRY",,,"06105","(860) 578-1434",,"http://www.homelessshelterdirectory.org",,"Support Services",,,,,,,"Food pantry serving only low-income residents of the Asylum Hill neighborhood.","140 FARMINGTON AV
HARTFORD, Connecticut 06105
(41.767904, -72.691684)"
"HARTFORD PREK MAGNET SCHOOL",,,"06120","(860) 695-5820","welcomecenter@hartfordschools.org","http://www.hartfordschools.org",,,,,,"Schools",,,"Provide a social learning environment that nurtures and supports young children's natural ability to learn, experiment and explore through active engagement in structured play, inquiry-based instruction, interactive discussions around play and literature ","85 EDWARDS ST
HARTFORD, Connecticut 06120
(41.774536, -72.681497)"
"S.A.N.D. SCHOOL (K-8)",,,"06120","(860) 695-5040","welcomecenter@hartfordschools.org","http://sand.hartfordschools.org",,,,,,"Schools",,,"Collaborate with parents and community organizations to develop and implement educational programs ensuring academic and social excellence for all.","1750 MAIN ST
HARTFORD, Connecticut 06120
(41.778567, -72.676209)"
"COMMISSION ON HUMAN RIGHTS AND OPPORTUNITIES: STATE OF CONNECTICUT","7th Floor",,"06106","(860) 541-3400","Jamesj.oneill@ct.gov","http://www.ct.gov/chro",,,"Civic Engagement",,"Government Agency",,,,"Eliminate discrimination through civil and human rights law enforcement and to establish equal opportunity and justice for all persons within the state through advocacy and education.","25 SIGOURNEY ST
HARTFORD, Connecticut 06106
(41.765363, -72.693903)"
"JUMOKE ACADEMY HONORS AT THE HARTFORD CONSERVATORY (5-8)",,,"06105","(860) 527-0575",,"http://www.jumokeacademy.org",,,,,,"Schools",,,"Jumoke Academy Honors at the Hartford Conservatory (JAH-HC) is an honors middle school with an arts integrated focus. Our mission is to develop our scholars into mature, young adults who will make valuable contributions to the global society. Scholars wil","875 ASYLUM AV
HARTFORD, Connecticut 06105
(41.770264, -72.693896)"
"ADULT EDUCATION CENTER",,,"06106","(860) 695-5840","welcomecenter@hartfordschools.org","http://adulted.hartfordschools.org/",,"Support Services",,,,,"Higher Education",,"Engage adults in children's education by providing health information, life skills and parenting education, and  guidance on pursuing a college degree (for parent, child, or both!).","110 WASHINGTON ST
HARTFORD, Connecticut 06106
(41.759391, -72.682156)"
"GREATER HARTFORD LEGAL AID","3rd Floor",,"06105","(860) 541-5000","ghla@ghla.org","http://www.ghla.org",,"Support Services",,,,,,,"Achieve equal justice for poor people and  address the effects and root causes of poverty.","999 ASYLUM AV
HARTFORD, Connecticut 06105
(41.771495, -72.697802)"
"SALVATION ARMY - HARTFORD NORTH END LOCATION",,,"06120","(860) 543-8419",,"http://www.ctri.salvationarmy.org/SNE/NorthEnd","Youth and Family Enrichment",,,,,,,,"The After School Enrichment Project, which takes place during the school year, is an afterschool homework club. Each day after school, participants are picked up from Clark Elementary School and walked across the street to The Salvation Army. After receiv","100 NELSON ST
HARTFORD, Connecticut 06120
(41.787909, -72.678309)"
"SUBSTANCE ABUSE TREATMENT ENHANCEMENT PROJECT - REMOVE",,,"06112","(800) 563-4086",,"Unlisted/Unavailable",,"Support Services",,,,,,,"Provides case management services for chronic relapse substance abusers. Substance abuse case management services are provided for people who are HIV+, who are dually diagnosed, who are pregnant or who have medical conditions associated with their substan","500 BLUE HILLS AV
HARTFORD, Connecticut 06112
(41.799614, -72.695184)"
"CREC RIVER STREET EARLY LEARNING CENTER",,,"06106","(860) 727-8481","pszafir@crec.org","http://www.crec.org/rsp/",,,,"Early Childhood Education",,,,,"Because children learn through active exploration, experimentation, decision-making and problem-solving, the classroom is setup into centers of activities to create a rich, stimulating place for each of these types of learning to occur. These include area","34 SEQUASSEN ST
HARTFORD, Connecticut 06106
(41.756343, -72.665267)"
"HARTFORD PUBLIC LIBRARY - PARK STREET BRANCH",,,"06106","(860) 695-7500","reference@hplct.org","http://www.hplct.org","Youth and Family Enrichment","Support Services",,,,,,,"Provide free resources that inspire reading, guide learning, and encourage individual exploration.","744 PARK ST
HARTFORD, Connecticut 06106
(41.758113, -72.68959)"
"ACCESS HEALTH CT","11th Floor",,"06103","1-855-909-2428",,"http://www.accesshealthct.com/",,"Support Services",,,,,,,"Meet the requirements of the federal Health Care Reform law (or Affordable Care Act).","280 TRUMBULL ST
HARTFORD, Connecticut 06103
(41.768113, -72.675496)"
"YOUTH CHALLENGE OF CT",,,"06105","(860) 728-5199",,"http://www.youthchallenge.org",,"Support Services",,,,,,,"Operate residential programs and conducts outreach to help people with alcohol and other drug problems find drug free, productive, and meaningful lives.","15 MAY ST
HARTFORD, Connecticut 06105
(41.773968, -72.694151)"
"NAMI CONNECTICUT",,,"06105","(860) 882-0236","membership@namict.org","http://www.namict.org",,"Support Services","Civic Engagement",,,,,,"Improve the quality of life for all those affected by mental health conditions through engaging in support, education and advocacy.","576 FARMINGTON AV
HARTFORD, Connecticut 06105
(41.766115, -72.711796)"
"BETANCES STEM MAGNET (4-5)",,,"06114","(860) 695-2970","welcomecenter@hartfordschools.org","http://www.hartfordschools.org",,,,,,"Schools",,,"Betances STEM Magnet School is an innovative learning community.  The focus on Science, Technology, Engineering and Math (STEM) and their inclusion into the traditional curriculum serve as an incentive for students to move from ""learning to read"" to ""rea","585 WETHERSFIELD AV
HARTFORD, Connecticut 06114
(41.739804, -72.671781)"
"BRIGHTER FUTURES FAMILY CENTER at  ASYLUM HILL FAMILY CENTER (managed by CATHOLIC CHARITIES)",,,"06105","(860) 244-9944","mbish@ccaoh.org","http://www.ccaoh.org","Youth and Family Enrichment","Support Services",,,,,,,"Brighter Futures Family Centers provide programs and services that support parents in their role as a child’s first nurturer, teacher and advocate.","60 GILLETTE ST
HARTFORD, Connecticut 06105
(41.75528, -72.720975)"
"HARTFORD FOOD SYSTEM","Suite 302",,"06114","(860) 296-9325","hartfordfood@hartfordfood.org","http://www.hartfordfood.org",,,"Civic Engagement",,,,,,"Fight hunger and improve nutrition in our community and build a healthy, culturally-responsive, resilient and sustainable food system that meets the needs of all community members.","1 CONGRESS ST
HARTFORD, Connecticut 06114
(41.755247, -72.676145)"
"OUR PIECE OF THE PIE, INC.",,,"06105","(860) 761-7300","Bob.rath@opp.org","http://www.opp.org","Youth and Family Enrichment",,,,,,,"Workforce Development","Helping urban youth become economically independent adults.","20 SARGENT ST
HARTFORD, Connecticut 06105
(41.774592, -72.688016)"
"JOHN C CLARK, JR. ELEMENTARY & MIDDLE SCHOOL (PK 4-8)",,,"06120","(860) 695-3240","welcomecenter@hartfordschools.org","http://www.hartfordschools.org",,,,,,"Schools",,,"Hartfordâ€™s system of schools exists to provide all students with access to participation in a global economy through attainment of Academic Standards of the State of Connecticut and readiness for post-secondary education.","75 CLARK ST
HARTFORD, Connecticut 06120
(41.786704, -72.677438)"
