"permit_number","apply_date","issue_date","expire_date","value","work_description","work_class","division","parcelid","status","permit_type","address","unit_or_suite","global_entity_name","first_name","last_name","geom"
"20110056-B000","2011-01-04T00:00:00.000","2011-01-11T00:00:00.000Z","2011-07-10T00:00:00.000Z","5000","FIRE DAMAGE REPAIR BEDROOM, DRYWALL, INSULATION, FLOORS, | PAINT, TRIM (3RD FL - #302)MUNIS Permit Number: 20110032","Alteration","Building (L&I) - Alteration","134387131","Closed","Building (Residential)","16 EVERGREEN AV","3 FL",,"MANNARINO BUILDERS & RESTORATION",,"
,  
(41.765811307926924, -72.70911387244146)"
"20110053-E000","2011-01-04T00:00:00.000","2011-01-31T00:00:00.000Z","2011-07-30T00:00:00.000Z","22925","POWER,LIGHTING, FIRE ALARM, AND DATA CABLING FOR MERCATOR | RISK FIT-OUT (2ND FLOOR)MUNIS Permit Number: 20110038","Commercial","Building (L&I)/(DPW) - Commercial","246346034","Issued","Electrical","100 PEARL ST","2FL","100 PEARL STREET LLC",,,"
,  
(41.76623325738363, -72.6748175413191)"
"20110041-M000","2011-01-04T00:00:00.000","2011-01-19T00:00:00.000Z","2011-07-18T00:00:00.000Z","3200","REMOVE EXISTING GAS FURNACE AND INSTALL 1-GOODMAN GMH95045 | GAS HOT AIR FURNACE (45,000 BTU 95% EFFICIENT)MUNIS Permit Number: 20110026","Residential","Building (L&I)/(DPW) - Residential, HCE CAO, HPA","178257116","Issued","Mechanical","45 WILLARD ST","2AR","KENNEDY'S PLUMBING & HEATING INC","WIESLAWA","KENNEDY","
,  
(41.77243914219576, -72.6954552531307)"
"20110057-B000","2011-01-04T00:00:00.000","2011-01-11T00:00:00.000Z","2011-07-10T00:00:00.000Z","65000","REPAIR ROOF, REPLACE SHINGLES, SIDING, REPLACE INSULATION, | DRYWALL, TRIM, NEW FLOORS, DEMO WALLS, FIRE DAMAGE, DRYWALLMUNIS Permit Number: 20110031","Alteration","Building (L&I) - Alteration","251665104","Issued","Building (Residential)","18 WHITMORE ST",,,"MANNARINO BUILDERS & RESTORATION",,"
,  
(41.74527388738397, -72.67769113385465)"
"20110045-M000","2011-01-04T00:00:00.000","2011-01-10T00:00:00.000Z","2011-07-09T00:00:00.000Z","45000","RELOCATE EXISTING HEATING/COOLING DUCTWORK & VAVS, REPAIR | EXISTING COILS FROM EXIST HEATING, INSTALLEXHAUST DUCT & FANMUNIS Permit Number: 20110012","Commercial","Building (L&I)/(DPW) - Commercial","206533005","Issued","Mechanical","300 SUMMIT ST","BASEM",,"THE EUGENE STEINBERG CO/HEATING",,"
,  
(41.74869650063637, -72.69281398871765)"
"20110065-C020","2011-01-04T00:00:00.000","2011-03-24T00:00:00.000Z",,"900","INSTALLATION OF SECURITY LIGHTS ON NEW BACK PORCHES IN THE | EXTERIOR STAIRWELLS (BLDG #10 - BACK PORCH)MUNIS Permit Number: 20110739","Residential","Building (L&I)/(DPW) - Residential, HCE CAO, HPA","294568054","Issued","Certificate of Approval","64 VAN BLOCK AV","9A",,"COLT ESTATE CONDO ASSOC",,"
,  
(41.75518027284726, -72.66498100897948)"
"20110047-B000","2011-01-04T00:00:00.000","2011-01-11T00:00:00.000Z","2011-07-10T00:00:00.000Z","14000","REPLACE ROOF, REMOVE EXISTING FLAT ROOF, INSTALL MEMBRANE | ROOF MATERIAL WITH INSULATION 1,200 S.F.MUNIS Permit Number: 20110028","Reroof (1 and 2 Family)","Reroof (1 and 2 Family)","203429203","Issued","Building (Residential)","178 LAWRENCE ST",,,"IBN CONSTRUCTION CORP",,"
,  
(41.76108666738923, -72.68780042751631)"
"20110064-C020","2011-01-04T00:00:00.000","2011-03-24T00:00:00.000Z",,"900","INSTALLATION OF SECURITY LIGHTS ON NEW BACK PORCHES IN THE | EXTERIOR STAIRWELLS (BLDG #8 - BACK PORCH)MUNIS Permit Number: 20110740","Residential","Building (L&I)/(DPW) - Residential, HCE CAO, HPA","294568054","Issued","Certificate of Approval","64 VAN BLOCK AV","9A",,"COLT ESTATE CONDO ASSOC",,"
,  
(41.75518027284726, -72.66498100897948)"
"20110043-B000","2011-01-04T00:00:00.000","2011-01-11T00:00:00.000Z","2011-07-10T00:00:00.000Z","14000","REPLACEMENT ROOF, REMOVE EXISTING FLAT ROOF MATERIAL, | INSTALL MEMBRANE ROOF W/ INSULATION 1200 S.F.MUNIS Permit Number: 20110026","Reroof (1 and 2 Family)","Reroof (1 and 2 Family)","203429202","Issued","Building (Residential)","186 LAWRENCE ST",,,"IBN CONSTRUCTION CORP",,"
,  
(41.76126069105604, -72.68780579363612)"
"20110048-B000","2011-01-04T00:00:00.000","2011-01-11T00:00:00.000Z","2011-07-10T00:00:00.000Z","14000","REPLACE ROOF, REMOVE EXISTING FLAT ROOF MATERIAL, INSTALL | MEMBRANE ROOF WITH INSULATION 1,200 SFMUNIS Permit Number: 20110029","Reroof (1 and 2 Family)","Reroof (1 and 2 Family)","203429206","Issued","Building (Residential)","170 LAWRENCE ST",,,"IBN CONSTRUCTION CORP",,"
,  
(41.76082977765461, -72.68779513995216)"
"20110064-E000","2011-01-04T00:00:00.000","2011-03-17T00:00:00.000Z","2011-09-13T00:00:00.000Z","900","INSTALLATION OF SECURITY LIGHTS ON NEW BACK PORCHES IN THE | EXTERIOR STAIRWELLS (BLDG #8 - BACK PORCH)MUNIS Permit Number: 20110205","Residential","Building (L&I)/(DPW) - Residential, HCE CAO, HPA","294568054","Issued","Electrical","64 VAN BLOCK AV","9A",,"COLT ESTATE CONDO ASSOC",,"
,  
(41.75518027284726, -72.66498100897948)"
"20110046-B000","2011-01-04T00:00:00.000","2011-01-11T00:00:00.000Z","2011-07-10T00:00:00.000Z","14000","REPLACE ROOF, REMOVE EXISTING FLAT ROOF, INSTLL MEMBRANE | ROOF MATERIAL WITH INSULATION 1200 S.F.MUNIS Permit Number: 20110027","Reroof (1 and 2 Family)","Reroof (1 and 2 Family)","203429205","Issued","Building (Residential)","172 LAWRENCE ST",,,"IBN CONSTRUCTION CORP",,"
,  
(41.76089607084545, -72.68779507621406)"
"20110040-B000","2011-01-04T00:00:00.000","2011-01-11T00:00:00.000Z","2011-07-10T00:00:00.000Z","11000","REPLACE (20) WINDOWS AND (2) DOORS, | BASEMENT DOORS (2) "" HATCHWAY"", BASEMENT WINDOWS (2)MUNIS Permit Number: 20110025","Alteration","Building (L&I) - Alteration","260063044","Issued","Building (Residential)","120 TOWER AV",,,"E SOTO RENOVATIONS LLC",,"
,  
(41.79749864440709, -72.6685188669137)"
"20110050-B000","2011-01-04T00:00:00.000","2011-01-11T00:00:00.000Z","2011-07-10T00:00:00.000Z","14000","REPLACE ROOF, REMOVE EXISTING FLAT ROOF, INSTALL MEMBRANE | ROOF MATERIAL WITH INSULATION 1,200 S.F.MUNIS Permit Number: 20110030","Reroof (1 and 2 Family)","Reroof (1 and 2 Family)","203429207","Issued","Building (Residential)","164 LAWRENCE ST",,,"IBN CONSTRUCTION CORP",,"
,  
(41.7606806175425, -72.68779528336282)"
"20110054-E000","2011-01-04T00:00:00.000","2011-01-31T00:00:00.000Z","2011-07-30T00:00:00.000Z","20800","POWER, LIGHTING, FIRE ALARM FOR IKON OFFICE FIT-OUT. NO LOW | VOLTAGE CABLING OTHER THAN FIRE ALARM (3RD FLOOR - ""IKON"")MUNIS Permit Number: 20110039","Commercial","Building (L&I)/(DPW) - Commercial","246346034","Issued","Electrical","100 PEARL ST",,"HADDEN HOME SERVICES","Royce","Hadden","
,  
(41.76623325738363, -72.6748175413191)"
"20110057-C020","2011-01-04T00:00:00.000","2012-09-17T00:00:00.000Z",,"65000","REPAIR ROOF, REPLACE SHINGLES, SIDING, REPLACE INSULATION, | DRYWALL, TRIM, NEW FLOORS, DEMO WALLS, FIRE DAMAGE, DRYWALLMUNIS Permit Number: 20120661","Residential","Building (L&I)/(DPW) - Residential, HCE CAO, HPA","251665104","Issued","Certificate of Approval","18 WHITMORE ST",,"NADLER BONNIE",,,"
,  
(41.74527388738397, -72.67769113385465)"
"20110038-M000","2011-01-04T00:00:00.000","2011-01-28T00:00:00.000Z","2011-07-27T00:00:00.000Z","2500","REPAIR ALL MISSING HEATING PIPING AND BOILER MISSING PARTS | AND DAMAGE PARTS (BASEMENT)MUNIS Permit Number: 20110049","Residential","Building (L&I)/(DPW) - Residential, HCE CAO, HPA","204525044","Issued","Mechanical","596 ZION ST",,,"HR HEATING SERVICES",,"
,  
(41.757260304990474, -72.69180484968139)"
"20110066-E000","2011-01-04T00:00:00.000","2011-02-02T00:00:00.000Z","2011-08-01T00:00:00.000Z","350","CHANGE OUT 5 EMERGENCY LIGHTS IN FRONT AND REAR | HALLWAYSMUNIS Permit Number: 20110053","Residential","Building (L&I)/(DPW) - Residential, HCE CAO, HPA","241166064","Issued","Electrical","48 CAPEN ST","1B",,"TAYLOR ELECTRIC LLC",,"
,  
(41.784916840212375, -72.6768551769597)"
"20110058-E000","2011-01-04T00:00:00.000","2011-01-31T00:00:00.000Z","2011-07-30T00:00:00.000Z","10000","NEW ELECTRICAL WIRING, NEW 200 AMP 2 FAMILY SERVICEMUNIS Permit Number: 20110040","Residential","Building (L&I)/(DPW) - Residential, HCE CAO, HPA","229548105","Issued","Electrical","49 SCHOOL ST",,"DIRECT ELECTRICAL SERVICES LLC","MICHAEL","COLLINS","
,  
(41.74744566996493, -72.68581623588489)"
"20110065-E000","2011-01-04T00:00:00.000","2011-03-17T00:00:00.000Z","2011-09-13T00:00:00.000Z","900","INSTALLATION OF SECURITY LIGHTS ON NEW BACK PORCHES IN THE | EXTERIOR STAIRWELLS (BLDG #10 - BACK PORCH)MUNIS Permit Number: 20110206","Residential","Building (L&I)/(DPW) - Residential, HCE CAO, HPA","294568054","Issued","Electrical","64 VAN BLOCK AV","9A","WILLETT ELECTRIC INC",,,"
,  
(41.75518027284726, -72.66498100897948)"
"20110056-C020","2011-01-04T00:00:00.000","2011-03-07T00:00:00.000Z",,"5000","FIRE DAMAGE REPAIR BEDROOM, DRYWALL, INSULATION, FLOORS, | PAINT, TRIM (3RD FL - #302)MUNIS Permit Number: 20110150","Residential","Building (L&I)/(DPW) - Residential, HCE CAO, HPA","134387131","Closed","Certificate of Approval","16 EVERGREEN AV","3 FL","WEST END APARTMENTS I LLC",,,"
,  
(41.765811307926924, -72.70911387244146)"
"20110066-B000","2011-01-04T00:00:00.000","2011-02-02T00:00:00.000Z","2011-08-01T00:00:00.000Z","350","CHANGE OUT 5 EMERGENCY LIGHTS IN FRONT AND REAR | HALLWAYSMUNIS Permit Number: 20110080","Residential","Building (L&I)/(DPW) - Residential, HCE CAO, HPA","241166064","Withdrawn","Electrical","48 CAPEN ST","1B",,"TAYLOR ELECTRIC LLC",,"
,  
(41.784916840212375, -72.6768551769597)"
"20110052-S000","2011-01-04T00:00:00.000","2011-01-10T00:00:00.000Z","2011-07-09T00:00:00.000Z","5500","INSTALL (2) WALL SIGNS - 128.06 SF AND 91.39 SF | ("" CT TRANSIT"" / ""HYDROGEN FUEL CELL BUS -PROGRAM FACILITY"")MUNIS Permit Number: 20110003","Commercial","Building (L&I)/(DPW) - Commercial","308077008","Issued","Sign","100 LEIBERT RD",,"LAURETANO SIGN GROUP","ALYSON","Ibbotson","
,  
(41.78453695273342, -72.65578055381955)"
"20110078-B000","2011-01-05T00:00:00.000","2011-01-11T00:00:00.000Z","2011-07-10T00:00:00.000Z","6500","REMOVE ALL EXIST LAYER OF ROOFING,PROVIDE & INSTALL APPROX. | 11SF OF NEW GAF TIMBERLANE, 30YR ARCHT. SHINGLES, REMOVE&REBMUNIS Permit Number: 20110033","Alteration","Building (L&I) - Alteration","144710097","Issued","Building (Residential)","42 SPRAGUE ST",,,"J SIGNOR EXTERIORS LLP",,"
,  
(41.72751085461497, -72.71127302627785)"
"20110079-P000","2011-01-05T00:00:00.000","2011-02-04T00:00:00.000Z","2011-08-03T00:00:00.000Z","8000","INSTALL ALL NEW PLUMBING & FIXTURES (3 TOILETS,2 BATHTUBS, | 3 SINKS, 1 SHOWER/TUB, 40 GAL INDIRECT HOT WATER HEATER)MUNIS Permit Number: 20110020","Residential","Building (L&I)/(DPW) - Residential, HCE CAO, HPA","239116168","Issued","Plumbing","52 WESTLAND ST",,,"TORAAL DEVELOPMENT LLC","N/A","
,  
(41.789903879488236, -72.67450213303097)"
"20110081-M000","2011-01-05T00:00:00.000","2011-01-31T00:00:00.000Z","2011-07-30T00:00:00.000Z","10000","INSTALL COMPLETE NEW HEATING SYSTEM BASEBOARD HEAT LOOP | BOILER & GAS PIPING (70,000 BTU'S WEIL MCLAIN BOILER )MUNIS Permit Number: 20110051","Residential","Building (L&I)/(DPW) - Residential, HCE CAO, HPA","239116167","Issued","Mechanical","56 WESTLAND ST",,,"TORAAL DEVELOPMENT LLC","N/A","
,  
(41.78994128537595, -72.6746792523442)"
"20110080-P000","2011-01-05T00:00:00.000","2011-01-31T00:00:00.000Z","2011-07-30T00:00:00.000Z","10000","INSTALL COMPLETE NEW HEATING SYSTEM BASEBOARD HEAT LOOP | AND BOILER (70,000 BTU'S WEIL MCLAIN BOILER)MUNIS Permit Number: 20110010","Residential","Building (L&I)/(DPW) - Residential, HCE CAO, HPA","239116168","Withdrawn","Plumbing","52 WESTLAND ST",,,"TORAAL DEVELOPMENT LLC","N/A","
,  
(41.789903879488236, -72.67450213303097)"
"20110085-C020","2011-01-05T00:00:00.000","2011-03-15T00:00:00.000Z",,"1000","REPLACE EXISTING BACKWATER VALVEMUNIS Permit Number: 20110487","Residential","Building (L&I)/(DPW) - Residential, HCE CAO, HPA","197206072","Issued","Certificate of Approval","252 EDGEWOOD ST",,"CHANNER JENNIFE M",,,"
,  
(41.78545092574341, -72.69058925473867)"
"20110083-P000","2011-01-05T00:00:00.000","2011-02-03T00:00:00.000Z","2011-08-02T00:00:00.000Z","1000","REPLACE EXISTING BACKWATER VALVEMUNIS Permit Number: 20110018","Residential","Building (L&I)/(DPW) - Residential, HCE CAO, HPA","143713148","Issued","Plumbing","46 NEPAUG ST",,"WILLIAMS CYNTHIA",,,"
,  
(41.73046854251709, -72.70929107139763)"
"20110075-S000","2011-01-05T00:00:00.000","2011-02-16T00:00:00.000Z","2011-08-15T00:00:00.000Z","100","ERECT NEW SIGN IN FRONT OF ESTABLISHMENT | (JACKSON HEWITT TAX SERVICES & PROGRESSIVE)MUNIS Permit Number: 20110025","Residential","Building (L&I)/(DPW) - Residential, HCE CAO, HPA","248461144","Issued","Sign","72 MAIN ST",,"SOKOLI LLC",,,"
,  
(41.75632251511568, -72.67502826130242)"
"20110083-C020","2011-01-05T00:00:00.000","2011-03-15T00:00:00.000Z",,"1000","REPLACE EXISTING BACKWATER VALVEMUNIS Permit Number: 20110489","Residential","Building (L&I)/(DPW) - Residential, HCE CAO, HPA","143713148","Issued","Certificate of Approval","46 NEPAUG ST",,"WILLIAMS CYNTHIA",,,"
,  
(41.73046854251709, -72.70929107139763)"
"20110082-P000","2011-01-05T00:00:00.000","2011-02-04T00:00:00.000Z","2011-08-03T00:00:00.000Z","8000","INSTALL COMPLETE NEW PLUMBING SYSTEM (3 TOILETS,2 BATHTUBS, | 3 LAVS,2 SINKS,1 SHOWER/TUB,40 GAL INDIRECT HOT WATER HEATERMUNIS Permit Number: 20110021","Residential","Building (L&I)/(DPW) - Residential, HCE CAO, HPA","239116167","Issued","Plumbing","56 WESTLAND ST",,,"TORAAL DEVELOPMENT LLC","N/A","
,  
(41.78994128537595, -72.6746792523442)"
"20110074-P000","2011-01-05T00:00:00.000","2011-02-04T00:00:00.000Z","2011-08-03T00:00:00.000Z","5975","REMOVE GAS WATER HEATER, REPLACE WITH ELECTRIC | WATER HEATER (SUB-BASEMENT)MUNIS Permit Number: 20110019","Commercial","Building (L&I)/(DPW) - Commercial","269353003","Issued","Plumbing","750 MAIN ST","1ST",,"EASTERN WATER SOLUTIONS INC",,"
,  
(41.76542839047328, -72.67320801492677)"
"20110080-M000","2011-01-05T00:00:00.000","2011-02-08T00:00:00.000Z","2011-08-07T00:00:00.000Z","10000","INSTALL COMPLETE NEW HEATING SYSTEM BASEBOARD HEAT LOOP | AND BOILER (70,000 BTU'S WEIL MCLAIN BOILER)MUNIS Permit Number: 20110065","Residential","Building (L&I)/(DPW) - Residential, HCE CAO, HPA","239116168","Issued","Mechanical","52 WESTLAND ST",,,"TORAAL DEVELOPMENT LLC","N/A","
,  
(41.789903879488236, -72.67450213303097)"
"20110073-M000","2011-01-05T00:00:00.000","2011-01-31T00:00:00.000Z","2011-07-30T00:00:00.000Z","115000","SELECTIVE DEMO, INSTALL, (2) FAN COILS, ASSOCIATED DUCTWORK, | INSULATION (1) EXHAUST FAN, REGISTERS & GRILLES, BALANCINGMUNIS Permit Number: 20110050","Commercial","Building (L&I)/(DPW) - Commercial","268351016","Issued","Mechanical","30 STATE HOUSE SQUARE",,"ACCRA TEMP INC",,,"
,  
(41.76575041238158, -72.67117621205087)"
"20110084-P000","2011-01-05T00:00:00.000","2011-02-04T00:00:00.000Z","2011-08-03T00:00:00.000Z","1000","REPLACE EXISTING BACKWATER VALVEMUNIS Permit Number: 20110022","Residential","Building (L&I)/(DPW) - Residential, HCE CAO, HPA","185523040","Issued","Plumbing","226 HILLSIDE AV",,"EVANS PATRICIA",,,"
,  
(41.746179873195345, -72.69817728818808)"
"20110085-P000","2011-01-05T00:00:00.000","2011-02-04T00:00:00.000Z","2011-08-03T00:00:00.000Z","1000","REPLACE EXISTING BACKWATER VALVEMUNIS Permit Number: 20110023","Residential","Building (L&I)/(DPW) - Residential, HCE CAO, HPA","197206072","Issued","Plumbing","252 EDGEWOOD ST",,"CHANNER JENNIFE M",,,"
,  
(41.78545092574341, -72.69058925473867)"
"20110084-C020","2011-01-05T00:00:00.000","2011-06-20T00:00:00.000Z",,"1000","REPLACE EXISTING BACKWATER VALVEMUNIS Permit Number: 20110975","Residential","Building (L&I)/(DPW) - Residential, HCE CAO, HPA","185523040","Issued","Certificate of Approval","226 HILLSIDE AV",,"EVANS PATRICIA",,,"
,  
(41.746179873195345, -72.69817728818808)"
"20110086-M000","2011-01-05T00:00:00.000","2011-07-28T00:00:00.000Z","2012-01-24T00:00:00.000Z","1600","COVERT FROM OIL TO GAS, RUN GAS PIPING AND PRESSURE TEST | LINEMUNIS Permit Number: 20110349","Residential","Building (L&I)/(DPW) - Residential, HCE CAO, HPA","189747130","Issued","Mechanical","125 FREEMAN ST",,,"HR HEATING SERVICES",,"
,  
(41.73196999190392, -72.6933265902462)"
"20110097-P000","2011-01-06T00:00:00.000","2011-01-20T00:00:00.000Z","2011-07-19T00:00:00.000Z","825","INSTALLING HAND WASH SINK PER HEALTH DEPARTMENTMUNIS Permit Number: 20110007","Residential","Building (L&I)/(DPW) - Residential, HCE CAO, HPA","226537059","Issued","Plumbing","507 PARK ST",,,"BERTS PLUMBING LLC",,"
,  
(41.7578700173883, -72.68523040217458)"
"20110093-M000","2011-01-06T00:00:00.000","2011-01-20T00:00:00.000Z","2011-07-19T00:00:00.000Z","1075","REPLACE EXISTING 40 GALLON HOT WATER HEATER WITH SAMEMUNIS Permit Number: 20110029","Residential","Building (L&I)/(DPW) - Residential, HCE CAO, HPA","162500103","Withdrawn","Mechanical","331 SAYBROOKE ST",,,"CT NATURAL GAS CORP",,"
,  
(41.744093460220064, -72.70244997827045)"
"20110094-C020","2011-01-06T00:00:00.000","2012-02-03T00:00:00.000Z",,"5500","RELOCATE HEADS AS REQUIRED, 40 HEADS (2ND FLOOR)MUNIS Permit Number: 20120104","Commercial","Building (L&I)/(DPW) - Commercial","246346034","Issued","Certificate of Approval","100 PEARL ST",,"100 PEARL STREET LLC",,,"
,  
(41.76623325738363, -72.6748175413191)"
"20110088-E000","2011-01-06T00:00:00.000","2011-02-08T00:00:00.000Z","2011-08-07T00:00:00.000Z","485","REPLACE KITCHEN VENT FAN, GFI'S & DEVICES, INSTALL NEW | WIRING TO FAN, FIRE CAULK AS NECESSARY (APT C-3)MUNIS Permit Number: 20110066","Residential","Building (L&I)/(DPW) - Residential, HCE CAO, HPA","178261406","Closed","Electrical","175 SIGOURNEY ST",,"HARTFORD LLC",,,"
,  
(41.77152261505344, -72.69368490545307)"
"20110095-P000","2011-01-06T00:00:00.000","2011-02-04T00:00:00.000Z","2011-08-03T00:00:00.000Z","975","REPLACE EXISTING 40 GALLON HOTWATER HEATERMUNIS Permit Number: 20110024","Residential","Building (L&I)/(DPW) - Residential, HCE CAO, HPA","188736091","Issued","Plumbing","76 HUMPHREY ST",,,"CT NATURAL GAS CORP",,"
,  
(41.73323151963413, -72.69742984274522)"
"20110104-M000","2011-01-06T00:00:00.000","2011-02-04T00:00:00.000Z","2011-08-03T00:00:00.000Z","22000","INSTALL 2-2TON WATER SOURCE HEAT PUMPS & DUCT SYSTEMS, | 4 BATH FANS,2 HRV VENTILATORS PER DRAWINGS & SPECIFICATIONSMUNIS Permit Number: 20110061","Residential","Building (L&I)/(DPW) - Residential, HCE CAO, HPA","262115001","Issued","Mechanical","100 EARLE ST",,,"VIOLETTE MECHANICAL LLC",,"
,  
(41.79172246266995, -72.67399618986411)"
"20110094-K000","2011-01-06T00:00:00.000","2011-02-07T00:00:00.000Z","2011-08-06T00:00:00.000Z","5500","RELOCATE HEADS AS REQUIRED, 40 HEADS (2ND FLOOR)MUNIS Permit Number: 20110005","Commercial","Building (L&I)/(DPW) - Commercial","246346034","Issued","Fire Suppression","100 PEARL ST",,,"AMERICAN PIPING OF CONN INC",,"
,  
(41.76623325738363, -72.6748175413191)"
"20110088-C020","2011-01-06T00:00:00.000","2018-06-20T00:00:00.000Z",,"485","REPLACE KITCHEN VENT FAN, GFI'S & DEVICES, INSTALL NEW | WIRING TO FAN, FIRE CAULK AS NECESSARY (APT C-3)","Residential","Building (L&I)/(DPW) - Residential, HCE CAO, HPA","178261406","Closed","Certificate of Approval","175 SIGOURNEY ST",,"HARTFORD LLC",,,"
,  
(41.77152261505344, -72.69368490545307)"
"20110099-Z000","2011-01-06T00:00:00.000","2011-01-31T00:00:00.000Z","2011-07-30T00:00:00.000Z","29350","DEMOLISH, REMOVE & DISPOSE OF (1) MODULAR SINGLE STORY | STRUCTURE, RESTORE TO GRADEMUNIS Permit Number: 20110010","Commercial","Building (L&I)/(DPW) - Commercial","273581016","Issued","Demolition","31 WAWARME AV",,,"MITCHELL ASSOC INC",,"
,  
(41.74939708784103, -72.67218132817811)"
