"title","artist_s","materials","date_made","acquisition_date"
"FOUNTAIN AND STATUE","BOLDSEN, Thyra","Tile, stone",,
"VAUGHN STREET ELEMENTARY SCHOOL MURAL DOCUMENTARY PHOTOGRAPH","BOLTUCH, Glenna","Photograph","Unknown",
"PIER AND TIDE","BOWMAN, Dorothy","Serigraph","1956",
"FIGHTING COCKS","BRADFORD, Howard","Oil on canvas","1953",
"QUEEN OF SHEBA","BRADSHAW, William","Oil on canvas","1968",
"CALIFORNIA FOOTHILLS","BRAUN, Maurice","Oil on canvas","Unknown",
"MAN AND CAT","BRAVENDER, Suzanne","Oil on canvas","1961","1977-12-27T00:00:00.000"
"ALL MEN KILL THE THING THEY LOVE","BREINDEL, Margaret","Woodcut on rice paper","1963",
"LASER FOCUS","BRENDEL, Bettina","Acrylic on canvas","1969","1976-11-12T00:00:00.000"
"TOP RIDGE","BRIGANTE, Nicholas","Ink on paper","1959",
"CLIFFS OF DANA POINT","Kathryn","Casein on tempered masonite","1962",
"CATCHER AT BUS STOP","Broderson, Morris","Oil on canvas","1960",
"LIVE OAK, THE UPLIFTER'S CLUB","BROKAW, Lucille","Gouache on paper","1951",
"THE UPLIFTERS CLUB","BROKAW, Lucille","Gouache on paper","1950",
"UNTITLED (Uplifters Club)","BROKAW, Lucille","Gouache on paper","1950",
"UNTITLED (ARENA CAFE WITH PAPIER-MACHE FACE)","BROOKER, Douglas","Photograph",,
"UNTITLED (STATUE WITH NO HANDS)","BROOKER, Douglas","Photograph",,
"FRIENDS OF THE WIND","BROOKS, Mildred Bryant","Etching","1934",
"LITTLE GROWING THINGS","BROOKS, Mildred Bryant","Etching","1934",
"SPIRIT OF THE CIVILIAN CONSERVATION CORPS","BROTHERS, Jim","Bronze","1993",
"A SCENE IN CALIFORNIA","BROWN, Benjamin","Oil on board",,
"OAKS AT SAN YSIDRO","BROWN, Benjamin","Oil on canvas","Unknown","1931-06-10T00:00:00.000"
"UNTITLED","kosha","Oil on canvas",,
"EVOLUTION","BROWN, Deborah","Etching","1973",
"BACK TO BACK IN BLACK","BROWN, Robert","Serigraph",,
"REGATTA","BROWN, Robert W.q","Serigraph","1953","1977-12-27T00:00:00.000"
"THE RIVER AT FIVE O'CLOCK","BROWN, William","Oil on canvas","1963","1977-12-27T00:00:00.000"
"NYMPHS FOUNTAIN","BUCHANAN, Ella","bronze, ceramic tile",,
"BEAR CUB","BUFANO, Beniamino","polish granite sculpture on a cement base","1953",
"FOREST FOLK","BUFF, Conrad","Offset lithograph","1935",
"THE MOUNTAIN LAKE","BUFF, Conrad","Oil on board",,
"UNTITLED (Desert Scene)","BUFF, Conrad","Offset lithograph","1946",
"UNTITLED (Mountains)","BUFF, Conrad","Gouache on board",,
"BUSTER KEATON","BULL, C.S.","Photograph on board","1931",
"GRETA GARBO","BULL, C.S.","Photograph","1929",
"SMALL TOWN TRIPTYCH","BURCHARD, Lawrence","Watercolor",,
"SUNRISE","BURKHARDT, Hans","Oil on canvas","1960",
"MACARTHUR MONUMENT","BURNHAM, Roger Nobel","Bronze, composition stone","1954",
"ASPIRATION (aka Monument to Rudolph Valentino)","BURNHAM, Roger Noble","Bronze, black Variegated marble.",,
"CIVILIAN CONSERVATION CORPS WORKER","BURNHAM, Roger Noble","Bronze","1935",
"SIGNING OF THE CONSTITUTION","BURNHAM, Roger Noble","Bronze",,
"ASTRONOMER'S MONUMENT","BURNHAM, Roger Noble; EL DJEY, D.; NEWELL, G.; STANLEY, G.; FOERSTER, A.; and GARNER, A.","Cast stone","1934-35",
"HAPPY WINDS","BUSH, Edward","Mixed oils on masonite","1968",
"JUNIPERO SERRA","CADORIN, Ettore","cast bronze, marble","1934",
"BLUE","CAINES, Mel","Acrylic on canvas","1968",
"DESIGN #13","CALDER, Alexander","Fiber (hammock) w/ wood","1976",
"HIBISCUS","CAMPBELL, Rosa","Oil on canvas","1952",
"CHILDREN HARVESTING","CAPRONI, C.C. & Bros., Inc.","Plaster",,
"PORTE MODENA DE LOS ANGELES, VISTA ESTE-OESTE PRIMER PLANO:CANIPO DE LOS DESA PARADOS","CARDOSO, Diego","Photograph on board","1986-87",
"CALIFORNIA LANDSCAPE: DOWNTOWN LA (SHERATON GRANDE)","CARDOSO, Diego","Photograph on board","1986-87",
"LAZAS PARA EL PELO","CARDOSO, Diego","Photograph on board","1986-87",
"LOS VENDEDS Y ARBULANTES EN LA BROADWAY COJA DE CARTON QUE SIMOLSA TODA LA EXPOSITION","CARDOSO, Diego","Photograph on board","1986-87",
"AL DIABLO CON SOLO INGLES (TO HELL WITH ENGLISH ONLY)","CARDOSO, Diego","Photograph on board","1986-87",
"Unknown","CARDOSO, Diego","Photograph on board","1986-87",
"Unknown","CARDOSO, Diego","Photograph on board","1986-87",
"Unknown","CARDOSO, Diego","Photograph on board","1986-87",
"Unknown","CARDOSO, Diego","Photograph on board","1986-87",
"Unknown","CARDOSO, Diego","Photograph on board","1986-87",
"Unknown","CARDOSO, Diego","Photograph on board","1986-87",
"Unknown","CARDOSO, Diego","Photograph on board","1986-87",
"VENDEO Y AURBULANTE DE CASSETTES","CARDOSO, Diego","Photograph on board","1986-87",
"LANA TURNER","CARPENTER, Eric","Photograph","1942",
"LIKE ONE ANOTHER","CARRIEL, Sandra; Gevorkyan, Armine; Perina, Katrina; Rhee, Erica; & Vasquez, Rene",,"1993",
"FROM INSIDE CABINET","CASWELL, Stuart","Collage","1965","1977-12-27T00:00:00.000"
"LA MUSICA","CHAMBERS, Dona","Framed and matted collage and mixed media","1968",
"PLAQUE AND QUOTATIONS FROM SHAKESPEARE ON FLOWERS","CHAPIN, Henry L.","Bronze over concrete",,
"STILL LIFE","CHEN, Li","Oil on canvas",,
"End of the Day","CHEN, Li","Oil on canvas","1965","1977-12-27T00:00:00.000"
"UNTITLED (CALLIGRAPHY #1)","CHIEN, Chi-O","Ink on paper mounted onto silk",,
"UNTITLED (CALLIGRAPHY #2)","CHIEN, Chi-O","Ink on paper mounted onto silk",,
"GAKKO BOSATSU (Moonlight Bodhisattua)","CHUBU CREATORS CLUB","Silkscreen print","1976","1976-12-14T00:00:00.000"
"GAKKO BOSATSU (Moonlight Bodhisattua / Chandra Pradha)","CHUBU CREATORS CLUB","Silkscreen print","1976","1976-12-14T00:00:00.000"
"JUNI JINSHO-HITSUJI (#1)  (Twelve Guardian Generals - Sheep)","CHUBU CREATORS CLUB","Silkscreen print","1976","1976-12-14T00:00:00.000"
"JUNI JINSHO-HITSUJI (#2) (Twelve Guardian Generals - Sheep)","CHUBU CREATORS CLUB","Silkscreen print","1976","1976-12-14T00:00:00.000"
"JUNI JINSHO-HITSUJI (Twelve Guardian Generals - Sheep)","CHUBU CREATORS CLUB","Silkscreen print","1976","1976-12-14T00:00:00.000"
"JUNI JINSHO-HITSUJI (Twelve Guardian Generals - Sheep)","CHUBU CREATORS CLUB","Silkscreen print","1976","1976-12-14T00:00:00.000"
"JUNI JINSHO-I (Twelve Guardian Generals - Boar)","CHUBU CREATORS CLUB","Silkscreen print","1976","1976-12-14T00:00:00.000"
"JUNI JINSHO-I (Twelve Guardian Generals - Boar)","CHUBU CREATORS CLUB","Silkscreen print","1976","1976-12-14T00:00:00.000"
"JUNI JINSHO-I (#1) (Twelve Guardian Generals - Boar)","CHUBU CREATORS CLUB","Silkscreen print","1976","1976-12-14T00:00:00.000"
"JUNI JINSHO-INU (Twelve Guardian Generals - Dog)","CHUBU CREATORS CLUB","Silkscreen print","1976","1976-12-14T00:00:00.000"
"JUNI JINSHO-INU (Twelve Guardian Generals - Dog)","CHUBU CREATORS CLUB","Silkscreen print","1976","1976-12-14T00:00:00.000"
"JUNI JINSHO-INU (Twelve Guardian Generals - Dog)","CHUBU CREATORS CLUB","Silkscreen print","1976","1976-12-14T00:00:00.000"
"JUNI JINSHO-NE (Twelve Guardian Generals - Mouse)","CHUBU CREATORS CLUB","Silkscreen print","1976","1976-12-14T00:00:00.000"
"JUNI JINSHO-NE (Twelve Guardian Generals - Mouse)","CHUBU CREATORS CLUB","Silkscreen print","1976","1976-12-14T00:00:00.000"
"JUNI JINSHO-NE (Twelve Guardian Generals - Mouse)","CHUBU CREATORS CLUB","Silkscreen print","1976","1976-12-14T00:00:00.000"
"JUNI JINSHO-SARU (Twelve Guardian Generals - Monkey)","CHUBU CREATORS CLUB","Silkscreen print","1976","1976-12-14T00:00:00.000"
"JUNI JINSHO-SARU (#1) (Twelve Guardian Generals - Monkey)","CHUBU CREATORS CLUB","Silkscreen print","1976","1976-12-14T00:00:00.000"
"JUNI JINSHO-SARU (Twelve Guardian Generals - Monkey)","CHUBU CREATORS CLUB","Silkscreen print","1976","1976-12-14T00:00:00.000"
"JUNI JINSHO-TATSU (#1) (Twelve Guardian Generals - Dragon)","CHUBU CREATORS CLUB","Silkscreen print","1976","1976-12-14T00:00:00.000"
"JUNI JINSHO-TATSU (Twelve Guardian Generals - Dragon)","CHUBU CREATORS CLUB","Silkscreen print","1976","1976-12-14T00:00:00.000"
"JUNI JINSHO-TATSU (#2) (Twelve Guardian Generals - Dragon)","CHUBU CREATORS CLUB","Silkscreen print","1976","1976-12-14T00:00:00.000"
"JUNI JINSHO-TATSU (Twelve Guardian Generals - Dragon)","CHUBU CREATORS CLUB","Silkscreen print","1976","1976-12-14T00:00:00.000"
"JUNI JINSHO-TORA (Twelve Guardian Generals - Tiger)","CHUBU CREATORS CLUB","Silkscreen print","1976","1976-12-14T00:00:00.000"
"JUNI JINSHO-TORA (Twelve Guardian Generals - Tiger)","CHUBU CREATORS CLUB","Silkscreen print","1976","1976-12-14T00:00:00.000"
"JUNI JINSHO-TORA (Twelve Guardian Generals - Tiger)","CHUBU CREATORS CLUB","Silkscreen print","1976","1976-12-14T00:00:00.000"
"JUNI JINSHO-TORI (Twelve Guardian Generals - Rooster)","CHUBU CREATORS CLUB","Silkscreen print","1976","1976-12-14T00:00:00.000"
"JUNI JINSHO-TORI (Twelve Guardian Generals - Rooster)","CHUBU CREATORS CLUB","Silkscreen print","1976","1976-12-14T00:00:00.000"
"JUNI JINSHO-TORI (Twelve Guardian Generals - Rooster)","CHUBU CREATORS CLUB","Silkscreen print","1976","1976-12-14T00:00:00.000"
"JUNI JINSHO-U (Twelve Guardian Generals - Rabbit)","CHUBU CREATORS CLUB","Silkscreen print","1976","1976-12-14T00:00:00.000"
"JUNI JINSHO-U (Twelve Guardian Generals - Rabbit)","CHUBU CREATORS CLUB","Silkscreen print","1976","1976-12-14T00:00:00.000"
"JUNI JINSHO-U (Twelve Guardian Generals - Rabbit)","CHUBU CREATORS CLUB","Silkscreen print","1976","1976-12-14T00:00:00.000"
"JUNI JINSHO-UMA (Twelve Guardian Generals - Horse)","CHUBU CREATORS CLUB","Silkscreen print","1976","1976-12-14T00:00:00.000"
"JUNI JINSHO-UMA (Twelve Guardian Generals - Horse)","CHUBU CREATORS CLUB","Silkscreen print","1976","1976-12-14T00:00:00.000"
"JUNI JINSHO-UMA (#1) (Twelve Guardian Generals - Horse)","CHUBU CREATORS CLUB","Silkscreen print","1976","1976-12-14T00:00:00.000"
"JUNI JINSHO-UMA (#2) (Twelve Guardian Generals - Horse)","CHUBU CREATORS CLUB","Silkscreen print","1976","1976-12-14T00:00:00.000"
"JUNI JINSHO-USHI (Twelve Guardian Generals - Cow)","CHUBU CREATORS CLUB","Silkscreen print","1976","1976-12-14T00:00:00.000"
"JUNI JINSHO-USHI (Twelve Guardian Generals - Cow)","CHUBU CREATORS CLUB","Silkscreen print","1976","1976-12-14T00:00:00.000"
"JUNI JINSHO-USHI (Twelve Guardian Generals - Cow)","CHUBU CREATORS CLUB","Silkscreen print","1976","1976-12-14T00:00:00.000"
"NIKKO BOSATSU (Sunlight Bodhisattua)","CHUBU CREATORS CLUB","Silkscreen print","1976","1976-12-14T00:00:00.000"
"NIKKO BOSATSU (#1) (Sunlight Bodhisattua)","CHUBU CREATORS CLUB","Silkscreen print","1976","1976-12-14T00:00:00.000"
"NIKKO BOSATSU (#2) (Sunlight Bodhisattua)","CHUBU CREATORS CLUB","Silkscreen print","1976","1976-12-14T00:00:00.000"
"YAKUSHI NYORAI (#1) (Medicine Buddha)","CHUBU CREATORS CLUB","Silkscreen print","1976","1976-12-14T00:00:00.000"
"YAKUSHI NYORAI (#2) (Medicine Buddha)","CHUBU CREATORS CLUB","Silkscreen print","1976","1976-12-14T00:00:00.000"
"ALINE BARNSDALL","CHURCHILL, Alene Beverly","Oil on Photograph","1988",
"WILLIAM MULHOLLAND MEMORIAL FOUNTAIN","CLABERG, Walter S.","Tile, concrete","1940",
"WILLIAM MULHOLLAND MEMORIAL DEDICATION ROCK W/PLAQ","CLABERG, Walter S. (architect)","Bronze plaque on stone","1945",
"PALOS VERDES CLIFFS","CLARK, Rose","Oil on untepered masonite","1963",
"EARLY SNOW","CLARK, Violet","Acrylic on canvas",,
"CATHEDRAL IN CUERNAVACA MEXICO","CLARKSON, E.H. Jr.","Watercolor",,
"VALENCIANA MINE, GUANAJUATO, MEXICO","CLARKSON, E.H. Jr.","Watercolor",,
"BIRTH OF CALIFORNIA","CLEMENCEAU, Prince","Oil on canvas","1974",
"MEXIQUE","CLEMENCEAU, Prince","Paint on canvas","1974",
"UNTITLED","CLEMENCEAU, Prince","Oil on canvas",,
"COUNT BASIE","CLENDANIEL, Nancy","Print","1983",
"UNTITLED","CLENDANIEL, Nancy","Photograph","1986",
"ANNA STEN","COBURN, Bob","Photograph","1933",
"BARBARA STANWYCK","COBURN, Robert","Photograph","1938",
"RITA HAYWORTH","COBURN, Robert","Photograph","1951",
"MAYOR MEREDITH P. SNYDER","COGSWELL, William","Oil on canvas",,
"UNTITLED","COLE, Max","Acrylic on linen","1980",
"BY THE SEA, BY THE SEA","COLLIER, Ruth","Oil on canvas",,
"FIVE-POINTED STAR","CONSOLIDATED TERRAZZO COMPANIES, INC.","Terrazzo",,
"EARTH AND SAND","CONTE, Mildred D.","Watercolor",,
"NO. 28","CONTRERAS, Albert","Acrylic on canvas","1971",
"NOCTURNAL PASSAGE","COOK, Joe","Watercolor",,
"TOMB #1","COOKE, Bryan","Etching","1964",
"UNTITLED","CORFIN","Photograph",,
"CURE OF THE BLIND MAN","CORITA, Sister Mary","Serigraph","1958",
"STILL FALLS THE RAIN","CORITA, Sister Mary","Serigraph","1960",
"UNTITLED","CORNELL, Wade Hazelton","Mixed media",,
"ST. SOPHIA CATHEDRAL","CORNING, Merv","Lithograph","1978",
"AIR, PRODUCTIVITY","CORNWELL, Dean","Pencil and pastel on paper","1932",
"AMERICANIZATION OF CALIFORNIA","CORNWELL, Dean","Pencil and pastel on paper","1932",
"COMMERCE, COVERED WAGON TRADER","CORNWELL, Dean","Pencil and pastel on paper","1932",
"DISCOVERY ERA","CORNWELL, Dean","Pencil and pastel on paper","1932",
"EARTH, DIGGING FOR GOLD","CORNWELL, Dean","Pencil and pastel on paper","1932",
"EDUCATION, PADRES AS TEACHERS","CORNWELL, Dean","Pencil and pastel on paper","1932",
"FIRE, KILN-BAKED POTTERY","CORNWELL, Dean","Pencil and pastel on paper","1932",
"FOUNDING OF LOS ANGELES, 1781","CORNWELL, Dean","Pencil and pastel on paper","1932",
"INDUSTRY, FRUIT PRESSES","CORNWELL, Dean","Pencil and pastel on paper","1932",
"MISSION BUILDING ERA","CORNWELL, Dean","Pencil and pastel on paper","1932",
"CALIFORNIA HISTORY (mural)","CORNWELL, Dean","Oil on canvas","1932",
"WATER, WATER-WHEEL","CORNWELL, Dean","Pencil and pastel on paper","1932",
"HOLIDAY","COTTINGHAM, Robert","Acrylic on canvas","1970",
"THE BROOK","COWLES, Russel","Oil on canvas",,
"LUISE RAINER","CRONEWETH, William","Photograph on masonite","1935",
"MAYOR CAMERON E. THOM","CROSS, Charles","Oil on canvas","1963",
"THE WHITE DOOR","CURRAN, Charles C.","Oil on canvas","1923",
"CREST OF THE SIERRAS","CURTIS, Leland","Oil on canvas","1929",
"TREES","D'EMILIO, Lillian","Oil on canvas","1957",
"THE WHITE STEED","D'HERBOIS, Liane Collot","Watercolor","1964",
"UNTITLED","D., R.L.","Paint on canvas","1991",
"FLIGHT","DAIL, Sukhdev","Acrylic on canvas","1970",
"INSIDE THE GARDEN","DAVIDSON, Phyllis","Oil on canvas","1974",
"ART AGAINST APARTHEID","DAVIS, Alonzo","silkscreen (15/50)","1986",
"UNTITLED","DAVIS, Douglas","Mixed mediums","1975",
"CLAUSTRO DA ORDEM DO CARMO","AGUIAR, Raimundo Chaves de","Oil on wood panel",,
"LAVADIRAS DO PAIAUITINGA","AGUIAR, Raimundo Chaves de","Oil on board",,
"PERDE PASSARO","CARVALHO, Genaro Antonio Dantas de (aka GENARO)","Oil collage",,
"MOTHERHOOD","DE ERDELY, Francis","Ink, conte crayon on paper",,
"BUST OF HAROLD A. HENRY","DE LA VEGA, Enrique Miguel Antonio","Cast bronze",,
"VENETIAN MOONLIGHT","DE RIBCOWSKY, Dey","Oil",,
"BARNSDALL COMMUNITY PLAYHOUSE (The Little Dipper)","DE TOLVE, Gina","Birch","1992",
"PEACE RIVER AREA, ALTA","DE VISSER, John","Photograph",,
"FLOATING LADY IV","DELAP, Tony","Corten steel and plexiglass sculpture","1976",
"UNTITLED","DELLA ROSA","Photograph","1984",
"BLUES IN THE NIGHT","DICKENSON, Zella","Watercolor","1964",
"LOS ANGELES 1984 OLYMPIC GAMES COMMEMORATIVE PRINT","DIEBENKORN, Richard","Lithograph","1983",
"SAINT VLADIMIR'S","DIEHL, Eleanor","Oil on canvas","1965",
"SPRING","DIETRICH","Oil on canvas","1962",
"RANCH STEAD SCENE","DIKE, Phil","Watercolor",,
"MAYOR TOM BRADLEY","DODGE, Bonnie Lee","Oil on canvas","1975",
"KALEIDOSCOPE","DOMINQUEZ, Jesus","Concrete","1971",
"HUNGARIAN FREEDOM FIGHTERS MEMORIAL","DOMJAN, Arpad","Bronze; cast concrete","1968",
"GOVERNOR'S MANSION","DONATO, Robert","Print","1967",
"HALE HOUSE","DONATO, Robert","Print","1971",
"UNTITLED","DONATO, Robert","Print","1966",
"VALLEY KNUDSON, HERITAGE SQUARE","DONATO, Robert","Print","1971",
"STORM, IRISH SEA, SPRING (THE APPROACHING STORM)","DONOVAN, John A.","Oil on canvas",,
"THE NEOPHYTE","DORE, Gustave","Oil on canvas","1880",
"STILL-LIFE WITH JUG","DOTSETH, Belle","Oil",,"1905-05-21T00:00:00.000"
"GILBERT W. LINDSAY","DOTSON, Bill","Pencil on paper",,
"DOWNTOWN CLOVERLEAF","DRAGUTESCU, Eugen","Watercolor on paper","1960",
"MAYOR GEORGE ALEXANDER","DRAIN, Lillian","Oil on canvas",,
"MAYOR H.H. ROSE","DRAIN, Lillian","Oil on canvas",,
"FUNK","DROBNER, Rick","Ink on paper","1961",
"GARDEN OF DR. DEL AMO","DRUDIS, Jose","Oil on canvas",,
"UNTITLED","DUBON, Jorge","Redwood with Steel Supports","1981",
"UNLIMITED TIME ONLY","DUIN, Edward","Electronic plastic casing (light box)","1969",
"JEAN HARLOW","DUNCAN, K.","Photograph on board","1931",
"FRANCES DEE","DUNCAN, Preston","Photograph","1932",
"LYNDA","DUNLAP, Ronald","Serigraph","1973",
"FLORENCE NIGHTINGALE","EDSTROM, David","Cast stone","1936-37","1937-03-29T00:00:00.000"
"MAYOR FREDERICK T. WOODMAN","EFIMOFF, Anatole","Oil on canvas",,
"EXIT HOLLYWOOD FREEWAY","ELDER, David","Steel, Poly","1967",
"WILLIAM MULHOLLAND MEMORIAL FOUNTAIN RELIEF","ELDRIDGE","Bronze relief on polished granite","1938",
"BUST OF RUDOLF VALENTINO","ELLIS, Richard","Bronze; concrete base","1978",
"GARGOYLE","ELLIS, Richard","Bronze","1975",
,"ELOUL, Kosso",,"1966",
"WOMAN","EMERY, Donald","Oil on cotton","1968",
"IDOLS","ENGEL, Jules","Watercolor, tempera","1960",
"CLARA BOW","ENGLISH, Don","Photograph","1928",
"ROCHESTER HOUSE","ERICKSON, John Clifford","Acrylic on masonite","24929",
"PLAYING WITH DOLLS","ERICKSON, Marilyn","Oil on canvas","1962",
"AFTERNOON (""Foothillsof California in Bloom"")","ESPOY, Angel","Oil on canvas",,
"UNTITLED","EVANSON, James","Cellulose on plastic","1973",
"L.A. POLICE MEMORIAL","FARMER, Horace; and CHARLES LUCKMAN ASSOCIATES","Granite","1971",
"FRA JUNIPERO SERRA","FARNHAM, Sally","Bronze","1924-25",
"THOMAS JEFFERSON","FARRINGTON, Mirian","Oil on canvas",,
"BIG CITY RUSH","FAY, Joe","Acrylic on foam on board","1982",
"UNREINFORCED CITY HALL","FAY, Joe","Acrylic on canvas","1981",
"MAYOR JOSE MASCAREL","FAZZIO, Edward","Oil on canvas","1963",
"MAYOR SAM YORTY","FAZZIO, Edward","Oil on canvas",,
"MAYOR THOMAS FOSTER","FAZZIO, Edward","Oil on canvas",,
"HOLLYHOCK HOUSE","FELBER, Marla J. and Deborah Low","Balsa wood","1987",
"RESIDENCE A","FELBER, Marla J. and Deborah Low","Balsa wood","1987",
"RESIDENCE B","FELBER, Marla J. and Deborah Low","Balsa wood","1987",
"ENEMIGOS","FIGUEROA, Gabriel","Photograph silkscreen","1933/1991",
"SPINE","FINE, Jud","Mixed media","1993",
"SQUARE BY SQUARE","FINKLESTEIN, Max","Aluminum","1965",
"BIRDS OF PARADISE","FLINGA, Dr Rolf, Count de San Luigi","Oil on masonite","1970",
"LOUIS KOSSUTH","FINTA, Alexander","Bronze, marble","1954",
"TEMPLE II","FLORES, Gene","Core-ten steel sculpture with stainless steel brackets on a concrete footing","1979",
"BEETHOVEN (aka Wm. Andrews Clark Jr. Memorial)","FOERSTER, Arnold","Bronze, stone","1932",
"BUST OF COL. GRIFFITH","FOERSTER, Arnold","Bronze","1934",
"FOUNTAIN","FOERSTER, Arnold","Ceramic",,
"GENERAL LAFAYETTE","FOERSTER, Arnold","Plaster over concrete","1937",
"WINDOW II","FOLEY, Kyoko","Oil on canvas","1975",
"STILL-LIFE WITH PITCHER","FONJITA, M.","Oil on linen",,
"POINT OF VIEW","FORBES, Louise","Oil on wood",,
"CHAPEL OF ST. DUNSTAN","FRAME, Robert","Oil on canvas",,
"LOS ANGELES 1984 OLYMPIC GAMES COMMEMORATIVE PRINT","FRANCIS, Sam","Lithograph","1983",
"DESERT SCENE NEAR PALM SPRINGS","FRANCISCO, John Bond","Oil on canvas","Unknown","1967-03-23T00:00:00.000"
"OBJECT OF CURIOSITY","FRICANO, Tom S.","Lint and acrylic on paper","1975",
"LANDMARK SERIES, LOS ANGELES","FRIEDMAN, Dian","Oil on linen with conte","1977",
