"fiscal_year","department_name","revenue_source_name","revenue_budget","revenue_collected","revenue_collected_pct","fund_name","revenue_class_name","fund","revenue_source_code","revenue_class_code"
"2016","PENSION","RETIREMENT CONTRIBUTION-EMPLOYEES",,"9415670.48",,"FIRE & POLICE TIER 6 SERVICE PENSION FD","RETIREMENT CONTRIBUTIONS","920","5503","550"
"2021","CITY ADMINISTRATIVE OFFICER","LANDSCAPING/LIGHTING ASSMNT-PROP K",,"3691995.99",,"PROPOSITION K MAINTENANCE FUND","ASSESSMENTS","43L","3179","317"
"2020","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","STATE LOAN REPAYMENT",,"4541935.56",,"SPECIAL GAS TAX ST IMPROV","STATE GRANTS/AGREEMENTS","206","3375","336"
"2019","OFFICE OF FINANCE","RELATED COST REIMB-OTHERS","136900","138321","101.04","GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5361","530"
"2021","OFFICE OF FINANCE","VOTER APRVD DEBT- PROP TAX PR SEC",,"793570.9",,"GOB SERIES 2018-A (TAXABLE), DEBT SERVICE FUND","VOTER APRVD DEBT-PROPERTY TAX","A75","3033","303"
"2019","FIRE","INTERFD OPER TRANS-LOCAL PUBLIC SAFETY","6000000","6000000","100","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5658","561"
"2019","NON-DEPARTMENTAL - LIABILITY CLAIMS","MISCELLANEOUS REVENUE-OTHERS","5000","34564.55","691.29","GENERAL FUND (GENERAL BUDGET)","MISCELLANEOUS REVENUES","100","5188","516"
"2019","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","PLAN APPROVAL FEE",,"1632",,"SEWER CONSTRUCTION&MAINTENANCE","ZONING AND SUBDIVISION FEE","208","4044","404"
"2020","PUBLIC WORKS - STREET SERVICES","NEWSTAND PERMIT FEES","19097","1496.61","7.84","GENERAL FUND (GENERAL BUDGET)","STREET SIDEWALK & CURB REPAIRS","100","4298","428"
"2014","RECREATION AND PARKS","FACILITY USE FEES",,"2997075",,"RECREATION & PARKS GRANT","RECREATION & PARKS REVENUES","205","4512","451"
"2012","OFFICE OF FINANCE","INTERFD OPER TRANS-GENERAL  FUND",,"798081314.65",,"TX REV ANTICIP NOTE DEBT","INTERFUND OPERATING TRANSFER","P15","5624","561"
"2015","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","REIMB FROM GRANTS",,"4477.71",,"ST LIGHTING MAINTENANCE ASSESS","REIMB FROM GRANTS","347","5427","542"
"2018","CITY ATTORNEY","CA SERV RENDERED TO HSG AUTHO","1220806","965751.31","79.11","GENERAL FUND (GENERAL BUDGET)","OTHER GEN GOVT SERVICES","100","4351","432"
"2017","AGING","CONTRIBUTION FR NON-GOV'T SOURCES",,"20000",,"FUND FOR SENIOR SERVICES","DONATIONS & CONTRIBUTIONS","597","5101","510"
"2014","CITY ETHICS COMMISSION","MISCELLANEOUS REVENUE-OTHERS",,"2826.8",,"MATCHING CAMPAIGN FUND TRUST","MISCELLANEOUS REVENUES","875","5188","516"
"2014","POLICE","MISCELLANEOUS REVENUE-OTHERS","300000","509283.87","169.76","GENERAL FUND (GENERAL BUDGET)","MISCELLANEOUS REVENUES","100","5188","516"
"2015","INFORMATION TECHNOLOGY AGENCY","RELATED COST REIMB-OTHERS","453687",,,"GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5361","530"
"2018","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","ONE-STOP PERMIT CENTER FEES",,"1676.87",,"CONSTRUCTION SERVICES TRUST FD","OTHER CURRENT SERVICE CHARGES","438","4659","465"
"2018","CITY CLERK","COUNCIL DISTRICT MAPS","50","45","90","GENERAL FUND (GENERAL BUDGET)","OTHER GEN GOVT SERVICES","100","4322","432"
"2015","CITY CLERK","ADDL INTERFD TRANS-RES FD NON REIM",,"29106.65",,"COUNC DIST8 PUB BENEFIT TR FD","ADDL INTERFD OPERATING TRANSFER","49F","5692","569"
"2012","ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT","ADDL INTERFD TRANS-RESERVE FD",,"110000",,"GENERAL FUND- VARIOUS PROGRAM","ADDL INTERFD OPERATING TRANSFER","551","5692","569"
"2018","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","INTERFD OPER TRANS-SEWER CONS",,"4100000",,"WSSRB DEBT SERV REF 2006-A-D","INTERFUND OPERATING TRANSFER","W53","5615","561"
"2017","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","REIM FR US TREAS-INT RZ ECO BD",,"1091039.64",,"WSRB DEBT SERVICE FD 2010-B","REIMB FROM OTHER AGENGIES","W61","3812","381"
"2017","CITY ADMINISTRATIVE OFFICER","MISCELLANEOUS COLISEUM RECEIPTS",,"5411546.52",,"STAPLES CENTER TRUST FUND","COLISEUM/SPORTS ARENA REVENUE","908","4541","454"
"2015","GENERAL SERVICES","SERVICE TO WATER & POWER",,"0",,"GENERAL FUND (GENERAL BUDGET)","QUASI-EXTERNAL TRANSACTION","100","4596","459"
"2015","NON-DEPARTMENTAL - GENERAL","PROP TAX-SALES TAX REPLACEMENT","126600000","121903461.55","96.29","GENERAL FUND (GENERAL BUDGET)","PROPERTY TAXES-SECURED & UNSEC","100","3017","301"
"2012","NEIGHBORHOOD EMPOWERMENT","ADDL INTERFD TRANS-OTHER FUNDS","86481","86481","100","GENERAL FUND (GENERAL BUDGET)","ADDL INTERFD OPERATING TRANSFER","100","5693","569"
"2017","OFFICE OF FINANCE","VOTER APRVD DEBT- PROP TAX UNSEC",,"268555.06",,"GOB SER 2008A DEBT SERVICE","VOTER APRVD DEBT-PROPERTY TAX","A67","3032","303"
"2012","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","MISC GENERAL SERVICES RECEIPTS",,"551.12",,"SUBVENTIONS AND GRANTS","ENGR INSPECTION & OTHER CHARGES","305","4228","420"
"2012","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","INTEREST INCOME-OTHER",,"2565232.07",,"SOLID WASTE RESOURCES FUND","INVESTMENT EARNINGS","508","4903","490"
"2017","PUBLIC WORKS - BOARD OF PUBLIC WORKS","REIMB OF MGMT-EMPL SERV",,"44.64",,"GENERAL FUND (GENERAL BUDGET)","OTHER GEN GOVT SERVICES","100","4346","432"
"2015","CITY CLERK","MISCELLANEOUS REVENUE-OTHERS",,"3325000",,"VILLAGE AT WESTFIELD TOPANGA PUBLIC BENEFITS TRUST FUND","MISCELLANEOUS REVENUES","56Q","5188","516"
"2013","PUBLIC WORKS - ENGINEERING","ZOO FACILITIES BOND FUND","268000",,,"GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5318","530"
"2017","OFFICE OF FINANCE","VOTER APRVD DEBT- PROP TAX UNSEC",,"248921.22",,"GOB SER 2005B DEBT SERVICE","VOTER APRVD DEBT-PROPERTY TAX","A65","3032","303"
"2018","POLICE","ESCHEATMENT","1500000","756400.35","50.43","GENERAL FUND (GENERAL BUDGET)","FORFEITURES & PENALTIES","100","4834","483"
"2015","WATER AND POWER","DEPOSIT RECEIPTS-AGENCY FUNDS",,"310170907.17",,"WS RB 2014 SERIES A CONSTRUCTION FUND","MISCELLANEOUS REVENUES","M1D","5166","516"
"2015","NON-DEPARTMENTAL - GENERAL","SALES & USE TAX","374100000","371031099.18","99.18","GENERAL FUND (GENERAL BUDGET)","SALES AND USE TAXES","100","3051","305"
"2016","PUBLIC WORKS - STREET SERVICES","CANOPY RENEWALS","2000","1848","92.4","GENERAL FUND (GENERAL BUDGET)","STREETS AND CURB PERMITS","100","3248","324"
"2018","AGING","REIMB FROM OTHER FUNDS",,"455097",,"SENIOR HUMAN SERVICES PROGRAM","REIMB FROM OTHER FUNDS","42J","5301","530"
"2018","POLICE","RELATED COST REIMB FR GRANTS",,"14321.24",,"GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5346","530"
"2018","CULTURAL AFFAIRS","MISCELLANEOUS-CULTURAL AFFAIRS",,"500",,"CULTURAL AFFAIRS DEPT TRUST","CULTURAL AFFAIRS REVENUES","844","4474","447"
"2014","PERSONNEL","STORMWTR POLLU ABATE REL COST","20212","20212","100","GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5338","530"
"2017","ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT","REIMB FROM OTHER AGENCIES",,"332673.45",,"TRADE ADJUSTMENT ASSISTANCE COMMUNITY COLLEGE AND CAREER TRA","REIMB FROM OTHER AGENGIES","56F","3811","381"
"2013","LOS ANGELES HOUSING","MISCELLANEOUS REVENUE-OTHERS",,"18214.4",,"MUNICIPAL HOUSING FINANCE FUND","MISCELLANEOUS REVENUES","815","5188","516"
"2012","NON-DEPARTMENTAL - GENERAL","PROP TAX-SALES TAX REPLACEMENT","101611000","100538200.82","98.94","GENERAL FUND (GENERAL BUDGET)","PROPERTY TAXES-SECURED & UNSEC","100","3017","301"
"2018","RECREATION AND PARKS","REIMB FROM OTHER FUNDS",,"1805500",,"RECREATION & PARKS GRANT","REIMB FROM OTHER FUNDS","205","5301","530"
"2016","CITY ADMINISTRATIVE OFFICER","REIMB FROM OTHER FUNDS",,"72774.77",,"GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5301","530"
"2012","HARBOR","DEPOSIT RECEIPTS-AGENCY FUNDS",,"449182701.66",,"HARBOR REVENUE","MISCELLANEOUS REVENUES","702","5166","516"
"2013","GENERAL SERVICES","HELICOPTER FLIGHT REIMB","800000","756684.36","94.59","GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5308","530"
"2015","MAYOR","INTEREST INCOME-OTHER",,"0",,"FY14 JUVENILE ACCOUNTABILITY BLOCK GRANT FUND","INVESTMENT EARNINGS","55V","4903","490"
"2014","NON-DEPARTMENTAL - GENERAL","PROP TAX-SALES TAX REPLACEMENT","121116000","121036278.12","99.93","GENERAL FUND (GENERAL BUDGET)","PROPERTY TAXES-SECURED & UNSEC","100","3017","301"
"2018","TRANSPORTATION","PREFERENTIAL PARKING",,,,"GENERAL FUND (GENERAL BUDGET)","STREETS AND CURB PERMITS","100","3257","324"
"2016","ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT","WIA - NATIONAL EMERGENCY",,"2249040.47",,"NATIONAL EMERGENCY GRANT MULTI-SECTOR","WORKFORCE INVESTMENT ACT (WIA)","54T","3648","364"
"2022","DISABILITY","MISCELLANEOUS REVENUE-OTHERS",,"50500",,"MAYORS OFF FOR HANDICAP TRUST","MISCELLANEOUS REVENUES","849","5188","516"
"2018","NON-DEPARTMENTAL - CAPITAL FINANCE ADMINISTRATION","REIM FR US TREAS-INT RZ ECO BD","2000000","1060130.29","53.01","GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER AGENGIES","100","3812","381"
"2015","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","SOLID WASTE FEE",,"270955261.75",,"SOLID WASTE RESOURCES FUND","SOLID WASTE REVENUE","508","4421","442"
"2013","WATER AND POWER","INTERFD OPER TRANS-OTHER FUNDS",,"6584450",,"WS RB 2009 SERIES B BOND SERVC","INTERFUND OPERATING TRANSFER","M9E","5654","561"
"2015","PUBLIC WORKS - BOARD OF PUBLIC WORKS","MISCELLANEOUS SERVICE CHARGES","30000",,,"GENERAL FUND (GENERAL BUDGET)","OTHER CURRENT SERVICE CHARGES","100","4651","465"
"2014","WATER AND POWER","DEPOSIT RECEIPTS-AGENCY FUNDS",,"2451820910.61",,"WATER REVENUE","MISCELLANEOUS REVENUES","705","5166","516"
"2017","BUILDING AND SAFETY","E PERMITS",,"0",,"BLDG & SAFETY PERMIT ENTERPRIS","STREETS AND CURB PERMITS","48R","3243","324"
"2015","ANIMAL SERVICES","ANIMAL PICK-UP FEES","7000","7674","109.63","GENERAL FUND (GENERAL BUDGET)","ANIMAL SHELTER FEE & CHARGES","100","4172","417"
"2014","AGING","INTRFD OPER TRANS-COM DEV TRUST","331373","309124.72","93.29","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5626","561"
"2015","PUBLIC WORKS - BOARD OF PUBLIC WORKS","MISCELLANEOUS REVENUE-OTHERS","1500",,,"GENERAL FUND (GENERAL BUDGET)","MISCELLANEOUS REVENUES","100","5188","516"
"2017","OFFICE OF FINANCE","VOTER APRVD DEBT- PROP TAX PR UNSEC",,"32142.11",,"GOB REFUNDING SERIES 2016-A DEBT SERVICE FUND","VOTER APRVD DEBT-PROPERTY TAX","A72","3034","303"
"2018","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","SERVICE TO HARBOR",,"1740",,"SEWER OPERATIONS & MAINTENANCE","QUASI-EXTERNAL TRANSACTION","760","4597","459"
"2015","PUBLIC WORKS - SANITATION","REIMB OF RELATED COST-PR YR",,"652736.9",,"GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5331","530"
"2012","NON-DEPARTMENTAL - GENERAL","TRANSIENT OCCUPANCY TAX","136200000","151722170.15","111.4","GENERAL FUND (GENERAL BUDGET)","OTHER TAXES","100","3112","311"
"2012","TRANSPORTATION","INTEREST INCOME-OTHER",,"717653.51",,"MEASURE R LOCAL RETURN FUND","INVESTMENT EARNINGS","51Q","4903","490"
"2015","TRANSPORTATION","STREET NAME SIGNS","24000",,,"GENERAL FUND (GENERAL BUDGET)","STREET SIDEWALK & CURB REPAIRS","100","4294","428"
"2018","LIBRARY","FILMING PERMITS",,"6396",,"LIBRARY","OTHER LICENSES & PERMITS","300","3282","328"
"2013","NON-DEPARTMENTAL - GENERAL","DOCUMENTARY TRANSFER TAX","107520000","147282030.19","136.98","GENERAL FUND (GENERAL BUDGET)","OTHER TAXES","100","3111","311"
"2015","PUBLIC WORKS - STREET SERVICES","OVERLOAD INSPECTION FEES","800","289","36.13","GENERAL FUND (GENERAL BUDGET)","STREET SIDEWALK & CURB REPAIRS","100","4282","428"
"2018","ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT","MISCELLANEOUS REVENUE-OTHERS",,"137.78",,"WORKFORCE INVEST ACT TRS","MISCELLANEOUS REVENUES","44A","5188","516"
"2018","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","REIMB-METRO RAIL PROJECT",,"4362.76",,"STORMWATER POLLUTION ABATE FND","REIMB FROM OTHER FUNDS","511","5311","530"
"2012","CITY ADMINISTRATIVE OFFICER","INTEREST INCOME-OTHER",,"153862.13",,"DISASTER ASSISTANCE TRUST FUND","INVESTMENT EARNINGS","872","4903","490"
"2015","PENSION","RETIREMENT CONTRIBUTION-EMPLOYER",,"11270434",,"FIRE & POLICE TIER 6 GENERAL PENSION FD","RETIREMENT CONTRIBUTIONS","921","5502","550"
"2012","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","SEWER SERVICE CHARGE O&M",,"274008884.43",,"SEWER CONSTRUCTION&MAINTENANCE","SEWER SERVICE REVENUES","208","4391","439"
"2016","ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT","ADDL INTERFD TRANS-RES FD NON REIM",,"1700000",,"GENERAL FUND- VARIOUS PROGRAM","ADDL INTERFD OPERATING TRANSFER","551","5692","569"
"2014","AGING","INTEREST INCOME-OTHER",,"482.44",,"LACMTA GRANT PROJECTS","INVESTMENT EARNINGS","53M","4903","490"
"2015","CITY CLERK","ADDL INTERFD TRANS-OTHER FUNDS",,"87682.16",,"CLARTS COMMUNITY AMENITIES TRUST FUND","ADDL INTERFD OPERATING TRANSFER","47S","5693","569"
"2015","NON-DEPARTMENTAL - GENERAL","INTERFD OPER TRANS-RESERVE","117546306","117546306","100","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5613","561"
"2014","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","SEWER SERVICE CHARGE O&M",,"277380914.05",,"SEWER CONSTRUCTION&MAINTENANCE","SEWER SERVICE REVENUES","208","4391","439"
"2018","EMERGENCY MANAGEMENT","REIMB FROM OTHER FUNDS","10000","3613.84","36.14","GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5301","530"
"2017","TRANSPORTATION","OTHER FEDERAL GRANTS",,"2010041.62",,"MEASURE R LOCAL RETURN FUND","OTHER INTERGOVTL-FEDERAL","51Q","3684","368"
"2012","PENSION","RETIREMENT CONTRIBUTION-EMPLOYEES",,"107388685.96",,"FIRE & POLICE TIER 5 SERVICE P","RETIREMENT CONTRIBUTIONS","915","5503","550"
"2017","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","MISCELLANEOUS REVENUE-OTHERS",,"720.04",,"GOB 2008A CLEAN WATER CLEANUP","MISCELLANEOUS REVENUES","16Q","5188","516"
"2018","AGING","STATE GRANTS - OTHERS",,"416594",,"OMBUDSMAN INITIATIVE PROGRAM F","STATE GRANTS/AGREEMENTS","46V","3361","336"
"2016","INFORMATION TECHNOLOGY AGENCY","REIMB OF RELATED COST-PR YR","707111","179512.74","25.39","GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5331","530"
"2018","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","REIMB FROM OTHER AGENCIES",,"39110",,"SOLID WASTE RESOURCES FUND","REIMB FROM OTHER AGENGIES","508","3811","381"
"2015","PUBLIC WORKS - CONTRACT ADMINISTRATION","LEGISLATIVE ADVOCATE FEE",,"4477.62",,"GENERAL FUND (GENERAL BUDGET)","OTHER GEN GOVT SERVICES","100","4331","432"
"2015","PUBLIC WORKS - ENGINEERING","B PERMITS","2196750",,,"GENERAL FUND (GENERAL BUDGET)","STREETS AND CURB PERMITS","100","3242","324"
"2013","NON-DEPARTMENTAL - GENERAL","ELECTRICITY USER'S TAX","313105000","320432183.01","102.34","GENERAL FUND (GENERAL BUDGET)","UTILITY USERS TAXES","100","3102","310"
"2015","PUBLIC WORKS - STREET SERVICES","HOUSE NUMBER CURB PERMITS","211","422","200","GENERAL FUND (GENERAL BUDGET)","STREETS AND CURB PERMITS","100","3249","324"
"2013","OFFICE OF FINANCE","INTERFD OPER TRANS-GENERAL  FUND",,"851355870.55",,"TX REV ANTICIP NOTE DEBT","INTERFUND OPERATING TRANSFER","P15","5624","561"
"2015","FIRE","REIMB PROP Q POLICE/FIRE FUND","5000",,,"GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5321","530"
"2018","PUBLIC WORKS - STREET SERVICES","INTERFD OPER TRANS-LOCAL TRANS","947832","947832","100","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5619","561"
"2018","ANIMAL SERVICES","DOG LICENSES",,"0",,"ANIMAL STERILIZATION","ANIMAL LICENSES","842","3201","320"
"2012","CONTROLLER","DEBT PROCEEDS - LONG TERM",,"126020737.28",,"MICLA REV BDS 2012 A-C ACCT FD","DEBT PROCEEDS","26N","5602","560"
"2014","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","INTEREST ON POOLED INVEST-BOND FDS",,"2183.21",,"GOB SER99B ZOO IMPR CONSTRUCTN","INVESTMENT EARNINGS","199","4904","490"
"2014","NON-DEPARTMENTAL - GENERAL","TRANSIENT OCCUPANCY TAX","174423000","184382408.29","105.71","GENERAL FUND (GENERAL BUDGET)","OTHER TAXES","100","3112","311"
"2022","TRANSPORTATION","INTEREST INCOME-OTHER",,"531.45",,"TRANSP REGULATION &ENFORCEMENT","INVESTMENT EARNINGS","596","4903","490"
"2015","ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT","ARRA REIMBURSEMENTS",,"29399.82",,"ARRA-ENERGY EFFICIENCY CONSERV","ARRA GRANTS","51S","3671","367"
"2016","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","REIMBURSEMENT OF EXPENDITURES",,"923.23",,"SEWER CAPITAL FUND","MISCELLANEOUS REVENUES","761","5161","516"
"2013","PENSION","RETIREMENT CONTRIBUTION-EMPLOYER",,"58441180",,"FIRE & POLICE TIER 2 GENERAL P","RETIREMENT CONTRIBUTIONS","804","5502","550"
"2017","PUBLIC WORKS - BOARD OF PUBLIC WORKS","MISCELLANEOUS REVENUE-OTHERS","1500","0.19","0.01","GENERAL FUND (GENERAL BUDGET)","MISCELLANEOUS REVENUES","100","5188","516"
"2014","NON-DEPARTMENTAL - GENERAL","DOCUMENTARY TRANSFER TAX","160106000","174083462.24","108.73","GENERAL FUND (GENERAL BUDGET)","OTHER TAXES","100","3111","311"
"2018","NON-DEPARTMENTAL - CAPITAL FINANCE ADMINISTRATION","DAMAGE CLAIMS & SETTLEMENTS",,"38576.36",,"GENERAL FUND (GENERAL BUDGET)","DAMAGE SETTLEMENTS","100","5121","512"
"2014","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","SEWER SERVICE CHARGE-CAPITAL",,"213753467.57",,"SEWER CONSTRUCTION&MAINTENANCE","SEWER SERVICE REVENUES","208","4392","439"
"2019","PUBLIC WORKS - STREET SERVICES","INTERFD OPER TRANS-MEASURE M","4688493","3772225.34","80.46","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5665","561"
"2018","TRANSPORTATION","REIMB FROM OTHER FUNDS",,"284027.3",,"GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5301","530"
"2012","WATER AND POWER","DEPOSIT RECEIPTS-AGENCY FUNDS",,"2078086758.21",,"WATER REVENUE","MISCELLANEOUS REVENUES","705","5166","516"
"2017","NON-DEPARTMENTAL - GENERAL","FRANCHISE INCOME-ELECTRIC LINE","250000","217403.37","86.96","GENERAL FUND (GENERAL BUDGET)","FRANCHISES INCOME","100","3061","306"
"2012","AGING","DONATIONS & CONTRIBUTIONS",,"2829",,"FUND FOR SENIOR SERVICES","DONATIONS & CONTRIBUTIONS","597","5102","510"
"2022","WATER AND POWER","DEPOSIT RECEIPTS-AGENCY FUNDS",,"11572579.46",,"WATER/POWER EMP DEATH BENEFITS","MISCELLANEOUS REVENUES","807","5166","516"
"2012","NON-DEPARTMENTAL - GENERAL","PARKING FINES","136879000","152844121.22","111.66","GENERAL FUND (GENERAL BUDGET)","VEHICLE CODE FINES","100","4801","480"
"2022","COUNCIL","INTERFD OPER TRANS-PROP A","80136","78426.25","97.87","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5616","561"
"2022","CULTURAL AFFAIRS","INTEREST INCOME-OTHER",,"155887.06",,"ARTS DEVELOPMENT FEE TRUST FND","INVESTMENT EARNINGS","516","4903","490"
