"fiscal_year","department_name","revenue_source_name","adopted_revenue_budget","amended_revenue_budget","revenue_budget","revenue_collected","revenue_collected_pct","fund_name","revenue_class_name","fund","revenue_source_code","revenue_class_code","department"
"2015","NON-DEPARTMENTAL - GENERAL","SALES & USE TAX","374100000",,"374100000","371031099.18","99.18","GENERAL FUND (GENERAL BUDGET)","SALES AND USE TAXES","100","3051","305","62"
"2015","NON-DEPARTMENTAL - GENERAL","ELECTRICITY USER'S TAX","352000000",,"352000000","363716274.05","103.33","GENERAL FUND (GENERAL BUDGET)","UTILITY USERS TAXES","100","3102","310","62"
"2015","NON-DEPARTMENTAL - GENERAL","PROP TAX-VLF REPLACEMENT","358490000",,"358490000","361671984","100.89","GENERAL FUND (GENERAL BUDGET)","PROPERTY TAXES-SECURED & UNSEC","100","3018","301","62"
"2015","OFFICE OF FINANCE","INTERFD OPER TRANS-OTHER FUNDS",,,,"350000000",,"TX REV ANTICIP NOTE DEBT","INTERFUND OPERATING TRANSFER","P15","5654","561","39"
"2015","WATER AND POWER","DEPOSIT RECEIPTS-AGENCY FUNDS",,,,"310170907.17",,"WS RB 2014 SERIES A CONSTRUCTION FUND","MISCELLANEOUS REVENUES","M1D","5166","516","98"
"2015","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","INTERFD OPER TRANS-SEWER CONS",,,,"300200000",,"SEWER OPERATIONS & MAINTENANCE","INTERFUND OPERATING TRANSFER","760","5615","561","50"
"2015","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","SEWER SERVICE CHARGE O&M",,,,"278532086.64",,"SEWER CONSTRUCTION&MAINTENANCE","SEWER SERVICE REVENUES","208","4391","439","50"
"2015","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","SOLID WASTE FEE",,,,"270955261.75",,"SOLID WASTE RESOURCES FUND","SOLID WASTE REVENUE","508","4421","442","50"
"2015","WATER AND POWER","DEPOSIT RECEIPTS-AGENCY FUNDS",,,,"267620668.72",,"POWER SYSTEM REVENUE BONDS 2014 SERIES E, CONSTRUCTION FUND","MISCELLANEOUS REVENUES","J6W","5166","516","98"
"2015","NON-DEPARTMENTAL - GENERAL","INTERFD OPER TRANS-POWER","261000000",,"261000000","265586000","101.76","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5611","561","62"
"2015","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","SEWER SERVICE CHARGE-CAPITAL",,,,"235398681.22",,"SEWER CONSTRUCTION&MAINTENANCE","SEWER SERVICE REVENUES","208","4392","439","50"
"2015","NON-DEPARTMENTAL - HUMAN RESOURCES BENEFITS","EMPLOYEE/EMPLOYER & MISC CONTR",,,,"227973673.36",,"IRS SEC501 EMPLOYEE BENEF TRUS","RETIREMENT CONTRIBUTIONS","899","5501","550","61"
"2015","NON-DEPARTMENTAL - GENERAL","TELEPHONE USER'S TAX","209650000",,"209650000","207032336.31","98.75","GENERAL FUND (GENERAL BUDGET)","UTILITY USERS TAXES","100","3101","310","62"
"2015","NON-DEPARTMENTAL - GENERAL","TRANSIENT OCCUPANCY TAX","194100000",,"194100000","202896604.1","104.53","GENERAL FUND (GENERAL BUDGET)","OTHER TAXES","100","3112","311","62"
"2015","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","DEBT PROCEEDS - LONG TERM",,,,"200000000",,"WASTEWATER SYS REV BD CONS/10A","DEBT PROCEEDS","70K","5602","560","50"
"2015","NON-DEPARTMENTAL - GENERAL","DOCUMENTARY TRANSFER TAX","191520000",,"191520000","180986097.82","94.5","GENERAL FUND (GENERAL BUDGET)","OTHER TAXES","100","3111","311","62"
"2015","WATER AND POWER","DEPOSIT RECEIPTS-AGENCY FUNDS",,,,"177712721.36",,"WATER AND POWER ACTIVE EMPLOYEE HEALTHCARE BENEFITS FUND","MISCELLANEOUS REVENUES","922","5166","516","98"
"2015","RECREATION AND PARKS","INTERFD OPER TRANS-GENERAL  FUND",,,,"156078566",,"RECREATION AND PARKS","INTERFUND OPERATING TRANSFER","302","5624","561","88"
"2015","NON-DEPARTMENTAL - GENERAL","PARKING FINES","165191457",,"165191457","152292373.34","92.19","GENERAL FUND (GENERAL BUDGET)","VEHICLE CODE FINES","100","4801","480","62"
"2015","LIBRARY","INTERFD OPER TRANS-GENERAL  FUND",,,,"139401339",,"LIBRARY","INTERFUND OPERATING TRANSFER","300","5624","561","44"
"2015","AIRPORTS","DEPOSIT RECEIPTS-AGENCY FUNDS",,,,"124049659.39",,"PASSENGER FACILITY CHARGE -LAX","MISCELLANEOUS REVENUES","71R","5166","516","4"
"2015","NON-DEPARTMENTAL - GENERAL","PROP TAX-SALES TAX REPLACEMENT","126600000",,"126600000","121903461.55","96.29","GENERAL FUND (GENERAL BUDGET)","PROPERTY TAXES-SECURED & UNSEC","100","3017","301","62"
"2015","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","INTERFD OPER TRANS-SEWER CONS",,,,"118950000",,"SEWER CAPITAL FUND","INTERFUND OPERATING TRANSFER","761","5615","561","50"
"2015","NON-DEPARTMENTAL - GENERAL","INTERFD OPER TRANS-RESERVE","117546306",,"117546306","117546306","100","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5613","561","62"
"2015","PENSION","RETIREMENT CONTRIBUTION-EMPLOYEES",,,,"109178250.95",,"FIRE & POLICE TIER 5 SERVICE P","RETIREMENT CONTRIBUTIONS","915","5503","550","64"
"2015","PUBLIC WORKS - SANITATION","INTERFD OPER TRANS-SEWER CONS","111151827",,"111151827","105701254.16","95.1","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5615","561","82"
"2015","NON-DEPARTMENTAL - GENERAL","PARKING OCCUPANCY TAX","98400000",,"98400000","100369513.3","102","GENERAL FUND (GENERAL BUDGET)","OTHER TAXES","100","3113","311","62"
"2015","PENSION","RETIREMENT CONTRIBUTION-EMPLOYER",,,,"95217787",,"FIRE & POLICE TIER 2 GENERAL P","RETIREMENT CONTRIBUTIONS","804","5502","550","64"
"2015","PUBLIC WORKS - STREET SERVICES","INTERFD OPER TRANS-SP GAS TAX","88765634","-400000","88365634","88365634","100","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5627","561","86"
"2015","PUBLIC WORKS - SANITATION","INTERFD OPER TRANS-SOLID WASTE","88963963","-33640","88930323","86623316.45","97.41","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5634","561","82"
"2015","ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT","STATE GRANTS - OTHERS",,,,"84071894.5",,"CRA/LA EXCESS NON-HOUSING BOND PROCEEDS","STATE GRANTS/AGREEMENTS","57D","3361","336","22"
"2015","WATER AND POWER","DEPOSIT RECEIPTS-AGENCY FUNDS",,,,"82071810.17",,"DWP RETIREE HEALTH BENEFITS","MISCELLANEOUS REVENUES","850","5166","516","98"
"2015","WATER AND POWER","INTERFD OPER TRANS-OTHER FUNDS",,,,"75425775",,"PWR SYST RB 2011 A BD SER FUND","INTERFUND OPERATING TRANSFER","J5S","5654","561","98"
"2015","FIRE","EMERGENCY AMBULANCE SERVICES","70000000",,"70000000","71961588.65","102.8","GENERAL FUND (GENERAL BUDGET)","FIRST AID & AMBULANCE CHARGES","100","4451","445","38"
"2015","BUILDING AND SAFETY","INTERFD OPER TRANS-BLDG&SAFETY ENTRPRSE","78815420",,"78815420","68886306.46","87.4","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5656","561","8"
"2015","NON-DEPARTMENTAL - GENERAL","GAS USER'S TAX","70200000",,"70200000","68642558.97","97.78","GENERAL FUND (GENERAL BUDGET)","UTILITY USERS TAXES","100","3103","310","62"
"2015","TRANSPORTATION","PROPOSITION A LOCAL TRANSIT TAX",,,,"68332991.55",,"PROPOSITION A LOCAL TRANSIT","TRANSPORTATION TAX","385","3131","313","94"
"2015","CITY EMPLOYEES RETIREMENT SYSTEM","RETIREMENT CONTRIBUTION-AIRPORT",,,,"67225631",,"CITY EMPLOYEES RETIREMENT","RETIREMENT CONTRIBUTIONS","800","5507","550","16"
"2015","CONTROLLER","DEBT PROCEEDS - LONG TERM",,,,"67149347.32",,"MICLA LEASE, SERIES 2014 (CAPITAL EQUIPMENT) ACCOUNTING FUND","DEBT PROCEEDS","26R","5602","560","26"
"2015","AIRPORTS","DEPOSIT RECEIPTS-AGENCY FUNDS",,,,"66393319.79",,"AIRPORT REVENUE FUND-ONTARIO","MISCELLANEOUS REVENUES","723","5166","516","4"
"2015","TRANSPORTATION","PROPOSITION C LOCAL TRANSIT TAX",,,,"56863704.11",,"PROPOSITION C ANTIGRIDLOCK IMP","TRANSPORTATION TAX","540","3132","313","94"
"2015","NON-DEPARTMENTAL - HUMAN RESOURCES BENEFITS","REIMB FROM OTHER FUNDS",,,,"56832486.82",,"IRS SEC501 EMPLOYEE BENEF TRUS","REIMB FROM OTHER FUNDS","899","5301","530","61"
"2015","TRANSPORTATION","SPECIAL PARKING REVENUE",,,,"56656810.5900001",,"SPECIAL PARKING REVENUE","PARKING REVENUES","363","4494","449","94"
"2015","PUBLIC WORKS - SANITATION","SEWER CONS & MAIN RELATED COST","55355345",,"55355345","55355346","100","GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5328","530","82"
"2015","NON-DEPARTMENTAL - GENERAL","PROPERTY TAX-EX CRA TAX INCREMENT","48023000",,"48023000","52362916.81","109.04","GENERAL FUND (GENERAL BUDGET)","PROPERTY TAXES-SECURED & UNSEC","100","3026","301","62"
"2015","WATER AND POWER","INTERFD OPER TRANS-OTHER FUNDS",,,,"50401548",,"PWR SYST RB 2010 D BD SER FUND","INTERFUND OPERATING TRANSFER","J5N","5654","561","98"
"2015","WATER AND POWER","INTERFD OPER TRANS-OTHER FUNDS",,,,"48900983.6",,"PWR SYST RB 2005 A BD SER FUND","INTERFUND OPERATING TRANSFER","J91","5654","561","98"
"2015","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","INTERFD OPER TRANS-SEWER CONS",,,,"47467860.88",,"WSRB DEBT SERV REF 2009-A","INTERFUND OPERATING TRANSFER","W57","5615","561","50"
"2015","CONTROLLER","DEBT PROCEEDS - LONG TERM",,,,"44478481.81",,"MICLA LEASE, SERIES 2014-A (REAL PROPERTY) ACCOUNTING FUND","DEBT PROCEEDS","26Q","5602","560","26"
"2015","GENERAL SERVICES","INTERFD OPER TRANS-SOLID WASTE","45235270",,"45235270","43772861.54","96.77","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5634","561","40"
"2015","NON-DEPARTMENTAL - GENERAL","PROPERTY TAX-CURRENT-UNSECUR","46068000",,"46068000","43396028.26","94.2","GENERAL FUND (GENERAL BUDGET)","PROPERTY TAXES-SECURED & UNSEC","100","3012","301","62"
"2015","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","STATE GASOLINE TAX SECT 2103",,,,"43327035.84",,"SPECIAL GAS TAX ST IMPROV","STATE GASOLINE TAX","206","3334","333","50"
"2015","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","ST LIGHTING-O&M ASSESSMNT",,,,"43257711.25",,"ST LIGHTING MAINTENANCE ASSESS","ASSESSMENTS","347","3175","317","50"
"2015","PENSION","RETIREMENT CONTRIBUTION-EMPLOYER",,,,"42994786",,"FIRE & POLICE TIER 3 GENERAL P","RETIREMENT CONTRIBUTIONS","806","5502","550","64"
"2015","TRANSPORTATION","PROPOSITION R LOCAL RETURN",,,,"42520025.75",,"MEASURE R LOCAL RETURN FUND","TRANSPORTATION TAX","51Q","3133","313","94"
"2015","TRANSPORTATION","REIMB FROM OTHER AGENCIES",,,,"42288001.13",,"PROPOSITION A LOCAL TRANSIT","REIMB FROM OTHER AGENGIES","385","3811","381","94"
"2015","CITY CLERK","ONE HALF CENT SALES TAX",,,,"40896788.61",,"LOCAL PUBLIC SAFETY FUND","SALES AND USE TAXES","574","3052","305","14"
"2015","LOS ANGELES HOUSING","COMMUNITY DEV. BLOCK GRANT",,,,"38639036.9",,"COMMUNITY DEVELOPMENT TRUST","COMMUNITY BLOCK GRANT","424","3611","361","43"
"2015","WATER AND POWER","INTERFD OPER TRANS-OTHER FUNDS",,,,"37920435",,"WS RB 2005 SERIES A BOND SERVC","INTERFUND OPERATING TRANSFER","M7B","5654","561","98"
"2015","WATER AND POWER","INTERFD OPER TRANS-OTHER FUNDS",,,,"37029587.5",,"PWR SYST RB 2008 A BD SER FUND","INTERFUND OPERATING TRANSFER","J2B","5654","561","98"
"2015","WATER AND POWER","INTERFD OPER TRANS-OTHER FUNDS",,,,"36560560",,"PWR SYST RB 2010 A BD SER FUND","INTERFUND OPERATING TRANSFER","J5B","5654","561","98"
"2015","WATER AND POWER","INTERFD OPER TRANS-OTHER FUNDS",,,,"36465680",,"PWR SYST RB 2007 A BD SER FUND","INTERFUND OPERATING TRANSFER","J96","5654","561","98"
"2015","POLICE","INTERFD OPER TRANS-LOCAL PUBLIC SAFETY","36113950",,"36113950","36042419.35","99.8","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5658","561","70"
"2015","NON-DEPARTMENTAL - GENERAL","COST REIMBURSEMENT FROM LIBRARY","35816389",,"35816389","35816389","100","GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5370","530","62"
"2015","NON-DEPARTMENTAL - HUMAN RESOURCES BENEFITS","SUPPLEMENTAL DENTAL & OPT SUB",,,,"34019699.08",,"IRS SEC501 EMPLOYEE BENEF TRUS","QUASI-EXTERNAL TRANSACTION","899","4594","459","61"
"2015","GENERAL SERVICES","INTERFUND BILLINGS - OTHERS",,,,"33873405.9000001",,"STORES REVOLVING","QUASI-EXTERNAL TRANSACTION","707","4591","459","40"
"2015","TRANSPORTATION","INTERFD OPER TRANS-PROP C","33855306","-2765.6","33852540.4","33852540.4","100","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5638","561","94"
"2015","NON-DEPARTMENTAL - GENERAL","COST REIMBURSEMENT FROM REC & PARKS","33802548",,"33802548","33802548","100","GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5371","530","62"
"2015","LOS ANGELES HOUSING","CODE ENFORCEMENT FEES",,,,"33402398.02",,"SYSTEMATIC CODE ENFORCEMNT FEE","OTHER CURRENT SERVICE CHARGES","41M","4668","465","43"
"2015","WATER AND POWER","INTERFD OPER TRANS-OTHER FUNDS",,,,"33233862.5",,"PWR SYST RB 2013 A BD SER FUND","INTERFUND OPERATING TRANSFER","J6E","5654","561","98"
"2015","WATER AND POWER","INTERFD OPER TRANS-OTHER FUNDS",,,,"32933641.34",,"WS RB 2010 SERIES A BOND SERVC","INTERFUND OPERATING TRANSFER","M9L","5654","561","98"
"2015","POLICE","ADDL INTERFD TRANS-RES FD NON REIM",,"32874769","32874769","32874769","100","GENERAL FUND (GENERAL BUDGET)","ADDL INTERFD OPERATING TRANSFER","100","5692","569","70"
"2015","BUILDING AND SAFETY","BUILDING PLAN CHECK",,,,"32626999.06",,"BLDG & SAFETY PERMIT ENTERPRIS","PLAN CHECKING FEES","48R","4156","415","8"
"2015","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","OTHER FEDERAL GRANTS",,,,"32320103.82",,"SIXTH STREET VIADUCT IMPROVEMENT FUND","OTHER INTERGOVTL-FEDERAL","54W","3684","368","50"
"2015","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","STATE GASOLINE TAX SECT 2107",,,,"31297254.62",,"SPECIAL GAS TAX ST IMPROV","STATE GASOLINE TAX","206","3333","333","50"
"2015","PUBLIC WORKS - STREET SERVICES","GAS TAX PROJECTS","31207343",,"31207343","31207343","100","GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5304","530","86"
"2015","PUBLIC WORKS - ENGINEERING","INTERFD OPER TRANS-SEWER CONS","35398862",,"35398862","30800000","87.01","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5615","561","78"
"2015","NON-DEPARTMENTAL - GENERAL","INTERFD OPER TRANS SP PKG REV","30635342",,"30635342","30635342","100","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5617","561","62"
"2015","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","INTERFD OPER TRANS-SEWER CONS",,,,"29840954.11",,"WSSRB DEBT SERVICE FUND, REFUNDING SERIES 2013-A","INTERFUND OPERATING TRANSFER","W78","5615","561","50"
"2015","PUBLIC WORKS - SANITATION","SANIT EQUIP CHG ACQ FD REL COST","29483356",,"29483356","29483353","100","GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5345","530","82"
"2015","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","STORMWATER POLLUTION ABATEMENT",,,,"28473958.94",,"STORMWATER POLLUTION ABATE FND","ASSESSMENTS","511","3174","317","50"
"2015","OFFICE OF FINANCE","VOTER APRVD DEBT- PROP TAX SEC",,,,"28068303.12",,"GOB REFUNDNG SER2012A DEBT SER","VOTER APRVD DEBT-PROPERTY TAX","A71","3031","303","39"
"2015","OFFICE OF FINANCE","VOTER APRVD DEBT- PROP TAX SEC",,,,"27475514.81",,"GOB REFUNDNG SER2011B DEBT SER","VOTER APRVD DEBT-PROPERTY TAX","A70","3031","303","39"
"2015","FIRE","SERVICE TO AIRPORTS","25863000",,"25863000","26246090.95","101.48","GENERAL FUND (GENERAL BUDGET)","QUASI-EXTERNAL TRANSACTION","100","4595","459","38"
"2015","MAYOR","OTHER FEDERAL GRANTS",,,,"25770136",,"FY13 UASI HOMELAND SECURITY GRANT FUND","OTHER INTERGOVTL-FEDERAL","55Y","3684","368","46"
"2015","RECREATION AND PARKS","REIMB FROM OTHER FUNDS",,,,"25731398.01",,"RECREATION AND PARKS","REIMB FROM OTHER FUNDS","302","5301","530","88"
"2015","BUILDING AND SAFETY","BLDG & SAFETY ENT FND REL COST","34013290",,"34013290","25377965.28","74.61","GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5359","530","8"
"2015","LOS ANGELES CITY TOURISM DEPARTMENT","CONVENTION CENTER REVENUES - AEG",,,,"25127635",,"LA CONVENTION CENTER REVENUE","CONVENTION CENTER REVENUES","725","4564","456","48"
"2015","NON-DEPARTMENTAL - GENERAL","PROPERTY TAX-CURRENT SEC SUPPL","30900000",,"30900000","24875916.22","80.5","GENERAL FUND (GENERAL BUDGET)","PROPERTY TAXES-SECURED & UNSEC","100","3015","301","62"
"2015","RECREATION AND PARKS","MISCELLANEOUS (REC & PARKS)",,,,"24420094.8099994",,"MUNICIPAL SPORTS ACCOUNT","RECREATION & PARKS REVENUES","301","4515","451","88"
"2015","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","STATE GASOLINE TAX SECT 2105",,,,"24272758.65",,"SPECIAL GAS TAX ST IMPROV","STATE GASOLINE TAX","206","3331","333","50"
"2015","LOS ANGELES HOUSING","INTERFD OPER TRANS- CODE ENFORCE","27957280","-15082","27942198","24271185.04","86.86","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5648","561","43"
"2015","BUILDING AND SAFETY","BUILDING PERMITS- REGULAR",,,,"24260606.46",,"BLDG & SAFETY PERMIT ENTERPRIS","CONSTRUCTION PERMITS","48R","3225","322","8"
"2015","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","FRANCHISE INCOME-AB939 HAULER COMPL",,,,"24124505.1",,"CITYWIDE RECYCLING TRUST FUND","FRANCHISES INCOME","46D","3070","306","50"
"2015","WATER AND POWER","DEPOSIT RECEIPTS-AGENCY FUNDS",,,,"23649790.64",,"WATER/POWER EMPLOYEES DISABIL","MISCELLANEOUS REVENUES","808","5166","516","98"
"2015","NON-DEPARTMENTAL - GENERAL","STATE MANDATED PROGRAM -POLICE",,,,"23103933",,"GENERAL FUND (GENERAL BUDGET)","ST MANDATED PROG REINBURSEMENT","100","3352","335","62"
"2015","CITY PLANNING","PLANNING AND LAND USE FEES",,,,"22921464.36",,"PLANNING CASE PROCESSING SPREV","ZONING AND SUBDIVISION FEE","52D","4047","404","68"
"2015","WATER AND POWER","INTERFD OPER TRANS-OTHER FUNDS",,,,"22335525",,"PWR SYST RB 2013 B BD SER FUND","INTERFUND OPERATING TRANSFER","J6G","5654","561","98"
"2015","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","INTERFD OPER TRANS-SEWER CONS",,,,"21755660.2",,"WSSRB DEBT SERVICE FD 2010-A","INTERFUND OPERATING TRANSFER","W63","5615","561","50"
"2015","CITY CLERK","BUSINESS IMPROV DIST ASSMNT",,,,"21728729.66",,"LOS ANGELES TOURISM MARKETING DISTRICT","ASSESSMENTS","53U","3182","317","14"
"2015","CITY EMPLOYEES RETIREMENT SYSTEM","RETIREMENT CONTRIBUTION-HARBOR",,,,"20739823",,"CITY EMPLOYEES RETIREMENT","RETIREMENT CONTRIBUTIONS","800","5508","550","16"
"2015","PENSION","RETIREMENT CONTRIBUTION-EMPLOYER",,,,"20668892",,"FIRE & POLICE TIER 4 GENERAL P","RETIREMENT CONTRIBUTIONS","910","5502","550","64"
"2015","CITY ADMINISTRATIVE OFFICER","LANDSCAPING/LIGHTING ASSMNT-PROP K",,,,"20617145.71",,"PROPOSITION K PROJECTS FUND","ASSESSMENTS","43K","3179","317","10"
"2015","WATER AND POWER","INTERFD OPER TRANS-OTHER FUNDS",,,,"20010017.92",,"WS RB 2009 SERIES C BOND SERVC","INTERFUND OPERATING TRANSFER","M9H","5654","561","98"
"2015","OFFICE OF FINANCE","VOTER APRVD DEBT- PROP TAX SEC",,,,"19718748.53",,"GOB SER 2005B DEBT SERVICE","VOTER APRVD DEBT-PROPERTY TAX","A65","3031","303","39"
"2015","PUBLIC WORKS - STREET LIGHTING","INTERFD OPER TRANS-ST LIGHT ASMNT","23319394","-113651","23205743","19572268.61","84.34","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5621","561","84"
"2015","WATER AND POWER","INTERFD OPER TRANS-OTHER FUNDS",,,,"18998500",,"WS RB 2013 SERIES B BOND SERVICE FUND","INTERFUND OPERATING TRANSFER","M1A","5654","561","98"
"2015","GENERAL SERVICES","FIRE INSURANCE PROCEEDS",,"0","0","18983299.65",,"GENERAL FUND (GENERAL BUDGET)","DAMAGE SETTLEMENTS","100","5126","512","40"
"2015","RECREATION AND PARKS - SPECIAL ACCOUNTS","SUBDIVISIONS",,,,"18971278.5",,"RECREATION AND PARKS","ZONING AND SUBDIVISION FEE","302","4042","404","89"
"2015","LOS ANGELES HOUSING","OTHER FEDERAL GRANTS",,,,"18924856.07",,"HOME INVESTMENT PARTSHIP PROGR","OTHER INTERGOVTL-FEDERAL","561","3684","368","43"
"2015","NON-DEPARTMENTAL - GENERAL","FRANCHISE INCOME-TELEVISION","18000000",,"18000000","18917885.8","105.1","GENERAL FUND (GENERAL BUDGET)","FRANCHISES INCOME","100","3067","306","62"
"2015","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","WASTEWATER SVC CONTR-O&M",,,,"18458888.75",,"SEWER CONSTRUCTION&MAINTENANCE","SEWER SERVICE REVENUES","208","4393","439","50"
"2015","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","OTHER FEDERAL GRANTS",,,,"18436530.57",,"SUBVENTIONS AND GRANTS","OTHER INTERGOVTL-FEDERAL","305","3684","368","50"
"2015","PENSION","RETIREMENT CONTRIBUTION-EMPLOYER",,,,"18358862",,"FIRE & POLICE TIER 1 GENERAL P","RETIREMENT CONTRIBUTIONS","802","5502","550","64"
"2015","ZOO","INTERFD OPER TRANS-ZOO ENT","19809007","-154386.43","19654620.57","18311373.2","93.17","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5646","561","87"
"2015","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","IND WASTE APP INSP & QUAL CHGS",,,,"18293712.5",,"SEWER CONSTRUCTION&MAINTENANCE","SEWER SERVICE REVENUES","208","4394","439","50"
"2015","TRANSPORTATION","PROP C ANTIGRIDLOCK REL COST","18901808",,"18901808","18090459.77","95.71","GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5340","530","94"
"2015","NON-DEPARTMENTAL - GENERAL","FRANCHISE INCOME-GAS","16900000",,"16900000","17783604.22","105.23","GENERAL FUND (GENERAL BUDGET)","FRANCHISES INCOME","100","3062","306","62"
