"category","indicator","sub_indicator","locality","gender","council_district","fiscal_year","fy_qtr","calendar_year","cy_qtr","quarter_start","as_of_date","unit_of_measure","unit_text","value","source"
"BUILDING PERMITS","MIX-USE PERMIT VALUES",,"LOS ANGELES CITY",,"3","2010","2010-01","2009","2009-03","7-1-2009","04-11-2017","$","SEASONALLY ADJUSTED AND SMOOTHED","0","CITY OF LOS ANGELES DEPARTMENT OF BUILDING AND SAFETY"
"DEMOGRAPHICS","POPULATION BY RACE","HISPANIC OR LATINO","LOS ANGELES CITY",,"9",,,"2015",,,"04-11-2017","#",,"224892.09","U.S. CENSUS BUREAU; BEACON ECONOMICS"
"EMPLOYMENT","ESTABLISHMENT CHANGE BY INDUSTRY","EDUCATION/HEALTH","LOS ANGELES CITY",,"2","2011","2011-04","2011","2011-02","4-1-2011","04-11-2017","#",,"6","EMPLOYMENT DEVELOPMENT DEPARTMENT, BEACON ECONOMICS"
"DEMOGRAPHICS","POPULATION BY INCOME BRACKET BY GENDER","MORE THAN $100,000","LOS ANGELES CITY","FEMALE","7",,,"2012",,,"04-11-2017","#","POPULATION 16 YEARS AND OVER WITH EARNINGS","1160.684","U.S. CENSUS BUREAU; BEACON ECONOMICS"
"WAGES","AVERAGE ANNUAL WAGE",,"LOS ANGELES COUNTY",,,"2010","2010-03","2010","2010-01","1-1-2010","04-11-2017","$",,"51126.8","BUREAU OF LABOR STATISTICS"
"DEMOGRAPHICS","EMPLOYMENT BY OCCUPATION BY GENDER","SERVICE","LOS ANGELES CITY","MALE","9",,,"2013",,,"04-11-2017","#",,"12107.404","U.S. CENSUS BUREAU; BEACON ECONOMICS"
"BUILDING PERMITS","NON-RESIDENTIAL PERMIT VALUES",,"LOS ANGELES CITY",,"11","2009","2009-02","2008","2008-04","10-1-2008","04-11-2017","$","SEASONALLY ADJUSTED AND SMOOTHED","122500000","CITY OF LOS ANGELES DEPARTMENT OF BUILDING AND SAFETY"
"BUILDING PERMITS","SINGLE-FAMILY PERMITS",,"LOS ANGELES CITY",,"5","2011","2011-04","2011","2011-02","4-1-2011","04-11-2017","#","SEASONALLY ADJUSTED AND SMOOTHED","24","CITY OF LOS ANGELES DEPARTMENT OF BUILDING AND SAFETY"
"EMPLOYMENT","ESTABLISHMENT CHANGE BY INDUSTRY","PROF, SCI, TECH, AND MGMT","LOS ANGELES CITY",,"12","2013","2013-03","2013","2013-01","1-1-2013","04-11-2017","#",,"12","EMPLOYMENT DEVELOPMENT DEPARTMENT, BEACON ECONOMICS"
"BUILDING PERMITS","NON-RESIDENTIAL PERMIT VALUES",,"LOS ANGELES CITY",,"6","2009","2009-01","2008","2008-03","7-1-2008","04-11-2017","$","SEASONALLY ADJUSTED AND SMOOTHED","5759602.9","CITY OF LOS ANGELES DEPARTMENT OF BUILDING AND SAFETY"
"DEMOGRAPHICS","SHARE OF HOUSEHOLDS THAT MOVED IN BEFORE 2000",,"LOS ANGELES CITY",,"10",,,"2014",,,"04-11-2017","%","SHARE OF ALL HOUSEHOLDS","23.761419","U.S. CENSUS BUREAU; BEACON ECONOMICS"
"DEMOGRAPHICS","POPULATION BY AGE BY GENDER","UNDER 19 YEARS","LOS ANGELES CITY","FEMALE","11",,,"2014",,,"04-11-2017","#",,"25687.787","U.S. CENSUS BUREAU; BEACON ECONOMICS"
"EMPLOYMENT","ESTABLISHMENT CHANGE BY INDUSTRY","WHOLESALE TRADE","LOS ANGELES CITY",,"CITY TOTAL","2010","2010-04","2010","2010-02","4-1-2010","04-11-2017","#",,"-74","EMPLOYMENT DEVELOPMENT DEPARTMENT, BEACON ECONOMICS"
"EMPLOYMENT","PRIVATE EMPLOYMENT BY INDUSTRY","WHOLESALE TRADE","LOS ANGELES CITY",,"10","2016","2016-02","2015","2015-04","10-1-2015","04-11-2017","#","SEASONALLY ADJUSTED","2920","EMPLOYMENT DEVELOPMENT DEPARTMENT, BEACON ECONOMICS"
"REAL GDP","TOTAL REAL GDP",,"STATE OF CALIFORNIA",,,,,"2011",,,"04-11-2017","$","MILLIONS","1958105","BUREAU OF ECONOMIC ANALYSIS"
"EMPLOYMENT","TOTAL EMPLOYMENT","TOTAL ALL INDUSTRIES","LOS ANGELES CITY",,"2","2015","2015-01","2014","2014-03","7-1-2014","04-11-2017","#","SEASONALLY ADJUSTED","65905","EMPLOYMENT DEVELOPMENT DEPARTMENT, BEACON ECONOMICS"
"DEMOGRAPHICS","UNEMPLOYMENT RATE BY GENDER",,"LOS ANGELES CITY","FEMALE","CITY TOTAL",,,"2013",,,"04-11-2017","%",,"11.35783","U.S. CENSUS BUREAU; BEACON ECONOMICS"
"BUILDING PERMITS","MULTI-FAMILY PERMITS",,"LOS ANGELES CITY",,"9","2012","2012-04","2012","2012-02","4-1-2012","04-11-2017","#","SEASONALLY ADJUSTED AND SMOOTHED","38.4","CITY OF LOS ANGELES DEPARTMENT OF BUILDING AND SAFETY"
"EMPLOYMENT","PRIVATE EMPLOYMENT BY INDUSTRY","NR/CONSTRUCTION","LOS ANGELES COUNTY",,,"1993","1993-04","1993","1993-02","4-1-1993","04-11-2017","#","SEASONALLY ADJUSTED","120018.4","QUARTERLY CENSUS OF EMPLOYMENT AND WAGES"
"DEMOGRAPHICS","UNEMPLOYMENT RATE",,"LOS ANGELES CITY",,"9",,,"2015",,,"04-11-2017","%",,"8.5140123","U.S. CENSUS BUREAU; BEACON ECONOMICS"
"EMPLOYMENT","PRIVATE EMPLOYMENT BY INDUSTRY","RETAIL TRADE","LOS ANGELES COUNTY",,,"2003","2003-04","2003","2003-02","4-1-2003","04-11-2017","#","SEASONALLY ADJUSTED","398126.4","QUARTERLY CENSUS OF EMPLOYMENT AND WAGES"
"EMPLOYMENT","PRIVATE EMPLOYMENT BY INDUSTRY","TRANSPORT/WAREHOUSE","LOS ANGELES CITY",,"13","2014","2014-01","2013","2013-03","7-1-2013","04-11-2017","#","SEASONALLY ADJUSTED","1568","EMPLOYMENT DEVELOPMENT DEPARTMENT, BEACON ECONOMICS"
"DEMOGRAPHICS","EMPLOYMENT BY OCCUPATION BY GENDER","MANAGEMENT, BUSINESS, SCIENCE, AND ARTS","LOS ANGELES COUNTY","FEMALE",,,,"2015",,,"04-11-2017","#",,"866276","U.S. CENSUS BUREAU; BEACON ECONOMICS"
"BUILDING PERMITS","SINGLE-FAMILY PERMIT VALUES",,"LOS ANGELES CITY",,"13","2007","2007-03","2007","2007-01","1-1-2007","04-11-2017","$","SEASONALLY ADJUSTED AND SMOOTHED","2505193.2","CITY OF LOS ANGELES DEPARTMENT OF BUILDING AND SAFETY"
"EMPLOYMENT","PRIVATE EMPLOYMENT BY INDUSTRY","TRANSPORT/WAREHOUSE","LOS ANGELES CITY",,"1","2012","2012-02","2011","2011-04","10-1-2011","04-11-2017","#","SEASONALLY ADJUSTED","2852","EMPLOYMENT DEVELOPMENT DEPARTMENT, BEACON ECONOMICS"
"EMPLOYMENT","ESTABLISHMENT CHANGE BY INDUSTRY","TRANSPORT/WAREHOUSE","LOS ANGELES COUNTY",,,"2006","2006-04","2006","2006-02","4-1-2006","04-11-2017","#",,"409","QUARTERLY CENSUS OF EMPLOYMENT AND WAGES"
"EMPLOYMENT","ESTABLISHMENT CHANGE BY INDUSTRY","WHOLESALE TRADE","LOS ANGELES CITY",,"3","2015","2015-04","2015","2015-02","4-1-2015","04-11-2017","#",,"-2","EMPLOYMENT DEVELOPMENT DEPARTMENT, BEACON ECONOMICS"
"BUILDING PERMITS","MULTI-FAMILY PERMIT VALUES",,"LOS ANGELES CITY",,"CITY TOTAL","2011","2011-04","2011","2011-02","4-1-2011","04-11-2017","$","SEASONALLY ADJUSTED AND SMOOTHED","125600000","CITY OF LOS ANGELES DEPARTMENT OF BUILDING AND SAFETY"
"DEMOGRAPHICS","MEAN EARNINGS",,"LOS ANGELES CITY",,"4",,,"2014",,,"04-11-2017","$","MEAN EARNINGS FOR THOSE WITH EARNINGS","103729.84","U.S. CENSUS BUREAU; BEACON ECONOMICS"
"DEMOGRAPHICS","EDUCATIONAL ATTAINMENT BY GENDER","LESS THAN HIGH SCHOOL","LOS ANGELES COUNTY","FEMALE",,,,"2015",,,"04-11-2017","#","POPULATION 25 YEARS AND OVER","778234","U.S. CENSUS BUREAU; BEACON ECONOMICS"
"EMPLOYMENT","TOTAL PRIVATE EMPLOYMENT","TOTAL ALL INDUSTRIES","LOS ANGELES COUNTY",,,"2004","2004-03","2004","2004-01","1-1-2004","04-11-2017","#","SEASONALLY ADJUSTED","3467896","QUARTERLY CENSUS OF EMPLOYMENT AND WAGES"
"EMPLOYMENT","ESTABLISHMENT CHANGE BY INDUSTRY","NR/CONSTRUCTION","LOS ANGELES CITY",,"4","2013","2013-03","2013","2013-01","1-1-2013","04-11-2017","#",,"13","EMPLOYMENT DEVELOPMENT DEPARTMENT, BEACON ECONOMICS"
"DEMOGRAPHICS","UNEMPLOYMENT RATE BY GENDER",,"LOS ANGELES CITY","FEMALE","2",,,"2012",,,"04-11-2017","%",,"14.461704","U.S. CENSUS BUREAU; BEACON ECONOMICS"
"BUILDING PERMITS","NON-RESIDENTIAL ALTERATION PERMIT VALUES",,"LOS ANGELES CITY",,"3","2009","2009-01","2008","2008-03","7-1-2008","04-11-2017","$","SEASONALLY ADJUSTED AND SMOOTHED","7103487.8","CITY OF LOS ANGELES DEPARTMENT OF BUILDING AND SAFETY"
"EMPLOYMENT","EMPLOYMENT BY ESTABLISHMENT WAGE","MORE THAN $50,000","LOS ANGELES CITY",,"10","2012","2012-01","2011","2011-03","7-1-2011","04-11-2017","#","SEASONALLY ADJUSTED","17347","EMPLOYMENT DEVELOPMENT DEPARTMENT, BEACON ECONOMICS"
"EMPLOYMENT","ESTABLISHMENT CHANGE BY INDUSTRY","WHOLESALE TRADE","LOS ANGELES CITY",,"7","2009","2009-04","2009","2009-02","4-1-2009","04-11-2017","#",,"-6","EMPLOYMENT DEVELOPMENT DEPARTMENT, BEACON ECONOMICS"
"EMPLOYMENT","EMPLOYMENT BY ESTABLISHMENT WAGE","$25,000 TO $50,000","LOS ANGELES CITY",,"12","2009","2009-04","2009","2009-02","4-1-2009","04-11-2017","#","SEASONALLY ADJUSTED","31724","EMPLOYMENT DEVELOPMENT DEPARTMENT, BEACON ECONOMICS"
"BUILDING PERMITS","MIX-USE PERMITS",,"LOS ANGELES CITY",,"5","2013","2013-01","2012","2012-03","7-1-2012","04-11-2017","#","SEASONALLY ADJUSTED AND SMOOTHED","0","CITY OF LOS ANGELES DEPARTMENT OF BUILDING AND SAFETY"
"DEMOGRAPHICS","MEDIAN AGE",,"LOS ANGELES CITY",,"CITY TOTAL",,,"2013",,,"04-11-2017","#",,"34.7","U.S. CENSUS BUREAU; BEACON ECONOMICS"
"EMPLOYMENT","ESTABLISHMENT CHANGE BY INDUSTRY","OTHER SVCS.","LOS ANGELES CITY",,"1","2012","2012-04","2012","2012-02","4-1-2012","04-11-2017","#",,"3","EMPLOYMENT DEVELOPMENT DEPARTMENT, BEACON ECONOMICS"
"WAGES","AVERAGE ANNUAL WAGE",,"LOS ANGELES CITY",,"2","2009","2009-01","2008","2008-03","7-1-2008","04-11-2017","$",,"40238.3","EMPLOYMENT DEVELOPMENT DEPARTMENT"
"EMPLOYMENT","EMPLOYMENT BY ESTABLISHMENT SIZE","50 TO 150 EMPLOYEES","LOS ANGELES CITY",,"5","2014","2014-04","2014","2014-02","4-1-2014","04-11-2017","#","SEASONALLY ADJUSTED","36677","EMPLOYMENT DEVELOPMENT DEPARTMENT, BEACON ECONOMICS"
"EMPLOYMENT","PRIVATE EMPLOYMENT BY INDUSTRY","PROF, SCI, TECH, AND MGMT","LOS ANGELES CITY",,"1","2015","2015-02","2014","2014-04","10-1-2014","04-11-2017","#","SEASONALLY ADJUSTED","3984","EMPLOYMENT DEVELOPMENT DEPARTMENT, BEACON ECONOMICS"
"EMPLOYMENT","EMPLOYMENT BY ESTABLISHMENT WAGE","MORE THAN $50,000","LOS ANGELES CITY",,"10","2011","2011-04","2011","2011-02","4-1-2011","04-11-2017","#","SEASONALLY ADJUSTED","17493","EMPLOYMENT DEVELOPMENT DEPARTMENT, BEACON ECONOMICS"
"DEMOGRAPHICS","POPULATION BY RACE BY GENDER","HISPANIC OR LATINO","LOS ANGELES CITY","MALE","13",,,"2013",,,"04-11-2017","#",,"70884.602","U.S. CENSUS BUREAU; BEACON ECONOMICS"
"EMPLOYMENT","ESTABLISHMENT CHANGE BY INDUSTRY","MANUFACTURING","LOS ANGELES CITY",,"4","2011","2011-01","2010","2010-03","7-1-2010","04-11-2017","#",,"-2","EMPLOYMENT DEVELOPMENT DEPARTMENT, BEACON ECONOMICS"
"BUILDING PERMITS","MIX-USE PERMITS",,"LOS ANGELES CITY",,"1","2015","2015-03","2015","2015-01","1-1-2015","04-11-2017","#","SEASONALLY ADJUSTED AND SMOOTHED","345.9","CITY OF LOS ANGELES DEPARTMENT OF BUILDING AND SAFETY"
"EMPLOYMENT","EMPLOYMENT BY ESTABLISHMENT WAGE","MORE THAN $50,000","LOS ANGELES CITY",,"13","2012","2012-03","2012","2012-01","1-1-2012","04-11-2017","#","SEASONALLY ADJUSTED","45347","EMPLOYMENT DEVELOPMENT DEPARTMENT, BEACON ECONOMICS"
"EMPLOYMENT","TOTAL EMPLOYMENT","TOTAL ALL INDUSTRIES","LOS ANGELES CITY",,"1","2012","2012-04","2012","2012-02","4-1-2012","04-11-2017","#","SEASONALLY ADJUSTED","95946","EMPLOYMENT DEVELOPMENT DEPARTMENT, BEACON ECONOMICS"
"REAL GDP","REAL GDP PER CAPITA",,"NATION",,,"2003","2003-01","2002","2002-03",,"04-11-2017","$","SEASONALLY ADJUSTED","44938","BUREAU OF ECONOMIC ANALYSIS"
"EMPLOYMENT","EMPLOYMENT BY ESTABLISHMENT WAGE","$25,000 TO $50,000","LOS ANGELES CITY",,"5","2016","2016-02","2015","2015-04","10-1-2015","04-11-2017","#","SEASONALLY ADJUSTED","51603","EMPLOYMENT DEVELOPMENT DEPARTMENT, BEACON ECONOMICS"
"BUILDING PERMITS","NON-RESIDENTIAL PERMIT VALUES",,"LOS ANGELES CITY",,"2","2010","2010-03","2010","2010-01","1-1-2010","04-11-2017","$","SEASONALLY ADJUSTED AND SMOOTHED","8929010","CITY OF LOS ANGELES DEPARTMENT OF BUILDING AND SAFETY"
"EMPLOYMENT","PRIVATE EMPLOYMENT BY INDUSTRY","ADMIN SUPPORT","LOS ANGELES CITY",,"3","2012","2012-01","2011","2011-03","7-1-2011","04-11-2017","#","SEASONALLY ADJUSTED","8564","EMPLOYMENT DEVELOPMENT DEPARTMENT, BEACON ECONOMICS"
"EMPLOYMENT","ESTABLISHMENT CHANGE BY INDUSTRY","TRANSPORT/WAREHOUSE","LOS ANGELES CITY",,"15","2010","2010-03","2010","2010-01","1-1-2010","04-11-2017","#",,"5","EMPLOYMENT DEVELOPMENT DEPARTMENT, BEACON ECONOMICS"
"BUILDING PERMITS","SINGLE-FAMILY PERMIT VALUES",,"LOS ANGELES CITY",,"4","2016","2016-03","2016","2016-01","1-1-2016","04-11-2017","$","SEASONALLY ADJUSTED AND SMOOTHED","30105020","CITY OF LOS ANGELES DEPARTMENT OF BUILDING AND SAFETY"
"TAXABLE SALES","TAXABLE SALES","TOTAL","LOS ANGELES CITY",,"CITY TOTAL","2015","2015-02","2014","2014-04","10-1-2014","04-11-2017","$","THOUSANDS, SEASONALLY ADJUSTED","10944584","BOARD OF EQUALIZATION"
"TAXABLE SALES","TAXABLE SALES BY SECTOR","ALL OTHER OUTLETS","LOS ANGELES CITY",,"CITY TOTAL","2013","2013-01","2012","2012-03","7-1-2012","04-11-2017","$","THOUSANDS, SEASONALLY ADJUSTED","2393563.6","BOARD OF EQUALIZATION"
"EMPLOYMENT","PRIVATE EMPLOYMENT BY INDUSTRY","ADMIN SUPPORT","LOS ANGELES CITY",,"9","2015","2015-02","2014","2014-04","10-1-2014","04-11-2017","#","SEASONALLY ADJUSTED","2122","EMPLOYMENT DEVELOPMENT DEPARTMENT, BEACON ECONOMICS"
"BUILDING PERMITS","SINGLE-FAMILY PERMIT VALUES",,"LOS ANGELES CITY",,"11","2013","2013-03","2013","2013-01","1-1-2013","04-11-2017","$","SEASONALLY ADJUSTED AND SMOOTHED","26370174","CITY OF LOS ANGELES DEPARTMENT OF BUILDING AND SAFETY"
"EMPLOYMENT","ESTABLISHMENT CHANGE BY INDUSTRY","OTHER SVCS.","LOS ANGELES COUNTY",,,"1993","1993-02","1992","1992-04","10-1-1992","04-11-2017","#",,"2580","QUARTERLY CENSUS OF EMPLOYMENT AND WAGES"
"EMPLOYMENT","ESTABLISHMENT CHANGE BY INDUSTRY","FIN. SVCS. AND REAL ESTATE","LOS ANGELES CITY",,"9","2013","2013-02","2012","2012-04","10-1-2012","04-11-2017","#",,"-2","EMPLOYMENT DEVELOPMENT DEPARTMENT, BEACON ECONOMICS"
"EMPLOYMENT","ESTABLISHMENT CHANGE BY INDUSTRY","PROF, SCI, TECH, AND MGMT","LOS ANGELES CITY",,"2","2011","2011-04","2011","2011-02","4-1-2011","04-11-2017","#",,"1","EMPLOYMENT DEVELOPMENT DEPARTMENT, BEACON ECONOMICS"
"DEMOGRAPHICS","POPULATION BY INCOME BRACKET BY GENDER","LESS THAN $14,999","LOS ANGELES CITY","MALE","15",,,"2013",,,"04-11-2017","#","POPULATION 16 YEARS AND OVER WITH EARNINGS","19941.537","U.S. CENSUS BUREAU; BEACON ECONOMICS"
"TAXABLE SALES","TAXABLE SALES BY SECTOR","GENERAL MERCHANDISE STORES","STATE OF CALIFORNIA",,,"2002","2002-02","2001","2001-04","10-1-2001","04-11-2017","$","THOUSANDS, SEASONALLY ADJUSTED","10670566","BOARD OF EQUALIZATION"
"EMPLOYMENT","ESTABLISHMENT CHANGE BY INDUSTRY","OTHER SVCS.","LOS ANGELES CITY",,"15","2011","2011-03","2011","2011-01","1-1-2011","04-11-2017","#",,"-8","EMPLOYMENT DEVELOPMENT DEPARTMENT, BEACON ECONOMICS"
"EMPLOYMENT","ESTABLISHMENT CHANGE BY INDUSTRY","MANUFACTURING","LOS ANGELES CITY",,"3","2011","2011-03","2011","2011-01","1-1-2011","04-11-2017","#",,"3","EMPLOYMENT DEVELOPMENT DEPARTMENT, BEACON ECONOMICS"
"EMPLOYMENT","PRIVATE EMPLOYMENT BY INDUSTRY","INFORMATION","LOS ANGELES CITY",,"2","2010","2010-04","2010","2010-02","4-1-2010","04-11-2017","#","SEASONALLY ADJUSTED","2900","EMPLOYMENT DEVELOPMENT DEPARTMENT, BEACON ECONOMICS"
"TAXABLE SALES","TAXABLE SALES BY SECTOR","BLDG. MATRL. AND GARDEN EQUIP. AND SUPPLIES","STATE OF CALIFORNIA",,,"2006","2006-02","2005","2005-04","10-1-2005","04-11-2017","$","THOUSANDS, SEASONALLY ADJUSTED","11166746","BOARD OF EQUALIZATION"
"EMPLOYMENT","PRIVATE EMPLOYMENT BY INDUSTRY","EDUCATION/HEALTH","LOS ANGELES CITY",,"13","2010","2010-02","2009","2009-04","10-1-2009","04-11-2017","#","SEASONALLY ADJUSTED","27568","EMPLOYMENT DEVELOPMENT DEPARTMENT, BEACON ECONOMICS"
"EMPLOYMENT","ESTABLISHMENT CHANGE BY INDUSTRY","WHOLESALE TRADE","LOS ANGELES CITY",,"11","2016","2016-02","2015","2015-04","10-1-2015","04-11-2017","#",,"10","EMPLOYMENT DEVELOPMENT DEPARTMENT, BEACON ECONOMICS"
"REAL GDP","REAL GDP PER CAPITA",,"NATION",,,"2012","2012-02","2011","2011-04",,"04-11-2017","$","SEASONALLY ADJUSTED","48529","BUREAU OF ECONOMIC ANALYSIS"
"BUILDING PERMITS","NEW COMMERCIAL PERMIT VALUES",,"LOS ANGELES CITY",,"4","2012","2012-03","2012","2012-01","1-1-2012","04-11-2017","$","SEASONALLY ADJUSTED AND SMOOTHED","1113061.4","CITY OF LOS ANGELES DEPARTMENT OF BUILDING AND SAFETY"
"EMPLOYMENT","PRIVATE EMPLOYMENT BY INDUSTRY","LEISURE AND HOSPITALITY","LOS ANGELES COUNTY",,,"2016","2016-01","2015","2015-03","7-1-2015","04-11-2017","#","SEASONALLY ADJUSTED","487113.5","QUARTERLY CENSUS OF EMPLOYMENT AND WAGES"
"EMPLOYMENT","TOTAL EMPLOYMENT","TOTAL ALL INDUSTRIES","LOS ANGELES CITY",,"10","2015","2015-04","2015","2015-02","4-1-2015","04-11-2017","#","SEASONALLY ADJUSTED","76437","EMPLOYMENT DEVELOPMENT DEPARTMENT, BEACON ECONOMICS"
"BUILDING PERMITS","MULTI-FAMILY PERMITS",,"LOS ANGELES CITY",,"15","2010","2010-01","2009","2009-03","7-1-2009","04-11-2017","#","SEASONALLY ADJUSTED AND SMOOTHED","3.8","CITY OF LOS ANGELES DEPARTMENT OF BUILDING AND SAFETY"
"BUILDING PERMITS","MULTI-FAMILY PERMIT VALUES",,"LOS ANGELES CITY",,"7","2013","2013-01","2012","2012-03","7-1-2012","04-11-2017","$","SEASONALLY ADJUSTED AND SMOOTHED","3774580.2","CITY OF LOS ANGELES DEPARTMENT OF BUILDING AND SAFETY"
"TAXABLE SALES","TAXABLE SALES RECEIPTS","TOTAL ALL OUTLETS","LOS ANGELES CITY",,"14","2016",,,,,"04-11-2017","$","THOUSANDS","45580.301","CITY OF LOS ANGELES OFFICE OF FINANCE"
"EMPLOYMENT","ESTABLISHMENT CHANGE BY INDUSTRY","WHOLESALE TRADE","LOS ANGELES CITY",,"CITY TOTAL","2012","2012-03","2012","2012-01","1-1-2012","04-11-2017","#",,"-1","EMPLOYMENT DEVELOPMENT DEPARTMENT, BEACON ECONOMICS"
