"fiscal_year","fiscal_month_name","expenditures","fund_name","fiscal_month_number","fund"
"2012","JULY","162154.06","LIBRARY SERVICE TRUST","1","419"
"2012","JULY","776826","ST DAMAGE RESTORATION FEE SPEC","1","41A"
"2012","JULY","1000000","SYSTEMATIC CODE ENFORCEMNT FEE","1","41M"
"2012","JULY","86703.64","LA DOWNTOWN INDUSTR BUS IMPROV","1","41T"
"2012","JULY","26757.35","HISTORIC CORE BUS IMPROVE DIST","1","41U"
"2012","JULY","6346028.34","COMMUNITY DEVELOPMENT TRUST","1","424"
"2012","JULY","7565","GREATER LOS ANGELES VISITORS","1","429"
"2012","JULY","144384.84","STUDIO CITY BUS IMPROV DISTRIC","1","42M"
"2012","JULY","333392.41","HOLLYWOOD MEDIA DP & BUS IMPRO","1","42X"
"2012","JULY","541.66","VENICE AREA SURP REAL PROPERTY","1","434"
"2012","JULY","220877.98","CONSTRUCTION SERVICES TRUST FD","1","438"
"2012","JULY","73041.41","STREET FURNITURE REVENUE FUND","1","43D"
"2012","JULY","756187.63","PROPOSITION K PROJECTS FUND","1","43K"
"2012","JULY","12316","BUS BENCH ADVERTISING PROGRA","1","43S"
"2012","JULY","486292.50","RENT STABILIZATION TRUST","1","440"
"2012","JULY","1153.63","CURBSIDE RECYCLING TRUST","1","444"
"2012","JULY","101565.39","COASTAL TRANSP CORRIDOR TRUST","1","447"
"2012","JULY","2530313.45","WORKFORCE INVEST ACT TRS","1","44A"
"2012","JULY","1008420.63","DEPT OF NEIGHBORHOOD EMPOWERE","1","44B"
"2012","JULY","342360.14","US DEPT OF JUSTICE ASSET FORFE","1","44D"
"2012","JULY","16916.93","CALIF STATE ASSET FORFEITURE","1","44F"
"2012","JULY","33525.53","CITY OF LA AFFORDABLE HOUSING","1","44G"
"2012","JULY","94129.46","LA CHINATOWN BUSINESS IMPR DIS","1","44K"
"2012","JULY","16030.37","ENCINO BUSINESS IMPROVEMENT DI","1","44M"
"2012","JULY","11086.74","TARGETED DESTIN AMBULANCE SERV","1","44R"
"2012","JULY","2750","LOW INCOME HOUSING TAX CREDIT","1","458"
"2012","JULY","139442.64","ENERGY CONSERVATION LOAN PROGR","1","45E"
"2012","JULY","219541.75","HOLLYWOOD ENTERTAINMENT BID","1","45J"
"2012","JULY","600","INTELLECTUAL PROPERTY FUND","1","45V"
"2012","JULY","5582.84","CITYWIDE RECYCLING TRUST FUND","1","46D"
"2012","JULY","37520.66","INSURANCE PREMIUMS SPECIAL FD","1","46S"
"2012","JULY","193695.14","ATTORNEY CONFLICTS PANEL SP FD","1","46T"
"2012","JULY","110525","CALHOME TRUST FUND","1","46X"
"2012","JULY","6106.84","COMPUTERIZED INFOR CTR FOR DIS","1","473"
"2012","JULY","110877.34","LAPD TRAIN & EVAL MGMT SYS II","1","47C"
"2012","JULY","175570.47","SANIT EQ CHARGE RB2003B ACQUIS","1","47D"
"2012","JULY","34503.41","CENTRAL LA RECYCLING TRFR STAT","1","47R"
"2012","JULY","837897.68","PROPOSITION 40 PER CAPITA TRUS","1","47T"
"2012","JULY","1481.71","BLACK MARKET CIGAR PROSEC TR","1","47V"
"2012","JULY","492627.92","PROP 40 ROBERTI-Z'BERG-HARRIS","1","47W"
"2012","JULY","858104.71","ARTS AND CULTURAL FACIL & SERV","1","480"
"2012","JULY","16185.45","ATSAC TRUST","1","484"
"2012","JULY","1032.96","LANDFILL CLOSURE & POSTCLOSURE","1","488"
"2012","JULY","70467.65","SOUTH PARK BUSINESS IMPROV","1","48A"
"2012","JULY","5997914.24","BLDG & SAFETY PERMIT ENTERPRIS","1","48R"
"2012","JULY","9687.11","BEGIN GRANT PROGRAM FUND","1","49D"
"2012","JULY","38375.0","LEAD GRANT FUNDS","1","49E"
"2012","JULY","39643.27","SO LA IND TRACT(GOODYEAR) BID","1","49H"
"2012","JULY","102017.85","ARTS DISTRICT BUSINESS IMP DIS","1","49J"
"2012","JULY","25476.49","EAST HOLLYWOOD PROPERTY BID","1","49L"
"2012","JULY","16263096.33","SOLID WASTE RESOURCES FUND","1","508"
"2012","JULY","143495.73","FY07 UASI HOMELAND SECURITY GR","1","50G"
"2012","JULY","22798.55","GANG REDUCTION & YOUTH DEVELOP","1","50K"
"2012","JULY","96181.57","CENTURY CITY BUS IMPROV DIST","1","50Q"
"2012","JULY","194141.06","NEIGHBORHOOD STABILIZATION PG","1","50T"
"2012","JULY","97249.11","FY08 UASI HOMELAND SECURITY GR","1","50X"
"2012","JULY","51145.51","STORMWATER POLLUTION ABATE FND","1","511"
"2012","JULY","4000","ARTS DEVELOPMENT FEE TRUST FND","1","516"
"2012","JULY","2100","FEDERAL EMERGENCY SHELTER GRNT","1","517"
"2012","JULY","1552444.89","ARRA-WORKFORCE INVESTMENT ACT","1","51G"
"2012","JULY","662344.49","ARRA-COMMUNITY DEV BLOCK GRANT","1","51N"
"2012","JULY","652600.52","MEASURE R LOCAL RETURN FUND","1","51Q"
"2012","JULY","383277","ARRA-ENERGY EFFICIENCY CONSERV","1","51S"
"2012","JULY","2092122.63","SOLID WASTE RES RB2009A ACQUIS","1","51W"
"2012","JULY","16403.75","LOCAL ENFORCE AGENCY LANDFILL","1","527"
"2012","JULY","6134.99","FY09 JUSTICE ASSISTANCE GRANT","1","52A"
"2012","JULY","166135.90","ARRA-BTOP PUBLIC COMPUTER CTR","1","52B"
"2012","JULY","164010.61","RECREATION AND PARKS GOLF SPE","1","52H"
"2012","JULY","716463.15","ARRA-NEIGHBORHOOD STABIL PROG2","1","52J"
"2012","JULY","1167.06","ARRA-TEEN & RETAIL EDUC TABACO","1","52K"
"2012","JULY","93827.07","ARRA-EECBG FUND - LAHD","1","52P"
"2012","JULY","40800","DOL FEDERAL EARMARK","1","52R"
"2012","JULY","169303","CITY ETHICS COMMISSION FUND","1","534"
"2012","JULY","18433.7","2010 CSGP NEWTON GRYD ZONE","1","53F"
"2012","JULY","168458.95","2010 CALGRIP GRANT FUND","1","53K"
"2012","JULY","318575.44","2009 BOYLE HEIGHTS GRYD ZONE","1","53N"
"2012","JULY","514163","STATE AB1290 CITY FUND","1","53P"
"2012","JULY","3890895.96","PROPOSITION C ANTIGRIDLOCK IMP","1","540"
"2012","JULY","37183.77","CITY ATTY CONSUMER PROTEC PROC","1","550"
"2012","JULY","39033","GENERAL FUND- VARIOUS PROGRAM","1","551"
"2012","JULY","24259.46","RESIDENTIAL PROPERTY MAINT FND","1","553"
"2012","JULY","33337","SP POLICE COMMUNIC/911 SYST TX","1","554"
"2012","JULY","1548","LOPEZ CANYON LANDFILL CLOSURE","1","557"
"2012","JULY","397498","LANDFILL MAINTENANCE SPEC TRUS","1","558"
"2012","JULY","3846421.05","HOME INVESTMENT PARTSHIP PROGR","1","561"
"2012","JULY","25224","TITLE VII OLDER AMERICANS ACT","1","564"
"2012","JULY","157127","HOUSEHOLD HAZARDOUS WASTE SP","1","567"
"2012","JULY","103731.15","HOUSING OPPOR FOR PERSON W/AID","1","569"
"2012","JULY","2930315","LOCAL PUBLIC SAFETY FUND","1","574"
"2012","JULY","36933","USED OIL COLLECTION TRUST FUND","1","586"
"2012","JULY","265990","CITY PLANNING SYSTEM DEVE FUND","1","588"
"2012","JULY","32998.57","TRANSP REGULATION &ENFORCEMENT","1","596"
"2012","JULY","26661","SENIOR CITYRIDE PROGRAM FUND","1","599"
"2012","JULY","558139.41","SEISMIC BOND REIMB FUND","1","608"
"2012","JULY","294480.92","DOWNTOWN PROP OWNERS MGMT DIST","1","647"
"2012","JULY","633110.17","TRANSPORTATION GRANTS FUND","1","655"
"2012","JULY","100842.70","LAPD REVOLVING TRAINING FUND","1","670"
"2012","JULY","29809.04","WEST LA TRANSP IMPROV & MITIGA","1","681"
"2012","JULY","154686473.63","AIRPORT REVENUE","1","700"
"2012","JULY","134435.89","COLISEUM","1","701"
"2012","JULY","94163154.07","HARBOR REVENUE","1","702"
"2012","JULY","353903893.81","POWER REVENUE","1","704"
"2012","JULY","131623512.45","WATER REVENUE","1","705"
"2012","JULY","342447.64","PRINTING REVOLVING","1","706"
"2012","JULY","2255674.94","STORES REVOLVING","1","707"
"2012","JULY","504619.18","WASTEWATER SYS REV BD CONS/10B","1","70Q"
"2012","JULY","261456.30","WW SYST COMM PAPER A CONST FND","1","70W"
"2012","JULY","715674.66","WW SYST COMM PAPER B CONST FND","1","70X"
"2012","JULY","1079036.33","PASSENGER FACILITY CHARGE -LAX","1","71R"
"2012","JULY","9151578.77","AIRPORT REVENUE FUND-ONTARIO","1","723"
"2012","JULY","1211038.45","LA CONVENTION CENTER REVENUE","1","725"
"2012","JULY","18909231.61","SEWER OPERATIONS & MAINTENANCE","1","760"
"2012","JULY","6270083.97","SEWER CAPITAL FUND","1","761"
"2012","JULY","203130.14","DWP FLEXIBLE SPEND ACCTS (FSA)","1","776"
"2012","JULY","126537017.18","CITY EMPLOYEES RETIREMENT","1","800"
"2012","JULY","287728.26","FIRE & POLICE TIER 1 SERVICE P","1","801"
"2012","JULY","1764136.75","FIRE & POLICE TIER 1 GENERAL P","1","802"
"2012","JULY","25543155.41","FIRE & POLICE TIER 2 SERVICE P","1","803"
"2012","JULY","26562032.32","FIRE & POLICE TIER 2 GENERAL P","1","804"
"2012","JULY","354845.36","FIRE & POLICE TIER 3 SERVICE P","1","805"
"2012","JULY","1190545.41","FIRE & POLICE TIER 3 GENERAL P","1","806"
"2012","JULY","1106263.39","WATER/POWER EMP DEATH BENEFITS","1","807"
"2012","JULY","1689125.37","WATER/POWER EMPLOYEES DISABIL","1","808"
"2012","JULY","75922378.92","WATER/POWER RETIREMENT","1","809"
"2012","JULY","87031","MUNICIPAL HOUSING FINANCE FUND","1","815"
"2012","JULY","21407.87","LIBRARY TRUST","1","831"
"2012","JULY","25327.65","PUBLIC WORKS TRUST","1","834"
"2012","JULY","120900.4","ANIMAL STERILIZATION","1","842"
"2012","JULY","7362","CULTURAL AFFAIRS DEPT TRUST","1","844"
"2012","JULY","5379630.59","DWP RETIREE HEALTH BENEFITS","1","850"
"2012","JULY","25803.43","ANIMAL WELFARE TRUST","1","859"
"2012","JULY","306369","PROJECT RESTORE TRUST FUND","1","869"
"2012","JULY","22935","DISASTER ASSISTANCE TRUST FUND","1","872"
"2012","JULY","654.77","CITY ATTY FORFEITED ASSETS TRU","1","874"
"2012","JULY","47861","PERSHING SQUARE SPECIAL TRUST","1","876"
"2012","JULY","349007.62","PENSION SAVINGS INVESTMENT FND","1","881"
"2012","JULY","23374676.25","IRS SEC501 EMPLOYEE BENEF TRUS","1","899"
"2012","JULY","34654.55","EXCESS BENEFIT PLAN","1","901"
"2012","JULY","321125","STAPLES CENTER TRUST FUND","1","908"
"2012","JULY","564151.3","FIRE & POLICE TIER 4 SERVICE P","1","909"
"2012","JULY","219450.19","FIRE & POLICE TIER 4 GENERAL P","1","910"
"2012","JULY","25495310.85","FIRE & POLICE TIER 5 SERVICE P","1","915"
"2012","JULY","5015336.91","FIRE & POLICE TIER 5 GENERAL P","1","916"
"2012","JULY","61762.33","F&P PEN EXCESS BENEFIT PLAN FD","1","918"
"2012","JULY","362272.5","GOB REFUNDING SER99A DEBT SERV","1","A54"
"2012","JULY","1257875","GOB SERIES 2001A DEBT SERVICE","1","A58"
"2012","JULY","2515481.25","GOB SERIES 2002A DEBT SERVICE","1","A59"
"2012","JULY","2917500","GOB SERIES 2003A DEBT SERVICE","1","A61"
"2012","JULY","20440768.75","PWR SYST RB 2008 A BD SER FUND","1","J2B"
"2012","JULY","3848259.38","PWR SYST RB 2009 A BD SER FUND","1","J3B"
"2012","JULY","4340200","PWR SYST RB 2009 B BD SER FUND","1","J4B"
"2012","JULY","18280280","PWR SYST RB 2010 A BD SER FUND","1","J5B"
"2012","JULY","1283489.38","PWR SYST RB 2010 B BD SER FUND","1","J5E"
"2012","JULY","3854994.5","PWR SYST RB 2010 C BD SER FUND","1","J5J"
"2012","JULY","29260898.71","PWR SYST RB 2010 D BD SER FUND","1","J5N"
"2012","JULY","57532856.26","PWR SYST RB 2003 A BD SER FUND","1","J83"
"2012","JULY","3146305","PWR SYST RB 2003 B BD SER FUND","1","J85"
"2012","JULY","33136865.63","PWR SYST RB 2005 A BD SER FUND","1","J91"
"2012","JULY","14008090","PWR SYST RB 2007 A BD SER FUND","1","J96"
"2012","JULY","7523331.26","WS RB 2003 SERIES A BOND SERVC","1","M5B"
"2012","JULY","14346753.13","WS RB 2003 SERIES B BOND SERVC","1","M5E"
"2012","JULY","5014962.5","WS RB 2004 SERIES C BOND SERVC","1","M6F"
"2012","JULY","19035951.88","WS RB 2005 SERIES A BOND SERVC","1","M7B"
"2012","JULY","7146142.5","WS RB 2007 SERIES A BOND SERVC","1","M8B"
"2012","JULY","11088171.93","WS RB 2001 SERIES A BOND SERVC","1","M99"
"2012","JULY","3811090.66","WS RB 2009 SERIES A BOND SERVC","1","M9B"
"2012","JULY","3292225","WS RB 2009 SERIES B BOND SERVC","1","M9E"
"2012","JULY","10005008.96","WS RB 2009 SERIES C BOND SERVC","1","M9H"
"2012","JULY","18022020.37","WS RB 2010 SERIES A BOND SERVC","1","M9L"
"2012","JULY","52251000","WS RB 2010 SERIES A CONSTRU FD","1","M9M"
"2012","JULY","838614.26","WSSRB DEBT SERV REF 2006-A-D","1","W53"
"2012","JULY","34063.15","WSSRB DEBT SERV REF 2008-A-H","1","W55"
"2012","AUGUST","377624520.97","GENERAL FUND (GENERAL BUDGET)","2","100"
"2012","AUGUST","19652433.51","RESERVE","2","101"
"2012","AUGUST","1826.89","GOB SERIES 2001A LIBRARY CONST","2","15E"
"2012","AUGUST","6430.1","GOB SERIES 2001A ZOO IMP CONST","2","15F"
"2012","AUGUST","783.24","GOB SERIES 2001A ANIM SH CONST","2","15G"
"2012","AUGUST","453172.02","GOB SERIES 2001A FIRE/PR CONST","2","15H"
"2012","AUGUST","690568.84","GOB SERIES 2002A ZOO IMP CONST","2","15K"
"2012","AUGUST","56253.26","GOB SERIES 2002A FIRE/PR CONST","2","15M"
"2012","AUGUST","71633.28","GOB SERIES 2002A 911/P/F CONST","2","15N"
"2012","AUGUST","627695.32","GOB SERIES 2003A ANIM SH CONST","2","15S"
"2012","AUGUST","74947.1","GOB SERIES 2003A FIRE/PR CONST","2","15T"
"2012","AUGUST","29896.58","POLICE FACILITIES GOB CITY OF","2","162"
"2012","AUGUST","261894.21","GOB SERIES 2004A 911/P/F CONST","2","16A"
"2012","AUGUST","46377.82","GOB SERIES 2005A FIRE/PARA CON","2","16D"
"2012","AUGUST","426489.90","GOB 2008A CLEAN WATER CLEANUP","2","16Q"
"2012","AUGUST","2277084.05","GOB 2009 CLEAN WATER CLEANUP","2","16T"
"2012","AUGUST","244829.13","GOB SER 95A P.W. PROJ CONSTRUC","2","189"
"2012","AUGUST","71.99","GOB SER99B ZOO IMPR CONSTRUCTN","2","199"
"2012","AUGUST","1173799.34","RECREATION & PARKS GRANT","2","205"
"2012","AUGUST","6688404.64","SPECIAL GAS TAX ST IMPROV","2","206"
"2012","AUGUST","157163.62","LOCAL TRANSPORTATION","2","207"
"2012","AUGUST","49021378.06","SEWER CONSTRUCTION&MAINTENANCE","2","208"
"2012","AUGUST","120051.08","PARK & REC SITES & FACILITIES","2","209"
"2012","AUGUST","9682.71","HOUSING PRODUCTION REVOLVING","2","240"
"2012","AUGUST","15000000","MICLA SER2006A POLICE FAC CONS","2","26A"
"2012","AUGUST","10936.96","MICLA SER2008 CAP EQPT ACCT FD","2","26D"
"2012","AUGUST","634923.06","MICLA REV BDS 2009-D CONST FD","2","26G"
"2012","AUGUST","7779140.88","MICLA LEASE REV COM PAPER NTES","2","298"
"2012","AUGUST","1836538.18","ARRA-MICLA CP SPECIAL FUNDNTES","2","299"
"2012","AUGUST","5229459.06","LIBRARY","2","300"
"2012","AUGUST","1987425.30","MUNICIPAL SPORTS ACCOUNT","2","301"
"2012","AUGUST","18714700.82","RECREATION AND PARKS","2","302"
"2012","AUGUST","30111.80","SIDEWALK & TREE MAINT ASSESS","2","304"
"2012","AUGUST","1134076.82","SUBVENTIONS AND GRANTS","2","305"
"2012","AUGUST","1086826.10","TRAFFIC SAFETY","2","306"
"2012","AUGUST","548671.5","RENTAL HOUSING PRODUCTION","2","307"
"2012","AUGUST","61531.33","FIRE DEPT GRANT","2","335"
"2012","AUGUST","143544","FIRE HYDRANT INSTAL&MAIN REPLA","2","336"
"2012","AUGUST","67721","CULTURAL AFFAIRS GRANT","2","337"
"2012","AUGUST","415973.44","POLICE DEPT GRANT","2","339"
"2012","AUGUST","295260.00","TELECOM LIQ DMGE &LOST FR FEES","2","342"
"2012","AUGUST","47463.25","REPAIR & DEMOLITION","2","346"
"2012","AUGUST","2831557.93","ST LIGHTING MAINTENANCE ASSESS","2","347"
"2012","AUGUST","97863","UDAG REVENUE FUND","2","356"
"2012","AUGUST","3820879.97","SPECIAL PARKING REVENUE","2","363"
"2012","AUGUST","153868.15","CITY ATTORNEY GRANTS","2","368"
"2012","AUGUST","6641144.93","PROPOSITION A LOCAL TRANSIT","2","385"
"2012","AUGUST","27423.75","EMERGENCY OPERATIONS FUND","2","392"
"2012","AUGUST","1478567","AREA PLAN FOR THE AGING TIT 7","2","395"
"2012","AUGUST","1528775.3","ZOO ENTERPRISE TRUST FUND","2","40E"
"2012","AUGUST","268725.93","LAFD SPECIAL TRAINING FUND","2","40J"
"2012","AUGUST","552299.51","DOWNTOWN CTR BUS IMPROV DISTR","2","40Q"
"2012","AUGUST","24172.76","CENTURY CORRIDOR BUS IMPROVE","2","40R"
"2012","AUGUST","81937","OTHER PROGRAMS FOR THE AGING","2","410"
"2012","AUGUST","44710.15","LIBRARY SERVICE TRUST","2","419"
"2012","AUGUST","776890","ST DAMAGE RESTORATION FEE SPEC","2","41A"
"2012","AUGUST","2165407.72","SYSTEMATIC CODE ENFORCEMNT FEE","2","41M"
"2012","AUGUST","6783439.72","COMMUNITY DEVELOPMENT TRUST","2","424"
"2012","AUGUST","80791","COMMUNITY SER BL GRANT TRUST","2","428"
"2012","AUGUST","2474241.75","GREATER LOS ANGELES VISITORS","2","429"
"2012","AUGUST","460984.96","COMM FAC DIST 3 CASCADE BUSPRK","2","42E"
"2012","AUGUST","104173","SENIOR HUMAN SERVICES PROGRAM","2","42J"
"2012","AUGUST","79150.82","CANOGA PARK BUS IMPROV DISTRIC","2","42N"
"2012","AUGUST","870.21","VENICE AREA SURP REAL PROPERTY","2","434"
"2012","AUGUST","147961.96","CONSTRUCTION SERVICES TRUST FD","2","438"
"2012","AUGUST","6400","STREET FURNITURE REVENUE FUND","2","43D"
"2012","AUGUST","1838.61","CHATSWORTH BUSINESS IMPROV DIS","2","43E"
"2012","AUGUST","33450","CDD SECTION 108 LOAN GUARANTEE","2","43F"
"2012","AUGUST","4693401.11","PROPOSITION K PROJECTS FUND","2","43K"
"2012","AUGUST","12320","BUS BENCH ADVERTISING PROGRA","2","43S"
"2012","AUGUST","961835.45","RENT STABILIZATION TRUST","2","440"
"2012","AUGUST","669.63","COASTAL TRANSP CORRIDOR TRUST","2","447"
"2012","AUGUST","4066874.57","WORKFORCE INVEST ACT TRS","2","44A"
"2012","AUGUST","419469.72","DEPT OF NEIGHBORHOOD EMPOWERE","2","44B"
"2012","AUGUST","452523.22","US DEPT OF JUSTICE ASSET FORFE","2","44D"
"2012","AUGUST","128450.07","CALIF STATE ASSET FORFEITURE","2","44F"
"2012","AUGUST","1045182.66","CITY OF LA AFFORDABLE HOUSING","2","44G"
"2012","AUGUST","3405.63","LINCOLN HEIGHTS INDUS ZONE BID","2","44L"
"2012","AUGUST","5725.58","TARGETED DESTIN AMBULANCE SERV","2","44R"
"2012","AUGUST","2500","LOW INCOME HOUSING TAX CREDIT","2","458"
"2012","AUGUST","1940046.03","CITYWIDE RECYCLING TRUST FUND","2","46D"
"2012","AUGUST","1000","ILLEGAL DUMPING REWARD PROG TR","2","46G"
"2012","AUGUST","22107.16","BRENTWOOD WILLAGE BID FUND","2","46J"
"2012","AUGUST","5208045.29","COMM FACI DIST 4 PLAYA VISTA I","2","46K"
"2012","AUGUST","47083.33","INSURANCE PREMIUMS SPECIAL FD","2","46S"
"2012","AUGUST","52425.08","ATTORNEY CONFLICTS PANEL SP FD","2","46T"
"2012","AUGUST","28821","OMBUDSMAN INITIATIVE PROGRAM F","2","46V"
"2012","AUGUST","278810","CALHOME TRUST FUND","2","46X"
"2012","AUGUST","6797.5","CITY PLANNING GRANTS TRUST FD","2","46Y"
"2012","AUGUST","107368.42","LAPD TRAIN & EVAL MGMT SYS II","2","47C"
"2012","AUGUST","3176.63","SANIT EQ CHARGE RB2003B ACQUIS","2","47D"
"2012","AUGUST","3595.23","CENTURY CITY NEIGHBOR TRAFFIC","2","47M"
"2012","AUGUST","199180","HOMELAND SECURITY ASSISTANCE","2","47N"
"2012","AUGUST","204818.83","CENTRAL LA RECYCLING TRFR STAT","2","47R"
"2012","AUGUST","834762.60","PROPOSITION 40 PER CAPITA TRUS","2","47T"
"2012","AUGUST","10073.94","BLACK MARKET CIGAR PROSEC TR","2","47V"
"2012","AUGUST","150818.08","PROP 40 ROBERTI-Z'BERG-HARRIS","2","47W"
"2012","AUGUST","37978","HEALTH INS COUNS ADV (HICAP)","2","47Y"
"2012","AUGUST","635184.5","ARTS AND CULTURAL FACIL & SERV","2","480"
"2012","AUGUST","21329.28","ATSAC TRUST","2","484"
"2012","AUGUST","124332.54","LANDFILL CLOSURE & POSTCLOSURE","2","488"
"2012","AUGUST","929.86","OFFICE OF TRAFFIC SAFETY PROG","2","48F"
"2012","AUGUST","6692149.52","BLDG & SAFETY PERMIT ENTERPRIS","2","48R"
"2012","AUGUST","0","BEGIN GRANT PROGRAM FUND","2","49D"
"2012","AUGUST","213485.88","LEAD GRANT FUNDS","2","49E"
"2012","AUGUST","2500","COUNC DIST8 PUB BENEFIT TR FD","2","49F"
"2012","AUGUST","45407.05","SOLID WASTE RES RB2006A ACQUIS","2","49G"
"2012","AUGUST","176702.16","NORTH HOLLYWOOD TRANSIT BID","2","49R"
"2012","AUGUST","6198.58","SYLMAR PROPERTY BUS IMPROV DIS","2","49W"
"2012","AUGUST","9760.21","CAPITAL PROJECTS BD RESERVE FD","2","49Y"
"2012","AUGUST","15594573.55","SOLID WASTE RESOURCES FUND","2","508"
"2012","AUGUST","1116414.57","FY07 UASI HOMELAND SECURITY GR","2","50G"
"2012","AUGUST","803163.60","GANG REDUCTION & YOUTH DEVELOP","2","50K"
"2012","AUGUST","318735.43","HIST WATERFRONT SAN PEDRO BID","2","50L"
"2012","AUGUST","125000","COUNC DIST10 PUB BENEFIT TR FD","2","50R"
"2012","AUGUST","494213.14","NEIGHBORHOOD STABILIZATION PG","2","50T"
"2012","AUGUST","30000","FY08 CA GANG REDUCTION PREV PG","2","50W"
"2012","AUGUST","653648.85","FY08 UASI HOMELAND SECURITY GR","2","50X"
"2012","AUGUST","225564.85","STORMWATER POLLUTION ABATE FND","2","511"
"2012","AUGUST","59926.5","ARTS DEVELOPMENT FEE TRUST FND","2","516"
"2012","AUGUST","391404","FEDERAL EMERGENCY SHELTER GRNT","2","517"
"2012","AUGUST","232540.06","COMM FAC DIST8 SPECIAL TAX FD","2","51F"
"2012","AUGUST","2274191.02","ARRA-WORKFORCE INVESTMENT ACT","2","51G"
"2012","AUGUST","-42","ARRA-COMMUNITY SVC BLOCK GRANT","2","51H"
"2012","AUGUST","131548.26","ARRA-COMMUNITY DEV BLOCK GRANT","2","51N"
"2012","AUGUST","3507665","ARRA-HOMELESSNESS PREV & REHSE","2","51P"
"2012","AUGUST","542450","MEASURE R LOCAL RETURN FUND","2","51Q"
"2012","AUGUST","547179.89","ARRA-ENERGY EFFICIENCY CONSERV","2","51S"
"2012","AUGUST","132724.61","REG CATASTROPHIC PREPARE GRANT","2","51T"
"2012","AUGUST","90835.01","ARRA-JUSTICE ASSISTANCE GRANT","2","51V"
"2012","AUGUST","453446.11","SOLID WASTE RES RB2009A ACQUIS","2","51W"
"2012","AUGUST","1285.62","HOUSEHOLD HAZARDOUS WASTE TRUS","2","526"
"2012","AUGUST","105.97","LOCAL ENFORCE AGENCY LANDFILL","2","527"
"2012","AUGUST","412175.79","FY09 JUSTICE ASSISTANCE GRANT","2","52A"
"2012","AUGUST","39709.75","ARRA-BTOP PUBLIC COMPUTER CTR","2","52B"
"2012","AUGUST","151919.73","FY09 ARREST POLICIES GRANT FD","2","52E"
